,29-Jun-2017
The Nifty witnessed an intraday movement of about 82 points.The closing index was 0.14 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29698.94
, Traded Quantity (in Lakhs), 17830.39
, Number of Trades, 8664859
, Total Market Capitalisation (Rs. Crores), 12378305.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9491.25,      9522.95,      9575.80,      9493.80,      9504.10,12.85
,Nifty IT,     10133.55,     10183.30,     10238.95,     10105.90,     10124.40,-9.15
,Nifty Next 50,     26040.15,     26126.65,     26259.85,     26019.05,     26054.20,14.05
,Nifty Bank,     23235.85,     23312.40,     23476.00,     23124.35,     23227.30,-8.55
,Nifty MID100 Free,     17522.95,     17597.30,     17692.45,     17552.90,     17601.30,78.35
,Nifty 500,      8279.70,      8308.40,      8352.95,      8292.75,      8301.10,21.4
,Nifty 100,      9797.05,      9829.75,      9880.05,      9799.20,      9809.05,12
,Nifty Midcap 50,      4473.75,      4496.05,      4525.35,      4489.50,      4499.00,25.25
,Nifty Realty,       262.10,       263.85,       265.35,       263.10,       264.55,2.45
,Nifty Infra,      3200.55,      3209.35,      3233.45,      3201.65,      3208.70,8.15
,Nifty Energy,     11644.20,     11666.35,     11736.75,     11613.45,     11630.80,-13.4
,Nifty FMCG,     25981.90,     26069.05,     26249.65,     26048.55,     26143.65,161.75
,Nifty MNC,     12027.95,     12082.40,     12121.95,     12052.85,     12073.65,45.7
,Nifty Pharma,      9482.35,      9502.55,      9513.80,      9408.40,      9428.20,-54.15
,Nifty PSE,      3761.70,      3772.75,      3799.65,      3756.90,      3763.45,1.75
,Nifty PSU Bank,      3306.80,      3320.95,      3347.60,      3272.75,      3279.90,-26.9
,Nifty Serv Sector,     12356.10,     12395.75,     12481.20,     12347.80,     12367.10,11
,India VIX,11.9900,11.9900,11.9900,10.5950,11.3825,-0.6075
,Nifty Auto,     10582.65,     10623.50,     10676.55,     10555.70,     10568.15,-14.5
,Nifty Metal,      2931.75,      2954.15,      2999.80,      2951.75,      2991.20,59.45
,Nifty Media,      2933.95,      2952.90,      2982.10,      2944.85,      2959.45,25.5
,Nifty SML100 Free,      7222.70,      7254.30,      7318.80,      7253.95,      7298.50,75.8
,Nifty 200,      5120.90,      5138.45,      5165.25,      5125.10,      5130.40,9.5
,Nifty Div Opps 50,      2339.55,      2348.20,      2365.05,      2343.60,      2347.40,7.85
,Nifty Commodities,      3390.75,      3405.10,      3424.25,      3402.55,      3409.95,19.2
,Nifty Consumption,      4308.30,      4323.30,      4348.70,      4316.20,      4322.15,13.85
,Nifty Fin Service,      9520.75,      9544.00,      9609.05,      9497.95,      9524.15,3.4
,Nifty50 Div Point,        36.58,        42.47,        42.47,        42.47,        42.47,5.89
,Nifty100 Liq 15,      3973.55,      3999.00,      4034.65,      3997.30,      4013.00,39.45
,Nifty CPSE,      2334.80,      2348.60,      2357.95,      2329.80,      2333.00,-1.8
,Nifty GrowSect 15,      5958.50,      5980.90,      6005.90,      5968.95,      5977.70,19.2
,Nifty50 PR 2x Lev,      3878.40,      3903.60,      3946.40,      3880.15,      3888.20,9.8
,Nifty50 PR 1x Inv,       441.90,       440.50,       441.85,       438.05,       441.40,-.5
,Nifty50 TR 2x Lev,      4716.50,      4753.05,      4805.05,      4724.50,      4734.35,17.85
,Nifty50 TR 1x Inv,       400.70,       399.20,       400.40,       396.95,       400.00,-.7
,Nifty50 Value 20,      4014.05,      4031.25,      4058.75,      4022.00,      4028.85,14.8
,Nifty Mid Liq 15,      3773.25,      3788.25,      3820.60,      3787.15,      3803.00,29.75
,Nifty Pvt Bank,     12980.15,     13029.80,     13128.15,     12936.85,     13001.55,21.4
,Nifty Quality 30,      2261.40,      2268.95,      2275.95,      2258.30,      2261.85,.45
,Nifty GS 8 13Yr,      1721.52,      1721.85,      1725.15,      1721.16,      1723.72,2.2
,Nifty GS 10Yr,      1645.71,      1646.01,      1647.53,      1644.69,      1646.97,1.26
,Nifty GS 10Yr Cln,       991.15,       991.15,       992.07,       990.35,       991.73,.58
,Nifty GS 4 8Yr,      1779.19,      1779.55,      1781.48,      1778.42,      1778.82,-.37
,Nifty GS 11 15Yr,      1797.58,      1797.92,      1801.30,      1797.02,      1800.09,2.51
,Nifty GS 15YrPlus,      1930.53,      1930.91,      1932.91,      1930.91,      1932.31,1.78
,Nifty GS Compsite,      1755.92,      1756.26,      1758.94,      1755.78,      1757.29,1.37

,ADVANCES,1103
,DECLINES,555
,UNCHANGED,84

,Total securities that have hit their price bands today,104

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       290.35,       293.25,1,1019.14
,SBIN,EQ,       276.40,       272.45,-1.43,835.83
,INFY,EQ,       924.70,       930.20,0.59,744.08
,AXISBANK,EQ,       492.00,       512.10,4.09,605.09
,JPASSOCIAT,EQ,        20.05,        22.70,13.22,600.95
,VEDL,EQ,       242.55,       251.20,3.57,569.23
,TATASTEEL,EQ,       520.60,       535.05,2.78,512.65
,TATAMOTORS,EQ,       442.50,       435.60,-1.56,487.45
,LUPIN,EQ,      1064.70,      1055.60,-0.85,461.14
,HDFC,EQ,      1629.00,      1632.20,0.2,456
,ERIS,EQ,       603.00,       601.50,-0.25,433.85
,RELIANCE,EQ,      1398.50,      1392.70,-0.41,412.09
,EICHERMOT,EQ,     27224.85,     27340.05,0.42,411.99
,MARUTI,EQ,      7225.05,      7224.35,-0.01,393.75
,HDFCBANK,EQ,      1666.45,      1663.05,-0.2,382.72
,YESBANK,EQ,      1449.70,      1438.50,-0.77,380
,ULTRACEMCO,EQ,      3958.25,      3953.75,-0.11,346.81
,PETRONET,EQ,       431.90,       431.40,-0.12,339.51
,BPCL,EQ,       616.70,       626.05,1.52,330.41
,SUNPHARMA,EQ,       545.45,       536.90,-1.57,326.56
,IBREALEST,EQ,       205.50,       209.35,1.87,311.82
,ITC,EQ,       308.35,       311.60,1.05,309.16
,LT,EQ,      1703.25,      1703.65,0.02,308.52
,TCS,EQ,      2350.05,      2333.25,-0.71,289.52
,GRASIM,EQ,      1205.65,      1217.10,0.95,270.58

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       512.10,       492.00,4.09
,VEDL,EQ,       251.20,       242.55,3.57
,TATASTEEL,EQ,       535.05,       520.60,2.78
,IBULHSGFIN,EQ,      1095.60,      1075.15,1.9
,GAIL,EQ,       362.35,       356.05,1.77

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,KOTAKBANK,EQ,       948.35,       972.20,-2.45
,TATAMTRDVR,EQ,       268.30,       274.35,-2.21
,SUNPHARMA,EQ,       536.90,       545.45,-1.57
,TATAMOTORS,EQ,       435.60,       442.50,-1.56
,SBIN,EQ,       272.45,       276.40,-1.43

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.05,                  1112195.00,29271
,3IINFOTECH,EQ,         4.35,                 39948507.90,9029097
,3MINDIA,EQ,     13409.90,                 11325780.30,852
,63MOONS,EQ,        63.75,                  8254653.90,128611
,8KMILES,EQ,       540.45,                 31786725.65,58687
,A2ZINFRA,EQ,        42.70,                 16913994.35,395134
,AARTIDRUGS,EQ,       522.45,                  2689551.45,5129
,AARTIIND,EQ,       906.25,                 29334968.20,32517
,AARVEEDEN,EQ,        60.60,                   582748.40,9677
,ABAN,EQ,       188.50,                387166541.50,2026859
,ABBOTINDIA,EQ,      4222.35,                  3483386.35,822
,ABFRL,EQ,       172.40,                 77848478.00,456334
,ABGSHIP,BZ,        14.50,                   614017.00,42346
,ABIRLANUVO,EQ,      1819.95,               2009328914.05,1102392
,ABMINTLTD,BE,        91.90,                     2021.90,22
,ACCELYA,EQ,      1320.55,                  1137026.40,856
,ACE,EQ,        69.25,                 15454796.25,221600
,ADANIENT,EQ,       133.25,                582008617.35,4347591
,ADANIPOWER,EQ,        29.10,                318204494.90,11046987
,ADANITRANS,EQ,       124.00,                117772485.55,950043
,ADFFOODS,EQ,       252.35,                 44430295.05,175115
,ADHUNIK,EQ,         5.80,                   191609.15,32477
,ADHUNIKIND,EQ,       100.40,                 26166307.50,259556
,ADLABS,EQ,        76.40,                 35959507.20,465479
,ADORWELD,EQ,       373.35,                  2955981.90,7880
,ADSL,BE,        25.10,                   137602.25,5497
,ADVANIHOTR,EQ,        56.45,                   287484.70,5049
,ADVENZYMES,EQ,       326.40,                 69429761.80,211583
,AEGISCHEM,EQ,       187.30,                 45548612.90,242429
,AFL,BE,        48.95,                   258355.80,5262
,AGARIND,BE,       675.00,                   142867.00,211
,AGCNET,BE,       124.50,                   161508.50,1290
,AGRITECH,EQ,        57.65,                  3259869.15,57678
,AHLEAST,EQ,       289.95,                   515768.00,1788
,AHLUCONT,EQ,       320.90,                  6836830.40,21337
,AHLWEST,EQ,       165.00,                    73715.35,451
,AIAENG,EQ,      1384.30,                235332288.45,173692
,AICHAMP,BE,        24.55,                     2455.00,100
,AIFL,EQ,       412.45,                 44655065.80,107573
,AIRAN,SM,       155.45,                  1385850.00,9000
,AJANTPHARM,EQ,      1547.10,                141740041.55,91246
,AJMERA,EQ,       222.65,                  9326168.25,42096
,AKASH,SM,        91.10,                   269450.00,3000
,AKSHARCHEM,EQ,       789.50,                  6744986.80,8691
,AKSHOPTFBR,EQ,        17.40,                  6428659.65,371280
,AKZOINDIA,EQ,      1825.95,                  9002828.25,4927
,ALANKIT,BE,        33.55,                  9614426.20,286546
,ALBERTDAVD,EQ,       311.30,                   669895.75,2126
,ALBK,EQ,        68.20,                262454324.40,3875456
,ALCHEM,EQ,        15.30,                    82676.00,5375
,ALEMBICLTD,EQ,        38.60,                 12169514.50,313817
,ALICON,EQ,       482.05,                  1245146.30,2551
,ALKALI,EQ,        63.45,                   163624.45,2560
,ALKEM,EQ,      1856.25,                 25289469.85,13691
,ALKYLAMINE,EQ,       378.85,                   811236.60,2119
,ALLCARGO,EQ,       171.45,                 29070618.95,168515
,ALLSEC,EQ,       325.00,                  1367950.80,4197
,ALMONDZ,EQ,        18.75,                   498941.70,26212
,ALOKTEXT,EQ,         2.55,                 14697515.90,5777262
,ALPA,BE,        30.15,                   348416.80,11549
,ALPHAGEO,EQ,       822.70,                 39203781.85,47429
,ALPSINDUS,EQ,         6.45,                   237366.30,37792
,AMARAJABAT,EQ,       837.40,                225583730.70,267665
,AMBIKCO,EQ,      1260.15,                   892899.80,706
,AMDIND,EQ,        26.65,                   305387.15,11509
,AMRUTANJAN,EQ,       679.35,                  3416544.55,5011
,AMTEKAUTO,EQ,        30.95,                 17039460.60,550548
,ANANTRAJ,EQ,        58.95,                 39629567.15,673915
,ANDHRABANK,EQ,        54.00,                195192523.90,3603191
,ANDHRACEMT,EQ,         9.00,                   675868.20,74764
,ANDHRSUGAR,EQ,       337.20,                  9938854.95,29610
,ANGIND,EQ,         7.25,                   118612.65,16285
,ANIKINDS,BE,        25.50,                    17948.50,705
,ANKITMETAL,EQ,         1.35,                   304021.10,226169
,ANSALAPI,EQ,        28.65,                 26343995.70,920637
,ANSALHSG,EQ,        27.40,                  1695825.55,61834
,ANTGRAPHIC,BE,         1.55,                   284646.50,187150
,APARINDS,EQ,       757.25,                  7017701.40,9239
,APCL,EQ,       220.40,                   332372.25,1499
,APCOTEXIND,EQ,       401.00,                  5813819.40,14487
,APLAPOLLO,EQ,      1536.25,                 21269946.65,13746
,APLLTD,EQ,       505.20,                 42290413.55,83733
,APOLLOHOSP,EQ,      1278.85,               1021070349.15,793401
,APOLLOTYRE,EQ,       242.90,                492420301.40,2014274
,APOLSINHOT,EQ,       789.75,                    30430.25,39
,APTECHT,EQ,       194.00,                 48829390.35,251166
,ARCHIDPLY,EQ,        88.30,                 14103260.95,156865
,ARCHIES,EQ,        30.50,                  1686259.10,54776
,ARCOTECH,EQ,        80.90,                466278953.95,5402148
,ARIES,EQ,       151.50,                  6048683.90,39801
,ARIHANT,BE,        54.15,                      108.30,2
,ARIHANTSUP,EQ,       185.35,                125950477.05,676536
,ARMANFIN,EQ,       191.10,                   273425.25,1430
,AROGRANITE,EQ,        74.20,                  2862587.45,38413
,ARROWGREEN,EQ,       549.90,                 10656483.60,19313
,ARROWTEX,EQ,        44.85,                   390610.50,8677
,ARSHIYA,EQ,        70.50,                  4832720.90,68721
,ARSSINFRA,EQ,        65.55,                  6930449.95,105410
