,07-Jul-2017
The Nifty witnessed an intraday movement of about 41.6 points.The closing index was 0.09 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24160.98
, Traded Quantity (in Lakhs), 14985.9
, Number of Trades, 8982000
, Total Market Capitalisation (Rs. Crores), 12655871.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9674.55,      9670.35,      9684.25,      9642.65,      9665.80,-8.75
,Nifty IT,     10148.90,     10125.65,     10151.50,     10073.95,     10087.80,-61.1
,Nifty Next 50,     26869.65,     26866.70,     26920.15,     26774.50,     26872.40,2.75
,Nifty Bank,     23466.65,     23463.75,     23492.60,     23400.60,     23449.15,-17.5
,Nifty MID100 Free,     18081.05,     18070.25,     18142.00,     18041.35,     18104.20,23.15
,Nifty 500,      8481.75,      8480.15,      8494.35,      8457.25,      8479.45,-2.3
,Nifty 100,     10005.25,     10001.40,     10015.60,      9972.15,      9997.75,-7.5
,Nifty Midcap 50,      4641.00,      4643.65,      4661.65,      4628.45,      4647.85,6.85
,Nifty Realty,       274.60,       274.05,       280.20,       273.45,       279.45,4.85
,Nifty Infra,      3236.05,      3235.15,      3250.40,      3231.35,      3240.55,4.5
,Nifty Energy,     11884.75,     11880.50,     12085.05,     11850.80,     12055.75,171
,Nifty FMCG,     27581.70,     27614.80,     27626.40,     27370.85,     27465.85,-115.85
,Nifty MNC,     12418.40,     12396.50,     12432.95,     12358.05,     12372.15,-46.25
,Nifty Pharma,      9598.45,      9614.80,      9778.10,      9611.80,      9723.85,125.4
,Nifty PSE,      3828.15,      3823.70,      3840.70,      3812.80,      3827.60,-.55
,Nifty PSU Bank,      3391.35,      3387.55,      3409.75,      3372.75,      3380.70,-10.65
,Nifty Serv Sector,     12480.65,     12477.80,     12481.75,     12423.15,     12435.50,-45.15
,India VIX,10.9825,10.9825,11.1250,9.6150,10.8675,-0.1150
,Nifty Auto,     10746.55,     10734.45,     10774.40,     10710.90,     10729.00,-17.55
,Nifty Metal,      3094.25,      3081.45,      3109.25,      3078.30,      3087.75,-6.5
,Nifty Media,      3022.05,      3023.95,      3050.95,      3014.00,      3037.60,15.55
,Nifty SML100 Free,      7497.65,      7496.00,      7547.30,      7476.95,      7536.75,39.1
,Nifty 200,      5238.00,      5236.45,      5244.25,      5221.80,      5235.20,-2.8
,Nifty Div Opps 50,      2394.85,      2393.65,      2396.15,      2382.75,      2385.20,-9.65
,Nifty Commodities,      3502.80,      3496.20,      3514.70,      3487.10,      3508.20,5.4
,Nifty Consumption,      4426.20,      4426.05,      4427.75,      4410.85,      4415.85,-10.35
,Nifty Fin Service,      9606.25,      9607.70,      9610.75,      9543.55,      9565.80,-40.45
,Nifty50 Div Point,        48.09,        48.09,        48.09,        48.09,        48.09,0
,Nifty100 Liq 15,      4109.35,      4103.10,      4117.30,      4085.30,      4089.45,-19.9
,Nifty CPSE,      2375.45,      2373.45,      2382.20,      2363.50,      2370.50,-4.95
,Nifty GrowSect 15,      6133.40,      6133.30,      6154.30,      6121.05,      6132.70,-.7
,Nifty50 PR 2x Lev,      4023.80,      4019.60,      4030.95,      3996.80,      4015.80,-8
,Nifty50 PR 1x Inv,       434.05,       434.30,       435.55,       433.70,       434.55,.5
,Nifty50 TR 2x Lev,      4905.10,      4900.00,      4913.80,      4872.15,      4895.35,-9.75
,Nifty50 TR 1x Inv,       393.10,       393.35,       394.45,       392.80,       393.55,.45
,Nifty50 Value 20,      4087.95,      4083.35,      4097.15,      4073.95,      4087.30,-.65
,Nifty Mid Liq 15,      3901.25,      3905.10,      3929.75,      3895.95,      3919.65,18.4
,Nifty Pvt Bank,     13117.05,     13113.35,     13122.80,     13063.85,     13096.55,-20.5
,Nifty Quality 30,      2313.45,      2312.60,      2314.70,      2304.00,      2306.35,-7.1
,Nifty GS 8 13Yr,      1716.90,      1717.23,      1719.91,      1716.39,      1718.30,1.4
,Nifty GS 10Yr,      1643.60,      1643.90,      1645.54,      1642.43,      1644.02,.42
,Nifty GS 10Yr Cln,       988.41,       988.41,       989.40,       987.51,       988.48,.07
,Nifty GS 4 8Yr,      1776.13,      1776.49,      1779.13,      1776.49,      1778.11,1.98
,Nifty GS 11 15Yr,      1791.38,      1791.73,      1794.84,      1790.96,      1793.11,1.73
,Nifty GS 15YrPlus,      1920.30,      1920.68,      1928.22,      1918.93,      1923.88,3.58
,Nifty GS Compsite,      1751.78,      1752.12,      1754.57,      1751.54,      1753.37,1.59

,ADVANCES,857
,DECLINES,827
,UNCHANGED,75

,Total securities that have hit their price bands today,112

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,CDSL,EQ,       293.90,       331.15,12.67,1239.61
,RELIANCE,EQ,      1442.55,      1491.15,3.37,1202.47
,LUPIN,EQ,      1081.30,      1117.30,3.33,559.56
,HDFC,EQ,      1647.90,      1629.15,-1.14,553.49
,ITC,EQ,       337.10,       334.30,-0.83,332.24
,VENKEYS,EQ,      2237.75,      2403.40,7.4,285.9
,JPASSOCIAT,EQ,        21.00,        22.10,5.24,277.74
,IDFCBANK,EQ,        63.30,        64.70,2.21,272.42
,INFY,EQ,       947.00,       935.40,-1.22,271.16
,MARUTI,EQ,      7474.05,      7432.80,-0.55,252.74
,ICICIBANK,EQ,       293.75,       289.70,-1.38,246.39
,SUNPHARMA,EQ,       545.60,       549.00,0.62,246.37
,MCDOWELL-N,EQ,      2554.95,      2622.50,2.64,245.12
,BPCL,EQ,       660.05,       663.95,0.59,242.94
,TATAMOTORS,EQ,       437.10,       436.85,-0.06,232.32
,HDFCBANK,EQ,      1658.15,      1667.20,0.55,229.44
,RBLBANK,EQ,       524.85,       527.00,0.41,227.64
,TATASTEEL,EQ,       554.65,       553.35,-0.23,226.54
,IBREALEST,EQ,       207.85,       204.65,-1.54,222.18
,VEDL,EQ,       261.65,       257.10,-1.74,213.17
,LT,EQ,      1697.60,      1704.40,0.4,209.91
,AUROPHARMA,EQ,       683.40,       697.05,2,209.3
,DMART,EQ,       880.30,       895.45,1.72,191.3
,CEATLTD,EQ,      1892.10,      1903.60,0.61,187.24
,YESBANK,EQ,      1504.05,      1505.75,0.11,185.49

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,      1491.15,      1442.55,3.37
,LUPIN,EQ,      1117.30,      1081.30,3.33
,AUROPHARMA,EQ,       697.05,       683.40,2
,DRREDDY,EQ,      2705.40,      2667.90,1.41
,ZEEL,EQ,       507.35,       501.05,1.26

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       404.35,       414.70,-2.5
,VEDL,EQ,       257.10,       261.65,-1.74
,IBULHSGFIN,EQ,      1065.45,      1083.20,-1.64
,ASIANPAINT,EQ,      1115.45,      1132.15,-1.48
,ICICIBANK,EQ,       289.70,       293.75,-1.38

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.05,                   810041.65,20661
,3IINFOTECH,EQ,         4.45,                 21550131.30,4869854
,3MINDIA,EQ,     13688.40,                 11931209.35,866
,63MOONS,EQ,        64.30,                  3326942.95,51603
,8KMILES,EQ,       547.00,                 18743205.85,34157
,A2ZINFRA,EQ,        43.70,                 31599361.40,724493
,AARTIDRUGS,EQ,       554.95,                 18039086.60,32550
,AARTIIND,EQ,       931.35,                 38671785.70,41699
,AARVEEDEN,EQ,        64.85,                   584820.95,9016
,ABAN,EQ,       190.80,                266081032.40,1388052
,ABBOTINDIA,EQ,      4289.75,                 11902701.05,2770
,ABFRL,EQ,       175.75,                 52149971.05,298996
,ABGSHIP,BZ,        14.25,                  1150214.00,85001
,ABMINTLTD,BE,        82.45,                   120636.55,1489
,ACCELYA,EQ,      1339.80,                  2806125.80,2106
,ACCORD,SM,        86.40,                 70993100.00,828000
,ACE,EQ,        73.90,                 26380934.05,352305
,ADANIENT,EQ,       134.20,                254780728.75,1890872
,ADANIPOWER,EQ,        28.40,                135043483.95,4743322
,ADANITRANS,EQ,       128.60,                 29819417.80,232236
,ADFFOODS,EQ,       256.60,                 41560941.55,159087
,ADHUNIK,EQ,         5.85,                  1376922.15,236876
,ADHUNIKIND,EQ,        98.90,                 15946442.20,160065
,ADLABS,EQ,        77.05,                 18070027.95,234376
,ADORWELD,EQ,       377.70,                  1286244.75,3394
,ADSL,BE,        26.95,                  1430485.45,54020
,ADVANIHOTR,EQ,        63.90,                  7308583.35,113891
,ADVENZYMES,EQ,       351.30,                113497661.50,321529
,AEGISCHEM,EQ,       189.40,                 28588100.85,150582
,AFL,BE,        48.10,                    65566.75,1377
,AGARIND,BE,       668.35,                   681996.15,1018
,AGCNET,BE,       124.25,                   213971.50,1711
,AGRITECH,EQ,        60.80,                  1493210.95,24611
,AGROPHOS,SM,        19.75,                   118500.00,6000
,AHLEAST,EQ,       292.75,                    92423.90,317
,AHLUCONT,EQ,       348.00,                  3585773.35,10252
,AHLWEST,EQ,       167.00,                   156488.25,948
,AIAENG,EQ,      1417.90,                124888407.10,87993
,AIFL,EQ,       404.60,                 18023227.00,44569
,AIRAN,SM,       154.90,                   928200.00,6000
,AJANTPHARM,EQ,      1549.00,                405754332.90,262887
,AJMERA,EQ,       222.25,                 10641452.15,47486
,AKASH,SM,        96.75,                   390250.00,4000
,AKSHARCHEM,EQ,       811.20,                  4218937.40,5181
,AKSHOPTFBR,EQ,        22.40,                156292327.25,6994974
,AKZOINDIA,EQ,      1816.60,                 13481873.45,7383
,ALANKIT,BE,        34.75,                 10276906.45,294297
,ALBERTDAVD,EQ,       327.10,                  1053843.40,3223
,ALBK,EQ,        69.60,                176972202.85,2542702
,ALCHEM,EQ,        15.45,                   112423.65,7211
,ALEMBICLTD,EQ,        41.85,                 49470319.85,1202873
,ALICON,EQ,       503.35,                  1531836.40,3024
,ALKALI,EQ,        66.20,                   446333.80,6710
,ALKEM,EQ,      1821.55,                 45110531.40,24754
,ALKYLAMINE,EQ,       397.40,                  8048081.25,20239
,ALLCARGO,EQ,       169.90,                 33153446.90,194432
,ALLSEC,EQ,       325.20,                  2338404.75,7134
,ALMONDZ,EQ,        22.65,                  2397246.35,106842
,ALOKTEXT,EQ,         2.90,                 15791659.65,5365173
,ALPA,BE,        30.75,                  1024121.10,33138
,ALPHAGEO,EQ,       833.55,                 12248377.75,14554
,ALPSINDUS,EQ,         6.35,                   312992.90,49733
,AMARAJABAT,EQ,       859.10,                210151836.10,245904
,AMBIKCO,EQ,      1289.20,                  2129926.45,1655
,AMDIND,EQ,        28.30,                   517633.70,17974
,AMRUTANJAN,EQ,       679.70,                  1609150.55,2365
,AMTEKAUTO,EQ,        31.50,                 44268845.95,1402728
,ANANDAMRUB,BE,        36.00,                    48580.00,1360
,ANANTRAJ,EQ,        62.00,                 84760047.10,1362001
,ANDHRABANK,EQ,        55.75,                151875688.85,2719246
,ANDHRACEMT,EQ,        10.30,                  3004833.10,292923
,ANDHRSUGAR,EQ,       343.00,                 37204154.60,106236
,ANGIND,EQ,         8.00,                   385675.40,49057
,ANIKINDS,BE,        25.00,                    35005.95,1407
,ANKITMETAL,EQ,         1.40,                    59632.10,44178
,ANSALAPI,EQ,        28.55,                 30270861.20,1038993
,ANSALHSG,EQ,        28.75,                  2869982.55,99387
,ANTGRAPHIC,BE,         1.70,                   167612.85,100629
,APARINDS,EQ,       800.65,                 40665587.35,49935
,APCL,EQ,       235.80,                  4256142.75,17450
,APCOTEXIND,EQ,       432.10,                  2617435.30,6021
,APLAPOLLO,EQ,      1597.95,                  7698519.10,4832
,APLLTD,EQ,       517.40,                 15035292.75,29183
,APOLLOHOSP,EQ,      1247.60,                176151927.70,140507
,APOLLOTYRE,EQ,       258.75,                981592822.95,3812270
,APOLSINHOT,EQ,       822.70,                   781926.65,933
,APTECHT,EQ,       211.70,                 98160648.25,459550
,ARCHIDPLY,EQ,       109.80,                 31819056.45,288617
,ARCHIES,EQ,        36.65,                 15345353.60,415142
,ARCOTECH,EQ,        72.05,                 29509648.75,409516
,ARIES,EQ,       150.25,                 11060208.00,73312
,ARIHANT,BE,        52.70,                    27673.00,529
,ARIHANTSUP,EQ,       199.90,                 98536990.05,489942
,ARMANFIN,EQ,       207.20,                  3455783.60,16645
,AROGRANITE,EQ,        75.95,                  2669295.30,35099
,ARROWGREEN,EQ,       558.40,                 14616440.10,26114
,ARROWTEX,EQ,        45.85,                   344291.50,7542
,ARSHIYA,EQ,        65.35,                  5977643.00,90027
