,11-Jul-2017
The Nifty witnessed an intraday movement of about 51.2 points.The closing index was 0.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26457.91
, Traded Quantity (in Lakhs), 14486.08
, Number of Trades, 9742749
, Total Market Capitalisation (Rs. Crores), 12776542.57

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9771.05,      9797.45,      9830.05,      9778.85,      9786.05,15
,Nifty IT,     10360.10,     10333.30,     10611.95,     10333.30,     10430.00,69.9
,Nifty Next 50,     27108.15,     27161.85,     27216.70,     26901.00,     26929.45,-178.7
,Nifty Bank,     23675.05,     23744.55,     23744.55,     23552.60,     23584.60,-90.45
,Nifty MID100 Free,     18258.45,     18308.90,     18334.00,     18083.65,     18098.70,-159.75
,Nifty 500,      8556.95,      8580.00,      8596.95,      8539.60,      8544.90,-12.05
,Nifty 100,     10103.35,     10129.50,     10157.60,     10099.35,     10106.00,2.65
,Nifty Midcap 50,      4664.05,      4680.15,      4686.25,      4611.85,      4617.45,-46.6
,Nifty Realty,       281.50,       281.65,       283.25,       276.45,       277.20,-4.3
,Nifty Infra,      3297.95,      3305.20,      3317.10,      3285.05,      3287.60,-10.35
,Nifty Energy,     12130.80,     12182.70,     12196.50,     12116.15,     12159.65,28.85
,Nifty FMCG,     27474.50,     27591.50,     27591.50,     27335.10,     27361.60,-112.9
,Nifty MNC,     12421.90,     12464.85,     12496.35,     12407.90,     12422.15,.25
,Nifty Pharma,      9884.45,      9911.15,      9948.75,      9782.50,      9801.65,-82.8
,Nifty PSE,      3879.80,      3890.45,      3900.00,      3871.00,      3874.80,-5
,Nifty PSU Bank,      3474.90,      3496.70,      3514.90,      3425.80,      3431.00,-43.9
,Nifty Serv Sector,     12611.05,     12629.50,     12689.60,     12602.55,     12613.25,2.2
,India VIX,10.9125,10.9125,11.0775,9.8975,10.8900,-0.0225
,Nifty Auto,     10795.20,     10849.35,     10924.90,     10842.05,     10876.15,80.95
,Nifty Metal,      3129.90,      3140.75,      3149.05,      3110.85,      3114.85,-15.05
,Nifty Media,      3038.25,      3050.30,      3052.50,      3021.70,      3025.30,-12.95
,Nifty SML100 Free,      7592.50,      7630.15,      7636.45,      7517.65,      7529.40,-63.1
,Nifty 200,      5286.85,      5300.95,      5313.05,      5279.10,      5282.65,-4.2
,Nifty Div Opps 50,      2414.80,      2419.10,      2435.10,      2417.05,      2423.05,8.25
,Nifty Commodities,      3541.05,      3550.80,      3558.75,      3537.20,      3540.80,-.25
,Nifty Consumption,      4445.25,      4457.25,      4461.25,      4438.25,      4441.45,-3.8
,Nifty Fin Service,      9633.60,      9654.90,      9657.60,      9592.20,      9605.20,-28.4
,Nifty50 Div Point,        48.37,        48.37,        48.37,        48.37,        48.37,0
,Nifty100 Liq 15,      4127.55,      4146.65,      4148.50,      4117.70,      4121.10,-6.45
,Nifty CPSE,      2410.65,      2417.40,      2421.65,      2386.30,      2389.10,-21.55
,Nifty GrowSect 15,      6150.75,      6173.90,      6185.75,      6159.40,      6163.95,13.2
,Nifty50 PR 2x Lev,      4101.65,      4123.10,      4150.30,      4107.85,      4113.55,11.9
,Nifty50 PR 1x Inv,       430.00,       428.90,       429.70,       427.45,       429.40,-.6
,Nifty50 TR 2x Lev,      5000.25,      5026.45,      5059.60,      5007.85,      5014.75,14.5
,Nifty50 TR 1x Inv,       389.40,       388.40,       389.15,       387.10,       388.85,-.55
,Nifty50 Value 20,      4152.45,      4160.45,      4189.35,      4153.80,      4161.15,8.7
,Nifty Mid Liq 15,      3939.70,      3950.65,      3957.80,      3881.75,      3885.55,-54.15
,Nifty Pvt Bank,     13195.05,     13231.05,     13231.05,     13121.85,     13140.70,-54.35
,Nifty Quality 30,      2338.35,      2341.50,      2360.25,      2340.10,      2345.85,7.5
,Nifty GS 8 13Yr,      1728.72,      1729.04,      1729.76,      1725.93,      1726.52,-2.2
,Nifty GS 10Yr,      1652.77,      1653.07,      1653.87,      1650.03,      1650.83,-1.94
,Nifty GS 10Yr Cln,       993.24,       993.24,       993.72,       991.39,       991.88,-1.36
,Nifty GS 4 8Yr,      1784.22,      1784.58,      1786.96,      1784.00,      1785.09,.87
,Nifty GS 11 15Yr,      1803.93,      1804.27,      1804.85,      1801.08,      1801.60,-2.33
,Nifty GS 15YrPlus,      1937.67,      1938.05,      1938.51,      1934.13,      1934.13,-3.54
,Nifty GS Compsite,      1762.61,      1762.95,      1763.55,      1760.69,      1761.31,-1.3

,ADVANCES,650
,DECLINES,1041
,UNCHANGED,75

,Total securities that have hit their price bands today,109

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,CDSL,EQ,       354.15,       381.70,7.78,883.24
,AUBANK,EQ,       541.65,       567.25,4.73,804.42
,RELIANCE,EQ,      1492.85,      1494.35,0.1,717.52
,INFY,EQ,       957.05,       975.35,1.91,564.86
,TATAMOTORS,EQ,       446.95,       456.95,2.24,552.78
,INDUSINDBK,EQ,      1560.35,      1560.70,0.02,448.83
,TCS,EQ,      2434.95,      2475.80,1.68,438.32
,HUDCO,EQ,        69.50,        78.45,12.88,409.71
,SBIN,EQ,       285.55,       283.55,-0.7,355.42
,ICICIBANK,EQ,       291.45,       289.65,-0.62,316.09
,MARUTI,EQ,      7430.45,      7457.00,0.36,315.4
,YESBANK,EQ,      1512.90,      1514.80,0.13,301.95
,HINDALCO,EQ,       195.80,       200.65,2.48,301.75
,VEDL,EQ,       260.70,       257.60,-1.19,299.74
,M&M,EQ,      1367.40,      1390.15,1.66,288.38
,ITC,EQ,       333.30,       330.40,-0.87,276.17
,TATASTEEL,EQ,       559.35,       556.85,-0.45,274.24
,IBREALEST,EQ,       211.65,       202.90,-4.13,257.94
,HDFC,EQ,      1638.85,      1642.75,0.24,253.89
,BPCL,EQ,       664.65,       678.30,2.05,252.37
,ASHOKLEY,EQ,       105.15,       105.10,-0.05,247.39
,LT,EQ,      1732.15,      1741.10,0.52,246.66
,HDFCBANK,IL,      1653.35,      1726.25,4.41,243.15
,JINDALSTEL,EQ,       134.45,       138.85,3.27,240.82
,BHARATFIN,EQ,       765.05,       751.35,-1.79,233.74

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       200.65,       195.80,2.48
,BAJAJ-AUTO,EQ,      2792.75,      2730.65,2.27
,TATAMOTORS,EQ,       456.95,       446.95,2.24
,BPCL,EQ,       678.30,       664.65,2.05
,NTPC,EQ,       163.30,       160.05,2.03

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       395.45,       405.70,-2.53
,BANKBARODA,EQ,       162.65,       166.60,-2.37
,CIPLA,EQ,       538.45,       549.20,-1.96
,WIPRO,EQ,       263.20,       268.25,-1.88
,COALINDIA,EQ,       254.50,       258.80,-1.66

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        42.35,                 30074470.65,692253
,3IINFOTECH,EQ,         4.50,                 21105668.65,4626098
,3MINDIA,EQ,     13567.70,                 32245071.05,2375
,63MOONS,EQ,        63.40,                  2672041.20,41615
,8KMILES,EQ,       541.50,                 23963292.85,44016
,A2ZINFRA,EQ,        43.40,                 31309096.80,714529
,AARTIDRUGS,EQ,       553.70,                  6739879.25,12001
,AARTIIND,EQ,       944.95,                 40586431.35,42931
,AARVEEDEN,EQ,        63.05,                   744957.75,11753
,ABAN,EQ,       190.60,                205387004.50,1068116
,ABBOTINDIA,EQ,      4301.85,                  3246107.75,752
,ABFRL,EQ,       174.75,                 35727506.70,202894
,ABGSHIP,BZ,        14.55,                   633241.25,43092
,ABMINTLTD,BE,        86.10,                    32158.60,383
,ACCELYA,EQ,      1350.20,                 11766888.65,8759
,ACCORD,SM,        68.05,                 17857400.00,246000
,ACE,EQ,        70.20,                 30402425.30,417992
,ADANIENT,EQ,       133.40,                329981841.70,2459729
,ADANIPOWER,EQ,        29.25,                273676977.70,9189547
,ADANITRANS,EQ,       127.55,                 31184489.05,244073
,ADFFOODS,EQ,       257.10,                 28509025.70,108872
,ADHUNIK,EQ,         5.80,                   246748.05,42612
,ADHUNIKIND,EQ,        98.90,                 11694196.70,117832
,ADLABS,EQ,        72.30,                 69052707.70,939889
,ADORWELD,EQ,       379.50,                  2458034.55,6489
,ADSL,BE,        26.80,                   722584.15,26708
,ADVANIHOTR,EQ,        61.35,                  1511220.50,24613
,ADVENZYMES,EQ,       351.15,                126687464.30,356952
,AEGISCHEM,EQ,       189.10,                 22501351.25,119790
,AFL,BE,        52.80,                   136488.00,2585
,AGARIND,BE,       662.05,                  1456183.35,2184
,AGCNET,BE,       121.00,                   324700.60,2691
,AGRITECH,EQ,        61.45,                  1292877.10,21189
,AGROPHOS,SM,        21.10,                  2201100.00,102000
,AHLEAST,EQ,       293.75,                    41172.35,141
,AHLUCONT,EQ,       317.70,                  6180791.15,19141
,AHLWEST,EQ,       165.60,                    60552.90,363
,AIAENG,EQ,      1384.10,                 52829293.05,37439
,AICHAMP,BE,        24.50,                      147.00,6
,AIFL,EQ,       402.30,                106065911.00,265311
,AIRAN,SM,       151.00,                  1817400.00,12000
,AJANTPHARM,EQ,      1503.60,                444590834.35,292916
,AJMERA,EQ,       217.80,                  8659567.30,39299
,AKASH,SM,        94.50,                   189500.00,2000
,AKSHARCHEM,EQ,       839.45,                 22211979.15,26210
,AKSHOPTFBR,EQ,        21.65,                 27614731.70,1250738
,AKZOINDIA,EQ,      1812.55,                 13671565.85,7508
,ALANKIT,BE,        35.20,                 12035682.60,340531
,ALBERTDAVD,EQ,       327.20,                   584080.75,1781
,ALBK,EQ,        70.35,                187866793.80,2631538
,ALCHEM,EQ,        16.15,                   278918.20,17004
,ALEMBICLTD,EQ,        42.50,                 44775608.50,1045809
,ALICON,EQ,       555.80,                 53378765.00,95440
,ALKALI,EQ,        66.30,                   753261.70,11222
,ALKEM,EQ,      1831.80,                 33931423.30,18475
,ALKYLAMINE,EQ,       426.05,                 38570437.30,88673
,ALLCARGO,EQ,       169.80,                 25310944.15,149011
,ALLSEC,EQ,       327.90,                  2958609.50,9002
,ALMONDZ,EQ,        25.35,                  5221331.20,195504
,ALOKTEXT,EQ,         2.90,                 29906866.30,9871646
,ALPA,BE,        31.30,                   562799.45,17974
,ALPHAGEO,EQ,       843.95,                 13925126.75,16477
,ALPSINDUS,EQ,         6.80,                   573548.95,85603
,AMARAJABAT,EQ,       850.35,                435052379.20,509100
,AMBIKCO,EQ,      1294.45,                  3994841.75,3084
,AMDIND,EQ,        28.85,                  1468491.90,50684
,AMRUTANJAN,EQ,       682.05,                  1959787.50,2874
,AMTEKAUTO,EQ,        30.25,                 42357653.10,1364071
,ANANDAMRUB,BE,        35.00,                     3500.00,100
,ANANTRAJ,EQ,        62.20,                112408271.90,1804981
,ANDHRABANK,EQ,        56.50,                157896004.05,2757795
,ANDHRACEMT,EQ,         9.90,                  2538769.05,251854
,ANDHRSUGAR,EQ,       342.35,                 20230344.20,57951
,ANGIND,EQ,         8.05,                   205231.05,25439
,ANIKINDS,BE,        24.00,                   103721.00,4299
,ANKITMETAL,EQ,         1.40,                    19572.30,13980
,ANSALAPI,EQ,        27.85,                  5507748.15,194114
,ANSALHSG,EQ,        28.25,                  1125779.00,39464
,ANTGRAPHIC,BE,         1.70,                     9525.00,5600
,APARINDS,EQ,       795.40,                 55671530.70,69209
,APCL,EQ,       228.60,                  1704837.15,7395
,APCOTEXIND,EQ,       415.50,                  7857400.40,18498
,APLAPOLLO,EQ,      1596.20,                 11309850.85,7069
,APLLTD,EQ,       537.80,                117743526.60,217988
,APOLLOHOSP,EQ,      1234.30,                266725877.10,215421
,APOLLOTYRE,EQ,       249.60,               1004626996.85,3938837
,APOLSINHOT,EQ,       808.90,                   459445.45,562
,APTECHT,EQ,       210.75,                 87036429.45,407950
,ARCHIDPLY,EQ,       104.50,                 17409650.90,160988
,ARCHIES,EQ,        33.90,                  5261325.45,151145
,ARCOTECH,EQ,        72.45,                 48135440.70,653207
,ARIES,EQ,       153.85,                 23674862.65,153396
,ARIHANT,BE,        52.95,                    21626.50,405
,ARIHANTSUP,EQ,       193.15,                 94179177.10,480341
,ARMANFIN,EQ,       209.75,                  2291195.25,10972
,AROGRANITE,EQ,        75.40,                  1089822.20,14322
,ARROWGREEN,EQ,       550.90,                  9034074.80,16146
,ARROWTEX,EQ,        45.60,                   928823.00,20120
