,13-Jul-2017
The Nifty witnessed an intraday movement of about 43.8 points.The closing index was 0.77 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28366.74
, Traded Quantity (in Lakhs), 14305.47
, Number of Trades, 9782261
, Total Market Capitalisation (Rs. Crores), 12923018.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9816.10,      9855.80,      9897.25,      9853.45,      9891.70,75.6
,Nifty IT,     10401.50,     10428.10,     10495.50,     10394.95,     10440.55,39.05
,Nifty Next 50,     27176.30,     27291.65,     27430.80,     27283.20,     27405.20,228.9
,Nifty Bank,     23695.45,     23817.25,     23938.00,     23811.00,     23888.65,193.2
,Nifty MID100 Free,     18223.10,     18298.65,     18332.75,     18224.55,     18277.15,54.05
,Nifty 500,      8585.50,      8620.55,      8649.65,      8619.20,      8646.30,60.8
,Nifty 100,     10146.60,     10188.00,     10230.55,     10186.25,     10225.90,79.3
,Nifty Midcap 50,      4675.35,      4696.00,      4704.05,      4670.20,      4687.35,12
,Nifty Realty,       277.65,       278.95,       282.70,       277.75,       278.30,.65
,Nifty Infra,      3305.45,      3327.25,      3336.00,      3318.50,      3328.85,23.4
,Nifty Energy,     12318.00,     12363.15,     12402.30,     12318.15,     12348.70,30.7
,Nifty FMCG,     27425.85,     27614.40,     27977.95,     27568.85,     27918.65,492.8
,Nifty MNC,     12551.30,     12589.50,     12642.05,     12575.85,     12632.05,80.75
,Nifty Pharma,      9817.80,      9827.05,      9910.35,      9820.10,      9875.25,57.45
,Nifty PSE,      3921.25,      3949.90,      3963.80,      3913.30,      3923.55,2.3
,Nifty PSU Bank,      3477.10,      3497.85,      3507.80,      3460.35,      3486.45,9.35
,Nifty Serv Sector,     12645.95,     12701.75,     12765.80,     12699.15,     12748.30,102.35
,India VIX,11.0525,11.0525,11.3950,9.8600,11.2475,0.1950
,Nifty Auto,     10904.35,     10931.40,     10949.50,     10908.65,     10936.65,32.3
,Nifty Metal,      3126.55,      3144.75,      3157.55,      3107.70,      3153.25,26.7
,Nifty Media,      3044.85,      3047.30,      3082.55,      3047.30,      3078.70,33.85
,Nifty SML100 Free,      7601.10,      7644.70,      7664.50,      7599.55,      7610.40,9.3
,Nifty 200,      5306.75,      5328.15,      5347.85,      5327.35,      5346.00,39.25
,Nifty Div Opps 50,      2436.35,      2448.95,      2457.80,      2443.55,      2449.55,13.2
,Nifty Commodities,      3577.15,      3593.70,      3607.60,      3569.90,      3587.35,10.2
,Nifty Consumption,      4452.60,      4468.50,      4494.15,      4466.15,      4488.70,36.1
,Nifty Fin Service,      9643.10,      9684.10,      9753.25,      9682.65,      9729.15,86.05
,Nifty50 Div Point,        48.56,        55.34,        55.34,        55.34,        55.34,6.78
,Nifty100 Liq 15,      4144.85,      4162.05,      4190.15,      4154.20,      4187.25,42.4
,Nifty CPSE,      2412.65,      2426.50,      2427.40,      2381.70,      2389.90,-22.75
,Nifty GrowSect 15,      6171.30,      6192.35,      6234.80,      6187.95,      6226.70,55.4
,Nifty50 PR 2x Lev,      4138.05,      4170.85,      4205.80,      4170.60,      4201.10,63.05
,Nifty50 PR 1x Inv,       428.15,       426.50,       426.50,       424.70,       424.90,-3.25
,Nifty50 TR 2x Lev,      5044.85,      5091.80,      5134.40,      5091.45,      5128.70,83.85
,Nifty50 TR 1x Inv,       387.75,       385.95,       386.00,       384.35,       384.55,-3.2
,Nifty50 Value 20,      4180.10,      4198.00,      4214.35,      4195.25,      4211.85,31.75
,Nifty Mid Liq 15,      3927.90,      3944.95,      3954.00,      3924.25,      3944.95,17.05
,Nifty Pvt Bank,     13193.60,     13263.30,     13359.95,     13261.35,     13330.45,136.85
,Nifty Quality 30,      2346.20,      2354.00,      2364.40,      2353.45,      2362.80,16.6
,Nifty GS 8 13Yr,      1728.67,      1729.00,      1731.78,      1725.43,      1729.26,.59
,Nifty GS 10Yr,      1654.37,      1654.67,      1658.47,      1654.67,      1654.95,.58
,Nifty GS 10Yr Cln,       993.84,       993.84,       996.15,       993.84,       994.01,.17
,Nifty GS 4 8Yr,      1786.37,      1786.72,      1789.84,      1786.72,      1787.60,1.23
,Nifty GS 11 15Yr,      1803.38,      1803.73,      1806.84,      1803.73,      1804.24,.86
,Nifty GS 15YrPlus,      1935.48,      1935.86,      1939.53,      1935.86,      1938.34,2.86
,Nifty GS Compsite,      1763.23,      1763.57,      1766.50,      1762.13,      1764.08,.85

,ADVANCES,846
,DECLINES,846
,UNCHANGED,71

,Total securities that have hit their price bands today,127

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AUBANK,EQ,       629.55,       691.15,9.78,1468.61
,AXISBANK,EQ,       506.75,       511.90,1.02,1140.46
,HUDCO,EQ,        90.05,        97.70,8.5,966.02
,RELIANCE,EQ,      1511.10,      1522.10,0.73,797.56
,CDSL,EQ,       403.95,       444.30,9.99,677.33
,YESBANK,EQ,      1515.45,      1582.00,4.39,646.76
,ITC,EQ,       328.85,       338.75,3.01,589.68
,HINDPETRO,EQ,       359.25,       375.10,4.41,454.58
,HDFC,EQ,      1639.95,      1656.90,1.03,451.9
,ICICIBANK,EQ,       292.35,       297.90,1.9,409.12
,SINTEX,EQ,        29.50,        34.15,15.76,396.1
,TCS,EQ,      2439.45,      2446.40,0.28,383.59
,MARUTI,EQ,      7476.65,      7567.55,1.22,355.72
,BIOCON,EQ,       366.75,       367.70,0.26,301.68
,IOC,EQ,       392.60,       380.95,-2.97,288.85
,UJJIVAN,EQ,       331.90,       350.55,5.62,288.84
,GRASIM,EQ,      1265.55,      1287.35,1.72,281.84
,KOTAKBANK,EQ,       956.65,       962.10,0.57,268.31
,BHARATFIN,EQ,       765.10,       786.35,2.78,266.48
,INFY,EQ,       972.35,       977.05,0.48,252.57
,SUNPHARMA,EQ,       562.40,       569.30,1.23,247.58
,SBIN,EQ,       287.65,       288.75,0.38,243.29
,ERIS,EQ,       618.35,       679.25,9.85,242.68
,HINDALCO,EQ,       200.60,       204.70,2.04,240.58
,TATASTEEL,EQ,       559.10,       563.95,0.87,239.6

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,      1582.00,      1515.45,4.39
,ITC,EQ,       338.75,       328.85,3.01
,HINDALCO,EQ,       204.70,       200.60,2.04
,IBULHSGFIN,EQ,      1129.15,      1107.65,1.94
,ICICIBANK,EQ,       297.90,       292.35,1.9

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       458.55,       683.70,-32.93
,LT,EQ,      1175.10,      1739.55,-32.45
,IOC,EQ,       380.95,       392.60,-2.97
,ONGC,EQ,       158.90,       162.85,-2.43
,INFRATEL,EQ,       410.60,       420.30,-2.31

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.10,                  7713499.25,186308
,3IINFOTECH,EQ,         4.45,                 11711961.20,2573437
,3MINDIA,EQ,     13504.70,                 26959129.70,1991
,63MOONS,EQ,        64.20,                  2362962.30,36732
,8KMILES,EQ,       543.00,                 40487376.30,73805
,A2ZINFRA,EQ,        43.60,                 22166785.55,507319
,AARTIDRUGS,EQ,       558.30,                  6106525.70,10992
,AARTIIND,EQ,       987.15,                 86088503.55,87375
,AARVEEDEN,EQ,        66.95,                  1816799.15,27166
,ABAN,EQ,       189.60,                111229897.25,582715
,ABBOTINDIA,EQ,      4407.75,                 13290749.30,3029
,ABFRL,EQ,       177.15,                 41361040.25,232926
,ABGSHIP,BZ,        13.80,                   278212.05,20355
,ABMINTLTD,BE,        94.90,                   134188.60,1414
,ACCELYA,EQ,      1379.30,                  8375215.55,6078
,ACCORD,SM,        71.30,                  8760600.00,118000
,ACE,EQ,        71.80,                 20344656.50,279701
,ACEINTEG,SM,        39.55,                 10349550.00,258000
,ADANIENT,EQ,       140.80,               1547502496.00,10926196
,ADANIPOWER,EQ,        30.25,                317966643.40,10622284
,ADANITRANS,EQ,       125.60,                 83589803.55,666278
,ADFFOODS,EQ,       254.75,                 24234276.05,94667
,ADHUNIK,EQ,         5.80,                   222761.70,37885
,ADHUNIKIND,EQ,       100.40,                 19870569.30,197150
,ADLABS,EQ,        72.05,                 31363219.50,431742
,ADORWELD,EQ,       371.35,                  2560847.85,6851
,ADSL,BE,        26.15,                   353015.05,13502
,ADVANIHOTR,EQ,        61.60,                   629523.95,10369
,ADVENZYMES,EQ,       354.60,                123172818.70,346054
,AEGISCHEM,EQ,       189.55,                 29926139.00,158064
,AFL,BE,        54.25,                   133427.55,2493
,AGARIND,BE,       670.00,                   474988.00,712
,AGCNET,BE,       122.20,                   172062.55,1402
,AGRITECH,EQ,        62.55,                  4152750.10,63726
,AGROPHOS,SM,        22.50,                  1333200.00,60000
,AHLEAST,EQ,       290.05,                    63056.45,217
,AHLUCONT,EQ,       294.95,                 58738561.70,197251
,AHLWEST,EQ,       165.00,                    54243.55,327
,AIAENG,EQ,      1436.25,                 38893039.15,26955
,AICHAMP,BE,        24.50,                     1568.00,64
,AIFL,EQ,       402.20,                 39697351.55,98414
,AIRAN,SM,       151.90,                   455700.00,3000
,AJANTPHARM,EQ,      1475.05,                161023117.60,108985
,AJMERA,EQ,       216.80,                 14197834.05,65060
,AKSHARCHEM,EQ,       866.60,                 20613703.00,23704
,AKSHOPTFBR,EQ,        22.70,                 33193658.95,1457935
,AKZOINDIA,EQ,      1813.90,                 13030521.10,7205
,ALANKIT,BE,        35.40,                  9838996.90,277549
,ALBERTDAVD,EQ,       326.75,                   362266.70,1108
,ALBK,EQ,        70.50,                134489775.30,1902216
,ALCHEM,EQ,        16.00,                   148804.05,9283
,ALEMBICLTD,EQ,        41.30,                 16080427.70,384342
,ALICON,EQ,       535.45,                  5710611.90,10485
,ALKALI,EQ,        68.45,                   617439.30,9021
,ALKEM,EQ,      1807.30,                 26345196.55,14536
,ALKYLAMINE,EQ,       423.25,                  8258020.75,19423
,ALLCARGO,EQ,       172.50,                108551534.45,627182
,ALLSEC,EQ,       319.10,                  6058833.25,18913
,ALMONDZ,EQ,        24.75,                  1947021.40,78264
,ALOKTEXT,EQ,         2.95,                  9514937.00,3199014
,ALPA,BE,        34.45,                   363012.80,10545
,ALPHAGEO,EQ,       842.15,                 22217758.25,26289
,ALPSINDUS,EQ,         6.60,                   399872.45,61085
,AMARAJABAT,EQ,       852.15,                154236372.45,181074
,AMBIKCO,EQ,      1314.05,                  3287912.30,2517
,AMDIND,EQ,        29.00,                   567414.00,19701
,AMRUTANJAN,EQ,       671.80,                  6901926.00,10122
,AMTEKAUTO,EQ,        30.80,                 26051189.50,840470
,ANANTRAJ,EQ,        64.00,                100111835.20,1541361
,ANDHRABANK,EQ,        56.95,                105600964.25,1851386
,ANDHRACEMT,EQ,         9.90,                  2123468.35,214447
,ANDHRSUGAR,EQ,       345.05,                 15489238.05,44658
,ANGIND,EQ,         8.00,                   157787.75,20015
,ANIKINDS,BE,        25.15,                   203525.75,7959
,ANKITMETAL,EQ,         1.35,                    26132.90,19357
,ANSALAPI,EQ,        28.55,                  5852879.85,203118
,ANSALHSG,EQ,        27.95,                   997483.70,35524
,ANTGRAPHIC,BE,         1.70,                    10581.50,6220
,APARINDS,EQ,       792.55,                  8990670.55,11361
,APCL,EQ,       227.50,                   729129.60,3220
,APCOTEXIND,EQ,       425.20,                  5780433.25,13617
,APLAPOLLO,EQ,      1598.65,                 55381841.50,34708
,APLLTD,EQ,       540.30,                 34715019.65,64373
,APOLLOHOSP,EQ,      1250.00,                231261521.85,186206
,APOLLOTYRE,EQ,       251.50,                533692391.10,2118858
,APOLSINHOT,EQ,       830.00,                   101558.75,125
,APTECHT,EQ,       208.40,                 58510396.60,280024
,ARCHIDPLY,EQ,       104.55,                 10130206.90,96691
,ARCHIES,EQ,        35.00,                  5775256.50,162078
,ARCOTECH,EQ,        73.20,                 16450258.85,223738
,ARIES,EQ,       153.30,                 10295685.75,66863
,ARIHANTSUP,EQ,       191.25,                 97298941.40,504083
,ARMANFIN,EQ,       216.45,                  2047834.75,9372
,AROGRANITE,EQ,        75.40,                  2263442.00,29741
,ARROWGREEN,EQ,       544.90,                 17576462.85,32147
,ARROWTEX,EQ,        46.20,                  1127224.85,24336
,ARSHIYA,EQ,        69.95,                  9361548.00,133855
