,10-Aug-2017
The Nifty witnessed an intraday movement of about 116.45 points.The closing index was 0.89 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31702.06
, Traded Quantity (in Lakhs), 16307.76
, Number of Trades, 10922646
, Total Market Capitalisation (Rs. Crores), 12674830.26

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9908.05,      9872.85,      9892.65,      9776.20,      9820.25,-87.8
,Nifty IT,     10613.55,     10590.35,     10700.90,     10586.15,     10662.35,48.8
,Nifty Next 50,     27652.00,     27511.30,     27554.50,     26579.30,     26895.05,-756.95
,Nifty Bank,     24374.60,     24300.45,     24326.90,     23822.20,     24217.35,-157.25
,Nifty MID100 Free,     18040.00,     17954.45,     17969.65,     17224.10,     17462.85,-577.15
,Nifty 500,      8637.15,      8603.70,      8606.90,      8443.10,      8497.75,-139.4
,Nifty 100,     10254.55,     10215.65,     10229.00,     10078.05,     10133.85,-120.7
,Nifty Midcap 50,      4665.80,      4639.10,      4656.65,      4440.60,      4514.95,-150.85
,Nifty Realty,       271.05,       269.35,       272.65,       249.60,       257.30,-13.75
,Nifty Infra,      3336.00,      3324.35,      3324.35,      3263.60,      3290.15,-45.85
,Nifty Energy,     13009.55,     12952.35,     12992.70,     12728.95,     12804.95,-204.6
,Nifty FMCG,     25102.80,     25015.40,     25117.45,     24875.75,     24969.25,-133.55
,Nifty MNC,     13016.05,     12949.55,     12972.70,     12777.45,     12847.45,-168.6
,Nifty Pharma,      8766.25,      8757.30,      8917.55,      8390.60,      8513.20,-253.05
,Nifty PSE,      4070.75,      4053.10,      4054.35,      3929.70,      3962.70,-108.05
,Nifty PSU Bank,      3555.65,      3537.70,      3550.05,      3403.50,      3461.35,-94.3
,Nifty Serv Sector,     13054.40,     13017.60,     13060.00,     12865.20,     12965.85,-88.55
,India VIX,13.4525,13.4525,14.1675,12.2300,13.8025,0.3500
,Nifty Auto,     10925.65,     10820.05,     10834.85,     10526.20,     10606.50,-319.15
,Nifty Metal,      3383.40,      3374.05,      3403.95,      3288.40,      3328.65,-54.75
,Nifty Media,      3014.15,      3004.10,      3012.55,      2845.35,      2910.25,-103.9
,Nifty SML100 Free,      7516.20,      7475.05,      7483.50,      7094.25,      7169.00,-347.2
,Nifty 200,      5353.95,      5332.80,      5337.25,      5244.05,      5277.90,-76.05
,Nifty Div Opps 50,      2456.80,      2447.60,      2452.95,      2408.30,      2426.00,-30.8
,Nifty Commodities,      3739.75,      3725.00,      3729.95,      3647.10,      3678.55,-61.2
,Nifty Consumption,      4479.60,      4462.05,      4466.90,      4414.20,      4432.35,-47.25
,Nifty Fin Service,     10022.25,      9991.60,     10022.45,      9783.20,      9923.15,-99.1
,Nifty50 Div Point,        71.07,        71.69,        71.69,        71.69,        71.69,.62
,Nifty100 Liq 15,      4369.60,      4357.75,      4378.80,      4273.15,      4316.10,-53.5
,Nifty CPSE,      2446.85,      2433.25,      2436.90,      2368.65,      2382.60,-64.25
,Nifty GrowSect 15,      6042.05,      6028.90,      6036.85,      5942.35,      5968.75,-73.3
,Nifty50 PR 2x Lev,      4194.25,      4163.75,      4179.85,      4083.10,      4119.20,-75.05
,Nifty50 PR 1x Inv,       425.90,       427.50,       431.60,       426.70,       429.75,3.85
,Nifty50 TR 2x Lev,      5136.55,      5099.85,      5119.55,      5001.10,      5045.30,-91.25
,Nifty50 TR 1x Inv,       384.85,       386.25,       389.95,       385.50,       388.30,3.45
,Nifty50 Value 20,      4310.55,      4296.45,      4307.60,      4241.70,      4285.85,-24.7
,Nifty Mid Liq 15,      3890.80,      3869.10,      3889.45,      3716.85,      3782.05,-108.75
,Nifty Pvt Bank,     13500.15,     13460.20,     13492.20,     13128.70,     13436.30,-63.85
,Nifty Quality 30,      2312.45,      2305.40,      2311.15,      2282.00,      2292.30,-20.15
,Nifty GS 8 13Yr,      1737.42,      1737.74,      1737.96,      1736.57,      1737.62,.2
,Nifty GS 10Yr,      1661.43,      1661.73,      1662.41,      1660.37,      1662.05,.62
,Nifty GS 10Yr Cln,       993.19,       993.19,       993.60,       992.36,       993.38,.19
,Nifty GS 4 8Yr,      1805.39,      1805.75,      1805.75,      1803.55,      1804.72,-.67
,Nifty GS 11 15Yr,      1814.54,      1814.88,      1815.35,      1813.67,      1814.83,.29
,Nifty GS 15YrPlus,      1946.46,      1946.84,      1946.84,      1945.61,      1946.23,-.23
,Nifty GS Compsite,      1774.94,      1775.28,      1775.28,      1773.92,      1774.93,-.01

,ADVANCES,187
,DECLINES,1532
,UNCHANGED,32

,Total securities that have hit their price bands today,148

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       416.05,       380.20,-8.62,1090.31
,SIS,EQ,       815.00,       757.05,-7.11,669.31
,AUROPHARMA,EQ,       683.60,       685.25,0.24,630.96
,IBREALEST,EQ,       249.40,       227.95,-8.6,615.45
,RELCAPITAL,EQ,       799.50,       764.25,-4.41,569.81
,HDFC,EQ,      1731.65,      1709.80,-1.26,550.6
,ICICIBANK,EQ,       290.60,       288.75,-0.64,496.14
,AXISBANK,EQ,       486.95,       485.50,-0.3,492.43
,SUNPHARMA,EQ,       474.35,       460.80,-2.86,472.78
,TATASTEEL,EQ,       605.05,       604.35,-0.12,466.95
,INFY,EQ,       969.35,       981.25,1.23,448.81
,SBIN,EQ,       302.30,       296.70,-1.85,433.55
,VEDL,EQ,       300.20,       298.80,-0.47,422.56
,MOTHERSUMI,EQ,       329.05,       317.45,-3.53,383.05
,NATCOPHARM,EQ,       829.45,       695.75,-16.12,370.87
,RELIANCE,EQ,      1598.80,      1584.35,-0.9,370.41
,BHARATFORG,EQ,      1165.75,      1142.85,-1.96,369.11
,YESBANK,EQ,      1741.55,      1730.10,-0.66,368.93
,HDFCBANK,EQ,      1764.45,      1760.45,-0.23,342.67
,HDIL,EQ,        57.20,        56.20,-1.75,317.25
,DRREDDY,EQ,      2048.35,      1944.45,-5.07,309.24
,JPASSOCIAT,EQ,        25.60,        23.30,-8.98,304.4
,BAJFINANCE,EQ,      1697.70,      1635.60,-3.66,303.8
,MARUTI,EQ,      7661.60,      7578.75,-1.08,292.76
,ITC,EQ,       272.85,       273.10,0.09,272.87

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       404.00,       393.85,2.58
,INFY,EQ,       981.25,       969.35,1.23
,WIPRO,EQ,       288.15,       286.50,.58
,HCLTECH,EQ,       882.90,       878.75,.47
,KOTAKBANK,EQ,       996.80,       992.40,.44

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       380.20,       416.05,-8.62
,TATAMTRDVR,EQ,       221.45,       242.25,-8.59
,DRREDDY,EQ,      1944.45,      2048.35,-5.07
,GAIL,EQ,       365.00,       382.20,-4.5
,EICHERMOT,EQ,     30111.70,     31489.10,-4.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.95,                  1872399.80,53280
,3IINFOTECH,EQ,         3.80,                 11952866.15,3096759
,3MINDIA,EQ,     13113.30,                 39606205.55,2985
,63MOONS,EQ,        54.90,                  4609722.00,82367
,8KMILES,EQ,       499.65,                 20886788.15,41639
,A2ZINFRA,EQ,        35.30,                 25214627.60,690710
,AARTIDRUGS,EQ,       526.80,                  4301965.20,7991
,AARTIIND,EQ,       894.25,                 14854806.30,16330
,AARVEEDEN,EQ,        44.85,                  4496463.30,95171
,ABAN,EQ,       168.55,                107548403.90,625990
,ABBOTINDIA,EQ,      4400.30,                 11675879.20,2659
,ABFRL,EQ,       168.20,                 99948165.00,597867
,ABGSHIP,BZ,        12.65,                   410692.55,32069
,ABMINTLTD,BE,        79.90,                    26988.15,339
,ACCELYA,EQ,      1377.65,                  4585078.45,3322
,ACCORD,SM,        59.75,                   239000.00,4000
,ACE,EQ,        60.75,                 14977671.80,241477
,ACEINTEG,SM,        34.00,                   938250.00,27000
,ADANIENT,EQ,       115.85,                612279800.95,5134939
,ADANIPOWER,EQ,        28.70,                457372754.20,15563130
,ADANITRANS,EQ,       116.90,                145212614.10,1220955
,ADFFOODS,EQ,       204.75,                 25088240.35,118806
,ADHUNIK,EQ,         4.65,                  1011877.50,211146
,ADLABS,EQ,        57.60,                 17816624.40,307657
,ADORWELD,EQ,       375.80,                  1708363.10,4550
,ADSL,BE,        22.90,                   707104.25,30434
,ADVANIHOTR,EQ,        56.75,                   360831.60,6393
,ADVENZYMES,EQ,       283.10,                 78856231.70,278478
,AEGISCHEM,EQ,       178.10,                 30327756.80,169064
,AFL,BE,        34.80,                    27840.00,800
,AGARIND,BE,       570.85,                   587057.50,1025
,AGCNET,BE,       109.75,                   480345.65,4364
,AGLSL,EQ,       124.75,                  1949019.45,15556
,AGRITECH,EQ,        56.70,                  1943420.90,34060
,AGROPHOS,SM,        19.30,                  1490700.00,72000
,AHLEAST,EQ,       270.25,                   103840.60,384
,AHLUCONT,EQ,       264.90,                  2275692.85,8600
,AHLWEST,EQ,       165.00,                   542384.90,3289
,AIAENG,EQ,      1382.95,                 15801058.00,11306
,AIFL,EQ,       396.85,                 44107590.50,110639
,AIRAN,SM,       144.00,                  1314000.00,9000
,AJANTPHARM,EQ,      1210.80,                400942172.50,328890
,AJMERA,EQ,       184.35,                 15660066.85,82940
,AKASH,SM,        80.35,                   723400.00,9000
,AKSHARCHEM,EQ,       709.60,                  7348986.75,10177
,AKSHOPTFBR,EQ,        21.95,                 63804670.65,2810054
,AKZOINDIA,EQ,      1763.80,                 13123567.85,7398
,ALANKIT,BE,        34.65,                 18251801.85,529098
,ALBERTDAVD,EQ,       312.85,                   919461.00,2926
,ALBK,EQ,        65.70,                227813004.30,3394795
,ALCHEM,EQ,        13.75,                   166515.30,11946
,ALEMBICLTD,EQ,        37.20,                 15180652.05,401632
,ALICON,EQ,       513.60,                  3144889.75,5950
,ALKALI,EQ,        58.55,                   611780.35,10167
,ALKEM,EQ,      1728.60,                130955870.10,75369
,ALKYLAMINE,EQ,       378.20,                  3715714.75,9851
,ALLCARGO,EQ,       162.65,                 50416388.85,310466
,ALLSEC,EQ,       326.55,                  5246825.10,15949
,ALMONDZ,EQ,        22.45,                   600054.40,26086
,ALOKTEXT,EQ,         2.85,                 18803726.30,6434565
,ALPA,BE,        28.80,                   587291.15,20098
,ALPHAGEO,EQ,       784.60,                 35153516.95,44219
,ALPSINDUS,EQ,         5.40,                   238447.15,44083
,AMARAJABAT,EQ,       800.25,                171278263.00,213527
,AMBIKCO,EQ,      1280.90,                  4850260.00,3709
,AMDIND,EQ,        35.00,                  7691892.05,219139
,AMRUTANJAN,EQ,       594.50,                  2384469.25,3973
,AMTEKAUTO,EQ,        25.25,                 24553476.35,954707
,ANANTRAJ,EQ,        52.65,                 78221864.70,1441352
,ANDHRABANK,EQ,        50.80,                201842807.60,3879893
,ANDHRACEMT,EQ,         8.60,                  2808746.75,321298
,ANDHRSUGAR,EQ,       319.80,                  8665728.80,26581
,ANGIND,EQ,         6.95,                   239454.60,34809
,ANIKINDS,BE,        28.05,                   180503.10,6359
,ANSALAPI,EQ,        21.95,                  5972176.05,261833
,ANSALHSG,EQ,        20.65,                  2071304.95,97005
,ANTGRAPHIC,BE,         1.35,                    57926.90,42794
,APARINDS,EQ,       721.20,                 23090944.75,32071
,APCL,EQ,       201.90,                  1563959.60,7578
,APCOTEXIND,EQ,       391.90,                  8440700.05,21088
,APLAPOLLO,EQ,      1549.65,                 10411793.95,6716
,APLLTD,EQ,       523.65,                 38239858.20,72666
,APOLLOHOSP,EQ,      1213.80,                265765571.90,218907
,APOLLOTYRE,EQ,       262.60,               1246600344.40,4651785
,APOLSINHOT,EQ,       655.10,                    76528.60,115
,APTECHT,EQ,       204.20,                 67395299.55,320366
,ARCHIDPLY,EQ,        84.70,                 11171716.55,126254
,ARCHIES,EQ,        28.85,                  4186043.70,141354
,ARCOTECH,EQ,        89.40,                 65860920.50,722689
,ARIES,EQ,       133.05,                 12509343.55,90028
,ARIHANT,BE,        52.00,                     6312.50,125
,ARIHANTSUP,EQ,       167.50,                 83221440.20,483519
,ARMANFIN,EQ,       183.30,                 10412296.40,55907
,AROGRANITE,EQ,        62.05,                  1513481.25,24043
,ARROWGREEN,EQ,       510.75,                 11082251.35,21428
,ARROWTEX,EQ,        41.40,                   864365.95,20445
,ARSHIYA,EQ,        69.20,                 28558447.05,419441
,ARVIND,EQ,       368.50,                732428577.00,1944042
,ARVSMART,EQ,       131.10,                  8022759.90,60039
,ASAHIINDIA,EQ,       283.55,                 18937085.85,65784
