,17-Aug-2017
The Nifty witnessed an intraday movement of about 64.05 points.The closing index was 0.07 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 24336.4
, Traded Quantity (in Lakhs), 12743.77
, Number of Trades, 8870208
, Total Market Capitalisation (Rs. Crores), 12925665.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9897.30,      9945.55,      9947.80,      9883.75,      9904.15,6.85
,Nifty IT,     10659.70,     10784.60,     10839.95,     10688.85,     10797.80,138.1
,Nifty Next 50,     27734.30,     27851.35,     27975.25,     27660.60,     27718.35,-15.95
,Nifty Bank,     24437.70,     24495.20,     24496.20,     24121.55,     24237.25,-200.45
,Nifty MID100 Free,     18088.70,     18147.30,     18265.45,     18088.35,     18125.80,37.1
,Nifty 500,      8635.70,      8674.15,      8685.25,      8627.40,      8643.30,7.6
,Nifty 100,     10249.95,     10298.85,     10300.60,     10234.70,     10255.00,5.05
,Nifty Midcap 50,      4687.35,      4696.55,      4723.05,      4664.35,      4675.80,-11.55
,Nifty Realty,       271.95,       272.95,       276.85,       271.70,       273.50,1.55
,Nifty Infra,      3312.05,      3324.70,      3345.95,      3302.50,      3322.40,10.35
,Nifty Energy,     12831.20,     12866.25,     12982.85,     12850.60,     12892.40,61.2
,Nifty FMCG,     25534.80,     25680.85,     25680.85,     25427.70,     25511.35,-23.45
,Nifty MNC,     12983.50,     13024.40,     13044.80,     12922.40,     12938.60,-44.9
,Nifty Pharma,      8859.40,      8881.55,      8909.70,      8779.50,      8797.10,-62.3
,Nifty PSE,      4007.75,      4020.00,      4079.40,      4006.10,      4062.50,54.75
,Nifty PSU Bank,      3355.45,      3365.75,      3391.75,      3326.85,      3336.90,-18.55
,Nifty Serv Sector,     13078.35,     13151.80,     13167.35,     13049.00,     13117.65,39.3
,India VIX,14.2375,14.2375,14.6225,10.7925,14.3400,0.1025
,Nifty Auto,     10778.75,     10804.25,     10810.15,     10682.40,     10694.65,-84.1
,Nifty Metal,      3383.95,      3405.65,      3457.80,      3400.15,      3409.15,25.2
,Nifty Media,      2961.20,      2966.40,      3012.95,      2937.30,      2990.85,29.65
,Nifty SML100 Free,      7491.65,      7518.35,      7600.50,      7513.95,      7551.50,59.85
,Nifty 200,      5354.30,      5378.75,      5382.10,      5345.85,      5356.25,1.95
,Nifty Div Opps 50,      2463.65,      2478.35,      2490.95,      2468.55,      2481.00,17.35
,Nifty Commodities,      3728.65,      3746.55,      3776.45,      3742.50,      3747.85,19.2
,Nifty Consumption,      4485.30,      4497.75,      4497.75,      4465.40,      4473.55,-11.75
,Nifty Fin Service,     10046.10,     10070.30,     10077.65,      9979.50,     10020.50,-25.6
,Nifty50 Div Point,        76.25,        76.25,        76.25,        76.25,        76.25,0
,Nifty100 Liq 15,      4363.15,      4379.10,      4390.85,      4333.30,      4342.85,-20.3
,Nifty CPSE,      2402.45,      2411.35,      2452.35,      2405.55,      2443.75,41.3
,Nifty GrowSect 15,      6067.80,      6083.15,      6084.65,      6029.95,      6044.25,-23.55
,Nifty50 PR 2x Lev,      4178.70,      4218.80,      4220.50,      4166.70,      4183.85,5.15
,Nifty50 PR 1x Inv,       426.70,       424.70,       427.35,       424.60,       426.50,-.2
,Nifty50 TR 2x Lev,      5123.05,      5172.20,      5174.30,      5108.30,      5129.35,6.3
,Nifty50 TR 1x Inv,       385.35,       383.55,       385.95,       383.45,       385.15,-.2
,Nifty50 Value 20,      4284.90,      4315.80,      4329.95,      4292.55,      4310.05,25.15
,Nifty Mid Liq 15,      3890.45,      3898.90,      3925.85,      3863.25,      3873.60,-16.85
,Nifty Pvt Bank,     13664.00,     13708.75,     13708.75,     13485.95,     13551.60,-112.4
,Nifty Quality 30,      2323.25,      2337.50,      2337.60,      2320.20,      2330.90,7.65
,Nifty GS 8 13Yr,      1732.13,      1732.46,      1732.46,      1732.46,      1732.46,.33
,Nifty GS 10Yr,      1656.01,      1656.31,      1656.31,      1656.31,      1656.31,.3
,Nifty GS 10Yr Cln,       988.43,       988.43,       988.43,       988.43,       988.43,0
,Nifty GS 4 8Yr,      1802.70,      1803.06,      1803.06,      1803.06,      1803.06,.36
,Nifty GS 11 15Yr,      1808.22,      1808.56,      1808.56,      1808.56,      1808.56,.34
,Nifty GS 15YrPlus,      1939.93,      1940.32,      1940.32,      1940.32,      1940.32,.39
,Nifty GS Compsite,      1770.29,      1770.63,      1770.63,      1770.63,      1770.63,.34

,ADVANCES,923
,DECLINES,726
,UNCHANGED,87

,Total securities that have hit their price bands today,115

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,       975.20,      1020.85,4.68,1305.48
,BEML,EQ,      1717.20,      1858.85,8.25,786.55
,VEDL,EQ,       297.20,       304.80,2.56,583.65
,RELIANCE,EQ,      1566.10,      1567.10,0.06,571.68
,COALINDIA,EQ,       237.95,       246.95,3.78,508.46
,HDFC,EQ,      1741.75,      1759.25,1,419.85
,ITC,EQ,       279.20,       280.00,0.29,384.47
,SBIN,EQ,       283.10,       280.85,-0.79,342
,YESBANK,EQ,      1761.85,      1738.10,-1.35,335.72
,DLF,EQ,       180.80,       185.20,2.43,313.95
,BANKBARODA,EQ,       147.15,       148.25,0.75,301.34
,TATASTEEL,EQ,       631.20,       625.40,-0.92,291.17
,GMRINFRA,EQ,        16.50,        18.55,12.42,277.32
,RELCAPITAL,EQ,       791.20,       783.25,-1,269.26
,MARUTI,EQ,      7701.15,      7582.45,-1.54,245.12
,IBREALEST,EQ,       230.00,       237.00,3.04,243.78
,HINDALCO,EQ,       233.60,       230.30,-1.41,241.58
,HDFCBANK,EQ,      1781.25,      1765.40,-0.89,241.41
,ICICIBANK,EQ,       294.95,       293.15,-0.61,240.41
,TATAMOTORS,EQ,       389.25,       385.30,-1.01,231.74
,BPCL,EQ,       483.95,       493.70,2.01,229.41
,BIOCON,EQ,       328.40,       328.40,0,226.1
,SUNPHARMA,EQ,       485.70,       488.25,0.53,217.62
,TCS,EQ,      2492.35,      2485.65,-0.27,217.3
,TATAGLOBAL,EQ,       193.85,       190.60,-1.68,200.5

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      1020.85,       975.20,4.68
,NTPC,EQ,       176.80,       170.10,3.94
,COALINDIA,EQ,       246.95,       237.95,3.78
,VEDL,EQ,       304.80,       297.20,2.56
,BHARTIARTL,EQ,       416.35,       407.75,2.11

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       573.20,       590.45,-2.92
,ADANIPORTS,EQ,       389.30,       397.55,-2.08
,ACC,EQ,      1780.10,      1811.20,-1.72
,MARUTI,EQ,      7582.45,      7701.15,-1.54
,AUROPHARMA,EQ,       703.50,       713.90,-1.46

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.55,                   917716.50,26384
,3IINFOTECH,EQ,         3.95,                  4528902.55,1142617
,3MINDIA,EQ,     13790.45,                 24610465.25,1776
,63MOONS,EQ,        62.30,                  7476109.05,118254
,8KMILES,EQ,       492.15,                 24826569.00,49959
,A2ZINFRA,EQ,        39.50,                 44945983.10,1142886
,AARTIDRUGS,EQ,       504.80,                  3882054.45,7610
,AARTIIND,EQ,       858.15,                 16091051.95,18627
,AARVEEDEN,EQ,        32.30,                 25843280.65,866378
,ABAN,EQ,       185.30,                874943220.20,4870632
,ABBOTINDIA,EQ,      4330.75,                 13045445.80,3016
,ABFRL,EQ,       170.25,                 44247768.15,257031
,ABGSHIP,BZ,        12.10,                   179783.35,14669
,ABMINTLTD,BE,        79.00,                    16396.50,211
,ACCELYA,EQ,      1403.05,                  8315292.05,5972
,ACCORD,SM,        55.60,                   222500.00,4000
,ACE,EQ,        64.20,                  7963612.00,123094
,ACEINTEG,SM,        34.25,                   614250.00,18000
,ADANIENT,EQ,       113.40,                431079074.15,3746529
,ADANIPOWER,EQ,        28.70,                154028982.25,5285095
,ADANITRANS,EQ,       111.45,                 29647258.60,266796
,ADFFOODS,EQ,       238.15,                 57582338.20,240074
,ADHUNIK,EQ,         4.40,                   409639.90,93474
,ADLABS,EQ,        57.70,                  7873859.40,135090
,ADORWELD,EQ,       380.55,                   801028.15,2077
,ADSL,BE,        24.10,                  1119558.55,46406
,ADVANIHOTR,EQ,        57.10,                   152878.55,2677
,ADVENZYMES,EQ,       296.90,                 30718836.50,103254
,AEGISCHEM,EQ,       189.20,                 17308053.85,91766
,AFL,BE,        32.10,                    21487.50,650
,AGARIND,BE,       551.00,                   185449.25,336
,AGCNET,BE,       103.85,                   421868.80,4077
,AGLSL,EQ,       128.10,                  3736587.40,29231
,AGRITECH,EQ,        80.35,                  2752382.60,34313
,AHLEAST,EQ,       267.15,                   126827.60,474
,AHLUCONT,EQ,       278.75,                  9325298.25,33188
,AHLWEST,EQ,       165.05,                   408352.75,2436
,AIAENG,EQ,      1400.30,                258885448.65,185518
,AICHAMP,BE,        28.50,                       28.50,1
,AIFL,EQ,       396.10,                 38618804.60,97535
,AIRAN,SM,       150.00,                   898500.00,6000
,AJANTPHARM,EQ,      1215.45,                169677710.15,138319
,AJMERA,EQ,       185.90,                  7049133.15,37761
,AKASH,SM,        78.40,                   303400.00,4000
,AKSHARCHEM,EQ,       763.20,                 13066827.75,16814
,AKSHOPTFBR,EQ,        26.75,                287620510.90,10600421
,AKZOINDIA,EQ,      1785.55,                  6865991.75,3865
,ALANKIT,BE,        33.35,                  7472351.15,224176
,ALBERTDAVD,EQ,       313.70,                   345188.70,1106
,ALBK,EQ,        67.25,                173978819.60,2584744
,ALCHEM,EQ,        14.25,                   115061.60,8084
,ALEMBICLTD,EQ,        38.00,                  3200733.75,84155
,ALICON,EQ,       526.05,                  2107485.60,3994
,ALKALI,EQ,        59.30,                   732229.25,12221
,ALKEM,EQ,      1818.50,                 70364795.10,38442
,ALKYLAMINE,EQ,       387.75,                  8769882.45,22623
,ALLCARGO,EQ,       164.50,                 14996357.40,90527
,ALLSEC,EQ,       352.05,                  4589199.60,13000
,ALMONDZ,EQ,        22.55,                   101154.10,4426
,ALOKTEXT,EQ,         3.15,                  6848428.70,2174817
,ALPA,BE,        29.10,                   208195.45,7120
,ALPHAGEO,EQ,       811.45,                 27954362.05,34609
,ALPSINDUS,EQ,         5.15,                    70484.50,13407
,AMARAJABAT,EQ,       806.00,                 92766590.60,114501
,AMBIKCO,EQ,      1356.95,                  1939670.30,1438
,AMDIND,EQ,        33.20,                   322823.30,9659
,AMRUTANJAN,EQ,       608.00,                  2575339.10,4221
,AMTEKAUTO,EQ,        26.85,                 33595044.15,1218709
,ANANDAMRUB,BE,        28.55,                       28.55,1
,ANANTRAJ,EQ,        55.75,                 92317121.35,1660108
,ANDHRABANK,EQ,        51.25,                106180599.05,2067573
,ANDHRACEMT,EQ,         8.80,                   799127.45,89809
,ANDHRSUGAR,EQ,       326.70,                  7842895.55,23937
,ANGIND,EQ,         6.65,                   228396.25,35412
,ANIKINDS,BE,        29.00,                    69016.80,2350
,ANSALAPI,EQ,        23.65,                  1784041.80,75511
,ANSALHSG,EQ,        22.80,                   778179.75,34232
,ANTGRAPHIC,BE,         1.20,                   123319.20,102766
,APARINDS,EQ,       771.75,                 10407616.55,13508
,APCL,EQ,       209.75,                    91866.35,440
,APCOTEXIND,EQ,       416.05,                  1942493.25,4684
,APLAPOLLO,EQ,      1527.45,                  7241636.15,4766
,APLLTD,EQ,       515.55,                 11369019.40,21891
,APOLLOHOSP,EQ,      1101.45,               1783139436.75,1613900
,APOLLOTYRE,EQ,       269.25,                937077967.05,3452974
,APOLSINHOT,EQ,       701.65,                    91658.85,131
,APTECHT,EQ,       220.00,                161148224.15,719054
,ARCHIDPLY,EQ,        90.30,                  7297273.00,79931
,ARCHIES,EQ,        28.95,                  4246127.45,145032
,ARCOTECH,EQ,        84.30,                  5065284.60,59517
,ARIES,EQ,       150.70,                 10769514.30,72076
,ARIHANTSUP,EQ,       175.65,                 63186313.60,359381
,ARMANFIN,EQ,       185.10,                  1294080.65,6954
,AROGRANITE,EQ,        64.55,                   494090.35,7677
,ARROWGREEN,EQ,       536.60,                  3373150.80,6232
,ARROWTEX,EQ,        43.25,                   436826.35,10085
,ARSHIYA,EQ,        73.00,                  3280014.55,44398
,ARVIND,EQ,       370.60,                259908792.15,690598
,ARVSMART,EQ,       135.20,                  2650082.35,19435
