,22-Aug-2017
The Nifty witnessed an intraday movement of about 75.85 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 23680.89
, Traded Quantity (in Lakhs), 11587.48
, Number of Trades, 9104213
, Total Market Capitalisation (Rs. Crores), 12734306.5

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9754.35,      9815.75,      9828.45,      9752.60,      9765.55,11.2
,Nifty IT,     10440.05,     10533.40,     10541.85,     10422.00,     10446.25,6.2
,Nifty Next 50,     27217.60,     27359.45,     27474.50,     27006.60,     27073.95,-143.65
,Nifty Bank,     23936.50,     24080.60,     24127.45,     23852.65,     23974.45,37.95
,Nifty MID100 Free,     17781.55,     17865.95,     17929.05,     17590.70,     17646.45,-135.1
,Nifty 500,      8509.40,      8558.95,      8575.95,      8487.10,      8499.30,-10.1
,Nifty 100,     10095.15,     10157.00,     10174.55,     10083.45,     10096.55,1.4
,Nifty Midcap 50,      4577.95,      4599.20,      4619.45,      4526.30,      4544.75,-33.2
,Nifty Realty,       268.55,       270.80,       271.85,       263.95,       266.15,-2.4
,Nifty Infra,      3287.70,      3307.85,      3313.50,      3264.00,      3270.60,-17.1
,Nifty Energy,     12796.30,     12861.20,     12958.85,     12828.40,     12843.45,47.15
,Nifty FMCG,     25598.75,     25708.10,     25769.40,     25541.40,     25604.75,6
,Nifty MNC,     12834.20,     12931.80,     12936.35,     12784.80,     12825.50,-8.7
,Nifty Pharma,      8490.20,      8555.15,      8630.50,      8494.55,      8566.65,76.45
,Nifty PSE,      3992.30,      4013.35,      4044.65,      4008.35,      4020.80,28.5
,Nifty PSU Bank,      3245.70,      3263.95,      3275.35,      3202.15,      3232.55,-13.15
,Nifty Serv Sector,     12826.15,     12918.10,     12931.80,     12784.65,     12835.20,9.05
,India VIX,14.8150,14.8150,14.8150,11.1625,14.1050,-0.7100
,Nifty Auto,     10572.75,     10629.65,     10647.25,     10468.10,     10482.90,-89.85
,Nifty Metal,      3337.60,      3373.80,      3392.00,      3327.35,      3340.20,2.6
,Nifty Media,      2917.60,      2942.60,      2954.55,      2904.80,      2927.95,10.35
,Nifty SML100 Free,      7408.75,      7456.65,      7496.85,      7340.30,      7366.25,-42.5
,Nifty 200,      5272.55,      5304.15,      5314.10,      5261.20,      5268.05,-4.5
,Nifty Div Opps 50,      2427.95,      2443.95,      2447.80,      2421.30,      2424.50,-3.45
,Nifty Commodities,      3693.15,      3712.85,      3734.60,      3695.45,      3701.10,7.95
,Nifty Consumption,      4454.00,      4480.05,      4481.90,      4439.00,      4443.60,-10.4
,Nifty Fin Service,      9893.40,      9951.15,      9972.70,      9865.85,      9910.25,16.85
,Nifty50 Div Point,        76.52,        76.52,        76.52,        76.52,        76.52,0
,Nifty100 Liq 15,      4275.90,      4301.00,      4323.70,      4265.95,      4282.15,6.25
,Nifty CPSE,      2377.45,      2394.60,      2413.65,      2385.85,      2400.70,23.25
,Nifty GrowSect 15,      6017.30,      6054.55,      6056.90,      6003.75,      6008.10,-9.2
,Nifty50 PR 2x Lev,      4055.00,      4105.40,      4115.90,      4053.10,      4063.65,8.65
,Nifty50 PR 1x Inv,       433.25,       430.60,       433.40,       430.05,       432.85,-.4
,Nifty50 TR 2x Lev,      4971.65,      5033.45,      5046.30,      4969.35,      4982.25,10.6
,Nifty50 TR 1x Inv,       391.25,       388.85,       391.40,       388.35,       390.90,-.35
,Nifty50 Value 20,      4216.25,      4251.90,      4254.70,      4206.75,      4214.35,-1.9
,Nifty Mid Liq 15,      3776.65,      3788.80,      3805.80,      3737.85,      3760.25,-16.4
,Nifty Pvt Bank,     13414.95,     13500.85,     13532.75,     13385.65,     13445.25,30.3
,Nifty Quality 30,      2286.00,      2300.55,      2303.55,      2283.80,      2286.85,.85
,Nifty GS 8 13Yr,      1733.60,      1733.92,      1734.86,      1731.47,      1731.89,-1.71
,Nifty GS 10Yr,      1659.85,      1660.16,      1660.75,      1658.08,      1658.40,-1.45
,Nifty GS 10Yr Cln,       990.03,       990.03,       990.40,       988.77,       988.97,-1.06
,Nifty GS 4 8Yr,      1804.81,      1805.16,      1806.60,      1804.83,      1804.83,.02
,Nifty GS 11 15Yr,      1808.82,      1809.17,      1810.18,      1806.03,      1806.64,-2.18
,Nifty GS 15YrPlus,      1943.85,      1944.23,      1944.23,      1943.53,      1943.53,-.32
,Nifty GS Compsite,      1771.93,      1772.27,      1773.27,      1770.44,      1770.76,-1.17

,ADVANCES,542
,DECLINES,1132
,UNCHANGED,73

,Total securities that have hit their price bands today,113

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,       873.40,       875.40,0.23,2157.56
,FORTIS,EQ,       143.70,       141.55,-1.5,649.87
,YESBANK,EQ,      1716.70,      1712.90,-0.22,470.88
,RELCAPITAL,EQ,       775.45,       744.45,-4,394.84
,HINDPETRO,EQ,       433.80,       449.70,3.67,371.22
,BEML,EQ,      1832.75,      1789.45,-2.36,354.53
,RELIANCE,EQ,      1564.40,      1560.05,-0.28,341.88
,ITC,EQ,       281.60,       282.90,0.46,339.19
,AXISBANK,EQ,       494.80,       499.20,0.89,333.51
,SBIN,EQ,       274.65,       273.90,-0.27,323.35
,HDFCBANK,EQ,      1743.20,      1747.00,0.22,288.34
,HINDALCO,EQ,       224.90,       228.90,1.78,279.68
,VEDL,EQ,       293.80,       293.05,-0.26,279.17
,PCJEWELLER,EQ,       383.90,       369.95,-3.63,271.52
,DLF,EQ,       180.40,       175.30,-2.83,264.48
,HDFC,EQ,      1738.15,      1750.40,0.7,263.02
,BANKBARODA,EQ,       142.10,       139.35,-1.94,248.54
,IOC,EQ,       413.20,       423.20,2.42,241.63
,BPCL,EQ,       497.75,       510.35,2.53,232.44
,TATASTEEL,EQ,       621.55,       619.60,-0.31,229.06
,ICICIBANK,EQ,       293.50,       293.95,0.15,221.95
,LUPIN,EQ,       923.40,       944.40,2.27,218.98
,DHFL,EQ,       448.75,       455.80,1.57,214.37
,MARUTI,EQ,      7501.90,      7496.10,-0.08,208.84
,TECHM,EQ,       431.10,       439.35,1.91,202.98

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      1984.15,      1931.10,2.75
,BPCL,EQ,       510.35,       497.75,2.53
,IOC,EQ,       423.20,       413.20,2.42
,LUPIN,EQ,       944.40,       923.40,2.27
,SUNPHARMA,EQ,       470.45,       460.55,2.15

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,       167.70,       172.00,-2.5
,HEROMOTOCO,EQ,      3888.05,      3972.05,-2.11
,EICHERMOT,EQ,     30977.15,     31634.25,-2.08
,BANKBARODA,EQ,       139.35,       142.10,-1.94
,IBULHSGFIN,EQ,      1176.35,      1198.70,-1.86

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        33.75,                  4753991.20,137861
,3IINFOTECH,EQ,         3.90,                  2487146.40,634868
,3MINDIA,EQ,     13864.00,                  6882203.55,497
,63MOONS,EQ,        60.75,                  4081283.10,66570
,8KMILES,EQ,       494.35,                 34399301.45,69303
,A2ZINFRA,EQ,        36.50,                 20001060.55,543429
,AARTIDRUGS,EQ,       516.75,                  4982739.95,9550
,AARTIIND,EQ,       859.90,                 45841206.70,53140
,AARVEEDEN,EQ,        33.50,                 10005145.65,292191
,ABAN,EQ,       172.65,                162994881.05,931148
,ABBOTINDIA,EQ,      4299.15,                 31365563.70,7307
,ABFRL,EQ,       170.90,                 22589443.30,133279
,ABGSHIP,BZ,        11.20,                   490310.05,43662
,ACCELYA,EQ,      1405.40,                 10109278.15,7172
,ACCORD,SM,        51.00,                   302000.00,6000
,ACE,EQ,        59.45,                  7080763.45,117560
,ADANIENT,EQ,       106.30,                431191620.20,4036450
,ADANIPOWER,EQ,        27.75,                252852173.20,9042178
,ADANITRANS,EQ,       108.05,                 22961705.55,214090
,ADFFOODS,EQ,       233.45,                 28436692.55,120299
,ADHUNIK,EQ,         4.00,                   484663.60,121643
,ADLABS,EQ,        53.65,                 12583584.95,234224
,ADORWELD,EQ,       385.65,                  1358185.20,3518
,ADSL,BE,        23.90,                   118376.65,4948
,ADVANIHOTR,EQ,        53.10,                   922814.20,17158
,ADVENZYMES,EQ,       280.85,                 23895547.30,84388
,AEGISCHEM,EQ,       189.20,                 19254809.60,102324
,AFL,BE,        32.10,                    33314.00,1040
,AGARIND,BE,       569.00,                   633222.00,1122
,AGCNET,BE,       106.40,                    66225.40,612
,AGLSL,EQ,       121.00,                  1126783.85,9173
,AGRITECH,EQ,        74.95,                  2168059.90,28768
,AGROPHOS,SM,        17.90,                   107400.00,6000
,AHLEAST,EQ,       270.00,                     8100.00,30
,AHLUCONT,EQ,       283.90,                  8670746.55,30456
,AHLWEST,EQ,       165.00,                    21054.65,127
,AIAENG,EQ,      1384.65,                 10151898.05,7274
,AIFL,EQ,       393.40,                 28710610.10,72804
,AIRAN,SM,       149.00,                  1803000.00,12000
,AJANTPHARM,EQ,      1153.45,                299745772.10,260176
,AJMERA,EQ,       182.40,                  2871018.75,15687
,AKASH,SM,        80.00,                 26013000.00,303000
,AKSHARCHEM,EQ,       705.70,                  6556182.20,9256
,AKSHOPTFBR,EQ,        25.45,                 52661877.15,2038017
,AKZOINDIA,EQ,      1749.20,                  4400101.05,2513
,ALANKIT,BE,        34.35,                  7304056.80,215744
,ALBERTDAVD,EQ,       311.35,                   993256.10,3184
,ALBK,EQ,        64.10,                132675663.35,2066440
,ALCHEM,EQ,        13.65,                    89621.40,6504
,ALEMBICLTD,EQ,        37.50,                  5120927.30,137028
,ALICON,EQ,       507.10,                  1992060.45,3904
,ALKALI,EQ,        57.80,                    93313.95,1601
,ALKEM,EQ,      1755.10,                 33393930.20,18860
,ALKYLAMINE,EQ,       383.80,                  1086265.80,2815
,ALLCARGO,EQ,       161.00,                122322027.75,759696
,ALLSEC,EQ,       325.35,                  2513859.75,7629
,ALMONDZ,EQ,        20.70,                   387105.55,17770
,ALOKTEXT,EQ,         3.05,                  6001004.55,1934655
,ALPA,BE,        29.30,                   188530.05,6586
,ALPHAGEO,EQ,       753.00,                 11381551.65,14972
,ALPSINDUS,EQ,         4.90,                   114591.90,23461
,AMARAJABAT,EQ,       758.40,                362003823.90,476691
,AMBIKCO,EQ,      1345.00,                  3356418.90,2521
,AMDIND,EQ,        36.85,                 21539388.10,574797
,AMRUTANJAN,EQ,       580.45,                  1129518.95,1936
,AMTEKAUTO,EQ,        25.40,                 18577527.70,730660
,ANANDAMRUB,BE,        24.60,                      246.00,10
,ANANTRAJ,EQ,        54.80,                 24412971.05,441783
,ANDHRABANK,EQ,        49.90,                 79184461.20,1585700
,ANDHRACEMT,EQ,         8.65,                   539439.95,61801
,ANDHRSUGAR,EQ,       341.40,                 11221554.30,32650
,ANGIND,EQ,         6.05,                   277358.35,44565
,ANIKINDS,BE,        28.00,                    13667.80,484
,ANSALAPI,EQ,        21.95,                  3206213.10,143806
,ANSALHSG,EQ,        20.75,                   562004.85,26990
,ANTGRAPHIC,BE,         1.05,                    57499.05,54291
,APARINDS,EQ,       765.10,                 10846165.35,14197
,APCL,EQ,       206.35,                   491525.95,2368
,APCOTEXIND,EQ,       388.75,                  1700113.95,4342
,APLAPOLLO,EQ,      1520.60,                  6494509.80,4293
,APLLTD,EQ,       511.50,                  7095448.30,13854
,APOLLOHOSP,EQ,      1098.50,               1115134072.55,1028554
,APOLLOTYRE,EQ,       259.65,               1272241667.85,4894280
,APOLSINHOT,EQ,       687.45,                    20980.10,30
,APTECHT,EQ,       256.30,               1474057546.65,5941108
,ARCHIDPLY,EQ,        90.30,                 13233546.20,145502
,ARCHIES,EQ,        29.95,                  9733459.75,323752
,ARCOTECH,EQ,        81.75,                 17880052.45,216991
,ARIES,EQ,       142.15,                  3418129.50,23943
,ARIHANTSUP,EQ,       182.60,                 84122159.35,459351
,ARMANFIN,EQ,       180.15,                   832701.85,4588
,AROGRANITE,EQ,        64.10,                   457935.35,7176
,ARROWGREEN,EQ,       542.20,                  5721992.55,10455
,ARROWTEX,EQ,        41.80,                   369967.65,8886
,ARSHIYA,EQ,        72.00,                  4250314.30,59805
,ARVIND,EQ,       361.00,                208153159.00,572408
,ARVSMART,EQ,       130.80,                  3621762.95,27328
,ASAHIINDIA,EQ,       309.50,                 24152287.50,79491
,ASAHISONG,EQ,       287.20,                   705336.85,2443
,ASAL,EQ,        66.25,                   425946.00,6324
,ASHAPURMIN,EQ,        55.00,                  2453841.85,44524
,ASHIANA,EQ,       165.10,                  3126936.60,18823
,ASHIMASYN,EQ,        22.65,                  3058587.40,134233
,ASHOKA,EQ,       186.10,                  5170518.55,27850
,ASIANHOTNR,EQ,       129.55,                   364233.05,2783
,ASIANTILES,EQ,       408.25,                 11021967.45,27044
,ASPINWALL,BE,       250.60,                  4859110.45,19654
,ASTEC,EQ,       571.50,                  4090014.55,7100
,ASTRAL,EQ,       644.30,                848558612.25,1315359
,ASTRAMICRO,EQ,       122.35,                 14978434.35,122085
,ASTRAZEN,EQ,       885.55,                  3094210.85,3481
,ATFL,EQ,       536.45,                  8321865.25,15688
,ATLANTA,EQ,        87.10,                  7976298.40,91276
,ATLASCYCLE,BE,       367.00,                   392887.85,1069
,ATUL,EQ,      2002.25,                 16912202.50,8331
,ATULAUTO,EQ,       444.65,                 11348932.80,25356
,AUBANK,EQ,       529.50,                251082871.15,471540
,AURDIS,SM,        40.90,                    81800.00,2000
,AURIONPRO,EQ,       116.55,                   983723.60,8401
,AUSOMENT,EQ,        29.50,                     4260.85,146
,AUTOAXLES,EQ,       726.70,                 18478541.15,25429
,AUTOIND,EQ,        74.10,                  5425627.75,72104
,AUTOLITIND,EQ,        59.65,                  1353726.60,22367
,AVADHSUGAR,BE,       674.00,                 11966867.75,17726
,AVANTIFEED,EQ,      1923.85,                153164158.75,79301
,AVTNPL,EQ,        37.65,                   941226.25,24917
,AXISCADES,EQ,       143.65,                  6428021.25,45318
,AXISGOLD,EQ,      2558.10,                   148429.40,58
,AXISNIFTY,EQ,       977.46,                    69486.43,71
,AYMSYNTEX,EQ,        60.00,                  1206997.40,19977
,BAFNAPHARM,EQ,        22.45,                   489390.85,21479
,BAGFILMS,EQ,         4.25,                   330064.90,77035
,BAJAJCORP,EQ,       398.45,                  9835566.00,24703
,BAJAJELEC,EQ,       333.30,                 24366960.90,73761
,BAJAJHIND,EQ,        14.50,                 81848985.10,5560639
,BAJAJHLDNG,EQ,      2609.90,                 21103441.35,8098
,BALAJITELE,EQ,       154.30,                 60486029.90,388760
,BALAMINES,EQ,       311.05,                  2177348.95,7000
,BALKRISHNA,EQ,        79.15,                  1142013.95,14364
,BALKRISIND,EQ,      1479.45,                215188089.40,146268
,BALLARPUR,EQ,        13.30,                 15011548.00,1105008
,BALMLAWRIE,EQ,       237.80,                 19024224.30,79294
,BALPHARMA,EQ,        92.55,                   723098.10,7725
,BALRAMCHIN,EQ,       164.60,                142778571.90,864003
,BANARBEADS,EQ,        52.75,                   318281.20,6037
,BANARISUG,EQ,      1885.20,                   968745.65,515
,BANCOINDIA,EQ,       203.35,                 13175446.55,64253
,BANG,EQ,        28.90,                    74437.10,2534
,BANKBEES,EQ,      2441.26,                 23542905.02,9660
,BANKINDIA,EQ,       139.15,                515970573.80,3706438
,BANSAL,SM,        47.90,                  1734400.00,36000
,BANSWRAS,EQ,       133.20,                   563807.60,4184
,BARTRONICS,EQ,        13.95,                   214434.40,15250
,BASF,EQ,      1424.35,                  5146149.55,3602
,BASML,EQ,       300.60,                   518724.60,1708
,BATAINDIA,EQ,       683.20,               1070066192.05,1566384
,BAYERCROP,EQ,      4170.70,                 30338250.65,7269
,BBL,EQ,      1142.75,                 23534911.90,20389
,BBTC,EQ,       903.90,                 37863084.50,42053
,BEARDSELL,EQ,        52.25,                   203807.35,3915
,BEDMUTHA,BE,        28.75,                    85588.00,2940
,BEML,EQ,      1789.45,               3545257539.05,1952851
,BEPL,EQ,        84.30,                251381986.70,2959731
,BERGEPAINT,EQ,       237.15,                 74567724.85,313387
,BFINVEST,EQ,       156.40,                  2927112.30,18515
,BFUTILITIE,EQ,       317.05,                 46236097.10,145145
,BGLOBAL,BE,         4.90,                    73684.90,14901
,BGRENERGY,EQ,       128.35,                  3954741.50,30700
,BHAGERIA,EQ,       259.15,                  5106208.60,19655
,BHAGYANGR,EQ,        21.50,                    74266.60,3476
,BHAGYAPROP,BE,        18.50,                    65588.50,3571
,BHANDARI,EQ,         2.15,                   370402.80,173754
,BHARATFIN,EQ,       850.20,               1641411585.35,1910925
,BHARATFORG,EQ,      1136.65,                784552011.30,688862
,BHARATGEAR,EQ,       140.70,                  2317440.65,16128
,BHARATIDIL,EQ,         8.80,                    89546.55,10086
,BHARATRAS,EQ,      2956.60,                  3798995.60,1281
,BHARATWIRE,EQ,        82.85,                  1945173.30,23349
,BHUSANSTL,EQ,        68.50,                 53557251.45,762900
