,29-Aug-2017
The Nifty witnessed an intraday movement of about 103.6 points.The closing index was 1.18 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 23705.16
, Traded Quantity (in Lakhs), 11818.51
, Number of Trades, 8220631
, Total Market Capitalisation (Rs. Crores), 12842035.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9912.80,      9886.40,      9887.35,      9783.75,      9796.05,-116.75
,Nifty IT,     10592.25,     10593.00,     10596.15,     10475.50,     10505.95,-86.3
,Nifty Next 50,     27948.85,     27918.35,     27918.35,     27577.25,     27647.00,-301.85
,Nifty Bank,     24377.10,     24302.00,     24320.95,     24103.30,     24128.95,-248.15
,Nifty MID100 Free,     18159.65,     18103.30,     18158.70,     17927.70,     17956.30,-203.35
,Nifty 500,      8669.60,      8648.70,      8648.90,      8561.75,      8571.80,-97.8
,Nifty 100,     10275.95,     10251.20,     10251.60,     10141.85,     10156.50,-119.45
,Nifty Midcap 50,      4682.80,      4670.80,      4684.45,      4617.30,      4623.50,-59.3
,Nifty Realty,       274.50,       272.60,       275.40,       270.95,       272.05,-2.45
,Nifty Infra,      3334.05,      3319.75,      3319.75,      3280.60,      3288.35,-45.7
,Nifty Energy,     12963.30,     12908.10,     12968.75,     12725.80,     12749.05,-214.25
,Nifty FMCG,     25761.90,     25728.85,     25728.85,     25445.55,     25529.50,-232.4
,Nifty MNC,     12972.95,     12953.05,     12958.50,     12840.40,     12884.90,-88.05
,Nifty Pharma,      8975.05,      8948.30,      8956.00,      8845.65,      8865.05,-110
,Nifty PSE,      4097.70,      4076.40,      4100.80,      4039.70,      4046.50,-51.2
,Nifty PSU Bank,      3319.85,      3301.35,      3334.60,      3269.45,      3279.95,-39.9
,Nifty Serv Sector,     13087.25,     13045.25,     13050.95,     12909.50,     12924.15,-163.1
,India VIX,12.6400,12.6400,13.8525,12.2800,13.5425,0.9025
,Nifty Auto,     10592.35,     10570.95,     10570.95,     10486.40,     10503.50,-88.85
,Nifty Metal,      3426.45,      3426.90,      3443.25,      3378.05,      3388.55,-37.9
,Nifty Media,      2955.10,      2955.50,      2957.95,      2934.05,      2942.30,-12.8
,Nifty SML100 Free,      7620.75,      7590.80,      7622.65,      7514.20,      7522.35,-98.4
,Nifty 200,      5367.10,      5354.00,      5354.15,      5298.15,      5305.20,-61.9
,Nifty Div Opps 50,      2472.55,      2464.85,      2468.30,      2445.70,      2449.05,-23.5
,Nifty Commodities,      3779.00,      3768.90,      3783.80,      3728.05,      3734.20,-44.8
,Nifty Consumption,      4493.20,      4487.40,      4487.40,      4446.65,      4457.20,-36
,Nifty Fin Service,     10097.00,     10065.70,     10074.25,      9963.75,      9976.65,-120.35
,Nifty50 Div Point,        79.16,        79.16,        79.16,        79.16,        79.16,0
,Nifty100 Liq 15,      4389.50,      4384.60,      4387.10,      4332.85,      4340.35,-49.15
,Nifty CPSE,      2465.90,      2457.90,      2463.15,      2423.90,      2428.40,-37.5
,Nifty GrowSect 15,      6079.55,      6069.95,      6069.95,      6023.60,      6036.95,-42.6
,Nifty50 PR 2x Lev,      4182.55,      4159.60,      4159.60,      4073.15,      4083.35,-99.2
,Nifty50 PR 1x Inv,       426.80,       428.00,       432.40,       428.00,       431.90,5.1
,Nifty50 TR 2x Lev,      5130.80,      5102.65,      5102.65,      4996.60,      5009.10,-121.7
,Nifty50 TR 1x Inv,       385.30,       386.40,       390.40,       386.40,       389.90,4.6
,Nifty50 Value 20,      4294.35,      4281.15,      4281.60,      4234.25,      4239.65,-54.7
,Nifty Mid Liq 15,      3857.90,      3850.75,      3858.30,      3799.50,      3805.30,-52.6
,Nifty Pvt Bank,     13683.05,     13642.30,     13659.65,     13520.75,     13542.50,-140.55
,Nifty Quality 30,      2319.40,      2316.55,      2316.55,      2294.05,      2298.25,-21.15
,Nifty GS 8 13Yr,      1730.87,      1731.20,      1733.96,      1730.75,      1733.17,2.3
,Nifty GS 10Yr,      1655.25,      1655.55,      1658.27,      1654.91,      1657.19,1.94
,Nifty GS 10Yr Cln,       985.96,       985.96,       987.61,       985.57,       986.95,.99
,Nifty GS 4 8Yr,      1806.33,      1806.69,      1808.72,      1806.69,      1807.97,1.64
,Nifty GS 11 15Yr,      1805.89,      1806.24,      1809.37,      1805.71,      1808.40,2.51
,Nifty GS 15YrPlus,      1941.89,      1942.27,      1943.06,      1942.19,      1942.79,.9
,Nifty GS Compsite,      1770.37,      1770.71,      1773.36,      1770.37,      1772.58,2.21

,ADVANCES,479
,DECLINES,1215
,UNCHANGED,54

,Total securities that have hit their price bands today,109

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RBLBANK,EQ,       511.00,       531.55,4.02,671.46
,INFY,EQ,       941.00,       927.45,-1.44,624.01
,RELINFRA,EQ,       483.80,       498.20,2.98,568.08
,HDFC,EQ,      1766.45,      1727.80,-2.19,564.72
,RELIANCE,EQ,      1566.55,      1532.15,-2.2,535.03
,DLF,EQ,       180.10,       181.60,0.83,441.66
,RELCAPITAL,EQ,       788.05,       769.50,-2.35,402.68
,L&TFH,EQ,       188.05,       189.65,0.85,387.1
,ICICIBANK,EQ,       300.90,       299.50,-0.47,382.88
,NTPC,EQ,       173.30,       168.40,-2.83,364.5
,VEDL,EQ,       301.35,       299.05,-0.76,330.31
,DHFL,EQ,       490.95,       493.40,0.5,323.36
,YESBANK,EQ,      1753.35,      1721.55,-1.81,305.52
,SBIN,EQ,       279.35,       277.00,-0.84,287.7
,MARUTI,EQ,      7579.00,      7521.50,-0.76,277.29
,JPASSOCIAT,EQ,        23.50,        21.25,-9.57,268.32
,BAJFINANCE,EQ,      1829.95,      1773.40,-3.09,265.77
,HINDPETRO,EQ,       463.30,       466.95,0.79,235.91
,IOC,EQ,       440.70,       434.50,-1.41,227.52
,TATASTEEL,EQ,       635.85,       630.20,-0.89,218.34
,HDFCBANK,EQ,      1762.25,      1746.15,-0.91,214.46
,HINDALCO,EQ,       233.55,       227.30,-2.68,209.25
,BHARATFIN,EQ,       887.70,       861.35,-2.97,203.08
,BANKBARODA,EQ,       144.25,       140.05,-2.91,198.35
,BPCL,EQ,       508.00,       504.10,-0.77,197.93

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       431.75,       427.75,.94
,M&M,EQ,      1376.95,      1373.05,.28
,ZEEL,EQ,       518.25,       517.90,.07
,WIPRO,EQ,       290.75,       290.70,.02

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       140.05,       144.25,-2.91
,NTPC,EQ,       168.40,       173.30,-2.83
,HINDALCO,EQ,       227.30,       233.55,-2.68
,TATAPOWER,EQ,        76.95,        78.85,-2.41
,SUNPHARMA,EQ,       481.80,       493.20,-2.31

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.65,                  3885271.90,108362
,3IINFOTECH,EQ,         3.90,                  3216561.05,821625
,3MINDIA,EQ,     14457.35,                 33143936.75,2279
,63MOONS,EQ,        60.10,                  5218670.25,85657
,8KMILES,EQ,       496.85,                122860300.05,240479
,A2ZINFRA,EQ,        36.85,                 10134517.75,271860
,AARTIDRUGS,EQ,       511.70,                  8842237.85,17051
,AARTIIND,EQ,       824.40,                 39902179.45,48177
,AARVEEDEN,EQ,        32.95,                  3584715.30,107545
,ABAN,EQ,       174.95,                123426262.70,696243
,ABBOTINDIA,EQ,      4242.75,                 17118091.40,4030
,ABFRL,EQ,       167.90,                 26472853.20,157338
,ABGSHIP,BZ,        11.10,                   285111.60,25564
,ABMINTLTD,BE,        71.25,                     1923.75,27
,ACCELYA,EQ,      1394.65,                  9867931.50,7067
,ACE,EQ,        58.95,                 22012892.95,367861
,ADANIENT,EQ,       118.95,               1179764912.25,9812669
,ADANIPOWER,EQ,        29.80,                380799782.90,12705445
,ADANITRANS,EQ,       117.70,                 67834539.70,574800
,ADFFOODS,EQ,       228.95,                 42912625.30,186736
,ADHUNIK,EQ,         3.75,                   324863.80,84707
,ADLABS,EQ,        54.25,                 16274072.20,297636
,ADORWELD,EQ,       395.00,                  1061886.90,2688
,ADSL,EQ,        23.55,                   469030.80,19818
,ADVANIHOTR,EQ,        54.00,                   233408.35,4312
,ADVENZYMES,EQ,       285.90,                 62590501.70,218201
,AEGISCHEM,EQ,       189.00,                 29203692.70,156998
,AFL,BE,        34.10,                    18624.85,560
,AGARIND,BE,       570.00,                   339710.20,592
,AGCNET,EQ,       108.25,                   190128.75,1746
,AGLSL,EQ,       116.80,                   759676.75,6475
,AGRITECH,EQ,        90.90,                 30656189.35,341869
,AGROPHOS,SM,        20.35,                   966900.00,48000
,AHLEAST,EQ,       268.65,                   123651.20,462
,AHLUCONT,EQ,       282.45,                  4202499.45,14709
,AHLWEST,EQ,       165.00,                    33163.40,201
,AIAENG,EQ,      1301.35,                109068133.80,84036
,AIFL,EQ,       398.75,                 87388596.60,220496
,AIRAN,SM,       171.00,                  1476000.00,9000
,AJANTPHARM,EQ,      1196.05,                136284047.95,112864
,AJMERA,EQ,       183.80,                  3827934.65,20776
,AKASH,SM,        84.00,                  5179100.00,62000
,AKSHARCHEM,EQ,       705.60,                  5075988.20,7111
,AKSHOPTFBR,EQ,        25.45,                 36382977.45,1419472
,AKZOINDIA,EQ,      1795.95,                  6691263.55,3718
,ALANKIT,EQ,        36.10,                 25380367.60,697536
,ALBERTDAVD,EQ,       317.50,                   371400.85,1165
,ALBK,EQ,        67.10,                193402950.60,2861290
,ALCHEM,EQ,        13.90,                   216616.55,15408
,ALEMBICLTD,EQ,        40.15,                 17601152.90,431233
,ALICON,EQ,       524.45,                  1065076.70,2037
,ALKALI,EQ,        77.55,                 48209324.30,624008
,ALKEM,EQ,      1751.20,                 53833491.75,30618
,ALKYLAMINE,EQ,       404.45,                  2808235.05,6972
,ALLCARGO,EQ,       167.95,                 21076629.35,125828
,ALLSEC,EQ,       339.25,                  3593803.70,10670
,ALMONDZ,EQ,        24.50,                   731688.65,29824
,ALOKTEXT,EQ,         2.90,                  4039394.95,1375543
,ALPA,EQ,        31.85,                   687027.45,21582
,ALPHAGEO,EQ,       759.95,                  8174957.70,10697
,ALPSINDUS,EQ,         5.05,                   164552.00,32903
,AMARAJABAT,EQ,       763.65,                216545905.85,283480
,AMBIKCO,EQ,      1352.40,                  2708238.60,1999
,AMDIND,EQ,        33.30,                  2606906.80,77616
,AMRUTANJAN,EQ,       597.55,                  2795884.40,4681
,AMTEKAUTO,EQ,        25.70,                 27202713.85,1030991
,ANANDAMRUB,BE,        22.25,                     1112.50,50
,ANANTRAJ,EQ,        54.55,                 30755609.40,555002
,ANDHRABANK,EQ,        51.80,                 96977313.60,1860922
,ANDHRACEMT,EQ,         9.95,                  8888047.90,895439
,ANDHRSUGAR,EQ,       334.90,                 12515401.80,37256
,ANGIND,EQ,         5.80,                    98280.40,16654
,ANIKINDS,EQ,        29.80,                    94481.05,3171
,ANSALAPI,EQ,        23.05,                  9444216.50,398993
,ANSALHSG,EQ,        23.20,                  3023409.50,128723
,ANTGRAPHIC,BE,         1.10,                    54819.60,52736
,APARINDS,EQ,       762.75,                  9190451.85,11945
,APCL,EQ,       240.25,                  1724976.15,7319
,APCOTEXIND,EQ,       373.30,                  2440692.80,6528
,APLAPOLLO,EQ,      1524.55,                  5039316.45,3309
,APLLTD,EQ,       507.10,                  6703162.15,13132
,APOLLOHOSP,EQ,      1077.05,                227327024.60,210879
,APOLLOTYRE,EQ,       249.15,               1630558220.30,6524043
,APOLSINHOT,EQ,       686.00,                    97581.75,143
,APTECHT,EQ,       301.90,                916063826.10,3013746
,ARCHIDPLY,EQ,        89.40,                  3447537.00,38343
,ARCHIES,EQ,        28.40,                  2536428.15,89244
,ARCOTECH,EQ,        87.00,                 29832314.80,343551
,ARIES,EQ,       138.45,                  5089512.25,36547
,ARIHANTSUP,EQ,       181.35,                 90510244.10,494596
,ARMANFIN,EQ,       182.30,                  1401696.45,7635
,AROGRANITE,EQ,        66.55,                   649932.40,9646
,ARROWGREEN,EQ,       569.85,                 40384690.70,70653
,ARROWTEX,EQ,        42.40,                   218768.00,5150
,ARSHIYA,EQ,        69.00,                  1769829.80,25614
,ARVIND,EQ,       359.25,                230714586.75,637191
,ARVSMART,EQ,       135.80,                  3252162.60,23790
,ASAHIINDIA,EQ,       360.90,                 65813626.20,177818
,ASAHISONG,EQ,       306.65,                  3824123.20,12502
,ASAL,EQ,        68.60,                   150202.25,2197
,ASHAPURMIN,EQ,        56.80,                  4252568.80,74447
,ASHIANA,EQ,       163.40,                  6241774.85,37985
,ASHIMASYN,EQ,        24.65,                 11833935.50,479918
,ASHOKA,EQ,       187.00,                  7360091.70,39668
