,08-Sep-2017
The Nifty witnessed an intraday movement of about 50.3 points.The closing index was 0.05 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26292.88
, Traded Quantity (in Lakhs), 14055.37
, Number of Trades, 9863908
, Total Market Capitalisation (Rs. Crores), 13220538.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9929.90,      9958.65,      9963.60,      9913.30,      9934.80,4.9
,Nifty IT,     10460.95,     10488.95,     10499.30,     10444.30,     10456.65,-4.3
,Nifty Next 50,     28583.50,     28675.40,     28688.70,     28307.95,     28377.15,-206.35
,Nifty Bank,     24304.90,     24409.50,     24419.25,     24273.00,     24370.80,65.9
,Nifty MID100 Free,     18619.25,     18706.10,     18722.00,     18499.40,     18573.95,-45.3
,Nifty 500,      8757.15,      8785.70,      8792.05,      8729.95,      8749.95,-7.2
,Nifty 100,     10327.85,     10358.30,     10363.20,     10297.55,     10320.10,-7.75
,Nifty Midcap 50,      4817.90,      4841.10,      4852.70,      4788.10,      4821.50,3.6
,Nifty Realty,       289.40,       290.45,       291.20,       283.50,       285.15,-4.25
,Nifty Infra,      3278.35,      3291.30,      3322.30,      3285.45,      3307.20,28.85
,Nifty Energy,     13239.85,     13255.20,     13280.35,     13132.90,     13152.70,-87.15
,Nifty FMCG,     25309.25,     25360.40,     25495.15,     25303.80,     25408.85,99.6
,Nifty MNC,     13364.80,     13417.80,     13473.20,     13376.25,     13428.00,63.2
,Nifty Pharma,      8948.80,      8956.20,      8998.55,      8793.25,      8840.30,-108.5
,Nifty PSE,      4151.45,      4156.40,      4168.05,      4098.60,      4113.45,-38
,Nifty PSU Bank,      3253.50,      3263.85,      3268.05,      3211.55,      3220.10,-33.4
,Nifty Serv Sector,     13029.25,     13067.70,     13069.70,     12989.65,     13016.65,-12.6
,India VIX,13.0075,13.0075,13.0975,11.7725,12.9625,-0.0450
,Nifty Auto,     10837.80,     10891.15,     10892.45,     10742.55,     10779.00,-58.8
,Nifty Metal,      3646.40,      3661.40,      3702.80,      3632.65,      3652.95,6.55
,Nifty Media,      3059.10,      3065.90,      3079.80,      3028.95,      3039.75,-19.35
,Nifty SML100 Free,      7932.10,      7966.55,      7975.65,      7856.20,      7876.75,-55.35
,Nifty 200,      5409.80,      5426.95,      5430.10,      5392.95,      5405.55,-4.25
,Nifty Div Opps 50,      2489.30,      2493.75,      2498.35,      2476.45,      2481.30,-8
,Nifty Commodities,      3890.10,      3895.95,      3917.15,      3866.30,      3879.75,-10.35
,Nifty Consumption,      4511.60,      4520.25,      4523.30,      4490.55,      4501.10,-10.5
,Nifty Fin Service,     10110.00,     10145.65,     10149.40,     10090.40,     10121.00,11
,Nifty50 Div Point,        81.46,        81.46,        81.46,        81.46,        81.46,0
,Nifty100 Liq 15,      4486.30,      4500.35,      4505.70,      4455.75,      4470.45,-15.85
,Nifty CPSE,      2496.40,      2503.90,      2517.20,      2474.00,      2488.10,-8.3
,Nifty GrowSect 15,      6145.50,      6160.60,      6164.00,      6102.50,      6116.50,-29
,Nifty50 PR 2x Lev,      4189.25,      4212.85,      4217.00,      4174.70,      4192.70,3.45
,Nifty50 PR 1x Inv,       426.55,       425.40,       427.35,       425.20,       426.40,-.15
,Nifty50 TR 2x Lev,      5141.35,      5170.30,      5175.40,      5123.45,      5145.55,4.2
,Nifty50 TR 1x Inv,       385.00,       383.95,       385.70,       383.75,       384.90,-.1
,Nifty50 Value 20,      4281.85,      4292.45,      4294.95,      4259.60,      4265.90,-15.95
,Nifty Mid Liq 15,      3936.40,      3957.75,      3966.45,      3921.30,      3951.75,15.35
,Nifty Pvt Bank,     13673.75,     13737.70,     13740.10,     13655.20,     13712.15,38.4
,Nifty Quality 30,      2338.85,      2344.20,      2345.10,      2328.80,      2333.25,-5.6
,Nifty GS 8 13Yr,      1739.51,      1739.84,      1741.22,      1739.84,      1740.61,1.1
,Nifty GS 10Yr,      1663.96,      1664.26,      1666.02,      1664.26,      1665.14,1.18
,Nifty GS 10Yr Cln,       989.59,       989.59,       990.66,       989.59,       990.13,.54
,Nifty GS 4 8Yr,      1811.44,      1811.80,      1812.68,      1811.80,      1812.63,1.19
,Nifty GS 11 15Yr,      1816.84,      1817.18,      1818.49,      1817.18,      1817.89,1.05
,Nifty GS 15YrPlus,      1952.15,      1952.53,      1952.65,      1951.96,      1952.65,.5
,Nifty GS Compsite,      1778.32,      1778.66,      1779.67,      1778.66,      1779.47,1.15

,ADVANCES,692
,DECLINES,1002
,UNCHANGED,62

,Total securities that have hit their price bands today,131

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LT,EQ,      1129.10,      1172.40,3.83,578.06
,VEDL,EQ,       326.80,       330.10,1.01,563
,BAJFINANCE,EQ,      1963.20,      1891.20,-3.67,546.21
,RELIANCE,EQ,       818.10,       816.90,-0.15,495.02
,INFY,EQ,       895.75,       884.30,-1.28,382.07
,FCONSUMER,EQ,        63.60,        65.00,2.2,381.18
,JSWENERGY,EQ,        67.15,        72.10,7.37,372.94
,DRREDDY,EQ,      2224.95,      2162.50,-2.81,370.83
,HDFCBANK,EQ,      1766.55,      1787.65,1.19,370.26
,TATASTEEL,EQ,       652.80,       655.40,0.4,310.49
,HINDALCO,EQ,       249.95,       249.55,-0.16,298.64
,HDFC,EQ,      1781.70,      1779.15,-0.14,288.44
,BHARATFIN,EQ,       945.60,       934.70,-1.15,283.01
,TATAMOTORS,EQ,       378.15,       375.05,-0.82,281.69
,MARUTI,EQ,      7919.20,      7970.75,0.65,271.41
,ITC,EQ,       270.40,       272.35,0.72,263.89
,M&M,EQ,      1339.95,      1295.40,-3.32,257.26
,ASHOKLEY,EQ,       111.90,       115.15,2.9,251.97
,BOMDYEING,EQ,       153.70,       156.35,1.72,240.78
,ICICIBANK,EQ,       292.65,       292.00,-0.22,235.54
,MANAPPURAM,EQ,       104.80,       108.35,3.39,226.4
,IGL,EQ,      1311.30,      1374.90,4.85,221.29
,IBREALEST,EQ,       244.85,       239.10,-2.35,220.13
,BIOCON,EQ,       334.75,       342.45,2.3,213.68
,KOTAKBANK,EQ,       993.50,      1007.55,1.41,208.66

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LT,EQ,      1172.40,      1129.10,3.83
,BHARTIARTL,EQ,       403.50,       397.30,1.56
,KOTAKBANK,EQ,      1007.55,       993.50,1.41
,HDFCBANK,EQ,      1787.65,      1766.55,1.19
,TECHM,EQ,       430.80,       426.05,1.11

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,      1295.40,      1339.95,-3.32
,DRREDDY,EQ,      2162.50,      2224.95,-2.81
,BPCL,EQ,       513.35,       524.10,-2.05
,BANKBARODA,EQ,       136.80,       139.55,-1.97
,SUNPHARMA,EQ,       471.35,       480.45,-1.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        37.75,                   895612.60,23551
,3IINFOTECH,EQ,         3.95,                  4068426.95,1026847
,3MINDIA,EQ,     14586.70,                 10719621.60,733
,63MOONS,EQ,        72.60,                395881155.45,4804967
,8KMILES,EQ,       447.30,                142121928.75,316344
,A2ZINFRA,EQ,        37.10,                 22357401.75,597160
,AARTIDRUGS,EQ,       529.70,                  3153783.55,5980
,AARTIIND,EQ,       860.30,                 59262248.80,68810
,AARVEEDEN,EQ,        54.90,                 11799353.65,215470
,ABAN,EQ,       177.95,                 90858339.20,504116
,ABBOTINDIA,EQ,      4187.95,                  5229156.95,1243
,ABCAPITAL,BE,       201.25,               1094885051.75,5412431
,ABFRL,EQ,       176.50,                 84093705.65,472875
,ABGSHIP,BZ,        10.80,                   106680.80,9846
,ABMINTLTD,BE,        63.50,                    12993.00,210
,ACCELYA,EQ,      1408.95,                  2628867.60,1869
,ACE,EQ,        69.80,                 56818664.90,802133
,ACEINTEG,SM,        34.10,                   204600.00,6000
,ADANIENT,EQ,       127.60,                488847753.25,3798565
,ADANIPOWER,EQ,        30.85,                332235806.70,10709989
,ADANITRANS,EQ,       132.15,                106185451.95,807914
,ADFFOODS,EQ,       229.10,                 17601998.10,76214
,ADHUNIK,EQ,         4.35,                  2141540.05,507980
,ADLABS,EQ,        72.40,                124068335.60,1637621
,ADORWELD,EQ,       398.95,                  1266896.80,3171
,ADSL,EQ,        22.55,                   376567.45,16639
,ADVANIHOTR,EQ,        60.00,                   664882.50,11262
,ADVENZYMES,EQ,       298.15,                 74377974.20,249684
,AEGISCHEM,EQ,       211.75,                138084103.05,648710
,AGARIND,BE,       635.00,                  1702438.00,2633
,AGCNET,EQ,       118.45,                   777035.15,6622
,AGLSL,EQ,       131.45,                   438584.25,3371
,AGRITECH,EQ,       121.65,                 29442583.40,229454
,AGROPHOS,SM,        21.20,                  2537400.00,120000
,AHLEAST,EQ,       267.00,                   151285.45,566
,AHLUCONT,EQ,       277.25,                  3515911.85,12659
,AHLWEST,EQ,       153.75,                   469490.70,3143
,AIAENG,EQ,      1312.60,                 14661306.40,11239
,AICHAMP,BE,        28.00,                      560.00,20
,AIFL,EQ,       394.25,                 34309269.35,87000
,AIRAN,SM,       159.00,                  1429500.00,9000
,AJANTPHARM,EQ,      1192.50,                112933646.20,94236
,AJMERA,EQ,       209.45,                 44630208.95,209921
,AKASH,SM,        89.00,                   251250.00,3000
,AKSHARCHEM,EQ,       764.15,                  5582025.85,7312
,AKSHOPTFBR,EQ,        26.65,                 48996609.15,1808082
,AKZOINDIA,EQ,      1817.15,                  5106477.95,2822
,ALANKIT,EQ,        33.20,                 28373226.25,853780
,ALBERTDAVD,EQ,       320.35,                   583443.15,1815
,ALBK,EQ,        67.35,                136155616.25,2008529
,ALCHEM,EQ,        13.60,                    77267.05,5691
,ALEMBICLTD,EQ,        38.80,                 12532037.65,319282
,ALICON,EQ,       544.95,                   682718.70,1253
,ALKALI,EQ,        80.15,                  3887253.25,47660
,ALKEM,EQ,      1787.35,                 30646381.15,17183
,ALKYLAMINE,EQ,       486.75,                 69258823.55,139922
,ALLCARGO,EQ,       168.00,                 27598092.75,162160
,ALLSEC,EQ,       378.00,                  3636211.40,9595
,ALMONDZ,EQ,        25.55,                   945214.35,36404
,ALOKTEXT,EQ,         2.80,                  4808369.00,1694738
,ALPA,EQ,        31.85,                   617063.60,19232
,ALPHAGEO,EQ,       770.60,                  9944678.30,12858
,ALPSINDUS,EQ,         5.60,                   868186.80,157309
,AMARAJABAT,EQ,       796.10,                826558405.90,1045953
,AMBIKCO,EQ,      1329.70,                  2316089.20,1732
,AMDIND,EQ,        33.55,                  2944109.90,87689
,AMRUTANJAN,EQ,       623.55,                  1970317.45,3146
,AMTEKAUTO,EQ,        25.60,                 25548395.60,999839
,ANANTRAJ,EQ,        60.35,                 75980790.70,1244379
,ANDHRABANK,EQ,        50.70,                108101115.90,2120162
,ANDHRACEMT,EQ,        14.35,                 84812701.95,5538575
,ANDHRSUGAR,EQ,       404.00,                 29815264.10,73282
,ANGIND,EQ,         9.10,                  4969206.65,563318
,ANIKINDS,EQ,        38.80,                  1072502.30,28269
,ANSALAPI,EQ,        25.40,                  2497153.90,96890
,ANSALHSG,EQ,        23.00,                   886307.25,38140
,ANTGRAPHIC,BE,         1.00,                    39317.55,41150
,APARINDS,EQ,       786.40,                 10522749.35,13493
,APCL,EQ,       254.70,                  6716810.10,26761
,APCOTEXIND,EQ,       405.15,                  5373588.60,13335
,APEX,BE,       257.70,                235696253.55,933637
,APLAPOLLO,EQ,      1633.05,                 17408214.95,10716
,APLLTD,EQ,       499.30,                 15885153.00,31654
,APOLLOHOSP,EQ,      1093.05,                188444846.65,171607
,APOLLOTYRE,EQ,       252.40,                404958186.70,1600999
,APOLSINHOT,EQ,       684.45,                   112038.40,161
,APTECHT,EQ,       310.90,                445368034.90,1408340
,ARCHIDPLY,EQ,        99.80,                 21770612.55,219113
,ARCHIES,EQ,        31.30,                  5004740.15,156773
,ARCOTECH,EQ,        89.60,                 23634519.00,262545
,ARIES,EQ,       151.10,                  4154070.05,27446
,ARIHANT,BE,        43.00,                    31150.00,717
,ARIHANTSUP,EQ,       190.00,                119411900.50,651526
,ARMANFIN,EQ,       228.55,                  3134360.20,13778
,AROGRANITE,EQ,        71.75,                 10468745.15,143449
,ARROWGREEN,EQ,       669.30,                 24477924.85,36385
,ARROWTEX,EQ,        47.65,                  2181845.45,45165
,ARSHIYA,EQ,        65.25,                  3190211.45,48569
,ARVIND,EQ,       406.85,                979985638.70,2449459
