,11-Sep-2017
The Nifty witnessed an intraday movement of about 59.85 points.The closing index was 0.72 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 25803.57
, Traded Quantity (in Lakhs), 13664.9
, Number of Trades, 9172534
, Total Market Capitalisation (Rs. Crores), 13307984.85

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,      9934.80,      9971.75,     10028.65,      9968.80,     10006.05,71.25
,Nifty IT,     10456.65,     10496.70,     10520.75,     10447.25,     10459.50,2.85
,Nifty Next 50,     28377.15,     28533.50,     28690.55,     28360.65,     28592.50,215.35
,Nifty Bank,     24370.80,     24468.50,     24735.35,     24458.25,     24672.25,301.45
,Nifty MID100 Free,     18573.95,     18684.65,     18781.25,     18667.15,     18734.85,160.9
,Nifty 500,      8749.95,      8789.30,      8830.40,      8782.55,      8810.95,61
,Nifty 100,     10320.10,     10361.45,     10418.55,     10351.40,     10394.80,74.7
,Nifty Midcap 50,      4821.50,      4856.10,      4873.40,      4844.15,      4860.05,38.55
,Nifty Realty,       285.15,       287.95,       288.80,       286.45,       287.05,1.9
,Nifty Infra,      3307.20,      3321.15,      3370.45,      3298.55,      3367.85,60.65
,Nifty Energy,     13152.70,     13216.75,     13296.05,     13123.35,     13238.95,86.25
,Nifty FMCG,     25408.85,     25434.25,     25622.05,     25430.20,     25550.45,141.6
,Nifty MNC,     13428.00,     13437.60,     13612.25,     13437.60,     13556.95,128.95
,Nifty Pharma,      8840.30,      8888.25,      8917.65,      8787.65,      8804.45,-35.85
,Nifty PSE,      4113.45,      4130.55,      4166.40,      4091.15,      4161.35,47.9
,Nifty PSU Bank,      3220.10,      3237.35,      3246.25,      3206.70,      3218.90,-1.2
,Nifty Serv Sector,     13016.65,     13064.40,     13138.25,     13049.60,     13111.85,95.2
,India VIX,12.9625,12.9625,12.9625,11.5475,12.3600,-0.6025
,Nifty Auto,     10779.00,     10842.70,     10881.25,     10829.40,     10839.75,60.75
,Nifty Metal,      3652.95,      3658.25,      3695.50,      3638.65,      3675.00,22.05
,Nifty Media,      3039.75,      3058.80,      3069.35,      3049.85,      3053.10,13.35
,Nifty SML100 Free,      7876.75,      7936.20,      7951.00,      7910.35,      7919.05,42.3
,Nifty 200,      5405.55,      5428.90,      5457.05,      5424.20,      5444.65,39.1
,Nifty Div Opps 50,      2481.30,      2491.40,      2496.05,      2481.40,      2489.30,8
,Nifty Commodities,      3879.75,      3895.50,      3917.15,      3873.60,      3903.55,23.8
,Nifty Consumption,      4501.10,      4519.35,      4543.75,      4516.75,      4534.85,33.75
,Nifty Fin Service,     10121.00,     10153.10,     10222.30,     10153.10,     10185.90,64.9
,Nifty50 Div Point,        81.46,        83.41,        83.41,        83.41,        83.41,1.95
,Nifty100 Liq 15,      4470.45,      4487.40,      4514.20,      4475.45,      4495.55,25.1
,Nifty CPSE,      2488.10,      2502.25,      2528.65,      2501.25,      2523.65,35.55
,Nifty GrowSect 15,      6116.50,      6134.70,      6165.10,      6132.25,      6147.20,30.7
,Nifty50 PR 2x Lev,      4192.70,      4221.85,      4269.60,      4221.85,      4250.80,58.1
,Nifty50 PR 1x Inv,       426.40,       425.05,       425.05,       422.60,       423.55,-2.85
,Nifty50 TR 2x Lev,      5145.55,      5183.35,      5242.00,      5183.35,      5218.90,73.35
,Nifty50 TR 1x Inv,       384.90,       383.55,       383.55,       381.35,       382.25,-2.65
,Nifty50 Value 20,      4265.90,      4284.65,      4296.25,      4271.00,      4273.75,7.85
,Nifty Mid Liq 15,      3951.75,      3974.20,      3991.05,      3962.90,      3978.00,26.25
,Nifty Pvt Bank,     13712.15,     13768.35,     13925.75,     13753.90,     13891.10,178.95
,Nifty Quality 30,      2333.25,      2341.35,      2350.25,      2339.90,      2343.40,10.15
,Nifty GS 8 13Yr,      1737.79,      1738.12,      1738.41,      1736.96,      1737.39,-.4
,Nifty GS 10Yr,      1661.75,      1662.05,      1663.01,      1660.61,      1660.93,-.82
,Nifty GS 10Yr Cln,       987.70,       987.70,       988.29,       986.83,       987.02,-.68
,Nifty GS 4 8Yr,      1811.40,      1811.76,      1811.76,      1811.14,      1811.32,-.08
,Nifty GS 11 15Yr,      1815.39,      1815.73,      1815.79,      1814.36,      1815.04,-.35
,Nifty GS 15YrPlus,      1952.06,      1952.45,      1952.91,      1951.44,      1951.44,-.62
,Nifty GS Compsite,      1777.02,      1777.35,      1777.58,      1776.37,      1776.63,-.39

,ADVANCES,923
,DECLINES,779
,UNCHANGED,74

,Total securities that have hit their price bands today,168

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARATFIN,EQ,       934.70,       966.90,3.44,716.31
,YESBANK,EQ,      1789.00,      1842.05,2.97,613.96
,INFY,EQ,       884.30,       878.70,-0.63,607.28
,INDUSINDBK,EQ,      1695.90,      1791.25,5.62,606.72
,LT,EQ,      1172.40,      1217.85,3.88,525.92
,HDFCBANK,EQ,      1787.65,      1823.35,2,521.29
,RELIANCE,EQ,       816.90,       817.90,0.12,477.3
,MARUTI,EQ,      7970.75,      8142.40,2.15,443.93
,DHFL,EQ,       544.30,       548.30,0.73,426.2
,SBIN,EQ,       271.80,       270.95,-0.31,392.48
,GAIL,EQ,       380.10,       394.80,3.87,362.37
,HDFC,EQ,      1779.15,      1781.70,0.14,322.2
,JPASSOCIAT,EQ,        23.35,        21.85,-6.42,266.63
,VEDL,EQ,       330.10,       329.70,-0.12,262.19
,ITC,EQ,       272.35,       273.60,0.46,254.58
,PETRONET,EQ,       223.95,       237.65,6.12,224.67
,ICICIBANK,EQ,       292.00,       290.80,-0.41,222.62
,RELCAPITAL,EQ,       762.30,       773.95,1.53,222.14
,M&M,EQ,      1295.40,      1280.20,-1.17,215.02
,TATASTEEL,EQ,       655.40,       662.60,1.1,211.65
,BAJFINANCE,EQ,      1891.20,      1920.45,1.55,211.12
,TATAMOTORS,EQ,       375.05,       375.30,0.07,203.56
,JUBLFOOD,EQ,      1384.50,      1452.00,4.88,202.7
,BOMDYEING,EQ,       156.35,       148.95,-4.73,195.92
,NTPC,EQ,       167.75,       170.55,1.67,195.13

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,      1791.25,      1695.90,5.62
,TATAPOWER,EQ,        80.60,        77.00,4.68
,LT,EQ,      1217.85,      1172.40,3.88
,GAIL,EQ,       394.80,       380.10,3.87
,YESBANK,EQ,      1842.05,      1789.00,2.97

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,      1280.20,      1295.40,-1.17
,IBULHSGFIN,EQ,      1297.90,      1311.20,-1.01
,SUNPHARMA,EQ,       467.45,       471.35,-0.83
,TCS,EQ,      2454.45,      2470.60,-0.65
,INFY,EQ,       878.70,       884.30,-0.63

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.05,                  2110223.90,55965
,3IINFOTECH,EQ,         4.20,                 21394205.30,5144154
,3MINDIA,EQ,     14620.85,                 15335161.55,1050
,63MOONS,EQ,        70.95,                267297786.05,3739626
,8KMILES,EQ,       447.20,                 39701247.60,88517
,A2ZINFRA,EQ,        36.65,                 18597675.00,502050
,AARTIDRUGS,EQ,       530.30,                  3025951.95,5710
,AARTIIND,EQ,       856.20,                 41387674.10,48151
,AARVEEDEN,EQ,        52.20,                 21162870.60,394811
,ABAN,EQ,       178.70,                158548933.80,881441
,ABBOTINDIA,EQ,      4145.60,                 11573034.25,2785
,ABCAPITAL,BE,       193.85,               1097669839.70,5588615
,ABFRL,EQ,       174.20,                 30603249.60,174647
,ABGSHIP,BZ,        10.85,                   179576.70,16908
,ABMINTLTD,BE,        60.35,                     6114.50,101
,ACCELYA,EQ,      1382.15,                  6024828.50,4320
,ACCORD,SM,        56.20,                   225000.00,4000
,ACE,EQ,        69.15,                 16916279.90,241131
,ADANIENT,EQ,       130.65,                494105151.90,3788024
,ADANIPOWER,EQ,        31.25,                294492912.70,9429467
,ADANITRANS,EQ,       134.50,                 66158593.55,493830
,ADFFOODS,EQ,       229.35,                 32684615.90,140994
,ADHUNIK,EQ,         5.20,                  2619080.45,515141
,ADLABS,EQ,        69.95,                 52715363.80,744768
,ADORWELD,EQ,       398.95,                   950966.65,2377
,ADSL,EQ,        22.55,                   349952.85,15477
,ADVANIHOTR,EQ,        60.00,                  2094424.45,33955
,ADVENZYMES,EQ,       294.05,                368093947.10,1229152
,AEGISCHEM,EQ,       220.20,                195574053.35,892229
,AFL,BE,        39.00,                    37830.00,970
,AGARIND,BE,       651.45,                   618959.40,957
,AGCNET,EQ,       124.35,                   560165.15,4525
,AGLSL,EQ,       127.95,                  3128326.35,24534
,AGRITECH,EQ,       115.60,                  2401555.95,20651
,AGROPHOS,SM,        21.25,                  5833500.00,276000
,AHLEAST,EQ,       267.20,                   429906.55,1602
,AHLUCONT,EQ,       276.60,                 53798014.15,194300
,AHLWEST,EQ,       151.35,                   140179.85,925
,AIAENG,EQ,      1305.95,                 61638705.95,47330
,AICHAMP,BE,        29.40,                    24872.40,846
,AIFL,EQ,       393.50,                 21271650.80,53852
,AIRAN,SM,       163.50,                   981000.00,6000
,AJANTPHARM,EQ,      1178.05,                789380430.75,661702
,AJMERA,EQ,       210.40,                 22473320.65,106805
,AKSHARCHEM,EQ,       766.90,                  8388146.55,10900
,AKSHOPTFBR,EQ,        26.40,                 31504731.05,1180949
,AKZOINDIA,EQ,      1816.70,                 11746447.85,6501
,ALANKIT,EQ,        33.55,                 40404628.95,1211736
,ALBERTDAVD,EQ,       320.50,                   957578.35,2975
,ALBK,EQ,        67.95,                 77581428.05,1141861
,ALCHEM,EQ,        13.75,                    61647.50,4499
,ALEMBICLTD,EQ,        38.80,                  7671582.50,196251
,ALICON,EQ,       574.70,                  9687157.20,16748
,ALKALI,EQ,        78.60,                  3042638.55,38042
,ALKEM,EQ,      1816.95,                 47874622.60,26352
,ALKYLAMINE,EQ,       472.80,                 15987128.35,33560
,ALLCARGO,EQ,       170.35,                 36848304.60,214508
,ALLSEC,EQ,       370.60,                  6170098.85,16490
,ALMONDZ,EQ,        26.05,                   208468.15,8009
,ALOKTEXT,EQ,         2.80,                  4068411.50,1442278
,ALPA,EQ,        30.30,                   744473.95,24388
,ALPHAGEO,EQ,       769.50,                  7651479.35,9911
,ALPSINDUS,EQ,         5.50,                   285047.05,50904
,AMARAJABAT,EQ,       783.75,                347993542.80,439429
,AMBIKCO,EQ,      1333.15,                  5261884.70,3946
,AMDIND,EQ,        34.90,                  2772511.85,79463
,AMRUTANJAN,EQ,       629.90,                  2794922.00,4445
,AMTEKAUTO,EQ,        26.30,                 65197582.55,2426056
,ANANTRAJ,EQ,        62.25,                138070311.90,2220893
,ANDHRABANK,EQ,        51.35,                 50598673.20,987072
,ANDHRACEMT,EQ,        13.55,                 20456318.80,1488031
,ANDHRSUGAR,EQ,       423.65,                 61914935.15,147711
,ANGIND,EQ,         8.55,                  3434054.90,380277
,ANIKINDS,EQ,        40.70,                  1144114.15,28354
,ANSALAPI,EQ,        25.45,                  5492244.00,213728
,ANSALHSG,EQ,        23.30,                   780587.15,33317
,ANTGRAPHIC,BE,          .95,                    20524.75,21605
,APARINDS,EQ,       796.65,                 21808639.95,27324
,APCL,EQ,       262.40,                  2522281.90,9645
,APCOTEXIND,EQ,       399.60,                  1971018.70,4891
,APEX,BE,       270.55,                 60479294.45,224135
,APLAPOLLO,EQ,      1689.45,                 51868660.10,30799
,APLLTD,EQ,       500.70,                 10094036.80,20161
,APOLLOHOSP,EQ,      1095.65,                 81195111.50,74150
,APOLLOTYRE,EQ,       256.20,                564056912.40,2212611
,APOLSINHOT,EQ,       766.65,                   771828.60,1062
,APTECHT,EQ,       311.40,                233582478.55,744001
,ARCHIDPLY,EQ,        97.75,                 10759386.60,108127
,ARCHIES,EQ,        31.05,                  2135776.95,68380
,ARCOTECH,EQ,        92.95,                 23276064.60,250265
,ARIES,EQ,       155.35,                  8566186.85,55253
,ARIHANT,BE,        42.05,                    41575.75,940
,ARIHANTSUP,EQ,       186.10,                 84025937.90,448492
,ARMANFIN,EQ,       231.10,                  4258759.60,18476
,AROGRANITE,EQ,        70.25,                  1760282.90,24625
,ARROWGREEN,EQ,       664.05,                 12598659.45,18805
,ARROWTEX,EQ,        47.80,                  1531819.90,32526
,ARSHIYA,EQ,        65.55,                  1410247.00,21466
