,19-Sep-2017
The Nifty witnessed an intraday movement of about 49 points.The closing index was 0.05 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28638.18
, Traded Quantity (in Lakhs), 16075.71
, Number of Trades, 9668454
, Total Market Capitalisation (Rs. Crores), 13520537.37

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10153.10,     10175.60,     10178.95,     10129.95,     10147.55,-5.55
,Nifty IT,     10649.50,     10658.35,     10668.65,     10611.90,     10654.80,5.3
,Nifty Next 50,     28891.30,     28945.80,     29015.10,     28847.20,     28967.05,75.75
,Nifty Bank,     25046.90,     25059.75,     25103.45,     24993.00,     25041.55,-5.35
,Nifty MID100 Free,     19088.80,     19125.90,     19158.35,     19046.95,     19098.30,9.5
,Nifty 500,      8946.90,      8967.80,      8970.10,      8930.10,      8951.75,4.85
,Nifty 100,     10540.50,     10563.35,     10566.95,     10517.75,     10540.10,-.4
,Nifty Midcap 50,      4977.75,      4991.15,      4995.45,      4964.80,      4983.55,5.8
,Nifty Realty,       288.75,       289.00,       293.10,       287.70,       291.30,2.55
,Nifty Infra,      3411.85,      3415.80,      3420.00,      3386.40,      3409.70,-2.15
,Nifty Energy,     13377.30,     13421.65,     13432.05,     13309.95,     13413.70,36.4
,Nifty FMCG,     25578.35,     25648.90,     25783.45,     25485.40,     25648.40,70.05
,Nifty MNC,     13748.95,     13782.35,     13784.65,     13708.30,     13719.85,-29.1
,Nifty Pharma,      9339.55,      9357.40,      9417.30,      9269.60,      9293.95,-45.6
,Nifty PSE,      4136.25,      4144.50,      4172.15,      4122.90,      4167.60,31.35
,Nifty PSU Bank,      3270.85,      3271.80,      3275.05,      3225.10,      3245.05,-25.8
,Nifty Serv Sector,     13268.10,     13287.35,     13291.45,     13241.55,     13263.55,-4.55
,India VIX,11.4425,11.4425,11.6425,10.3975,11.4650,0.0225
,Nifty Auto,     11104.85,     11176.80,     11218.40,     11152.30,     11170.75,65.9
,Nifty Metal,      3689.75,      3690.15,      3698.30,      3653.35,      3663.20,-26.55
,Nifty Media,      3155.55,      3167.65,      3175.10,      3143.90,      3162.35,6.8
,Nifty SML100 Free,      8031.65,      8053.50,      8086.90,      7993.55,      8049.35,17.7
,Nifty 200,      5529.05,      5541.40,      5543.10,      5517.50,      5529.15,.1
,Nifty Div Opps 50,      2521.20,      2524.70,      2529.35,      2515.55,      2526.50,5.3
,Nifty Commodities,      3911.25,      3914.10,      3919.45,      3894.50,      3914.20,2.95
,Nifty Consumption,      4600.40,      4615.10,      4616.60,      4589.90,      4597.80,-2.6
,Nifty Fin Service,     10292.90,     10301.20,     10303.40,     10256.70,     10265.40,-27.5
,Nifty50 Div Point,        84.42,        84.42,        84.42,        84.42,        84.42,0
,Nifty100 Liq 15,      4532.15,      4533.65,      4539.30,      4512.10,      4521.60,-10.55
,Nifty CPSE,      2531.55,      2536.60,      2549.85,      2526.80,      2545.95,14.4
,Nifty GrowSect 15,      6250.90,      6266.60,      6268.55,      6231.25,      6242.90,-8
,Nifty50 PR 2x Lev,      4371.05,      4389.70,      4392.15,      4350.40,      4365.55,-5.5
,Nifty50 PR 1x Inv,       417.90,       417.00,       418.90,       416.90,       418.20,.3
,Nifty50 TR 2x Lev,      5367.60,      5390.50,      5393.55,      5342.25,      5360.85,-6.75
,Nifty50 TR 1x Inv,       377.05,       376.30,       378.00,       376.20,       377.35,.3
,Nifty50 Value 20,      4361.50,      4365.30,      4367.80,      4342.25,      4359.60,-1.9
,Nifty Mid Liq 15,      4066.05,      4073.90,      4077.25,      4047.00,      4062.00,-4.05
,Nifty Pvt Bank,     14099.15,     14101.30,     14162.45,     14067.05,     14132.50,33.35
,Nifty Quality 30,      2388.95,      2393.30,      2394.20,      2383.55,      2387.35,-1.6
,Nifty GS 8 13Yr,      1731.82,      1732.15,      1733.16,      1731.91,      1732.34,.52
,Nifty GS 10Yr,      1656.40,      1656.71,      1658.34,      1656.30,      1656.94,.54
,Nifty GS 10Yr Cln,       983.00,       983.00,       983.99,       982.75,       983.14,.14
,Nifty GS 4 8Yr,      1806.20,      1806.56,      1807.50,      1806.19,      1806.67,.47
,Nifty GS 11 15Yr,      1809.01,      1809.35,      1810.53,      1809.07,      1809.65,.64
,Nifty GS 15YrPlus,      1940.85,      1941.23,      1941.23,      1939.78,      1939.78,-1.07
,Nifty GS Compsite,      1771.07,      1771.41,      1772.36,      1771.12,      1771.52,.45

,ADVANCES,844
,DECLINES,847
,UNCHANGED,76

,Total securities that have hit their price bands today,148

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TATAMOTORS,EQ,       404.95,       423.65,4.62,1190.2
,IBREALEST,EQ,       241.70,       254.15,5.15,988.45
,ITC,EQ,       267.00,       267.85,0.32,899.09
,DIVISLAB,EQ,       833.90,       863.25,3.52,823.29
,TINPLATE,EQ,       242.55,       278.25,14.72,511.95
,JPASSOCIAT,EQ,        18.55,        17.65,-4.85,456.4
,BEML,EQ,      1852.60,      1934.10,4.4,424.93
,HDFC,EQ,      1771.75,      1752.60,-1.08,423.97
,SBIN,EQ,       270.40,       267.80,-0.96,384.46
,GAIL,EQ,       400.25,       420.85,5.15,370.1
,RIIL,EQ,       488.70,       570.40,16.72,359.18
,DHFL,EQ,       602.05,       609.40,1.22,324.47
,RELIANCE,EQ,       845.55,       838.60,-0.82,296.31
,INFY,EQ,       909.10,       912.25,0.35,274.86
,TATASTEEL,EQ,       672.90,       676.40,0.52,250.57
,JAICORPLTD,EQ,       110.70,       132.80,19.96,244.7
,DIXON,EQ,      2891.55,      2892.50,0.03,233.46
,GRAPHITE,EQ,       365.75,       372.35,1.8,232.88
,RAIN,EQ,       155.05,       181.00,16.74,231.31
,SUNPHARMA,EQ,       521.05,       515.80,-1.01,227.31
,ICICIBANK,EQ,       293.00,       294.65,0.56,220.94
,IBULHSGFIN,EQ,      1301.10,      1307.95,0.53,216.12
,YESBANK,EQ,      1859.15,      1866.50,0.4,209.32
,TATAGLOBAL,EQ,       213.30,       216.20,1.36,208.4
,KOTAKBANK,EQ,      1017.05,      1034.35,1.7,204.61

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       420.85,       400.25,5.15
,TATAMOTORS,EQ,       423.65,       404.95,4.62
,TATAMTRDVR,EQ,       241.40,       233.50,3.38
,INFRATEL,EQ,       398.30,       389.10,2.36
,BPCL,EQ,       506.90,       497.95,1.8

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       258.55,       264.55,-2.27
,AUROPHARMA,EQ,       748.95,       762.25,-1.74
,HINDALCO,EQ,       246.50,       249.50,-1.2
,EICHERMOT,EQ,     32403.95,     32766.10,-1.11
,HDFC,EQ,      1752.60,      1771.75,-1.08

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.50,                 12389641.25,295617
,3IINFOTECH,EQ,         3.95,                  2887271.45,730039
,3MINDIA,EQ,     14660.90,                 26147759.35,1784
,63MOONS,EQ,        83.75,                 80645955.30,957745
,8KMILES,EQ,       391.30,                 41786709.30,105839
,A2ZINFRA,EQ,        37.50,                132999442.40,3526973
,AARTIDRUGS,EQ,       536.20,                  4212890.85,7865
,AARTIIND,EQ,       865.65,                 16261159.35,18577
,AARVEEDEN,BE,        47.15,                  3878888.80,82912
,ABAN,EQ,       179.35,                176988012.50,982198
,ABBOTINDIA,EQ,      4172.75,                  8863629.20,2145
,ABCAPITAL,EQ,       198.65,                861702023.40,4287615
,ABFRL,EQ,       169.20,                 35003770.65,206127
,ABGSHIP,BZ,        11.05,                    33694.30,3050
,ABMINTLTD,BE,        52.25,                      522.50,10
,ACCELYA,EQ,      1522.40,                 19119793.05,12613
,ACCORD,SM,        53.30,                   967000.00,18000
,ACE,EQ,        69.85,                 59555224.35,846632
,ADANIENT,EQ,       131.00,                304926489.95,2326183
,ADANIPOWER,EQ,        31.70,                288351704.40,9119322
,ADANITRANS,EQ,       137.15,                 50088709.25,364625
,ADFFOODS,EQ,       250.90,                818184749.90,3276979
,ADHUNIK,EQ,         4.85,                   886949.10,182130
,ADLABS,EQ,        71.50,                 25221090.55,349122
,ADORWELD,EQ,       447.95,                 23482651.50,51820
,ADSL,EQ,        22.50,                   520854.15,22901
,ADVANIHOTR,EQ,        58.00,                   286464.15,4914
,ADVENZYMES,EQ,       271.15,                 46905841.15,171922
,AEGISCHEM,EQ,       223.70,                 53472150.90,242194
,AGARIND,BE,       604.85,                    64988.60,110
,AGCNET,EQ,       122.30,                   154854.60,1266
,AGLSL,EQ,       136.00,                   816605.20,5923
,AGRITECH,EQ,       107.05,                  4050216.35,37528
,AGROPHOS,SM,        21.55,                   258600.00,12000
,AHLEAST,EQ,       272.90,                   539690.10,1997
,AHLUCONT,EQ,       318.05,                 39396297.45,124411
,AHLWEST,EQ,       160.00,                   307304.55,1952
,AIAENG,EQ,      1348.10,                 22255997.45,16490
,AICHAMP,BE,        25.80,                     7869.00,305
,AIFL,EQ,       434.25,                 83984722.85,193015
,AIRAN,SM,       167.10,                  3012900.00,18000
,AJANTPHARM,EQ,      1197.60,                414571715.90,341580
,AJMERA,EQ,       237.35,                 52935068.20,220802
,AKASH,SM,        70.10,                   210250.00,3000
,AKSHARCHEM,EQ,       730.50,                  7720930.05,10606
,AKSHOPTFBR,EQ,        27.00,                115643678.65,4341920
,AKZOINDIA,EQ,      1858.10,                 16664229.00,9028
,ALANKIT,EQ,        33.35,                 28963753.85,867173
,ALBERTDAVD,EQ,       291.00,                  1582695.95,5430
,ALBK,EQ,        72.95,                276696902.05,3798057
,ALCHEM,EQ,        13.95,                   123595.35,9003
,ALEMBICLTD,EQ,        38.75,                 12184555.25,315120
,ALICON,EQ,       568.50,                  1504513.95,2645
,ALKALI,BE,        77.10,                   836409.45,10843
,ALKEM,EQ,      1777.35,                 34098000.35,19096
,ALKYLAMINE,EQ,       453.10,                  2935470.15,6448
,ALLCARGO,EQ,       176.05,                 21761215.50,123109
,ALLSEC,EQ,       358.65,                  3439351.85,9505
,ALMONDZ,EQ,        26.50,                   188731.15,7119
,ALOKTEXT,EQ,         2.90,                  7154737.80,2471617
,ALPA,EQ,        28.45,                   653473.30,22756
,ALPHAGEO,EQ,       802.50,                 22316168.95,27579
,ALPSINDUS,EQ,         5.65,                   915087.50,165273
,AMARAJABAT,EQ,       779.90,                528930225.40,678727
,AMBIKCO,EQ,      1366.15,                  3418823.55,2511
,AMDIND,EQ,        33.70,                   480486.70,14504
,AMRUTANJAN,EQ,       610.95,                  5487150.75,8921
,AMTEKAUTO,EQ,        24.90,                 19543966.80,781696
,ANANTRAJ,EQ,        61.05,                165271261.05,2666311
,ANDHRABANK,EQ,        62.05,                847708483.05,13790055
,ANDHRACEMT,BE,        12.60,                  4444140.10,353258
,ANDHRSUGAR,EQ,       416.80,                 18440932.20,43947
,ANGIND,BE,         6.75,                   252599.90,36970
,ANIKINDS,EQ,        54.35,                  5593042.75,102923
,ANSALAPI,EQ,        24.45,                  3040742.10,124044
,ANSALHSG,EQ,        22.60,                   438397.40,19473
,ANTGRAPHIC,BE,         1.00,                    32393.85,33038
,APARINDS,EQ,       778.85,                  9994928.75,12780
,APCL,EQ,       262.70,                  2080792.95,7904
,APCOTEXIND,EQ,       449.20,                  8047220.80,17973
,APEX,EQ,       333.40,                136007645.40,406881
,APLAPOLLO,EQ,      1840.75,                101700426.55,54063
,APLLTD,EQ,       482.95,                 20559665.40,42527
,APOLLOHOSP,EQ,      1057.35,                291008500.15,275698
,APOLLOTYRE,EQ,       258.50,                446135740.75,1709213
,APOLSINHOT,EQ,       709.25,                   255657.00,356
,APTECHT,EQ,       309.95,                146002598.90,467070
,ARCHIDPLY,EQ,        94.40,                  6113242.50,64364
,ARCHIES,EQ,        32.05,                  6011366.30,186168
,ARCOTECH,EQ,        90.50,                101314969.90,1094199
,ARIES,EQ,       164.65,                 48240427.50,294905
,ARIHANT,BE,        46.35,                    14266.70,312
,ARIHANTSUP,EQ,       179.05,                 62388779.55,346065
,ARMANFIN,EQ,       227.70,                   811103.45,3587
,AROGRANITE,EQ,        68.45,                  2126206.05,31027
,ARROWGREEN,EQ,       657.05,                 59338831.40,89439
,ARROWTEX,EQ,        46.90,                   673800.55,14335
,ARSHIYA,EQ,        66.00,                  1041573.00,15657
,ARVIND,EQ,       410.70,                393824104.05,956209
