,22-Sep-2017
The Nifty witnessed an intraday movement of about 142.25 points.The closing index was 1.56 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30086.39
, Traded Quantity (in Lakhs), 14639.91
, Number of Trades, 10308194
, Total Market Capitalisation (Rs. Crores), 13187759.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10121.90,     10094.35,     10095.05,      9952.80,      9964.40,-157.5
,Nifty IT,     10653.80,     10628.50,     10672.95,     10593.25,     10632.10,-21.7
,Nifty Next 50,     28695.45,     28600.45,     28601.30,     27897.35,     27947.25,-748.2
,Nifty Bank,     24799.25,     24704.55,     24709.70,     24340.00,     24368.85,-430.4
,Nifty MID100 Free,     18934.65,     18871.05,     18871.40,     18352.70,     18393.85,-540.8
,Nifty 500,      8911.20,      8886.70,      8887.05,      8726.25,      8738.00,-173.2
,Nifty 100,     10501.90,     10472.35,     10472.95,     10308.10,     10320.95,-180.95
,Nifty Midcap 50,      4933.85,      4916.60,      4916.60,      4769.25,      4778.60,-155.25
,Nifty Realty,       285.35,       282.90,       283.95,       271.25,       272.95,-12.4
,Nifty Infra,      3393.85,      3382.35,      3383.90,      3302.70,      3312.00,-81.85
,Nifty Energy,     13333.80,     13298.95,     13298.95,     13018.25,     13046.70,-287.1
,Nifty FMCG,     25489.70,     25447.30,     25447.30,     25155.70,     25220.35,-269.35
,Nifty MNC,     13588.10,     13543.15,     13543.15,     13307.15,     13329.10,-259
,Nifty Pharma,      9629.75,      9629.15,      9709.20,      9428.80,      9465.45,-164.3
,Nifty PSE,      4109.85,      4095.50,      4095.50,      4025.10,      4038.35,-71.5
,Nifty PSU Bank,      3243.50,      3228.65,      3228.65,      3147.90,      3152.80,-90.7
,Nifty Serv Sector,     13221.15,     13175.90,     13177.90,     13021.05,     13033.20,-187.95
,India VIX,11.6325,11.6325,12.9925,11.0050,12.8100,1.1775
,Nifty Auto,     11051.90,     11034.50,     11036.45,     10909.00,     10927.05,-124.85
,Nifty Metal,      3638.80,      3618.90,      3618.90,      3479.00,      3491.80,-147
,Nifty Media,      3100.65,      3089.80,      3092.35,      3020.85,      3027.95,-72.7
,Nifty SML100 Free,      7958.15,      7925.05,      7925.25,      7690.75,      7708.00,-250.15
,Nifty 200,      5506.75,      5491.20,      5491.45,      5397.30,      5404.45,-102.3
,Nifty Div Opps 50,      2514.20,      2506.55,      2506.60,      2465.15,      2467.90,-46.3
,Nifty Commodities,      3877.15,      3863.40,      3863.40,      3762.25,      3768.90,-108.25
,Nifty Consumption,      4553.40,      4537.90,      4539.85,      4481.45,      4486.50,-66.9
,Nifty Fin Service,     10218.60,     10182.95,     10184.70,     10050.40,     10064.90,-153.7
,Nifty50 Div Point,        85.02,        85.02,        85.02,        85.02,        85.02,0
,Nifty100 Liq 15,      4508.55,      4493.15,      4493.15,      4378.70,      4386.30,-122.25
,Nifty CPSE,      2514.35,      2509.30,      2509.30,      2464.05,      2474.50,-39.85
,Nifty GrowSect 15,      6231.70,      6220.25,      6220.25,      6141.90,      6152.10,-79.6
,Nifty50 PR 2x Lev,      4342.00,      4317.70,      4317.70,      4196.35,      4206.20,-135.8
,Nifty50 PR 1x Inv,       419.35,       420.60,       426.45,       420.60,       425.95,6.6
,Nifty50 TR 2x Lev,      5332.60,      5302.70,      5302.70,      5153.70,      5165.80,-166.8
,Nifty50 TR 1x Inv,       378.40,       379.50,       384.75,       379.50,       384.35,5.95
,Nifty50 Value 20,      4332.85,      4319.05,      4319.65,      4246.80,      4252.45,-80.4
,Nifty Mid Liq 15,      3999.95,      3991.85,      3991.85,      3881.75,      3887.45,-112.5
,Nifty Pvt Bank,     13969.65,     13913.15,     13917.10,     13694.95,     13714.15,-255.5
,Nifty Quality 30,      2384.50,      2379.60,      2380.80,      2355.70,      2359.35,-25.15
,Nifty GS 8 13Yr,      1724.66,      1724.99,      1726.90,      1723.67,      1724.99,.33
,Nifty GS 10Yr,      1649.99,      1650.29,      1652.41,      1648.42,      1650.01,.02
,Nifty GS 10Yr Cln,       978.55,       978.55,       979.84,       977.41,       978.38,-.17
,Nifty GS 4 8Yr,      1799.93,      1800.29,      1801.19,      1798.87,      1800.90,.97
,Nifty GS 11 15Yr,      1801.92,      1802.27,      1804.70,      1799.66,      1800.47,-1.45
,Nifty GS 15YrPlus,      1930.35,      1930.73,      1934.33,      1929.06,      1933.22,2.87
,Nifty GS Compsite,      1764.15,      1764.49,      1766.09,      1763.28,      1764.74,.59

,ADVANCES,216
,DECLINES,1494
,UNCHANGED,52

,Total securities that have hit their price bands today,143

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,       909.55,       898.30,-1.24,789.83
,DIVISLAB,EQ,       990.90,       970.25,-2.08,712.72
,ICICIBANK,EQ,       284.95,       277.10,-2.75,653.24
,RELCAPITAL,EQ,       717.90,       661.25,-7.89,601.53
,DRREDDY,EQ,      2486.55,      2457.75,-1.16,495.39
,RELIANCE,EQ,       841.35,       817.40,-2.85,463.5
,YESBANK,EQ,       377.05,       360.65,-4.35,442.01
,SUNPHARMA,EQ,       519.65,       513.85,-1.12,416.62
,VEDL,EQ,       322.55,       307.90,-4.54,415.76
,TATAMOTORS,EQ,       413.65,       411.80,-0.45,406.73
,HDFC,EQ,      1788.60,      1780.95,-0.43,393.08
,HDFCBANK,EQ,      1839.10,      1824.10,-0.82,376.47
,LT,EQ,      1228.05,      1184.80,-3.52,355.95
,ITI,EQ,       122.40,       139.45,13.93,340.54
,SBIN,EQ,       268.50,       261.85,-2.48,339.12
,HINDALCO,EQ,       244.55,       230.90,-5.58,338.96
,BAJFINANCE,EQ,      1919.50,      1863.15,-2.94,331.21
,TCS,EQ,      2524.90,      2503.60,-0.84,305.42
,BOMDYEING,EQ,       212.90,       203.15,-4.58,305.21
,DHFL,EQ,       595.40,       568.20,-4.57,298.08
,MARUTI,EQ,      8144.95,      8068.20,-0.94,296.79
,TATASTEEL,EQ,       687.10,       654.00,-4.82,294.41
,HCLTECH,EQ,       870.30,       884.45,1.63,277.76
,IBREALEST,EQ,       238.70,       218.05,-8.65,275.48
,HEROMOTOCO,EQ,      3896.40,      3791.15,-2.7,274.71

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       884.45,       870.30,1.63
,WIPRO,EQ,       294.45,       291.90,.87
,INFRATEL,EQ,       390.00,       387.65,.61

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       230.90,       244.55,-5.58
,TATASTEEL,EQ,       654.00,       687.10,-4.82
,VEDL,EQ,       307.90,       322.55,-4.54
,YESBANK,EQ,       360.65,       377.05,-4.35
,ULTRACEMCO,EQ,      3999.60,      4166.05,-4

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.10,                  4727069.60,115586
,3IINFOTECH,EQ,         3.90,                  9221910.80,2351012
,3MINDIA,EQ,     14487.40,                 15756234.60,1086
,63MOONS,EQ,        78.50,                 30242173.80,375543
,8KMILES,EQ,       381.05,                 25658519.45,67068
,A2ZINFRA,EQ,        37.45,                467973181.10,11667204
,AARTIDRUGS,EQ,       526.85,                  5208505.80,9801
,AARTIIND,EQ,       891.55,                181611311.30,198622
,AARVEEDEN,BE,        44.40,                  1725066.05,38540
,ABAN,EQ,       182.20,                524840859.85,2795465
,ABBOTINDIA,EQ,      4252.90,                240748539.95,57160
,ABCAPITAL,EQ,       190.25,               1003541851.00,5176182
,ABFRL,EQ,       164.10,                112187952.30,676337
,ABGSHIP,BZ,        10.90,                   280316.75,25216
,ABMINTLTD,BE,        45.15,                    48581.40,1076
,ACCELYA,EQ,      1492.65,                  6360366.15,4253
,ACCORD,SM,        53.00,                   638100.00,12000
,ACE,EQ,        64.55,                 20606859.75,317399
,ACEINTEG,SM,        34.00,                   373200.00,12000
,ADANIENT,EQ,       121.75,                342852083.50,2761762
,ADANIPOWER,EQ,        30.45,                313361274.00,10065127
,ADANITRANS,EQ,       128.60,                 89307162.10,687250
,ADFFOODS,EQ,       247.70,                103890627.20,412938
,ADHUNIK,EQ,         4.35,                   612463.30,138193
,ADHUNIKIND,EQ,        79.10,                   387352.70,4897
,ADLABS,EQ,        69.60,                141596396.35,1943048
,ADORWELD,EQ,       403.30,                  6157957.00,14903
,ADSL,EQ,        21.85,                   919757.30,41685
,ADVANIHOTR,EQ,        58.05,                   714417.85,12122
,ADVENZYMES,EQ,       259.00,                206385949.10,780293
,AEGISCHEM,EQ,       223.00,                 42215419.10,190135
,AGARIND,BE,       573.00,                  4910449.10,8814
,AGCNET,EQ,       123.35,                   134436.10,1089
,AGLSL,EQ,       132.25,                  1489868.90,11282
,AGRITECH,EQ,        97.25,                  3598660.00,37105
,AGROPHOS,SM,        20.70,                   624000.00,30000
,AHLEAST,EQ,       265.10,                   382746.70,1444
,AHLUCONT,EQ,       317.40,                 19230959.50,61661
,AHLWEST,EQ,       167.90,                   436062.05,2513
,AIAENG,EQ,      1355.05,                 43562117.80,31959
,AIFL,EQ,       497.35,                111703414.95,225259
,AIRAN,SM,       191.00,                  8177400.00,42000
,AJANTPHARM,EQ,      1208.50,               1674371508.10,1330550
,AJMERA,EQ,       228.95,                 35292708.35,151776
,AKASH,SM,        82.90,                   878300.00,11000
,AKSHARCHEM,EQ,       756.15,                 42322042.70,55352
,AKSHOPTFBR,EQ,        24.70,                 55095685.75,2194932
,AKZOINDIA,EQ,      1862.10,                 16255788.00,8656
,ALANKIT,EQ,        33.35,                 44707877.65,1332832
,ALBERTDAVD,EQ,       287.80,                   899064.55,3098
,ALBK,EQ,        68.85,                188631553.00,2698414
,ALCHEM,EQ,        13.30,                   258918.45,19500
,ALEMBICLTD,EQ,        40.20,                 54028342.75,1304014
,ALICON,EQ,       538.85,                  1457682.90,2707
,ALKALI,BE,        75.25,                   747144.55,9875
,ALKEM,EQ,      1800.95,                 44269355.85,24540
,ALKYLAMINE,EQ,       432.30,                  3705223.75,8538
,ALLCARGO,EQ,       172.95,                 43512114.30,253096
,ALLSEC,EQ,       357.10,                  2449086.20,6779
,ALMONDZ,EQ,        25.25,                   325249.85,12835
,ALOKTEXT,EQ,         2.80,                  5287620.85,1884124
,ALPA,EQ,        31.70,                  1859659.00,58866
,ALPHAGEO,EQ,       785.05,                 21315955.40,26856
,ALPSINDUS,EQ,         5.35,                   298321.80,54234
,AMARAJABAT,EQ,       768.85,                824250050.15,1072794
,AMBIKCO,EQ,      1338.25,                  2724822.10,2030
,AMDIND,EQ,        33.00,                   876896.25,26344
,AMRUTANJAN,EQ,       580.95,                  3365898.85,5733
,AMTEKAUTO,EQ,        24.55,                 19215543.50,777258
,ANANTRAJ,EQ,        56.95,                 73392803.05,1268682
,ANDHRABANK,EQ,        57.25,                341830586.80,5820118
,ANDHRACEMT,BE,        11.75,                  3771868.40,316503
,ANDHRSUGAR,EQ,       396.00,                 28093526.30,70378
,ANGIND,BE,         6.65,                   109496.65,16455
,ANIKINDS,EQ,        60.95,                 17622992.50,284732
,ANSALAPI,EQ,        22.70,                  5043695.25,220188
,ANSALHSG,EQ,        22.35,                  1293292.15,57540
,ANTGRAPHIC,BE,         1.00,                    12659.00,13262
,APARINDS,EQ,       763.85,                  7775002.80,10142
,APCL,EQ,       252.90,                  2886214.95,11359
,APCOTEXIND,EQ,       416.45,                  7497589.10,17939
,APEX,EQ,       278.90,                137526544.10,489924
,APLAPOLLO,EQ,      1759.45,                 15424275.90,8724
,APLLTD,EQ,       489.95,                 14662928.45,29658
,APOLLOHOSP,EQ,      1034.70,                292166860.80,280377
,APOLLOTYRE,EQ,       251.35,               1275062737.00,4945207
,APOLSINHOT,EQ,       682.00,                   181178.35,261
,APTECHT,EQ,       290.70,                 96045662.65,326614
,ARCHIDPLY,EQ,        88.75,                  5136374.95,57201
,ARCHIES,EQ,        30.95,                 24164291.80,753560
,ARCOTECH,EQ,        84.20,                  7006506.25,82276
,ARIES,EQ,       152.80,                  7596950.90,48603
,ARIHANT,BE,        49.45,                    33542.25,726
,ARIHANTSUP,EQ,       179.35,                 66148130.40,368898
,ARMANFIN,EQ,       219.95,                  3070508.95,13819
,AROGRANITE,EQ,        67.35,                  1488278.65,21935
,ARROWGREEN,EQ,       629.05,                 21488545.70,34272
,ARROWTEX,EQ,        44.35,                   787751.60,17567
,ARSHIYA,EQ,        65.85,                  3951566.80,58527
,ARVIND,EQ,       379.05,                374394535.80,970385
,ARVSMART,EQ,       147.60,                  9976155.65,66270
