,13-Oct-2017
The Nifty witnessed an intraday movement of about 71.8 points.The closing index was 0.7 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29800.05
, Traded Quantity (in Lakhs), 14076.28
, Number of Trades, 9672385
, Total Market Capitalisation (Rs. Crores), 13674613.63

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10096.40,     10123.70,     10191.90,     10120.10,     10167.45,71.05
,Nifty IT,     10881.30,     10915.05,     10997.10,     10880.00,     10924.20,42.9
,Nifty Next 50,     28528.85,     28659.30,     28668.20,     28546.65,     28575.45,46.6
,Nifty Bank,     24361.25,     24411.10,     24779.75,     24387.80,     24689.15,327.9
,Nifty MID100 Free,     18683.30,     18742.55,     18771.95,     18683.80,     18723.35,40.05
,Nifty 500,      8890.05,      8916.65,      8954.65,      8913.95,      8937.20,47.15
,Nifty 100,     10469.30,     10500.50,     10558.30,     10496.80,     10534.60,65.3
,Nifty Midcap 50,      4886.60,      4899.25,      4903.25,      4871.80,      4878.30,-8.3
,Nifty Realty,       281.70,       282.45,       286.25,       279.70,       282.55,.85
,Nifty Infra,      3313.15,      3352.00,      3357.75,      3333.05,      3352.50,39.35
,Nifty Energy,     13653.25,     13721.15,     13791.00,     13648.65,     13678.20,24.95
,Nifty FMCG,     25473.60,     25443.80,     25483.95,     25331.05,     25434.85,-38.75
,Nifty MNC,     13401.35,     13410.15,     13453.95,     13376.70,     13425.85,24.5
,Nifty Pharma,      9577.10,      9593.80,      9613.80,      9526.35,      9545.60,-31.5
,Nifty PSE,      4159.05,      4169.70,      4180.05,      4154.00,      4172.30,13.25
,Nifty PSU Bank,      3028.25,      3028.40,      3078.40,      3014.95,      3045.45,17.2
,Nifty Serv Sector,     13138.80,     13189.20,     13301.75,     13172.20,     13272.75,133.95
,India VIX,11.0425,11.0425,11.3450,10.0850,11.2625,0.2200
,Nifty Auto,     11072.25,     11095.95,     11117.15,     11066.40,     11078.30,6.05
,Nifty Metal,      3741.45,      3759.90,      3808.10,      3753.60,      3784.55,43.1
,Nifty Media,      3023.40,      3025.15,      3032.30,      2999.70,      3009.80,-13.6
,Nifty SML100 Free,      7940.30,      7967.65,      8031.85,      7959.60,      7988.85,48.55
,Nifty 200,      5486.75,      5502.90,      5527.95,      5500.95,      5516.15,29.4
,Nifty Div Opps 50,      2525.25,      2530.00,      2539.35,      2527.15,      2535.35,10.1
,Nifty Commodities,      3922.00,      3934.70,      3952.60,      3927.65,      3941.05,19.05
,Nifty Consumption,      4521.05,      4546.50,      4552.00,      4537.05,      4546.70,25.65
,Nifty Fin Service,     10046.65,     10056.50,     10198.55,     10048.95,     10165.25,118.6
,Nifty50 Div Point,        85.02,        85.02,        85.02,        85.02,        85.02,0
,Nifty100 Liq 15,      4484.40,      4493.45,      4533.15,      4487.60,      4514.05,29.65
,Nifty CPSE,      2579.05,      2582.75,      2592.35,      2576.05,      2587.80,8.75
,Nifty GrowSect 15,      6202.15,      6202.25,      6209.50,      6182.35,      6188.90,-13.25
,Nifty50 PR 2x Lev,      4301.80,      4324.35,      4382.35,      4322.70,      4361.65,59.85
,Nifty50 PR 1x Inv,       421.50,       420.45,       420.50,       417.60,       418.60,-2.9
,Nifty50 TR 2x Lev,      5283.25,      5310.95,      5382.15,      5308.90,      5356.70,73.45
,Nifty50 TR 1x Inv,       380.30,       379.35,       379.40,       376.80,       377.70,-2.6
,Nifty50 Value 20,      4351.35,      4373.60,      4400.45,      4369.45,      4385.95,34.6
,Nifty Mid Liq 15,      3997.55,      4011.30,      4013.95,      3985.40,      3991.90,-5.65
,Nifty Pvt Bank,     13806.70,     13831.35,     14053.65,     13822.10,     13998.65,191.95
,Nifty Quality 30,      2389.55,      2392.60,      2399.90,      2389.10,      2392.15,2.6
,Nifty GS 8 13Yr,      1723.69,      1724.02,      1727.87,      1724.02,      1726.20,2.51
,Nifty GS 10Yr,      1647.57,      1647.87,      1651.71,      1647.87,      1648.07,.5
,Nifty GS 10Yr Cln,       973.24,       973.24,       975.57,       973.24,       973.36,.12
,Nifty GS 4 8Yr,      1805.76,      1806.12,      1809.60,      1806.12,      1808.80,3.04
,Nifty GS 11 15Yr,      1798.94,      1799.28,      1806.29,      1799.28,      1802.86,3.92
,Nifty GS 15YrPlus,      1923.05,      1923.43,      1931.25,      1923.43,      1927.62,4.57
,Nifty GS Compsite,      1765.21,      1765.55,      1769.55,      1765.55,      1767.66,2.45

,ADVANCES,787
,DECLINES,930
,UNCHANGED,82

,Total securities that have hit their price bands today,133

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARTIARTL,EQ,       400.25,       430.90,7.66,1775.59
,RELIANCE,EQ,       872.75,       876.45,0.42,865.76
,INFRATEL,EQ,       432.00,       449.95,4.16,758.07
,TATASTEEL,EQ,       691.60,       710.85,2.78,681.74
,DHFL,EQ,       532.00,       537.80,1.09,587.78
,TCS,EQ,      2548.20,      2558.60,0.41,520.93
,HDFC,EQ,      1755.55,      1766.45,0.62,480.39
,SBIN,EQ,       251.20,       252.10,0.36,397.54
,ICICIBANK,EQ,       267.55,       271.30,1.4,391.96
,RELCAPITAL,EQ,       547.90,       540.75,-1.3,358.84
,INDUSINDBK,EQ,      1743.00,      1750.35,0.42,345.67
,AXISBANK,EQ,       525.10,       529.45,0.83,341.96
,INFY,EQ,       927.30,       930.10,0.3,333.8
,VEDL,EQ,       319.50,       321.40,0.59,330.94
,HINDALCO,EQ,       264.45,       266.60,0.81,325.07
,ITC,EQ,       267.00,       265.95,-0.39,319.4
,DMART,EQ,      1268.65,      1229.90,-3.05,313.31
,HDFCBANK,EQ,      1818.80,      1850.80,1.76,296.89
,TATAMOTORS,EQ,       420.15,       424.80,1.11,296.76
,KTKBANK,EQ,       153.35,       163.45,6.59,277.28
,JPASSOCIAT,EQ,        19.20,        19.75,2.86,275.96
,MARUTI,EQ,      7904.25,      7874.15,-0.38,258.72
,IDEA,EQ,        74.55,        78.90,5.84,219.1
,YESBANK,EQ,       365.40,       369.70,1.18,216.45
,RAIN,EQ,       188.35,       206.30,9.53,209.36

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       430.90,       400.25,7.66
,INFRATEL,EQ,       449.95,       432.00,4.16
,TATASTEEL,EQ,       710.85,       691.60,2.78
,KOTAKBANK,EQ,      1082.35,      1057.60,2.34
,ULTRACEMCO,EQ,      4005.00,      3919.80,2.17

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       437.50,       445.95,-1.89
,ZEEL,EQ,       510.05,       517.55,-1.45
,DRREDDY,EQ,      2354.45,      2379.85,-1.07
,M&M,EQ,      1325.30,      1338.15,-0.96
,SUNPHARMA,EQ,       534.70,       539.55,-0.9

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.80,                  2363140.25,57168
,3IINFOTECH,EQ,         4.10,                 11638549.55,2890891
,3MINDIA,EQ,     14262.40,                 22404672.85,1572
,63MOONS,EQ,       115.95,                419665184.50,3530925
,8KMILES,EQ,       491.60,                 92019014.00,182547
,A2ZINFRA,EQ,        36.20,                 20148975.55,553746
,AARTIDRUGS,EQ,       530.00,                  3599760.80,6752
,AARTIIND,EQ,       902.10,                 29401627.20,32441
,AARVEEDEN,BE,        43.10,                   525120.95,12049
,AARVI,SM,        73.05,                  7998500.00,112000
,ABAN,EQ,       187.95,                225731607.75,1181554
,ABBOTINDIA,EQ,      4250.15,                 11175647.90,2638
,ABCAPITAL,EQ,       183.25,               1710044589.70,9303982
,ABFRL,EQ,       155.40,                 61409442.90,393962
,ABGSHIP,BZ,        11.20,                   912049.60,81433
,ABMINTLTD,BE,        47.00,                      846.00,18
,ACCELYA,EQ,      1459.70,                  4934347.70,3370
,ACCORD,SM,        49.00,                   194600.00,4000
,ACE,EQ,        70.00,                 30224444.45,427286
,ADANIENT,EQ,       119.85,                231350441.40,1922554
,ADANIPOWER,EQ,        30.05,                 95851094.10,3182649
,ADANITRANS,EQ,       218.20,                814262240.80,3706238
,ADFFOODS,EQ,       243.95,                 83380970.65,335315
,ADHUNIK,EQ,         4.20,                   276225.40,65232
,ADHUNIKIND,EQ,        45.65,                   141104.15,3091
,ADLABS,EQ,        69.15,                 24937701.95,357307
,ADORWELD,EQ,       568.40,                 71361473.25,121979
,ADSL,EQ,        22.70,                   835395.35,37098
,ADVANIHOTR,EQ,        58.85,                   254467.85,4302
,ADVENZYMES,EQ,       268.80,                 30263859.55,111623
,AEGISCHEM,EQ,       225.65,                 61589812.90,271157
,AGARIND,BE,       505.25,                   796245.20,1546
,AGCNET,EQ,       117.70,                    45969.55,391
,AGLSL,EQ,       126.75,                  5194522.65,41024
,AGRITECH,EQ,       110.95,                 27485587.30,250906
,AGROPHOS,SM,        21.90,                   131400.00,6000
,AHLEAST,EQ,       259.40,                   156167.90,601
,AHLUCONT,EQ,       294.50,                  1710906.10,5791
,AHLWEST,EQ,       163.00,                    29380.70,180
,AIAENG,EQ,      1400.90,                 18738310.55,13415
,AIFL,EQ,       474.20,                 30499609.25,63876
,AIRAN,SM,       180.00,                   359850.00,2000
,AIROLAM,SM,        44.25,                  8466750.00,192000
,AJANTPHARM,EQ,      1178.60,                439828307.20,375576
,AJMERA,EQ,       253.95,                 77846790.35,303814
,AKASH,SM,        74.80,                  1402000.00,18000
,AKSHARCHEM,EQ,       768.60,                 10749176.40,13866
,AKSHOPTFBR,EQ,        25.90,                 56281135.70,2134589
,AKZOINDIA,EQ,      1829.65,                  9767969.35,5340
,ALANKIT,EQ,        34.20,                 59588449.60,1754649
,ALBERTDAVD,EQ,       286.95,                  1186828.70,4162
,ALBK,EQ,        66.30,                128448009.95,1930242
,ALCHEM,EQ,        11.25,                   678480.80,60421
,ALEMBICLTD,EQ,        38.65,                 17052871.25,438669
,ALICON,EQ,       543.50,                   809143.55,1480
,ALKALI,BE,        72.20,                   397530.85,5506
,ALKEM,EQ,      1830.85,                 41894063.95,22963
,ALKYLAMINE,EQ,       566.60,                 22401000.90,38676
,ALLCARGO,EQ,       164.85,                 18180441.20,109984
,ALLSEC,EQ,       377.55,                  2690012.70,7180
,ALMONDZ,EQ,        27.65,                   765922.10,27336
,ALOKTEXT,EQ,         3.10,                 39073912.30,12669154
,ALPA,EQ,        29.80,                   881622.55,29554
,ALPHAGEO,EQ,       772.25,                 15706352.00,20255
,ALPSINDUS,EQ,         5.00,                   180421.75,36169
,AMARAJABAT,EQ,       688.90,                558618861.75,808290
,AMBIKCO,EQ,      1314.55,                  3084833.40,2351
,AMDIND,EQ,        38.55,                  1957645.50,50021
,AMRUTANJAN,EQ,       578.05,                  2280798.50,3949
,AMTEKAUTO,EQ,        22.65,                 15406300.35,675776
,ANANTRAJ,EQ,        53.30,                 50790808.05,944664
,ANDHRABANK,EQ,        55.70,                311371132.50,5519112
,ANDHRACEMT,BE,        11.40,                  1377952.45,119237
,ANDHRSUGAR,EQ,       502.75,                 27919405.95,54866
,ANGIND,BE,         5.85,                    93922.00,16363
,ANIKINDS,EQ,        69.05,                  4997699.15,71595
,ANSALAPI,EQ,        21.10,                  2376588.10,111986
,ANSALHSG,EQ,        20.85,                   688026.40,33015
,ANTGRAPHIC,BE,          .95,                     1235.00,1300
,APARINDS,EQ,       768.85,                  7438256.60,9637
,APCL,EQ,       242.35,                  1659829.85,6783
,APCOTEXIND,EQ,       484.20,                  5663658.10,11664
,APEX,EQ,       436.25,                216788821.30,500703
,APLAPOLLO,EQ,      1894.05,                  8900161.25,4684
,APLLTD,EQ,       495.90,                 10903394.30,21989
,APOLLOHOSP,EQ,      1075.70,                417129715.75,387681
,APOLLOTYRE,EQ,       242.20,                435995266.85,1801541
,APOLSINHOT,EQ,       711.50,                   208176.80,292
,APTECHT,EQ,       311.90,                107733941.55,342629
,ARCHIDPLY,EQ,        90.15,                  3418162.80,37620
,ARCHIES,EQ,        31.80,                 11400840.45,349553
,ARCOTECH,EQ,        81.35,                384614021.75,4475566
,ARIES,EQ,       172.45,                 67574786.45,386790
,ARIHANT,BE,        46.50,                     8359.50,183
,ARIHANTSUP,EQ,       172.00,                 66395098.00,379341
,ARMANFIN,EQ,       211.05,                  4567395.50,21526
,AROGRANITE,EQ,        69.05,                  6348942.25,89821
,ARROWGREEN,EQ,       568.65,                 27321308.70,48295
