,17-Oct-2017
The Nifty witnessed an intraday movement of about 39.25 points.The closing index was 0.04 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28055.29
, Traded Quantity (in Lakhs), 12652.58
, Number of Trades, 9360254
, Total Market Capitalisation (Rs. Crores), 13792537.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10230.85,     10227.65,     10251.85,     10212.60,     10234.45,3.6
,Nifty IT,     10961.60,     10946.85,     11006.65,     10910.40,     10942.70,-18.9
,Nifty Next 50,     28646.45,     28658.90,     28797.95,     28583.55,     28782.70,136.25
,Nifty Bank,     24703.05,     24697.25,     24809.15,     24571.85,     24645.60,-57.45
,Nifty MID100 Free,     18779.10,     18811.15,     18904.15,     18766.45,     18887.90,108.8
,Nifty 500,      8985.25,      8988.75,      9011.10,      8972.80,      9002.35,17.1
,Nifty 100,     10595.15,     10593.10,     10618.70,     10575.95,     10605.80,10.65
,Nifty Midcap 50,      4914.05,      4929.35,      4950.50,      4912.80,      4930.80,16.75
,Nifty Realty,       285.70,       285.25,       289.40,       283.85,       288.25,2.55
,Nifty Infra,      3388.90,      3388.40,      3421.45,      3385.70,      3413.75,24.85
,Nifty Energy,     13711.00,     13709.15,     13768.05,     13658.15,     13728.00,17
,Nifty FMCG,     25607.60,     25643.05,     25651.25,     25517.45,     25620.95,13.35
,Nifty MNC,     13576.00,     13590.20,     13609.90,     13532.25,     13589.50,13.5
,Nifty Pharma,      9692.55,      9683.35,      9752.60,      9638.85,      9740.55,48
,Nifty PSE,      4189.55,      4185.60,      4220.70,      4177.00,      4212.30,22.75
,Nifty PSU Bank,      3039.10,      3039.00,      3077.65,      3033.10,      3037.80,-1.3
,Nifty Serv Sector,     13303.75,     13297.40,     13343.15,     13267.95,     13291.95,-11.8
,India VIX,11.3100,11.3100,11.7325,10.1050,11.6100,0.3000
,Nifty Auto,     11216.85,     11223.75,     11245.95,     11164.20,     11221.90,5.05
,Nifty Metal,      3855.45,      3861.55,      3875.35,      3835.90,      3868.15,12.7
,Nifty Media,      3023.15,      3016.95,      3024.05,      2961.70,      2970.10,-53.05
,Nifty SML100 Free,      8009.95,      8023.60,      8083.30,      7999.90,      8066.70,56.75
,Nifty 200,      5548.00,      5549.05,      5562.95,      5539.15,      5556.25,8.25
,Nifty Div Opps 50,      2554.90,      2555.35,      2567.85,      2548.65,      2565.60,10.7
,Nifty Commodities,      3980.25,      3980.50,      4001.50,      3968.40,      3997.25,17
,Nifty Consumption,      4600.05,      4608.60,      4628.45,      4595.15,      4620.75,20.7
,Nifty Fin Service,     10160.90,     10154.00,     10182.75,     10105.30,     10133.85,-27.05
,Nifty50 Div Point,        85.02,        85.02,        85.02,        85.02,        85.02,0
,Nifty100 Liq 15,      4524.15,      4526.45,      4561.15,      4518.50,      4530.85,6.7
,Nifty CPSE,      2596.65,      2591.45,      2607.40,      2588.85,      2596.65,0
,Nifty GrowSect 15,      6256.75,      6263.70,      6267.85,      6230.90,      6257.10,.35
,Nifty50 PR 2x Lev,      4414.20,      4410.65,      4431.35,      4397.95,      4416.50,2.3
,Nifty50 PR 1x Inv,       416.20,       416.40,       417.00,       415.40,       416.10,-.1
,Nifty50 TR 2x Lev,      5421.25,      5416.90,      5442.35,      5401.30,      5424.10,2.85
,Nifty50 TR 1x Inv,       375.50,       375.70,       376.25,       374.80,       375.45,-.05
,Nifty50 Value 20,      4416.25,      4419.05,      4430.75,      4407.45,      4417.20,.95
,Nifty Mid Liq 15,      4012.15,      4024.10,      4042.65,      4010.30,      4018.90,6.75
,Nifty Pvt Bank,     14003.70,     14011.45,     14069.65,     13936.25,     13971.90,-31.8
,Nifty Quality 30,      2409.70,      2409.70,      2416.70,      2404.00,      2414.20,4.5
,Nifty GS 8 13Yr,      1728.59,      1728.93,      1728.93,      1725.45,      1726.66,-1.93
,Nifty GS 10Yr,      1650.90,      1651.20,      1651.20,      1646.68,      1648.32,-2.58
,Nifty GS 10Yr Cln,       974.52,       974.52,       974.52,       971.78,       972.78,-1.74
,Nifty GS 4 8Yr,      1810.90,      1811.26,      1811.37,      1809.90,      1810.33,-.57
,Nifty GS 11 15Yr,      1805.85,      1806.19,      1806.19,      1801.91,      1802.96,-2.89
,Nifty GS 15YrPlus,      1931.25,      1931.63,      1931.63,      1927.23,      1927.62,-3.63
,Nifty GS Compsite,      1770.19,      1770.53,      1770.53,      1767.10,      1768.24,-1.95

,ADVANCES,859
,DECLINES,846
,UNCHANGED,90

,Total securities that have hit their price bands today,139

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,DHFL,EQ,       558.25,       591.85,6.02,1027.04
,BHARTIARTL,EQ,       453.30,       465.95,2.79,783.61
,RELIANCE,EQ,       876.80,       874.35,-0.28,555.87
,AXISBANK,EQ,       520.35,       513.15,-1.38,488.39
,FEDERALBNK,EQ,       124.80,       125.95,0.92,460.93
,RELCAPITAL,EQ,       536.40,       562.35,4.84,451.07
,BEML,EQ,      1727.85,      1778.95,2.96,444.76
,INFRATEL,EQ,       471.50,       479.20,1.63,432.22
,IDEA,EQ,        83.10,        90.00,8.3,372.22
,NTPC,EQ,       175.45,       175.90,0.26,345.01
,SBIN,EQ,       252.05,       251.15,-0.36,340.82
,BAJFINANCE,EQ,      1886.30,      1867.10,-1.02,334.92
,BAJAJ-AUTO,EQ,      3224.80,      3259.95,1.09,300.97
,VEDL,EQ,       335.20,       334.35,-0.25,287.59
,ITC,EQ,       267.50,       267.25,-0.09,284.29
,INDUSINDBK,EQ,      1716.00,      1707.70,-0.48,281.05
,ZEEL,EQ,       514.45,       494.80,-3.82,275.09
,IBULHSGFIN,EQ,      1295.10,      1325.70,2.36,271.93
,HINDALCO,EQ,       271.40,       276.50,1.88,271.41
,IBREALEST,EQ,       208.25,       215.10,3.29,268.02
,INFY,EQ,       939.00,       930.50,-0.91,262.16
,YESBANK,EQ,       367.70,       373.55,1.59,260.92
,ICICIBANK,EQ,       274.25,       273.90,-0.13,252.11
,HDFC,EQ,      1762.90,      1759.75,-0.18,251.99
,SUNPHARMA,EQ,       547.95,       547.20,-0.14,246.13

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       632.10,       606.75,4.18
,BPCL,EQ,       512.75,       498.40,2.88
,BHARTIARTL,EQ,       465.95,       453.30,2.79
,IBULHSGFIN,EQ,      1325.70,      1295.10,2.36
,HINDPETRO,EQ,       470.80,       460.45,2.25

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       494.80,       514.45,-3.82
,AXISBANK,EQ,       513.15,       520.35,-1.38
,TATAMOTORS,EQ,       432.30,       437.05,-1.09
,BAJFINANCE,EQ,      1867.10,      1886.30,-1.02
,DRREDDY,EQ,      2381.35,      2403.50,-0.92

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.80,                  3223733.65,79873
,3IINFOTECH,EQ,         3.85,                 10378569.10,2652515
,3MINDIA,EQ,     14140.75,                 11027478.35,780
,63MOONS,EQ,       125.70,                561375212.95,4555630
,8KMILES,EQ,       498.60,                 66109591.00,131804
,A2ZINFRA,EQ,        35.75,                 21523142.10,599367
,AARTIDRUGS,EQ,       527.35,                  3824615.15,7181
,AARTIIND,EQ,       896.10,                 15453174.00,17109
,AARVEEDEN,BE,        43.85,                  1113951.80,25545
,AARVI,SM,        78.90,                 10165100.00,126000
,ABAN,EQ,       185.80,                132638750.75,710031
,ABBOTINDIA,EQ,      4229.05,                  3115255.95,734
,ABCAPITAL,EQ,       182.05,                731485672.20,4001669
,ABFRL,EQ,       148.95,                 85524859.40,573699
,ABGSHIP,BZ,        12.30,                   454841.70,36979
,ACCELYA,EQ,      1452.25,                  7603240.00,5261
,ACCORD,SM,        52.85,                  1110700.00,22000
,ACE,EQ,        70.75,                 24256428.65,339747
,ACEINTEG,SM,        34.25,                   102750.00,3000
,ADANIENT,EQ,       118.10,                194460748.20,1646672
,ADANIPOWER,EQ,        29.80,                294681787.05,9888109
,ADANITRANS,EQ,       229.10,                700432578.25,3088343
,ADFFOODS,EQ,       240.40,                 36132571.65,149357
,ADHUNIK,EQ,         4.20,                   232593.40,56185
,ADHUNIKIND,EQ,        50.25,                  2991941.50,59614
,ADLABS,EQ,        68.95,                  9674785.45,139315
,ADORWELD,EQ,       555.45,                 42652836.95,75413
,ADSL,EQ,        21.15,                   425345.20,19854
,ADVANIHOTR,EQ,        67.15,                 20747034.30,321739
,ADVENZYMES,EQ,       265.75,                 29402019.90,110226
,AEGISCHEM,EQ,       227.75,                210539393.40,948240
,AGARIND,BE,       526.00,                   904901.70,1704
,AGCNET,EQ,       114.40,                   125669.40,1097
,AGLSL,EQ,       121.20,                   277796.90,2286
,AGRITECH,EQ,       118.85,                 24734193.70,209624
,AHLEAST,EQ,       258.70,                    46413.85,179
,AHLUCONT,EQ,       287.30,                  3114204.70,10815
,AHLWEST,EQ,       163.35,                   206469.45,1231
,AIAENG,EQ,      1397.25,                 27149051.65,19369
,AICHAMP,BE,        29.50,                       29.50,1
,AIFL,EQ,       489.70,                 57904512.70,117508
,AIRAN,SM,       187.00,                   919500.00,5000
,AIROLAM,SM,        46.05,                  5342850.00,117000
,AJANTPHARM,EQ,      1198.35,                230610098.15,191842
,AJMERA,EQ,       258.70,                 39351887.80,149745
,AKSHARCHEM,EQ,       749.40,                  8950147.95,11976
,AKSHOPTFBR,EQ,        25.25,                 24523208.20,965657
,AKZOINDIA,EQ,      1838.80,                 12340780.15,6672
,ALANKIT,EQ,        35.75,                 72427959.05,2006054
,ALBERTDAVD,EQ,       281.85,                   517436.10,1826
,ALBK,EQ,        66.35,                105124205.65,1580632
,ALCHEM,EQ,        11.15,                   108032.50,9666
,ALEMBICLTD,EQ,        38.60,                  6137996.05,158744
,ALICON,EQ,       545.80,                   469160.45,861
,ALKALI,BE,        72.45,                   659428.90,9318
,ALKEM,EQ,      1824.80,                 30083831.70,16470
,ALKYLAMINE,EQ,       555.65,                 19001106.70,33690
,ALLCARGO,EQ,       164.60,                 10230454.70,62147
,ALLSEC,EQ,       390.70,                  7416475.05,19116
,ALMONDZ,EQ,        26.95,                   311053.95,11493
,ALOKTEXT,EQ,         3.00,                  9814583.80,3214186
,ALPA,EQ,        29.55,                   378209.00,12769
,ALPHAGEO,EQ,       775.60,                  5324341.25,6843
,ALPSINDUS,EQ,         4.95,                    91193.65,18594
,AMARAJABAT,EQ,       692.85,                546346899.95,791030
,AMBIKCO,EQ,      1322.90,                  1350564.50,1011
,AMDIND,EQ,        39.70,                 11224350.95,267099
,AMRUTANJAN,EQ,       574.50,                  2156352.00,3751
,AMTEKAUTO,EQ,        22.65,                 23727319.60,1045862
,ANANTRAJ,EQ,        53.65,                 44609444.60,827242
,ANDHRABANK,EQ,        55.50,                166780049.95,3002724
,ANDHRACEMT,BE,        11.25,                  1169764.70,103834
,ANDHRSUGAR,EQ,       506.15,                 27358481.30,54067
,ANGIND,BE,         6.00,                   145324.35,24550
,ANIKINDS,EQ,        65.95,                  2869134.25,43557
,ANSALAPI,EQ,        20.85,                  2029167.85,96552
,ANSALHSG,EQ,        20.40,                  1069293.70,52720
,ANTGRAPHIC,BE,          .95,                    56630.75,64618
,APARINDS,EQ,       777.60,                 12453574.05,16038
,APCL,EQ,       244.90,                   614494.75,2517
,APCOTEXIND,EQ,       470.45,                  2394342.15,5063
,APEX,EQ,       461.35,                497615304.10,1049403
,APLAPOLLO,EQ,      1913.30,                 46991056.15,24534
,APLLTD,EQ,       500.30,                119788314.00,239580
,APOLLOHOSP,EQ,      1070.20,                135350410.15,126262
,APOLLOTYRE,EQ,       246.00,                441983656.15,1810140
,APOLSINHOT,EQ,       731.00,                    67598.00,93
,APTECHT,EQ,       308.80,                145215417.65,467799
,ARCHIDPLY,EQ,        89.35,                  2664395.70,29738
,ARCHIES,EQ,        31.15,                  2158260.70,68723
,ARCOTECH,EQ,        64.95,                479487093.55,7259730
,ARIES,EQ,       247.90,               1233032785.90,5176504
,ARIHANT,BE,        47.50,                    32649.50,695
,ARIHANTSUP,EQ,       163.80,                 57810528.80,345813
,ARMANFIN,EQ,       213.85,                  1143737.15,5375
,AROGRANITE,EQ,        68.30,                  2552544.70,37028
,ARROWGREEN,EQ,       557.95,                  4929131.05,8803
,ARROWTEX,EQ,        45.00,                  1709281.10,37715
,ARSHIYA,EQ,        82.55,                 11208210.35,132893
,ARSSINFRA,EQ,        48.40,                  2823759.25,57839
,ARVIND,EQ,       389.80,                334098540.95,857597
,ARVSMART,EQ,       146.10,                  6831268.60,46278
,ASAHIINDIA,EQ,       377.90,                 12245684.15,32307
,ASAHISONG,EQ,       347.95,                  5716471.30,16436
,ASAL,EQ,        86.90,                  1398978.60,16089
,ASHAPURMIN,EQ,        51.20,                  9235180.95,182493
,ASHIANA,EQ,       174.35,                155877477.60,873871
,ASHIMASYN,EQ,        25.90,                  4941291.20,190460
,ASHOKA,EQ,       185.10,                 11845081.75,63534
,ASIANHOTNR,EQ,       117.80,                    77433.95,660
,ASIANTILES,EQ,       488.90,                 21488148.85,43705
,ASLIND,SM,        25.75,                   650000.00,24000
,ASPINWALL,EQ,       310.05,                  1108905.10,3560
,ASSAMCO,EQ,         4.35,                  1016732.10,235035
,ASTEC,EQ,       585.65,                 16564666.85,28154
,ASTRAL,EQ,       748.10,                 57775981.55,76789
,ASTRAMICRO,EQ,       123.05,                 14684577.80,118884
,ASTRAZEN,EQ,       947.70,                  4998538.75,5291
,ATFL,EQ,       513.25,                  1595590.95,3102
,ATLANTA,EQ,        93.20,                 13489297.10,145743
,ATLASCYCLE,BE,       415.00,                  2220164.65,5334
,ATUL,EQ,      2472.75,                330142443.60,133622
,ATULAUTO,EQ,       473.45,                 42985161.45,90533
,AUBANK,EQ,       604.35,                164088803.75,271420
,AURIONPRO,EQ,       133.20,                  2856520.90,21127
,AUSOMENT,EQ,        51.10,                  1486324.95,28753
,AUTOAXLES,EQ,       903.65,                 23224135.40,25692
,AUTOIND,BE,        80.15,                   402780.95,5003
,AUTOLITIND,BE,        77.70,                   477774.60,6122
,AVADHSUGAR,BE,      1139.90,                 13185557.20,11551
,AVANTIFEED,EQ,      2588.20,                430023984.65,166759
