,01-Nov-2017
The Nifty witnessed an intraday movement of about 68.6 points.The closing index was 1.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37910.59
, Traded Quantity (in Lakhs), 18674.9
, Number of Trades, 12039266
, Total Market Capitalisation (Rs. Crores), 14319309.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10335.30,     10390.35,     10451.65,     10383.05,     10440.50,105.2
,Nifty IT,     10837.90,     10877.85,     10887.80,     10772.25,     10817.30,-20.6
,Nifty Next 50,     29644.15,     29833.80,     30035.50,     29825.80,     29903.70,259.55
,Nifty Bank,     25019.35,     25197.30,     25549.35,     25171.75,     25490.45,471.1
,Nifty MID100 Free,     19578.40,     19689.70,     19774.75,     19650.55,     19686.65,108.25
,Nifty 500,      9153.60,      9203.95,      9249.15,      9201.05,      9234.85,81.25
,Nifty 100,     10740.85,     10799.75,     10860.80,     10793.65,     10847.90,107.05
,Nifty Midcap 50,      5123.65,      5151.75,      5169.55,      5133.95,      5148.95,25.3
,Nifty Realty,       304.50,       307.75,       316.90,       305.75,       312.40,7.9
,Nifty Infra,      3581.85,      3616.55,      3640.05,      3607.65,      3611.70,29.85
,Nifty Energy,     14511.20,     14595.30,     14648.20,     14556.30,     14585.30,74.1
,Nifty FMCG,     25687.70,     25784.50,     26152.50,     25771.55,     26083.75,396.05
,Nifty MNC,     13762.45,     13808.75,     13905.15,     13800.85,     13883.30,120.85
,Nifty Pharma,      9756.00,      9750.05,      9827.40,      9694.20,      9711.55,-44.45
,Nifty PSE,      4414.65,      4434.15,      4440.10,      4409.50,      4416.20,1.55
,Nifty PSU Bank,      3784.25,      3839.85,      3938.10,      3839.85,      3921.95,137.7
,Nifty Serv Sector,     13337.05,     13416.70,     13547.55,     13402.75,     13536.50,199.45
,India VIX,12.4400,12.4400,12.4400,11.7900,12.1375,-0.3025
,Nifty Auto,     11370.00,     11430.95,     11443.65,     11351.85,     11363.50,-6.5
,Nifty Metal,      3876.55,      3913.35,      3952.95,      3901.05,      3946.40,69.85
,Nifty Media,      3151.25,      3165.20,      3171.20,      3124.40,      3135.40,-15.85
,Nifty SML100 Free,      8549.65,      8616.50,      8660.65,      8589.15,      8598.50,48.85
,Nifty 200,      5639.15,      5670.35,      5699.70,      5667.95,      5691.45,52.3
,Nifty Div Opps 50,      2584.75,      2593.80,      2598.30,      2586.65,      2591.25,6.5
,Nifty Commodities,      4099.30,      4123.40,      4133.55,      4114.20,      4127.50,28.2
,Nifty Consumption,      4696.65,      4731.30,      4767.40,      4728.80,      4756.25,59.6
,Nifty Fin Service,     10235.70,     10289.60,     10453.90,     10277.35,     10437.60,201.9
,Nifty50 Div Point,        92.98,        95.51,        95.51,        95.51,        95.51,2.53
,Nifty100 Liq 15,      4571.20,      4605.15,      4665.75,      4600.40,      4659.55,88.35
,Nifty CPSE,      2745.05,      2758.40,      2762.45,      2743.80,      2751.50,6.45
,Nifty GrowSect 15,      6280.20,      6305.80,      6334.15,      6296.15,      6300.80,20.6
,Nifty50 PR 2x Lev,      4493.25,      4540.40,      4593.65,      4536.90,      4584.00,90.75
,Nifty50 PR 1x Inv,       412.85,       410.75,       410.90,       408.30,       408.75,-4.1
,Nifty50 TR 2x Lev,      5526.90,      5587.55,      5653.05,      5583.25,      5641.15,114.25
,Nifty50 TR 1x Inv,       372.25,       370.25,       370.40,       368.05,       368.45,-3.8
,Nifty50 Value 20,      4570.55,      4603.05,      4654.90,      4599.25,      4641.70,71.15
,Nifty Mid Liq 15,      4177.65,      4207.10,      4232.80,      4195.25,      4223.35,45.7
,Nifty Pvt Bank,     13809.60,     13901.35,     14107.25,     13878.15,     14052.60,243
,Nifty Quality 30,      2420.65,      2428.55,      2433.90,      2419.90,      2422.65,2
,Nifty GS 8 13Yr,      1721.40,      1721.74,      1721.74,      1719.50,      1720.16,-1.24
,Nifty GS 10Yr,      1640.93,      1641.23,      1641.23,      1638.59,      1639.27,-1.66
,Nifty GS 10Yr Cln,       965.91,       965.91,       965.91,       964.31,       964.72,-1.19
,Nifty GS 4 8Yr,      1810.47,      1810.83,      1810.83,      1809.88,      1810.31,-.16
,Nifty GS 11 15Yr,      1798.42,      1798.76,      1798.76,      1796.07,      1797.04,-1.38
,Nifty GS 15YrPlus,      1925.17,      1925.56,      1926.06,      1924.01,      1924.09,-1.08
,Nifty GS Compsite,      1764.52,      1764.85,      1764.85,      1763.16,      1763.88,-.64

,ADVANCES,964
,DECLINES,794
,UNCHANGED,65

,Total securities that have hit their price bands today,185

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARTIARTL,EQ,       497.20,       539.10,8.43,1712.92
,ICICIBANK,EQ,       300.10,       313.40,4.43,1216.22
,AXISBANK,EQ,       523.15,       535.10,2.28,1210.57
,SBIN,EQ,       305.80,       319.85,4.59,1106.06
,RELIANCE,EQ,       940.85,       952.55,1.24,765.04
,IBREALEST,EQ,       224.70,       234.45,4.34,744.08
,HDFC,EQ,      1707.40,      1754.30,2.75,593.21
,PNB,EQ,       197.15,       198.90,0.89,567.35
,DLF,EQ,       201.35,       208.65,3.63,547.91
,MARUTI,EQ,      8211.25,      8238.40,0.33,518.47
,TATASTEEL,EQ,       703.80,       707.30,0.5,387.54
,DHFL,EQ,       642.75,       642.25,-0.08,380.36
,INDIGO,EQ,      1247.85,      1244.80,-0.24,378.06
,IDEA,EQ,        92.85,        99.00,6.62,376.8
,DIVISLAB,EQ,       882.50,       923.65,4.66,328.71
,TATAMOTORS,EQ,       428.40,       437.75,2.18,318.83
,SRTRANSFIN,EQ,      1168.00,      1197.30,2.51,298.89
,LICHSGFIN,EQ,       598.70,       597.30,-0.23,298.86
,YESBANK,EQ,       314.25,       318.80,1.45,295.44
,VEDL,EQ,       331.85,       343.35,3.47,289.52
,EICHERMOT,EQ,     32233.40,     30929.80,-4.04,285.34
,DRREDDY,EQ,      2428.15,      2354.20,-3.05,279.23
,IDFCBANK,EQ,        56.65,        62.30,9.97,266.8
,M&M,EQ,      1344.80,      1350.75,0.44,265.32
,INFY,EQ,       921.85,       927.05,0.56,260.79

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       539.10,       497.20,8.43
,SBIN,EQ,       319.85,       305.80,4.59
,ICICIBANK,EQ,       313.40,       300.10,4.43
,VEDL,EQ,       343.35,       331.85,3.47
,HINDALCO,EQ,       275.30,       267.40,2.95

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     30929.80,     32233.40,-4.04
,INFRATEL,EQ,       426.55,       442.15,-3.53
,DRREDDY,EQ,      2354.20,      2428.15,-3.05
,UPL,EQ,       782.05,       799.30,-2.16
,HCLTECH,EQ,       840.65,       855.80,-1.77

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        51.35,                  5932248.60,114655
,3IINFOTECH,EQ,         3.75,                  3132343.90,829729
,3MINDIA,EQ,     14393.85,                 16509005.10,1140
,63MOONS,EQ,       140.80,                 56079462.35,391778
,8KMILES,EQ,       722.70,                906317841.95,1264639
,A2ZINFRA,EQ,        37.40,                160546237.00,4222713
,AARTIDRUGS,EQ,       526.95,                 14708785.20,27879
,AARTIIND,EQ,       947.30,                 30333659.65,32011
,AARVEEDEN,BE,        44.85,                   806816.95,18074
,ABAN,EQ,       200.80,                269952578.90,1329685
,ABBOTINDIA,EQ,      4350.80,                 24128734.70,5624
,ABCAPITAL,EQ,       178.15,                752259437.40,4175241
,ABFRL,EQ,       150.50,                115550053.35,761175
,ABGSHIP,BZ,        14.60,                   267710.85,18584
,ABMINTLTD,BE,        42.60,                     2222.70,52
,ACCELYA,EQ,      1382.35,                  8322792.70,5978
,ACCORD,SM,        64.25,                   252500.00,4000
,ACE,EQ,        89.15,                 63100537.45,704485
,ADANIENT,EQ,       133.10,                298561605.50,2233742
,ADANIPOWER,EQ,        32.65,                423260322.75,12896000
,ADANITRANS,EQ,       204.55,                389549296.15,1924281
,ADFFOODS,EQ,       240.80,                 44278592.95,182701
,ADHUNIK,EQ,         4.55,                   330940.80,72776
,ADHUNIKIND,BE,        48.65,                   296051.80,6021
,ADLABS,EQ,        76.20,                 47961394.80,620259
,ADORWELD,EQ,       545.05,                 20723522.05,37508
,ADSL,EQ,        20.15,                  1035963.90,51368
,ADVANIHOTR,EQ,        64.20,                  1566168.80,24165
,ADVENZYMES,EQ,       271.10,                 49745315.95,182155
,AEGISCHEM,EQ,       234.55,                 43407317.05,184637
,AGARIND,BE,       535.35,                  7827345.10,14341
,AGCNET,EQ,       113.75,                  1276994.15,11015
,AGLSL,EQ,       115.40,                  3341175.55,28825
,AGRITECH,EQ,       139.25,                 10739782.65,74966
,AGROPHOS,SM,        27.25,                  8934900.00,330000
,AHLEAST,EQ,       257.55,                   932747.50,3603
,AHLUCONT,EQ,       320.45,                 10715841.20,33296
,AHLWEST,EQ,       202.80,                   644309.30,3125
,AIAENG,EQ,      1365.50,                 21391965.85,15637
,AICHAMP,BE,        29.00,                      145.00,5
,AIFL,EQ,       471.60,                  9963574.40,20985
,AIRAN,SM,       197.00,                   197000.00,1000
,AIROLAM,SM,        47.30,                  1272600.00,27000
,AJANTPHARM,EQ,      1209.10,                309904524.65,253374
,AJMERA,EQ,       282.95,                 96239037.10,331886
,AKASH,SM,        71.75,                   354350.00,5000
,AKSHARCHEM,EQ,       753.60,                 13494551.00,17882
,AKSHOPTFBR,EQ,        28.25,                145733779.90,5136557
,AKZOINDIA,EQ,      1902.60,                  7795765.35,4095
,ALANKIT,EQ,        36.00,                 76871740.00,2143314
,ALBERTDAVD,EQ,       287.00,                   598236.25,2084
,ALBK,EQ,        83.00,                907253585.15,10856437
,ALCHEM,EQ,        12.70,                   583758.10,46067
,ALEMBICLTD,EQ,        41.95,                 87794643.80,2124739
,ALICON,EQ,       602.75,                  5384503.00,8894
,ALKALI,BE,        75.05,                   628225.40,8353
,ALKEM,EQ,      1893.80,                 77684090.95,41271
,ALKYLAMINE,EQ,       621.50,                 18768288.05,29858
,ALLCARGO,EQ,       176.10,                137447105.15,782096
,ALLSEC,EQ,       473.75,                  5165952.10,10717
,ALMONDZ,EQ,        25.80,                   432418.10,16862
,ALOKTEXT,EQ,         3.75,                 33616365.80,9000076
,ALPA,EQ,        30.10,                   643550.45,21164
,ALPHAGEO,EQ,       765.25,                 15485359.10,20194
,ALPSINDUS,EQ,         4.85,                   329277.10,67716
,AMARAJABAT,EQ,       700.75,                332549501.85,471286
,AMBIKCO,EQ,      1300.50,                  1507399.00,1157
,AMDIND,EQ,        40.15,                 11895737.15,292997
,AMRUTANJAN,EQ,       590.55,                  4979074.90,8385
,AMTEKAUTO,EQ,        24.65,                 41310225.35,1672092
,ANANTRAJ,EQ,        63.00,                369532491.60,5850532
,ANDHRABANK,EQ,        68.70,                694245476.35,10026196
,ANDHRACEMT,BE,        12.35,                  1031350.75,83492
,ANDHRSUGAR,EQ,       582.40,                230138961.85,392031
,ANGIND,BE,         6.00,                   100420.75,16872
,ANIKINDS,EQ,        59.55,                  3144785.05,51279
,ANSALAPI,EQ,        23.80,                  2742499.40,116163
,ANSALHSG,EQ,        23.90,                  6117899.35,257928
,ANTGRAPHIC,BE,          .90,                    36136.20,42319
,APARINDS,EQ,       788.35,                 24290242.85,30877
,APCL,EQ,       270.20,                   914671.55,3334
,APCOTEXIND,EQ,       476.65,                  8027521.85,17275
,APEX,EQ,       415.20,                 51273223.65,122295
,APLAPOLLO,EQ,      1873.05,                 68675937.85,36671
,APLLTD,EQ,       505.40,                 34235216.95,66824
,APOLLOHOSP,EQ,      1033.85,                478170162.35,465171
,APOLLOTYRE,EQ,       244.65,                768658992.85,3135278
,APOLSINHOT,EQ,       759.00,                   522016.90,689
,APTECHT,EQ,       310.75,                155913748.95,496130
,ARCHIDPLY,EQ,       102.80,                 15489360.55,148189
,ARCHIES,EQ,        30.30,                  2832412.55,92824
,ARCOTECH,EQ,        50.20,                 56710788.95,1142923
,ARIES,EQ,       254.05,                 85275758.75,329302
,ARIHANT,BE,        44.90,                   247733.85,5905
,ARIHANTSUP,EQ,       175.90,                 31703564.10,179416
,ARMANFIN,EQ,       216.00,                  1134250.95,5117
,AROGRANITE,EQ,        62.75,                  2267408.40,36115
,ARROWGREEN,EQ,       547.80,                  3998538.70,7247
