,20-Nov-2017
The Nifty witnessed an intraday movement of about 48.35 points.The closing index was 0.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27899.65
, Traded Quantity (in Lakhs), 14201.53
, Number of Trades, 10138703
, Total Market Capitalisation (Rs. Crores), 14365290.02

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10283.60,     10287.20,     10309.85,     10261.50,     10298.75,15.15
,Nifty IT,     11150.00,     11161.70,     11173.65,     11072.95,     11100.10,-49.9
,Nifty Next 50,     29754.60,     29764.50,     29851.85,     29643.75,     29784.95,30.35
,Nifty Bank,     25728.40,     25733.70,     25803.15,     25681.70,     25768.60,40.2
,Nifty MID100 Free,     19642.60,     19666.75,     19812.05,     19614.50,     19798.30,155.7
,Nifty 500,      9137.10,      9143.50,      9169.95,      9122.35,      9161.90,24.8
,Nifty 100,     10701.30,     10705.15,     10729.50,     10678.60,     10716.40,15.1
,Nifty Midcap 50,      5140.75,      5146.25,      5189.30,      5133.30,      5185.70,44.95
,Nifty Realty,       313.05,       313.40,       321.35,       312.40,       319.70,6.65
,Nifty Infra,      3493.55,      3513.90,      3531.75,      3503.85,      3521.20,27.65
,Nifty Energy,     13962.20,     13928.55,     14124.00,     13896.35,     14098.85,136.65
,Nifty FMCG,     25749.00,     25791.45,     25914.25,     25658.65,     25855.35,106.35
,Nifty MNC,     13654.55,     13677.30,     13733.30,     13617.25,     13711.70,57.15
,Nifty Pharma,      9161.80,      9184.20,      9200.40,      9119.90,      9143.35,-18.45
,Nifty PSE,      4201.50,      4205.05,      4245.35,      4189.20,      4240.80,39.3
,Nifty PSU Bank,      4068.85,      4063.35,      4068.75,      4014.00,      4031.30,-37.55
,Nifty Serv Sector,     13571.55,     13570.50,     13603.05,     13542.70,     13573.80,2.25
,India VIX,13.7125,13.7125,15.6050,11.1200,13.4325,-0.2800
,Nifty Auto,     11252.10,     11267.45,     11316.55,     11248.55,     11284.95,32.85
,Nifty Metal,      3767.85,      3767.20,      3824.30,      3727.95,      3817.25,49.4
,Nifty Media,      3136.65,      3134.25,      3137.00,      3108.65,      3129.30,-7.35
,Nifty SML100 Free,      8430.45,      8444.95,      8492.40,      8430.55,      8475.70,45.25
,Nifty 200,      5628.05,      5630.70,      5645.25,      5617.35,      5640.35,12.3
,Nifty Div Opps 50,      2547.00,      2547.95,      2557.50,      2538.85,      2554.40,7.4
,Nifty Commodities,      3951.90,      3942.75,      3971.05,      3917.85,      3967.25,15.35
,Nifty Consumption,      4771.40,      4777.10,      4790.40,      4761.05,      4785.50,14.1
,Nifty Fin Service,     10498.65,     10489.55,     10503.25,     10451.80,     10478.20,-20.45
,Nifty50 Div Point,        97.71,        97.71,        97.71,        97.71,        97.71,0
,Nifty100 Liq 15,      4551.05,      4553.60,      4571.55,      4521.05,      4565.75,14.7
,Nifty CPSE,      2598.95,      2600.85,      2632.20,      2595.35,      2628.55,29.6
,Nifty GrowSect 15,      6210.15,      6220.15,      6239.20,      6194.90,      6218.35,8.2
,Nifty50 PR 2x Lev,      4434.05,      4435.05,      4454.40,      4413.20,      4445.00,10.95
,Nifty50 PR 1x Inv,       415.85,       415.90,       416.95,       415.00,       415.45,-.4
,Nifty50 TR 2x Lev,      5458.95,      5460.15,      5484.00,      5433.25,      5472.45,13.5
,Nifty50 TR 1x Inv,       374.80,       374.85,       375.75,       374.00,       374.40,-.4
,Nifty50 Value 20,      4632.35,      4626.60,      4637.00,      4608.05,      4631.20,-1.15
,Nifty Mid Liq 15,      4225.50,      4244.60,      4291.20,      4242.50,      4284.60,59.1
,Nifty Pvt Bank,     14111.35,     14113.55,     14168.75,     14085.25,     14155.60,44.25
,Nifty Quality 30,      2418.55,      2422.35,      2428.20,      2413.20,      2418.50,-.05
,Nifty GS 8 13Yr,      1711.87,      1712.20,      1725.98,      1712.20,      1724.92,13.05
,Nifty GS 10Yr,      1626.49,      1626.80,      1643.92,      1626.80,      1642.18,15.69
,Nifty GS 10Yr Cln,       953.63,       953.63,       963.68,       953.63,       962.66,9.03
,Nifty GS 4 8Yr,      1799.92,      1800.28,      1812.71,      1800.28,      1810.60,10.68
,Nifty GS 11 15Yr,      1791.09,      1791.44,      1809.20,      1791.44,      1807.97,16.88
,Nifty GS 15YrPlus,      1906.25,      1906.63,      1914.85,      1906.63,      1912.94,6.69
,Nifty GS Compsite,      1755.17,      1755.50,      1768.32,      1755.50,      1766.99,11.82

,ADVANCES,1103
,DECLINES,650
,UNCHANGED,74

,Total securities that have hit their price bands today,197

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,      1705.50,      1689.20,-0.96,577.82
,HDFCLIFE,EQ,       344.60,       355.35,3.12,517.41
,INDUSINDBK,EQ,      1631.90,      1649.30,1.07,507.3
,IBREALEST,EQ,       216.75,       233.05,7.52,458.22
,SBIN,EQ,       337.50,       333.00,-1.33,451.14
,ICICIBANK,EQ,       325.10,       318.55,-2.01,434.29
,DLF,EQ,       223.85,       227.65,1.7,433.5
,JUSTDIAL,EQ,       551.45,       551.25,-0.04,395.72
,RELIANCE,EQ,       911.90,       920.85,0.98,386.82
,RAIN,EQ,       330.10,       318.70,-3.45,367.51
,TATAGLOBAL,EQ,       259.90,       274.90,5.77,360.47
,LT,EQ,      1222.80,      1229.80,0.57,345.36
,BIOCON,EQ,       394.35,       423.20,7.32,334.38
,MARUTI,EQ,      8348.35,      8425.65,0.93,312.93
,DHFL,EQ,       635.50,       638.55,0.48,305.87
,RELCAPITAL,EQ,       433.45,       446.05,2.91,302.06
,YESBANK,EQ,       306.10,       313.35,2.37,301.5
,JETAIRWAYS,EQ,       690.55,       720.05,4.27,281.79
,INFY,EQ,       970.95,       960.55,-1.07,272.2
,IDEA,EQ,        95.20,       101.10,6.2,262.37
,BANKBARODA,EQ,       183.55,       184.45,0.49,262.36
,BHARTIARTL,EQ,       493.50,       492.65,-0.17,257.82
,PNB,EQ,       190.80,       187.25,-1.86,250.19
,INFRATEL,EQ,       380.15,       383.70,0.93,248.47
,TATASTEEL,EQ,       701.20,       702.15,0.14,230.03

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       460.35,       444.75,3.51
,YESBANK,EQ,       313.35,       306.10,2.37
,BOSCHLTD,EQ,     19376.50,     18965.90,2.16
,VEDL,EQ,       313.90,       307.60,2.05
,COALINDIA,EQ,       278.35,       272.80,2.03

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       264.70,       274.50,-3.57
,DRREDDY,EQ,      2274.45,      2322.60,-2.07
,ICICIBANK,EQ,       318.55,       325.10,-2.01
,ULTRACEMCO,EQ,      4181.30,      4267.05,-2.01
,TECHM,EQ,       476.80,       484.55,-1.6

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        50.85,                  8399868.20,165285
,3IINFOTECH,EQ,         3.85,                  4259684.90,1106950
,3MINDIA,EQ,     15838.90,                  8022504.15,501
,5PAISA,BE,       342.95,                   314148.20,916
,63MOONS,EQ,       114.00,                 32699550.05,287089
,8KMILES,EQ,       819.65,                113892414.35,138092
,A2ZINFRA,EQ,        37.00,                 34277433.80,926017
,AARTIDRUGS,EQ,       536.50,                  2783617.90,5200
,AARTIIND,EQ,       895.00,                 31769178.90,35524
,AARVEEDEN,EQ,        45.35,                  2339883.80,51460
,AARVI,SM,       102.90,                  8360200.00,82000
,ABAN,EQ,       196.80,                250208315.50,1271759
,ABBOTINDIA,EQ,      4944.85,                 32619780.40,6562
,ABCAPITAL,EQ,       204.05,               1297942812.25,6421487
,ABFRL,EQ,       155.55,                344618306.60,2242146
,ABGSHIP,BZ,        12.30,                   373412.00,30859
,ABMINTLTD,BE,        40.70,                    10235.00,266
,ACCELYA,EQ,      1336.30,                 10583214.80,7932
,ACCORD,SM,        65.00,                   263600.00,4000
,ACE,EQ,       130.45,                655870192.00,5249974
,ADANIENT,EQ,       160.40,               1383187619.85,8674469
,ADANIPOWER,EQ,        35.05,                395945904.75,11469306
,ADANITRANS,EQ,       211.05,                138561381.75,656023
,ADFFOODS,EQ,       270.05,                176541361.40,656671
,ADHUNIK,EQ,         4.25,                   104136.95,24767
,ADHUNIKIND,BE,        60.20,                   221920.10,3691
,ADLABS,BE,        69.75,                  5068490.25,73062
,ADORWELD,EQ,       526.75,                  7342811.05,13883
,ADSL,EQ,        22.40,                   571849.50,26125
,ADVANIHOTR,EQ,        67.25,                  2661995.20,38354
,ADVENZYMES,EQ,       265.40,                 21328022.55,80074
,AEGISCHEM,EQ,       234.45,                 52580642.20,223751
,AFL,BE,        36.80,                    39750.40,1093
,AGARIND,BE,       529.95,                   132444.45,257
,AGCNET,EQ,       111.10,                   259961.85,2365
,AGLSL,EQ,       133.60,                 10858110.95,82440
,AGRITECH,EQ,       119.15,                  3079172.35,25748
,AGROPHOS,SM,        27.15,                  1464000.00,54000
,AHLEAST,EQ,       272.50,                  2707518.80,10048
,AHLUCONT,EQ,       348.00,                 14711431.15,42778
,AHLWEST,EQ,       276.80,                   449074.05,1605
,AIAENG,EQ,      1390.80,                 15515183.70,11094
,AIFL,EQ,       511.40,                 48663893.15,94330
,AIRAN,SM,       186.90,                   378900.00,2000
,AIROLAM,SM,        48.55,                  1309950.00,27000
,AISL,SM,       120.00,                  1008000.00,8400
,AJANTPHARM,EQ,      1335.20,                990461495.90,751702
,AJMERA,EQ,       321.00,                287159333.90,909879
,AKASH,SM,        71.10,                   142100.00,2000
,AKSHARCHEM,EQ,       688.30,                  5369528.75,7818
,AKSHOPTFBR,BE,        29.65,                 18854695.55,639111
,AKZOINDIA,EQ,      1774.35,                 12804973.90,7133
,ALANKIT,EQ,        36.40,                141495810.05,3921228
,ALBERTDAVD,EQ,       290.05,                  1371990.50,4759
,ALBK,EQ,        79.25,                142786233.30,1811967
,ALCHEM,EQ,        15.70,                  1362506.75,86905
,ALEMBICLTD,EQ,        39.35,                  8987887.65,227635
,ALICON,EQ,       595.00,                   654691.90,1097
,ALKALI,EQ,        72.55,                   187153.40,2597
,ALKEM,EQ,      1977.60,                 17518142.45,8894
,ALKYLAMINE,EQ,       578.85,                  8259697.55,14243
,ALLCARGO,EQ,       168.65,                464788056.00,2734500
,ALLSEC,EQ,       436.95,                  3382589.60,7700
,ALMONDZ,EQ,        26.20,                   270525.55,10259
,ALOKTEXT,BE,         3.80,                  8561040.10,2267891
,ALPA,EQ,        32.40,                   440046.75,13510
,ALPHAGEO,EQ,       885.40,                 25539849.30,28753
,ALPSINDUS,EQ,         4.75,                   359518.40,75496
,AMARAJABAT,EQ,       804.65,                313144376.10,388937
,AMBIKCO,EQ,      1300.40,                  1086011.80,833
,AMDIND,EQ,        49.25,                  7003213.75,140277
,AMRUTANJAN,EQ,       612.70,                  3882572.15,6324
,AMTEKAUTO,BE,        26.75,                  6803157.20,254236
,ANANTRAJ,EQ,        58.95,                207494041.10,3578584
,ANDHRABANK,EQ,        65.05,                103091663.80,1584532
,ANDHRACEMT,EQ,        12.10,                  1705297.60,141238
,ANDHRSUGAR,EQ,       570.45,                 24866222.15,43526
,ANGIND,EQ,         5.85,                   151135.55,26032
,ANIKINDS,EQ,        59.20,                  5743782.80,96247
,ANSALAPI,EQ,        23.25,                  2546693.35,109551
,ANSALHSG,EQ,        23.60,                  2391943.40,102474
,ANTGRAPHIC,BE,          .80,                    34154.05,42630
,APARINDS,EQ,       750.20,                 10998746.70,14657
,APCL,EQ,       241.60,                   593452.50,2452
,APCOTEXIND,EQ,       478.20,                  6035848.05,12621
,APEX,EQ,       561.40,                 37755545.95,67346
,APLAPOLLO,EQ,      1898.85,                 13798747.40,7291
,APLLTD,EQ,       515.40,                 17865133.30,34668
,APOLLOHOSP,EQ,      1059.60,                394133100.65,374408
,APOLLOTYRE,EQ,       235.55,                685473935.05,2905664
,APOLSINHOT,EQ,       827.00,                   583785.85,695
,APTECHT,EQ,       307.95,                 50385230.65,163551
,ARCHIDPLY,EQ,        96.30,                  3737977.10,38813
,ARCHIES,EQ,        28.75,                  1080632.40,37700
,ARCOTECH,EQ,        51.35,                  7399031.10,143922
,ARIES,BE,       227.85,                  4128569.70,18039
,ARIHANT,BE,        40.00,                   164543.75,4100
,ARIHANTSUP,EQ,       164.70,                 39802488.10,242355
,ARMANFIN,EQ,       211.95,                  5330415.10,24699
