,21-Nov-2017
The Nifty witnessed an intraday movement of about 43.65 points.The closing index was 0.27 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33644.09
, Traded Quantity (in Lakhs), 16573.99
, Number of Trades, 11590262
, Total Market Capitalisation (Rs. Crores), 14403656.47

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10298.75,     10329.25,     10358.70,     10315.05,     10326.90,28.15
,Nifty IT,     11100.10,     11120.80,     11166.35,     11087.15,     11119.45,19.35
,Nifty Next 50,     29784.95,     29877.65,     29951.65,     29698.90,     29832.70,47.75
,Nifty Bank,     25768.60,     25829.30,     25871.10,     25726.50,     25757.50,-11.1
,Nifty MID100 Free,     19798.30,     19870.00,     19925.65,     19738.05,     19830.30,32
,Nifty 500,      9161.90,      9192.05,      9215.85,      9166.40,      9185.40,23.5
,Nifty 100,     10716.40,     10748.45,     10776.05,     10726.20,     10744.00,27.6
,Nifty Midcap 50,      5185.70,      5204.90,      5219.05,      5155.30,      5183.05,-2.65
,Nifty Realty,       319.70,       321.25,       323.05,       314.70,       316.05,-3.65
,Nifty Infra,      3521.20,      3536.65,      3549.10,      3519.60,      3530.50,9.3
,Nifty Energy,     14098.85,     14169.10,     14287.55,     14148.60,     14231.15,132.3
,Nifty FMCG,     25855.35,     25894.95,     25955.70,     25657.20,     25703.00,-152.35
,Nifty MNC,     13711.70,     13756.20,     13789.85,     13686.10,     13704.65,-7.05
,Nifty Pharma,      9143.35,      9173.70,      9419.35,      9155.20,      9346.55,203.2
,Nifty PSE,      4240.80,      4257.85,      4270.75,      4230.60,      4252.60,11.8
,Nifty PSU Bank,      4031.30,      4055.10,      4057.85,      3983.95,      3994.50,-36.8
,Nifty Serv Sector,     13573.80,     13607.75,     13640.50,     13575.05,     13589.95,16.15
,India VIX,13.4325,13.4325,13.9250,11.0100,13.7150,0.2825
,Nifty Auto,     11284.95,     11321.10,     11365.75,     11290.35,     11325.90,40.95
,Nifty Metal,      3817.25,      3837.15,      3855.05,      3803.05,      3822.40,5.15
,Nifty Media,      3129.30,      3138.05,      3181.80,      3137.20,      3156.50,27.2
,Nifty SML100 Free,      8475.70,      8522.45,      8551.25,      8461.45,      8494.40,18.7
,Nifty 200,      5640.35,      5657.90,      5671.75,      5642.70,      5653.75,13.4
,Nifty Div Opps 50,      2554.40,      2560.65,      2568.90,      2555.55,      2557.60,3.2
,Nifty Commodities,      3967.25,      3983.25,      4006.50,      3973.40,      3987.05,19.8
,Nifty Consumption,      4785.50,      4801.75,      4820.65,      4796.85,      4808.45,22.95
,Nifty Fin Service,     10478.20,     10498.25,     10520.90,     10475.20,     10491.70,13.5
,Nifty50 Div Point,        97.71,        97.82,        97.82,        97.82,        97.82,.11
,Nifty100 Liq 15,      4565.75,      4590.20,      4593.00,      4551.20,      4563.55,-2.2
,Nifty CPSE,      2628.55,      2641.35,      2641.35,      2616.35,      2628.50,-.05
,Nifty GrowSect 15,      6218.35,      6234.00,      6261.90,      6231.00,      6242.30,23.95
,Nifty50 PR 2x Lev,      4445.00,      4470.60,      4495.90,      4458.60,      4468.55,23.55
,Nifty50 PR 1x Inv,       415.45,       414.30,       414.85,       413.10,       414.35,-1.1
,Nifty50 TR 2x Lev,      5472.45,      5504.05,      5535.25,      5489.30,      5501.55,29.1
,Nifty50 TR 1x Inv,       374.40,       373.35,       373.85,       372.30,       373.45,-.95
,Nifty50 Value 20,      4631.20,      4646.15,      4669.90,      4642.75,      4653.20,22
,Nifty Mid Liq 15,      4284.60,      4305.50,      4331.70,      4286.35,      4308.65,24.05
,Nifty Pvt Bank,     14155.60,     14185.80,     14215.90,     14136.55,     14156.05,.45
,Nifty Quality 30,      2418.50,      2422.45,      2432.90,      2421.65,      2427.30,8.8
,Nifty GS 8 13Yr,      1729.01,      1729.34,      1729.47,      1726.78,      1727.60,-1.41
,Nifty GS 10Yr,      1644.83,      1645.14,      1645.72,      1641.75,      1643.78,-1.05
,Nifty GS 10Yr Cln,       964.21,       964.21,       964.55,       962.22,       963.41,-.8
,Nifty GS 4 8Yr,      1811.96,      1812.32,      1812.32,      1809.64,      1810.50,-1.46
,Nifty GS 11 15Yr,      1810.66,      1811.01,      1811.03,      1807.30,      1808.19,-2.47
,Nifty GS 15YrPlus,      1921.10,      1921.49,      1921.49,      1917.23,      1919.29,-1.81
,Nifty GS Compsite,      1770.90,      1771.23,      1771.31,      1768.49,      1769.59,-1.31

,ADVANCES,970
,DECLINES,767
,UNCHANGED,76

,Total securities that have hit their price bands today,187

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCLIFE,EQ,       355.35,       385.30,8.43,1676.79
,L&TFH,EQ,       187.95,       178.50,-5.03,1614.25
,HDFC,EQ,      1689.20,      1694.50,0.31,615.83
,DRREDDY,EQ,      2274.45,      2394.15,5.26,569.65
,RELIANCE,EQ,       920.85,       932.55,1.27,558.72
,JETAIRWAYS,EQ,       720.05,       663.50,-7.85,528.48
,SBIN,EQ,       333.00,       330.65,-0.71,471.3
,BHARTIARTL,EQ,       492.65,       503.25,2.15,457.89
,ITC,EQ,       259.20,       255.80,-1.31,428.54
,ICICIBANK,EQ,       318.55,       319.90,0.42,419.36
,SUNPHARMA,EQ,       517.15,       538.05,4.04,418.81
,TITAN,EQ,       783.95,       815.45,4.02,400.99
,IBREALEST,EQ,       233.05,       223.15,-4.25,385.07
,TATAGLOBAL,EQ,       274.90,       273.15,-0.64,333.27
,AXISBANK,EQ,       545.15,       546.80,0.3,313.88
,VAKRANGEE,EQ,       694.45,       706.85,1.79,310.06
,YESBANK,EQ,       313.35,       312.30,-0.34,303.95
,TATAMOTORS,EQ,       423.00,       424.25,0.3,287.34
,GAIL,EQ,       460.35,       459.95,-0.09,268.49
,LT,EQ,      1229.80,      1222.65,-0.58,268.23
,TATASTEEL,EQ,       702.15,       711.35,1.31,260.86
,PNB,EQ,       187.25,       186.30,-0.51,260.09
,INFY,EQ,       960.55,       966.25,0.59,259.35
,KOTAKBANK,EQ,      1040.55,      1029.85,-1.03,254.27
,IBULHSGFIN,EQ,      1199.50,      1178.00,-1.79,239.52

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      2394.15,      2274.45,5.26
,SUNPHARMA,EQ,       538.05,       517.15,4.04
,TECHM,EQ,       493.85,       476.80,3.58
,UPL,EQ,       754.50,       728.90,3.51
,BHARTIARTL,EQ,       503.25,       492.65,2.15

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,      1178.00,      1199.50,-1.79
,COALINDIA,EQ,       273.80,       278.35,-1.63
,ITC,EQ,       255.80,       259.20,-1.31
,AMBUJACEM,EQ,       261.65,       264.70,-1.15
,TCS,EQ,      2672.95,      2703.45,-1.13

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        52.20,                 25071944.95,474808
,3IINFOTECH,EQ,         3.80,                  3475206.80,902906
,3MINDIA,EQ,     16181.30,                 20715880.30,1277
,5PAISA,BE,       325.85,                   270781.35,831
,63MOONS,EQ,       114.85,                 22794977.90,197703
,8KMILES,EQ,       820.80,                165968895.75,199192
,A2ZINFRA,EQ,        37.50,                 56630035.95,1503161
,AARTIDRUGS,EQ,       531.05,                  7319864.20,13747
,AARTIIND,EQ,       915.30,                 11043412.95,12151
,AARVEEDEN,EQ,        45.65,                  1446594.55,31709
,AARVI,SM,       108.00,                  3232000.00,30000
,ABAN,EQ,       195.95,                121216754.95,615530
,ABBOTINDIA,EQ,      4990.85,                 24398769.65,4891
,ABCAPITAL,EQ,       205.00,               1366016303.65,6641932
,ABFRL,EQ,       154.70,                 43068922.85,277737
,ABGSHIP,BZ,        12.25,                   185879.85,15242
,ABMINTLTD,BE,        38.75,                     6203.50,155
,ACCELYA,EQ,      1392.75,                  9573138.10,6918
,ACCORD,SM,        62.95,                  1105400.00,18000
,ACE,EQ,       127.05,                217583989.10,1708930
,ADANIENT,EQ,       153.45,                845433867.75,5386978
,ADANIPOWER,EQ,        34.40,                214207773.50,6175775
,ADANITRANS,EQ,       206.00,                186697231.60,904329
,ADFFOODS,EQ,       283.90,                192382329.90,687749
,ADHUNIK,EQ,         4.30,                   135200.80,31583
,ADHUNIKIND,BE,        62.75,                   776626.15,12683
,ADLABS,BE,        67.95,                  5934315.25,86092
,ADORWELD,EQ,       525.45,                 18238222.60,34390
,ADSL,EQ,        22.10,                  1381547.15,61480
,ADVANIHOTR,EQ,        63.95,                  1841783.10,28330
,ADVENZYMES,EQ,       265.70,                 23220357.10,87196
,AEGISCHEM,EQ,       234.00,                 31059061.15,132661
,AGARIND,BE,       533.50,                   146967.00,276
,AGCNET,EQ,       113.10,                   479685.85,4223
,AGLSL,EQ,       129.05,                  2225895.00,17165
,AGRITECH,EQ,       120.25,                  2435795.20,20185
,AGROPHOS,SM,        27.80,                  6632700.00,240000
,AHLEAST,EQ,       271.95,                  1166958.80,4262
,AHLUCONT,EQ,       356.80,                 33572591.75,94080
,AHLWEST,EQ,       277.60,                   647392.60,2318
,AIAENG,EQ,      1421.20,                 28046725.25,20088
,AICHAMP,BE,        27.50,                       27.50,1
,AIFL,EQ,       514.75,                 57158387.10,111747
,AIRAN,SM,       193.00,                  1151700.00,6000
,AIROLAM,SM,        48.00,                  1012200.00,21000
,AISL,SM,       144.00,                  6220800.00,43200
,AJANTPHARM,EQ,      1344.90,                519576604.85,387542
,AJMERA,EQ,       313.50,                188929114.55,589296
,AKASH,SM,        77.30,                 20940300.00,267000
,AKSHARCHEM,EQ,       680.00,                  9506753.35,13873
,AKSHOPTFBR,BE,        31.10,                 16128556.65,527659
,AKZOINDIA,EQ,      1797.00,                 13209553.30,7382
,ALANKIT,EQ,        38.15,                 99639274.95,2586176
,ALBERTDAVD,EQ,       300.60,                  2472357.10,8285
,ALBK,EQ,        78.00,                241349927.15,3069483
,ALCHEM,EQ,        15.65,                   581861.45,36717
,ALEMBICLTD,EQ,        39.45,                 21369033.00,539472
,ALICON,EQ,       592.30,                  3350164.25,5559
,ALKALI,EQ,        71.85,                   240908.75,3339
,ALKEM,EQ,      1954.05,                 27443322.25,14014
,ALKYLAMINE,EQ,       591.90,                 19761092.30,33865
,ALLCARGO,EQ,       171.35,                221331263.00,1283261
,ALLSEC,EQ,       445.75,                  9779457.80,21932
,ALMONDZ,EQ,        25.35,                   299595.60,11639
,ALOKTEXT,BE,         3.80,                  5697880.10,1494926
,ALPA,EQ,        31.80,                  1025876.25,31952
,ALPHAGEO,EQ,       893.70,                 41690770.60,46376
,ALPSINDUS,EQ,         4.75,                   199718.60,41895
,AMARAJABAT,EQ,       803.55,                261439651.35,325485
,AMBIKCO,EQ,      1301.25,                  2199370.45,1689
,AMDIND,EQ,        47.85,                  7065362.50,146649
,AMRUTANJAN,EQ,       620.45,                  7724179.85,12474
,AMTEKAUTO,BE,        27.40,                 10286751.60,374708
,ANANTRAJ,EQ,        57.80,                146475976.80,2481495
,ANDHRABANK,EQ,        63.80,                170806008.20,2650794
,ANDHRACEMT,EQ,        12.70,                  1661693.40,130842
,ANDHRSUGAR,EQ,       558.55,                 18969429.45,33576
,ANGIND,EQ,         5.75,                   146459.85,25230
,ANIKINDS,EQ,        56.25,                  1633858.35,28922
,ANSALAPI,EQ,        22.65,                  3461534.25,150082
,ANSALHSG,EQ,        22.80,                  1589757.20,69028
,ANTGRAPHIC,BE,          .85,                   107048.20,132432
,APARINDS,EQ,       750.25,                 10380062.85,13820
,APCL,EQ,       237.20,                   901640.70,3752
,APCOTEXIND,EQ,       484.75,                  5304786.30,10977
,APEX,EQ,       589.45,                 11787821.10,19998
,APLAPOLLO,EQ,      1849.65,                 36000143.75,19269
,APLLTD,EQ,       516.25,                 58704647.45,113947
,APOLLOHOSP,EQ,      1107.80,               1634216449.35,1478626
,APOLLOTYRE,EQ,       245.70,               1548175385.50,6369579
,APOLSINHOT,EQ,       832.00,                   175383.65,206
,APTECHT,EQ,       310.50,                112473012.35,361610
,ARCHIDPLY,EQ,        97.60,                  4330659.45,44110
,ARCHIES,EQ,        28.75,                  1244895.65,43141
,ARCOTECH,EQ,        51.50,                  8967591.75,173578
,ARIES,BE,       230.95,                  5664445.20,24456
,ARIHANT,BE,        39.05,                    21154.60,532
,ARIHANTSUP,EQ,       163.60,                 29781660.75,182915
,ARMANFIN,EQ,       229.25,                 17620257.15,77981
