,28-Nov-2017
The Nifty witnessed an intraday movement of about 54.35 points.The closing index was 0.28 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32659.59
, Traded Quantity (in Lakhs), 19665.77
, Number of Trades, 11350754
, Total Market Capitalisation (Rs. Crores), 14513953.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10399.55,     10387.90,     10409.55,     10355.20,     10370.25,-29.3
,Nifty IT,     11314.25,     11303.35,     11324.90,     11242.85,     11270.60,-43.65
,Nifty Next 50,     29994.10,     30022.25,     30153.70,     29923.95,     30039.85,45.75
,Nifty Bank,     25891.95,     25830.45,     25953.50,     25795.50,     25846.40,-45.55
,Nifty MID100 Free,     20085.20,     20111.20,     20178.95,     20036.05,     20098.35,13.15
,Nifty 500,      9267.50,      9266.30,      9286.85,      9234.80,      9254.30,-13.2
,Nifty 100,     10816.20,     10807.50,     10832.65,     10773.40,     10792.60,-23.6
,Nifty Midcap 50,      5279.20,      5288.10,      5311.20,      5271.90,      5288.05,8.85
,Nifty Realty,       320.55,       320.75,       323.10,       317.50,       319.15,-1.4
,Nifty Infra,      3553.15,      3553.95,      3553.95,      3513.55,      3523.75,-29.4
,Nifty Energy,     14454.45,     14427.40,     14432.95,     14279.00,     14319.25,-135.2
,Nifty FMCG,     25906.80,     25914.10,     26015.40,     25775.40,     25936.45,29.65
,Nifty MNC,     13714.55,     13716.95,     13829.85,     13704.75,     13789.10,74.55
,Nifty Pharma,      9368.70,      9368.45,      9396.65,      9285.40,      9318.50,-50.2
,Nifty PSE,      4284.55,      4279.35,      4281.50,      4235.25,      4256.55,-28
,Nifty PSU Bank,      4029.30,      4035.05,      4039.55,      3977.80,      3984.85,-44.45
,Nifty Serv Sector,     13702.85,     13681.10,     13732.05,     13655.45,     13682.10,-20.75
,India VIX,13.0300,13.0300,13.3625,12.0375,13.1475,0.1175
,Nifty Auto,     11402.70,     11404.05,     11452.30,     11375.65,     11406.40,3.7
,Nifty Metal,      3739.75,      3738.40,      3778.45,      3718.40,      3735.85,-3.9
,Nifty Media,      3337.00,      3335.85,      3370.25,      3288.75,      3360.80,23.8
,Nifty SML100 Free,      8696.35,      8738.10,      8782.45,      8707.80,      8746.00,49.65
,Nifty 200,      5699.20,      5696.15,      5708.80,      5677.40,      5688.70,-10.5
,Nifty Div Opps 50,      2572.90,      2571.15,      2572.20,      2559.00,      2565.55,-7.35
,Nifty Commodities,      3993.95,      3991.60,      4001.05,      3968.25,      3979.70,-14.25
,Nifty Consumption,      4851.50,      4853.65,      4875.95,      4842.90,      4862.00,10.5
,Nifty Fin Service,     10544.20,     10523.55,     10587.55,     10523.40,     10544.70,.5
,Nifty50 Div Point,        97.82,        97.82,        97.82,        97.82,        97.82,0
,Nifty100 Liq 15,      4550.55,      4547.85,      4569.15,      4529.30,      4536.80,-13.75
,Nifty CPSE,      2642.75,      2641.40,      2644.45,      2616.85,      2626.95,-15.8
,Nifty GrowSect 15,      6269.00,      6272.40,      6311.85,      6258.30,      6291.95,22.95
,Nifty50 PR 2x Lev,      4527.35,      4516.45,      4535.10,      4488.20,      4501.10,-26.25
,Nifty50 PR 1x Inv,       411.85,       412.40,       413.65,       411.55,       413.10,1.25
,Nifty50 TR 2x Lev,      5573.95,      5560.55,      5583.50,      5525.75,      5541.60,-32.35
,Nifty50 TR 1x Inv,       371.20,       371.65,       372.85,       370.90,       372.30,1.1
,Nifty50 Value 20,      4696.20,      4685.85,      4691.60,      4660.95,      4668.35,-27.85
,Nifty Mid Liq 15,      4353.85,      4356.90,      4369.30,      4329.80,      4341.00,-12.85
,Nifty Pvt Bank,     14219.95,     14172.45,     14254.75,     14171.65,     14205.65,-14.3
,Nifty Quality 30,      2446.45,      2445.60,      2449.10,      2439.05,      2443.70,-2.75
,Nifty GS 8 13Yr,      1715.31,      1715.65,      1717.99,      1713.41,      1717.27,1.96
,Nifty GS 10Yr,      1628.16,      1628.47,      1631.86,      1625.99,      1631.07,2.91
,Nifty GS 10Yr Cln,       953.14,       953.14,       955.13,       951.69,       954.67,1.53
,Nifty GS 4 8Yr,      1805.00,      1805.36,      1808.17,      1805.04,      1807.94,2.94
,Nifty GS 11 15Yr,      1796.78,      1797.13,      1799.62,      1793.48,      1798.46,1.68
,Nifty GS 15YrPlus,      1907.05,      1907.43,      1908.53,      1906.44,      1908.53,1.48
,Nifty GS Compsite,      1759.29,      1759.63,      1762.29,      1757.61,      1761.64,2.35

,ADVANCES,857
,DECLINES,895
,UNCHANGED,75

,Total securities that have hit their price bands today,177

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARATIWIN,EQ,        35.97,        37.32,3.75,1124.54
,LT,EQ,      1224.75,      1211.70,-1.07,600.02
,AXISBANK,EQ,       559.40,       562.55,0.56,568.6
,SBIN,EQ,       335.65,       332.00,-1.09,535.3
,IBREALEST,EQ,       220.60,       216.20,-1.99,456.57
,ITC,EQ,       259.25,       257.00,-0.87,449.94
,RELIANCE,EQ,       951.35,       943.35,-0.84,438.26
,ICICIBANK,EQ,       317.00,       313.20,-1.2,437.08
,MARUTI,EQ,      8508.60,      8624.15,1.36,392.33
,HDFC,EQ,      1711.00,      1725.50,0.85,349.72
,IGL,EQ,       312.25,       326.70,4.63,345.91
,IBULHSGFIN,EQ,      1181.20,      1200.05,1.6,333.88
,NTPC,EQ,       186.35,       182.80,-1.91,328.9
,NCC,EQ,       111.15,       119.60,7.6,328.73
,TATAGLOBAL,EQ,       277.45,       287.75,3.71,322.28
,BIOCON,EQ,       414.80,       432.10,4.17,269.47
,GITANJALI,EQ,        93.15,        90.15,-3.22,267.11
,ZEEL,EQ,       575.25,       586.65,1.98,260.69
,TATAMOTORS,EQ,       421.40,       415.95,-1.29,260.21
,PNB,EQ,       185.85,       183.70,-1.16,254.91
,POWERGRID,EQ,       210.15,       208.35,-0.86,251.43
,ADANIPORTS,EQ,       399.50,       396.95,-0.64,240.18
,HDFCBANK,EQ,      1857.55,      1865.35,0.42,237.51
,PCJEWELLER,EQ,       405.90,       411.85,1.47,233.09
,INFY,EQ,       998.75,       984.70,-1.41,228.24

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       586.65,       575.25,1.98
,IBULHSGFIN,EQ,      1200.05,      1181.20,1.6
,MARUTI,EQ,      8624.15,      8508.60,1.36
,ASIANPAINT,EQ,      1171.00,      1156.50,1.25
,INDUSINDBK,EQ,      1678.25,      1660.60,1.06

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       377.85,       386.60,-2.26
,AUROPHARMA,EQ,       705.65,       719.45,-1.92
,NTPC,EQ,       182.80,       186.35,-1.91
,SUNPHARMA,EQ,       543.15,       551.55,-1.52
,ONGC,EQ,       181.25,       184.05,-1.52

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        59.40,                148126511.65,2489935
,3IINFOTECH,EQ,         3.90,                 10431365.65,2715717
,3MINDIA,EQ,     15564.30,                 19560887.20,1246
,5PAISA,BE,       252.25,                   307240.50,1218
,63MOONS,EQ,       128.75,                142396344.45,1115976
,8KMILES,EQ,       947.85,                979155464.00,1001357
,A2ZINFRA,EQ,        42.15,                120245635.50,2822346
,AARTIDRUGS,EQ,       551.60,                 35188373.65,63135
,AARTIIND,EQ,       910.35,                 14766191.40,16195
,AARVEEDEN,EQ,        47.10,                  1541551.70,32396
,AARVI,SM,       111.30,                  2427700.00,22000
,ABAN,EQ,       202.10,                229148645.20,1126214
,ABBOTINDIA,EQ,      5049.35,                 14084152.65,2789
,ABCAPITAL,EQ,       200.95,                743090993.05,3649749
,ABFRL,EQ,       165.50,                152554161.45,918289
,ABGSHIP,BZ,        13.00,                   574682.55,44612
,ABMINTLTD,BE,        37.10,                      742.00,20
,ACCELYA,EQ,      1386.45,                  4333194.15,3111
,ACCORD,SM,        59.50,                   508000.00,8000
,ACE,EQ,       148.80,                168227185.00,1114702
,ACEINTEG,SM,        35.00,                   316800.00,9000
,ADANIENT,EQ,       148.85,                424075990.90,2824828
,ADANIPOWER,EQ,        36.60,                457831717.50,12486335
,ADANITRANS,EQ,       193.65,                167930502.10,867488
,ADFFOODS,EQ,       290.25,                140885802.20,487068
,ADHUNIK,EQ,         4.15,                   240492.55,57233
,ADHUNIKIND,BE,        62.75,                  5182177.95,85086
,ADLABS,BE,        69.15,                  3576546.25,51280
,ADORWELD,EQ,       511.20,                 16280027.65,31425
,ADSL,EQ,        23.25,                   934826.15,39666
,ADVANIHOTR,EQ,        78.00,                 14601074.75,183725
,ADVENZYMES,EQ,       265.20,                 23799664.35,89750
,AEGISCHEM,EQ,       233.80,                 41318410.65,177649
,AGARIND,BE,       517.00,                   130315.00,251
,AGCNET,EQ,       111.95,                   631314.90,5620
,AGLSL,EQ,       126.40,                   787280.45,6172
,AGRITECH,EQ,       128.00,                  9817367.25,75955
,AGROPHOS,SM,        28.90,                  6357300.00,222000
,AHLEAST,EQ,       272.50,                   411290.95,1497
,AHLUCONT,EQ,       374.90,                  6803690.25,18211
,AHLWEST,BE,       277.95,                   335319.50,1199
,AIAENG,EQ,      1428.45,                 15718191.00,10979
,AICHAMP,BE,        29.45,                       58.30,2
,AIFL,EQ,       520.15,                 35046461.65,67529
,AIRAN,SM,       190.50,                   784400.00,4000
,AIROLAM,SM,        47.75,                  1581750.00,33000
,AISL,SM,       162.00,                 33539880.00,206400
,AJANTPHARM,EQ,      1391.80,                324739351.95,235549
,AJMERA,EQ,       348.85,                242910783.85,702185
,AKASH,SM,        74.60,                   765600.00,10000
,AKSHARCHEM,EQ,       672.30,                  7707486.75,11439
,AKSHOPTFBR,BE,        34.75,                 30210123.60,863584
,AKZOINDIA,EQ,      1789.75,                 51721979.30,28755
,ALANKIT,EQ,        45.40,                 38809889.95,829180
,ALBERTDAVD,EQ,       360.15,                  9625393.60,26546
,ALBK,EQ,        78.25,                133643929.70,1704017
,ALCHEM,BE,        14.75,                   443380.85,29820
,ALEMBICLTD,EQ,        41.05,                 58327593.55,1421589
,ALICON,EQ,       579.90,                  1389154.90,2391
,ALKALI,EQ,        71.95,                   175509.65,2437
,ALKEM,EQ,      1975.65,                 16437980.70,8337
,ALKYLAMINE,EQ,       602.75,                 17768278.30,29552
,ALLCARGO,EQ,       168.00,                 88316797.20,524890
,ALLSEC,EQ,       477.00,                  4929932.05,10313
,ALMONDZ,EQ,        33.55,                 22640454.35,698758
,ALOKTEXT,BE,         3.80,                  5284771.25,1394584
,ALPA,EQ,        33.00,                  1680042.20,51655
,ALPHAGEO,EQ,       995.40,                 84441210.20,83869
,ALPSINDUS,EQ,         5.15,                   670492.35,131722
,AMARAJABAT,EQ,       798.75,                323616145.80,403049
,AMBIKCO,EQ,      1295.80,                  3816840.80,2942
,AMDIND,EQ,        50.25,                 13819650.50,267205
,AMRUTANJAN,EQ,       626.80,                  2561809.35,4054
,AMTEKAUTO,BE,        26.85,                  5192841.55,192989
,ANANTRAJ,EQ,        60.90,                131135059.75,2154879
,ANDHRABANK,EQ,        65.30,                106261970.40,1623293
,ANDHRACEMT,EQ,        12.30,                  6859768.70,560507
,ANDHRSUGAR,EQ,       556.60,                 27561991.25,48906
,ANGIND,EQ,         5.60,                    71436.10,12720
,ANIKINDS,EQ,        53.40,                   383706.05,7139
,ANSALAPI,EQ,        22.40,                  2148459.20,95765
,ANSALHSG,EQ,        22.50,                  1186825.15,52824
,ANTGRAPHIC,BE,          .90,                    71511.30,83318
,APARINDS,EQ,       794.00,                  7189237.80,8976
,APCL,EQ,       239.95,                  1025125.25,4250
,APCOTEXIND,EQ,       482.90,                  7328133.20,15200
,APEX,EQ,       673.25,                 53762435.15,79925
,APLAPOLLO,EQ,      1860.10,                 14782160.50,7925
,APLLTD,EQ,       512.95,                 14994724.40,29263
,APOLLOHOSP,EQ,      1109.20,               1118533408.15,982931
,APOLLOTYRE,EQ,       256.80,                362944716.95,1413873
,APOLSINHOT,EQ,       831.05,                   496873.60,589
,APTECHT,EQ,       380.35,               1437865407.00,3731785
,ARCHIDPLY,EQ,       102.85,                 70671444.10,666418
,ARCHIES,EQ,        32.35,                 21985659.50,688096
,ARCOTECH,EQ,        51.50,                  8617993.45,167164
,ARIES,BE,       221.65,                  8493566.55,38179
,ARIHANT,BE,        40.00,                      840.00,21
,ARIHANTSUP,EQ,       164.00,                 11481284.40,69717
