,08-Dec-2017
The Nifty witnessed an intraday movement of about 75.6 points.The closing index was 0.97 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30835.91
, Traded Quantity (in Lakhs), 16471.98
, Number of Trades, 10666375
, Total Market Capitalisation (Rs. Crores), 14439802.21

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10166.70,     10198.45,     10270.85,     10195.25,     10265.65,98.95
,Nifty IT,     11163.45,     11189.80,     11249.30,     11159.75,     11173.40,9.95
,Nifty Next 50,     29711.70,     29847.40,     30060.25,     29839.10,     30001.70,290
,Nifty Bank,     25057.25,     25145.50,     25367.70,     25145.50,     25321.15,263.9
,Nifty MID100 Free,     19831.15,     19932.25,     20035.05,     19930.35,     20014.75,183.6
,Nifty 500,      9103.05,      9136.60,      9197.05,      9135.40,      9190.55,87.5
,Nifty 100,     10594.60,     10630.45,     10705.75,     10628.30,     10698.10,103.5
,Nifty Midcap 50,      5195.95,      5219.80,      5239.10,      5215.50,      5228.35,32.4
,Nifty Realty,       321.05,       322.85,       324.40,       322.15,       323.40,2.35
,Nifty Infra,      3507.30,      3513.95,      3536.70,      3512.70,      3524.40,17.1
,Nifty Energy,     14156.80,     14183.80,     14219.70,     14113.60,     14173.95,17.15
,Nifty FMCG,     25848.70,     25939.65,     26491.25,     25914.55,     26459.55,610.85
,Nifty MNC,     13856.90,     13928.55,     14110.75,     13906.35,     14051.60,194.7
,Nifty Pharma,      8960.40,      8986.60,      9121.65,      8977.85,      9098.45,138.05
,Nifty PSE,      4193.40,      4206.70,      4258.85,      4201.15,      4248.90,55.5
,Nifty PSU Bank,      3798.55,      3804.15,      3827.65,      3756.90,      3767.10,-31.45
,Nifty Serv Sector,     13384.10,     13423.70,     13509.05,     13423.60,     13496.20,112.1
,India VIX,14.2725,14.2725,14.2725,12.9050,13.6725,-0.6000
,Nifty Auto,     11235.65,     11296.70,     11391.75,     11281.75,     11357.15,121.5
,Nifty Metal,      3594.90,      3617.30,      3680.70,      3607.80,      3643.50,48.6
,Nifty Media,      3323.90,      3334.55,      3351.70,      3302.70,      3312.70,-11.2
,Nifty SML100 Free,      8572.10,      8595.90,      8669.85,      8595.70,      8636.55,64.45
,Nifty 200,      5590.40,      5610.15,      5647.40,      5609.30,      5643.45,53.05
,Nifty Div Opps 50,      2533.45,      2538.50,      2570.75,      2538.40,      2569.10,35.65
,Nifty Commodities,      3883.80,      3895.05,      3943.30,      3893.35,      3935.00,51.2
,Nifty Consumption,      4857.45,      4873.45,      4914.40,      4869.80,      4909.35,51.9
,Nifty Fin Service,     10198.15,     10237.65,     10338.15,     10237.65,     10328.00,129.85
,Nifty50 Div Point,        97.82,        97.82,        97.82,        97.82,        97.82,0
,Nifty100 Liq 15,      4375.65,      4390.85,      4433.90,      4386.60,      4414.60,38.95
,Nifty CPSE,      2595.15,      2610.30,      2630.10,      2603.55,      2624.05,28.9
,Nifty GrowSect 15,      6233.75,      6250.75,      6315.35,      6243.60,      6307.95,74.2
,Nifty50 PR 2x Lev,      4317.80,      4344.10,      4405.50,      4341.35,      4401.15,83.35
,Nifty50 PR 1x Inv,       421.75,       420.50,       420.60,       417.50,       417.70,-4.05
,Nifty50 TR 2x Lev,      5315.90,      5348.30,      5423.90,      5344.95,      5418.55,102.65
,Nifty50 TR 1x Inv,       380.10,       379.00,       379.10,       376.30,       376.50,-3.6
,Nifty50 Value 20,      4605.30,      4615.90,      4636.70,      4611.55,      4624.60,19.3
,Nifty Mid Liq 15,      4375.25,      4400.70,      4413.90,      4388.25,      4407.45,32.2
,Nifty Pvt Bank,     13815.10,     13872.85,     14011.25,     13871.20,     13994.60,179.5
,Nifty Quality 30,      2418.95,      2425.10,      2445.65,      2423.35,      2444.05,25.1
,Nifty GS 8 13Yr,      1720.11,      1720.45,      1720.45,      1715.85,      1716.04,-4.07
,Nifty GS 10Yr,      1631.56,      1631.88,      1631.88,      1626.09,      1626.38,-5.18
,Nifty GS 10Yr Cln,       953.31,       953.31,       953.31,       949.91,       950.08,-3.23
,Nifty GS 4 8Yr,      1810.39,      1810.75,      1810.75,      1807.75,      1807.75,-2.64
,Nifty GS 11 15Yr,      1800.38,      1800.73,      1800.73,      1795.96,      1796.16,-4.22
,Nifty GS 15YrPlus,      1912.38,      1912.77,      1912.77,      1906.40,      1906.96,-5.42
,Nifty GS Compsite,      1763.54,      1763.88,      1763.88,      1759.39,      1759.59,-3.95

,ADVANCES,1069
,DECLINES,692
,UNCHANGED,64

,Total securities that have hit their price bands today,173

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MARUTI,EQ,      8882.40,      9042.25,1.8,911.08
,BHARTIARTL,EQ,       514.70,       525.15,2.03,671.7
,HDFC,EQ,      1655.55,      1682.95,1.66,615.68
,TATASTEEL,EQ,       688.00,       697.80,1.42,527.14
,RELIANCE,EQ,       931.55,       921.00,-1.13,517.27
,SBIN,EQ,       316.40,       313.10,-1.04,516.62
,TATAMOTORS,EQ,       402.00,       411.15,2.28,504.29
,JETAIRWAYS,EQ,       696.80,       665.85,-4.44,431.17
,HDFCBANK,EQ,      1809.65,      1840.40,1.7,411.87
,MOTHERSUMI,EQ,       367.70,       372.30,1.25,399.02
,GAIL,EQ,       492.55,       482.50,-2.04,388.82
,VEDL,EQ,       285.65,       291.20,1.94,367.72
,ITC,EQ,       253.35,       262.20,3.49,339.57
,ICICIBANK,EQ,       305.80,       310.75,1.62,332.11
,AXISBANK,EQ,       534.05,       542.50,1.58,325.26
,BOMDYEING,EQ,       209.10,       230.00,10,318.93
,INFY,EQ,       999.80,      1001.85,0.21,299.83
,LT,EQ,      1218.40,      1220.35,0.16,283.15
,FCONSUMER,EQ,        58.60,        68.05,16.13,278.77
,YESBANK,EQ,       310.50,       312.70,0.71,264.45
,BALKRISIND,EQ,      2242.25,      2415.45,7.72,262.99
,GRAPHITE,EQ,       629.95,       659.70,4.72,254.36
,JPASSOCIAT,EQ,        16.95,        18.00,6.19,237.8
,TITAN,EQ,       800.60,       810.95,1.29,231.47
,LIQUIDBEES,EQ,      1000.00,      1000.00,0,229.36

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       428.45,       412.65,3.83
,ITC,EQ,       262.20,       253.35,3.49
,IOC,EQ,       404.85,       391.50,3.41
,BPCL,EQ,       514.45,       499.10,3.08
,HINDUNILVR,EQ,      1326.65,      1291.95,2.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       373.70,       382.35,-2.26
,GAIL,EQ,       482.50,       492.55,-2.04
,ZEEL,EQ,       563.00,       572.95,-1.74
,RELIANCE,EQ,       921.00,       931.55,-1.13
,SBIN,EQ,       313.10,       316.40,-1.04

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        54.65,                 10897689.80,196209
,3IINFOTECH,EQ,         3.85,                  7553831.25,1945433
,3MINDIA,EQ,     15722.55,                  5840294.25,371
,5PAISA,EQ,       227.55,                  1526860.50,6710
,63MOONS,EQ,        96.60,                306808491.85,3133074
,8KMILES,EQ,       932.00,                237708260.50,250891
,A2ZINFRA,EQ,        39.00,                 38260924.40,974072
,AARTIDRUGS,EQ,       555.75,                  3764438.05,6736
,AARTIIND,EQ,       881.00,                 29638605.65,33606
,AARVEEDEN,EQ,        47.40,                  1558276.60,32707
,AARVI,SM,       110.00,                   659000.00,6000
,ABAN,EQ,       192.55,                115492948.55,596493
,ABBOTINDIA,EQ,      5643.20,                 23690005.95,4213
,ABCAPITAL,EQ,       188.90,                573748414.15,3024776
,ABFRL,EQ,       170.90,                 87118824.70,513486
,ABGSHIP,BZ,        13.75,                   795783.80,57054
,ABMINTLTD,BE,        38.95,                    26842.65,672
,ACCELYA,EQ,      1413.50,                 13032540.95,9255
,ACE,EQ,       144.30,                144342753.30,981988
,ADANIENT,EQ,       151.05,                789404146.90,5248995
,ADANIPOWER,EQ,        34.95,                613106259.65,17501687
,ADANITRANS,EQ,       195.30,                188485447.25,964681
,ADFFOODS,EQ,       313.00,                 86697049.25,274991
,ADHUNIK,EQ,         4.35,                   195399.75,45571
,ADHUNIKIND,BE,        80.45,                   834354.15,10414
,ADLABS,BE,        67.45,                  1551733.30,23034
,ADORWELD,EQ,       499.50,                 16072452.35,31831
,ADSL,BE,        25.25,                  1431308.50,56446
,ADVANIHOTR,EQ,        72.35,                  1668313.15,22839
,ADVENZYMES,EQ,       283.30,                 84441413.55,294304
,AEGISCHEM,EQ,       255.75,                 83112165.75,322255
,AGARIND,BE,       622.35,                  4820969.55,7802
,AGCNET,EQ,       147.85,                 45706696.00,319125
,AGLSL,EQ,       120.75,                  1176298.95,9756
,AGRITECH,EQ,       120.05,                  2542044.45,20836
,AGROPHOS,SM,        31.20,                  7638300.00,252000
,AHLEAST,EQ,       270.00,                   733035.50,2715
,AHLUCONT,EQ,       360.00,                  9557903.80,26544
,AHLWEST,BE,       272.05,                   351973.55,1304
,AIAENG,EQ,      1504.20,                 29404586.95,19566
,AIFL,EQ,       518.80,                 43923063.95,84639
,AIRAN,SM,       204.35,                  3719350.00,19000
,AIROLAM,SM,        46.25,                   972000.00,21000
,AISL,SM,       174.70,                 17232720.00,98400
,AJANTPHARM,EQ,      1445.80,               1554541696.20,1102098
,AJMERA,EQ,       339.75,                440693191.10,1252708
,AKASH,SM,        73.00,                    73000.00,1000
,AKSHARCHEM,EQ,       658.70,                  9536494.65,14572
,AKSHOPTFBR,BE,        31.35,                 13301592.25,421762
,AKZOINDIA,EQ,      1786.05,                 25294761.65,14186
,ALANKIT,EQ,        48.90,                 38428716.55,782832
,ALBERTDAVD,EQ,       335.80,                  1485386.50,4369
,ALBK,EQ,        74.65,                 90995041.70,1217832
,ALCHEM,BE,        13.90,                    72851.00,5192
,ALEMBICLTD,EQ,        43.75,                138111919.90,3184100
,ALICON,EQ,       556.05,                  2588512.10,4613
,ALKALI,EQ,        76.00,                   517872.95,6903
,ALKEM,EQ,      2188.05,                149442575.25,68831
,ALKYLAMINE,EQ,       585.20,                  3054042.50,5186
,ALLCARGO,EQ,       178.20,                 80154430.30,447427
,ALLSEC,EQ,       449.15,                  2985345.15,6555
,ALMONDZ,BE,        30.70,                   426217.70,13816
,ALOKTEXT,BE,         3.35,                  7730600.65,2265314
,ALPA,EQ,        33.60,                  1720302.45,51646
,ALPHAGEO,EQ,       934.85,                 35327611.20,37667
,ALPSINDUS,BE,         5.50,                   215363.50,39032
,AMARAJABAT,EQ,       773.10,                604252536.80,779127
,AMBIKCO,EQ,      1285.80,                  4024366.80,3116
,AMDIND,EQ,        50.10,                 15336532.40,304404
,AMRUTANJAN,EQ,       595.65,                  3810671.50,6365
,AMTEKAUTO,BE,        25.60,                  9523150.60,372466
,ANANTRAJ,EQ,        60.50,                101814461.40,1664253
,ANDHRABANK,EQ,        61.20,                 87171564.20,1422373
,ANDHRACEMT,EQ,        11.25,                  1545097.35,136222
,ANDHRSUGAR,EQ,       535.85,                 21142615.85,39537
,ANGIND,EQ,         5.70,                    75863.30,13121
,ANIKINDS,EQ,        51.75,                   641081.10,12262
,ANSALAPI,EQ,        22.95,                  4624002.35,201539
,ANSALHSG,EQ,        23.10,                   985438.80,42729
,ANTGRAPHIC,BE,          .90,                    24520.70,28642
,APARINDS,EQ,       769.20,                  7167574.05,9330
,APCL,EQ,       230.60,                  1698161.40,7334
,APCOTEXIND,EQ,       494.95,                  3618995.05,7214
,APEX,EQ,       813.40,                 54429031.20,66872
,APLAPOLLO,EQ,      1948.90,                 57151626.00,29396
,APLLTD,EQ,       518.00,                 10726199.65,20723
,APOLLOHOSP,EQ,      1190.70,                641139023.65,540714
,APOLLOTYRE,EQ,       247.90,                513195646.60,2076472
,APOLSINHOT,EQ,       791.20,                   319674.35,399
,APTECHT,EQ,       367.60,                665105563.50,1779952
,ARCHIDPLY,EQ,       102.75,                 32818149.30,323173
,ARCHIES,EQ,        34.15,                 17190678.85,492780
,ARCOTECH,EQ,        55.15,                 50211832.80,894120
,ARENTERP,BE,        17.65,                       35.30,2
,ARIES,BE,       225.35,                  2558088.10,11295
,ARIHANT,BE,        50.65,                   587574.40,11629
,ARIHANTSUP,EQ,       146.20,                 27015594.75,182671
,ARMANFIN,BE,       251.70,                   548352.75,2187
,AROGRANITE,EQ,        67.80,                   871886.30,12738
