,12-Dec-2017
The Nifty witnessed an intraday movement of about 95.9 points.The closing index was 0.8 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26991.28
, Traded Quantity (in Lakhs), 12624.21
, Number of Trades, 10058604
, Total Market Capitalisation (Rs. Crores), 14391673.33

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10322.25,     10324.90,     10326.10,     10230.20,     10240.15,-82.1
,Nifty IT,     11324.00,     11327.70,     11341.75,     11251.70,     11272.45,-51.55
,Nifty Next 50,     30087.00,     30093.90,     30104.10,     29755.00,     29787.10,-299.9
,Nifty Bank,     25404.85,     25413.40,     25416.20,     25108.60,     25125.45,-279.4
,Nifty MID100 Free,     20120.60,     20127.95,     20134.00,     19925.80,     19947.00,-173.6
,Nifty 500,      9231.90,      9237.15,      9237.60,      9149.35,      9156.50,-75.4
,Nifty 100,     10752.60,     10755.30,     10756.20,     10653.55,     10663.55,-89.05
,Nifty Midcap 50,      5276.60,      5280.90,      5281.95,      5221.15,      5228.20,-48.4
,Nifty Realty,       322.85,       322.95,       323.40,       317.15,       317.80,-5.05
,Nifty Infra,      3533.10,      3530.25,      3531.70,      3484.45,      3490.45,-42.65
,Nifty Energy,     14135.00,     14141.65,     14185.15,     13994.10,     14057.05,-77.95
,Nifty FMCG,     26709.65,     26616.10,     26649.90,     26308.60,     26353.75,-355.9
,Nifty MNC,     14132.60,     14129.65,     14213.05,     14043.95,     14066.00,-66.6
,Nifty Pharma,      9186.10,      9271.65,      9273.15,      9099.20,      9119.10,-67
,Nifty PSE,      4245.25,      4249.80,      4250.45,      4197.00,      4200.90,-44.35
,Nifty PSU Bank,      3809.15,      3803.00,      3830.25,      3769.00,      3798.90,-10.25
,Nifty Serv Sector,     13579.10,     13577.25,     13580.95,     13471.25,     13477.50,-101.6
,India VIX,14.1475,14.1475,15.3725,12.1575,15.2625,1.1150
,Nifty Auto,     11424.60,     11449.50,     11460.15,     11320.60,     11331.10,-93.5
,Nifty Metal,      3649.75,      3649.70,      3699.10,      3613.25,      3619.30,-30.45
,Nifty Media,      3328.35,      3337.50,      3351.20,      3303.50,      3308.90,-19.45
,Nifty SML100 Free,      8672.05,      8685.00,      8685.30,      8585.60,      8592.90,-79.15
,Nifty 200,      5671.40,      5673.40,      5673.75,      5620.10,      5624.95,-46.45
,Nifty Div Opps 50,      2580.75,      2578.40,      2578.70,      2547.10,      2549.45,-31.3
,Nifty Commodities,      3946.50,      3947.10,      3956.20,      3903.10,      3910.15,-36.35
,Nifty Consumption,      4942.65,      4940.95,      4942.85,      4890.50,      4898.90,-43.75
,Nifty Fin Service,     10394.70,     10392.20,     10396.45,     10293.95,     10298.65,-96.05
,Nifty50 Div Point,        97.82,        97.82,        97.82,        97.82,        97.82,0
,Nifty100 Liq 15,      4431.75,      4430.05,      4439.75,      4399.65,      4406.45,-25.3
,Nifty CPSE,      2622.50,      2631.10,      2640.10,      2611.00,      2614.15,-8.35
,Nifty GrowSect 15,      6362.45,      6372.70,      6375.15,      6310.20,      6315.80,-46.65
,Nifty50 PR 2x Lev,      4447.85,      4449.35,      4449.35,      4367.95,      4376.30,-71.55
,Nifty50 PR 1x Inv,       415.55,       415.55,       419.35,       415.55,       418.95,3.4
,Nifty50 TR 2x Lev,      5476.00,      5477.90,      5477.90,      5377.70,      5387.95,-88.05
,Nifty50 TR 1x Inv,       374.55,       374.55,       377.95,       374.55,       377.60,3.05
,Nifty50 Value 20,      4643.70,      4643.45,      4643.65,      4602.15,      4612.60,-31.1
,Nifty Mid Liq 15,      4439.70,      4441.10,      4458.00,      4409.05,      4417.50,-22.2
,Nifty Pvt Bank,     14013.60,     14020.25,     14021.60,     13835.35,     13842.00,-171.6
,Nifty Quality 30,      2464.40,      2468.05,      2468.20,      2442.25,      2444.75,-19.65
,Nifty GS 8 13Yr,      1711.23,      1711.56,      1711.56,      1706.51,      1709.70,-1.53
,Nifty GS 10Yr,      1619.78,      1620.09,      1620.09,      1613.32,      1617.95,-1.83
,Nifty GS 10Yr Cln,       945.66,       945.66,       945.66,       941.69,       944.40,-1.26
,Nifty GS 4 8Yr,      1804.91,      1805.28,      1805.28,      1801.63,      1802.38,-2.53
,Nifty GS 11 15Yr,      1790.14,      1790.49,      1790.49,      1783.56,      1787.57,-2.57
,Nifty GS 15YrPlus,      1896.76,      1897.15,      1897.15,      1894.23,      1896.27,-.49
,Nifty GS Compsite,      1754.53,      1754.87,      1754.87,      1749.88,      1752.23,-2.3

,ADVANCES,558
,DECLINES,1206
,UNCHANGED,64

,Total securities that have hit their price bands today,156

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       916.15,       915.60,-0.06,664.33
,HDFC,EQ,      1709.95,      1710.80,0.05,623.56
,SBIN,EQ,       318.40,       318.45,0.02,560.84
,INFY,EQ,      1005.30,      1010.50,0.52,470.41
,MARUTI,EQ,      9133.80,      9131.35,-0.03,450.02
,PCJEWELLER,EQ,       433.75,       443.55,2.26,411.43
,ICICIBANK,EQ,       311.45,       307.60,-1.24,369.23
,FORTIS,EQ,       138.70,       128.00,-7.71,366.12
,VEDL,EQ,       291.35,       293.15,0.62,363.63
,GAIL,EQ,       481.20,       491.90,2.22,350.98
,DRREDDY,EQ,      2192.90,      2256.35,2.89,337.21
,PNB,EQ,       172.95,       173.70,0.43,293.08
,AXISBANK,EQ,       545.10,       538.60,-1.19,282.14
,TATASTEEL,EQ,       699.55,       689.85,-1.39,278.18
,INDUSINDBK,EQ,      1670.10,      1650.25,-1.19,277.1
,ADANIPORTS,EQ,       391.75,       402.50,2.74,267.8
,TATAMOTORS,EQ,       410.15,       406.85,-0.8,252.38
,TCS,EQ,      2661.10,      2612.15,-1.84,246.96
,LT,EQ,      1221.85,      1202.90,-1.55,242.78
,ITC,EQ,       266.25,       261.55,-1.77,242.03
,TECHM,EQ,       500.65,       501.20,0.11,224.98
,GRAPHITE,EQ,       634.35,       653.65,3.04,217.25
,LUPIN,EQ,       839.15,       846.80,0.91,210.92
,JETAIRWAYS,EQ,       696.60,       677.70,-2.71,205.64
,TATAGLOBAL,EQ,       298.35,       287.80,-3.54,201.5

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      2256.35,      2192.90,2.89
,ADANIPORTS,EQ,       402.50,       391.75,2.74
,ONGC,EQ,       183.30,       178.90,2.46
,GAIL,EQ,       491.90,       481.20,2.22
,LUPIN,EQ,       846.80,       839.15,.91

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       414.95,       432.55,-4.07
,INFRATEL,EQ,       355.40,       368.05,-3.44
,BPCL,EQ,       498.95,       514.20,-2.97
,COALINDIA,EQ,       263.40,       269.85,-2.39
,IOC,EQ,       395.10,       404.40,-2.3

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        54.10,                  3200139.70,58811
,3IINFOTECH,EQ,         3.85,                 13951601.50,3602767
,3MINDIA,EQ,     15369.00,                  9366567.80,606
,5PAISA,EQ,       250.80,                 19339188.00,77110
,63MOONS,EQ,        94.70,                 60509221.25,623054
,8KMILES,EQ,       916.15,                148761080.65,160875
,A2ZINFRA,EQ,        37.30,                 39067798.00,1035336
,AARTIDRUGS,EQ,       545.90,                  1669853.80,3053
,AARTIIND,EQ,       902.05,                  9273618.30,10292
,AARVEEDEN,EQ,        46.00,                  2282201.95,49921
,AARVI,SM,       111.00,                   450000.00,4000
,ABAN,EQ,       205.50,               1242322701.35,6102622
,ABBOTINDIA,EQ,      5449.45,                 18015217.80,3283
,ABCAPITAL,EQ,       185.85,                338543760.00,1814721
,ABFRL,EQ,       170.75,                112137686.00,658276
,ABGSHIP,BZ,        12.85,                   578301.95,44419
,ACCELYA,EQ,      1447.45,                  2019875.95,1396
,ACE,EQ,       142.55,                167497270.45,1156873
,ADANIENT,EQ,       152.55,               1167253171.45,7656986
,ADANIPOWER,EQ,        34.75,                520169802.70,14951388
,ADANITRANS,EQ,       193.90,                189357436.80,971595
,ADFFOODS,EQ,       309.70,                 94330294.55,302024
,ADHUNIK,EQ,         4.10,                   441172.85,106011
,ADHUNIKIND,BE,        88.55,                  2256903.10,25567
,ADLABS,BE,        68.90,                  4516130.45,66520
,ADORWELD,EQ,       490.55,                  6410007.05,12944
,ADSL,BE,        25.30,                   336351.95,13215
,ADVANIHOTR,EQ,        76.70,                  5197349.85,65559
,ADVENZYMES,EQ,       282.05,                 26086112.00,92180
,AEGISCHEM,EQ,       271.90,                211669758.20,759476
,AGARIND,BE,       667.15,                 31800714.10,48921
,AGCNET,EQ,       157.20,                 16454929.60,103858
,AGLSL,EQ,       120.80,                   626499.20,5170
,AGRITECH,EQ,       115.70,                  1336369.55,11399
,AGROPHOS,SM,        31.25,                  9715200.00,330000
,AHLEAST,EQ,       265.20,                   349301.75,1316
,AHLUCONT,EQ,       364.90,                  4185826.85,11547
,AHLWEST,BE,       271.00,                   290747.10,1106
,AIAENG,EQ,      1559.70,                 67047517.25,43281
,AICHAMP,BE,        24.25,                     1697.50,70
,AIFL,EQ,       511.90,                 36683144.45,71057
,AIROLAM,SM,        45.95,                   829050.00,18000
,AISL,SM,       176.95,                 11059200.00,62400
,AJANTPHARM,EQ,      1462.55,               1170332803.25,793781
,AJMERA,EQ,       313.80,                 75356197.70,237119
,AKSHARCHEM,EQ,       661.35,                  2485648.70,3760
,AKSHOPTFBR,BE,        32.00,                 14311491.85,446166
,AKZOINDIA,EQ,      1816.60,                 24208449.05,13360
,ALANKIT,EQ,        53.85,                 36961254.70,691005
,ALBERTDAVD,EQ,       348.30,                  8530944.65,24525
,ALBK,EQ,        74.15,                112907102.70,1512809
,ALCHEM,BE,        14.00,                    99508.10,7017
,ALEMBICLTD,EQ,        44.75,                 83034765.25,1849497
,ALICON,EQ,       558.40,                  1998925.40,3567
,ALKALI,EQ,        73.05,                   287733.00,3900
,ALKEM,EQ,      2105.70,                 64194568.85,30432
,ALKYLAMINE,EQ,       584.75,                  6735192.50,11563
,ALLCARGO,EQ,       181.75,                350089590.10,1901374
,ALLSEC,EQ,       441.90,                  2547970.75,5696
,ALMONDZ,BE,        27.80,                   901445.95,31989
,ALOKTEXT,BE,         3.15,                  7724673.00,2412728
,ALPA,EQ,        34.15,                  1039729.10,30588
,ALPHAGEO,EQ,       935.45,                 44117944.75,47028
,ALPSINDUS,BE,         5.10,                   182768.50,35648
,AMARAJABAT,EQ,       771.40,                200089676.00,259085
,AMBIKCO,EQ,      1281.65,                  1627062.65,1269
,AMDIND,EQ,        49.85,                  6717423.80,130796
,AMRUTANJAN,EQ,       600.10,                   972849.90,1623
,AMTEKAUTO,BE,        25.85,                  9527409.45,372277
,ANANTRAJ,EQ,        60.80,                173961481.40,2831863
,ANDHRABANK,EQ,        60.80,                 96512656.50,1582458
,ANDHRACEMT,EQ,        11.25,                   605681.30,53529
,ANDHRSUGAR,EQ,       510.25,                 22882823.35,44089
,ANGIND,EQ,         5.85,                    38474.75,6657
,ANIKINDS,EQ,        49.20,                  1307815.35,26111
,ANSALAPI,EQ,        22.05,                  3480935.60,157525
,ANSALHSG,EQ,        23.00,                   490334.45,21302
,ANTGRAPHIC,BE,          .90,                     9795.30,11318
,APARINDS,EQ,       794.25,                 43886954.20,56880
,APCL,EQ,       233.25,                   283655.55,1205
,APCOTEXIND,EQ,       491.40,                  2213012.35,4494
,APEX,EQ,       734.15,                  6813646.15,9281
,APLAPOLLO,EQ,      1936.05,                 44902812.45,23252
,APLLTD,EQ,       524.75,                144032359.45,274110
,APOLLOHOSP,EQ,      1190.20,                884481952.10,741336
,APOLLOTYRE,EQ,       244.50,                538557204.85,2185339
,APOLSINHOT,EQ,       841.10,                  5363132.90,6426
,APTECHT,EQ,       365.95,                249652808.85,676642
,ARCHIDPLY,EQ,       104.45,                 34870745.15,326559
,ARCHIES,EQ,        33.50,                  9983123.45,296677
,ARCOTECH,EQ,        57.80,                328995681.10,5514700
,ARIES,BE,       230.30,                  3707886.10,16005
,ARIHANT,BE,        50.00,                     5322.95,111
,ARIHANTSUP,EQ,       146.10,                 10313748.20,70359
,ARMANFIN,BE,       239.05,                  2162120.50,8902
,AROGRANITE,EQ,        68.10,                  2321297.95,33683
,ARROWGREEN,EQ,       487.00,                  3577848.65,7369
,ARROWTEX,EQ,        45.20,                  2463424.40,54577
,ARSHIYA,EQ,        96.05,                 17654865.65,185052
,ARSSINFRA,BE,        61.75,                  2258630.25,36507
