,15-Dec-2017
The Nifty witnessed an intraday movement of about 53.45 points.The closing index was 0.79 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32230.08
, Traded Quantity (in Lakhs), 13454.82
, Number of Trades, 11491596
, Total Market Capitalisation (Rs. Crores), 14452138.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10252.10,     10345.65,     10373.10,     10319.65,     10333.25,81.15
,Nifty IT,     11275.40,     11299.60,     11337.00,     11245.55,     11288.30,12.9
,Nifty Next 50,     29508.45,     29780.60,     29851.45,     29718.10,     29759.70,251.25
,Nifty Bank,     25168.20,     25487.15,     25559.05,     25411.25,     25440.30,272.1
,Nifty MID100 Free,     19760.60,     19936.25,     20007.10,     19920.80,     19962.30,201.7
,Nifty 500,      9133.65,      9217.80,      9242.85,      9207.60,      9216.75,83.1
,Nifty 100,     10658.40,     10755.75,     10783.40,     10731.35,     10743.65,85.25
,Nifty Midcap 50,      5161.05,      5215.00,      5237.90,      5205.85,      5229.45,68.4
,Nifty Realty,       312.00,       314.80,       318.40,       313.65,       317.25,5.25
,Nifty Infra,      3461.50,      3499.20,      3509.65,      3473.60,      3479.80,18.3
,Nifty Energy,     14196.50,     14333.25,     14355.95,     14185.85,     14203.75,7.25
,Nifty FMCG,     26383.30,     26539.50,     26617.80,     26357.60,     26430.80,47.5
,Nifty MNC,     13963.95,     14077.25,     14148.25,     14064.90,     14101.45,137.5
,Nifty Pharma,      9070.85,      9152.40,      9162.25,      9081.10,      9100.30,29.45
,Nifty PSE,      4226.80,      4265.35,      4271.25,      4237.25,      4253.80,27
,Nifty PSU Bank,      3742.30,      3794.25,      3809.10,      3728.90,      3734.95,-7.35
,Nifty Serv Sector,     13467.40,     13594.05,     13627.55,     13558.15,     13582.50,115.1
,India VIX,16.4075,16.4075,16.4075,13.3975,14.9400,-1.4675
,Nifty Auto,     11296.20,     11383.60,     11474.10,     11383.45,     11448.40,152.2
,Nifty Metal,      3570.95,      3625.40,      3672.90,      3622.85,      3665.90,94.95
,Nifty Media,      3301.75,      3357.10,      3369.05,      3320.55,      3330.65,28.9
,Nifty SML100 Free,      8459.65,      8548.30,      8596.50,      8537.65,      8552.15,92.5
,Nifty 200,      5616.30,      5667.60,      5682.85,      5657.65,      5663.60,47.3
,Nifty Div Opps 50,      2556.20,      2573.05,      2580.15,      2567.25,      2572.50,16.3
,Nifty Commodities,      3919.50,      3961.55,      3972.70,      3952.20,      3961.95,42.45
,Nifty Consumption,      4894.10,      4930.95,      4949.00,      4917.45,      4927.55,33.45
,Nifty Fin Service,     10310.55,     10424.65,     10472.70,     10403.10,     10418.00,107.45
,Nifty50 Div Point,        97.82,        97.82,        97.82,        97.82,        97.82,0
,Nifty100 Liq 15,      4376.20,      4441.55,      4457.95,      4424.50,      4447.90,71.7
,Nifty CPSE,      2625.20,      2643.90,      2655.60,      2630.70,      2641.65,16.45
,Nifty GrowSect 15,      6326.20,      6369.60,      6394.75,      6365.35,      6383.80,57.6
,Nifty50 PR 2x Lev,      4384.90,      4464.15,      4487.65,      4442.95,      4453.60,68.7
,Nifty50 PR 1x Inv,       418.55,       414.80,       415.85,       413.70,       415.30,-3.25
,Nifty50 TR 2x Lev,      5398.55,      5496.15,      5525.05,      5470.00,      5483.10,84.55
,Nifty50 TR 1x Inv,       377.25,       373.90,       374.80,       372.85,       374.35,-2.9
,Nifty50 Value 20,      4608.45,      4651.55,      4655.85,      4617.10,      4623.45,15
,Nifty Mid Liq 15,      4366.10,      4401.40,      4418.50,      4384.45,      4399.90,33.8
,Nifty Pvt Bank,     13879.40,     14060.85,     14068.25,     13990.95,     14040.70,161.3
,Nifty Quality 30,      2444.75,      2458.55,      2465.30,      2456.30,      2461.40,16.65
,Nifty GS 8 13Yr,      1715.42,      1715.75,      1717.25,      1714.83,      1717.25,1.83
,Nifty GS 10Yr,      1625.35,      1625.67,      1627.49,      1624.59,      1627.16,1.81
,Nifty GS 10Yr Cln,       948.38,       948.38,       949.45,       947.75,       949.26,.88
,Nifty GS 4 8Yr,      1805.48,      1805.85,      1806.03,      1804.99,      1805.98,.5
,Nifty GS 11 15Yr,      1792.60,      1792.95,      1795.02,      1791.39,      1794.96,2.36
,Nifty GS 15YrPlus,      1904.70,      1905.09,      1905.87,      1904.67,      1905.87,1.17
,Nifty GS Compsite,      1757.06,      1757.40,      1758.55,      1756.45,      1758.55,1.49

,ADVANCES,1170
,DECLINES,576
,UNCHANGED,61

,Total securities that have hit their price bands today,150

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       921.50,       919.75,-0.19,1029.59
,KOTAKBANK,EQ,      1024.65,      1030.10,0.53,980.3
,VEDL,EQ,       284.55,       298.00,4.73,769.77
,ICICIBANK,EQ,       304.35,       303.15,-0.39,706.4
,YESBANK,EQ,       303.90,       315.90,3.95,645.46
,INDUSINDBK,EQ,      1650.35,      1677.05,1.62,591.99
,HDFCBANK,EQ,      1838.05,      1873.45,1.93,584.45
,MARUTI,EQ,      9112.75,      9165.90,0.58,569.61
,INFY,EQ,      1013.10,      1022.90,0.97,529.18
,M&M,EQ,      1431.60,      1483.40,3.62,522.95
,HDFC,EQ,      1704.50,      1723.00,1.09,514.83
,SBIN,EQ,       314.00,       312.25,-0.56,504.91
,BOMDYEING,EQ,       228.30,       266.75,16.84,476.46
,JETAIRWAYS,EQ,       675.50,       703.05,4.08,401.11
,TECHM,EQ,       514.25,       500.75,-2.63,356.2
,TCS,EQ,      2557.80,      2545.60,-0.48,346.96
,AXISBANK,EQ,       541.45,       547.95,1.2,331.35
,BHARTIARTL,EQ,       520.30,       517.95,-0.45,328.65
,ITC,EQ,       264.25,       264.60,0.13,325.35
,LUPIN,EQ,       852.80,       860.30,0.88,268.34
,LT,EQ,      1188.80,      1203.55,1.24,260.89
,BAJFINANCE,EQ,      1685.85,      1729.60,2.6,258.55
,SHALBY,EQ,       248.00,       239.60,-3.39,254.83
,POWERGRID,EQ,       200.10,       198.85,-0.62,253.85
,CIPLA,EQ,       590.45,       576.45,-2.37,249.89

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,       298.00,       284.55,4.73
,YESBANK,EQ,       315.90,       303.90,3.95
,M&M,EQ,      1483.40,      1431.60,3.62
,COALINDIA,EQ,       271.00,       262.85,3.1
,HINDALCO,EQ,       242.75,       236.40,2.69

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       500.75,       514.25,-2.63
,CIPLA,EQ,       576.45,       590.45,-2.37
,BOSCHLTD,EQ,     19730.30,     19880.20,-0.75
,ONGC,EQ,       183.00,       184.35,-0.73
,POWERGRID,EQ,       198.85,       200.10,-0.62

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        56.50,                 11592736.45,204240
,3IINFOTECH,EQ,         4.60,                117782988.45,24676857
,3MINDIA,EQ,     16034.55,                 22720460.10,1408
,5PAISA,EQ,       290.25,                   385452.00,1328
,63MOONS,EQ,        96.10,                108083340.00,1122005
,8KMILES,EQ,       912.40,                123905523.80,134377
,A2ZINFRA,EQ,        38.00,                 33496079.75,877913
,AARTIDRUGS,EQ,       550.30,                  4065746.95,7378
,AARTIIND,EQ,       947.65,                 73426472.70,78609
,AARVEEDEN,EQ,        45.10,                   974235.10,21641
,ABAN,EQ,       192.35,                129256280.15,666814
,ABBOTINDIA,EQ,      5436.85,                 13251105.10,2429
,ABCAPITAL,EQ,       184.60,                364051686.70,1967854
,ABFRL,EQ,       169.40,                157569153.00,921808
,ABGSHIP,BZ,        12.05,                   244807.65,20237
,ABMINTLTD,BE,        36.50,                     3261.80,88
,ACCELYA,EQ,      1447.95,                  5014365.40,3491
,ACE,EQ,       141.50,                112641144.45,787507
,ADANIENT,EQ,       155.20,               1478216780.15,9641091
,ADANIPOWER,EQ,        35.25,                450862818.90,12852646
,ADANITRANS,EQ,       203.45,                367931089.50,1831623
,ADFFOODS,EQ,       308.90,                155510898.90,498146
,ADHUNIK,EQ,         4.20,                    88521.50,21265
,ADHUNIKIND,BE,        90.35,                  8486444.50,96092
,ADLABS,BE,        68.20,                  3772959.95,55720
,ADORWELD,EQ,       475.40,                 10295633.95,21770
,ADSL,BE,        25.45,                  1110941.75,43280
,ADVANIHOTR,EQ,        80.85,                 31006347.20,380405
,ADVENZYMES,EQ,       281.90,                 23613966.70,83623
,AEGISCHEM,EQ,       269.20,                 45577190.65,170206
,AGARIND,BE,       671.35,                  1765330.60,2653
,AGCNET,EQ,       150.20,                  9794099.60,63435
,AGLSL,EQ,       117.50,                   387112.90,3290
,AGRITECH,EQ,       115.15,                   885752.40,7667
,AGROPHOS,SM,        30.65,                   719100.00,24000
,AHLEAST,EQ,       268.40,                   336549.45,1255
,AHLUCONT,EQ,       370.00,                  3911192.45,10585
,AHLWEST,BE,       272.00,                   125165.80,462
,AIAENG,EQ,      1650.45,                189356138.15,116144
,AIFL,EQ,       513.35,                 30221893.30,58214
,AIRAN,SM,       202.50,                   202500.00,1000
,AIROLAM,SM,        44.70,                  6269250.00,138000
,AISL,SM,       169.50,                  2459940.00,14400
,AJANTPHARM,EQ,      1433.25,                325709407.05,224704
,AJMERA,EQ,       311.45,                 69404444.25,220002
,AKSHARCHEM,EQ,       675.45,                  9385919.50,13843
,AKSHOPTFBR,BE,        31.55,                 10053854.50,316374
,AKZOINDIA,EQ,      1842.45,                 24370512.55,13301
,ALANKIT,EQ,        56.90,                 47658695.80,837474
,ALBERTDAVD,EQ,       337.80,                  4510599.00,13271
,ALBK,EQ,        73.00,                124344493.75,1696340
,ALCHEM,BE,        14.05,                   236613.10,16773
,ALEMBICLTD,EQ,        42.90,                 40443337.85,938422
,ALICON,EQ,       572.65,                  2441011.50,4217
,ALKALI,EQ,        73.30,                   449584.00,6109
,ALKEM,EQ,      2106.40,                 87240087.20,41690
,ALKYLAMINE,EQ,       598.80,                 24434792.20,41089
,ALLCARGO,EQ,       181.35,                 81558859.15,447843
,ALLSEC,EQ,       438.10,                  4524914.10,10316
,ALMONDZ,BE,        26.40,                   173436.20,6702
,ALOKTEXT,BE,         3.05,                  6920789.25,2267442
,ALPA,EQ,        38.40,                 46029255.20,1209540
,ALPHAGEO,EQ,       910.40,                 22118161.85,24148
,ALPSINDUS,BE,         4.80,                   196146.90,40949
,AMARAJABAT,EQ,       780.55,                158116335.45,202341
,AMBIKCO,EQ,      1280.50,                  2501442.65,1949
,AMDIND,EQ,        45.75,                  1951565.80,42521
,AMRUTANJAN,EQ,       590.00,                 11792869.30,20120
,AMTEKAUTO,BE,        25.35,                  6324144.40,247530
,ANANTRAJ,EQ,        58.30,                 55501885.45,944051
,ANDHRABANK,EQ,        59.30,                202679338.05,3384390
,ANDHRACEMT,EQ,        11.10,                  1190933.05,106372
,ANDHRSUGAR,EQ,       515.95,                 16883357.90,32489
,ANGIND,EQ,         5.75,                    90719.45,15596
,ANIKINDS,EQ,        50.15,                  3955161.60,81739
,ANSALAPI,EQ,        21.85,                  2767348.80,125091
,ANSALHSG,EQ,        22.40,                   632650.25,28071
,ANTGRAPHIC,BE,          .90,                    19633.50,22865
,APARINDS,EQ,       778.80,                  5957264.70,7643
,APCL,EQ,       229.75,                   683007.35,2973
,APCOTEXIND,EQ,       489.85,                  2769266.20,5640
,APEX,EQ,       849.80,                 24038292.60,28287
,APLAPOLLO,EQ,      1914.10,                 41459740.00,21902
,APLLTD,EQ,       528.20,                 16217601.20,30815
,APOLLOHOSP,EQ,      1198.10,                379442008.35,317833
,APOLLOTYRE,EQ,       249.60,               1281323967.15,5124428
,APOLSINHOT,EQ,       827.80,                    84408.40,102
,APTECHT,EQ,       366.85,                122006074.75,332997
,ARCHIDPLY,EQ,       104.85,                 12964872.55,123217
,ARCHIES,EQ,        39.80,                165228960.15,4172986
,ARCOTECH,EQ,        54.50,                 72694363.40,1325762
,ARIES,BE,       222.00,                  6321374.40,28114
,ARIHANT,BE,        47.00,                   495267.00,10997
,ARIHANTSUP,EQ,       149.60,                 29408562.55,200128
,ARMANFIN,BE,       262.10,                  2803858.30,10456
,AROGRANITE,EQ,        67.90,                  1117184.85,16386
,ARROWGREEN,EQ,       478.65,                  4407167.85,9236
,ARROWTEX,EQ,        44.95,                   585048.70,13061
,ARSHIYA,EQ,        91.45,                  8376178.55,90272
