,18-Dec-2017
The Nifty witnessed an intraday movement of about 368.75 points.The closing index was 0.54 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32615.68
, Traded Quantity (in Lakhs), 14863.94
, Number of Trades, 11376797
, Total Market Capitalisation (Rs. Crores), 14546571.15

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10333.25,     10263.10,     10443.55,     10074.80,     10388.75,55.5
,Nifty IT,     11288.30,     11211.80,     11345.40,     11096.60,     11315.20,26.9
,Nifty Next 50,     29759.70,     29615.10,     30166.75,     29035.05,     30042.25,282.55
,Nifty Bank,     25440.30,     25181.75,     25759.90,     24617.15,     25594.55,154.25
,Nifty MID100 Free,     19962.30,     19851.90,     20237.95,     19460.25,     20129.80,167.5
,Nifty 500,      9216.75,      9162.55,      9318.65,      9000.40,      9270.85,54.1
,Nifty 100,     10743.65,     10673.80,     10862.70,     10484.75,     10807.85,64.2
,Nifty Midcap 50,      5229.45,      5201.15,      5317.15,      5076.00,      5277.65,48.2
,Nifty Realty,       317.25,       314.50,       320.95,       305.30,       315.65,-1.6
,Nifty Infra,      3479.80,      3448.55,      3521.80,      3388.20,      3507.20,27.4
,Nifty Energy,     14203.75,     14120.00,     14304.15,     13660.55,     14221.55,17.8
,Nifty FMCG,     26430.80,     26426.00,     26619.15,     25871.20,     26453.55,22.75
,Nifty MNC,     14101.45,     14043.60,     14357.00,     13830.15,     14281.20,179.75
,Nifty Pharma,      9100.30,      9102.20,      9286.40,      8921.30,      9230.45,130.15
,Nifty PSE,      4253.80,      4239.65,      4278.75,      4138.85,      4262.55,8.75
,Nifty PSU Bank,      3734.95,      3688.10,      3870.25,      3586.80,      3822.70,87.75
,Nifty Serv Sector,     13582.50,     13460.75,     13715.30,     13240.95,     13642.60,60.1
,India VIX,14.9400,14.9400,18.2575,12.8150,13.1150,-1.8250
,Nifty Auto,     11448.40,     11383.85,     11630.20,     11196.20,     11589.05,140.65
,Nifty Metal,      3665.90,      3638.75,      3778.60,      3552.80,      3726.90,61
,Nifty Media,      3330.65,      3331.20,      3398.70,      3257.10,      3349.40,18.75
,Nifty SML100 Free,      8552.15,      8520.75,      8622.90,      8280.10,      8570.35,18.2
,Nifty 200,      5663.60,      5628.25,      5727.70,      5527.40,      5698.35,34.75
,Nifty Div Opps 50,      2572.50,      2560.45,      2589.30,      2516.00,      2578.55,6.05
,Nifty Commodities,      3961.95,      3939.35,      4000.75,      3854.10,      3981.70,19.75
,Nifty Consumption,      4927.55,      4905.80,      4997.50,      4828.50,      4975.65,48.1
,Nifty Fin Service,     10418.00,     10316.30,     10539.00,     10107.90,     10477.75,59.75
,Nifty50 Div Point,        97.82,        97.82,        97.82,        97.82,        97.82,0
,Nifty100 Liq 15,      4447.90,      4408.00,      4535.75,      4305.90,      4493.45,45.55
,Nifty CPSE,      2641.65,      2639.00,      2666.85,      2572.80,      2648.85,7.2
,Nifty GrowSect 15,      6383.80,      6371.05,      6469.70,      6268.25,      6439.60,55.8
,Nifty50 PR 2x Lev,      4453.60,      4390.80,      4546.20,      4229.65,      4499.10,45.5
,Nifty50 PR 1x Inv,       415.30,       418.35,       425.85,       411.10,       413.30,-2
,Nifty50 TR 2x Lev,      5483.10,      5405.80,      5597.15,      5207.40,      5539.15,56.05
,Nifty50 TR 1x Inv,       374.35,       377.05,       383.85,       370.55,       372.50,-1.85
,Nifty50 Value 20,      4623.45,      4580.20,      4676.95,      4494.65,      4650.60,27.15
,Nifty Mid Liq 15,      4399.90,      4376.35,      4448.45,      4294.50,      4409.40,9.5
,Nifty Pvt Bank,     14040.70,     13906.65,     14186.85,     13574.60,     14088.00,47.3
,Nifty Quality 30,      2461.40,      2452.65,      2483.85,      2417.75,      2476.90,15.5
,Nifty GS 8 13Yr,      1716.40,      1716.73,      1716.73,      1712.60,      1712.82,-3.58
,Nifty GS 10Yr,      1625.72,      1626.03,      1626.03,      1616.43,      1620.65,-5.07
,Nifty GS 10Yr Cln,       948.05,       948.05,       948.05,       942.41,       944.89,-3.16
,Nifty GS 4 8Yr,      1806.11,      1806.47,      1806.47,      1804.02,      1804.02,-2.09
,Nifty GS 11 15Yr,      1794.11,      1794.46,      1794.46,      1790.15,      1790.18,-3.93
,Nifty GS 15YrPlus,      1905.86,      1906.25,      1906.25,      1902.46,      1902.75,-3.11
,Nifty GS Compsite,      1757.92,      1758.26,      1758.26,      1753.84,      1754.17,-3.75

,ADVANCES,924
,DECLINES,827
,UNCHANGED,66

,Total securities that have hit their price bands today,199

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       312.25,       318.90,2.13,1017.94
,RELIANCE,EQ,       919.75,       921.00,0.14,778.36
,M&M,EQ,      1483.40,      1521.45,2.57,647.54
,MARUTI,EQ,      9165.90,      9309.10,1.56,607.4
,HDFCBANK,EQ,      1873.45,      1878.95,0.29,576.85
,ADANIENT,EQ,       155.20,       159.95,3.06,570.25
,BOMDYEING,EQ,       266.75,       280.90,5.3,535.84
,VEDL,EQ,       298.00,       308.40,3.49,501.82
,ICICIBANK,EQ,       303.15,       308.90,1.9,497.5
,BHARTIARTL,EQ,       517.95,       526.25,1.6,490.87
,PNB,EQ,       171.60,       178.75,4.17,486.13
,YESBANK,EQ,       315.90,       311.15,-1.5,428.83
,HDFC,EQ,      1723.00,      1719.95,-0.18,382.14
,FSC,EQ,       664.00,       686.35,3.37,378.82
,ADANIPORTS,EQ,       401.35,       404.60,0.81,370
,TATASTEEL,EQ,       694.70,       704.70,1.44,358.47
,LT,EQ,      1203.55,      1217.90,1.19,345.63
,HINDALCO,EQ,       242.75,       249.65,2.84,344.54
,AXISBANK,EQ,       547.95,       548.65,0.13,321.64
,GAIL,EQ,       485.65,       496.00,2.13,318.31
,BANKBARODA,EQ,       165.25,       169.40,2.51,299.63
,BAJFINANCE,EQ,      1729.60,      1756.85,1.58,284.66
,TCS,EQ,      2545.60,      2580.50,1.37,277.88
,UPL,EQ,       717.80,       710.05,-1.08,266.8
,BPCL,EQ,       523.05,       526.40,0.64,259.83

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,       308.40,       298.00,3.49
,HINDALCO,EQ,       249.65,       242.75,2.84
,CIPLA,EQ,       591.65,       576.45,2.64
,M&M,EQ,      1521.45,      1483.40,2.57
,SUNPHARMA,EQ,       529.80,       518.35,2.21

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       311.15,       315.90,-1.5
,HINDPETRO,EQ,       437.80,       443.80,-1.35
,TECHM,EQ,       494.00,       500.75,-1.35
,COALINDIA,EQ,       267.65,       271.00,-1.24
,UPL,EQ,       710.05,       717.80,-1.08

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        55.65,                 13623521.70,243941
,3IINFOTECH,EQ,         4.60,                 35855725.00,7807518
,3MINDIA,EQ,     16026.40,                 43593383.55,2718
,5PAISA,EQ,       304.75,                  6347942.50,20830
,63MOONS,EQ,        93.35,                 43927922.55,464091
,8KMILES,EQ,       899.55,                110762365.25,122077
,A2ZINFRA,EQ,        37.60,                 64457608.35,1692846
,AARTIDRUGS,EQ,       553.35,                  4083675.45,7357
,AARTIIND,EQ,       973.75,                 72526242.70,75363
,AARVEEDEN,EQ,        45.75,                   871231.25,19166
,AARVI,SM,       110.00,                   446000.00,4000
,ABAN,EQ,       191.75,                153173635.60,800686
,ABBOTINDIA,EQ,      5402.05,                 13918145.00,2577
,ABCAPITAL,EQ,       185.05,                617199389.50,3345536
,ABFRL,EQ,       168.80,                319515338.70,1874467
,ABGSHIP,BZ,        12.20,                   111913.15,9143
,ABMINTLTD,BE,        36.05,                    24598.95,681
,ACCELYA,EQ,      1425.55,                  2952852.20,2055
,ACE,EQ,       140.95,                 94047267.70,667145
,ADANIENT,EQ,       159.95,               5702515213.30,36258411
,ADANIPOWER,EQ,        35.60,               1498583896.65,42047762
,ADANITRANS,EQ,       203.45,                323301850.75,1572428
,ADFFOODS,EQ,       322.70,                245017894.60,763158
,ADHUNIK,EQ,         4.25,                   133229.20,31437
,ADHUNIKIND,BE,        91.45,                  2215413.90,24931
,ADLABS,BE,        66.75,                  2243042.75,33412
,ADORWELD,EQ,       480.15,                  8073453.45,17034
,ADSL,BE,        25.85,                   705095.55,27564
,ADVANIHOTR,EQ,        78.05,                 15779099.90,200419
,ADVENZYMES,EQ,       282.55,                 27571727.20,97552
,AEGISCHEM,EQ,       270.50,                 59084626.05,220990
,AFL,BE,        40.00,                  1220010.00,30500
,AGARIND,BE,       669.70,                   672318.35,1011
,AGCNET,EQ,       153.95,                  5866527.90,38439
,AGLSL,EQ,       118.25,                   135608.10,1141
,AGRITECH,EQ,       116.75,                  1509434.50,13010
,AGROPHOS,SM,        30.40,                  3470400.00,114000
,AHLEAST,EQ,       266.95,                   778504.15,2915
,AHLUCONT,EQ,       378.60,                  5240777.50,14039
,AHLWEST,BE,       263.00,                   241250.65,908
,AIAENG,EQ,      1670.45,                 91882803.05,54848
,AIFL,EQ,       501.10,                 39260543.90,77335
,AIRAN,SM,       207.00,                   611500.00,3000
,AIROLAM,SM,        44.50,                   267300.00,6000
,AISL,SM,       169.50,                  1610820.00,9600
,AJANTPHARM,EQ,      1440.25,                273197035.55,189465
,AJMERA,EQ,       327.35,                143584915.65,441424
,AKSHARCHEM,EQ,       679.25,                  6955893.05,10207
,AKSHOPTFBR,BE,        31.15,                 12911447.10,416290
,AKZOINDIA,EQ,      1826.70,                 33726150.95,18439
,ALANKIT,EQ,        58.50,                 65595372.90,1133028
,ALBERTDAVD,EQ,       330.45,                  1310096.15,3949
,ALBK,EQ,        74.15,                293148815.60,3987067
,ALCHEM,BE,        14.50,                    63867.85,4494
,ALEMBICLTD,EQ,        43.55,                 58562007.30,1345073
,ALICON,EQ,       570.20,                  2211811.10,3846
,ALKALI,EQ,        73.80,                   619861.20,8439
,ALKEM,EQ,      2116.20,                 28751538.60,13593
,ALKYLAMINE,EQ,       599.25,                 19187070.55,32005
,ALLCARGO,EQ,       183.85,                129600159.20,709229
,ALLSEC,EQ,       435.10,                  3428205.10,7891
,ALMONDZ,BE,        27.70,                   449482.90,16339
,ALOKTEXT,BE,         3.10,                  3811217.05,1248730
,ALPA,EQ,        43.25,                 66745865.40,1597724
,ALPHAGEO,EQ,       916.40,                 25795944.60,28234
,ALPSINDUS,BE,         4.80,                    78857.40,16580
,AMARAJABAT,EQ,       773.60,                170115439.25,219945
,AMBIKCO,EQ,      1285.90,                   979094.85,759
,AMDIND,EQ,        45.85,                  2074643.15,44710
,AMRUTANJAN,EQ,       587.95,                  1143652.25,1944
,AMTEKAUTO,BE,        25.50,                  5945584.60,234815
,ANANTRAJ,EQ,        58.20,                 87367382.75,1509182
,ANDHRABANK,EQ,        60.25,                215881483.35,3621930
,ANDHRACEMT,EQ,        10.95,                  2673114.00,243676
,ANDHRSUGAR,EQ,       523.75,                 21832637.30,42018
,ANGIND,EQ,         5.80,                   110125.90,18769
,ANIKINDS,EQ,        49.25,                  2884289.80,56061
,ANSALAPI,EQ,        21.30,                  5194094.65,240663
,ANSALHSG,EQ,        21.65,                  1565383.35,71932
,ANTGRAPHIC,BE,          .85,                     3975.45,4677
,APARINDS,EQ,       769.60,                  8600911.15,11209
,APCL,EQ,       231.80,                   383632.80,1658
,APCOTEXIND,EQ,       499.75,                  3285677.10,6610
,APEX,EQ,       892.25,                500373064.95,581941
,APLAPOLLO,EQ,      1890.25,                266778168.00,140984
,APLLTD,EQ,       528.15,                  9706016.50,18435
,APOLLOHOSP,EQ,      1172.85,                363822373.65,307113
,APOLLOTYRE,EQ,       255.10,               1260459402.45,4980855
,APOLSINHOT,EQ,       826.25,                  2335300.50,2813
,APTECHT,EQ,       367.50,                195505528.35,533253
,ARCHIDPLY,EQ,       104.00,                 11576695.55,111771
,ARCHIES,EQ,        46.65,                348669171.70,7763356
,ARCOTECH,EQ,        54.95,                 41460855.45,756519
,ARIES,BE,       225.25,                  5407583.15,24223
,ARIHANT,BE,        45.90,                   162310.50,3485
,ARIHANTSUP,EQ,       145.20,                 24121844.15,165441
,ARMANFIN,BE,       259.50,                  1162582.50,4446
,AROGRANITE,EQ,        68.60,                  1902543.20,27517
