,19-Jan-2018
The Nifty witnessed an intraday movement of about 112.95 points.The closing index was 0.72 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33320.51
, Traded Quantity (in Lakhs), 16674.84
, Number of Trades, 11153227
, Total Market Capitalisation (Rs. Crores), 15243780.69

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10817.00,     10829.20,     10906.85,     10793.90,     10894.70,77.7
,Nifty IT,     12570.70,     12577.25,     12668.55,     12485.30,     12633.85,63.15
,Nifty Next 50,     30931.85,     30953.40,     31221.95,     30786.35,     31165.65,233.8
,Nifty Bank,     26537.40,     26615.65,     26957.85,     26433.55,     26909.50,372.1
,Nifty MID100 Free,     21098.00,     21129.35,     21341.35,     21005.95,     21308.80,210.8
,Nifty 500,      9646.80,      9658.40,      9733.50,      9625.10,      9723.10,76.3
,Nifty 100,     11234.50,     11246.20,     11328.25,     11208.80,     11315.75,81.25
,Nifty Midcap 50,      5427.75,      5436.25,      5479.10,      5398.95,      5469.55,41.8
,Nifty Realty,       343.55,       343.10,       348.00,       340.80,       347.30,3.75
,Nifty Infra,      3637.05,      3632.30,      3678.15,      3620.80,      3672.50,35.45
,Nifty Energy,     13993.75,     14029.80,     14156.80,     13991.85,     14128.10,134.35
,Nifty FMCG,     27347.85,     27539.30,     27573.65,     27238.00,     27517.10,169.25
,Nifty MNC,     14655.15,     14675.55,     14713.50,     14565.20,     14690.35,35.2
,Nifty Pharma,      9626.45,      9648.60,      9668.55,      9566.70,      9637.80,11.35
,Nifty PSE,      4218.55,      4225.90,      4257.55,      4202.60,      4249.30,30.75
,Nifty PSU Bank,      3631.45,      3637.20,      3719.25,      3618.55,      3710.70,79.25
,Nifty Serv Sector,     14352.45,     14363.70,     14507.75,     14295.50,     14491.00,138.55
,India VIX,13.9600,13.9600,14.1950,10.7500,13.9825,0.0225
,Nifty Auto,     11662.10,     11624.00,     11696.65,     11581.35,     11677.55,15.45
,Nifty Metal,      3998.85,      4002.00,      4043.90,      3957.65,      4033.40,34.55
,Nifty Media,      3517.50,      3502.35,      3549.40,      3476.80,      3540.55,23.05
,Nifty SML100 Free,      9200.50,      9225.60,      9295.90,      9163.65,      9288.85,88.35
,Nifty 200,      5920.80,      5927.45,      5973.15,      5907.05,      5966.20,45.4
,Nifty Div Opps 50,      2676.85,      2682.70,      2701.05,      2668.75,      2696.20,19.35
,Nifty Commodities,      4069.35,      4071.65,      4093.85,      4042.45,      4086.80,17.45
,Nifty Consumption,      5056.70,      5052.80,      5082.55,      5034.70,      5076.20,19.5
,Nifty Fin Service,     10951.85,     10970.00,     11088.40,     10903.60,     11073.25,121.4
,Nifty50 Div Point,        99.10,        99.10,        99.10,        99.10,        99.10,0
,Nifty100 Liq 15,      4578.15,      4592.90,      4669.00,      4571.65,      4660.30,82.15
,Nifty CPSE,      2660.25,      2665.65,      2687.75,      2653.15,      2680.95,20.7
,Nifty GrowSect 15,      6523.95,      6533.90,      6554.70,      6495.65,      6547.30,23.35
,Nifty50 PR 2x Lev,      4850.80,      4860.95,      4930.25,      4829.45,      4919.70,68.9
,Nifty50 PR 1x Inv,       398.80,       398.40,       399.70,       395.55,       396.00,-2.8
,Nifty50 TR 2x Lev,      5973.55,      5986.05,      6071.45,      5947.25,      6058.40,84.85
,Nifty50 TR 1x Inv,       359.35,       359.00,       360.20,       356.45,       356.85,-2.5
,Nifty50 Value 20,      4895.30,      4905.30,      4945.90,      4878.95,      4938.05,42.75
,Nifty Mid Liq 15,      4445.25,      4453.30,      4522.25,      4442.30,      4509.50,64.25
,Nifty Pvt Bank,     14854.60,     14908.80,     15080.95,     14803.80,     15049.90,195.3
,Nifty Quality 30,      2597.40,      2600.25,      2609.05,      2587.45,      2605.35,7.95
,Nifty GS 8 13Yr,      1693.28,      1693.62,      1695.10,      1692.46,      1693.66,.38
,Nifty GS 10Yr,      1603.76,      1604.08,      1605.13,      1599.86,      1600.95,-2.81
,Nifty GS 10Yr Cln,       929.46,       929.46,       930.07,       927.01,       927.64,-1.82
,Nifty GS 4 8Yr,      1792.22,      1792.58,      1794.49,      1792.58,      1794.09,1.87
,Nifty GS 11 15Yr,      1761.99,      1762.34,      1770.60,      1761.39,      1763.45,1.46
,Nifty GS 15YrPlus,      1881.69,      1882.09,      1884.51,      1882.09,      1883.49,1.8
,Nifty GS Compsite,      1734.69,      1735.03,      1738.15,      1734.37,      1735.92,1.23

,ADVANCES,910
,DECLINES,886
,UNCHANGED,52

,Total securities that have hit their price bands today,219

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JUBLFOOD,EQ,      1943.35,      2093.30,7.72,1072.07
,YESBANK,EQ,       341.20,       349.35,2.39,741.08
,ITC,EQ,       273.40,       274.55,0.42,705.65
,ICICIBANK,EQ,       346.15,       353.60,2.15,657.49
,SBIN,EQ,       303.25,       309.25,1.98,567.11
,HDFCBANK,EQ,      1934.30,      1952.20,0.93,557.75
,HDFC,EQ,      1896.80,      1901.25,0.23,539.25
,SUNTECK,EQ,       404.35,       418.75,3.56,515.91
,MARUTI,EQ,      9368.70,      9323.95,-0.48,505.78
,BIOCON,EQ,       539.60,       569.35,5.51,493.97
,JUSTDIAL,EQ,       557.65,       556.65,-0.18,489.22
,KOTAKBANK,EQ,      1046.50,      1060.55,1.34,453.62
,BHARTIARTL,EQ,       495.00,       497.90,0.59,443.05
,RELIANCE,EQ,       919.70,       931.30,1.26,423.34
,JINDALSTEL,EQ,       264.35,       264.15,-0.08,416.99
,RELCAPITAL,EQ,       526.15,       529.25,0.59,401.55
,PNB,EQ,       170.50,       176.40,3.46,375.74
,RCOM,EQ,        29.35,        29.45,0.34,347.24
,INFY,EQ,      1152.70,      1143.45,-0.8,341.96
,ADANIPORTS,EQ,       416.25,       433.45,4.13,325.14
,ICICIPRULI,EQ,       412.45,       429.70,4.18,314.55
,IBULHSGFIN,EQ,      1243.70,      1301.80,4.67,296.39
,LT,EQ,      1360.80,      1371.45,0.78,291.65
,ADANIENT,EQ,       195.25,       199.70,2.28,273.75
,JETAIRWAYS,EQ,       791.25,       793.20,0.25,272.09

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,      1301.80,      1243.70,4.67
,ADANIPORTS,EQ,       433.45,       416.25,4.13
,BAJFINANCE,EQ,      1701.90,      1660.70,2.48
,YESBANK,EQ,       349.35,       341.20,2.39
,ICICIBANK,EQ,       353.60,       346.15,2.15

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       268.60,       275.65,-2.56
,ULTRACEMCO,EQ,      4300.00,      4408.65,-2.46
,INFY,EQ,      1143.45,      1152.70,-0.8
,SUNPHARMA,EQ,       572.10,       576.70,-0.8
,MARUTI,EQ,      9323.95,      9368.70,-0.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        55.00,                  4221582.10,76360
,21STCENMGM,BE,        37.45,                   803518.75,21575
,3IINFOTECH,EQ,         7.05,                 83498829.15,11783318
,3MINDIA,EQ,     18182.15,                 11978348.95,659
,3RDROCK,IT,       104.20,                  3792880.00,36400
,5PAISA,EQ,       329.65,                  5055440.35,15397
,63MOONS,EQ,       106.15,                 31808686.10,297648
,8KMILES,EQ,       826.05,                 65215275.20,78445
,A2ZINFRA,EQ,        40.05,                 62419122.15,1586122
,AARTIDRUGS,EQ,       698.00,                 10305314.05,14742
,AARTIIND,EQ,      1126.35,                 24166398.05,21710
,AARVEEDEN,EQ,        54.85,                 12479375.60,228557
,AARVI,SM,       101.50,                  1008000.00,10000
,ABAN,EQ,       230.05,                563994656.15,2444981
,ABBOTINDIA,EQ,      5488.10,                  9290240.00,1699
,ABCAPITAL,EQ,       177.05,                354495359.65,1998381
,ABFRL,EQ,       167.50,                 59086400.40,355524
,ABGSHIP,BZ,        12.85,                   125454.75,9815
,ABMINTLTD,BE,        61.80,                    43726.50,708
,ACCELYA,EQ,      1454.30,                  4497293.75,3093
,ACE,EQ,       151.55,                 65632996.70,434865
,ADANIENT,EQ,       199.70,               2737476385.65,14032888
,ADANIPOWER,EQ,        38.05,                593485425.75,15908701
,ADANITRANS,EQ,       228.35,                202872132.55,892009
,ADFFOODS,EQ,       287.85,                 52432176.00,184619
,ADHUNIK,BE,         5.85,                  1072650.75,190097
,ADHUNIKIND,BE,        90.30,                  1242114.40,13720
,ADLABS,BE,        66.10,                  3798470.30,57343
,ADORWELD,EQ,       541.10,                 19663992.70,36106
,ADSL,BE,        23.90,                   324776.10,13591
,ADVANIHOTR,EQ,        77.90,                  3847357.20,50040
,ADVENZYMES,EQ,       289.70,                 69171986.90,238524
,AEGISCHEM,EQ,       289.80,                 51907249.85,182369
,AFL,EQ,        63.00,                   709737.75,11214
,AGARIND,BE,       607.00,                  1586916.25,2602
,AGCNET,BE,       123.10,                   155390.80,1269
,AGLSL,EQ,       123.25,                  1875585.70,15167
,AGRITECH,EQ,       116.40,                  1481570.75,12725
,AGROPHOS,SM,        33.25,                  4218600.00,126000
,AHLEAST,EQ,       342.05,                  9244282.45,26885
,AHLUCONT,EQ,       372.60,                 25834224.05,69248
,AHLWEST,BE,       272.00,                   143468.40,524
,AIAENG,EQ,      1599.80,                 47749552.05,29933
,AICHAMP,BE,        36.95,                    18610.80,528
,AIFL,EQ,       463.95,                154305317.65,337633
,AIRAN,SM,       240.05,                  1916700.00,8000
,AIROLAM,SM,        50.60,                  1353600.00,27000
,AISL,SM,       146.20,                  4542660.00,31200
,AJANTPHARM,EQ,      1560.05,                246160375.70,158597
,AJMERA,EQ,       311.35,                 32207460.85,103658
,AJOONI,SM,        50.20,                  2181200.00,44000
,AKASH,SM,        81.10,                    81100.00,1000
,AKSHARCHEM,EQ,       721.80,                  7420866.25,10214
,AKSHOPTFBR,BE,        40.55,                 41761596.30,1030485
,AKZOINDIA,EQ,      1877.20,                 13084791.70,6990
,ALANKIT,EQ,        68.85,                 26421898.05,387644
,ALBERTDAVD,BE,       397.20,                  2780556.40,6956
,ALBK,EQ,        70.80,                159946668.50,2265859
,ALCHEM,BE,        13.65,                   134639.50,9935
,ALEMBICLTD,EQ,        63.45,                401103547.10,6375141
,ALICON,EQ,       652.50,                  2680773.60,4141
,ALKALI,EQ,        90.15,                  3195012.95,35082
,ALKEM,EQ,      2218.95,                 44483149.85,19924
,ALKYLAMINE,EQ,       716.90,                  7105566.05,9945
,ALLCARGO,EQ,       194.35,                114195150.40,585885
,ALLSEC,EQ,       433.60,                  3179357.20,7311
,ALMONDZ,BE,        28.60,                   259342.15,8948
,ALOKTEXT,BE,         3.80,                  8910403.10,2342352
,ALPA,EQ,        44.75,                  2281829.50,51366
,ALPHAGEO,EQ,       898.45,                 33769075.60,37517
,ALPSINDUS,BE,         5.55,                   392723.05,69896
,AMARAJABAT,EQ,       825.00,                219175406.30,265376
,AMBIKCO,EQ,      1489.80,                  7217417.65,4848
,AMDIND,EQ,        41.90,                  2128000.80,50373
,AMJLAND,EQ,        29.35,                  3612889.45,116954
,AMRUTANJAN,EQ,       612.45,                  3647054.90,5901
,AMTEKAUTO,BE,        26.85,                  5323479.05,198383
,ANANTRAJ,EQ,        71.30,                162201886.40,2277589
,ANDHRABANK,EQ,        56.50,                106827543.15,1904482
,ANDHRACEMT,EQ,        13.15,                  3545979.05,267921
,ANDHRSUGAR,EQ,       673.50,                 58732934.40,88081
,ANGIND,BE,         6.35,                    38729.10,6054
,ANIKINDS,EQ,        42.60,                   401649.20,9467
,ANSALAPI,EQ,        29.65,                  4028555.50,134880
,ANSALHSG,EQ,        28.25,                  4044654.25,143291
,ANTGRAPHIC,BE,         1.35,                   283731.00,217870
,APARINDS,EQ,       827.70,                 14229482.55,17320
,APCL,EQ,       248.00,                  1342541.20,5447
,APCOTEXIND,EQ,       491.80,                  1654097.90,3349
,APEX,EQ,       738.55,                 99710769.55,134516
,APLAPOLLO,EQ,      2500.65,                178597356.25,72393
,APLLTD,EQ,       547.05,                 13586291.80,24822
,APOLLOHOSP,EQ,      1139.40,                172981512.20,152932
,APOLLOTYRE,EQ,       264.80,                426611564.10,1621095
,APOLSINHOT,EQ,      1370.00,                  4459791.85,3228
,APTECHT,EQ,       346.15,                109424447.85,315861
,ARCHIDPLY,EQ,       109.45,                 15015590.35,137368
,ARCHIES,EQ,        41.10,                  8744911.10,215097
