,29-Jan-2018
The Nifty witnessed an intraday movement of about 95.6 points.The closing index was 0.55 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35515.69
, Traded Quantity (in Lakhs), 14592.44
, Number of Trades, 12173442
, Total Market Capitalisation (Rs. Crores), 15325798.17

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11069.65,     11079.35,     11171.55,     11075.95,     11130.40,60.75
,Nifty IT,     13117.85,     13113.20,     13328.05,     13096.45,     13242.50,124.65
,Nifty Next 50,     31013.10,     31132.00,     31239.50,     30836.75,     30891.20,-121.9
,Nifty Bank,     27445.65,     27446.10,     27652.05,     27407.40,     27498.45,52.8
,Nifty MID100 Free,     21455.75,     21532.70,     21580.60,     21247.35,     21272.85,-182.9
,Nifty 500,      9810.00,      9829.00,      9868.40,      9806.05,      9819.45,9.45
,Nifty 100,     11459.05,     11474.30,     11552.80,     11471.80,     11505.45,46.4
,Nifty Midcap 50,      5468.65,      5490.90,      5505.15,      5426.80,      5437.35,-31.3
,Nifty Realty,       349.75,       352.00,       353.60,       347.25,       348.55,-1.2
,Nifty Infra,      3653.95,      3649.40,      3672.10,      3638.95,      3648.90,-5.05
,Nifty Energy,     14465.65,     14469.35,     14547.50,     14337.65,     14381.05,-84.6
,Nifty FMCG,     27716.50,     27735.45,     27858.75,     27464.60,     27557.35,-159.15
,Nifty MNC,     14697.20,     14805.90,     14987.75,     14801.90,     14905.75,208.55
,Nifty Pharma,      9729.15,      9716.20,      9752.05,      9592.40,      9622.35,-106.8
,Nifty PSE,      4306.75,      4312.75,      4315.70,      4257.35,      4264.35,-42.4
,Nifty PSU Bank,      3757.70,      3764.85,      3795.50,      3692.35,      3704.75,-52.95
,Nifty Serv Sector,     14724.10,     14722.80,     14867.70,     14708.85,     14819.70,95.6
,India VIX,17.5075,17.5075,18.4850,16.3625,17.8875,0.3800
,Nifty Auto,     11507.75,     11593.55,     11724.55,     11590.40,     11678.40,170.65
,Nifty Metal,      4135.15,      4154.45,      4216.65,      4122.10,      4140.85,5.7
,Nifty Media,      3507.45,      3530.05,      3573.50,      3519.50,      3530.80,23.35
,Nifty SML100 Free,      9232.15,      9282.60,      9296.00,      9055.70,      9077.35,-154.8
,Nifty 200,      6032.55,      6042.15,      6074.60,      6037.65,      6048.00,15.45
,Nifty Div Opps 50,      2753.45,      2755.65,      2771.90,      2754.65,      2759.20,5.75
,Nifty Commodities,      4129.80,      4141.25,      4162.40,      4119.10,      4128.80,-1
,Nifty Consumption,      5020.90,      5032.55,      5064.25,      5022.15,      5048.55,27.65
,Nifty Fin Service,     11232.65,     11244.60,     11368.50,     11229.40,     11331.25,98.6
,Nifty50 Div Point,       100.00,       100.29,       100.29,       100.29,       100.29,.29
,Nifty100 Liq 15,      4778.65,      4786.75,      4834.00,      4755.45,      4767.50,-11.15
,Nifty CPSE,      2779.40,      2783.05,      2784.90,      2746.40,      2755.65,-23.75
,Nifty GrowSect 15,      6558.30,      6577.35,      6627.20,      6572.30,      6607.10,48.8
,Nifty50 PR 2x Lev,      5073.10,      5078.70,      5162.95,      5078.20,      5125.50,52.4
,Nifty50 PR 1x Inv,       390.05,       390.00,       390.00,       386.75,       388.20,-1.85
,Nifty50 TR 2x Lev,      6248.35,      6255.55,      6359.35,      6254.95,      6313.20,64.85
,Nifty50 TR 1x Inv,       351.50,       351.40,       351.40,       348.50,       349.80,-1.7
,Nifty50 Value 20,      5075.80,      5070.55,      5118.30,      5066.25,      5079.60,3.8
,Nifty Mid Liq 15,      4526.85,      4534.45,      4561.05,      4496.15,      4507.60,-19.25
,Nifty Pvt Bank,     15374.50,     15370.15,     15515.35,     15337.60,     15402.65,28.15
,Nifty Quality 30,      2643.70,      2647.40,      2668.50,      2645.20,      2658.85,15.15
,Nifty GS 8 13Yr,      1695.00,      1695.33,      1696.04,      1685.36,      1685.36,-9.64
,Nifty GS 10Yr,      1601.58,      1601.90,      1603.83,      1590.27,      1591.11,-10.47
,Nifty GS 10Yr Cln,       926.33,       926.33,       927.45,       919.57,       920.07,-6.26
,Nifty GS 4 8Yr,      1796.19,      1796.55,      1796.55,      1792.09,      1792.09,-4.1
,Nifty GS 11 15Yr,      1765.36,      1765.71,      1766.49,      1752.61,      1752.70,-12.66
,Nifty GS 15YrPlus,      1892.36,      1892.76,      1892.76,      1883.63,      1883.63,-8.73
,Nifty GS Compsite,      1737.59,      1737.93,      1738.61,      1728.20,      1728.23,-9.36

,ADVANCES,548
,DECLINES,1267
,UNCHANGED,49

,Total securities that have hit their price bands today,201

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MARUTI,EQ,      9278.20,      9630.70,3.8,1486.78
,HDFC,EQ,      1908.30,      1967.60,3.11,1231.32
,BHARTIARTL,EQ,       452.70,       440.60,-2.67,1077.24
,SBIN,EQ,       313.15,       312.10,-0.34,740.1
,ICICIBANK,EQ,       360.80,       357.65,-0.87,643.18
,INFY,EQ,      1175.40,      1182.90,0.64,641.33
,VAKRANGEE,EQ,       505.00,       489.80,-3.01,600.55
,HINDPETRO,EQ,       384.15,       375.15,-2.34,535.03
,TATASTEEL,EQ,       769.15,       783.15,1.82,510.98
,TCS,EQ,      3121.05,      3198.85,2.49,501.96
,VEDL,EQ,       345.60,       345.00,-0.17,464.09
,RELIANCE,EQ,       965.90,       964.50,-0.14,438.29
,UPL,EQ,       768.95,       788.50,2.54,436.45
,JINDALSTEL,EQ,       280.20,       266.05,-5.05,431.78
,AXISBANK,EQ,       616.10,       605.55,-1.71,430.64
,LT,EQ,      1416.50,      1431.95,1.09,421.92
,HDFCBANK,EQ,      1974.95,      1999.65,1.25,410.91
,DMART,EQ,      1159.30,      1181.90,1.95,376.16
,BIOCON,EQ,       607.45,       615.45,1.32,371.9
,NEWGEN,EQ,       245.00,       252.40,3.02,360.22
,RELCAPITAL,EQ,       505.75,       504.35,-0.28,357.76
,SUNPHARMA,EQ,       579.85,       587.95,1.4,353.05
,EICHERMOT,EQ,     26519.40,     27453.65,3.52,348.22
,PNB,EQ,       180.90,       173.95,-3.84,327.04
,IBULHSGFIN,EQ,      1394.00,      1421.15,1.95,317.16

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      9630.70,      9278.20,3.8
,EICHERMOT,EQ,     27453.65,     26519.40,3.52
,HDFC,EQ,      1967.60,      1908.30,3.11
,INFRATEL,EQ,       353.40,       343.45,2.9
,UPL,EQ,       788.50,       768.95,2.54

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      2357.10,      2507.75,-6.01
,LUPIN,EQ,       912.20,       949.65,-3.94
,GAIL,EQ,       474.35,       493.75,-3.93
,BHARTIARTL,EQ,       440.60,       452.70,-2.67
,HINDPETRO,EQ,       375.15,       384.15,-2.34

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        53.80,                  7059118.85,128041
,21STCENMGM,BE,        39.10,                   522341.50,13465
,3IINFOTECH,EQ,         6.70,                 28559153.65,4203850
,3MINDIA,EQ,     18979.00,                 48862626.50,2575
,5PAISA,EQ,       310.20,                  1541000.70,4956
,63MOONS,EQ,       107.60,                 26140492.75,236271
,8KMILES,EQ,       776.95,                 85856094.90,109210
,A2ZINFRA,EQ,        38.70,                 40176244.95,1026600
,AARTIDRUGS,EQ,       662.60,                  5273706.60,7919
,AARTIIND,EQ,      1028.10,                 77474003.65,73932
,AARVEEDEN,EQ,        50.95,                  2140795.80,41376
,AARVI,SM,        98.60,                   597400.00,6000
,ABAN,EQ,       224.10,                331627188.25,1449585
,ABBOTINDIA,EQ,      5524.95,                 10318751.05,1869
,ABCAPITAL,EQ,       173.55,                352634538.65,2014297
,ABFRL,EQ,       161.65,                 28522651.25,173649
,ABGSHIP,BZ,        12.30,                    60151.30,4859
,ABMINTLTD,BE,        48.00,                    33251.60,670
,ACCELYA,EQ,      1442.20,                  3242656.35,2235
,ACE,EQ,       176.65,                180715390.20,992757
,ACEINTEG,SM,        45.00,                   673500.00,15000
,ADANIENT,EQ,       213.35,               1726243507.75,7973287
,ADANIPOWER,EQ,        37.00,                281272668.30,7520511
,ADANITRANS,EQ,       212.80,                185021323.15,859180
,ADFFOODS,EQ,       276.60,                 49787892.10,176541
,ADHUNIK,BE,         5.65,                  1173411.20,205149
,ADHUNIKIND,BE,        90.90,                   138222.55,1525
,ADLABS,BE,        63.00,                  4384539.95,69011
,ADORWELD,EQ,       510.70,                 13476013.40,25767
,ADSL,BE,        23.20,                   689815.60,29430
,ADVANIHOTR,EQ,        74.15,                  1558857.40,20656
,ADVENZYMES,EQ,       279.75,                164581375.45,580784
,AEGISCHEM,EQ,       263.75,                 86370658.10,320150
,AFL,EQ,        60.35,                  1583675.05,25550
,AGARIND,BE,       612.10,                 23743904.05,39335
,AGCNET,BE,       120.40,                  1461389.95,12091
,AGLSL,EQ,       120.00,                   887075.60,7370
,AGRITECH,EQ,       107.70,                  2239647.05,20388
,AGROPHOS,SM,        35.95,                 13415400.00,408000
,AHLEAST,EQ,       390.40,                 13981920.40,34928
,AHLUCONT,EQ,       342.00,                 24579931.10,71910
,AHLWEST,BE,       281.10,                   442703.25,1507
,AIAENG,EQ,      1590.80,                102268367.45,63866
,AICHAMP,BE,        36.00,                     5422.00,150
,AIFL,EQ,       464.10,                 42760525.55,91942
,AIRAN,SM,       241.00,                  1222000.00,5000
,AIROLAM,SM,        49.15,                  1342050.00,27000
,AISL,SM,       142.60,                  1723920.00,12000
,AJANTPHARM,EQ,      1446.75,                255764491.15,174168
,AJMERA,EQ,       317.75,                 27060271.40,84563
,AJOONI,SM,        43.90,                  1187800.00,28000
,AKASH,SM,        82.00,                    82000.00,1000
,AKSHARCHEM,EQ,       739.50,                 13210532.25,18025
,AKSHOPTFBR,BE,        39.25,                 27617020.10,688896
,AKZOINDIA,EQ,      1881.50,                 17698034.45,9435
,ALANKIT,EQ,        62.25,                 13198537.40,209770
,ALBERTDAVD,BE,       392.60,                  1517693.60,3815
,ALBK,EQ,        68.85,                303074698.05,4356467
,ALCHEM,BE,        13.50,                    83210.20,6204
,ALEMBICLTD,EQ,        63.00,                124449133.95,1918182
,ALICON,EQ,       681.10,                  5874193.20,8551
,ALKALI,EQ,        82.15,                  3462656.95,41673
,ALKEM,EQ,      2241.10,                 27592360.25,12400
,ALKYLAMINE,EQ,       753.60,                  3391167.80,4433
,ALLCARGO,EQ,       199.30,                 58519834.30,292036
,ALLSEC,EQ,       422.85,                 15105829.60,36078
,ALMONDZ,BE,        27.90,                   194743.95,6929
,ALOKTEXT,BE,         3.75,                 18415498.50,4922002
,ALPA,EQ,        41.10,                  1819917.65,43552
,ALPHAGEO,EQ,       915.80,                 17881773.45,19297
,ALPSINDUS,BE,         5.35,                   181512.40,34446
,AMARAJABAT,EQ,       807.30,                487184958.25,592111
,AMBIKCO,EQ,      1394.65,                  7116169.95,5024
,AMDIND,EQ,        41.90,                   978043.90,23108
,AMJLAND,EQ,        25.75,                   301895.85,11544
,AMRUTANJAN,EQ,       607.10,                  9419719.00,15366
,AMTEKAUTO,BE,        25.35,                  6737788.15,260585
,ANANTRAJ,EQ,        67.05,                 56436617.25,830281
,ANDHRABANK,EQ,        54.25,                163746516.30,2979148
,ANDHRACEMT,EQ,        12.05,                  4470159.15,363227
,ANDHRSUGAR,EQ,       653.75,                 25785478.45,38927
,ANGIND,BE,         6.00,                    33390.50,5454
,ANIKINDS,EQ,        41.45,                  2194206.80,50986
,ANSALAPI,EQ,        28.05,                  3086221.50,107346
,ANSALHSG,EQ,        28.25,                  1953714.85,67980
,ANTGRAPHIC,BE,         1.10,                    41161.45,37374
,APARINDS,EQ,       784.90,                 18640175.70,23612
,APCL,EQ,       232.50,                  1616756.20,6916
,APCOTEXIND,EQ,       481.00,                  1477249.95,3046
,APEX,EQ,       680.65,                116267568.65,166602
,APLAPOLLO,EQ,      2387.60,                146306600.00,61067
,APLLTD,EQ,       560.45,                 28595034.95,51001
,APOLLO,BE,       361.75,                306438588.00,827471
,APOLLOHOSP,EQ,      1138.70,                290719465.35,255731
,APOLLOTYRE,EQ,       257.60,                388324820.15,1497214
,APOLSINHOT,EQ,      1408.10,                  3082893.60,2165
,APTECHT,EQ,       334.95,                 99473464.05,291936
,ARCHIDPLY,EQ,       107.40,                 29558572.90,266942
,ARCHIES,EQ,        43.60,                 31430183.55,722034
,ARCOTECH,EQ,        49.70,                 14714186.10,294153
