,30-Jan-2018
The Nifty witnessed an intraday movement of about 87.2 points.The closing index was 0.73 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34631.47
, Traded Quantity (in Lakhs), 16364.55
, Number of Trades, 11542032
, Total Market Capitalisation (Rs. Crores), 15212069.47

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11130.40,     11120.85,     11121.10,     11033.90,     11049.65,-80.75
,Nifty IT,     13242.50,     13193.00,     13238.50,     13071.85,     13107.90,-134.6
,Nifty Next 50,     30891.20,     30852.75,     30873.40,     30664.30,     30712.40,-178.8
,Nifty Bank,     27498.45,     27466.85,     27470.25,     27242.05,     27269.05,-229.4
,Nifty MID100 Free,     21272.85,     21245.90,     21251.10,     21012.50,     21102.50,-170.35
,Nifty 500,      9819.45,      9809.95,      9810.00,      9729.15,      9743.05,-76.4
,Nifty 100,     11505.45,     11494.95,     11494.95,     11408.50,     11424.60,-80.85
,Nifty Midcap 50,      5437.35,      5426.90,      5436.00,      5381.60,      5410.60,-26.75
,Nifty Realty,       348.55,       346.95,       349.20,       344.25,       344.80,-3.75
,Nifty Infra,      3648.90,      3641.55,      3648.60,      3613.15,      3635.85,-13.05
,Nifty Energy,     14381.05,     14386.90,     14423.45,     14342.35,     14368.55,-12.5
,Nifty FMCG,     27557.35,     27503.40,     27579.40,     27313.90,     27512.10,-45.25
,Nifty MNC,     14905.75,     14891.35,     14931.30,     14814.30,     14845.65,-60.1
,Nifty Pharma,      9622.35,      9602.95,      9605.15,      9500.20,      9563.55,-58.8
,Nifty PSE,      4264.35,      4262.50,      4313.80,      4255.95,      4304.35,40
,Nifty PSU Bank,      3704.75,      3700.15,      3766.05,      3684.40,      3702.60,-2.15
,Nifty Serv Sector,     14819.70,     14805.90,     14806.35,     14652.20,     14675.40,-144.3
,India VIX,17.8875,17.8875,18.0050,16.1500,16.4150,-1.4725
,Nifty Auto,     11678.40,     11680.25,     11720.70,     11611.25,     11627.90,-50.5
,Nifty Metal,      4140.85,      4130.60,      4137.80,      4091.10,      4116.25,-24.6
,Nifty Media,      3530.80,      3537.05,      3537.05,      3474.60,      3499.05,-31.75
,Nifty SML100 Free,      9077.35,      9046.95,      9051.35,      8917.90,      8923.40,-153.95
,Nifty 200,      6048.00,      6042.45,      6042.45,      5995.65,      6005.10,-42.9
,Nifty Div Opps 50,      2759.20,      2756.80,      2758.95,      2740.85,      2754.30,-4.9
,Nifty Commodities,      4128.80,      4121.45,      4127.55,      4102.20,      4121.75,-7.05
,Nifty Consumption,      5048.55,      5046.20,      5057.00,      5018.55,      5032.20,-16.35
,Nifty Fin Service,     11331.25,     11327.80,     11328.50,     11191.80,     11208.15,-123.1
,Nifty50 Div Point,       100.29,       101.26,       101.26,       101.26,       101.26,.97
,Nifty100 Liq 15,      4767.50,      4768.95,      4769.60,      4720.50,      4729.15,-38.35
,Nifty CPSE,      2755.65,      2757.80,      2780.05,      2746.40,      2777.25,21.6
,Nifty GrowSect 15,      6607.10,      6605.65,      6619.00,      6558.10,      6587.30,-19.8
,Nifty50 PR 2x Lev,      5125.50,      5115.85,      5115.85,      5036.20,      5050.25,-75.25
,Nifty50 PR 1x Inv,       388.20,       388.60,       391.60,       388.60,       391.05,2.85
,Nifty50 TR 2x Lev,      6313.20,      6302.40,      6302.40,      6204.30,      6221.65,-91.55
,Nifty50 TR 1x Inv,       349.80,       350.10,       352.80,       350.10,       352.35,2.55
,Nifty50 Value 20,      5079.60,      5072.05,      5075.10,      5039.10,      5046.45,-33.15
,Nifty Mid Liq 15,      4507.60,      4501.40,      4515.60,      4463.95,      4492.50,-15.1
,Nifty Pvt Bank,     15402.65,     15382.80,     15385.40,     15216.20,     15230.65,-172
,Nifty Quality 30,      2658.85,      2653.30,      2657.90,      2634.05,      2642.80,-16.05
,Nifty GS 8 13Yr,      1681.95,      1681.95,      1685.05,      1679.22,      1682.12,.17
,Nifty GS 10Yr,      1586.84,      1586.84,      1589.98,      1582.90,      1585.48,-1.36
,Nifty GS 10Yr Cln,       917.58,       917.58,       919.41,       915.30,       916.79,-.79
,Nifty GS 4 8Yr,      1787.84,      1787.84,      1790.23,      1787.84,      1789.07,1.23
,Nifty GS 11 15Yr,      1747.49,      1747.49,      1752.19,      1745.31,      1748.31,.82
,Nifty GS 15YrPlus,      1883.17,      1883.17,      1883.17,      1881.28,      1881.28,-1.89
,Nifty GS Compsite,      1724.24,      1724.24,      1728.02,      1722.70,      1725.35,1.11

,ADVANCES,418
,DECLINES,1387
,UNCHANGED,49

,Total securities that have hit their price bands today,224

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AMBER,EQ,       859.00,      1245.25,44.97,1314.16
,IOC,EQ,       399.65,       416.25,4.15,1056.61
,VAKRANGEE,EQ,       489.80,       455.90,-6.92,954.1
,RCOM,EQ,        27.20,        30.05,10.48,929.06
,SBIN,EQ,       312.10,       313.55,0.46,812.67
,HDFC,EQ,      1967.60,      1937.50,-1.53,790.78
,MARUTI,EQ,      9630.70,      9571.55,-0.61,551.66
,INFY,EQ,      1182.90,      1170.65,-1.04,504.46
,ICICIBANK,EQ,       357.65,       353.25,-1.23,472.62
,TATASTEEL,EQ,       783.15,       775.85,-0.93,467.02
,BHARTIARTL,EQ,       440.60,       440.60,0,427.44
,RELIANCE,EQ,       964.50,       950.40,-1.46,401.52
,WOCKPHARMA,EQ,       909.10,       825.20,-9.23,392.28
,AXISBANK,EQ,       605.55,       593.75,-1.95,384.47
,EICHERMOT,EQ,     27453.65,     26689.40,-2.78,380.43
,TECHM,EQ,       604.80,       602.95,-0.31,379.7
,ITC,EQ,       275.65,       275.20,-0.16,358.31
,JINDALSTEL,EQ,       266.05,       268.35,0.86,356.37
,HINDPETRO,EQ,       375.15,       393.00,4.76,346.43
,KPIT,EQ,       208.40,       219.35,5.25,331.39
,GRAPHITE,EQ,       807.15,       795.05,-1.5,329.56
,BPCL,EQ,       469.80,       485.60,3.36,318.99
,HDFCBANK,EQ,      1999.65,      1995.50,-0.21,318.92
,BIOCON,EQ,       615.45,       629.95,2.36,317.26
,KOTAKBANK,EQ,      1115.10,      1088.05,-2.43,295.58

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       393.00,       375.15,4.76
,IOC,EQ,       416.25,       399.65,4.15
,BPCL,EQ,       485.60,       469.80,3.36
,COALINDIA,EQ,       305.90,       301.75,1.38
,HEROMOTOCO,EQ,      3687.85,      3641.75,1.27

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,EICHERMOT,EQ,     26689.40,     27453.65,-2.78
,INFRATEL,EQ,       344.45,       353.40,-2.53
,KOTAKBANK,EQ,      1088.05,      1115.10,-2.43
,UPL,EQ,       770.75,       788.50,-2.25
,ASIANPAINT,EQ,      1126.70,      1152.05,-2.2

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        52.25,                  5050324.40,95717
,21STCENMGM,BE,        39.50,                   581605.60,14722
,3IINFOTECH,EQ,         6.40,                 32030510.35,4989391
,3MINDIA,EQ,     18805.10,                 83960226.15,4457
,5PAISA,EQ,       299.95,                  1095327.45,3599
,63MOONS,EQ,       107.95,                 44194814.45,402701
,8KMILES,EQ,       732.45,                145154703.15,195881
,A2ZINFRA,EQ,        37.65,                 34396428.75,907930
,AARTIDRUGS,EQ,       642.20,                  6854488.05,10563
,AARTIIND,EQ,      1028.65,                 66183595.65,64123
,AARVEEDEN,EQ,        49.70,                  1538746.35,31042
,AARVI,SM,        97.00,                   586000.00,6000
,ABAN,EQ,       213.50,                304287214.30,1401679
,ABBOTINDIA,EQ,      5512.10,                  7232403.95,1314
,ABCAPITAL,EQ,       170.00,                406444658.20,2370390
,ABFRL,EQ,       160.00,                116716634.05,730637
,ABGSHIP,BZ,        12.45,                   126162.65,10197
,ABMINTLTD,BE,        45.60,                     6657.60,146
,ACCELYA,EQ,      1423.80,                  4271174.15,2998
,ACE,EQ,       169.95,                135688846.35,795289
,ACEINTEG,SM,        44.75,                  1483500.00,33000
,ADANIENT,EQ,       211.30,                905170654.15,4290228
,ADANIPOWER,EQ,        37.45,                724134001.40,19387251
,ADANITRANS,EQ,       209.15,                184755438.25,879412
,ADFFOODS,EQ,       264.00,                 47679410.55,177599
,ADHUNIK,BE,         5.55,                   430891.20,78226
,ADHUNIKIND,BE,        90.85,                   325299.70,3697
,ADLABS,BE,        61.75,                  3289359.15,52731
,ADORWELD,EQ,       502.10,                 11272742.50,22222
,ADSL,BE,        22.75,                   178292.35,7792
,ADVANIHOTR,EQ,        74.65,                  3122283.55,41529
,ADVENZYMES,EQ,       268.85,                 55515480.20,204529
,AEGISCHEM,EQ,       252.60,                 81327814.50,319576
,AFL,EQ,        58.55,                   481951.10,8146
,AGARIND,BE,       581.50,                  9962931.00,17068
,AGCNET,BE,       126.10,                   745388.45,5935
,AGLSL,EQ,       120.15,                   748391.10,6309
,AGRITECH,EQ,       100.80,                  3212016.15,31393
,AGROPHOS,SM,        35.80,                   863100.00,24000
,AHLEAST,EQ,       386.95,                  4832101.45,12358
,AHLUCONT,EQ,       351.35,                 11596491.70,33219
,AHLWEST,BE,       278.50,                   155133.25,561
,AIAENG,EQ,      1564.15,                 37684379.00,24070
,AICHAMP,BE,        37.45,                     1274.95,34
,AIFL,EQ,       461.35,                126229751.10,272876
,AIRAN,SM,       240.00,                   240000.00,1000
,AIROLAM,SM,        48.75,                  1164900.00,24000
,AISL,SM,       136.90,                  1980540.00,14400
,AJANTPHARM,EQ,      1447.95,                256107146.50,178400
,AJMERA,EQ,       310.70,                 14431555.75,46164
,AJOONI,SM,        45.00,                  1403400.00,32000
,AKASH,SM,        82.00,                   156000.00,2000
,AKSHARCHEM,EQ,       735.50,                  8524691.25,11608
,AKSHOPTFBR,BE,        39.15,                 23774650.70,604639
,AKZOINDIA,EQ,      1860.75,                  7599138.20,4077
,ALANKIT,EQ,        62.05,                 26984050.65,436499
,ALBERTDAVD,BE,       381.70,                  3218925.60,8405
,ALBK,EQ,        68.15,                198221168.40,2909297
,ALCHEM,BE,        13.20,                    60278.95,4579
,ALEMBICLTD,EQ,        64.85,                176162103.40,2763339
,ALICON,EQ,       673.70,                  3803469.45,5631
,ALKALI,EQ,        80.60,                   699326.30,8549
,ALKEM,EQ,      2233.00,                 65945285.70,29875
,ALKYLAMINE,EQ,       737.70,                  7069663.90,9550
,ALLCARGO,EQ,       195.90,                 47710357.00,242974
,ALLSEC,EQ,       414.65,                  3176131.70,7631
,ALMONDZ,BE,        26.55,                   258247.70,9644
,ALOKTEXT,BE,         3.60,                  9562937.30,2597836
,ALPA,EQ,        40.40,                  1571108.30,38781
,ALPHAGEO,EQ,       906.45,                 18494903.15,20404
,ALPSINDUS,BE,         5.30,                   262444.85,49533
,AMARAJABAT,EQ,       811.25,                401160930.05,490595
,AMBER,EQ,      1245.25,              13141557497.90,10960671
,AMBIKCO,EQ,      1376.15,                  4790403.05,3502
,AMDIND,EQ,        40.10,                  1967035.00,48972
,AMJLAND,EQ,        25.15,                   406010.60,16143
,AMRUTANJAN,EQ,       605.60,                  6725398.15,11207
,AMTEKAUTO,BE,        25.35,                  7063051.40,278582
,ANANTRAJ,EQ,        66.25,                 75230236.40,1134404
,ANDHRABANK,EQ,        53.25,                150612331.00,2810828
,ANDHRACEMT,EQ,        12.60,                  3879847.75,314874
,ANDHRSUGAR,EQ,       655.90,                 28090174.75,43123
,ANGIND,BE,         6.00,                    71558.95,11716
,ANIKINDS,EQ,        41.25,                   503177.50,12090
,ANSALAPI,EQ,        26.70,                  3641300.35,135361
,ANSALHSG,EQ,        27.60,                  2761365.75,98857
,ANTGRAPHIC,BE,         1.05,                    13289.85,12657
,APARINDS,EQ,       760.75,                 22071145.15,28939
,APCL,EQ,       228.75,                   716292.05,3097
,APCOTEXIND,EQ,       474.20,                  2441408.70,5105
,APEX,EQ,       646.65,                121963899.45,186379
,APLAPOLLO,EQ,      2255.30,                269778940.40,116683
,APLLTD,EQ,       555.25,                 97266058.15,175468
,APOLLO,BE,       343.70,                 31245547.40,90338
,APOLLOHOSP,EQ,      1140.05,                179434921.70,158413
,APOLLOTYRE,EQ,       258.45,               1077337459.35,4217855
,APOLSINHOT,EQ,      1366.05,                   580581.30,424
,APTECHT,EQ,       321.70,                113806545.50,350110
,ARCHIDPLY,EQ,       104.50,                  6156197.65,58555
,ARCHIES,EQ,        42.95,                 16786390.95,386521
