,02-Feb-2018
The Nifty witnessed an intraday movement of about 218.85 points.The closing index was 2.33 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 47472.98
, Traded Quantity (in Lakhs), 22355.48
, Number of Trades, 15763261
, Total Market Capitalisation (Rs. Crores), 14681932.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11016.90,     10938.20,     10954.95,     10736.10,     10760.60,-256.3
,Nifty IT,     12964.60,     12872.50,     13130.25,     12846.20,     12983.60,19
,Nifty Next 50,     30524.85,     30253.50,     30299.85,     29454.20,     29656.45,-868.4
,Nifty Bank,     27220.70,     27017.40,     27017.55,     26364.05,     26451.15,-769.55
,Nifty MID100 Free,     20657.40,     20413.05,     20413.05,     19660.45,     19760.35,-897.05
,Nifty 500,      9687.05,      9606.10,      9611.35,      9392.90,      9409.80,-277.25
,Nifty 100,     11385.15,     11300.85,     11316.30,     11087.80,     11111.20,-273.95
,Nifty Midcap 50,      5350.05,      5290.80,      5290.85,      5029.20,      5065.85,-284.2
,Nifty Realty,       341.90,       337.75,       337.90,       313.20,       320.80,-21.1
,Nifty Infra,      3648.05,      3622.55,      3622.65,      3517.30,      3528.15,-119.9
,Nifty Energy,     14263.90,     14136.15,     14193.15,     13723.65,     13775.30,-488.6
,Nifty FMCG,     27351.90,     27164.95,     27735.85,     26871.10,     27180.10,-171.8
,Nifty MNC,     14752.00,     14634.00,     14672.65,     14380.45,     14429.40,-322.6
,Nifty Pharma,      9158.70,      9113.95,      9305.60,      9014.00,      9042.75,-115.95
,Nifty PSE,      4251.30,      4213.40,      4214.35,      4110.20,      4121.75,-129.55
,Nifty PSU Bank,      3597.10,      3553.05,      3595.15,      3473.35,      3492.85,-104.25
,Nifty Serv Sector,     14654.05,     14535.85,     14536.75,     14282.70,     14316.25,-337.8
,India VIX,14.1075,14.1075,15.4900,11.4975,15.2500,1.1425
,Nifty Auto,     11693.60,     11649.30,     11665.20,     11278.85,     11301.95,-391.65
,Nifty Metal,      4071.40,      4031.60,      4077.00,      3915.45,      3948.30,-123.1
,Nifty Media,      3469.30,      3435.30,      3440.45,      3326.15,      3346.85,-122.45
,Nifty SML100 Free,      8783.30,      8650.70,      8651.05,      8120.95,      8251.00,-532.3
,Nifty 200,      5970.25,      5922.25,      5927.35,      5797.80,      5809.95,-160.3
,Nifty Div Opps 50,      2737.10,      2713.15,      2738.60,      2680.55,      2685.30,-51.8
,Nifty Commodities,      4090.70,      4055.80,      4057.90,      3946.70,      3960.60,-130.1
,Nifty Consumption,      5017.05,      4985.15,      5000.25,      4882.25,      4893.40,-123.65
,Nifty Fin Service,     11231.75,     11143.75,     11145.55,     10863.05,     10886.90,-344.85
,Nifty50 Div Point,       104.34,       104.34,       104.34,       104.34,       104.34,0
,Nifty100 Liq 15,      4697.50,      4650.90,      4659.40,      4535.10,      4551.70,-145.8
,Nifty CPSE,      2720.50,      2699.30,      2699.30,      2635.40,      2644.30,-76.2
,Nifty GrowSect 15,      6568.05,      6533.80,      6579.80,      6432.15,      6444.45,-123.6
,Nifty50 PR 2x Lev,      5018.75,      4946.20,      4961.30,      4762.20,      4784.40,-234.35
,Nifty50 PR 1x Inv,       392.35,       395.20,       402.40,       394.65,       401.55,9.2
,Nifty50 TR 2x Lev,      6186.25,      6096.85,      6115.50,      5870.05,      5897.40,-288.85
,Nifty50 TR 1x Inv,       353.40,       356.00,       362.45,       355.45,       361.70,8.3
,Nifty50 Value 20,      4984.00,      4939.90,      4969.10,      4867.05,      4875.90,-108.1
,Nifty Mid Liq 15,      4423.65,      4373.75,      4374.45,      4206.15,      4231.35,-192.3
,Nifty Pvt Bank,     15275.35,     15155.30,     15155.45,     14766.20,     14812.70,-462.65
,Nifty Quality 30,      2593.70,      2572.00,      2602.00,      2553.10,      2560.60,-33.1
,Nifty GS 8 13Yr,      1663.55,      1663.88,      1682.25,      1658.64,      1666.81,3.26
,Nifty GS 10Yr,      1569.70,      1570.02,      1582.89,      1562.00,      1576.13,6.43
,Nifty GS 10Yr Cln,       907.25,       907.25,       914.73,       902.60,       910.81,3.56
,Nifty GS 4 8Yr,      1778.55,      1778.91,      1781.94,      1772.83,      1780.13,1.58
,Nifty GS 11 15Yr,      1727.50,      1727.85,      1737.14,      1721.65,      1732.23,4.73
,Nifty GS 15YrPlus,      1863.77,      1864.17,      1864.17,      1858.13,      1858.13,-5.64
,Nifty GS Compsite,      1709.28,      1709.63,      1720.50,      1703.07,      1712.29,3.01

,ADVANCES,135
,DECLINES,1716
,UNCHANGED,31

,Total securities that have hit their price bands today,399

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PCJEWELLER,EQ,       484.30,       364.25,-24.79,4385.72
,RELIANCE,EQ,       943.85,       904.35,-4.18,1214.96
,ITC,EQ,       275.30,       275.35,0.02,974.47
,MARUTI,EQ,      9401.85,      8990.60,-4.37,896.44
,SBIN,EQ,       306.05,       297.35,-2.84,698.4
,TITAN,EQ,       831.00,       822.20,-1.06,661.76
,HDFC,EQ,      1967.55,      1903.85,-3.24,625.41
,SUNPHARMA,EQ,       554.30,       551.20,-0.56,604.73
,JUSTDIAL,EQ,       512.15,       449.15,-12.3,588.13
,INFY,EQ,      1144.60,      1143.25,-0.12,586.44
,ICICIBANK,EQ,       346.20,       335.10,-3.21,572.46
,YESBANK,EQ,       359.90,       349.05,-3.01,570.43
,HINDALCO,EQ,       256.25,       249.85,-2.5,547.94
,LT,EQ,      1455.60,      1415.45,-2.76,516.23
,JISLJALEQS,EQ,       126.70,       116.90,-7.73,484.48
,ASHOKLEY,EQ,       123.35,       122.30,-0.85,471.21
,TATASTEEL,EQ,       696.75,       670.45,-3.77,442.54
,BAJAJ-AUTO,EQ,      3412.95,      3241.30,-5.03,421.28
,EICHERMOT,EQ,     28047.35,     27811.75,-0.84,420.13
,DHFL,EQ,       568.35,       519.45,-8.6,413.66
,VEDL,EQ,       341.45,       334.30,-2.09,403.32
,JETAIRWAYS,EQ,       769.15,       685.60,-10.86,402.75
,TATAMOTORS,EQ,       393.65,       383.75,-2.51,391.26
,TCS,EQ,      3138.60,      3153.65,0.48,389.02
,INDUSINDBK,EQ,      1795.45,      1761.30,-1.9,386.22

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       619.45,       611.05,1.37
,HCLTECH,EQ,       990.90,       984.90,.61
,TCS,EQ,      3153.65,      3138.60,.48
,HINDUNILVR,EQ,      1372.20,      1371.25,.07
,ITC,EQ,       275.35,       275.30,.02

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJFINANCE,EQ,      1628.90,      1729.45,-5.81
,BAJAJ-AUTO,EQ,      3241.30,      3412.95,-5.03
,ULTRACEMCO,EQ,      4179.45,      4391.45,-4.83
,AXISBANK,EQ,       564.90,       592.80,-4.71
,HINDPETRO,EQ,       374.50,       392.35,-4.55

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        48.55,                  8007351.65,160014
,21STCENMGM,BE,        40.00,                   105243.75,2646
,3IINFOTECH,EQ,         5.65,                 29732735.90,5203608
,3MINDIA,EQ,     18317.50,                403080611.10,21196
,5PAISA,EQ,       289.50,                  2509765.65,8449
,63MOONS,EQ,        97.00,                 44940060.35,457452
,8KMILES,EQ,       656.60,                141751406.50,213274
,A2ZINFRA,EQ,        35.30,                 68408802.20,1920940
,AARTIDRUGS,EQ,       589.95,                  6874128.00,11400
,AARTIIND,EQ,      1090.45,                190928549.05,175132
,AARVEEDEN,EQ,        46.00,                  1560368.75,33913
,AARVI,SM,        92.00,                   705200.00,8000
,ABAN,EQ,       193.20,                352646578.50,1782035
,ABBOTINDIA,EQ,      5534.95,                 13752836.85,2491
,ABCAPITAL,EQ,       167.85,                518221291.45,3066443
,ABFRL,EQ,       156.55,                265571883.25,1673354
,ABGSHIP,BZ,        11.65,                   202151.00,17367
,ABMINTLTD,BE,        39.15,                    34694.65,886
,ACCELYA,EQ,      1391.25,                 10602849.60,7552
,ACE,EQ,       158.85,                225495727.65,1370503
,ACEINTEG,SM,        44.50,                   133500.00,3000
,ADANIENT,EQ,       197.20,               1407071277.60,6946208
,ADANIPOWER,EQ,        32.70,                596207212.35,17433690
,ADANITRANS,EQ,       193.80,                129272321.30,647152
,ADFFOODS,EQ,       257.35,                 41135821.50,157486
,ADHUNIK,BE,         5.20,                   275191.00,52785
,ADHUNIKIND,BE,        83.00,                    91632.00,1104
,ADLABS,BE,        55.95,                 11179036.30,196474
,ADORWELD,EQ,       456.75,                 17716453.65,38268
,ADSL,BE,        21.60,                   465855.95,21547
,ADVANIHOTR,EQ,        68.35,                  4907983.85,70583
,ADVENZYMES,EQ,       249.80,                 60629981.70,240071
,AEGISCHEM,EQ,       268.05,                120506164.85,445809
,AFL,EQ,        55.15,                  1251281.50,22686
,AGARIND,BE,       533.15,                   170352.35,318
,AGCNET,BE,       113.05,                   488635.15,4310
,AGLSL,EQ,       116.65,                  1437226.80,12284
,AGRITECH,EQ,       122.70,                 40850157.60,332792
,AGROPHOS,SM,        37.05,                 11181600.00,324000
,AHLEAST,EQ,       310.90,                  9181009.65,28737
,AHLUCONT,EQ,       333.50,                 35432853.50,102656
,AHLWEST,BE,       263.95,                    97664.60,375
,AIAENG,EQ,      1428.90,                174465917.60,117175
,AIFL,EQ,       449.30,                 81273867.65,180492
,AIRAN,SM,       221.50,                  1337350.00,6000
,AIROLAM,SM,        47.10,                  1554150.00,33000
,AISL,SM,       124.50,                  7983600.00,62400
,AJANTPHARM,EQ,      1390.00,                345159641.15,247965
,AJMERA,EQ,       298.30,                 61187453.15,200771
,AJOONI,SM,        42.00,                   679200.00,16000
,AKSHARCHEM,EQ,       688.70,                 10111231.05,14512
,AKSHOPTFBR,BE,        38.25,                 49501205.45,1293033
,AKZOINDIA,EQ,      1809.85,                 54315656.65,30042
,ALANKIT,EQ,        62.90,                 20381012.65,322039
,ALBERTDAVD,BE,       358.20,                  1504640.70,4207
,ALBK,EQ,        61.75,                204763170.85,3261370
,ALCHEM,BE,        12.75,                   144492.70,11294
,ALEMBICLTD,EQ,        60.75,                101435819.80,1658600
,ALICON,EQ,       650.30,                  7091101.10,10738
,ALKALI,EQ,        75.55,                  2361573.35,31273
,ALKEM,EQ,      2195.00,                 30106515.90,13765
,ALKYLAMINE,EQ,       670.05,                  9165049.45,13560
,ALLCARGO,EQ,       189.80,                 88552969.90,469325
,ALLSEC,EQ,       400.70,                  8898532.30,21584
,ALMONDZ,BE,        24.85,                   520892.80,20845
,ALOKTEXT,BE,         3.40,                  6112984.55,1793142
,ALPA,EQ,        37.65,                  2055032.40,55091
,ALPHAGEO,EQ,       867.65,                 27906437.15,31952
,ALPSINDUS,BE,         4.90,                   275403.55,56193
,AMARAJABAT,EQ,       767.90,                462807710.05,594397
,AMBER,EQ,      1226.15,                747387280.65,604175
,AMBIKCO,EQ,      1306.80,                  8252642.65,6272
,AMDIND,EQ,        38.50,                  1506327.25,39214
,AMJLAND,EQ,        24.75,                   756688.15,30303
,AMRUTANJAN,EQ,       581.70,                  5555835.00,9580
,AMTEKAUTO,BE,        23.55,                 10158167.45,428630
,ANANTRAJ,EQ,        58.80,                130118795.10,2130465
,ANDHRABANK,EQ,        49.15,                244349230.10,4897242
,ANDHRACEMT,EQ,        12.45,                  3122184.85,248413
,ANDHRSUGAR,EQ,       615.40,                 41527891.90,68792
,ANGIND,BE,         5.85,                    65665.85,11208
,ANIKINDS,EQ,        38.00,                  1000817.90,25902
,ANSALAPI,EQ,        24.75,                  3265551.25,130715
,ANSALHSG,EQ,        24.55,                  4025557.10,161346
,ANTGRAPHIC,BE,         1.00,                    42305.00,42305
,APARINDS,EQ,       728.05,                 17081980.05,23371
,APCL,EQ,       210.65,                  4458416.15,21071
,APCOTEXIND,EQ,       461.60,                  4708883.20,10084
,APEX,EQ,       691.65,                184424454.65,267752
,APLAPOLLO,EQ,      2124.10,                 51595000.95,24910
,APLLTD,EQ,       535.20,                 49325170.25,91798
,APOLLO,BE,       322.80,                 31135043.55,95949
,APOLLOHOSP,EQ,      1156.95,                512128761.70,435779
,APOLLOTYRE,EQ,       249.50,               1418500732.25,5641354
,APOLSINHOT,EQ,      1360.80,                  1154855.25,859
,APTECHT,EQ,       271.85,                239390078.70,872965
,ARCHIDPLY,EQ,        97.30,                  9406588.45,96637
,ARCHIES,EQ,        37.30,                 13957502.35,366844
,ARCOTECH,EQ,        44.40,                 19042939.35,423914
,ARIES,BE,       211.90,                  6891173.10,32144
,ARIHANT,BE,        51.50,                     2575.00,50
