,05-Feb-2018
The Nifty witnessed an intraday movement of about 115.95 points.The closing index was 0.87 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36898.47
, Traded Quantity (in Lakhs), 17879.04
, Number of Trades, 13400141
, Total Market Capitalisation (Rs. Crores), 14610513.37

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10760.60,     10604.30,     10702.75,     10586.80,     10666.55,-94.05
,NIFTY50 EQL Wgt,     12855.75,     12671.75,     12836.80,     11760.20,     11760.20,-1095.55
,NIFTY100 EQL Wgt,     14209.75,     14008.05,     15042.80,     13917.20,     15042.80,833.05
,NIFTY100 LowVol30,      8248.75,      8164.35,     10179.05,      8131.80,     10179.05,1930.3
,NIFTY Alpha 50,     12972.40,     12520.40,     13066.20,     11541.75,     11541.75,-1430.65
,Nifty IT,     12983.60,     12878.70,     13104.80,     12845.00,     12936.90,-46.7
,Nifty Next 50,     29656.45,     29250.20,     29650.00,     28954.40,     29559.05,-97.4
,Nifty Bank,     26451.15,     25968.15,     26215.10,     25917.55,     26098.75,-352.4
,Nifty MID100 Free,     19760.35,     19340.70,     19781.90,     19145.85,     19721.65,-38.7
,Nifty 500,      9409.80,      9254.55,      9367.55,      9221.05,      9344.40,-65.4
,Nifty 100,     11111.20,     10951.25,     11060.45,     10929.40,     11023.85,-87.35
,Nifty Midcap 50,      5065.85,      4951.45,      5104.60,      4899.80,      5084.20,18.35
,Nifty Realty,       320.80,       311.80,       320.70,       307.20,       319.35,-1.45
,Nifty Infra,      3528.15,      3457.35,      3529.05,      3454.40,      3509.15,-19
,Nifty Energy,     13775.30,     13613.15,     13863.15,     13525.75,     13766.40,-8.9
,Nifty FMCG,     27180.10,     26898.15,     27281.10,     26802.20,     27191.70,11.6
,Nifty MNC,     14429.40,     14192.80,     14451.00,     14061.85,     14402.10,-27.3
,Nifty Pharma,      9042.75,      8910.90,      9095.90,      8859.65,      9069.50,26.75
,Nifty PSE,      4121.75,      4079.75,      4156.35,      4044.30,      4133.75,12
,Nifty PSU Bank,      3492.85,      3429.85,      3540.55,      3400.65,      3512.90,20.05
,Nifty Serv Sector,     14316.25,     14091.75,     14195.50,     14083.75,     14134.60,-181.65
,India VIX,15.2500,15.2500,18.3350,15.0800,16.0525,0.8025
,Nifty Auto,     11301.95,     11149.75,     11426.65,     11053.80,     11386.40,84.45
,Nifty Metal,      3948.30,      3874.95,      3960.30,      3793.30,      3926.55,-21.75
,Nifty Media,      3346.85,      3288.35,      3353.80,      3252.30,      3345.85,-1
,Nifty SML100 Free,      8251.00,      8028.30,      8350.95,      7972.60,      8313.65,62.65
,Nifty 200,      5809.95,      5720.35,      5783.20,      5703.80,      5767.40,-42.55
,Nifty Div Opps 50,      2685.30,      2652.05,      2686.70,      2643.80,      2680.30,-5
,Nifty Commodities,      3960.60,      3904.40,      3949.75,      3852.40,      3930.00,-30.6
,Nifty Consumption,      4893.40,      4834.60,      4901.05,      4797.80,      4888.80,-4.6
,Nifty Fin Service,     10886.90,     10697.85,     10741.50,     10643.50,     10685.15,-201.75
,Nifty50 Div Point,       104.34,       104.34,       104.34,       104.34,       104.34,0
,Nifty100 Liq 15,      4551.70,      4466.00,      4548.80,      4409.30,      4519.25,-32.45
,Nifty CPSE,      2644.30,      2635.25,      2656.75,      2595.45,      2635.90,-8.4
,Nifty GrowSect 15,      6444.45,      6374.65,      6438.10,      6333.40,      6423.70,-20.75
,Nifty50 PR 2x Lev,      4784.40,      4643.05,      4730.25,      4628.80,      4698.35,-86.05
,Nifty50 PR 1x Inv,       401.55,       407.55,       408.15,       403.90,       405.25,3.7
,Nifty50 TR 2x Lev,      5897.40,      5723.15,      5830.65,      5705.60,      5791.40,-106
,Nifty50 TR 1x Inv,       361.70,       367.10,       367.65,       363.80,       365.00,3.3
,Nifty50 Value 20,      4875.90,      4813.00,      4868.05,      4802.05,      4848.30,-27.6
,Nifty Mid Liq 15,      4231.35,      4137.50,      4270.85,      4083.95,      4253.50,22.15
,Nifty Pvt Bank,     14812.70,     14534.55,     14649.95,     14505.85,     14582.40,-230.3
,Nifty Quality 30,      2560.60,      2531.05,      2559.45,      2524.00,      2554.05,-6.55
,Nifty GS 8 13Yr,      1668.17,      1668.51,      1668.55,      1665.11,      1667.38,-.79
,Nifty GS 10Yr,      1575.32,      1575.64,      1575.64,      1569.36,      1573.07,-2.25
,Nifty GS 10Yr Cln,       909.96,       909.96,       909.96,       906.32,       908.47,-1.49
,Nifty GS 4 8Yr,      1780.72,      1781.08,      1781.56,      1779.56,      1780.44,-.28
,Nifty GS 11 15Yr,      1732.29,      1732.64,      1732.64,      1728.99,      1730.72,-1.57
,Nifty GS 15YrPlus,      1858.49,      1858.89,      1859.40,      1856.30,      1856.30,-2.19
,Nifty GS Compsite,      1713.09,      1713.43,      1713.43,      1710.17,      1712.16,-.93

,ADVANCES,684
,DECLINES,1160
,UNCHANGED,49

,Total securities that have hit their price bands today,370

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PCJEWELLER,EQ,       364.25,       423.70,16.32,2174.55
,HDFC,EQ,      1903.85,      1823.35,-4.23,1115.88
,RELIANCE,EQ,       904.35,       902.15,-0.24,791.4
,BHARTIARTL,EQ,       422.35,       440.20,4.23,594.81
,MARUTI,EQ,      8990.60,      9080.60,1,583.95
,ICICIBANK,EQ,       335.10,       329.70,-1.61,572.84
,INFY,EQ,      1143.25,      1138.20,-0.44,563.67
,SBIN,EQ,       297.35,       298.05,0.24,559.97
,ITC,EQ,       275.35,       279.25,1.42,548.35
,AXISBANK,EQ,       564.90,       566.25,0.24,520.19
,YESBANK,EQ,       349.05,       343.60,-1.56,457.38
,TCS,EQ,      3153.65,      3103.20,-1.6,430.04
,LT,EQ,      1415.45,      1363.65,-3.66,420.68
,VEDL,EQ,       334.30,       328.85,-1.63,401.31
,TATAMOTORS,EQ,       383.75,       395.80,3.14,387.31
,HDFCBANK,EQ,      1948.00,      1913.85,-1.75,379.84
,DHFL,EQ,       519.45,       509.80,-1.86,364.41
,JINDALSTEL,EQ,       250.55,       259.55,3.59,350.93
,BOMDYEING,EQ,       191.75,       222.55,16.06,349.48
,PNB,EQ,       161.85,       163.70,1.14,335.61
,TATASTEEL,EQ,       670.45,       664.05,-0.95,311.37
,ASHOKLEY,EQ,       122.30,       129.35,5.76,288.44
,BEL,EQ,       151.85,       150.00,-1.22,286.98
,INDUSINDBK,EQ,      1761.30,      1713.00,-2.74,273.85
,IOC,EQ,       408.65,       409.00,0.09,268.44

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       440.20,       422.35,4.23
,TATAMOTORS,EQ,       395.80,       383.75,3.14
,HINDPETRO,EQ,       383.85,       374.50,2.5
,BOSCHLTD,EQ,     19951.55,     19474.40,2.45
,POWERGRID,EQ,       196.50,       192.90,1.87

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,      1823.35,      1903.85,-4.23
,LT,EQ,      1363.65,      1415.45,-3.66
,INDUSINDBK,EQ,      1713.00,      1761.30,-2.74
,ADANIPORTS,EQ,       408.20,       417.95,-2.33
,KOTAKBANK,EQ,      1062.25,      1085.95,-2.18

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        48.00,                  7574750.80,162412
,21STCENMGM,BE,        39.60,                     7920.00,200
,3IINFOTECH,EQ,         5.90,                 31885851.25,5600089
,3MINDIA,EQ,     18943.10,                117490382.20,6206
,5PAISA,EQ,       287.70,                  2502643.10,8914
,63MOONS,EQ,        94.70,                 35328375.45,374767
,8KMILES,EQ,       643.85,                 93681676.25,146478
,A2ZINFRA,EQ,        34.90,                 53684945.00,1557520
,AARTIDRUGS,EQ,       591.65,                  6849205.35,11731
,AARTIIND,EQ,      1105.30,                 38354648.05,35630
,AARVEEDEN,EQ,        45.10,                  1444672.05,33060
,AARVI,SM,        93.00,                   714000.00,8000
,ABAN,EQ,       191.10,                230811122.50,1212397
,ABBOTINDIA,EQ,      5394.30,                 22357517.65,4108
,ABCAPITAL,EQ,       165.10,                527087236.35,3205448
,ABFRL,EQ,       154.20,                161794289.20,1060338
,ABGSHIP,BZ,        11.20,                   229297.40,20467
,ABMINTLTD,BE,        37.20,                    10344.05,278
,ACCELYA,EQ,      1361.65,                  7510489.50,5531
,ACCORD,SM,        47.50,                    95000.00,2000
,ACE,EQ,       159.00,                159291266.95,1026498
,ACEINTEG,SM,        44.50,                   133500.00,3000
,ADANIENT,EQ,       199.45,               1255290955.15,6443758
,ADANIPOWER,EQ,        32.70,                495934289.55,15384812
,ADANITRANS,EQ,       194.40,                152328862.85,795688
,ADFFOODS,EQ,       258.80,                 42510296.15,169082
,ADHUNIK,BE,         4.95,                   355794.45,71671
,ADHUNIKIND,BE,        78.85,                    84617.45,1037
,ADLABS,BE,        58.50,                  4449218.75,78343
,ADORWELD,EQ,       433.80,                 10954065.80,25209
,ADSL,BE,        21.25,                   401460.30,19060
,ADVANIHOTR,EQ,        66.75,                  1355521.70,20279
,ADVENZYMES,EQ,       246.70,                170133894.15,693786
,AEGISCHEM,EQ,       255.25,                 92993214.70,370931
,AFL,EQ,        53.05,                   708159.60,13312
,AGARIND,BE,       506.50,                   108391.00,214
,AGCNET,BE,       110.85,                   515903.15,4736
,AGLSL,EQ,       113.65,                   999620.35,8948
,AGRITECH,EQ,       121.20,                 12493725.85,103209
,AGROPHOS,SM,        35.90,                  2991300.00,84000
,AHLEAST,EQ,       295.95,                  8906230.90,29816
,AHLUCONT,EQ,       320.80,                  7104036.95,21493
,AHLWEST,BE,       264.80,                   443001.50,1676
,AIAENG,EQ,      1450.55,                 91152784.60,63534
,AIFL,EQ,       451.55,                103294025.90,229686
,AIRAN,SM,       228.95,                  1130950.00,5000
,AIROLAM,SM,        47.00,                   559200.00,12000
,AISL,SM,       130.40,                  5447340.00,44400
,AJANTPHARM,EQ,      1309.55,                439377510.95,332813
,AJMERA,EQ,       301.80,                 24181178.10,81407
,AKSHARCHEM,EQ,       704.90,                 15729811.15,22373
