,08-Feb-2018
The Nifty witnessed an intraday movement of about 158.25 points.The closing index was 0.96 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34882.63
, Traded Quantity (in Lakhs), 15848.08
, Number of Trades, 12561289
, Total Market Capitalisation (Rs. Crores), 14617918.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10476.70,     10518.50,     10637.80,     10479.55,     10576.85,100.15
,NIFTY50 EQL Wgt,     12587.20,     12632.05,     12768.55,     12593.55,     12716.15,128.95
,NIFTY100 EQL Wgt,     13991.50,     14044.15,     14221.50,     14016.35,     14171.60,180.1
,NIFTY100 LowVol30,      8052.95,      8099.40,      8162.15,      8069.90,      8142.35,89.4
,NIFTY Alpha 50,     12952.10,     13037.95,     13297.15,     13019.30,     13264.90,312.8
,Nifty IT,     12450.05,     12556.80,     12764.75,     12468.50,     12588.35,138.3
,Nifty Next 50,     29351.15,     29453.25,     29919.00,     29429.60,     29827.35,476.2
,Nifty Bank,     25670.00,     25759.85,     26126.40,     25637.40,     25920.65,250.65
,Nifty MID100 Free,     19480.20,     19566.70,     19896.80,     19527.30,     19827.60,347.4
,Nifty 500,      9206.35,      9246.05,      9365.75,      9220.35,      9322.60,116.25
,Nifty 100,     10844.70,     10887.10,     11017.75,     10851.85,     10958.95,114.25
,Nifty Midcap 50,      5041.85,      5067.05,      5179.65,      5059.50,      5171.95,130.1
,Nifty Realty,       318.65,       321.40,       329.80,       320.35,       326.85,8.2
,Nifty Infra,      3454.45,      3472.70,      3502.05,      3452.85,      3476.45,22
,Nifty Energy,     13707.25,     13721.65,     13827.00,     13689.40,     13727.15,19.9
,Nifty FMCG,     26733.55,     26856.85,     26944.85,     26678.95,     26786.60,53.05
,Nifty MNC,     14069.15,     14131.15,     14271.55,     14013.75,     14235.70,166.55
,Nifty Pharma,      8935.80,      8949.00,      9282.20,      8927.85,      9262.45,326.65
,Nifty PSE,      4142.10,      4143.30,      4161.65,      4126.15,      4130.15,-11.95
,Nifty PSU Bank,      3432.75,      3434.75,      3549.75,      3432.60,      3523.35,90.6
,Nifty Serv Sector,     13863.95,     13926.15,     14117.40,     13880.70,     14003.40,139.45
,India VIX,19.4650,19.4650,24.0350,15.2625,17.7725,-1.6925
,Nifty Auto,     11214.75,     11280.95,     11384.10,     11240.95,     11344.20,129.45
,Nifty Metal,      3879.75,      3872.95,      3966.75,      3844.70,      3936.45,56.7
,Nifty Media,      3344.55,      3353.00,      3427.10,      3334.45,      3411.65,67.1
,Nifty SML100 Free,      8269.05,      8315.35,      8494.80,      8301.80,      8467.15,198.1
,Nifty 200,      5675.05,      5697.75,      5769.80,      5680.80,      5741.35,66.3
,Nifty Div Opps 50,      2628.30,      2641.00,      2669.70,      2630.80,      2651.60,23.3
,Nifty Commodities,      3893.25,      3891.30,      3943.20,      3880.70,      3934.45,41.2
,Nifty Consumption,      4803.05,      4828.95,      4860.30,      4808.30,      4844.10,41.05
,Nifty Fin Service,     10539.95,     10569.15,     10735.05,     10542.15,     10656.90,116.95
,Nifty50 Div Point,       104.89,       111.31,       111.31,       111.31,       111.31,6.42
,Nifty100 Liq 15,      4452.60,      4445.35,      4534.00,      4428.15,      4498.00,45.4
,Nifty CPSE,      2647.75,      2636.00,      2646.60,      2624.45,      2628.85,-18.9
,Nifty GrowSect 15,      6324.40,      6360.05,      6394.60,      6332.25,      6368.30,43.9
,Nifty50 PR 2x Lev,      4529.95,      4565.35,      4668.35,      4532.05,      4615.80,85.85
,Nifty50 PR 1x Inv,       412.60,       411.05,       412.55,       406.35,       408.75,-3.85
,Nifty50 TR 2x Lev,      5584.40,      5634.85,      5761.85,      5593.85,      5697.05,112.65
,Nifty50 TR 1x Inv,       371.65,       370.00,       371.35,       365.75,       367.90,-3.75
,Nifty50 Value 20,      4769.55,      4794.55,      4863.40,      4774.85,      4819.75,50.2
,Nifty Mid Liq 15,      4210.90,      4231.50,      4338.90,      4223.20,      4333.25,122.35
,Nifty Pvt Bank,     14369.65,     14420.45,     14609.55,     14343.95,     14485.55,115.9
,Nifty Quality 30,      2498.65,      2512.05,      2540.30,      2502.25,      2529.10,30.45
,Nifty GS 8 13Yr,      1675.43,      1675.77,      1680.95,      1675.77,      1678.81,3.38
,Nifty GS 10Yr,      1579.67,      1579.99,      1586.43,      1579.99,      1583.93,4.26
,Nifty GS 10Yr Cln,       911.93,       911.93,       915.67,       911.93,       914.22,2.29
,Nifty GS 4 8Yr,      1786.01,      1786.37,      1791.22,      1785.96,      1790.07,4.06
,Nifty GS 11 15Yr,      1740.34,      1740.69,      1745.93,      1740.69,      1743.53,3.19
,Nifty GS 15YrPlus,      1859.33,      1859.73,      1861.41,      1859.73,      1861.41,2.08
,Nifty GS Compsite,      1719.12,      1719.46,      1725.21,      1719.46,      1723.94,4.82

,ADVANCES,1497
,DECLINES,301
,UNCHANGED,52

,Total securities that have hit their price bands today,311

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,GALAXYSURF,EQ,      1480.00,      1700.45,14.9,1392.07
,SUNPHARMA,EQ,       549.50,       584.10,6.3,775.1
,HEG,EQ,      2653.85,      2705.85,1.96,619.74
,RELIANCE,EQ,       894.40,       904.55,1.13,570.87
,SBIN,EQ,       292.80,       301.40,2.94,565.34
,VEDL,EQ,       315.70,       314.45,-0.4,517.54
,CIPLA,EQ,       569.25,       612.65,7.62,505.44
,INFY,EQ,      1109.05,      1134.25,2.27,501.36
,TATAMOTORS,EQ,       377.80,       374.85,-0.78,468.13
,JINDALSTEL,EQ,       252.65,       266.30,5.4,420.01
,MARUTI,EQ,      8921.80,      9030.70,1.22,419.87
,TCS,EQ,      2955.05,      2974.20,0.65,413.27
,PCJEWELLER,EQ,       380.10,       382.15,0.54,412.81
,TATASTEEL,EQ,       661.80,       671.45,1.46,388.97
,JETAIRWAYS,EQ,       747.00,       776.55,3.96,379.96
,POWERGRID,EQ,       195.50,       193.20,-1.18,364.65
,ICICIBANK,EQ,       332.55,       333.85,0.39,344.46
,HDFC,EQ,      1785.35,      1811.80,1.48,338.78
,AXISBANK,EQ,       559.35,       568.45,1.63,331.57
,ASHOKLEY,EQ,       132.90,       134.15,0.94,329.38
,IOC,EQ,       404.75,       385.60,-4.73,299.93
,BPCL,EQ,       476.25,       478.20,0.41,294.25
,RCOM,EQ,        25.15,        26.55,5.57,292.23
,JUSTDIAL,EQ,       432.05,       455.70,5.47,279.58
,BHARATFORG,EQ,       706.30,       761.20,7.77,276.14

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       612.65,       569.25,7.62
,SUNPHARMA,EQ,       584.10,       549.50,6.3
,AMBUJACEM,EQ,       261.90,       248.30,5.48
,DRREDDY,EQ,      2180.45,      2111.40,3.27
,IBULHSGFIN,EQ,      1314.40,      1274.10,3.16

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IOC,EQ,       385.60,       404.75,-4.73
,AUROPHARMA,EQ,       601.85,       616.10,-2.31
,POWERGRID,EQ,       193.20,       195.50,-1.18
,NTPC,EQ,       163.70,       165.45,-1.06
,TATAMOTORS,EQ,       374.85,       377.80,-0.78

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        52.00,                  5501709.25,106310
,21STCENMGM,BE,        38.85,                    29492.55,763
,3IINFOTECH,EQ,         6.35,                 24071176.45,3747106
,3MINDIA,EQ,     18515.10,                 32021147.90,1717
,5PAISA,EQ,       284.75,                  1397559.10,4904
,63MOONS,EQ,       103.10,                 85553312.15,825761
,8KMILES,EQ,       760.15,                413692295.05,542689
,A2ZINFRA,EQ,        35.25,                 28428582.80,805471
,AARTIDRUGS,EQ,       612.55,                  7494869.50,12386
,AARTIIND,EQ,      1137.35,                 30798632.65,27145
,AARVEEDEN,EQ,        47.80,                  1663210.55,36044
,AARVI,SM,        88.50,                   177000.00,2000
,ABAN,EQ,       188.85,                239367679.45,1259854
,ABBOTINDIA,EQ,      5463.25,                  9023961.90,1650
,ABCAPITAL,EQ,       168.25,                353742769.95,2103999
,ABFRL,EQ,       154.05,                127105774.45,823122
,ABGSHIP,BZ,        11.40,                    58769.85,5132
,ABMINTLTD,BE,        38.95,                      116.85,3
,ACCELYA,EQ,      1380.45,                  5404221.60,3914
,ACE,EQ,       168.50,                182782226.90,1104570
,ADANIENT,EQ,       204.50,                898890092.25,4439467
,ADANIPOWER,EQ,        32.80,                307165294.00,9392734
,ADANITRANS,EQ,       197.55,                161557730.45,819438
,ADFFOODS,EQ,       252.70,                 53642507.40,212645
,ADHUNIK,EQ,         5.15,                   376222.35,75002
,ADHUNIKIND,EQ,        88.40,                  2614801.75,29691
,ADLABS,EQ,        59.35,                  4641847.40,77349
,ADORWELD,EQ,       439.45,                 20949883.45,47951
,ADSL,EQ,        22.90,                   312808.55,13667
,ADVANIHOTR,EQ,        69.20,                  1659549.10,23806
,ADVENZYMES,EQ,       259.85,                 41475600.30,158755
,AEGISCHEM,EQ,       266.70,                 29309044.65,110313
,AFL,EQ,        51.40,                   447655.80,8625
,AGARIND,BE,       445.05,                  2314728.90,5217
,AGCNET,EQ,       113.00,                   196482.65,1736
,AGLSL,EQ,       112.70,                   936623.55,8360
,AGRITECH,EQ,       133.90,                 36383465.90,281748
,AGROPHOS,SM,        34.85,                   861600.00,24000
,AHLEAST,BE,       288.10,                   521902.25,1839
,AHLUCONT,EQ,       341.60,                  3901673.60,11321
,AHLWEST,EQ,       249.95,                   538334.95,2103
,AIAENG,EQ,      1440.70,                111744669.40,77629
,AICHAMP,BE,        33.55,                     1677.50,50
,AIFL,EQ,       446.70,                125374810.90,280213
,AIRAN,SM,       231.00,                   458000.00,2000
,AIROLAM,SM,        47.35,                   423900.00,9000
,AISL,SM,       127.80,                  3686280.00,28800
,AJANTPHARM,EQ,      1397.80,                337827128.10,245114
,AJMERA,EQ,       309.55,                 23316286.90,75511
,AJOONI,SM,        40.50,                   967600.00,24000
,AKSHARCHEM,EQ,       722.90,                  5680151.90,7814
