,09-Feb-2018
The Nifty witnessed an intraday movement of about 82 points.The closing index was 1.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31582.68
, Traded Quantity (in Lakhs), 15755.69
, Number of Trades, 11468061
, Total Market Capitalisation (Rs. Crores), 14556659.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10576.85,     10416.50,     10480.20,     10398.20,     10454.95,-121.9
,NIFTY50 EQL Wgt,     12716.15,     12531.90,     12639.75,     12508.45,     12605.95,-110.2
,NIFTY100 EQL Wgt,     14171.60,     13936.70,     14122.20,     13923.00,     14091.05,-80.55
,NIFTY100 LowVol30,      8142.35,      8034.65,      8104.35,      8025.25,      8084.70,-57.65
,NIFTY Alpha 50,     13264.90,     12874.35,     13353.15,     12869.40,     13291.45,26.55
,Nifty IT,     12588.35,     12449.70,     12556.20,     12350.40,     12492.70,-95.65
,Nifty Next 50,     29827.35,     29285.45,     29796.25,     29280.35,     29728.95,-98.4
,Nifty Bank,     25920.65,     25466.30,     25598.30,     25371.00,     25463.65,-457
,Nifty MID100 Free,     19827.60,     19403.10,     19918.60,     19402.45,     19872.25,44.65
,Nifty 500,      9322.60,      9167.00,      9272.05,      9155.00,      9251.10,-71.5
,Nifty 100,     10958.95,     10787.95,     10871.35,     10771.85,     10846.10,-112.85
,Nifty Midcap 50,      5171.95,      5065.75,      5193.90,      5061.20,      5172.05,.1
,Nifty Realty,       326.85,       318.00,       331.95,       317.80,       328.00,1.15
,Nifty Infra,      3476.45,      3421.10,      3452.75,      3412.75,      3446.20,-30.25
,Nifty Energy,     13727.15,     13542.40,     13700.55,     13502.70,     13639.60,-87.55
,Nifty FMCG,     26786.60,     26460.15,     26724.60,     26342.55,     26664.30,-122.3
,Nifty MNC,     14235.70,     14032.65,     14233.35,     14013.60,     14204.50,-31.2
,Nifty Pharma,      9262.45,      9052.80,      9245.90,      9044.30,      9222.55,-39.9
,Nifty PSE,      4130.15,      4082.55,      4136.80,      4070.85,      4118.40,-11.75
,Nifty PSU Bank,      3523.35,      3462.35,      3516.90,      3445.50,      3480.65,-42.7
,Nifty Serv Sector,     14003.40,     13787.10,     13823.50,     13731.50,     13790.80,-212.6
,India VIX,17.7725,17.7725,20.4225,15.1500,19.2300,1.4575
,Nifty Auto,     11344.20,     11188.30,     11289.40,     11157.10,     11234.75,-109.45
,Nifty Metal,      3936.45,      3852.15,      4004.50,      3844.40,      3986.40,49.95
,Nifty Media,      3411.65,      3341.95,      3398.70,      3341.75,      3379.10,-32.55
,Nifty SML100 Free,      8467.15,      8250.20,      8509.40,      8222.55,      8482.05,14.9
,Nifty 200,      5741.35,      5648.00,      5703.80,      5640.65,      5690.25,-51.1
,Nifty Div Opps 50,      2651.60,      2614.45,      2639.15,      2606.20,      2632.25,-19.35
,Nifty Commodities,      3934.45,      3869.70,      3951.30,      3862.90,      3931.05,-3.4
,Nifty Consumption,      4844.10,      4777.95,      4833.10,      4770.90,      4818.90,-25.2
,Nifty Fin Service,     10656.90,     10469.00,     10513.20,     10432.75,     10467.05,-189.85
,Nifty50 Div Point,       111.31,       111.31,       111.31,       111.31,       111.31,0
,Nifty100 Liq 15,      4498.00,      4420.05,      4473.95,      4400.75,      4455.30,-42.7
,Nifty CPSE,      2628.85,      2600.95,      2622.00,      2588.80,      2609.25,-19.6
,Nifty GrowSect 15,      6368.30,      6292.85,      6347.20,      6278.80,      6329.15,-39.15
,Nifty50 PR 2x Lev,      4615.80,      4475.05,      4530.55,      4459.25,      4508.65,-107.15
,Nifty50 PR 1x Inv,       408.75,       415.00,       415.70,       412.55,       413.50,4.75
,Nifty50 TR 2x Lev,      5697.05,      5523.35,      5591.80,      5503.85,      5564.80,-132.25
,Nifty50 TR 1x Inv,       367.90,       373.55,       374.20,       371.35,       372.20,4.3
,Nifty50 Value 20,      4819.75,      4751.40,      4780.90,      4736.25,      4768.60,-51.15
,Nifty Mid Liq 15,      4333.25,      4246.50,      4343.70,      4242.95,      4318.85,-14.4
,Nifty Pvt Bank,     14485.55,     14228.20,     14286.35,     14154.25,     14223.55,-262
,Nifty Quality 30,      2529.10,      2494.30,      2518.80,      2488.70,      2512.90,-16.2
,Nifty GS 8 13Yr,      1683.07,      1683.41,      1684.90,      1678.03,      1679.63,-3.44
,Nifty GS 10Yr,      1586.99,      1587.31,      1589.17,      1581.44,      1583.53,-3.46
,Nifty GS 10Yr Cln,       915.99,       915.99,       917.07,       912.58,       913.80,-2.19
,Nifty GS 4 8Yr,      1792.13,      1792.49,      1792.72,      1788.46,      1789.76,-2.37
,Nifty GS 11 15Yr,      1748.96,      1749.31,      1750.76,      1742.98,      1745.12,-3.84
,Nifty GS 15YrPlus,      1871.30,      1871.69,      1871.69,      1871.69,      1871.69,.39
,Nifty GS Compsite,      1727.85,      1728.19,      1729.50,      1722.35,      1724.20,-3.65

,ADVANCES,849
,DECLINES,933
,UNCHANGED,73

,Total securities that have hit their price bands today,258

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,FORTIS,EQ,       126.05,       148.60,17.89,1236.72
,TATASTEEL,EQ,       671.45,       685.30,2.06,623.32
,RELCAPITAL,EQ,       470.15,       494.70,5.22,577.31
,IBREALEST,EQ,       212.70,       227.60,7.01,531.67
,HDFC,EQ,      1811.80,      1773.05,-2.14,491.69
,RELIANCE,EQ,       904.55,       897.85,-0.74,474.35
,SBIN,EQ,       301.40,       296.40,-1.66,468.91
,HINDPETRO,EQ,       399.80,       395.70,-1.03,467.26
,JINDALSTEL,EQ,       266.30,       272.65,2.38,415.34
,SAIL,EQ,        86.00,        93.95,9.24,405.79
,HEG,EQ,      2705.85,      2899.70,7.16,394
,JETAIRWAYS,EQ,       776.55,       791.70,1.95,390.42
,VAKRANGEE,EQ,       192.10,       201.70,5,385.03
,ITC,EQ,       274.10,       271.35,-1,383.76
,GLENMARK,EQ,       579.60,       535.20,-7.66,352.27
,MARUTI,EQ,      9030.70,      8936.10,-1.05,326.35
,TATAMOTORS,EQ,       374.85,       368.75,-1.63,326.31
,AXISBANK,EQ,       568.45,       557.55,-1.92,326.06
,TCS,EQ,      2974.20,      2971.70,-0.08,309.1
,ICICIBANK,EQ,       333.85,       326.75,-2.13,309.03
,YESBANK,EQ,       335.00,       325.55,-2.82,307.43
,VEDL,EQ,       314.45,       316.30,0.59,299.27
,HDFCBANK,EQ,      1880.95,      1849.50,-1.67,296.9
,AUROPHARMA,EQ,       601.85,       589.50,-2.05,294.53
,RCOM,EQ,        26.55,        27.00,1.69,278.99

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       964.00,       944.35,2.08
,TATASTEEL,EQ,       685.30,       671.45,2.06
,CIPLA,EQ,       621.40,       612.65,1.43
,LUPIN,EQ,       822.15,       812.45,1.19
,DRREDDY,EQ,      2193.80,      2180.45,.61

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       325.55,       335.00,-2.82
,INFY,EQ,      1109.15,      1134.25,-2.21
,INFRATEL,EQ,       341.50,       349.20,-2.21
,HDFC,EQ,      1773.05,      1811.80,-2.14
,TECHM,EQ,       595.25,       608.25,-2.14

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        54.00,                  6022103.55,115083
,21STCENMGM,BE,        39.60,                    78764.40,1989
,3IINFOTECH,EQ,         6.05,                 56261474.50,9163948
,3MINDIA,EQ,     18924.45,                163419757.60,8807
,5PAISA,EQ,       290.75,                  2183256.70,7713
,63MOONS,EQ,       104.30,                 55182369.60,529686
,8KMILES,EQ,       751.20,                249693305.55,332621
,A2ZINFRA,EQ,        35.40,                 25111690.60,718513
,AARTIDRUGS,EQ,       612.40,                  3366841.45,5524
,AARTIIND,EQ,      1139.20,                 31056688.00,27632
,AARVEEDEN,EQ,        47.05,                  1857201.90,39263
,ABAN,EQ,       186.95,                161897417.40,868446
,ABBOTINDIA,EQ,      5604.55,                 18830876.45,3393
,ABCAPITAL,EQ,       167.80,                855560166.20,5084303
,ABFRL,EQ,       156.40,                 61719284.85,395746
,ABGSHIP,BZ,        11.35,                    54033.35,4783
,ABMINTLTD,BE,        40.85,                     6413.45,157
,ACCELYA,EQ,      1383.75,                  4002110.90,2910
,ACE,EQ,       167.85,                196882525.65,1176548
,ADANIENT,EQ,       210.10,               1250309012.10,6060617
,ADANIPOWER,EQ,        33.80,                461321064.40,13839094
,ADANITRANS,EQ,       205.00,                221294127.20,1066912
,ADFFOODS,EQ,       253.60,                 35168705.50,140403
,ADHUNIK,EQ,         5.00,                   747424.50,150617
,ADHUNIKIND,EQ,        89.25,                   995568.25,11287
,ADLABS,EQ,        59.35,                  3227898.00,54942
,ADORWELD,EQ,       437.60,                  9703073.30,22246
,ADSL,EQ,        24.00,                   746136.90,31281
,ADVANIHOTR,EQ,        71.00,                  1522925.45,21720
,ADVENZYMES,EQ,       254.20,                 33868881.90,133338
,AEGISCHEM,EQ,       261.95,                 32998944.70,125903
,AFL,EQ,        53.65,                   655129.30,12420
,AGARIND,BE,       449.90,                  4187677.05,9389
,AGCNET,EQ,       113.15,                  1920213.40,16885
,AGLSL,EQ,       112.35,                   310866.25,2761
,AGRITECH,EQ,       139.30,                 54697747.30,392710
,AGROPHOS,SM,        35.90,                  2131200.00,60000
,AHLEAST,BE,       296.35,                   595150.35,2034
,AHLUCONT,EQ,       345.60,                  2065080.05,5971
,AHLWEST,EQ,       250.35,                    54575.95,217
,AIAENG,EQ,      1446.70,                167105456.85,117059
,AICHAMP,BE,        32.00,                     7207.50,217
,AIFL,EQ,       449.15,                111412888.50,247741
,AIRAN,SM,       244.00,                   479000.00,2000
,AIROLAM,SM,        46.90,                   419700.00,9000
,AISL,SM,       125.50,                   448800.00,3600
,AJANTPHARM,EQ,      1416.50,                395351735.20,281479
,AJMERA,EQ,       267.60,                288960450.40,1056039
,AJOONI,SM,        40.95,                   649600.00,16000
,AKASH,SM,        84.20,                   168450.00,2000
,AKSHARCHEM,EQ,       720.60,                  3699120.65,5196
