,28-Feb-2018
The Nifty witnessed an intraday movement of about 73.95 points.The closing index was 0.58 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35921.99
, Traded Quantity (in Lakhs), 16274.96
, Number of Trades, 11782888
, Total Market Capitalisation (Rs. Crores), 14564090.78

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10554.30,     10488.95,     10535.50,     10461.55,     10492.85,-61.45
,NIFTY50 EQL Wgt,     12626.05,     12544.70,     12612.10,     12509.15,     12559.35,-66.7
,NIFTY100 EQL Wgt,     14044.35,     13954.90,     14023.95,     13911.70,     13980.45,-63.9
,NIFTY100 LowVol30,      8104.30,      8070.75,      8104.10,      8050.50,      8080.60,-23.7
,NIFTY Alpha 50,     13408.20,     13277.55,     13370.90,     13193.50,     13309.95,-98.25
,Nifty IT,     12746.80,     12744.40,     12904.20,     12696.35,     12809.00,62.2
,Nifty Next 50,     29534.90,     29349.80,     29489.70,     29229.20,     29404.00,-130.9
,Nifty Bank,     25383.60,     25116.25,     25192.95,     24942.00,     25107.40,-276.2
,Nifty MID100 Free,     19681.95,     19528.70,     19692.25,     19435.80,     19664.90,-17.05
,Nifty 500,      9302.25,      9244.50,      9290.20,      9213.85,      9261.90,-40.35
,Nifty 100,     10922.75,     10855.10,     10903.25,     10826.90,     10861.40,-61.35
,Nifty Midcap 50,      5195.70,      5159.70,      5212.15,      5130.35,      5192.95,-2.75
,Nifty Realty,       327.15,       325.00,       329.25,       322.55,       326.90,-.25
,Nifty Infra,      3481.15,      3459.25,      3463.35,      3441.25,      3452.35,-28.8
,Nifty Energy,     13992.25,     13902.25,     14013.90,     13867.65,     13991.45,-.8
,Nifty FMCG,     26728.20,     26592.55,     26640.55,     26440.40,     26513.70,-214.5
,Nifty MNC,     14379.15,     14322.45,     14323.75,     14210.05,     14249.90,-129.25
,Nifty Pharma,      9023.45,      8995.00,      9093.05,      8938.95,      8960.25,-63.2
,Nifty PSE,      4072.60,      4041.15,      4062.55,      4027.00,      4052.20,-20.4
,Nifty PSU Bank,      3057.30,      3004.85,      3099.55,      2975.05,      3078.90,21.6
,Nifty Serv Sector,     13961.75,     13877.70,     13938.85,     13823.30,     13865.35,-96.4
,India VIX,13.9225,13.9225,14.4000,12.5250,13.8050,-0.1175
,Nifty Auto,     11165.25,     11095.30,     11203.30,     11030.85,     11157.20,-8.05
,Nifty Metal,      4037.25,      3997.60,      4013.55,      3970.05,      3994.35,-42.9
,Nifty Media,      3345.70,      3322.20,      3341.05,      3294.55,      3311.60,-34.1
,Nifty SML100 Free,      8368.05,      8302.75,      8369.05,      8255.90,      8356.50,-11.55
,Nifty 200,      5727.70,      5691.60,      5719.40,      5674.75,      5699.50,-28.2
,Nifty Div Opps 50,      2647.60,      2631.70,      2645.95,      2625.15,      2634.15,-13.45
,Nifty Commodities,      3974.55,      3944.10,      3963.35,      3931.15,      3950.50,-24.05
,Nifty Consumption,      4841.95,      4814.45,      4825.30,      4795.30,      4805.60,-36.35
,Nifty Fin Service,     10561.65,     10481.45,     10490.40,     10422.00,     10439.10,-122.55
,Nifty50 Div Point,       116.06,       118.87,       118.87,       118.87,       118.87,2.81
,Nifty100 Liq 15,      4403.55,      4361.65,      4386.15,      4326.30,      4360.90,-42.65
,Nifty CPSE,      2612.65,      2600.85,      2619.05,      2587.20,      2610.40,-2.25
,Nifty GrowSect 15,      6340.85,      6300.05,      6324.15,      6278.65,      6292.30,-48.55
,Nifty50 PR 2x Lev,      4579.10,      4521.70,      4561.80,      4497.90,      4525.05,-54.05
,Nifty50 PR 1x Inv,       410.65,       413.30,       414.35,       411.50,       413.15,2.5
,Nifty50 TR 2x Lev,      5656.95,      5589.00,      5638.60,      5559.60,      5593.20,-63.75
,Nifty50 TR 1x Inv,       369.45,       371.70,       372.70,       370.10,       371.60,2.15
,Nifty50 Value 20,      4791.15,      4752.65,      4792.70,      4740.75,      4772.70,-18.45
,Nifty Mid Liq 15,      4339.25,      4303.65,      4362.20,      4283.35,      4344.15,4.9
,Nifty Pvt Bank,     14401.65,     14252.30,     14274.20,     14140.30,     14210.05,-191.6
,Nifty Quality 30,      2508.20,      2495.80,      2515.00,      2488.65,      2503.25,-4.95
,Nifty GS 8 13Yr,      1667.35,      1668.36,      1668.36,      1665.91,      1667.08,-.27
,Nifty GS 10Yr,      1571.59,      1572.55,      1572.55,      1568.61,      1570.62,-.97
,Nifty GS 10Yr Cln,       903.51,       903.51,       903.51,       901.22,       902.39,-1.12
,Nifty GS 4 8Yr,      1788.75,      1789.82,      1789.97,      1788.58,      1789.26,.51
,Nifty GS 11 15Yr,      1731.24,      1732.29,      1733.01,      1729.86,      1730.98,-.26
,Nifty GS 15YrPlus,      1846.27,      1847.46,      1849.59,      1847.46,      1847.46,1.19
,Nifty GS Compsite,      1715.40,      1716.43,      1716.45,      1713.97,      1715.09,-.31

,ADVANCES,692
,DECLINES,1086
,UNCHANGED,66

,Total securities that have hit their price bands today,163

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       950.50,       954.55,0.43,2469
,PNB,EQ,        98.35,       101.40,3.1,2045.2
,INFRATEL,EQ,       344.80,       346.70,0.55,1421.36
,INFY,EQ,      1150.20,      1172.60,1.95,1012
,BHARTIARTL,EQ,       430.50,       428.55,-0.45,1001.55
,SBIN,EQ,       267.60,       268.00,0.15,713.53
,MARUTI,EQ,      8891.20,      8850.95,-0.45,602.43
,ICICIBANK,EQ,       322.15,       313.25,-2.76,547.55
,HDFC,EQ,      1828.65,      1808.70,-1.09,509.44
,TATASTEEL,EQ,       671.75,       671.60,-0.02,476.04
,SUNPHARMA,EQ,       544.80,       535.35,-1.73,452.71
,RAIN,EQ,       399.35,       380.90,-4.62,422.4
,BIOCON,EQ,       622.90,       630.05,1.15,414.03
,TCS,EQ,      3042.35,      3035.05,-0.24,411.47
,IDEA,EQ,        84.30,        83.90,-0.47,377.34
,IDBI,EQ,        73.50,        74.55,1.43,360.53
,VENKEYS,EQ,      3463.30,      3924.25,13.31,359.72
,ITC,EQ,       266.40,       265.05,-0.51,356.31
,YESBANK,EQ,       327.15,       322.30,-1.48,352.66
,VEDL,EQ,       340.60,       329.75,-3.19,351.16
,ASHOKLEY,EQ,       137.70,       141.50,2.76,350.99
,AXISBANK,EQ,       538.40,       528.75,-1.79,349.96
,FORTIS,EQ,       155.60,       159.80,2.7,336.02
,LT,EQ,      1338.10,      1318.15,-1.49,322.3
,TATAMOTORS,EQ,       372.55,       369.90,-0.71,296.73

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      1172.60,      1150.20,1.95
,UPL,EQ,       728.75,       721.15,1.05
,EICHERMOT,EQ,     27437.75,     27154.65,1.04
,ASIANPAINT,EQ,      1117.75,      1110.35,.67
,BPCL,EQ,       429.55,       426.95,.61

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,VEDL,EQ,       329.75,       340.60,-3.19
,HINDPETRO,EQ,       380.15,       391.50,-2.9
,ICICIBANK,EQ,       313.25,       322.15,-2.76
,HINDUNILVR,EQ,      1317.75,      1346.35,-2.12
,IBULHSGFIN,EQ,      1254.10,      1279.75,-2

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        50.50,                  3007118.65,59193
,21STCENMGM,BE,        39.75,                   103988.75,2605
,3IINFOTECH,EQ,         5.85,                 14822259.35,2548448
,3MINDIA,EQ,     20717.40,                 27741947.10,1344
,5PAISA,EQ,       349.85,                  1811224.75,5139
,63MOONS,EQ,        93.35,                 20385686.05,217335
,8KMILES,EQ,       736.55,                100457376.65,135663
,A2ZINFRA,EQ,        35.00,                 22541363.90,649003
,AARTIDRUGS,EQ,       600.40,                  2365391.50,3938
,AARTIIND,EQ,      1173.05,                105046142.15,89962
,AARVEEDEN,EQ,        50.75,                   725803.05,14506
,AARVI,SM,       100.00,                   799600.00,8000
,ABAN,EQ,       170.50,                 97512993.90,571412
,ABBOTINDIA,EQ,      5743.10,                 11777229.60,2040
,ABCAPITAL,EQ,       166.55,                235079693.70,1410620
,ABFRL,EQ,       152.30,                 30977672.35,205239
,ABGSHIP,BZ,        10.55,                   139053.40,12932
,ABMINTLTD,BE,        54.90,                      109.80,2
,ACCELYA,EQ,      1369.55,                  2968743.70,2161
,ACCORD,SM,        53.00,                  1638400.00,36000
,ACE,EQ,       188.00,                156364628.45,822931
,ADANIENT,EQ,       203.55,                794981064.30,3876913
,ADANIPOWER,EQ,        31.65,                180168283.15,5683910
,ADANITRANS,EQ,       203.00,                158166957.00,785133
,ADFFOODS,EQ,       243.35,                 35899062.50,147531
,ADHUNIK,EQ,         4.75,                   208103.50,43698
,ADHUNIKIND,EQ,        66.40,                  7578182.25,114753
,ADLABS,EQ,        55.40,                  1259255.65,22785
,ADORWELD,EQ,       431.70,                  6789206.40,15645
,ADSL,EQ,        24.25,                   196439.75,8146
,ADVANIHOTR,EQ,        64.30,                   696120.15,10748
,ADVENZYMES,EQ,       242.95,                 90169107.80,377563
,AEGISCHEM,EQ,       252.60,                 27935711.40,110492
,AFL,EQ,        54.80,                   722112.35,13304
,AGARIND,BE,       354.95,                  1794738.80,5188
,AGCNET,EQ,       120.00,                   403600.25,3360
,AGLSL,EQ,       109.00,                    99642.20,915
,AGRITECH,EQ,       145.70,                 27626431.45,187084
,AGROPHOS,SM,        35.40,                  2800800.00,84000
,AHLEAST,BE,       292.30,                  1772148.35,6041
,AHLUCONT,EQ,       379.30,                  7695538.55,20157
,AHLWEST,EQ,       264.15,                   345740.40,1304
,AIAENG,EQ,      1439.60,                 31957642.10,22220
,AIFL,EQ,       471.80,                 65795678.90,138014
,AIRAN,SM,       245.95,                  1943200.00,8000
,AIROLAM,SM,        47.00,                   285450.00,6000
,AISL,SM,       125.10,                  2510760.00,20400
,AJANTPHARM,EQ,      1397.75,                273963424.20,196512
,AJMERA,EQ,       241.55,                 18946182.20,78755
,AJOONI,SM,        36.00,                   144000.00,4000
,AKASH,SM,        79.25,                  5072000.00,64000
,AKSHARCHEM,EQ,       645.10,                  8650308.55,13692
