,28-Mar-2018
The Nifty witnessed an intraday movement of about 61.45 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43434.65
, Traded Quantity (in Lakhs), 19753.17
, Number of Trades, 12491763
, Total Market Capitalisation (Rs. Crores), 14044151.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10184.15,     10143.60,     10158.35,     10096.90,     10113.70,-70.45
,NIFTY50 EQL Wgt,     12102.60,     12058.65,     12086.70,     12010.55,     12047.30,-55.3
,NIFTY100 EQL Wgt,     13490.45,     13443.50,     13463.10,     13370.30,     13385.55,-104.9
,NIFTY100 LowVol30,      7935.10,      7905.05,      7960.55,      7888.85,      7936.65,1.55
,NIFTY Alpha 50,     12746.10,     12656.90,     12684.75,     12536.40,     12558.60,-187.5
,Nifty IT,     12518.20,     12468.70,     12573.10,     12424.55,     12511.55,-6.65
,Nifty Next 50,     28835.75,     28734.50,     28848.65,     28428.55,     28545.25,-290.5
,Nifty Bank,     24434.15,     24299.50,     24361.00,     24203.40,     24263.35,-170.8
,Nifty MID100 Free,     18959.45,     18840.90,     18901.50,     18720.85,     18757.00,-202.45
,Nifty 500,      8978.10,      8940.20,      8953.90,      8899.00,      8912.10,-66
,Nifty 100,     10556.60,     10515.40,     10530.60,     10463.95,     10478.40,-78.2
,Nifty Midcap 50,      5013.50,      4986.60,      4997.60,      4963.30,      4975.30,-38.2
,Nifty Realty,       297.25,       296.05,       297.35,       291.55,       294.05,-3.2
,Nifty Infra,      3366.00,      3353.70,      3355.70,      3322.40,      3328.70,-37.3
,Nifty Energy,     13354.40,     13296.90,     13297.20,     13184.50,     13214.15,-140.25
,Nifty FMCG,     26300.15,     26210.20,     26316.50,     26055.00,     26127.40,-172.75
,Nifty MNC,     13833.00,     13773.75,     13918.80,     13734.45,     13767.70,-65.3
,Nifty Pharma,      8452.50,      8445.30,      8456.70,      8332.15,      8358.05,-94.45
,Nifty PSE,      3850.05,      3832.10,      3856.75,      3806.10,      3845.30,-4.75
,Nifty PSU Bank,      2935.00,      2904.05,      2958.30,      2866.50,      2878.50,-56.5
,Nifty Serv Sector,     13629.05,     13577.85,     13593.90,     13518.20,     13536.50,-92.55
,India VIX,15.5500,15.5500,15.9700,14.8175,15.7575,0.2075
,Nifty Auto,     10843.75,     10803.55,     10911.70,     10787.05,     10821.35,-22.4
,Nifty Metal,      3585.70,      3550.30,      3552.90,      3501.60,      3512.55,-73.15
,Nifty Media,      3345.50,      3328.90,      3337.10,      3276.60,      3286.50,-59
,Nifty SML100 Free,      7868.50,      7836.80,      7853.70,      7779.00,      7791.95,-76.55
,Nifty 200,      5540.15,      5516.70,      5526.35,      5491.30,      5499.35,-40.8
,Nifty Div Opps 50,      2536.60,      2525.30,      2536.40,      2518.80,      2522.80,-13.8
,Nifty Commodities,      3726.20,      3704.35,      3704.80,      3674.25,      3680.65,-45.55
,Nifty Consumption,      4771.75,      4753.00,      4771.80,      4729.85,      4739.75,-32
,Nifty Fin Service,     10269.50,     10232.85,     10241.20,     10188.00,     10207.60,-61.9
,Nifty50 Div Point,       137.75,       137.75,       137.75,       137.75,       137.75,0
,Nifty100 Liq 15,      4115.55,      4092.60,      4097.70,      4047.80,      4058.00,-57.55
,Nifty CPSE,      2407.05,      2395.80,      2429.30,      2381.55,      2419.50,12.45
,Nifty GrowSect 15,      6237.20,      6215.45,      6255.60,      6200.20,      6216.00,-21.2
,Nifty50 PR 2x Lev,      4237.70,      4203.25,      4215.00,      4165.10,      4178.35,-59.35
,Nifty50 PR 1x Inv,       426.90,       428.65,       430.55,       428.05,       429.90,3
,Nifty50 TR 2x Lev,      5257.50,      5214.80,      5229.40,      5167.50,      5183.90,-73.6
,Nifty50 TR 1x Inv,       383.25,       384.85,       386.55,       384.30,       385.95,2.7
,Nifty50 Value 20,      4553.60,      4532.50,      4537.65,      4509.45,      4517.50,-36.1
,Nifty Mid Liq 15,      4195.40,      4176.20,      4200.50,      4163.95,      4185.70,-9.7
,Nifty Pvt Bank,     13767.75,     13701.45,     13727.15,     13656.70,     13687.90,-79.85
,Nifty Quality 30,      2463.75,      2453.05,      2471.20,      2447.95,      2455.90,-7.85
,Nifty GS 8 13Yr,      1718.38,      1718.72,      1722.19,      1712.32,      1713.36,-5.02
,Nifty GS 10Yr,      1617.57,      1617.89,      1623.24,      1609.23,      1610.84,-6.73
,Nifty GS 10Yr Cln,       924.63,       924.63,       927.73,       919.60,       920.53,-4.1
,Nifty GS 4 8Yr,      1814.99,      1815.34,      1817.99,      1813.40,      1813.82,-1.17
,Nifty GS 11 15Yr,      1796.40,      1796.76,      1801.80,      1789.38,      1791.91,-4.49
,Nifty GS 15YrPlus,      1920.08,      1920.48,      1920.48,      1917.39,      1917.39,-2.69
,Nifty GS Compsite,      1757.61,      1757.95,      1762.16,      1751.81,      1753.39,-4.22

,ADVANCES,588
,DECLINES,1235
,UNCHANGED,47

,Total securities that have hit their price bands today,252

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,FORTIS,EQ,       142.25,       123.35,-13.29,1683.9
,TITAN,EQ,       942.40,       942.30,-0.01,1081
,MARUTI,EQ,      8852.30,      8861.10,0.1,1067.01
,TATASTEEL,EQ,       590.00,       571.05,-3.21,1066.2
,TCS,EQ,      2847.70,      2849.15,0.05,979.84
,SBIN,EQ,       254.35,       249.90,-1.75,922.75
,RELIANCE,EQ,       899.80,       882.70,-1.9,776.67
,ICICIBANK,EQ,       283.90,       278.35,-1.95,757.95
,GRASIM,EQ,      1088.85,      1050.90,-3.49,753.16
,HDFC,EQ,      1823.15,      1825.60,0.13,731.24
,INFY,EQ,      1154.00,      1131.80,-1.92,713.43
,BAJAJFINSV,EQ,      5258.95,      5171.55,-1.66,637.2
,KOTAKBANK,EQ,      1049.85,      1047.80,-0.2,622.66
,BANDHANBNK,EQ,       476.85,       469.05,-1.64,566.96
,AXISBANK,EQ,       512.20,       510.50,-0.33,558.02
,LT,EQ,      1307.55,      1310.90,0.26,521.74
,YESBANK,EQ,       303.50,       304.85,0.44,453.48
,INDUSINDBK,EQ,      1788.20,      1796.75,0.48,427.36
,IBULHSGFIN,EQ,      1245.75,      1237.25,-0.68,426.23
,AUROPHARMA,EQ,       560.05,       557.85,-0.39,423.69
,HDFCBANK,EQ,      1892.60,      1886.10,-0.34,416.79
,VEDL,EQ,       287.00,       277.85,-3.19,412.69
,BHARTIARTL,EQ,       413.20,       398.70,-3.51,412.63
,AMBUJACEM,EQ,       231.70,       232.95,0.54,401.32
,DELTACORP,EQ,       297.45,       250.25,-15.87,398.04

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       638.70,       621.65,2.74
,WIPRO,EQ,       281.15,       274.05,2.59
,COALINDIA,EQ,       283.30,       276.20,2.57
,GAIL,EQ,       328.55,       320.95,2.37
,HEROMOTOCO,EQ,      3542.80,      3464.70,2.25

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       398.70,       413.20,-3.51
,TATASTEEL,EQ,       571.05,       590.00,-3.21
,VEDL,EQ,       277.85,       287.00,-3.19
,ADANIPORTS,EQ,       354.10,       365.50,-3.12
,SUNPHARMA,EQ,       495.10,       505.10,-1.98

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        49.10,                  4114824.25,85065
,21STCENMGM,BE,        35.70,                  2568908.65,72277
,3IINFOTECH,EQ,         5.05,                  8348585.60,1664353
,3MINDIA,EQ,     19412.85,                 17161628.60,886
,5PAISA,BE,       334.00,                   421416.80,1220
,63MOONS,EQ,        86.50,                 47026754.05,539071
,8KMILES,EQ,       670.05,                 64834406.85,96815
,A2ZINFRA,EQ,        26.40,                 25278593.15,940986
,AARTIDRUGS,EQ,       506.00,                  6530906.55,12974
,AARTIIND,EQ,      1146.80,                253052037.90,220542
,AARVEEDEN,EQ,        42.15,                   661639.45,16073
,AARVI,SM,        73.40,                  1004700.00,14000
,ABAN,EQ,       158.40,                 87662951.55,549869
,ABBOTINDIA,EQ,      5452.95,                  9307751.30,1715
,ABCAPITAL,EQ,       145.95,                358214462.50,2440226
,ABFRL,EQ,       150.85,                210872307.85,1421156
,ABGSHIP,BZ,         7.70,                   496716.80,66167
,ABMINTLTD,BE,        33.40,                      167.00,5
,ACCELYA,EQ,      1329.05,                  5144154.85,3865
,ACCORD,SM,        48.00,                   876100.00,18000
,ACE,EQ,       167.65,                 56691635.80,336572
,ADANIENT,EQ,       156.40,               1852658643.10,11699148
,ADANIPOWER,EQ,        23.70,                561280881.50,23317191
,ADANITRANS,EQ,       193.70,                406240548.40,2125130
,ADFFOODS,EQ,       202.60,                 19600595.55,96865
,ADHUNIK,EQ,         3.45,                   284073.60,81957
,ADHUNIKIND,EQ,        74.30,                  5595211.00,74137
,ADLABS,EQ,        46.55,                  7128906.05,150945
,ADORWELD,EQ,       373.70,                  8074199.15,21280
,ADSL,EQ,        19.80,                   957766.30,48801
,ADVANIHOTR,EQ,        54.00,                  2679615.95,47532
,ADVENZYMES,EQ,       213.20,                 32744175.20,153653
,AEGISCHEM,EQ,       259.60,                 56981535.30,219619
,AFL,EQ,        53.05,                   174317.85,3334
,AGARIND,BE,       338.25,                   753942.50,2289
,AGCNET,EQ,       100.30,                   363528.65,3566
,AGLSL,EQ,        97.60,                   214872.05,2199
,AGRITECH,EQ,       120.75,                  2954100.25,24758
,AGROPHOS,SM,        34.10,                  2515800.00,72000
,AHLEAST,BE,       269.95,                   535546.40,2091
,AHLUCONT,EQ,       375.90,                  2220999.45,5944
,AHLWEST,EQ,       265.00,                   214812.40,805
,AIAENG,EQ,      1441.40,                  9416721.10,6569
,AICHAMP,BE,        30.05,                       30.05,1
,AIFL,EQ,       450.95,                 79659156.95,176978
,AIRAN,SM,       236.75,                   476750.00,2000
,AIROLAM,SM,        46.50,                   271500.00,6000
,AISL,SM,       101.00,                  1688700.00,16800
,AJANTPHARM,EQ,      1390.35,                348099170.40,249648
,AJMERA,EQ,       241.10,                 19497074.60,81333
,AJOONI,SM,        32.20,                   518800.00,16000
