,23-Apr-2018
The Nifty witnessed an intraday movement of about 123.4 points.The closing index was 0.2 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32294.16
, Traded Quantity (in Lakhs), 11906.35
, Number of Trades, 10393120
, Total Market Capitalisation (Rs. Crores), 14914986.95

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10564.05,     10592.80,     10638.35,     10514.95,     10584.70,20.65
,NIFTY50 EQL Wgt,     12544.00,     12571.80,     12633.85,     12539.10,     12584.00,40
,NIFTY100 EQL Wgt,     14026.60,     14048.15,     14126.40,     14024.15,     14086.15,59.55
,NIFTY100 LowVol30,      8449.45,      8456.00,      8525.25,      8426.05,      8491.00,41.55
,NIFTY Alpha 50,     13585.35,     13662.90,     13732.30,     13590.45,     13620.10,34.75
,Nifty IT,     13910.35,     13897.65,     14294.15,     13836.50,     14013.95,103.6
,Nifty Next 50,     30231.40,     30263.95,     30460.65,     30241.85,     30391.40,160
,Nifty Bank,     24943.85,     25065.50,     25084.15,     24466.10,     24960.65,16.8
,NIFTY MIDCAP 100,     19905.75,     19915.75,     20051.25,     19875.25,     20006.45,100.7
,Nifty 500,      9347.65,      9366.80,      9410.90,      9324.00,      9373.40,25.75
,Nifty 100,     10966.85,     10993.90,     11043.90,     10927.70,     10993.30,26.45
,Nifty Midcap 50,      5373.10,      5374.15,      5403.10,      5358.90,      5386.05,12.95
,Nifty Realty,       310.20,       311.45,       317.55,       310.45,       315.20,5
,Nifty Infra,      3470.85,      3475.65,      3480.95,      3462.35,      3467.20,-3.65
,Nifty Energy,     13476.45,     13523.90,     13608.50,     13501.55,     13558.65,82.2
,Nifty FMCG,     28110.95,     28136.60,     28180.65,     28003.90,     28022.05,-88.9
,Nifty MNC,     14639.25,     14653.90,     14680.55,     14617.55,     14633.65,-5.6
,Nifty Pharma,      8819.80,      8781.10,      8976.80,      8781.10,      8949.90,130.1
,Nifty PSE,      3857.60,      3871.90,      3876.55,      3856.70,      3864.30,6.7
,Nifty PSU Bank,      2799.10,      2802.80,      2843.50,      2771.75,      2818.15,19.05
,Nifty Serv Sector,     14113.65,     14161.80,     14240.95,     13973.50,     14138.95,25.3
,India VIX,12.9375,12.9375,13.4925,11.5300,13.1450,0.2075
,Nifty Auto,     11440.10,     11461.45,     11530.25,     11426.80,     11497.20,57.1
,Nifty Metal,      3891.45,      3893.20,      3907.10,      3854.65,      3861.55,-29.9
,Nifty Media,      3377.50,      3386.35,      3432.60,      3381.35,      3401.45,23.95
,NIFTY SMLCAP 100,      8321.50,      8318.40,      8373.15,      8300.45,      8336.80,15.3
,Nifty 200,      5765.95,      5778.70,      5805.95,      5748.65,      5781.85,15.9
,Nifty Div Opps 50,      2686.50,      2689.80,      2707.80,      2679.70,      2685.45,-1.05
,Nifty Commodities,      3846.05,      3853.85,      3866.45,      3840.00,      3843.90,-2.15
,Nifty Consumption,      4989.65,      4997.10,      5018.95,      4985.20,      5005.65,16
,Nifty Fin Service,     10501.40,     10558.05,     10558.05,     10349.00,     10479.55,-21.85
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      4181.35,      4195.65,      4221.85,      4176.95,      4192.70,11.35
,Nifty CPSE,      2419.45,      2428.90,      2429.30,      2414.60,      2420.40,.95
,Nifty GrowSect 15,      6598.35,      6610.30,      6639.40,      6596.90,      6621.60,23.25
,Nifty50 PR 2x Lev,      4538.80,      4561.25,      4600.15,      4525.95,      4554.30,15.5
,Nifty50 PR 1x Inv,       412.80,       411.90,       413.50,       410.15,       412.20,-.6
,Nifty50 TR 2x Lev,      5631.15,      5659.00,      5707.30,      5615.20,      5650.40,19.25
,Nifty50 TR 1x Inv,       370.65,       369.80,       371.25,       368.20,       370.10,-.55
,Nifty50 Value 20,      4720.35,      4721.90,      4774.10,      4696.95,      4732.70,12.35
,Nifty Mid Liq 15,      4453.95,      4456.95,      4482.00,      4439.40,      4468.15,14.2
,Nifty Pvt Bank,     14163.40,     14212.75,     14258.20,     13959.85,     14199.10,35.7
,Nifty Quality 30,      2603.30,      2606.25,      2630.55,      2599.20,      2611.85,8.55
,Nifty GS 8 13Yr,      1685.35,      1685.69,      1689.29,      1683.32,      1683.44,-1.91
,Nifty GS 10Yr,      1584.23,      1584.55,      1589.27,      1579.16,      1581.18,-3.05
,Nifty GS 10Yr Cln,       900.61,       900.61,       903.35,       897.48,       898.65,-1.96
,Nifty GS 4 8Yr,      1797.60,      1797.96,      1797.96,      1795.42,      1795.79,-1.81
,Nifty GS 11 15Yr,      1752.73,      1753.09,      1757.90,      1750.39,      1750.39,-2.34
,Nifty GS 15YrPlus,      1897.98,      1898.38,      1898.38,      1892.93,      1892.93,-5.05
,Nifty GS Compsite,      1728.90,      1729.25,      1732.06,      1726.38,      1726.38,-2.52

,ADVANCES,922
,DECLINES,884
,UNCHANGED,77

,Total securities that have hit their price bands today,191

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TCS,EQ,      3402.45,      3408.65,0.18,2640.87
,INFY,EQ,      1178.45,      1187.70,0.78,1295.42
,MINDTREE,EQ,       979.85,      1000.60,2.12,905.85
,HDFCBANK,EQ,      1955.90,      1935.75,-1.03,745.15
,NIITTECH,EQ,       993.15,      1035.70,4.28,577.05
,TECHM,EQ,       700.50,       702.00,0.21,498.89
,HCLTECH,EQ,      1062.35,      1088.00,2.41,495
,HDFC,EQ,      1834.15,      1830.85,-0.18,461.64
,TATAELXSI,EQ,      1142.75,      1203.30,5.3,460.83
,CANBK,EQ,       258.70,       263.15,1.72,368.13
,ASHOKLEY,EQ,       155.55,       159.45,2.51,349
,YESBANK,EQ,       308.55,       313.05,1.46,343.48
,BPCL,EQ,       371.40,       381.35,2.68,329.31
,RELIANCE,EQ,       927.90,       936.00,0.87,328.5
,ICICIBANK,EQ,       282.15,       279.40,-0.97,324.3
,ITC,EQ,       276.20,       275.50,-0.25,324.04
,IBULHSGFIN,EQ,      1356.05,      1321.10,-2.58,321.54
,INDUSINDBK,EQ,      1812.85,      1874.40,3.4,302.57
,SBIN,EQ,       241.20,       242.45,0.52,293.78
,DHFL,EQ,       585.30,       581.35,-0.67,293.06
,TATASTEEL,EQ,       606.20,       606.60,0.07,278.49
,MARUTI,EQ,      9025.00,      9064.85,0.44,274.27
,TATAMOTORS,EQ,       336.00,       334.05,-0.58,270.7
,HINDALCO,EQ,       262.10,       255.60,-2.48,247.55
,AXISBANK,EQ,       505.70,       506.20,0.1,241.4

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,      1874.40,      1812.85,3.4
,M&M,EQ,       824.30,       799.50,3.1
,BPCL,EQ,       381.35,       371.40,2.68
,HCLTECH,EQ,      1088.00,      1062.35,2.41
,CIPLA,EQ,       600.15,       589.05,1.88

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,      1321.10,      1356.05,-2.58
,HINDALCO,EQ,       255.60,       262.10,-2.48
,UPL,EQ,       753.80,       765.75,-1.56
,GRASIM,EQ,      1085.10,      1100.80,-1.43
,VEDL,EQ,       305.05,       308.60,-1.15

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        51.55,                  2691254.55,51579
,21STCENMGM,EQ,        40.60,                     2030.00,50
,3IINFOTECH,EQ,         5.90,                 38971796.50,6619743
,3MINDIA,EQ,     20471.15,                 10229950.95,498
,5PAISA,BE,       358.15,                 10351547.20,29009
,63MOONS,EQ,        96.85,                 46000544.30,471813
,8KMILES,EQ,       784.00,                277055742.95,351521
,A2ZINFRA,EQ,        27.75,                  7276513.45,260645
,AARTIDRUGS,EQ,       565.10,                  3433116.80,6108
,AARTIIND,EQ,      1325.45,                 67234611.55,50603
,AARVEEDEN,EQ,        45.35,                   851288.50,18422
,AARVI,SM,        94.00,                   561000.00,6000
,ABAN,EQ,       173.20,                 96299075.35,554923
,ABBOTINDIA,EQ,      6158.15,                119477592.05,19291
,ABFRL,EQ,       148.00,                 27121201.15,184263
,ABGSHIP,BZ,         8.00,                   566742.90,69249
,ABMINTLTD,BE,        33.25,                      269.75,8
,ACCELYA,EQ,      1393.65,                 21707391.50,15580
,ACCORD,SM,        50.45,                   201700.00,4000
,ACE,EQ,       193.40,                595427914.25,3112533
,ADANIENT,EQ,       139.75,                623744160.15,4466205
,ADANIPOWER,EQ,        25.85,                159029263.45,6136777
,ADANITRANS,EQ,       170.70,                649499139.50,3795969
,ADFFOODS,EQ,       239.95,                 57158481.60,234672
,ADHUNIK,EQ,         4.25,                   250717.70,59555
,ADHUNIKIND,BE,        83.00,                    95523.50,1150
,ADLABS,EQ,        54.00,                  2393755.80,43956
,ADORWELD,EQ,       417.50,                  1800736.45,4308
,ADROITINFO,EQ,        33.95,                   198288.10,5877
,ADSL,EQ,        22.80,                   774317.80,34024
,ADVANIHOTR,EQ,        67.05,                  2125111.75,31773
,ADVENZYMES,EQ,       235.15,                 29814036.80,126407
,AEGISCHEM,EQ,       287.15,                 43097542.35,151353
,AFL,EQ,        51.05,                    18370.90,359
,AGARIND,BE,       347.65,                   819861.20,2386
,AGCNET,EQ,       120.30,                   767381.50,6503
,AGLSL,EQ,       100.20,                   344955.55,3365
,AGRITECH,EQ,       140.80,                  3692436.45,26031
,AGROPHOS,SM,        37.95,                  1135500.00,30000
,AHLEAST,BE,       366.25,                  1891545.65,5119
,AHLUCONT,EQ,       421.35,                  5855368.30,13911
,AHLWEST,EQ,       410.90,                  3028600.35,7269
,AIAENG,EQ,      1417.60,                 28812980.25,20402
,AICHAMP,BE,        30.45,                       30.45,1
,AIFL,EQ,       471.45,                 76397384.35,161478
,AIRAN,SM,       244.00,                  1089825.00,4500
,AISL,SM,       118.00,                   706860.00,6000
,AJANTPHARM,EQ,      1383.20,                239922277.85,175230
,AJMERA,EQ,       274.35,                 14292837.70,51439
,AJOONI,SM,        31.45,                   374200.00,12000
,AKASH,SM,        77.10,                    77100.00,1000
