,30-Apr-2018
The Nifty witnessed an intraday movement of about 54.4 points.The closing index was 0.44 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28571.39
, Traded Quantity (in Lakhs), 12300.88
, Number of Trades, 9921677
, Total Market Capitalisation (Rs. Crores), 15092002.34

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10692.30,     10705.75,     10759.00,     10704.60,     10739.35,47.05
,NIFTY50 EQL Wgt,     12620.25,     12652.45,     12701.50,     12649.70,     12669.50,49.25
,NIFTY100 EQL Wgt,     14126.40,     14169.55,     14215.75,     14163.40,     14199.20,72.8
,NIFTY100 LowVol30,      8495.10,      8512.95,      8571.50,      8511.30,      8565.35,70.25
,NIFTY Alpha 50,     13848.05,     13934.30,     14158.85,     13915.50,     14120.65,272.6
,Nifty IT,     13794.90,     13818.85,     14094.10,     13810.55,     13986.25,191.35
,Nifty Next 50,     30513.40,     30610.10,     30706.15,     30584.30,     30682.65,169.25
,Nifty Bank,     25394.60,     25490.15,     25617.50,     25464.80,     25531.60,137
,NIFTY MIDCAP 100,     20120.80,     20184.00,     20301.80,     20158.20,     20290.30,169.5
,Nifty 500,      9443.65,      9464.00,      9503.60,      9463.20,      9496.50,52.85
,Nifty 100,     11095.00,     11112.20,     11163.15,     11110.55,     11145.90,50.9
,Nifty Midcap 50,      5424.50,      5444.05,      5469.25,      5434.35,      5461.25,36.75
,Nifty Realty,       317.25,       319.90,       323.60,       317.75,       322.25,5
,Nifty Infra,      3471.25,      3476.20,      3509.75,      3475.40,      3503.35,32.1
,Nifty Energy,     14030.45,     13928.35,     14006.85,     13738.95,     13770.15,-260.3
,Nifty FMCG,     28433.50,     28483.15,     28832.00,     28479.55,     28772.75,339.25
,Nifty MNC,     14555.60,     14588.05,     14749.10,     14584.60,     14737.40,181.8
,Nifty Pharma,      8987.40,      9030.45,      9090.85,      9017.95,      9060.70,73.3
,Nifty PSE,      3848.85,      3852.85,      3861.65,      3835.40,      3843.85,-5
,Nifty PSU Bank,      2814.90,      2838.30,      2888.95,      2828.55,      2863.65,48.75
,Nifty Serv Sector,     14248.95,     14290.40,     14393.50,     14285.70,     14362.20,113.25
,India VIX,12.0175,12.0175,12.5525,12.0175,12.3625,0.3450
,Nifty Auto,     11581.80,     11624.55,     11675.15,     11602.00,     11625.75,43.95
,Nifty Metal,      3763.85,      3771.90,      3814.30,      3742.00,      3774.85,11
,Nifty Media,      3356.00,      3348.50,      3389.85,      3348.50,      3362.60,6.6
,NIFTY SMLCAP 100,      8279.10,      8329.60,      8393.20,      8304.65,      8389.85,110.75
,Nifty 200,      5832.70,      5842.90,      5869.35,      5842.40,      5862.35,29.65
,Nifty Div Opps 50,      2688.95,      2692.65,      2717.65,      2692.20,      2711.50,22.55
,Nifty Commodities,      3830.40,      3833.45,      3844.65,      3811.80,      3828.75,-1.65
,Nifty Consumption,      5045.70,      5056.60,      5098.15,      5056.00,      5093.75,48.05
,Nifty Fin Service,     10614.90,     10658.65,     10714.80,     10640.55,     10675.75,60.85
,Nifty50 Div Point,          .00,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      4244.70,      4260.90,      4285.75,      4238.40,      4264.40,19.7
,Nifty CPSE,      2408.95,      2408.15,      2414.30,      2396.90,      2400.20,-8.75
,Nifty GrowSect 15,      6674.50,      6688.85,      6739.95,      6688.15,      6730.70,56.2
,Nifty50 PR 2x Lev,      4643.90,      4653.45,      4699.60,      4653.45,      4682.60,38.7
,Nifty50 PR 1x Inv,       408.30,       407.95,       407.95,       405.95,       406.70,-1.6
,Nifty50 TR 2x Lev,      5761.55,      5773.40,      5830.65,      5773.40,      5809.60,48.05
,Nifty50 TR 1x Inv,       366.55,       366.25,       366.25,       364.45,       365.10,-1.45
,Nifty50 Value 20,      4815.65,      4811.05,      4838.05,      4805.35,      4813.40,-2.25
,Nifty Mid Liq 15,      4492.15,      4506.30,      4534.20,      4491.35,      4527.60,35.45
,Nifty Pvt Bank,     14560.05,     14604.45,     14649.10,     14553.20,     14593.35,33.3
,Nifty Quality 30,      2608.65,      2614.65,      2634.10,      2614.25,      2630.90,22.25
,Nifty GS 8 13Yr,      1681.81,      1682.16,      1682.16,      1682.16,      1682.16,.35
,Nifty GS 10Yr,      1581.97,      1582.29,      1582.29,      1582.29,      1582.29,.32
,Nifty GS 10Yr Cln,       897.62,       897.62,       897.62,       897.62,       897.62,0
,Nifty GS 4 8Yr,      1793.79,      1794.15,      1794.15,      1794.15,      1794.15,.36
,Nifty GS 11 15Yr,      1742.69,      1743.05,      1743.05,      1743.05,      1743.05,.36
,Nifty GS 15YrPlus,      1878.39,      1878.79,      1878.79,      1878.79,      1878.79,.4
,Nifty GS Compsite,      1727.34,      1727.69,      1727.69,      1727.69,      1727.69,.35

,ADVANCES,966
,DECLINES,840
,UNCHANGED,84

,Total securities that have hit their price bands today,203

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PCJEWELLER,EQ,       177.80,       144.50,-18.73,2091.26
,YESBANK,EQ,       348.90,       362.00,3.75,1025.54
,AXISBANK,EQ,       539.20,       517.30,-4.06,955.09
,RELIANCE,EQ,       996.30,       963.30,-3.31,860.03
,DHFL,EQ,       634.50,       641.00,1.02,704.47
,HDFC,EQ,      1853.75,      1883.25,1.59,628.73
,TCS,EQ,      3451.95,      3532.10,2.32,609.32
,MARUTI,EQ,      8783.35,      8814.95,0.36,438.61
,SBIN,EQ,       242.60,       246.40,1.57,426.58
,KOTAKBANK,EQ,      1188.75,      1211.10,1.88,413.99
,IBULHSGFIN,EQ,      1316.55,      1307.00,-0.73,371.48
,IBREALEST,EQ,       199.30,       215.20,7.98,362.45
,BOMDYEING,EQ,       291.05,       310.20,6.58,356.82
,INFY,EQ,      1185.20,      1199.50,1.21,330.64
,MINDTREE,EQ,      1050.70,      1084.60,3.23,309.04
,IRB,EQ,       264.40,       281.65,6.52,292.54
,JETAIRWAYS,EQ,       623.10,       643.25,3.23,284.55
,ICICIBANK,EQ,       287.90,       284.20,-1.29,278.21
,NIITTECH,EQ,      1133.05,      1162.10,2.56,267.25
,INDIGO,EQ,      1407.80,      1402.80,-0.36,263.83
,IBVENTURES,EQ,       449.80,       482.15,7.19,240.85
,HDFCBANK,EQ,      1923.40,      1944.30,1.09,224.22
,TATASTEEL,EQ,       589.80,       594.95,0.87,217.6
,PRAKASH,EQ,       218.85,       210.85,-3.66,215.42
,DMART,EQ,      1483.00,      1490.65,0.52,205.53

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       362.00,       348.90,3.75
,HINDUNILVR,EQ,      1508.90,      1473.95,2.37
,TCS,EQ,      3532.10,      3451.95,2.32
,KOTAKBANK,EQ,      1211.10,      1188.75,1.88
,ASIANPAINT,EQ,      1201.70,      1181.60,1.7

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       517.30,       539.20,-4.06
,RELIANCE,EQ,       963.30,       996.30,-3.31
,UPL,EQ,       729.85,       754.35,-3.25
,INFRATEL,EQ,       313.10,       320.25,-2.23
,GAIL,EQ,       325.10,       330.80,-1.72

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        47.60,                  7573043.60,157120
,21STCENMGM,EQ,        44.70,                   646138.50,14455
,3IINFOTECH,EQ,         4.95,                  5791781.75,1174232
,3MINDIA,EQ,     20524.10,                 13850315.40,675
,5PAISA,BE,       404.65,                  3300018.25,8237
,63MOONS,EQ,        90.40,                 14582357.70,159602
,8KMILES,EQ,       786.10,                101208545.65,127879
,A2ZINFRA,EQ,        26.75,                  7290270.70,270864
,AAKASH,ST,        56.00,                  5823900.00,104000
,AARTIDRUGS,EQ,       573.70,                  1285307.30,2211
,AARTIIND,EQ,      1343.45,                 49228506.95,36743
,AARVEEDEN,EQ,        45.45,                  6611675.30,142729
,AARVI,SM,        93.20,                   372900.00,4000
,ABAN,EQ,       175.00,                247466882.70,1404810
,ABBOTINDIA,EQ,      6179.65,                 29862102.90,4816
,ABFRL,EQ,       146.75,                 19740326.05,134495
,ABGSHIP,BZ,         6.85,                   402643.60,58657
,ABMINTLTD,BE,        28.60,                     5175.70,177
,ACCELYA,EQ,      1336.50,                  6599463.20,4969
,ACCORD,SM,        47.00,                    94000.00,2000
,ACE,EQ,       186.90,                 93856209.85,501618
,ADANIENT,EQ,       140.10,                360937708.35,2549744
,ADANIPOWER,EQ,        25.70,                185893049.85,7265939
,ADANITRANS,EQ,       168.60,                235739083.45,1394162
,ADFFOODS,EQ,       242.55,                 58112489.90,238215
,ADHUNIK,EQ,         3.60,                   377940.75,103634
,ADHUNIKIND,BE,        77.80,                   335267.40,4340
,ADLABS,EQ,        51.80,                  2840993.95,54727
,ADORWELD,EQ,       393.85,                  4035381.10,10217
,ADROITINFO,EQ,        31.70,                    52411.20,1660
,ADSL,EQ,        21.05,                   553589.55,26126
,ADVANIHOTR,EQ,        68.80,                  3927813.50,55400
,ADVENZYMES,EQ,       261.60,                102486863.75,392588
,AEGISCHEM,EQ,       289.25,                 12299851.90,42579
,AFL,EQ,        59.40,                  1843190.65,31927
,AGARIND,BE,       324.95,                   391914.75,1235
,AGCNET,EQ,       130.50,                  6601978.40,50026
,AGLSL,EQ,       106.05,                  1203801.95,11263
,AGRITECH,EQ,       137.55,                  2338932.70,16879
,AGROPHOS,SM,        39.70,                  2144400.00,54000
,AHLEAST,BE,       362.50,                   829669.85,2261
,AHLUCONT,EQ,       421.50,                  2219633.80,5253
,AHLWEST,EQ,       354.65,                   382336.20,1108
,AIAENG,EQ,      1443.85,                 29071566.90,20174
,AIFL,EQ,       496.60,                 27768429.10,55596
,AIRAN,SM,       247.90,                  3954450.00,16000
,AISL,SM,       125.00,                   888420.00,7200
,AJANTPHARM,EQ,      1355.25,                113965899.25,84039
,AJMERA,EQ,       267.60,                 13588244.90,50790
,AJOONI,SM,        32.50,                   130000.00,4000
