,03-May-2018
The Nifty witnessed an intraday movement of about 73.15 points.The closing index was 0.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32233.68
, Traded Quantity (in Lakhs), 14766.08
, Number of Trades, 11813200
, Total Market Capitalisation (Rs. Crores), 14853613.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10718.05,     10720.15,     10720.60,     10647.45,     10679.65,-38.4
,NIFTY50 EQL Wgt,     12562.25,     12558.80,     12559.25,     12451.45,     12513.75,-48.5
,NIFTY100 EQL Wgt,     14045.60,     14034.05,     14036.90,     13864.60,     13924.65,-120.95
,NIFTY100 LowVol30,      8523.05,      8524.75,      8524.75,      8451.40,      8472.40,-50.65
,NIFTY Alpha 50,     14053.75,     14039.35,     14042.60,     13813.90,     13868.00,-185.75
,Nifty IT,     13754.30,     13759.45,     13759.45,     13430.75,     13473.95,-280.35
,Nifty Next 50,     30287.90,     30257.45,     30276.90,     29797.50,     29898.90,-389
,Nifty Bank,     25568.30,     25547.90,     25653.45,     25469.05,     25605.25,36.95
,NIFTY MIDCAP 100,     19987.75,     19957.95,     19959.75,     19647.55,     19775.00,-212.75
,Nifty 500,      9444.50,      9442.10,      9442.20,      9355.05,      9388.65,-55.85
,Nifty 100,     11105.90,     11106.05,     11106.25,     11017.30,     11051.10,-54.8
,Nifty Midcap 50,      5365.40,      5361.90,      5362.75,      5267.20,      5293.70,-71.7
,Nifty Realty,       315.80,       314.90,       315.20,       308.05,       310.55,-5.25
,Nifty Infra,      3479.90,      3475.05,      3479.25,      3428.60,      3444.90,-35
,Nifty Energy,     13771.70,     13807.35,     13810.50,     13641.05,     13709.50,-62.2
,Nifty FMCG,     28818.20,     28797.15,     28865.90,     28392.60,     28486.30,-331.9
,Nifty MNC,     14481.40,     14488.15,     14492.90,     14270.50,     14377.35,-104.05
,Nifty Pharma,      8961.05,      8968.70,      8977.70,      8796.85,      8966.30,5.25
,Nifty PSE,      3800.95,      3793.80,      3821.35,      3781.20,      3808.60,7.65
,Nifty PSU Bank,      2792.25,      2792.05,      2815.20,      2762.40,      2794.45,2.2
,Nifty Serv Sector,     14347.00,     14337.90,     14354.20,     14287.45,     14306.00,-41
,India VIX,12.8400,12.8400,13.2075,12.4700,12.9850,0.1450
,Nifty Auto,     11508.20,     11526.65,     11528.60,     11411.05,     11451.65,-56.55
,Nifty Metal,      3645.25,      3645.50,      3682.40,      3611.40,      3673.05,27.8
,Nifty Media,      3354.55,      3351.65,      3371.75,      3319.25,      3337.50,-17.05
,NIFTY SMLCAP 100,      8291.30,      8281.40,      8284.85,      8161.40,      8214.35,-76.95
,Nifty 200,      5832.65,      5831.60,      5831.70,      5779.50,      5799.60,-33.05
,Nifty Div Opps 50,      2682.05,      2679.40,      2680.55,      2654.15,      2661.20,-20.85
,Nifty Commodities,      3766.65,      3769.90,      3773.70,      3734.25,      3763.10,-3.55
,Nifty Consumption,      5059.70,      5056.05,      5057.25,      4996.80,      5011.35,-48.35
,Nifty Fin Service,     10726.25,     10714.30,     10770.90,     10702.35,     10743.90,17.65
,Nifty50 Div Point,          .82,          .82,          .82,          .82,          .82,0
,Nifty100 Liq 15,      4190.45,      4184.50,      4218.25,      4158.60,      4212.70,22.25
,Nifty CPSE,      2379.30,      2371.25,      2393.80,      2370.00,      2382.10,2.8
,Nifty GrowSect 15,      6685.60,      6688.75,      6689.70,      6617.85,      6644.55,-41.05
,Nifty50 PR 2x Lev,      4662.60,      4663.70,      4663.70,      4600.50,      4628.45,-34.15
,Nifty50 PR 1x Inv,       407.60,       407.60,       410.35,       407.60,       409.15,1.55
,Nifty50 TR 2x Lev,      5785.65,      5786.95,      5786.95,      5708.55,      5743.25,-42.4
,Nifty50 TR 1x Inv,       365.95,       365.90,       368.40,       365.90,       367.30,1.35
,Nifty50 Value 20,      4762.65,      4765.80,      4767.05,      4734.50,      4743.75,-18.9
,Nifty Mid Liq 15,      4443.10,      4435.00,      4439.60,      4344.50,      4366.05,-77.05
,Nifty Pvt Bank,     14624.75,     14611.15,     14690.05,     14577.60,     14654.15,29.4
,Nifty Quality 30,      2608.45,      2609.35,      2609.40,      2578.45,      2583.10,-25.35
,Nifty GS 8 13Yr,      1685.72,      1686.07,      1689.49,      1685.51,      1689.06,3.34
,Nifty GS 10Yr,      1585.99,      1586.31,      1592.03,      1584.87,      1590.82,4.83
,Nifty GS 10Yr Cln,       899.77,       899.77,       903.09,       898.93,       902.39,2.62
,Nifty GS 4 8Yr,      1794.44,      1794.80,      1795.21,      1794.03,      1795.21,.77
,Nifty GS 11 15Yr,      1746.69,      1747.05,      1749.60,      1745.29,      1748.94,2.25
,Nifty GS 15YrPlus,      1882.80,      1883.20,      1883.20,      1883.20,      1883.20,.4
,Nifty GS Compsite,      1729.80,      1730.15,      1733.11,      1728.91,      1732.63,2.83

,ADVANCES,467
,DECLINES,1334
,UNCHANGED,76

,Total securities that have hit their price bands today,211

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PCJEWELLER,EQ,       110.65,       121.45,9.76,2400.43
,INDIGO,EQ,      1342.85,      1206.05,-10.19,1551.91
,HDFC,EQ,      1910.60,      1922.70,0.63,875.98
,HCLTECH,EQ,      1000.50,       925.70,-7.48,713.93
,JETAIRWAYS,EQ,       592.90,       520.05,-12.29,659.18
,TCS,EQ,      3499.75,      3481.85,-0.51,658.57
,AXISBANK,EQ,       523.75,       533.40,1.84,638.8
,FORTIS,EQ,       158.90,       157.85,-0.66,583.02
,YESBANK,EQ,       354.25,       353.95,-0.08,544.01
,JUSTDIAL,EQ,       407.20,       382.30,-6.11,540.22
,DHFL,EQ,       648.45,       631.50,-2.61,445.47
,ICICIBANK,EQ,       276.90,       281.90,1.81,414.49
,MINDTREE,EQ,      1051.65,      1031.85,-1.88,409.13
,SUNPHARMA,EQ,       515.20,       536.00,4.04,393.98
,TATASTEEL,EQ,       574.50,       585.45,1.91,391.67
,NIITTECH,EQ,      1098.80,      1060.10,-3.52,383.48
,RELIANCE,EQ,       972.70,       961.60,-1.14,380.65
,KOTAKBANK,EQ,      1256.85,      1233.55,-1.85,369.37
,VEDL,EQ,       283.40,       286.20,0.99,368.62
,MARUTI,EQ,      8744.50,      8755.95,0.13,355.5
,INFY,EQ,      1197.05,      1182.55,-1.21,318.78
,SBIN,EQ,       241.00,       241.90,0.37,312.11
,ITC,EQ,       287.25,       285.00,-0.78,267.54
,MRF,EQ,     79610.80,     77028.15,-3.24,259.66
,ASHOKLEY,EQ,       161.45,       163.75,1.42,242.75

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       536.00,       515.20,4.04
,INFRATEL,EQ,       324.95,       313.80,3.55
,NTPC,EQ,       174.30,       170.40,2.29
,TATASTEEL,EQ,       585.45,       574.50,1.91
,AXISBANK,EQ,       533.40,       523.75,1.84

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       925.70,      1000.50,-7.48
,UPL,EQ,       707.90,       733.40,-3.48
,EICHERMOT,EQ,     29878.40,     30522.25,-2.11
,IBULHSGFIN,EQ,      1271.95,      1298.05,-2.01
,KOTAKBANK,EQ,      1233.55,      1256.85,-1.85

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        45.10,                  5945091.25,130767
,21STCENMGM,EQ,        44.65,                   149931.60,3287
,3IINFOTECH,EQ,         4.60,                 10833034.30,2346575
,3MINDIA,EQ,     20524.70,                 32495419.80,1583
,5PAISA,EQ,       446.05,                 23534652.05,52803
,63MOONS,EQ,        83.30,                 27762494.30,329665
,8KMILES,EQ,       736.55,                 96727885.85,128917
,A2ZINFRA,EQ,        26.20,                 11820315.85,450637
,AAKASH,ST,        56.00,                  3584000.00,64000
,AARTIDRUGS,EQ,       563.00,                  1636841.45,2895
,AARTIIND,EQ,      1324.65,                 14028010.80,10625
,AARVEEDEN,EQ,        44.00,                   234147.20,5346
,AARVI,SM,        94.75,                   189500.00,2000
,ABAN,EQ,       165.85,                 79253197.60,475433
,ABBOTINDIA,EQ,      6293.15,                168685533.10,27064
,ABFRL,EQ,       143.85,                 18931645.40,130971
,ABGSHIP,BZ,         6.75,                    92732.90,13880
,ABMINTLTD,BE,        26.60,                     4085.60,148
,ACCELYA,EQ,      1334.40,                  5744752.75,4311
,ACE,EQ,       180.95,                 86541621.60,481956
,ADANIENT,EQ,       126.40,               1629499710.60,12869077
,ADANIPOWER,EQ,        24.60,                158190230.00,6414048
,ADANITRANS,EQ,       166.05,                442053691.60,2626145
,ADFFOODS,EQ,       233.00,                 16967182.90,72792
,ADHUNIK,EQ,         3.45,                   438701.10,125221
,ADHUNIKIND,EQ,        76.90,                  3497310.30,46089
,ADLABS,EQ,        48.00,                  4381837.35,91139
,ADORWELD,EQ,       385.40,                  2327033.30,6023
,ADROITINFO,EQ,        30.50,                   204569.45,6732
,ADSL,EQ,        20.20,                   544803.30,26856
,ADVANIHOTR,EQ,        67.95,                   673213.65,9903
,ADVENZYMES,EQ,       243.60,                 39452279.10,160791
,AEGISCHEM,EQ,       289.15,                 10626433.75,36763
,AFL,EQ,        62.70,                  2855907.30,45605
,AGARIND,BE,       293.90,                   388576.95,1315
,AGCNET,EQ,       129.40,                   363109.30,2835
,AGLSL,EQ,       102.00,                  3697559.20,36240
,AGRITECH,EQ,       130.30,                  4595941.60,35303
,AHLEAST,EQ,       358.45,                   717605.35,1989
,AHLUCONT,EQ,       420.05,                  1036704.40,2467
,AHLWEST,BE,       321.40,                   685172.10,2136
,AIAENG,EQ,      1417.30,                 13976970.45,9863
,AIFL,EQ,       480.30,                 15957907.20,33153
,AIRAN,SM,       250.00,                  2239500.00,9000
,AIROLAM,SM,        43.00,                   255000.00,6000
,AISL,SM,       118.85,                  2864340.00,24000
,AJANTPHARM,EQ,      1268.15,                547861021.15,428690
,AJMERA,EQ,       250.75,                 17822270.95,70438
,AJOONI,SM,        34.05,                   136200.00,4000
,AKASH,SM,        72.30,                   144600.00,2000
