,25-May-2018
The Nifty witnessed an intraday movement of about 104.05 points.The closing index was 0.87 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30928.78
, Traded Quantity (in Lakhs), 13602.1
, Number of Trades, 12093661
, Total Market Capitalisation (Rs. Crores), 14551426.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10513.85,     10533.05,     10628.05,     10524.00,     10605.15,91.3
,NIFTY50 EQL Wgt,     12204.20,     12234.40,     12382.80,     12211.05,     12355.60,151.4
,NIFTY100 EQL Wgt,     13392.60,     13430.45,     13610.35,     13404.05,     13586.70,194.1
,NIFTY100 LowVol30,      8335.15,      8350.85,      8412.60,      8335.10,      8401.05,65.9
,NIFTY Alpha 50,     13102.00,     13115.55,     13324.35,     13111.20,     13306.95,204.95
,Nifty IT,     13775.65,     13854.10,     13963.70,     13715.50,     13762.30,-13.35
,Nifty Next 50,     28481.20,     28576.85,     29010.55,     28521.80,     28963.40,482.2
,Nifty Bank,     26016.80,     26066.75,     26325.55,     26031.45,     26273.55,256.75
,NIFTY MIDCAP 100,     18427.65,     18461.85,     18819.60,     18437.15,     18787.40,359.75
,Nifty 500,      9115.55,      9135.05,      9230.70,      9126.60,      9215.55,100
,Nifty 100,     10827.25,     10849.40,     10954.40,     10838.95,     10934.00,106.75
,Nifty Midcap 50,      4896.00,      4908.70,      5031.95,      4897.40,      5018.75,122.75
,Nifty Realty,       291.80,       292.00,       297.45,       291.65,       295.50,3.7
,Nifty Infra,      3280.05,      3284.55,      3318.75,      3283.70,      3314.40,34.35
,Nifty Energy,     13113.95,     13112.25,     13340.70,     13101.30,     13315.80,201.85
,Nifty FMCG,     28500.25,     28453.35,     28728.05,     28303.10,     28595.80,95.55
,Nifty MNC,     14023.95,     14038.95,     14232.00,     13998.55,     14195.15,171.2
,Nifty Pharma,      8207.00,      8247.65,      8320.10,      8156.35,      8297.25,90.25
,Nifty PSE,      3660.90,      3662.10,      3733.15,      3657.40,      3725.30,64.4
,Nifty PSU Bank,      2946.35,      2941.25,      2965.75,      2912.45,      2950.00,3.65
,Nifty Serv Sector,     14319.45,     14362.10,     14488.95,     14357.30,     14448.35,128.9
,India VIX,13.1450,13.1450,13.1700,11.0025,12.6450,-0.5000
,Nifty Auto,     10681.60,     10704.75,     10903.25,     10683.00,     10883.00,201.4
,Nifty Metal,      3491.65,      3497.10,      3581.50,      3475.65,      3567.40,75.75
,Nifty Media,      3180.35,      3190.90,      3243.60,      3168.05,      3228.10,47.75
,NIFTY SMLCAP 100,      7697.75,      7730.40,      7823.55,      7719.10,      7814.50,116.75
,Nifty 200,      5646.45,      5657.90,      5719.25,      5652.30,      5708.85,62.4
,Nifty Div Opps 50,      2618.15,      2621.35,      2653.70,      2616.90,      2640.90,22.75
,Nifty Commodities,      3561.95,      3564.55,      3639.05,      3548.90,      3630.15,68.2
,Nifty Consumption,      4929.95,      4938.85,      5000.60,      4928.80,      4990.95,61
,Nifty Fin Service,     10781.75,     10803.45,     10902.45,     10795.75,     10885.80,104.05
,Nifty50 Div Point,         1.11,        12.28,        12.28,        12.28,        12.28,11.17
,Nifty100 Liq 15,      4032.25,      4040.20,      4119.65,      4022.25,      4105.35,73.1
,Nifty CPSE,      2273.20,      2273.20,      2334.40,      2263.95,      2325.10,51.9
,Nifty GrowSect 15,      6534.65,      6534.35,      6615.45,      6520.55,      6602.05,67.4
,Nifty50 PR 2x Lev,      4468.00,      4483.60,      4564.30,      4476.50,      4544.90,76.9
,Nifty50 PR 1x Inv,       416.80,       416.10,       416.45,       412.35,       413.25,-3.55
,Nifty50 TR 2x Lev,      5544.45,      5575.55,      5675.70,      5566.75,      5651.65,107.2
,Nifty50 TR 1x Inv,       374.15,       373.15,       373.45,       369.75,       370.55,-3.6
,Nifty50 Value 20,      4771.90,      4787.40,      4822.30,      4784.95,      4800.40,28.5
,Nifty Mid Liq 15,      3989.75,      3991.30,      4111.40,      3984.70,      4103.05,113.3
,Nifty Pvt Bank,     14791.95,     14828.80,     14990.00,     14800.95,     14956.70,164.75
,Nifty Quality 30,      2561.30,      2566.75,      2586.75,      2563.05,      2577.70,16.4
,Nifty GS 8 13Yr,      1675.03,      1675.37,      1681.37,      1674.80,      1680.28,5.25
,Nifty GS 10Yr,      1578.88,      1579.20,      1587.57,      1577.59,      1584.51,5.63
,Nifty GS 10Yr Cln,       891.54,       891.54,       896.40,       890.60,       894.62,3.08
,Nifty GS 4 8Yr,      1790.30,      1790.66,      1795.05,      1790.50,      1795.05,4.75
,Nifty GS 11 15Yr,      1735.72,      1736.08,      1745.01,      1735.20,      1743.48,7.76
,Nifty GS 15YrPlus,      1867.27,      1867.67,      1871.11,      1867.67,      1871.11,3.84
,Nifty GS Compsite,      1724.80,      1725.16,      1732.17,      1724.56,      1730.99,6.19

,ADVANCES,1175
,DECLINES,622
,UNCHANGED,68

,Total securities that have hit their price bands today,227

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       915.85,       920.80,0.54,748.16
,TCS,EQ,      3603.70,      3585.80,-0.5,684.8
,VEDL,EQ,       250.60,       251.80,0.48,678.74
,MCDOWELL-N,EQ,      3119.15,      3250.30,4.2,667.07
,SBIN,EQ,       268.50,       266.95,-0.58,591.98
,TATAMOTORS,EQ,       288.65,       294.15,1.91,564.21
,INFY,EQ,      1221.00,      1228.30,0.6,551.49
,UBL,EQ,      1180.00,      1183.35,0.28,548.94
,JUSTDIAL,EQ,       465.60,       507.65,9.03,533.85
,TATASTEEL,EQ,       548.20,       568.25,3.66,501.62
,DMART,EQ,      1409.90,      1497.55,6.22,481.01
,MARUTI,EQ,      8410.75,      8548.15,1.63,440.65
,HDFC,EQ,      1806.10,      1819.75,0.76,417.16
,MCX,EQ,       717.75,       817.80,13.94,410.96
,ICICIBANK,EQ,       297.70,       295.65,-0.69,402.35
,PCJEWELLER,EQ,       188.00,       192.50,2.39,381.98
,DHFL,EQ,       601.00,       615.05,2.34,368.98
,HINDALCO,EQ,       234.10,       245.50,4.87,367.71
,POWERGRID,EQ,       211.75,       212.05,0.14,358.92
,BPCL,EQ,       371.35,       380.55,2.48,309.27
,GAIL,EQ,       309.50,       319.15,3.12,303.91
,BAJFINANCE,EQ,      2094.75,      2116.00,1.01,285.7
,NCC,EQ,       114.40,       118.90,3.93,272.23
,PIDILITIND,EQ,      1080.55,      1139.55,5.46,270.94
,IOC,EQ,       155.90,       163.45,4.84,267.4

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,      1172.10,      1111.80,5.42
,HINDALCO,EQ,       245.50,       234.10,4.87
,IOC,EQ,       163.45,       155.90,4.84
,ONGC,EQ,       175.45,       167.70,4.62
,HINDPETRO,EQ,       295.20,       283.25,4.22

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       275.60,       280.10,-1.61
,TECHM,EQ,       702.75,       711.35,-1.21
,INFRATEL,EQ,       314.85,       318.35,-1.1
,ITC,EQ,       272.30,       274.85,-0.93
,ICICIBANK,EQ,       295.65,       297.70,-0.69

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.55,                 21799332.85,516619
,21STCENMGM,EQ,        38.40,                   256367.20,6928
,3IINFOTECH,EQ,         5.00,                 13462912.80,2668209
,3MINDIA,EQ,     19914.35,                 12148885.65,603
,3PLAND,EQ,        13.60,                    80886.15,5848
,5PAISA,EQ,       373.10,                  3505653.85,9445
,63MOONS,EQ,        79.85,                 78907414.30,980655
,8KMILES,EQ,       608.50,                143788718.40,234661
,A2ZINFRA,EQ,        23.40,                 14316507.15,632180
,AAKASH,SM,        44.00,                    88000.00,2000
,AARTIDRUGS,EQ,       538.25,                  2286903.90,4291
,AARTIIND,EQ,      1248.95,                 16295356.15,12946
,AARVEEDEN,EQ,        38.80,                   279442.45,7239
,AARVI,SM,        83.85,                   489400.00,6000
,ABAN,EQ,       153.75,                 81646903.45,528893
,ABBOTINDIA,EQ,      6598.85,                 57473470.25,8692
,ABFRL,EQ,       144.80,                 23901207.00,163042
,ABGSHIP,BZ,         5.90,                    55331.10,9266
,ACCELYA,EQ,      1184.15,                  3823328.45,3221
,ACCORD,SM,        40.85,                   163700.00,4000
,ACE,EQ,       170.50,                 62446938.45,369574
,ADANIENT,EQ,       124.80,                670296921.30,5483064
,ADANIPOWER,EQ,        20.05,                466174454.90,23687898
,ADANITRANS,EQ,       129.40,                 98602376.70,779631
,ADFFOODS,EQ,       259.45,                 15273868.95,59364
,ADHUNIK,EQ,         3.50,                   299842.90,87949
,ADHUNIKIND,EQ,        54.50,                   220180.00,4040
,ADLABS,EQ,        42.10,                  5518140.50,134355
,ADORWELD,EQ,       342.20,                  3021730.15,8824
,ADROITINFO,EQ,        29.25,                    45514.50,1537
,ADSL,EQ,        17.15,                   437341.85,26414
,ADVANIHOTR,EQ,        56.35,                   169593.45,3007
,ADVENZYMES,EQ,       219.75,                 43193770.00,196978
,AEGISCHEM,EQ,       274.30,                 24870009.50,91006
,AFL,EQ,        52.05,                   450917.15,8677
,AGARIND,EQ,       248.10,                   273306.85,1090
,AGCNET,EQ,       108.80,                   212798.00,1952
,AGLSL,EQ,        95.70,                   609565.50,6389
,AGRITECH,EQ,       117.50,                   811061.20,6880
,AGROPHOS,SM,        39.00,                  1221000.00,30000
,AHLEAST,EQ,       301.40,                   181439.50,611
,AHLUCONT,EQ,       389.40,                 87571475.15,227203
,AHLWEST,BE,       275.70,                     3305.60,12
,AIAENG,EQ,      1565.85,                132560898.65,84815
,AICHAMP,BE,        25.00,                      925.00,37
,AIFL,EQ,       493.10,                 55095598.75,111790
,AIRAN,SM,       249.00,                   249500.00,1000
,AIROLAM,SM,        43.40,                   791100.00,18000
,AISL,SM,       100.00,                  4601520.00,46800
,AJANTPHARM,EQ,       998.05,                210480355.85,212160
,AJMERA,EQ,       248.05,                 79225439.20,317469
,AKASH,SM,        62.25,                   187750.00,3000
