,30-May-2018
The Nifty witnessed an intraday movement of about 90.25 points.The closing index was 0.18 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30221.98
, Traded Quantity (in Lakhs), 15682.63
, Number of Trades, 11703776
, Total Market Capitalisation (Rs. Crores), 14651643.57

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10633.30,     10579.00,     10648.70,     10558.45,     10614.35,-18.95
,NIFTY50 EQL Wgt,     12430.75,     12365.15,     12448.05,     12344.80,     12409.05,-21.7
,NIFTY100 EQL Wgt,     13743.00,     13663.65,     13761.85,     13644.20,     13716.25,-26.75
,NIFTY100 LowVol30,      8412.10,      8386.95,      8436.40,      8377.40,      8418.50,6.4
,NIFTY Alpha 50,     13660.75,     13559.90,     13686.45,     13512.55,     13605.05,-55.7
,Nifty IT,     13561.05,     13548.85,     13627.05,     13480.55,     13557.70,-3.35
,Nifty Next 50,     29428.75,     29249.60,     29468.75,     29211.35,     29343.35,-85.4
,Nifty Bank,     26254.80,     26039.90,     26405.45,     25980.85,     26327.80,73
,NIFTY MIDCAP 100,     18985.05,     18853.95,     19023.75,     18824.10,     18975.30,-9.75
,Nifty 500,      9270.60,      9220.80,      9283.55,      9209.85,      9255.00,-15.6
,Nifty 100,     10983.30,     10925.55,     10996.70,     10910.85,     10961.60,-21.7
,Nifty Midcap 50,      5047.35,      5007.55,      5051.65,      5001.35,      5041.70,-5.65
,Nifty Realty,       297.10,       294.90,       297.80,       293.60,       297.05,-.05
,Nifty Infra,      3351.55,      3340.30,      3350.45,      3324.85,      3333.85,-17.7
,Nifty Energy,     13446.55,     13401.15,     13489.75,     13334.90,     13401.50,-45.05
,Nifty FMCG,     28706.10,     28591.85,     28705.90,     28506.00,     28658.05,-48.05
,Nifty MNC,     14320.75,     14219.95,     14299.10,     14189.90,     14277.55,-43.2
,Nifty Pharma,      8410.45,      8341.35,      8411.15,      8297.75,      8321.10,-89.35
,Nifty PSE,      3828.95,      3809.60,      3842.50,      3805.30,      3815.95,-13
,Nifty PSU Bank,      2940.05,      2899.20,      2966.95,      2891.60,      2958.70,18.65
,Nifty Serv Sector,     14398.50,     14320.05,     14443.20,     14297.95,     14395.85,-2.65
,India VIX,13.0700,13.0700,13.8500,12.1825,13.4100,0.3400
,Nifty Auto,     11051.15,     11002.75,     11049.35,     10946.30,     11024.15,-27
,Nifty Metal,      3606.95,      3558.55,      3622.65,      3553.00,      3610.15,3.2
,Nifty Media,      3210.40,      3208.00,      3224.10,      3186.95,      3208.00,-2.4
,NIFTY SMLCAP 100,      7929.80,      7873.95,      7955.95,      7861.20,      7907.15,-22.65
,Nifty 200,      5738.80,      5707.50,      5745.90,      5700.20,      5728.55,-10.25
,Nifty Div Opps 50,      2652.40,      2640.85,      2656.60,      2638.40,      2648.60,-3.8
,Nifty Commodities,      3683.90,      3655.15,      3685.75,      3651.40,      3669.75,-14.15
,Nifty Consumption,      5036.10,      5023.45,      5038.25,      5008.20,      5033.80,-2.3
,Nifty Fin Service,     10895.75,     10817.15,     10941.15,     10789.35,     10899.45,3.7
,Nifty50 Div Point,        12.28,        12.28,        12.28,        12.28,        12.28,0
,Nifty100 Liq 15,      4159.45,      4112.60,      4160.30,      4097.80,      4145.95,-13.5
,Nifty CPSE,      2398.55,      2383.25,      2406.55,      2380.00,      2390.25,-8.3
,Nifty GrowSect 15,      6659.40,      6644.65,      6656.90,      6619.50,      6651.30,-8.1
,Nifty50 PR 2x Lev,      4566.00,      4518.60,      4578.35,      4501.15,      4548.95,-17.05
,Nifty50 PR 1x Inv,       412.35,       414.55,       415.35,       411.85,       413.15,.8
,Nifty50 TR 2x Lev,      5677.85,      5618.95,      5693.20,      5597.25,      5656.65,-21.2
,Nifty50 TR 1x Inv,       369.75,       371.70,       372.40,       369.30,       370.50,.75
,Nifty50 Value 20,      4789.95,      4767.35,      4798.70,      4756.85,      4779.20,-10.75
,Nifty Mid Liq 15,      4116.90,      4083.85,      4142.20,      4078.45,      4136.40,19.5
,Nifty Pvt Bank,     14917.40,     14800.50,     14984.45,     14753.10,     14930.30,12.9
,Nifty Quality 30,      2590.75,      2579.85,      2585.95,      2570.10,      2580.95,-9.8
,Nifty GS 8 13Yr,      1690.72,      1690.72,      1692.09,      1689.90,      1690.10,-.62
,Nifty GS 10Yr,      1592.56,      1592.56,      1596.43,      1590.79,      1591.35,-1.21
,Nifty GS 10Yr Cln,       898.55,       898.55,       900.80,       897.52,       897.85,-.7
,Nifty GS 4 8Yr,      1799.47,      1799.47,      1801.06,      1799.47,      1799.94,.47
,Nifty GS 11 15Yr,      1755.25,      1755.25,      1758.46,      1754.59,      1755.00,-.25
,Nifty GS 15YrPlus,      1881.60,      1881.60,      1884.28,      1881.60,      1884.28,2.68
,Nifty GS Compsite,      1737.55,      1737.55,      1739.64,      1736.82,      1737.07,-.48

,ADVANCES,760
,DECLINES,1043
,UNCHANGED,59

,Total securities that have hit their price bands today,253

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JUSTDIAL,EQ,       599.05,       581.65,-2.9,920.6
,JUBLFOOD,EQ,      2576.45,      2506.15,-2.73,816.15
,M&M,EQ,       870.25,       897.95,3.18,732.08
,ICICIBANK,EQ,       289.90,       284.90,-1.72,717.55
,TCS,EQ,      3523.50,      3514.10,-0.27,663.02
,RCOM,EQ,        15.95,        17.50,9.72,662.6
,HDFC,EQ,      1809.75,      1790.80,-1.05,563.19
,RELIANCE,EQ,       917.45,       916.10,-0.15,548.68
,SBIN,EQ,       264.30,       267.15,1.08,510.68
,DBL,EQ,      1054.50,       918.40,-12.91,458.68
,MARUTI,EQ,      8714.90,      8588.20,-1.45,437.3
,POWERGRID,EQ,       207.00,       209.50,1.21,425.21
,VEDL,EQ,       253.25,       251.10,-0.85,409.4
,INFY,EQ,      1216.70,      1211.70,-0.41,384.01
,TATASTEEL,EQ,       575.35,       577.90,0.44,357.53
,YESBANK,EQ,       338.05,       343.15,1.51,341.51
,TATAMOTORS,EQ,       294.65,       288.90,-1.95,337.73
,AXISBANK,EQ,       547.75,       541.65,-1.11,320.41
,LT,EQ,      1380.60,      1365.65,-1.08,312.61
,BHEL,EQ,        83.45,        83.00,-0.54,307.05
,GRAPHITE,EQ,       865.35,       882.65,2,287.12
,DMART,EQ,      1544.05,      1565.95,1.42,274.71
,PCJEWELLER,EQ,       171.15,       174.30,1.84,269.23
,KOTAKBANK,EQ,      1284.25,      1303.25,1.48,263.51
,COALINDIA,EQ,       282.35,       289.05,2.37,262.93

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       897.95,       870.25,3.18
,COALINDIA,EQ,       289.05,       282.35,2.37
,BAJFINANCE,EQ,      2118.65,      2077.10,2
,YESBANK,EQ,       343.15,       338.05,1.51
,KOTAKBANK,EQ,      1303.25,      1284.25,1.48

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       306.85,       315.05,-2.6
,TATAMOTORS,EQ,       288.90,       294.65,-1.95
,HINDALCO,EQ,       238.10,       242.50,-1.81
,ICICIBANK,EQ,       284.90,       289.90,-1.72
,GRASIM,EQ,      1041.50,      1057.80,-1.54

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        41.65,                  2106960.55,50536
,21STCENMGM,EQ,        38.30,                   611835.60,16230
,3IINFOTECH,EQ,         4.80,                 13583412.20,2782757
,3MINDIA,EQ,     20011.75,                 18174743.70,909
,3PLAND,EQ,        13.45,                     4302.10,316
,5PAISA,EQ,       429.95,                 20253564.05,47298
,63MOONS,EQ,        78.40,                  9201612.40,117124
,8KMILES,EQ,       619.35,                 95041723.15,152473
,A2ZINFRA,EQ,        24.25,                 17529678.50,721351
,AARTIDRUGS,EQ,       519.50,                  1123061.95,2139
,AARTIIND,EQ,      1240.20,                 53394888.05,43534
,AARVEEDEN,EQ,        37.60,                   573942.10,15312
,ABAN,EQ,       145.80,                616115828.30,4146310
,ABBOTINDIA,EQ,      6736.85,                 60216077.65,8971
,ABFRL,EQ,       146.80,                 10052317.05,68131
,ABGSHIP,BZ,         6.75,                    77861.10,11558
,ABMINTLTD,BE,        21.60,                      674.80,33
,ACCELYA,EQ,      1168.80,                  2548494.50,2187
,ACE,EQ,       166.35,                 39692239.50,236888
,ACEINTEG,SM,        40.00,                   120000.00,3000
,ADANIENT,EQ,       123.40,                263420918.95,2133256
,ADANIPOWER,EQ,        20.00,                397251678.45,19847499
,ADANITRANS,EQ,       136.30,                103279814.80,751366
,ADFFOODS,EQ,       269.55,                 72521098.95,267772
,ADHUNIK,EQ,         3.95,                   155732.50,39443
,ADHUNIKIND,EQ,        59.25,                  4703142.60,80035
,ADLABS,EQ,        40.60,                  3424846.65,83125
,ADORWELD,EQ,       354.45,                  5610233.70,15806
,ADROITINFO,EQ,        28.05,                   626213.85,22015
,ADSL,EQ,        18.55,                   614638.30,33655
,ADVANIHOTR,EQ,        56.10,                   290369.95,5147
,ADVENZYMES,EQ,       231.65,                 62889738.05,268745
,AEGISCHEM,EQ,       264.75,                 25163043.75,94178
,AFL,EQ,        54.70,                   141020.65,2524
,AGARIND,EQ,       245.80,                   332802.90,1344
,AGCNET,EQ,       136.70,                  9589125.45,70889
,AGLSL,EQ,        95.00,                   694635.90,7312
,AGRITECH,EQ,       119.00,                  2475191.15,20695
,AGROPHOS,SM,        39.00,                  1144200.00,30000
,AHLEAST,EQ,       300.00,                   178027.35,591
,AHLUCONT,EQ,       391.65,                  2530678.25,6422
,AHLWEST,BE,       301.00,                   335174.85,1120
,AIAENG,EQ,      1575.00,                 30782216.45,19517
,AIFL,EQ,       496.55,                103974329.00,212361
,AIRAN,SM,       265.00,                   926500.00,3500
,AIROLAM,SM,        43.20,                   259650.00,6000
,AISL,SM,       103.75,                  1727220.00,16800
,AJANTPHARM,EQ,       985.00,                454242774.80,455221
,AJMERA,EQ,       248.40,                 11091598.30,44718
,AJOONI,SM,        30.00,                   341000.00,12000
,AKSHARCHEM,EQ,       649.95,                 35010120.85,54188
,AKSHOPTFBR,EQ,        36.30,                 66339797.05,1848264
,AKZOINDIA,EQ,      1929.90,                  7415011.10,3840
,ALANKIT,EQ,        33.15,                  9413840.00,285034
,ALBERTDAVD,EQ,       388.15,                  4219129.35,10896
,ALBK,EQ,        41.85,                 91309828.65,2188032
,ALCHEM,BE,         5.90,                   148259.65,24830
,ALEMBICLTD,EQ,        48.35,                  4512335.30,92900
,ALICON,EQ,       639.90,                   817453.90,1287
,ALKALI,EQ,        75.20,                   383161.55,5095
,ALKEM,EQ,      1983.20,                223614293.35,113343
,ALKYLAMINE,EQ,       666.95,                  1570255.30,2341
,ALLCARGO,EQ,       126.00,                 13362223.90,105850
,ALLSEC,EQ,       300.15,                 10718988.40,35644
,ALMONDZ,BE,        31.45,                    61279.90,2006
,ALOKTEXT,EQ,         1.80,                   338405.40,188003
,ALPA,EQ,        30.05,                   852503.05,27974
,ALPHAGEO,EQ,       736.40,                  4984237.15,6750
,ALPSINDUS,BE,         2.15,                    15151.95,6913
,AMARAJABAT,EQ,       788.65,                217871777.75,275990
,AMBER,EQ,      1093.40,                  6145575.90,5606
,AMBIKCO,EQ,      1317.20,                  3485359.10,2645
,AMDIND,EQ,        26.00,                   263799.00,10203
,AMJLAND,EQ,        25.20,                   272900.60,10747
,AMRUTANJAN,EQ,       272.95,                  1233302.25,4498
,AMTEKAUTO,BZ,        13.65,                  1514044.35,110919
,ANANTRAJ,EQ,        42.55,                 22049760.60,519356
,ANDHRABANK,EQ,        36.50,                 94629176.15,2587688
,ANDHRACEMT,EQ,        10.05,                   887371.70,87114
,ANDHRSUGAR,EQ,       390.55,                 29083626.55,73812
,ANGIND,BE,         2.75,                    19246.25,6714
,ANIKINDS,BE,        34.00,                    76934.10,2261
,ANSALAPI,EQ,        16.75,                  1004851.00,60738
,ANSALHSG,EQ,        16.75,                   650485.70,39090
,ANTGRAPHIC,BE,          .65,                    42684.90,66846
,APARINDS,EQ,       721.40,                  1891147.40,2625
,APCL,EQ,       176.10,                    76606.30,436
,APCOTEXIND,EQ,       531.00,                  2089516.45,3919
,APEX,EQ,       581.30,                 52952306.40,90483
,APLAPOLLO,EQ,      1887.80,                101099897.75,53478
,APLLTD,EQ,       430.65,                  9553370.85,22150
,APOLLO,EQ,       208.70,                 14344099.00,67663
,APOLLOHOSP,EQ,       987.65,                219515588.00,221514
,APOLLOTYRE,EQ,       276.15,                737243168.80,2661368
,APOLSINHOT,EQ,      1698.45,                  2916304.75,1716
,APTECHT,EQ,       245.20,                117665951.05,486853
,ARCHIDPLY,EQ,        82.65,                  1909143.00,23095
,ARCHIES,BE,        32.90,                   352384.60,10684
,ARCOTECH,EQ,        22.95,                 10170589.15,442087
,ARIES,EQ,       165.05,                  2232308.05,13405
,ARIHANT,EQ,        39.90,                     2394.00,60
,ARIHANTSUP,EQ,       119.65,                  8204241.80,66757
,ARMANFIN,BE,       383.65,                   355094.65,906
,AROGRANITE,EQ,        61.75,                  1395279.80,22350
,ARROWGREEN,EQ,       246.75,                  3440928.75,13945
,ARROWTEX,EQ,        32.10,                   198896.90,6238
,ARSHIYA,EQ,        64.50,                  7712004.80,119503
,ARSSINFRA,BE,        34.20,                   322565.70,9478
,ARVEE,SM,        56.10,                   112200.00,2000
,ARVIND,EQ,       390.75,                367307436.60,943027
,ARVSMART,EQ,       174.30,                  3851536.95,21797
,ASAHIINDIA,EQ,       348.05,                  3191481.45,9185
,ASAHISONG,EQ,       287.10,                  6081580.70,21131
,ASAL,EQ,        68.35,                  1639500.30,23661
,ASHAPURMIN,EQ,        60.60,                  5247346.55,87215
,ASHIANA,EQ,       154.20,                 13325616.65,85291
,ASHIMASYN,EQ,        25.00,                  1255643.10,50473
,ASHOKA,EQ,       253.70,                136918585.15,530536
,ASIANHOTNR,EQ,       267.80,                   362260.90,1378
,ASIANTILES,EQ,       421.70,                 18898563.35,44556
,ASPINWALL,EQ,       315.60,                   964612.55,3033
,ASSAMCO,EQ,         4.00,                   340748.25,83336
,ASTEC,EQ,       721.15,                 14994719.20,20881
,ASTERDM,EQ,       179.10,                  6474720.40,36181
,ASTRAL,EQ,      1012.95,                151156588.25,152374
,ASTRAMICRO,EQ,       108.45,                175014003.30,1614722
,ASTRAZEN,EQ,      1223.60,                 48151777.75,39443
,ASTRON,EQ,       112.40,                 12396041.20,110155
,ATFL,EQ,       682.95,                  5377751.95,7812
,ATLANTA,EQ,        64.05,                 24001474.45,371487
,ATLASCYCLE,BE,       140.00,                   119488.55,848
,ATUL,EQ,      2774.35,                 67385951.30,24612
,ATULAUTO,EQ,       425.10,                  1231271.70,2887
,AUBANK,EQ,       689.45,                 63393157.90,91674
,AURDIS,SM,        31.25,                   125500.00,4000
,AURIONPRO,EQ,       206.10,                  3058497.45,14920
,AUSOMENT,EQ,        73.35,                   269194.50,3670
,AUTOAXLES,EQ,      1265.90,                 38530515.70,30038
,AUTOIND,EQ,        78.00,                  1584472.75,20581
,AUTOLITIND,EQ,        64.45,                   321283.55,4997
,AVADHSUGAR,EQ,       372.15,                  9039116.20,24323
,AVANTIFEED,EQ,      1739.40,                515458858.65,292777
,AVG,SM,       113.95,                   409140.00,3600
,AVTNPL,EQ,        36.05,                  1082428.40,29936
,AXISCADES,EQ,       149.30,                  3150078.15,20904
,AXISGOLD,EQ,      2747.00,                   137245.70,50
,AXISNIFTY,EQ,      1062.00,                   102204.79,96
,AYMSYNTEX,EQ,        57.90,                   860124.50,14917
,BAFNAPHARM,EQ,        25.80,                   214097.15,8264
,BAGFILMS,EQ,         4.80,                  1054937.65,222049
,BAJAJCORP,EQ,       464.55,                 44592878.25,96361
,BAJAJELEC,EQ,       541.40,                157028255.55,288628
,BAJAJHIND,EQ,         7.45,                  9911019.05,1331989
,BAJAJHLDNG,EQ,      2763.75,                 28656267.60,10298
,BALAJITELE,EQ,       131.10,                  6764745.00,51294
,BALAMINES,EQ,       607.80,                  7529380.60,12269
,BALKRISHNA,EQ,        73.10,                   647771.75,8855
,BALKRISIND,EQ,      1144.40,                399617560.50,351417
,BALLARPUR,EQ,        11.10,                  3525587.55,316879
,BALMLAWRIE,EQ,       229.65,                 54538464.50,237632
,BALPHARMA,EQ,        78.95,                  2782326.70,35020
,BALRAMCHIN,EQ,        72.20,                396167937.40,5570617
,BANARBEADS,EQ,        53.50,                    13313.70,241
,BANARISUG,EQ,      1564.80,                   472944.50,301
,BANCOINDIA,EQ,       216.90,                  5436723.95,24837
,BANDHANBNK,EQ,       469.90,                175993511.90,372779
,BANG,EQ,        42.20,                   781428.50,18730
,BANKBEES,EQ,      2663.78,                  8306686.61,3120
,BANKINDIA,EQ,       100.90,                826373209.50,8171045
,BANSAL,SM,       110.45,                  2291100.00,20000
,BANSWRAS,EQ,        92.70,                   121494.15,1319
,BARTRONICS,BE,        11.70,                   849527.00,72256
,BASF,EQ,      1981.45,                 13587801.55,6815
,BASML,EQ,       239.85,                   729335.70,3057
,BATAINDIA,EQ,       790.20,               1042919135.45,1330351
,BAYERCROP,EQ,      4685.90,                 38026543.55,8130
,BBL,EQ,      1355.80,                 10855908.20,7934
,BBTC,EQ,      1571.95,                537915120.00,345017
,BCONCEPTS,SM,        45.00,                   135000.00,3000
,BDL,EQ,       402.30,                 14376277.55,35818
,BEARDSELL,EQ,        42.10,                    96171.80,2280
,BEDMUTHA,BE,        18.30,                   326731.80,17929
,BEML,EQ,       940.55,                604597173.90,639536
,BEPL,EQ,       147.60,                198234067.80,1336614
,BERGEPAINT,EQ,       300.95,                326721893.10,1091188
,BFINVEST,EQ,       308.05,                104706266.30,341019
,BFUTILITIE,EQ,       390.60,                334775593.65,870590
,BGLOBAL,BE,         4.10,                    38230.00,9473
,BGRENERGY,EQ,        97.55,                  8090415.35,83402
,BHAGERIA,EQ,       306.15,                 55120841.05,179612
,BHAGYANGR,EQ,        44.10,                  3172730.80,71819
,BHAGYAPROP,BE,        21.05,                   334886.65,16046
,BHANDARI,EQ,         2.35,                   851075.20,368209
,BHARATFIN,EQ,      1152.05,                610490594.10,533569
,BHARATFORG,EQ,       665.75,                887026621.30,1334883
,BHARATGEAR,EQ,       177.00,                  1430948.95,8077
,BHARATIDIL,BZ,         4.05,                    41917.10,10148
,BHARATRAS,EQ,      5627.40,                  6701071.20,1192
,BHARATWIRE,EQ,       109.90,                  3435375.75,31232
,BHUSANSTL,EQ,        40.60,                 14463668.80,356248
,BIGBLOC,EQ,       118.70,                  7531153.65,63014
,BIL,EQ,       404.50,                  2035633.15,5112
,BILENERGY,BE,          .55,                    27828.75,51878
,BINANIIND,EQ,        89.10,                  6268958.65,69459
,BINDALAGRO,EQ,        24.30,                  1757095.05,71597
,BIOCON,EQ,       674.90,               1115751978.65,1647394
,BIOFILCHEM,BE,        14.00,                     8456.00,604
,BIRLACABLE,BE,        92.80,                 12213895.20,132025
