,11-Jun-2018
The Nifty witnessed an intraday movement of about 73.5 points.The closing index was 0.18 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26706.03
, Traded Quantity (in Lakhs), 12553.7
, Number of Trades, 10405096
, Total Market Capitalisation (Rs. Crores), 14702297.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10767.65,     10781.85,     10850.55,     10777.05,     10786.95,19.3
,NIFTY50 EQL Wgt,     12553.60,     12572.80,     12658.30,     12570.95,     12594.40,40.8
,NIFTY100 EQL Wgt,     13781.35,     13814.00,     13883.45,     13805.80,     13819.05,37.7
,NIFTY100 LowVol30,      8461.95,      8481.20,      8505.90,      8463.75,      8473.35,11.4
,NIFTY Alpha 50,     13321.65,     13378.95,     13550.90,     13362.25,     13381.90,60.25
,Nifty IT,     13769.80,     13807.50,     13869.55,     13755.50,     13775.10,5.3
,Nifty Next 50,     29320.60,     29412.90,     29497.00,     29309.90,     29339.15,18.55
,Nifty Bank,     26451.35,     26473.20,     26653.00,     26421.95,     26453.55,2.2
,NIFTY MIDCAP 100,     18830.60,     18879.75,     18987.00,     18800.00,     18825.10,-5.5
,Nifty 500,      9316.25,      9334.45,      9386.15,      9324.30,      9332.40,16.15
,Nifty 100,     11098.25,     11115.70,     11179.60,     11106.30,     11116.20,17.95
,Nifty Midcap 50,      5018.65,      5034.00,      5056.00,      4999.40,      5006.90,-11.75
,Nifty Realty,       292.25,       293.90,       294.85,       289.55,       290.45,-1.8
,Nifty Infra,      3260.75,      3266.30,      3287.65,      3261.65,      3267.45,6.7
,Nifty Energy,     13862.90,     13884.15,     14002.40,     13817.75,     13846.30,-16.6
,Nifty FMCG,     28713.50,     28779.30,     29007.05,     28722.20,     28806.30,92.8
,Nifty MNC,     14389.85,     14417.80,     14471.55,     14373.10,     14422.95,33.1
,Nifty Pharma,      8603.95,      8624.70,      8780.75,      8610.95,      8647.15,43.2
,Nifty PSE,      3792.20,      3793.35,      3808.90,      3781.75,      3785.85,-6.35
,Nifty PSU Bank,      3019.35,      3025.75,      3077.20,      3019.85,      3029.25,9.9
,Nifty Serv Sector,     14520.00,     14540.20,     14618.85,     14524.55,     14538.65,18.65
,India VIX,12.6975,12.6975,13.8200,11.3225,13.1800,0.4825
,Nifty Auto,     11226.10,     11259.05,     11278.15,     11220.95,     11239.70,13.6
,Nifty Metal,      3658.55,      3661.35,      3685.35,      3640.40,      3644.80,-13.75
,Nifty Media,      3194.35,      3203.85,      3246.40,      3187.30,      3227.20,32.85
,NIFTY SMLCAP 100,      7658.10,      7682.05,      7741.20,      7667.15,      7673.70,15.6
,Nifty 200,      5785.60,      5795.40,      5827.70,      5788.40,      5793.60,8
,Nifty Div Opps 50,      2654.70,      2659.25,      2668.35,      2652.35,      2655.30,.6
,Nifty Commodities,      3699.20,      3701.80,      3724.80,      3696.45,      3701.40,2.2
,Nifty Consumption,      5067.90,      5078.90,      5115.75,      5074.10,      5093.65,25.75
,Nifty Fin Service,     11003.35,     11007.70,     11081.60,     10994.30,     11014.40,11.05
,Nifty50 Div Point,        23.97,        23.97,        23.97,        23.97,        23.97,0
,Nifty100 Liq 15,      4192.35,      4200.50,      4246.75,      4197.90,      4206.00,13.65
,Nifty CPSE,      2399.00,      2399.35,      2410.65,      2383.85,      2388.50,-10.5
,Nifty GrowSect 15,      6750.05,      6764.25,      6807.30,      6758.95,      6778.95,28.9
,Nifty50 PR 2x Lev,      4673.00,      4683.35,      4742.80,      4679.45,      4687.75,14.75
,Nifty50 PR 1x Inv,       407.75,       407.40,       407.55,       404.80,       407.20,-.55
,Nifty50 TR 2x Lev,      5823.50,      5836.40,      5910.45,      5831.50,      5841.90,18.4
,Nifty50 TR 1x Inv,       365.20,       364.85,       365.05,       362.55,       364.70,-.5
,Nifty50 Value 20,      4881.20,      4885.15,      4911.20,      4871.60,      4877.70,-3.5
,Nifty Mid Liq 15,      4099.60,      4114.35,      4132.00,      4058.05,      4066.95,-32.65
,Nifty Pvt Bank,     14990.55,     14997.20,     15098.40,     14970.35,     14994.50,3.95
,Nifty Quality 30,      2613.85,      2619.60,      2634.55,      2618.00,      2621.50,7.65
,Nifty GS 8 13Yr,      1679.38,      1679.74,      1679.74,      1677.38,      1678.58,-.8
,Nifty GS 10Yr,      1576.44,      1576.76,      1576.76,      1571.13,      1573.99,-2.45
,Nifty GS 10Yr Cln,       887.14,       887.14,       887.14,       883.87,       885.53,-1.61
,Nifty GS 4 8Yr,      1789.74,      1790.10,      1790.10,      1786.82,      1788.07,-1.67
,Nifty GS 11 15Yr,      1745.21,      1745.58,      1745.58,      1741.66,      1742.84,-2.37
,Nifty GS 15YrPlus,      1868.17,      1868.58,      1870.95,      1868.58,      1870.95,2.78
,Nifty GS Compsite,      1725.49,      1725.85,      1725.85,      1723.17,      1724.02,-1.47

,ADVANCES,1048
,DECLINES,749
,UNCHANGED,93

,Total securities that have hit their price bands today,241

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SUNPHARMA,EQ,       528.25,       535.70,1.41,883.08
,RELIANCE,EQ,       984.35,       982.65,-0.17,680.6
,PCJEWELLER,EQ,       136.85,       145.70,6.47,512.82
,SBIN,EQ,       273.00,       274.00,0.37,503.53
,ICICIBANK,EQ,       288.25,       286.40,-0.64,485.15
,BAJFINANCE,EQ,      2186.85,      2250.30,2.9,460.57
,TATAMOTORS,EQ,       309.95,       309.75,-0.06,455.47
,VEDL,EQ,       246.30,       246.10,-0.08,425.16
,YESBANK,EQ,       337.65,       335.70,-0.58,406.52
,TCS,EQ,      1747.10,      1749.70,0.15,381.95
,HDFCBANK,EQ,      2049.35,      2042.30,-0.34,363.64
,PNB,EQ,        90.45,        91.60,1.27,345.28
,DRREDDY,EQ,      2062.90,      2083.20,0.98,338.05
,INFY,EQ,      1260.05,      1262.40,0.19,326.49
,TATASTEEL,EQ,       600.50,       588.65,-1.97,306.57
,MARUTI,EQ,      8932.45,      9022.65,1.01,303.88
,TECHM,EQ,       706.95,       714.20,1.03,287.64
,HDFC,EQ,      1840.45,      1839.45,-0.05,287.62
,LUPIN,EQ,       810.05,       809.50,-0.07,282.09
,BPCL,EQ,       409.85,       414.40,1.11,263.05
,AVANTIFEED,EQ,      1825.00,      1894.40,3.8,242.93
,ITC,EQ,       267.90,       269.25,0.5,231.78
,FEDERALBNK,EQ,        86.60,        87.65,1.21,224.49
,STAR,EQ,       357.55,       349.80,-2.17,224.31
,JUSTDIAL,EQ,       562.65,       558.15,-0.8,221.42

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       388.80,       377.55,2.98
,BAJFINANCE,EQ,      2250.30,      2186.85,2.9
,ULTRACEMCO,EQ,      3790.10,      3715.15,2.02
,GRASIM,EQ,      1049.10,      1028.60,1.99
,ZEEL,EQ,       567.15,       557.35,1.76

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       588.65,       600.50,-1.97
,UPL,EQ,       699.30,       712.90,-1.91
,HCLTECH,EQ,       911.60,       928.70,-1.84
,POWERGRID,EQ,       195.70,       197.90,-1.11
,IOC,EQ,       173.10,       175.00,-1.09

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.10,                  3374617.25,82676
,21STCENMGM,EQ,        36.70,                    53545.30,1459
,3IINFOTECH,EQ,         4.70,                  4935959.35,1032606
,3MINDIA,EQ,     19018.00,                 34915848.55,1832
,3PLAND,EQ,        14.10,                    67019.35,4833
,5PAISA,EQ,       377.30,                  1511048.10,3924
,63MOONS,EQ,        87.50,                295465978.80,3471612
,8KMILES,EQ,       528.80,                147683778.55,267992
,A2ZINFRA,EQ,        22.75,                  8568448.55,376235
,AAKASH,SM,        47.90,                   183900.00,4000
,AARTIDRUGS,EQ,       521.05,                  3053474.70,5826
,AARTIIND,EQ,      1218.75,                 17778605.00,14690
,AARVEEDEN,EQ,        34.90,                  1402267.95,39148
,AARVI,SM,        70.00,                   140000.00,2000
,ABAN,EQ,       123.25,                 93079317.20,753294
,ABBOTINDIA,EQ,      6351.00,                 66916153.90,10523
,ABFRL,EQ,       138.85,                 45549848.55,324611
,ABGSHIP,BZ,         6.60,                    27386.25,4032
,ABMINTLTD,BE,        22.65,                     1132.50,50
,ACCELYA,EQ,      1233.65,                  5058181.30,4126
,ACE,EQ,       147.20,                 31919761.10,216213
,ADANIENT,EQ,       128.25,                853733510.75,6562401
,ADANIPOWER,EQ,        19.55,                216156520.10,10958826
,ADANITRANS,EQ,       142.95,                133957948.00,928939
,ADFFOODS,EQ,       249.25,                 23211133.40,93572
,ADHUNIK,EQ,         3.30,                   172281.50,51851
,ADHUNIKIND,EQ,        65.85,                  5029550.30,79475
,ADLABS,EQ,        37.90,                  2548257.15,67107
,ADORWELD,EQ,       343.60,                   727306.20,2094
,ADROITINFO,EQ,        26.40,                   364150.15,13590
,ADSL,EQ,        18.05,                   266725.30,14702
,ADVANIHOTR,EQ,        55.85,                   655788.25,11685
,ADVENZYMES,EQ,       218.60,                 31633509.00,143745
,AEGISCHEM,EQ,       245.70,                 53932189.80,216504
,AFL,EQ,        54.75,                   632321.65,11687
,AGARIND,EQ,       269.95,                  1045563.15,3840
,AGCNET,EQ,       119.05,                   398327.00,3351
,AGLSL,EQ,        90.00,                   913612.45,10085
,AGRITECH,EQ,       126.40,                 13324701.05,104156
,AGROPHOS,SM,        37.55,                   901500.00,24000
,AHLEAST,EQ,       286.05,                   580959.15,2010
,AHLUCONT,EQ,       353.55,                   615580.55,1742
,AHLWEST,BE,       315.00,                   604131.95,2015
,AIAENG,EQ,      1548.20,                 34074352.95,22070
,AICHAMP,BE,        23.40,                    11700.00,500
,AIFL,EQ,       465.10,                 11300656.35,24261
,AIRAN,SM,       247.00,                  1231400.00,5000
,AIROLAM,SM,        39.00,                   471000.00,12000
,AISL,SM,        97.45,                   468420.00,4800
,AJANTPHARM,EQ,       994.90,               1233387170.60,1231721
,AJMERA,EQ,       228.55,                 63663511.65,277776
