,14-Jun-2018
The Nifty witnessed an intraday movement of about 60.15 points.The closing index was 0.45 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 26350.92
, Traded Quantity (in Lakhs), 12004.58
, Number of Trades, 9516649
, Total Market Capitalisation (Rs. Crores), 14745723.83

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10856.70,     10832.90,     10833.70,     10773.55,     10808.05,-48.65
,NIFTY50 EQL Wgt,     12679.25,     12664.95,     12665.15,     12579.60,     12627.20,-52.05
,NIFTY100 EQL Wgt,     13900.85,     13893.00,     13893.35,     13793.35,     13852.40,-48.45
,NIFTY100 LowVol30,      8540.10,      8535.00,      8535.70,      8482.05,      8518.45,-21.65
,NIFTY Alpha 50,     13537.75,     13573.60,     13595.15,     13491.45,     13573.65,35.9
,Nifty IT,     14034.15,     13980.55,     13984.75,     13784.35,     13825.40,-208.75
,Nifty Next 50,     29491.40,     29501.10,     29501.30,     29277.20,     29440.70,-50.7
,Nifty Bank,     26642.80,     26612.30,     26623.25,     26503.10,     26562.25,-80.55
,NIFTY MIDCAP 100,     18919.45,     18904.40,     18943.25,     18830.80,     18934.20,14.75
,Nifty 500,      9386.40,      9372.30,      9372.55,      9322.50,      9356.65,-29.75
,Nifty 100,     11185.90,     11165.35,     11166.00,     11101.40,     11139.95,-45.95
,Nifty Midcap 50,      5038.50,      5029.70,      5048.90,      5009.55,      5045.40,6.9
,Nifty Realty,       291.50,       290.85,       291.65,       289.55,       291.50,0
,Nifty Infra,      3264.50,      3257.80,      3264.55,      3234.40,      3238.90,-25.6
,Nifty Energy,     13994.80,     13948.90,     13999.80,     13808.95,     13976.30,-18.5
,Nifty FMCG,     28915.65,     28863.50,     29016.10,     28773.50,     28885.05,-30.6
,Nifty MNC,     14470.35,     14449.05,     14513.25,     14379.30,     14422.05,-48.3
,Nifty Pharma,      8948.95,      8964.35,      9133.45,      8923.25,      9112.45,163.5
,Nifty PSE,      3784.25,      3781.05,      3781.05,      3730.65,      3747.30,-36.95
,Nifty PSU Bank,      3145.70,      3137.25,      3137.25,      3080.40,      3100.35,-45.35
,Nifty Serv Sector,     14630.05,     14606.10,     14606.70,     14503.80,     14529.35,-100.7
,India VIX,12.6350,12.6350,12.6350,10.4300,12.0950,-0.5400
,Nifty Auto,     11236.20,     11215.55,     11257.35,     11172.85,     11243.00,6.8
,Nifty Metal,      3612.85,      3603.65,      3636.65,      3583.70,      3597.10,-15.75
,Nifty Media,      3210.90,      3218.80,      3221.30,      3175.90,      3188.55,-22.35
,NIFTY SMLCAP 100,      7710.20,      7708.65,      7721.25,      7665.80,      7710.40,.2
,Nifty 200,      5829.05,      5819.05,      5819.15,      5787.35,      5808.55,-20.5
,Nifty Div Opps 50,      2677.50,      2668.40,      2668.60,      2643.00,      2648.05,-29.45
,Nifty Commodities,      3691.30,      3685.95,      3690.45,      3652.70,      3669.60,-21.7
,Nifty Consumption,      5103.85,      5094.35,      5111.05,      5073.75,      5097.15,-6.7
,Nifty Fin Service,     11053.00,     11050.25,     11050.25,     10995.05,     11010.85,-42.15
,Nifty50 Div Point,        23.97,        39.39,        39.39,        39.39,        39.39,15.42
,Nifty100 Liq 15,      4236.00,      4227.20,      4233.30,      4205.95,      4219.90,-16.1
,Nifty CPSE,      2381.90,      2380.40,      2380.75,      2341.20,      2353.55,-28.35
,Nifty GrowSect 15,      6831.05,      6819.65,      6867.20,      6800.75,      6837.65,6.6
,Nifty50 PR 2x Lev,      4746.90,      4725.25,      4725.25,      4673.80,      4703.50,-43.4
,Nifty50 PR 1x Inv,       404.70,       405.65,       407.85,       405.65,       406.60,1.9
,Nifty50 TR 2x Lev,      5915.55,      5905.40,      5905.40,      5841.25,      5878.30,-37.25
,Nifty50 TR 1x Inv,       362.45,       362.80,       364.80,       362.80,       363.65,1.2
,Nifty50 Value 20,      4944.80,      4926.85,      4927.15,      4871.20,      4890.55,-54.25
,Nifty Mid Liq 15,      4095.10,      4088.65,      4109.70,      4077.10,      4106.10,11
,Nifty Pvt Bank,     15067.40,     15052.95,     15068.35,     14987.05,     15028.95,-38.45
,Nifty Quality 30,      2653.75,      2647.60,      2648.10,      2631.80,      2639.75,-14
,Nifty GS 8 13Yr,      1681.82,      1682.17,      1683.58,      1680.61,      1681.20,-.62
,Nifty GS 10Yr,      1579.17,      1579.50,      1582.88,      1576.12,      1578.69,-.48
,Nifty GS 10Yr Cln,       888.17,       888.17,       890.14,       886.21,       887.70,-.47
,Nifty GS 4 8Yr,      1793.96,      1794.32,      1795.55,      1792.57,      1793.20,-.76
,Nifty GS 11 15Yr,      1747.65,      1748.02,      1750.60,      1745.50,      1747.88,.23
,Nifty GS 15YrPlus,      1872.66,      1873.06,      1873.06,      1873.06,      1873.06,.4
,Nifty GS Compsite,      1728.50,      1728.86,      1730.44,      1727.35,      1728.02,-.48

,ADVANCES,817
,DECLINES,955
,UNCHANGED,90

,Total securities that have hit their price bands today,183

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      2031.45,      2037.40,0.29,863.13
,TCS,EQ,      1824.10,      1787.55,-2,685.88
,SUNPHARMA,EQ,       546.30,       559.25,2.37,674.72
,LUPIN,EQ,       871.90,       899.60,3.18,585.56
,RELIANCE,EQ,      1002.50,      1007.95,0.54,549.16
,SBIN,EQ,       287.70,       282.60,-1.77,523.88
,IBULHSGFIN,EQ,      1210.05,      1186.20,-1.97,492.08
,INFY,EQ,      1274.80,      1239.70,-2.75,472.18
,TATASTEEL,EQ,       567.60,       569.55,0.34,425.98
,PCJEWELLER,EQ,       156.45,       158.70,1.44,417.61
,HDFC,EQ,      1832.30,      1833.75,0.08,372.85
,DRREDDY,EQ,      2256.30,      2269.40,0.58,360.56
,ICICIBANK,EQ,       290.75,       284.75,-2.06,326.12
,TECHM,EQ,       713.80,       698.80,-2.1,313.97
,AUROPHARMA,EQ,       584.90,       609.45,4.2,299.56
,BAJFINANCE,EQ,      2231.05,      2243.25,0.55,293.43
,JUBLFOOD,EQ,      2670.60,      2721.45,1.9,259.38
,DHFL,EQ,       629.40,       625.55,-0.61,246.49
,ITC,EQ,       267.85,       267.25,-0.22,245.07
,MARUTI,EQ,      8967.35,      8958.00,-0.1,241.01
,JUSTDIAL,EQ,       566.30,       574.55,1.46,240.87
,ICICIPRULI,EQ,       410.35,       403.00,-1.79,237.19
,STAR,EQ,       358.40,       368.20,2.73,237.15
,YESBANK,EQ,       333.20,       337.20,1.2,228.49
,MINDTREE,EQ,      1028.75,       992.75,-3.5,221.74

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,       899.60,       871.90,3.18
,SUNPHARMA,EQ,       559.25,       546.30,2.37
,HCLTECH,EQ,       936.95,       923.70,1.43
,YESBANK,EQ,       337.20,       333.20,1.2
,CIPLA,EQ,       588.05,       582.10,1.02

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,      1239.70,      1274.80,-2.75
,ADANIPORTS,EQ,       374.45,       382.85,-2.19
,TECHM,EQ,       698.80,       713.80,-2.1
,ICICIBANK,EQ,       284.75,       290.75,-2.06
,IOC,EQ,       171.55,       175.10,-2.03

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.50,                  2993060.30,77766
,21STCENMGM,EQ,        37.30,                     8234.30,217
,3IINFOTECH,EQ,         4.65,                  5462133.15,1185225
,3MINDIA,EQ,     19555.40,                 18315027.55,943
,3PLAND,EQ,        13.50,                    11852.45,876
,5PAISA,EQ,       384.25,                  2905629.15,7623
,63MOONS,EQ,        83.10,                 21057954.10,252827
,8KMILES,EQ,       532.40,                 46639371.20,87356
,A2ZINFRA,EQ,        23.30,                  4529155.70,194643
,AARTIDRUGS,EQ,       554.30,                  5627019.80,10241
,AARTIIND,EQ,      1258.15,                 20186117.70,16072
,AARVEEDEN,EQ,        33.15,                   673591.80,20227
,ABAN,EQ,       128.15,                172451969.50,1358997
,ABBOTINDIA,EQ,      6452.65,                 18431894.80,2863
,ABFRL,EQ,       140.05,                 17448484.25,125740
,ABGSHIP,BZ,         6.40,                    55226.05,8586
,ABMINTLTD,BE,        21.05,                     7450.50,354
,ACCELYA,EQ,      1265.05,                 17342644.20,13862
,ACE,EQ,       154.60,                 47044357.40,302282
,ACEINTEG,SM,        37.10,                   222600.00,6000
,ADANIENT,EQ,       133.95,               1301759012.25,9893943
,ADANIPOWER,EQ,        19.15,                127469189.85,6671941
,ADANITRANS,EQ,       144.80,                 93488477.65,647330
,ADFFOODS,EQ,       251.35,                 12881109.10,51214
,ADHUNIK,EQ,         3.35,                    81014.20,24463
,ADHUNIKIND,EQ,        69.30,                  4183228.60,60029
,ADLABS,EQ,        44.70,                 55074251.75,1193663
,ADORWELD,EQ,       341.55,                   701615.65,2049
,ADROITINFO,EQ,        30.40,                  3623602.65,111599
,ADSL,EQ,        17.35,                   255158.05,14748
,ADVANIHOTR,EQ,        55.85,                   223423.10,4007
,ADVENZYMES,EQ,       223.85,                 24570118.70,109748
,AEGISCHEM,EQ,       249.55,                 24374216.80,97513
,AFL,EQ,        58.45,                   718327.05,12203
,AGARIND,EQ,       283.05,                 15872689.35,56862
,AGCNET,EQ,       116.25,                   269720.50,2312
,AGLSL,EQ,        88.60,                   224186.50,2534
,AGRITECH,EQ,       119.40,                  3276550.75,27459
,AGROPHOS,SM,        37.85,                  5342400.00,144000
,AHLEAST,EQ,       282.00,                    96524.60,347
,AHLUCONT,EQ,       356.55,                   561486.45,1581
,AHLWEST,BE,       318.00,                    94211.40,292
,AIAENG,EQ,      1570.90,                289501470.60,186530
,AICHAMP,BE,        24.50,                    14399.50,576
,AIFL,EQ,       463.35,                  5820971.35,12542
,AIRAN,SM,       251.90,                  1250475.00,5000
,AIROLAM,SM,        38.60,                   115800.00,3000
,AISL,SM,        97.90,                   582540.00,6000
,AJANTPHARM,EQ,      1055.65,                458921358.35,437821
,AJMERA,EQ,       232.15,                 17183645.40,73968
,AKSHARCHEM,EQ,       597.05,                  1675760.80,2808
