,18-Jul-2018
The Nifty witnessed an intraday movement of about 119.9 points.The closing index was 0.25 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29630.86
, Traded Quantity (in Lakhs), 15358.23
, Number of Trades, 11246426
, Total Market Capitalisation (Rs. Crores), 14478986.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11008.05,     11060.20,     11076.20,     10956.30,     10980.45,-27.6
,NIFTY50 EQL Wgt,     12469.60,     12523.15,     12554.00,     12395.15,     12429.85,-39.75
,NIFTY100 EQL Wgt,     13330.25,     13388.15,     13420.75,     13201.80,     13240.35,-89.9
,NIFTY100 LowVol30,      8628.75,      8667.05,      8675.85,      8592.20,      8602.95,-25.8
,NIFTY Alpha 50,     13298.45,     13433.40,     13488.70,     13242.55,     13325.40,26.95
,Nifty IT,     14618.25,     14695.65,     14762.30,     14568.55,     14631.65,13.4
,Nifty Next 50,     27904.35,     28023.30,     28073.20,     27519.90,     27591.20,-313.15
,Nifty Bank,     27008.10,     27107.35,     27187.15,     26834.45,     26880.90,-127.2
,NIFTY MIDCAP 100,     18209.10,     18296.90,     18332.25,     17895.25,     18017.95,-191.15
,Nifty 500,      9315.25,      9359.50,      9371.95,      9244.95,      9269.55,-45.7
,Nifty 100,     11230.70,     11283.25,     11298.20,     11163.95,     11189.10,-41.6
,Nifty Midcap 50,      4882.70,      4908.75,      4923.30,      4754.60,      4801.75,-80.95
,Nifty Realty,       260.65,       262.40,       262.80,       253.45,       254.40,-6.25
,Nifty Infra,      3067.95,      3082.05,      3089.80,      3027.55,      3047.40,-20.55
,Nifty Energy,     14318.90,     14394.70,     14469.90,     14225.20,     14363.40,44.5
,Nifty FMCG,     29273.05,     29400.80,     29427.45,     28897.65,     28993.15,-279.9
,Nifty MNC,     14355.00,     14419.80,     14443.50,     14044.35,     14089.80,-265.2
,Nifty Pharma,      8926.10,      8970.10,      8997.10,      8833.40,      8885.65,-40.45
,Nifty PSE,      3507.35,      3524.65,      3541.35,      3499.20,      3511.00,3.65
,Nifty PSU Bank,      2799.40,      2814.40,      2840.90,      2737.80,      2775.85,-23.55
,Nifty Serv Sector,     14981.70,     15049.80,     15075.45,     14937.60,     14962.25,-19.45
,India VIX,12.8250,12.8250,13.9000,10.6450,13.6825,0.8575
,Nifty Auto,     10965.65,     11010.85,     11026.25,     10790.90,     10808.60,-157.05
,Nifty Metal,      3222.65,      3239.60,      3244.40,      3116.80,      3121.10,-101.55
,Nifty Media,      2832.85,      2841.80,      2874.05,      2806.10,      2832.30,-.55
,NIFTY SMLCAP 100,      7097.45,      7150.30,      7178.35,      6959.85,      7018.45,-79
,Nifty 200,      5822.75,      5850.05,      5857.45,      5780.45,      5796.50,-26.25
,Nifty Div Opps 50,      2638.30,      2650.80,      2652.25,      2624.10,      2630.85,-7.45
,Nifty Commodities,      3466.30,      3482.00,      3495.65,      3424.75,      3441.25,-25.05
,Nifty Consumption,      5098.15,      5119.25,      5123.65,      5044.45,      5063.90,-34.25
,Nifty Fin Service,     11285.30,     11334.20,     11385.85,     11258.80,     11279.35,-5.95
,Nifty50 Div Point,        57.25,        58.22,        58.22,        58.22,        58.22,.97
,Nifty100 Liq 15,      4069.10,      4085.30,      4098.70,      3998.90,      4035.55,-33.55
,Nifty CPSE,      2232.20,      2241.40,      2266.00,      2236.45,      2240.65,8.45
,Nifty GrowSect 15,      6909.45,      6937.40,      6945.40,      6832.20,      6856.55,-52.9
,Nifty50 PR 2x Lev,      4847.85,      4892.90,      4906.30,      4801.90,      4822.65,-25.2
,Nifty50 PR 1x Inv,       401.10,       399.25,       403.00,       398.70,       402.15,1.05
,Nifty50 TR 2x Lev,      6078.80,      6136.40,      6153.20,      6022.30,      6048.30,-30.5
,Nifty50 TR 1x Inv,       358.15,       356.50,       359.85,       356.00,       359.10,.95
,Nifty50 Value 20,      5013.15,      5036.55,      5043.95,      4966.70,      4994.15,-19
,Nifty Mid Liq 15,      4013.55,      4040.70,      4049.50,      3898.45,      3944.90,-68.65
,Nifty Pvt Bank,     15330.70,     15381.25,     15404.50,     15210.20,     15238.20,-92.5
,NIFTY100 Qualty30,      2695.40,      2706.40,      2712.95,      2685.80,      2693.55,-1.85
,Nifty GS 8 13Yr,      1712.85,      1713.21,      1714.98,      1712.95,      1713.58,.73
,Nifty GS 10Yr,      1610.37,      1610.71,      1614.34,      1610.17,      1611.50,1.13
,Nifty GS 10Yr Cln,       899.60,       899.60,       901.64,       899.30,       900.05,.45
,Nifty GS 4 8Yr,      1816.53,      1816.90,      1818.05,      1816.90,      1817.48,.95
,Nifty GS 11 15Yr,      1781.66,      1782.03,      1783.77,      1781.27,      1782.26,.6
,Nifty GS 15YrPlus,      1895.79,      1896.21,      1896.21,      1896.21,      1896.21,.42
,Nifty GS Compsite,      1754.23,      1754.60,      1756.34,      1754.26,      1755.04,.81

,ADVANCES,499
,DECLINES,1299
,UNCHANGED,79

,Total securities that have hit their price bands today,236

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ASHOKLEY,EQ,       128.55,       110.55,-14,1435.81
,HDFCBANK,EQ,      2176.75,      2176.20,-0.03,959.04
,TATASTEEL,EQ,       532.35,       504.25,-5.28,842.22
,ICICIBANK,EQ,       266.45,       262.70,-1.41,603.82
,HDFC,EQ,      1989.30,      2009.45,1.01,562.43
,RELIANCE,EQ,      1092.35,      1092.55,0.02,511.12
,FEDERALBNK,EQ,        88.30,        85.95,-2.66,478.92
,LUPIN,EQ,       827.40,       811.00,-1.98,463.77
,INFY,EQ,      1327.90,      1322.55,-0.4,458.44
,SBIN,EQ,       259.05,       259.55,0.19,457.1
,MARUTI,EQ,      9445.40,      9366.80,-0.83,405.86
,TCS,EQ,      2002.15,      2000.25,-0.09,402.95
,YESBANK,EQ,       380.80,       383.65,0.75,401.74
,HINDUNILVR,EQ,      1681.70,      1643.75,-2.26,392.83
,PNB,EQ,        78.70,        75.20,-4.45,392.12
,DHFL,EQ,       614.90,       619.45,0.74,368.51
,ZEEL,EQ,       516.85,       520.90,0.78,366.8
,BAJFINANCE,EQ,      2469.15,      2488.75,0.79,350.87
,IBULHSGFIN,EQ,      1152.60,      1199.65,4.08,343.19
,NIITTECH,EQ,      1114.75,      1120.00,0.47,325.33
,BANDHANBNK,EQ,       562.75,       600.50,6.71,325.16
,MINDTREE,EQ,      1081.00,      1061.80,-1.78,324.69
,SUNPHARMA,EQ,       548.65,       549.90,0.23,315.87
,ULTRACEMCO,EQ,      3895.20,      3849.35,-1.18,312.32
,PCJEWELLER,EQ,        83.10,        78.05,-6.08,301.66

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,      1199.65,      1152.60,4.08
,ONGC,EQ,       160.30,       156.15,2.66
,BPCL,EQ,       402.35,       392.65,2.47
,HINDPETRO,EQ,       286.10,       281.30,1.71
,IOC,EQ,       167.20,       164.45,1.67

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       504.25,       532.35,-5.28
,HINDALCO,EQ,       212.40,       219.50,-3.23
,VEDL,EQ,       203.70,       210.10,-3.05
,UPL,EQ,       556.85,       571.00,-2.48
,TATAMOTORS,EQ,       251.85,       257.95,-2.36

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.90,                   979384.25,27975
,21STCENMGM,EQ,        33.60,                    34272.00,1008
,3IINFOTECH,EQ,         3.70,                  9858482.80,2630050
,3MINDIA,EQ,     20360.55,                 30728307.05,1500
,3PLAND,EQ,        13.50,                     6944.00,514
,5PAISA,EQ,       319.00,                  3724099.75,11432
,63MOONS,EQ,        67.10,                 10010895.85,146001
,8KMILES,EQ,       372.95,                587128170.35,1550528
,A2ZINFRA,EQ,        20.45,                  9613000.65,472838
,AARTIDRUGS,EQ,       531.85,                  6884508.55,12927
,AARTIIND,EQ,      1215.50,                 23255373.65,19212
,AARVEEDEN,EQ,        30.45,                   243168.90,8002
,ABAN,EQ,       105.40,                 53649698.65,506336
,ABBOTINDIA,EQ,      7209.30,                 54524214.85,7607
,ABFRL,EQ,       133.60,                 19706394.50,146844
,ABGSHIP,BZ,         5.50,                    72624.60,12789
,ABMINTLTD,BE,        19.00,                       95.00,5
,ACCELYA,EQ,      1079.30,                  8660123.65,7985
,ACCURACY,SM,       103.00,                   492640.00,4800
,ACE,EQ,       128.95,                 29728443.30,231844
,ADANIENT,EQ,       142.20,               2180379221.70,15509835
,ADANIGREEN,EQ,        29.75,                 15160017.10,497514
,ADANIPOWER,EQ,        20.60,                764979051.65,37088454
,ADANITRANS,EQ,       149.55,                 80075287.65,534401
,ADFFOODS,EQ,       236.85,                 12909075.55,54690
,ADHUNIK,EQ,         4.10,                   232457.70,56697
,ADHUNIKIND,EQ,        74.95,                  3893824.60,51967
,ADLABS,EQ,        34.25,                  1376025.05,40014
,ADORWELD,EQ,       275.50,                  2011587.80,7253
,ADROITINFO,EQ,        36.00,                  2502023.50,69530
,ADSL,EQ,        15.15,                   561034.60,37107
,ADVANIHOTR,EQ,        45.80,                   276597.00,5969
,ADVENZYMES,EQ,       205.70,                 11574807.00,55809
,AEGISCHEM,EQ,       234.15,                 16846254.40,72422
,AFL,EQ,        52.25,                    17343.90,332
,AGARIND,EQ,       279.95,                   648357.80,2256
,AGCNET,EQ,       100.35,                   877454.95,8598
,AGLSL,EQ,        80.25,                  2867540.40,34682
,AGRITECH,EQ,       101.05,                  1666859.50,16463
,AGROPHOS,SM,        36.85,                   882600.00,24000
,AHLEAST,EQ,       256.55,                   156733.60,605
,AHLUCONT,EQ,       328.45,                  1079692.45,3297
,AHLWEST,BE,       298.30,                    30138.00,101
,AIAENG,EQ,      1605.30,                 14065746.25,8816
,AIFL,EQ,       448.30,                127921457.60,285372
,AIRAN,SM,       345.50,                  5924225.00,17000
,AIROLAM,SM,        38.00,                   567600.00,15000
,AISL,SM,        78.25,                  1203480.00,15600
,AJANTPHARM,EQ,       986.00,                427988665.85,435179
,AJMERA,EQ,       203.45,                  9356157.85,45457
,AJOONI,SM,        19.10,                   235600.00,12000
