,21-Aug-2018
The Nifty witnessed an intraday movement of about 42.15 points.The closing index was 0.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33006.87
, Traded Quantity (in Lakhs), 15501.98
, Number of Trades, 11419479
, Total Market Capitalisation (Rs. Crores), 15490887.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11551.75,     11576.20,     11581.75,     11539.60,     11570.90,19.15
,NIFTY50 EQL Wgt,     13077.30,     13116.95,     13128.30,     13067.90,     13123.40,46.1
,NIFTY100 EQL Wgt,     14214.30,     14258.50,     14289.35,     14206.35,     14271.75,57.45
,NIFTY100 LowVol30,      8934.60,      8957.75,      8986.60,      8956.25,      8976.15,41.55
,NIFTY Alpha 50,     14607.20,     14651.85,     14743.80,     14559.35,     14703.40,96.2
,Nifty IT,     14996.10,     15072.45,     15183.25,     15041.85,     15134.65,138.55
,Nifty Next 50,     30286.40,     30377.05,     30507.95,     30255.35,     30417.40,131
,Nifty Bank,     28274.25,     28295.85,     28305.95,     28151.90,     28257.90,-16.35
,NIFTY MIDCAP 100,     19598.40,     19654.60,     19665.75,     19557.25,     19634.05,35.65
,Nifty 500,      9839.75,      9862.90,      9868.50,      9831.05,      9862.50,22.75
,Nifty 100,     11838.15,     11864.70,     11870.65,     11828.40,     11862.10,23.95
,Nifty Midcap 50,      5223.95,      5240.95,      5246.20,      5214.05,      5229.05,5.1
,Nifty Realty,       277.85,       278.00,       278.60,       272.35,       272.85,-5
,Nifty Infra,      3177.25,      3186.65,      3189.30,      3167.20,      3183.55,6.3
,Nifty Energy,     15520.25,     15556.75,     15652.35,     15434.55,     15622.40,102.15
,Nifty FMCG,     32379.40,     32455.30,     32534.90,     32240.10,     32306.40,-73
,Nifty MNC,     14806.45,     14847.90,     14868.25,     14771.05,     14837.25,30.8
,Nifty Pharma,      9799.15,      9839.80,      9992.75,      9745.05,      9950.50,151.35
,Nifty PSE,      3633.95,      3648.55,      3652.65,      3624.25,      3644.25,10.3
,Nifty PSU Bank,      3285.20,      3296.20,      3303.45,      3247.95,      3278.35,-6.85
,Nifty Serv Sector,     15494.95,     15510.35,     15525.25,     15468.15,     15516.85,21.9
,India VIX,13.0325,13.0325,13.6350,9.9275,12.9025,-0.1300
,Nifty Auto,     10997.90,     11038.65,     11074.00,     10967.60,     10979.25,-18.65
,Nifty Metal,      3478.90,      3498.05,      3498.15,      3456.95,      3466.95,-11.95
,Nifty Media,      2862.70,      2866.75,      2901.50,      2851.55,      2897.60,34.9
,NIFTY SMLCAP 100,      7549.85,      7568.40,      7598.35,      7533.50,      7587.20,37.35
,Nifty 200,      6152.95,      6167.20,      6169.65,      6147.05,      6165.25,12.3
,Nifty Div Opps 50,      2743.60,      2754.00,      2756.70,      2743.10,      2747.55,3.95
,Nifty Commodities,      3710.40,      3723.70,      3736.75,      3696.60,      3731.75,21.35
,Nifty Consumption,      5353.65,      5362.55,      5369.55,      5340.65,      5344.35,-9.3
,Nifty Fin Service,     11708.85,     11709.15,     11718.25,     11662.05,     11706.25,-2.6
,Nifty50 Div Point,        83.48,        83.48,        83.48,        83.48,        83.48,0
,Nifty100 Liq 15,      4495.90,      4503.40,      4506.75,      4463.30,      4497.35,1.45
,Nifty CPSE,      2346.65,      2356.50,      2373.35,      2346.40,      2362.15,15.5
,Nifty GrowSect 15,      7227.40,      7247.60,      7252.60,      7205.80,      7224.25,-3.15
,Nifty50 PR 2x Lev,      5303.30,      5324.80,      5329.60,      5291.35,      5319.95,16.65
,Nifty50 PR 1x Inv,       384.25,       383.50,       384.70,       383.30,       383.65,-.6
,Nifty50 TR 2x Lev,      6681.10,      6708.20,      6714.25,      6666.05,      6702.10,21
,Nifty50 TR 1x Inv,       342.35,       341.65,       342.75,       341.50,       341.80,-.55
,Nifty50 Value 20,      5423.30,      5438.45,      5445.30,      5409.40,      5441.25,17.95
,Nifty Mid Liq 15,      4238.85,      4259.10,      4261.25,      4219.40,      4232.35,-6.5
,Nifty Pvt Bank,     16062.50,     16068.20,     16076.25,     15983.30,     16054.90,-7.6
,NIFTY100 Qualty30,      2818.85,      2826.95,      2830.80,      2822.25,      2829.05,10.2
,Nifty GS 8 13Yr,      1716.50,      1716.86,      1716.86,      1712.25,      1712.27,-4.23
,Nifty GS 10Yr,      1611.80,      1612.13,      1612.13,      1605.76,      1606.26,-5.54
,Nifty GS 10Yr Cln,       894.25,       894.25,       894.25,       890.69,       890.97,-3.28
,Nifty GS 4 8Yr,      1826.06,      1826.42,      1826.42,      1824.61,      1824.86,-1.2
,Nifty GS 11 15Yr,      1784.74,      1785.11,      1785.11,      1781.58,      1782.52,-2.22
,Nifty GS 15YrPlus,      1896.17,      1896.59,      1897.69,      1896.59,      1897.69,1.52
,Nifty GS Compsite,      1760.34,      1760.71,      1760.71,      1757.46,      1757.46,-2.88

,ADVANCES,893
,DECLINES,928
,UNCHANGED,82

,Total securities that have hit their price bands today,229

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       624.40,       635.75,1.82,969.76
,RELIANCE,EQ,      1234.90,      1247.20,1,905.79
,TATASTEEL,EQ,       599.40,       582.15,-2.88,640.41
,INFY,EQ,      1384.25,      1383.95,-0.02,577.43
,TECHM,EQ,       687.95,       709.40,3.12,561.81
,ICICIBANK,EQ,       338.45,       338.85,0.12,540.62
,TATAMOTORS,EQ,       270.10,       268.80,-0.48,530.02
,HCLTECH,EQ,       988.25,      1004.60,1.65,493.91
,SUNPHARMA,EQ,       626.35,       635.40,1.44,489.75
,ADANIENT,EQ,       212.50,       213.30,0.38,479.78
,SBIN,EQ,       307.65,       307.00,-0.21,432.17
,ITC,EQ,       313.30,       312.90,-0.13,427.41
,HDFCBANK,EQ,      2096.20,      2096.05,-0.01,408.67
,LT,EQ,      1323.70,      1322.55,-0.09,404.68
,YESBANK,EQ,       394.00,       391.35,-0.67,392.32
,DHFL,EQ,       671.95,       665.85,-0.91,384.25
,MARUTI,EQ,      9074.35,      9113.30,0.43,346.42
,CESC,EQ,       941.30,      1007.25,7.01,345.38
,HDFC,EQ,      1920.05,      1913.35,-0.35,307.02
,LUPIN,EQ,       869.25,       888.60,2.23,301.29
,TCS,EQ,      2009.95,      2017.65,0.38,277.49
,BAJFINANCE,EQ,      2839.75,      2871.80,1.13,271.53
,FEDERALBNK,EQ,        81.50,        81.85,0.43,267.2
,COALINDIA,EQ,       284.05,       291.40,2.59,266.09
,BANKBARODA,EQ,       151.00,       150.90,-0.07,254.89

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,UPL,EQ,       646.20,       618.90,4.41
,TECHM,EQ,       709.40,       687.95,3.12
,COALINDIA,EQ,       291.40,       284.05,2.59
,GRASIM,EQ,      1065.40,      1039.85,2.46
,LUPIN,EQ,       888.60,       869.25,2.23

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       582.15,       599.40,-2.88
,BPCL,EQ,       368.75,       375.95,-1.92
,HINDUNILVR,EQ,      1752.50,      1777.00,-1.38
,VEDL,EQ,       218.85,       221.85,-1.35
,M&M,EQ,       957.80,       969.55,-1.21

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        44.10,                  1731722.05,38815
,21STCENMGM,EQ,        35.90,                   142632.80,3964
,3IINFOTECH,EQ,         3.55,                  4757314.00,1346007
,3MINDIA,EQ,     25873.25,                101368097.50,3926
,3PLAND,BE,        12.35,                    12623.80,1008
,5PAISA,EQ,       369.65,                  1250678.30,3331
,63MOONS,EQ,        78.05,                  9807774.75,124730
,8KMILES,EQ,       340.10,                 24822101.40,72824
,A2ZINFRA,EQ,        21.90,                  4748885.80,216501
,AARTIDRUGS,EQ,       547.60,                  5942878.05,10839
,AARTIIND,EQ,      1397.15,                 31363547.35,22425
,AARVEEDEN,EQ,        32.60,                  5326353.15,154810
,AARVI,SM,        60.95,                   243800.00,4000
,ABAN,EQ,       113.50,                 51512162.85,451906
,ABBOTINDIA,EQ,      7796.45,                 60118139.05,7621
,ABFRL,EQ,       190.20,                250609730.00,1314494
,ABGSHIP,BZ,         4.90,                   295464.05,61309
,ACCELYA,EQ,      1004.95,                  4465953.20,4432
,ACE,EQ,       137.35,                 23274151.00,168099
,ADANIENT,EQ,       213.30,               4797788443.90,22079310
,ADANIGREEN,EQ,        57.10,                130902186.55,2223954
,ADANIPOWER,EQ,        32.65,                835736540.00,25921741
,ADANITRANS,EQ,       169.90,                424573555.45,2501968
,ADFFOODS,EQ,       247.75,                  7378548.35,29908
,ADHUNIK,BE,         3.35,                   122639.40,35186
,ADHUNIKIND,EQ,        69.30,                   304370.70,4400
,ADLABS,EQ,        36.70,                 28919892.75,776078
,ADORWELD,EQ,       350.05,                  1924016.05,5495
,ADROITINFO,BE,        25.25,                   281108.25,11133
,ADSL,EQ,        14.30,                   148629.65,10322
,ADVANIHOTR,EQ,        49.20,                   721710.80,14583
,ADVENZYMES,EQ,       213.70,                 21312049.60,99033
,AEGISCHEM,EQ,       232.50,                 19843313.10,85328
,AFL,EQ,        78.80,                 26249988.50,341878
,AGARIND,EQ,       307.25,                   310333.05,1010
,AGCNET,EQ,       105.85,                   156199.35,1463
,AGLSL,EQ,        79.10,                    81764.20,1039
,AGRITECH,EQ,        82.05,                  2731535.00,33749
,AGROPHOS,SM,        35.75,                  1069200.00,30000
,AHLEAST,EQ,       270.05,                  1304016.25,4820
,AHLUCONT,EQ,       313.35,                   866574.75,2778
,AHLWEST,EQ,       301.00,                    93985.30,317
,AIAENG,EQ,      1793.20,                 59676488.40,33292
,AIFL,EQ,       460.40,                 50713928.50,110425
,AIRAN,SM,        68.95,                   344875.00,5000
,AIROLAM,SM,        40.30,                  1081650.00,27000
,AISL,SM,        95.00,                   230400.00,2400
,AJANTPHARM,EQ,      1229.70,                733271603.20,600133
,AJMERA,EQ,       203.75,                  5530739.35,27160
,AJOONI,SM,        20.00,                    80000.00,4000
,AKSHARCHEM,EQ,       513.30,                  4003068.80,7677
,AKSHOPTFBR,EQ,        29.90,                 21742049.45,722081
,AKZOINDIA,EQ,      1739.75,                 12671481.85,7289
,ALANKIT,EQ,        24.75,                 27017214.35,1094035
,ALBERTDAVD,EQ,       563.95,                  7422459.45,12980
,ALBK,EQ,        40.80,                100782978.70,2471579
,ALCHEM,BE,         5.65,                    41605.90,7312
,ALEMBICLTD,EQ,        46.10,                 13404901.00,291857
,ALICON,EQ,       608.85,                   612502.15,1007
,ALKALI,EQ,        64.80,                   357017.20,5538
,ALKEM,EQ,      2094.40,                193254048.60,91979
,ALKYLAMINE,EQ,       649.75,                  1766205.60,2724
,ALLCARGO,EQ,       122.70,                 39376631.25,321596
,ALLSEC,EQ,       243.90,                   842960.30,3424
,ALMONDZ,BE,        40.60,                   467682.00,11633
,ALOKTEXT,BE,         4.25,                 12405369.05,2894454
,ALPA,EQ,        30.60,                  1092311.80,35674
,ALPHAGEO,EQ,       677.35,                 10255762.00,15059
,ALPSINDUS,BE,         2.95,                    67204.35,23095
,AMARAJABAT,EQ,       864.35,               1616954733.90,1820624
,AMBER,EQ,       934.80,                  5836519.80,6222
,AMBIKCO,EQ,      1288.80,                  1993259.65,1547
,AMDIND,EQ,        27.25,                   300143.75,10901
,AMJLAND,EQ,        25.25,                   843878.85,33130
,AMRUTANJAN,EQ,       246.10,                  8418197.45,34335
,AMTEKAUTO,BZ,         6.35,                   539972.25,85035
,ANANTRAJ,EQ,        43.50,                 28664952.70,663397
,ANDHRABANK,EQ,        32.95,                 93039554.55,2833245
,ANDHRACEMT,EQ,         8.60,                  1011863.20,117071
,ANDHRSUGAR,EQ,       385.15,                  6093673.85,15736
,ANGIND,BE,         2.55,                     2714.10,1039
,ANIKINDS,EQ,        32.00,                   167992.70,5351
,ANKITMETAL,BE,          .65,                    47796.75,74795
,ANSALAPI,EQ,        16.20,                   649221.55,40100
,ANSALHSG,EQ,        15.55,                   397919.05,25500
,ANTGRAPHIC,BE,          .55,                    14062.60,27632
,APARINDS,EQ,       615.65,                  3425193.20,5564
,APCL,EQ,       157.55,                  2240775.35,14454
,APCOTEXIND,EQ,       622.10,                  2720768.00,4357
,APEX,EQ,       469.25,                 53064358.50,113022
,APLAPOLLO,EQ,      1684.75,                 14217977.85,8470
,APLLTD,EQ,       591.80,                 19807928.55,33323
,APOLLO,EQ,       160.85,                 11061665.45,69840
,APOLLOHOSP,EQ,      1181.85,               1788003343.65,1506268
,APOLLOTYRE,EQ,       262.60,               1801149540.35,6870652
,APOLSINHOT,EQ,      1414.00,                  1669136.60,1178
,APTECHT,EQ,       243.00,                141962010.70,584615
,ARCHIDPLY,EQ,        59.70,                  1122827.35,18793
,ARCHIES,EQ,        28.20,                  1430074.75,50628
,ARCOTECH,BE,        15.25,                  1094509.25,71640
,ARIES,EQ,       123.45,                 24919335.65,198030
,ARIHANTSUP,EQ,        67.70,                  2783749.95,41026
,ARMANFIN,EQ,       407.15,                  4683768.95,11537
