,03-Sep-2018
The Nifty witnessed an intraday movement of about 184.4 points.The closing index was 0.84 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36009.32
, Traded Quantity (in Lakhs), 15713.3
, Number of Trades, 11027660
, Total Market Capitalisation (Rs. Crores), 15622671.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11680.50,     11751.80,     11751.80,     11567.40,     11582.35,-98.15
,NIFTY50 EQL Wgt,     13264.70,     13367.95,     13367.95,     13168.05,     13189.00,-75.7
,NIFTY100 EQL Wgt,     14493.90,     14585.60,     14585.60,     14390.70,     14416.80,-77.1
,NIFTY100 LowVol30,      9148.90,      9217.35,      9217.35,      9043.60,      9056.35,-92.55
,NIFTY Alpha 50,     14877.95,     14991.75,     14996.10,     14781.15,     14803.15,-74.8
,Nifty IT,     15811.40,     16013.05,     16048.25,     15703.00,     15724.70,-86.7
,Nifty Next 50,     31251.70,     31431.70,     31436.75,     30946.15,     31022.25,-229.45
,Nifty Bank,     28061.75,     28199.45,     28203.20,     27777.40,     27819.50,-242.25
,NIFTY MIDCAP 100,     19920.45,     20015.20,     20088.05,     19833.45,     19866.70,-53.75
,Nifty 500,      9992.00,     10049.85,     10049.85,      9908.70,      9921.65,-70.35
,Nifty 100,     12003.10,     12075.80,     12075.80,     11888.50,     11904.35,-98.75
,Nifty Midcap 50,      5345.45,      5375.85,      5387.90,      5298.65,      5311.30,-34.15
,Nifty Realty,       275.85,       272.50,       276.90,       270.75,       273.10,-2.75
,Nifty Infra,      3289.25,      3306.55,      3316.80,      3269.80,      3275.00,-14.25
,Nifty Energy,     15763.00,     15831.35,     15877.05,     15574.65,     15598.60,-164.4
,Nifty FMCG,     32911.55,     33167.90,     33167.90,     31978.35,     32109.55,-802
,Nifty MNC,     15066.90,     15153.40,     15161.40,     14713.90,     14742.05,-324.85
,Nifty Pharma,     10390.95,     10463.40,     10577.85,     10318.45,     10359.90,-31.05
,Nifty PSE,      3725.35,      3748.45,      3748.45,      3693.85,      3699.60,-25.75
,Nifty PSU Bank,      3315.50,      3342.85,      3356.00,      3269.15,      3283.55,-31.95
,Nifty Serv Sector,     15645.40,     15747.25,     15747.30,     15514.00,     15529.55,-115.85
,India VIX,12.5975,12.5975,13.7175,11.1700,13.3925,0.7950
,Nifty Auto,     11009.25,     11083.70,     11103.50,     10911.90,     10935.65,-73.6
,Nifty Metal,      3643.45,      3658.55,      3692.10,      3641.35,      3656.70,13.25
,Nifty Media,      2840.10,      2856.75,      2882.90,      2842.85,      2853.05,12.95
,NIFTY SMLCAP 100,      7668.95,      7709.30,      7745.15,      7640.10,      7651.80,-17.15
,Nifty 200,      6240.55,      6277.35,      6277.35,      6184.95,      6193.35,-47.2
,Nifty Div Opps 50,      2807.85,      2825.50,      2825.50,      2774.95,      2778.70,-29.15
,Nifty Commodities,      3852.45,      3870.60,      3872.60,      3834.10,      3842.05,-10.4
,Nifty Consumption,      5379.30,      5416.45,      5416.45,      5293.40,      5309.30,-70
,Nifty Fin Service,     11719.05,     11785.05,     11785.60,     11616.95,     11631.30,-87.75
,Nifty50 Div Point,        88.25,        88.25,        88.25,        88.25,        88.25,0
,Nifty100 Liq 15,      4520.30,      4554.65,      4554.65,      4480.00,      4490.50,-29.8
,Nifty CPSE,      2386.75,      2402.55,      2402.55,      2371.15,      2375.70,-11.05
,Nifty GrowSect 15,      7306.75,      7354.55,      7354.55,      7168.95,      7189.95,-116.8
,Nifty50 PR 2x Lev,      5410.65,      5473.80,      5473.80,      5303.25,      5316.80,-93.85
,Nifty50 PR 1x Inv,       380.70,       378.55,       384.55,       378.55,       384.10,3.4
,Nifty50 TR 2x Lev,      6822.00,      6901.60,      6901.60,      6686.55,      6703.65,-118.35
,Nifty50 TR 1x Inv,       339.00,       337.15,       342.50,       337.15,       342.05,3.05
,Nifty50 Value 20,      5516.00,      5553.40,      5553.40,      5436.80,      5445.00,-71
,Nifty Mid Liq 15,      4313.25,      4347.60,      4355.75,      4270.00,      4278.95,-34.3
,Nifty Pvt Bank,     15933.20,     16005.45,     16008.35,     15724.55,     15748.30,-184.9
,NIFTY100 Qualty30,      2841.70,      2858.65,      2858.65,      2808.70,      2814.35,-27.35
,Nifty GS 8 13Yr,      1708.15,      1708.50,      1708.50,      1693.46,      1693.72,-14.43
,Nifty GS 10Yr,      1603.88,      1604.21,      1604.21,      1584.10,      1584.55,-19.33
,Nifty GS 10Yr Cln,       887.59,       887.59,       887.59,       876.33,       876.58,-11.01
,Nifty GS 4 8Yr,      1824.47,      1824.84,      1824.84,      1814.90,      1814.99,-9.48
,Nifty GS 11 15Yr,      1773.50,      1773.86,      1773.86,      1756.08,      1756.08,-17.42
,Nifty GS 15YrPlus,      1878.54,      1878.94,      1878.94,      1866.44,      1866.44,-12.1
,Nifty GS Compsite,      1755.92,      1756.28,      1756.28,      1740.74,      1740.91,-15.01

,ADVANCES,885
,DECLINES,966
,UNCHANGED,85

,Total securities that have hit their price bands today,255

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1241.65,      1229.15,-1.01,1514.51
,YESBANK,EQ,       343.50,       339.05,-1.3,897.09
,MARUTI,EQ,      9096.40,      8902.15,-2.14,890.57
,WIPRO,EQ,       301.25,       308.35,2.36,812.24
,SUNPHARMA,EQ,       652.85,       656.20,0.51,810.15
,INFY,EQ,      1441.10,      1434.25,-0.48,796.5
,DRREDDY,EQ,      2492.00,      2593.40,4.07,786.41
,BAJFINANCE,EQ,      2856.60,      2724.05,-4.64,703.33
,MINDTREE,EQ,      1114.70,      1100.55,-1.27,499.4
,LUPIN,EQ,       931.45,       936.10,0.5,465.49
,SBIN,EQ,       309.60,       306.35,-1.05,456.09
,DHFL,EQ,       667.65,       679.25,1.74,455.27
,TITAN,EQ,       891.90,       912.75,2.34,453.89
,HDFC,EQ,      1935.95,      1944.80,0.46,448.15
,ASHOKLEY,EQ,       129.05,       133.45,3.41,438.62
,ICICIBANK,EQ,       342.60,       334.15,-2.47,433.95
,ADANIENT,EQ,       225.25,       210.50,-6.55,432.51
,AXISBANK,EQ,       649.25,       631.80,-2.69,414.82
,HDFCBANK,EQ,      2061.20,      2075.05,0.67,397.36
,TATAMOTORS,EQ,       267.50,       266.60,-0.34,392.97
,LTI,EQ,      1797.75,      1773.15,-1.37,378.25
,BALKRISIND,EQ,      1360.10,      1264.10,-7.06,346.37
,TATASTEEL,EQ,       600.50,       600.75,0.04,331.55
,LT,EQ,      1369.55,      1363.00,-0.48,323.37
,PCJEWELLER,EQ,        84.25,        90.75,7.72,315.31

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      2593.40,      2492.00,4.07
,EICHERMOT,EQ,     28885.85,     28059.75,2.94
,WIPRO,EQ,       308.35,       301.25,2.36
,TITAN,EQ,       912.75,       891.90,2.34
,HINDPETRO,EQ,       257.50,       253.80,1.46

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BAJFINANCE,EQ,      2724.05,      2856.60,-4.64
,HINDUNILVR,EQ,      1699.10,      1780.10,-4.55
,POWERGRID,EQ,       194.50,       201.50,-3.47
,AXISBANK,EQ,       631.80,       649.25,-2.69
,TECHM,EQ,       745.65,       765.80,-2.63

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        48.10,                  4257875.90,87495
,21STCENMGM,EQ,        34.00,                   238476.55,6980
,3IINFOTECH,EQ,         3.60,                  8845403.20,2416049
,3MINDIA,EQ,     25981.70,                252287206.75,9600
,3PLAND,BE,        12.00,                      120.00,10
,5PAISA,EQ,       306.35,                  3579831.35,11726
,63MOONS,EQ,        80.05,                 23845427.55,293848
,8KMILES,BE,       319.50,                 19125038.40,58376
,A2ZINFRA,EQ,        20.20,                 12783983.45,626662
,AARON,ST,        38.70,                 11342700.00,297000
,AARTIDRUGS,EQ,       567.20,                 32936732.70,58054
,AARTIIND,EQ,      1354.75,                 21362146.55,15649
,AARVEEDEN,EQ,        29.50,                  2129987.00,73099
,AARVI,SM,        68.00,                   272000.00,4000
,ABAN,EQ,       114.40,                 47759199.20,413142
,ABBOTINDIA,EQ,      8387.75,                344895007.35,40370
,ABFRL,EQ,       202.05,                287501056.35,1419629
,ABGSHIP,BZ,         4.75,                    84193.75,17750
,ACCELYA,EQ,       983.70,                 20953278.35,21068
,ACCURACY,SM,        87.00,                   139200.00,1600
,ACE,EQ,       140.00,                 51433479.35,370789
,ADANIENT,EQ,       210.50,               4325119860.15,20062123
,ADANIGREEN,EQ,        55.90,                 25317537.05,444735
,ADANIPOWER,EQ,        33.70,                847590898.35,24281514
,ADANITRANS,EQ,       217.95,                221736995.50,1005765
,ADFFOODS,EQ,       271.40,                 31444593.50,116524
,ADHUNIK,BE,         3.40,                   352950.45,99915
,ADHUNIKIND,EQ,        70.25,                  2039694.05,28972
,ADLABS,EQ,        36.05,                  3344619.10,91550
,ADORWELD,EQ,       352.20,                   932672.55,2638
,ADROITINFO,BE,        31.30,                   288304.30,9211
,ADSL,EQ,        14.75,                   524871.55,35338
,ADVANIHOTR,EQ,        48.30,                   298583.70,6155
,ADVENZYMES,EQ,       210.05,                 22802050.55,107320
,AEGISCHEM,EQ,       215.65,                 45440368.75,207180
,AFL,EQ,        79.40,                  6366600.55,78565
,AGARIND,EQ,       293.45,                  7748149.90,26714
,AGCNET,EQ,       104.35,                   719069.10,6764
,AGLSL,EQ,        79.95,                    61363.25,774
,AGRITECH,EQ,        80.85,                  1874334.00,23487
,AGROPHOS,SM,        35.85,                   860400.00,24000
,AHLEAST,EQ,       263.00,                   182826.00,681
,AHLUCONT,EQ,       312.90,                  1248445.50,3984
,AHLWEST,EQ,       311.00,                   331181.20,1067
,AIAENG,EQ,      1714.90,                 21785382.45,12507
,AICHAMP,BE,        17.50,                    57957.90,3255
,AIFL,EQ,       451.65,                 47945934.85,105877
,AIRAN,SM,        69.50,                   703500.00,10000
,AISL,SM,        88.30,                   747720.00,8400
,AJANTPHARM,EQ,      1249.20,                376538798.15,295728
,AJMERA,EQ,       221.55,                 18257458.05,82709
,AJOONI,SM,        17.60,                    70400.00,4000
