,12-Sep-2018
The Nifty witnessed an intraday movement of about 130.55 points.The closing index was 0.73 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33345.82
, Traded Quantity (in Lakhs), 15824.53
, Number of Trades, 12377387
, Total Market Capitalisation (Rs. Crores), 15165197.38

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11287.50,     11340.10,     11380.75,     11250.20,     11369.90,82.4
,NIFTY50 EQL Wgt,     12810.40,     12855.85,     12913.05,     12729.40,     12891.35,80.95
,NIFTY100 EQL Wgt,     13845.20,     13878.35,     13935.85,     13732.40,     13912.00,66.8
,NIFTY100 LowVol30,      8824.80,      8853.40,      8906.30,      8825.70,      8896.95,72.15
,NIFTY Alpha 50,     14230.55,     14241.70,     14274.35,     14066.65,     14247.10,16.55
,Nifty IT,     15993.15,     16092.10,     16124.55,     15977.85,     16054.05,60.9
,Nifty Next 50,     29360.75,     29414.90,     29557.85,     29094.45,     29497.40,136.65
,Nifty Bank,     26807.50,     26895.15,     26895.15,     26555.15,     26819.20,11.7
,NIFTY MIDCAP 100,     18983.05,     19006.20,     19079.20,     18763.30,     19046.55,63.5
,Nifty 500,      9607.10,      9641.65,      9669.20,      9552.20,      9660.60,53.5
,Nifty 100,     11555.20,     11604.55,     11648.00,     11508.50,     11635.20,80
,Nifty Midcap 50,      5052.10,      5060.55,      5098.15,      4982.50,      5083.65,31.55
,Nifty Realty,       258.85,       258.30,       259.25,       252.60,       257.25,-1.6
,Nifty Infra,      3161.75,      3173.10,      3194.20,      3142.65,      3190.45,28.7
,Nifty Energy,     15477.45,     15576.80,     15634.30,     15351.45,     15601.05,123.6
,Nifty FMCG,     30067.55,     30147.50,     30873.55,     30029.75,     30828.20,760.65
,Nifty MNC,     13975.90,     14021.75,     14211.40,     13963.45,     14155.35,179.45
,Nifty Pharma,     10279.05,     10266.30,     10417.40,     10152.45,     10391.60,112.55
,Nifty PSE,      3573.65,      3571.10,      3589.00,      3532.75,      3576.00,2.35
,Nifty PSU Bank,      3034.15,      3046.35,      3059.20,      2990.55,      3041.65,7.5
,Nifty Serv Sector,     15135.45,     15210.10,     15210.15,     15062.40,     15180.65,45.2
,India VIX,15.3300,15.3300,15.3300,12.9800,14.2500,-1.0800
,Nifty Auto,     10681.40,     10719.30,     10727.80,     10529.65,     10692.75,11.35
,Nifty Metal,      3578.30,      3588.00,      3641.55,      3542.60,      3631.40,53.1
,Nifty Media,      2673.20,      2682.55,      2697.75,      2625.35,      2673.00,-.2
,NIFTY SMLCAP 100,      7313.50,      7319.30,      7321.15,      7181.25,      7281.40,-32.1
,Nifty 200,      6000.35,      6023.80,      6046.35,      5971.40,      6039.35,39
,Nifty Div Opps 50,      2709.65,      2718.15,      2734.15,      2707.50,      2731.50,21.85
,Nifty Commodities,      3711.35,      3722.00,      3742.90,      3675.80,      3736.85,25.5
,Nifty Consumption,      5042.25,      5059.20,      5094.55,      5026.55,      5086.55,44.3
,Nifty Fin Service,     11186.30,     11228.00,     11235.70,     11089.90,     11208.45,22.15
,Nifty50 Div Point,        91.74,        92.19,        92.19,        92.19,        92.19,.45
,Nifty100 Liq 15,      4344.25,      4367.25,      4389.25,      4286.80,      4363.30,19.05
,Nifty CPSE,      2285.45,      2281.60,      2297.65,      2255.20,      2276.75,-8.7
,Nifty GrowSect 15,      6903.05,      6928.30,      7001.25,      6903.10,      6990.60,87.55
,Nifty50 PR 2x Lev,      5040.20,      5086.20,      5121.95,      5006.30,      5112.85,72.65
,Nifty50 PR 1x Inv,       394.50,       392.75,       395.85,       391.35,       391.70,-2.8
,Nifty50 TR 2x Lev,      6358.75,      6417.35,      6462.45,      6316.50,      6450.95,92.2
,Nifty50 TR 1x Inv,       351.20,       349.60,       352.40,       348.35,       348.70,-2.5
,Nifty50 Value 20,      5397.05,      5434.70,      5434.70,      5368.85,      5413.60,16.55
,Nifty Mid Liq 15,      4079.50,      4084.65,      4119.60,      4013.00,      4107.20,27.7
,Nifty Pvt Bank,     15263.85,     15320.40,     15320.40,     15102.55,     15248.80,-15.05
,NIFTY100 Qualty30,      2685.30,      2692.90,      2713.25,      2683.80,      2708.20,22.9
,Nifty GS 8 13Yr,      1687.73,      1688.09,      1693.89,      1684.65,      1693.71,5.98
,Nifty GS 10Yr,      1583.02,      1583.36,      1590.21,      1578.18,      1589.62,6.6
,Nifty GS 10Yr Cln,       874.23,       874.23,       878.07,       871.34,       877.74,3.51
,Nifty GS 4 8Yr,      1810.82,      1811.19,      1814.91,      1808.05,      1814.86,4.04
,Nifty GS 11 15Yr,      1756.19,      1756.57,      1763.66,      1753.34,      1763.66,7.47
,Nifty GS 15YrPlus,      1863.39,      1863.80,      1863.80,      1860.99,      1860.99,-2.4
,Nifty GS Compsite,      1740.03,      1740.40,      1745.35,      1736.97,      1745.21,5.18

,ADVANCES,722
,DECLINES,1083
,UNCHANGED,84

,Total securities that have hit their price bands today,222

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1237.70,      1252.50,1.2,1003.05
,AXISBANK,EQ,       650.15,       635.45,-2.26,923.29
,YESBANK,EQ,       316.60,       314.30,-0.73,822.23
,SUNPHARMA,EQ,       630.40,       649.90,3.09,719.6
,BAJFINANCE,EQ,      2600.75,      2594.00,-0.26,691.38
,SBIN,EQ,       282.60,       285.30,0.96,644.32
,HDFCBANK,EQ,      2000.40,      2011.85,0.57,613.42
,ITC,EQ,       297.20,       306.80,3.23,589.35
,TITAN,EQ,       820.75,       826.45,0.69,546.27
,MARUTI,EQ,      8517.05,      8493.95,-0.27,537.83
,TATASTEEL,EQ,       592.10,       605.55,2.27,509.24
,HDFC,EQ,      1868.05,      1877.80,0.52,494.77
,ICICIBANK,EQ,       326.55,       322.90,-1.12,491.9
,AUROPHARMA,EQ,       790.35,       773.85,-2.09,485.47
,TCS,EQ,      2046.25,      2043.95,-0.11,472.82
,BANKBARODA,EQ,       140.50,       133.55,-4.95,464.24
,DHFL,EQ,       611.70,       610.15,-0.25,448.98
,LUPIN,EQ,       940.30,       959.35,2.03,391.26
,RELCAPITAL,EQ,       439.75,       416.05,-5.39,381
,TATAMOTORS,EQ,       267.30,       262.40,-1.83,378.83
,INFY,EQ,       734.30,       742.90,1.17,343.64
,JINDALSTEL,EQ,       216.95,       224.40,3.43,327.91
,DRREDDY,EQ,      2524.45,      2529.15,0.19,315.73
,TECHM,EQ,       747.20,       739.80,-0.99,292.03
,HINDUNILVR,EQ,      1590.65,      1626.85,2.28,289.74

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       193.80,       186.90,3.69
,ITC,EQ,       306.80,       297.20,3.23
,ADANIPORTS,EQ,       376.05,       364.65,3.13
,SUNPHARMA,EQ,       649.90,       630.40,3.09
,HINDALCO,EQ,       237.90,       231.60,2.72

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AXISBANK,EQ,       635.45,       650.15,-2.26
,TATAMOTORS,EQ,       262.40,       267.30,-1.83
,HINDPETRO,EQ,       240.40,       243.70,-1.35
,BPCL,EQ,       334.15,       338.05,-1.15
,ICICIBANK,EQ,       322.90,       326.55,-1.12

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        49.30,                  2433626.25,49581
,21STCENMGM,EQ,        31.80,                   151699.75,4909
,3IINFOTECH,EQ,         3.35,                 13677514.45,4059852
,3MINDIA,EQ,     25251.25,                 31625779.05,1260
,3PLAND,BE,        12.05,                    13255.60,1100
,5PAISA,EQ,       284.45,                   642099.60,2245
,63MOONS,EQ,        76.40,                  9426033.30,123480
,8KMILES,BE,       275.45,                 12108616.35,44023
,A2ZINFRA,EQ,        19.55,                 25706800.95,1308083
,AARON,ST,        41.00,                   949200.00,24000
,AARTIDRUGS,EQ,       625.95,                 12452555.80,20063
,AARTIIND,EQ,      1301.15,                 19311461.95,14800
,AARVEEDEN,EQ,        28.50,                   303256.30,10798
,AARVI,SM,        68.00,                   136000.00,2000
,ABAN,EQ,       105.85,                 44388316.50,417492
,ABBOTINDIA,EQ,      8449.45,                105932212.40,12706
,ABFRL,EQ,       190.60,                220682819.05,1164730
,ABGSHIP,BZ,         4.60,                    35126.75,7905
,ABMINTLTD,BE,        18.05,                     2952.40,168
,ACCELYA,EQ,       981.45,                  4299660.55,4387
,ACCURACY,SM,        85.00,                  3098800.00,36800
,ACE,EQ,       126.80,                 51805798.95,408737
,ACEINTEG,SM,        29.00,                    87000.00,3000
,ADANIENT,EQ,       148.90,               2367086532.75,16166704
,ADANIGREEN,EQ,        52.65,                 13035262.90,248721
,ADANIPOWER,EQ,        30.05,                929278802.75,31178744
,ADANITRANS,EQ,       181.55,                 80823510.65,450461
,ADFFOODS,EQ,       265.70,                  5683870.20,21336
,ADHUNIK,BE,         3.25,                    81258.75,25300
,ADHUNIKIND,EQ,        63.80,                   556823.65,8808
,ADLABS,EQ,        31.95,                  3140527.10,98072
,ADORWELD,EQ,       349.25,                  3438480.70,9883
,ADROITINFO,BE,        29.70,                    39753.45,1381
,ADSL,EQ,        15.30,                   821983.50,53629
,ADVANIHOTR,EQ,        51.70,                   971026.95,18682
,ADVENZYMES,EQ,       211.05,                 23012406.55,110105
,AEGISCHEM,EQ,       208.10,                 26110609.75,125391
,AFL,EQ,        77.55,                   586992.70,7569
,AGARIND,EQ,       268.00,                   124557.80,469
,AGCNET,EQ,        99.10,                    51524.45,521
,AGLSL,EQ,        75.25,                    39481.05,521
,AGRITECH,EQ,        74.40,                   703891.75,9454
,AGROPHOS,SM,        34.60,                   417600.00,12000
,AHLEAST,EQ,       261.45,                   298367.75,1135
,AHLUCONT,EQ,       288.65,                  1538630.50,5328
,AHLWEST,EQ,       300.25,                    26807.85,89
,AIAENG,EQ,      1767.80,                 48462178.20,27973
,AICHAMP,BE,        18.35,                     5516.30,303
,AIFL,EQ,       449.95,                 66740353.55,148451
,AIRAN,SM,        67.40,                   844625.00,12500
,AJANTPHARM,EQ,      1190.30,                596494207.60,509014
