,05-Oct-2018
The Nifty witnessed an intraday movement of about 278.75 points.The closing index was 2.67 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39712.14
, Traded Quantity (in Lakhs), 17483.84
, Number of Trades, 15303520
, Total Market Capitalisation (Rs. Crores), 13488581.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10599.25,     10514.10,     10540.65,     10261.90,     10316.45,-282.8
,NIFTY50 EQL Wgt,     11964.75,     11821.30,     11821.30,     11454.95,     11521.75,-443
,NIFTY100 EQL Wgt,     12716.30,     12603.00,     12608.00,     12254.70,     12320.40,-395.9
,NIFTY100 LowVol30,      8363.80,      8325.60,      8342.15,      8206.65,      8241.20,-122.6
,NIFTY Alpha 50,     11991.65,     11892.70,     11979.25,     11704.65,     11761.40,-230.25
,Nifty IT,     15441.10,     15416.90,     15710.00,     15265.65,     15591.65,150.55
,Nifty Next 50,     26539.15,     26396.30,     26468.55,     25767.95,     25903.25,-635.9
,Nifty Bank,     24819.30,     24741.65,     25080.20,     24250.65,     24443.45,-375.85
,NIFTY MIDCAP 100,     16736.50,     16640.35,     16733.95,     16212.80,     16299.75,-436.75
,Nifty 500,      8854.85,      8793.20,      8815.80,      8582.15,      8624.95,-229.9
,Nifty 100,     10794.30,     10711.30,     10735.85,     10454.95,     10510.05,-284.25
,Nifty Midcap 50,      4553.30,      4530.15,      4553.75,      4382.45,      4407.50,-145.8
,Nifty Realty,       214.65,       212.30,       216.00,       206.50,       208.80,-5.85
,Nifty Infra,      2919.70,      2912.55,      2932.55,      2828.10,      2845.40,-74.3
,Nifty Energy,     14427.80,     13979.00,     13979.00,     13170.45,     13278.00,-1149.8
,Nifty FMCG,     28630.10,     28457.30,     28488.60,     27782.40,     27873.80,-756.3
,Nifty MNC,     13149.00,     13086.65,     13107.85,     12743.05,     12815.85,-333.15
,Nifty Pharma,      9630.75,      9578.10,      9776.45,      9498.20,      9547.35,-83.4
,Nifty PSE,      3486.45,      3362.65,      3362.65,      3191.55,      3205.90,-280.55
,Nifty PSU Bank,      2777.80,      2776.15,      2777.20,      2634.30,      2656.00,-121.8
,Nifty Serv Sector,     14236.80,     14189.75,     14275.65,     13938.05,     14034.55,-202.25
,India VIX,18.9150,18.9150,20.4825,18.4525,19.7325,0.8175
,Nifty Auto,      9207.00,      9130.25,      9200.50,      8837.35,      8915.10,-291.9
,Nifty Metal,      3572.35,      3546.80,      3572.85,      3409.80,      3444.65,-127.7
,Nifty Media,      2460.65,      2454.65,      2455.65,      2340.55,      2371.40,-89.25
,NIFTY SMLCAP 100,      6059.45,      6035.90,      6088.20,      5878.70,      5911.65,-147.8
,Nifty 200,      5567.45,      5525.90,      5540.10,      5392.90,      5421.00,-146.45
,Nifty Div Opps 50,      2605.20,      2570.10,      2570.10,      2517.15,      2526.20,-79
,Nifty Commodities,      3580.65,      3505.95,      3505.95,      3340.70,      3359.45,-221.2
,Nifty Consumption,      4597.15,      4568.10,      4575.15,      4457.90,      4483.30,-113.85
,Nifty Fin Service,     10481.65,     10442.75,     10510.15,     10129.40,     10216.90,-264.75
,Nifty50 Div Point,        93.71,        93.71,        93.71,        93.71,        93.71,0
,Nifty100 Liq 15,      3964.50,      3925.85,      3945.80,      3764.50,      3797.45,-167.05
,Nifty CPSE,      2232.10,      2132.25,      2132.25,      1994.80,      2023.00,-209.1
,Nifty GrowSect 15,      6276.95,      6225.65,      6239.45,      6096.90,      6128.65,-148.3
,Nifty50 PR 2x Lev,      4418.25,      4346.55,      4368.20,      4137.65,      4181.75,-236.5
,Nifty50 PR 1x Inv,       421.10,       424.55,       434.50,       423.50,       432.40,11.3
,Nifty50 TR 2x Lev,      5576.05,      5485.60,      5512.95,      5221.90,      5277.60,-298.45
,Nifty50 TR 1x Inv,       374.80,       377.90,       386.75,       376.95,       384.85,10.05
,Nifty50 Value 20,      5137.95,      5087.85,      5092.25,      4973.65,      5000.35,-137.6
,Nifty Mid Liq 15,      3785.00,      3760.15,      3784.65,      3619.35,      3650.45,-134.55
,Nifty Pvt Bank,     13953.30,     13901.80,     14123.10,     13607.60,     13735.80,-217.5
,NIFTY100 Qualty30,      2484.25,      2474.20,      2482.65,      2435.00,      2448.45,-35.8
,Nifty GS 8 13Yr,      1702.10,      1702.46,      1713.21,      1702.05,      1709.84,7.74
,Nifty GS 10Yr,      1593.73,      1594.06,      1607.89,      1593.35,      1602.21,8.48
,Nifty GS 10Yr Cln,       875.94,       875.94,       883.68,       875.54,       880.50,4.56
,Nifty GS 4 8Yr,      1824.67,      1825.05,      1835.33,      1824.94,      1831.43,6.76
,Nifty GS 11 15Yr,      1772.54,      1772.92,      1785.06,      1772.92,      1779.58,7.04
,Nifty GS 15YrPlus,      1860.90,      1861.32,      1862.33,      1861.32,      1862.00,1.1
,Nifty GS Compsite,      1753.31,      1753.68,      1763.99,      1753.29,      1760.73,7.42

,ADVANCES,413
,DECLINES,1441
,UNCHANGED,93

,Total securities that have hit their price bands today,301

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1122.25,      1048.85,-6.54,2368.19
,HINDPETRO,EQ,       217.15,       165.10,-23.97,1479.1
,BPCL,EQ,       331.15,       265.30,-19.89,1478.83
,ICICIBANK,EQ,       316.50,       307.30,-2.91,1133.26
,MARUTI,EQ,      7198.75,      6904.35,-4.09,1041.81
,SBIN,EQ,       271.35,       258.35,-4.79,969.03
,IOC,EQ,       140.30,       118.05,-15.86,953.63
,YESBANK,EQ,       215.00,       206.00,-4.19,858.36
,HDFCBANK,EQ,      1957.75,      1965.30,0.39,774.27
,BAJFINANCE,EQ,      2179.15,      2023.30,-7.15,733.24
,HDFC,EQ,      1778.45,      1708.65,-3.92,712.4
,TCS,EQ,      2064.80,      2102.65,1.83,710.54
,INDUSINDBK,EQ,      1589.50,      1607.35,1.12,702.11
,GAIL,EQ,       367.95,       332.05,-9.76,694.52
,INFY,EQ,       707.20,       724.60,2.46,613.06
,IBULHSGFIN,EQ,       950.25,       911.70,-4.06,605.71
,TITAN,EQ,       776.70,       792.10,1.98,594.65
,AXISBANK,EQ,       586.25,       568.50,-3.03,570.48
,ONGC,EQ,       172.40,       147.05,-14.7,534.76
,LT,EQ,      1257.90,      1227.40,-2.42,522.47
,ITC,EQ,       287.10,       276.50,-3.69,494.17
,TATASTEEL,EQ,       582.30,       568.00,-2.46,451.4
,DHFL,EQ,       297.30,       275.15,-7.45,441.73
,SUNPHARMA,EQ,       599.05,       597.95,-0.18,411.44
,KOTAKBANK,EQ,      1074.50,      1052.20,-2.08,404.43

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFY,EQ,       724.60,       707.20,2.46
,TITAN,EQ,       792.10,       776.70,1.98
,TCS,EQ,      2102.65,      2064.80,1.83
,INFRATEL,EQ,       260.20,       256.15,1.58
,INDUSINDBK,EQ,      1607.35,      1589.50,1.12

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       165.10,       217.15,-23.97
,BPCL,EQ,       265.30,       331.15,-19.89
,IOC,EQ,       118.05,       140.30,-15.86
,ONGC,EQ,       147.05,       172.40,-14.7
,GAIL,EQ,       332.05,       367.95,-9.76

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.45,                  1821287.35,44714
,21STCENMGM,EQ,        26.75,                    73798.25,2745
,3IINFOTECH,EQ,         3.25,                 10926975.80,3306501
,3MINDIA,EQ,     21917.20,                 32312804.80,1463
,3RDROCK,IT,        67.00,                  1742000.00,26000
,5PAISA,EQ,       199.75,                  1531440.70,7670
,63MOONS,EQ,        63.40,                  9144253.85,141646
,8KMILES,BE,       155.95,                 20049399.85,128563
,A2ZINFRA,EQ,         9.20,                  6650325.30,735590
,AARON,SM,        39.50,                   240000.00,6000
,AARTIDRUGS,EQ,       546.40,                 13815288.45,24933
,AARTIIND,EQ,      1199.55,                 33249494.25,27697
,AARVEEDEN,EQ,        24.20,                   251463.60,10431
,ABAN,EQ,        76.95,                 41269845.15,531642
,ABBOTINDIA,EQ,      7317.45,                 56028014.60,7647
,ABFRL,EQ,       180.90,                135693390.00,746959
,ABGSHIP,BZ,         3.95,                    74266.40,19305
,ABMINTLTD,BE,        16.60,                       16.60,1
,ACCELYA,EQ,      1024.25,                  5976455.40,5817
,ACCURACY,SM,        70.00,                   112000.00,1600
,ACE,EQ,        86.55,                 14894120.15,167328
,ADANIENT,EQ,       130.20,                807739049.15,6099515
,ADANIGREEN,EQ,        33.65,                  2709464.35,80519
,ADANIPOWER,EQ,        23.45,                375227379.20,15616716
,ADANITRANS,BE,       148.90,                  7098247.40,47470
,ADFFOODS,EQ,       206.10,                  5201818.00,25194
,ADHUNIK,BE,         2.95,                   106029.25,36335
,ADHUNIKIND,EQ,        58.80,                  2007993.70,34956
,ADLABS,EQ,        16.20,                  2278815.85,138438
,ADORWELD,EQ,       295.80,                  2745191.80,9298
,ADROITINFO,BE,        24.00,                    23295.00,1005
,ADSL,EQ,        12.65,                   165142.30,13039
,ADVANIHOTR,EQ,        48.50,                  1174916.50,24060
,ADVENZYMES,EQ,       175.20,                 13725665.20,77088
,AEGISCHEM,EQ,       185.05,                 17220796.20,92526
,AFL,EQ,        53.30,                  3680213.15,66899
,AGARIND,EQ,       206.35,                   909618.60,4401
,AGCNET,EQ,        68.70,                   240809.55,3617
,AGLSL,EQ,        70.65,                   137048.10,1954
,AGRITECH,EQ,        63.05,                  1087938.35,17607
,AHLADA,ST,       134.80,                  8115150.00,60000
,AHLEAST,EQ,       244.20,                   670183.30,2765
,AHLUCONT,EQ,       272.15,                 30485707.55,113734
,AHLWEST,EQ,       283.05,                   116396.00,405
,AIAENG,EQ,      1697.95,                 71131970.65,41832
,AICHAMP,BE,        13.10,                    10453.80,798
,AIFL,EQ,       199.35,                   330522.30,1658
,AIONJSW,BE,        41.30,                  1158878.00,28060
,AIRAN,SM,        58.30,                  1027750.00,17500
,AISL,SM,        67.80,                   577320.00,8400
,AJANTPHARM,EQ,      1019.50,                294332467.90,288190
,AJMERA,EQ,       156.35,                  5492422.60,34858
