,14-Nov-2018
The Nifty witnessed an intraday movement of about 118.9 points.The closing index was 0.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35973.53
, Traded Quantity (in Lakhs), 15719.49
, Number of Trades, 13249324
, Total Market Capitalisation (Rs. Crores), 13967890.08

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10582.50,     10634.90,     10651.60,     10532.70,     10576.30,-6.2
,NIFTY50 EQL Wgt,     11893.75,     11969.20,     12012.55,     11866.25,     11892.30,-1.45
,NIFTY100 EQL Wgt,     12828.10,     12888.00,     12923.50,     12796.50,     12836.15,8.05
,NIFTY100 LowVol30,      8277.75,      8313.70,      8333.00,      8249.25,      8283.55,5.8
,NIFTY Alpha 50,     12357.70,     12406.15,     12412.05,     12273.85,     12328.05,-29.65
,Nifty IT,     14698.20,     14662.30,     14662.80,     14236.70,     14338.45,-359.75
,Nifty Next 50,     27121.80,     27199.95,     27289.70,     27019.15,     27149.30,27.5
,Nifty Bank,     25768.60,     25952.40,     26045.05,     25806.70,     25930.15,161.55
,NIFTY MIDCAP 100,     17489.60,     17608.10,     17625.55,     17418.65,     17483.90,-5.7
,Nifty 500,      8923.55,      8967.25,      8980.25,      8887.95,      8921.45,-2.1
,Nifty 100,     10807.30,     10857.95,     10875.15,     10759.10,     10803.15,-4.15
,Nifty Midcap 50,      4808.10,      4844.85,      4851.10,      4783.70,      4801.65,-6.45
,Nifty Realty,       221.40,       222.80,       223.60,       217.30,       218.10,-3.3
,Nifty Infra,      3068.65,      3079.75,      3092.15,      3057.70,      3071.30,2.65
,Nifty Energy,     14091.05,     14201.05,     14337.75,     14078.80,     14160.75,69.7
,Nifty FMCG,     28783.35,     28892.60,     29196.15,     28803.60,     29047.90,264.55
,Nifty MNC,     13363.50,     13389.50,     13447.30,     13332.80,     13360.50,-3
,Nifty Pharma,      9422.55,      9437.40,      9447.85,      9153.40,      9216.15,-206.4
,Nifty PSE,      3431.00,      3461.10,      3509.20,      3450.10,      3458.15,27.15
,Nifty PSU Bank,      2865.45,      2887.90,      2964.95,      2869.95,      2923.85,58.4
,Nifty Serv Sector,     14352.15,     14413.75,     14415.85,     14262.35,     14330.00,-22.15
,India VIX,18.6950,18.6950,19.5075,14.7700,18.8250,0.1300
,Nifty Auto,      9126.90,      9150.80,      9225.75,      9029.65,      9051.40,-75.5
,Nifty Metal,      3410.55,      3444.50,      3450.55,      3369.75,      3382.15,-28.4
,Nifty Media,      2429.15,      2442.25,      2531.70,      2386.00,      2419.95,-9.2
,NIFTY SMLCAP 100,      6275.10,      6310.25,      6315.05,      6230.95,      6262.15,-12.95
,Nifty 200,      5602.40,      5630.05,      5638.35,      5577.75,      5600.30,-2.1
,Nifty Div Opps 50,      2554.90,      2565.25,      2574.20,      2540.70,      2549.50,-5.4
,Nifty Commodities,      3481.05,      3514.90,      3547.75,      3502.80,      3511.10,30.05
,Nifty Consumption,      4708.00,      4734.30,      4790.25,      4726.65,      4751.10,43.1
,Nifty Fin Service,     10867.60,     10943.00,     10978.95,     10888.15,     10934.95,67.35
,Nifty50 Div Point,       106.94,       106.94,       106.94,       106.94,       106.94,0
,Nifty100 Liq 15,      3880.45,      3911.35,      3918.20,      3852.70,      3861.05,-19.4
,Nifty CPSE,      2180.80,      2202.95,      2236.50,      2198.15,      2210.90,30.1
,Nifty GrowSect 15,      6278.00,      6295.40,      6354.20,      6252.40,      6284.10,6.1
,Nifty50 PR 2x Lev,      4356.00,      4398.40,      4411.80,      4314.85,      4350.15,-5.85
,Nifty50 PR 1x Inv,       422.90,       420.90,       424.95,       420.25,       423.20,.3
,Nifty50 TR 2x Lev,      5511.90,      5565.50,      5582.50,      5459.80,      5504.50,-7.4
,Nifty50 TR 1x Inv,       375.95,       374.15,       377.75,       373.60,       376.25,.3
,Nifty50 Value 20,      5141.20,      5164.40,      5164.45,      5101.10,      5124.95,-16.25
,Nifty Mid Liq 15,      4004.20,      4037.10,      4037.10,      3978.05,      3995.10,-9.1
,Nifty Pvt Bank,     14691.50,     14799.80,     14825.45,     14644.30,     14720.40,28.9
,NIFTY100 Qualty30,      2517.15,      2528.25,      2537.25,      2513.10,      2525.90,8.75
,Nifty GS 8 13Yr,      1767.81,      1768.17,      1771.90,      1768.17,      1769.97,2.16
,Nifty GS 10Yr,      1648.61,      1648.94,      1654.95,      1648.94,      1650.94,2.33
,Nifty GS 10Yr Cln,       899.40,       899.40,       902.76,       899.40,       900.52,1.12
,Nifty GS 4 8Yr,      1886.28,      1886.65,      1891.70,      1886.65,      1888.45,2.17
,Nifty GS 11 15Yr,      1852.15,      1852.53,      1853.96,      1852.53,      1852.77,.62
,Nifty GS 15YrPlus,      1945.38,      1945.81,      1956.41,      1945.81,      1956.41,11.03
,Nifty GS Compsite,      1809.59,      1809.96,      1813.69,      1809.96,      1811.28,1.69

,ADVANCES,788
,DECLINES,1002
,UNCHANGED,94

,Total securities that have hit their price bands today,234

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,       278.05,       283.60,2,1488.05
,SUNPHARMA,EQ,       561.75,       520.10,-7.41,1357.98
,TATASTEEL,EQ,       589.20,       589.10,-0.02,1300.3
,HDFCBANK,EQ,      1927.75,      1957.75,1.56,1270.12
,ICICIBANK,EQ,       360.90,       366.60,1.58,1162.37
,ASHOKLEY,EQ,       119.00,       106.50,-10.5,1059.04
,RELIANCE,EQ,      1099.45,      1097.95,-0.14,855.35
,MARUTI,EQ,      7150.45,      7369.05,3.06,812.46
,ZEEL,EQ,       438.10,       435.20,-0.66,777.62
,HINDPETRO,EQ,       232.80,       243.70,4.68,747.97
,AXISBANK,EQ,       618.30,       612.70,-0.91,604.35
,HDFC,EQ,      1824.70,      1839.15,0.79,533.47
,BPCL,EQ,       303.15,       315.95,4.22,478.16
,INFY,EQ,       665.70,       653.20,-1.88,475.06
,EICHERMOT,EQ,     23241.85,     23240.10,-0.01,471.43
,TCS,EQ,      1934.95,      1880.65,-2.81,456.32
,YESBANK,EQ,       225.45,       222.40,-1.35,444.78
,IOC,EQ,       141.40,       145.40,2.83,421.44
,INDIGO,EQ,       974.90,      1048.45,7.54,389.75
,MOTHERSUMI,EQ,       166.30,       153.15,-7.91,377.52
,DIVISLAB,EQ,      1530.60,      1503.85,-1.75,348.5
,BAJFINANCE,EQ,      2285.00,      2293.95,0.39,334.07
,M&M,EQ,       790.05,       769.60,-2.59,330.23
,KOTAKBANK,EQ,      1165.90,      1129.90,-3.09,310.44
,JINDALSTEL,EQ,       182.55,       175.90,-3.64,308.68

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       243.70,       232.80,4.68
,BPCL,EQ,       315.95,       303.15,4.22
,UPL,EQ,       760.25,       736.55,3.22
,MARUTI,EQ,      7369.05,      7150.45,3.06
,ONGC,EQ,       161.00,       156.50,2.88

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       520.10,       561.75,-7.41
,TECHM,EQ,       700.25,       728.05,-3.82
,GAIL,EQ,       352.55,       365.35,-3.5
,HCLTECH,EQ,       997.10,      1033.20,-3.49
,KOTAKBANK,EQ,      1129.90,      1165.90,-3.09

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        44.70,                   976488.45,21627
,21STCENMGM,EQ,        24.10,                    25289.00,1050
,3IINFOTECH,EQ,         3.35,                  4333541.70,1284823
,3MINDIA,EQ,     20748.20,                 20754535.75,1002
,5PAISA,EQ,       198.15,                   665575.40,3324
,63MOONS,EQ,        90.75,                105501808.00,1149504
,8KMILES,EQ,       107.70,                  6163455.60,57228
,A2ZINFRA,EQ,        14.25,                 22761439.50,1561633
,AARON,SM,        38.60,                   462600.00,12000
,AARTIDRUGS,EQ,       575.00,                  4827789.85,8404
,AARTIIND,EQ,      1438.25,                162684724.25,114285
,AARVEEDEN,EQ,        26.40,                  1200446.05,44355
,AARVI,SM,        51.00,                   102000.00,2000
,AAVAS,EQ,       674.75,                 67513174.90,100282
,ABAN,EQ,        82.90,                 40964655.85,486943
,ABBOTINDIA,EQ,      7601.40,                 74888104.20,9966
,ABFRL,EQ,       190.60,                108411598.70,566831
,ABGSHIP,BZ,         2.95,                   178440.45,60556
,ABMINTLTD,BE,        15.75,                       15.75,1
,ACCELYA,EQ,       951.85,                  2260356.70,2370
,ACCORD,SM,        25.25,                   100900.00,4000
,ACE,EQ,        99.70,                  7208393.20,72115
,ADANIENT,EQ,       160.85,                524422269.00,3263131
,ADANIGAS,BE,        78.30,                 49769978.15,640666
,ADANIGREEN,EQ,        42.70,                 17782491.20,412768
,ADANIPOWER,EQ,        49.30,                926462263.60,18786883
,ADANITRANS,EQ,       190.40,                142978188.75,760789
,ADFFOODS,EQ,       246.00,                  6480582.30,26194
,ADHUNIK,EQ,         2.75,                    94432.75,34056
,ADHUNIKIND,EQ,        42.70,                   410935.45,9612
,ADLABS,EQ,        14.40,                   869984.00,60589
,ADORWELD,EQ,       364.25,                  2516087.40,6892
,ADROITINFO,EQ,        18.70,                    13125.85,716
,ADSL,EQ,        13.75,                    82586.10,5946
,ADVANIHOTR,EQ,        58.65,                  1626056.75,28256
,ADVENZYMES,EQ,       185.95,                  4450835.20,23912
,AEGISCHEM,EQ,       217.95,                 13518352.50,61550
,AGARIND,EQ,       190.05,                    46623.40,248
,AGCNET,EQ,        67.80,                   377607.00,5575
,AGLSL,EQ,        76.05,                    40856.75,530
,AGRITECH,EQ,        52.55,                   213829.50,4050
,AGROPHOS,SM,        38.25,                   917100.00,24000
,AHLADA,SM,       144.00,                  2951000.00,21000
,AHLEAST,EQ,       251.20,                   773523.80,3073
,AHLUCONT,EQ,       316.55,                  1153788.65,3610
,AHLWEST,EQ,       307.50,                   207115.50,673
,AIAENG,EQ,      1690.40,                  6568368.15,3878
,AIFL,EQ,        52.95,                  1196299.35,22593
,AIONJSW,EQ,        35.65,                  2127918.95,59027
,AIRAN,SM,        67.70,                   656250.00,10000
,AISL,SM,        65.50,                    78600.00,1200
