,28-Feb-2019
The Nifty witnessed an intraday movement of about 80.85 points.The closing index was 0.13 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42785.02
, Traded Quantity (in Lakhs), 19875.2
, Number of Trades, 12033081
, Total Market Capitalisation (Rs. Crores), 13871449.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10806.65,     10865.70,     10865.70,     10784.85,     10792.50,-14.15
,NIFTY50 EQL Wgt,     11922.95,     12001.55,     12001.55,     11903.20,     11925.90,2.95
,NIFTY100 EQL Wgt,     12562.00,     12621.80,     12635.35,     12557.85,     12611.05,49.05
,NIFTY100 LowVol30,      8477.40,      8523.05,      8523.05,      8451.15,      8462.75,-14.65
,NIFTY Alpha 50,     11611.30,     11671.25,     11681.75,     11614.80,     11655.20,43.9
,NIFTY MIDCAP 150,      5962.80,      5986.10,      6001.70,      5950.95,      5993.00,30.2
,NIFTY SMLCAP 50,      2854.00,      2866.15,      2877.50,      2850.30,      2872.45,18.45
,NIFTY SMLCAP 250,      4865.90,      4880.20,      4915.00,      4874.95,      4907.55,41.65
,NIFTY MIDSML 400,      5575.90,      5596.00,      5617.75,      5571.60,      5610.25,34.35
,NIFTY200 QUALTY30,      9487.50,      9544.10,      9544.10,      9453.20,      9479.15,-8.35
,Nifty IT,     15902.10,     15974.10,     15974.10,     15694.85,     15732.00,-170.1
,Nifty Next 50,     26310.85,     26415.35,     26552.10,     26347.30,     26514.45,203.6
,Nifty Bank,     26799.30,     26878.00,     26920.50,     26762.55,     26789.90,-9.4
,NIFTY MIDCAP 100,     16645.40,     16719.80,     16745.25,     16603.20,     16721.10,75.7
,Nifty 500,      8946.20,      8990.35,      8990.60,      8941.60,      8955.95,9.75
,Nifty 100,     10961.80,     11019.60,     11019.90,     10948.35,     10959.90,-1.9
,Nifty Midcap 50,      4583.05,      4602.70,      4616.65,      4568.70,      4608.90,25.85
,Nifty Realty,       228.00,       227.75,       231.35,       226.85,       230.25,2.25
,Nifty Infra,      2900.05,      2920.65,      2931.10,      2892.15,      2917.70,17.65
,Nifty Energy,     14689.05,     14785.45,     14873.05,     14704.90,     14818.50,129.45
,Nifty FMCG,     29171.95,     29375.15,     29375.15,     29180.95,     29262.85,90.9
,Nifty MNC,     13038.00,     13103.55,     13109.65,     13026.30,     13078.80,40.8
,Nifty Pharma,      8866.20,      8918.95,      8934.40,      8871.40,      8884.85,18.65
,Nifty PSE,      3188.25,      3198.10,      3245.55,      3185.45,      3232.80,44.55
,Nifty PSU Bank,      2743.85,      2745.70,      2775.25,      2745.70,      2760.80,16.95
,Nifty Serv Sector,     14915.55,     14978.95,     14985.45,     14865.20,     14875.80,-39.75
,India VIX,18.8975,18.8975,18.8975,17.0650,18.2775,-0.6200
,Nifty Auto,      8420.05,      8486.20,      8486.20,      8343.80,      8355.15,-64.9
,Nifty Metal,      2846.85,      2862.35,      2892.05,      2845.25,      2871.60,24.75
,Nifty Media,      2443.95,      2467.60,      2479.20,      2425.35,      2465.45,21.5
,NIFTY SMLCAP 100,      5889.05,      5912.90,      5943.75,      5888.85,      5934.35,45.3
,Nifty 200,      5640.50,      5669.75,      5669.90,      5635.25,      5642.55,2.05
,Nifty Div Opps 50,      2552.05,      2565.60,      2565.60,      2547.15,      2554.05,2
,Nifty Commodities,      3286.25,      3302.20,      3318.95,      3281.80,      3305.60,19.35
,Nifty Consumption,      4715.75,      4750.45,      4750.55,      4701.65,      4707.80,-7.95
,Nifty Fin Service,     11234.10,     11271.05,     11285.10,     11215.50,     11227.40,-6.7
,Nifty50 Div Point,       129.48,       133.53,       133.53,       133.53,       133.53,4.05
,Nifty100 Liq 15,      3657.60,      3683.05,      3692.60,      3659.35,      3673.05,15.45
,Nifty CPSE,      2015.05,      2017.60,      2058.65,      2009.80,      2048.95,33.9
,Nifty GrowSect 15,      6100.85,      6148.80,      6148.80,      6066.15,      6072.20,-28.65
,Nifty50 PR 2x Lev,      4439.10,      4486.85,      4486.85,      4420.40,      4426.70,-12.4
,Nifty50 PR 1x Inv,       420.15,       417.95,       421.10,       417.95,       420.80,.65
,Nifty50 TR 2x Lev,      5640.45,      5705.30,      5705.30,      5620.90,      5628.90,-11.55
,Nifty50 TR 1x Inv,       372.85,       370.75,       373.55,       370.75,       373.25,.4
,Nifty50 Value 20,      5328.70,      5356.65,      5356.65,      5312.15,      5317.15,-11.55
,Nifty Mid Liq 15,      3862.70,      3882.45,      3913.35,      3848.30,      3901.50,38.8
,Nifty Pvt Bank,     15284.60,     15343.50,     15357.95,     15267.75,     15291.35,6.75
,NIFTY100 Qualty30,      2604.90,      2620.35,      2620.35,      2596.65,      2602.95,-1.95
,Nifty GS 8 13Yr,      1815.09,      1816.21,      1819.30,      1815.80,      1818.57,3.48
,Nifty GS 10Yr,      1682.47,      1683.49,      1686.71,      1683.49,      1686.03,3.56
,Nifty GS 10Yr Cln,       899.30,       899.30,       901.03,       899.30,       900.67,1.37
,Nifty GS 4 8Yr,      1955.02,      1956.24,      1956.51,      1954.87,      1955.08,.06
,Nifty GS 11 15Yr,      1894.59,      1895.78,      1898.51,      1895.78,      1898.51,3.92
,Nifty GS 15YrPlus,      2037.18,      2038.46,      2039.53,      2038.46,      2039.53,2.35
,Nifty GS Compsite,      1856.79,      1857.93,      1859.68,      1857.62,      1859.13,2.34

,ADVANCES,1076
,DECLINES,697
,UNCHANGED,97

,Total securities that have hit their price bands today,208

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,       718.20,       709.55,-1.2,1862.55
,TCS,EQ,      2058.10,      1983.45,-3.63,1698.82
,RELIANCE,EQ,      1223.50,      1231.05,0.62,1391.76
,LT,EQ,      1284.70,      1292.95,0.64,1201.68
,ITC,EQ,       275.10,       276.05,0.35,1191.6
,KOTAKBANK,EQ,      1216.15,      1213.10,-0.25,1060.27
,YESBANK,EQ,       228.20,       231.15,1.29,1053.77
,HDFC,EQ,      1841.00,      1841.20,0.01,1048.72
,IOC,EQ,       140.90,       144.60,2.63,963
,SBIN,EQ,       267.65,       269.05,0.52,851.62
,COALINDIA,EQ,       221.45,       228.30,3.09,741.65
,ONGC,EQ,       148.00,       148.65,0.44,721.94
,POWERGRID,EQ,       181.45,       182.85,0.77,719.04
,MARUTI,EQ,      6968.50,      6829.70,-1.99,709.87
,VEDL,EQ,       164.65,       169.40,2.88,659.17
,ICICIBANK,EQ,       345.55,       350.15,1.33,638.3
,INFY,EQ,       735.25,       734.30,-0.13,629.66
,HDFCBANK,EQ,      2092.25,      2077.55,-0.7,608.41
,NTPC,EQ,       138.75,       141.25,1.8,589.61
,TECHM,EQ,       825.60,       830.15,0.55,532.5
,TITAN,EQ,      1016.25,      1025.20,0.88,516.19
,SUNPHARMA,EQ,       442.70,       445.15,0.55,485.31
,GAIL,EQ,       335.70,       342.00,1.88,443.73
,RECLTD,EQ,       134.15,       136.35,1.64,382.37
,TATASTEEL,EQ,       507.10,       500.45,-1.31,378.47

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       228.30,       221.45,3.09
,VEDL,EQ,       169.40,       164.65,2.88
,IOC,EQ,       144.60,       140.90,2.63
,BPCL,EQ,       337.55,       330.70,2.07
,GAIL,EQ,       342.00,       335.70,1.88

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      1983.45,      2058.10,-3.63
,EICHERMOT,EQ,     19869.10,     20407.75,-2.64
,MARUTI,EQ,      6829.70,      6968.50,-1.99
,HEROMOTOCO,EQ,      2628.10,      2678.55,-1.88
,ULTRACEMCO,EQ,      3826.50,      3889.10,-1.61

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.55,                  1223938.65,33627
,21STCENMGM,EQ,        17.95,                    31415.35,1777
,3IINFOTECH,EQ,         3.35,                  3981112.20,1173585
,3MINDIA,EQ,     22896.25,                 35299197.35,1545
,3PLAND,EQ,        11.15,                    17326.75,1560
,5PAISA,EQ,       208.40,                  3434269.20,16071
,63MOONS,EQ,        79.55,                 17745879.05,222241
,8KMILES,EQ,       103.75,                 12079262.85,115900
,A2ZINFRA,BE,        16.80,                  2804957.85,167644
,AARON,SM,        43.75,                   131250.00,3000
,AARTIDRUGS,EQ,       589.40,                  1384739.80,2346
,AARTIIND,EQ,      1390.10,                479368291.45,345237
,AARVEEDEN,EQ,        21.70,                   126851.80,5914
,AAVAS,EQ,      1004.15,                501643138.60,501196
,ABAN,EQ,        52.60,                 15713675.30,300166
,ABBOTINDIA,EQ,      7437.60,                 69190121.55,9266
,ABFRL,EQ,       225.30,                178709026.90,798738
,ABGSHIP,BZ,         1.55,                   100473.15,61978
,ABSLNN50ET,EQ,       270.00,                    13003.00,49
,ACCELYA,EQ,       925.90,                  1350036.75,1468
,ACCURACY,SM,        58.00,                   186400.00,3200
,ACE,EQ,        80.45,                 20279855.65,254003
,ADANIENT,EQ,       128.85,                519985309.30,3960957
,ADANIGAS,EQ,       102.00,                 47095505.15,464224
,ADANIGREEN,EQ,        33.05,                 10129220.90,305906
,ADANIPOWER,EQ,        48.15,               1171565384.75,24563416
,ADANITRANS,EQ,       203.85,                 48475772.55,241279
,ADFFOODS,EQ,       232.30,                 41867702.70,185116
,ADHUNIK,EQ,         1.55,                     6333.20,4157
,ADHUNIKIND,EQ,        54.25,                  1164849.20,21058
,ADLABS,EQ,         8.85,                   449603.00,51003
,ADORWELD,EQ,       318.90,                   863506.60,2723
,ADROITINFO,EQ,        15.00,                    21738.45,1469
,ADSL,EQ,        12.20,                   276704.35,23058
,ADVANIHOTR,EQ,        62.85,                   326325.40,5164
,ADVENZYMES,EQ,       149.30,                  5588148.30,37294
,AEGISCHEM,EQ,       198.90,                 37629491.05,189017
,AGARIND,EQ,       169.15,                  4653788.00,27214
,AGCNET,EQ,       105.00,                   322860.55,3096
,AGLSL,EQ,        61.00,                    12158.90,200
,AGRITECH,EQ,        49.55,                   309351.35,6164
,AGROPHOS,SM,        56.50,                 13663500.00,252000
,AHLEAST,EQ,       234.25,                    21416.10,91
,AHLUCONT,EQ,       292.30,                  1537659.75,5317
,AHLWEST,EQ,       350.30,                   111442.45,318
,AIAENG,EQ,      1715.40,                 27595014.95,16082
,AIFL,BE,        14.70,                   381917.15,26007
,AIONJSW,EQ,        31.00,                  1077652.15,34728
,AIRAN,SM,        52.35,                   261750.00,5000
,AIROLAM,SM,        29.80,                   274500.00,9000
,AJANTPHARM,EQ,       978.90,                563034424.35,564838
,AJMERA,EQ,       161.60,                  6407510.75,39547
,AJOONI,SM,        22.40,                  1156800.00,48000
,AKASH,SM,        80.00,                    80000.00,1000
,AKSHARCHEM,EQ,       320.60,                  1598867.75,5134
,AKSHOPTFBR,EQ,        18.75,                  6752909.30,358399
,AKZOINDIA,EQ,      1786.55,                 21862717.40,12421
,ALANKIT,EQ,        27.05,                 13614654.85,501829
,ALBERTDAVD,EQ,       392.90,                   911595.90,2314
,ALBK,EQ,        48.00,                881185397.00,18683211
