,20-Mar-2019
The Nifty witnessed an intraday movement of about 53 points.The closing index was 0.1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35524.98
, Traded Quantity (in Lakhs), 17099.78
, Number of Trades, 11468082
, Total Market Capitalisation (Rs. Crores), 14719342.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11532.40,     11553.35,     11556.10,     11503.10,     11521.05,-11.35
,NIFTY50 EQL Wgt,     12677.45,     12696.30,     12696.35,     12573.65,     12587.60,-89.85
,NIFTY100 EQL Wgt,     13435.40,     13458.35,     13458.35,     13346.35,     13371.60,-63.8
,NIFTY100 LowVol30,      8784.00,      8806.95,      8807.10,      8744.95,      8751.15,-32.85
,NIFTY Alpha 50,     12002.00,     12031.60,     12081.30,     12000.00,     12012.95,10.95
,NIFTY MIDCAP 150,      6378.45,      6388.75,      6389.85,      6343.65,      6353.50,-24.95
,NIFTY SMLCAP 50,      3237.25,      3242.25,      3250.25,      3214.55,      3223.00,-14.25
,NIFTY SMLCAP 250,      5374.95,      5386.80,      5389.30,      5352.35,      5356.85,-18.1
,NIFTY MIDSML 400,      6025.45,      6036.30,      6037.30,      5996.40,      6002.95,-22.5
,NIFTY200 QUALTY30,      9681.25,      9704.55,      9709.05,      9624.25,      9636.30,-44.95
,Nifty IT,     15495.55,     15563.95,     15735.25,     15554.45,     15599.25,103.7
,Nifty Next 50,     28058.65,     28110.15,     28110.20,     27906.30,     27964.10,-94.55
,Nifty Bank,     29767.85,     29769.65,     29885.20,     29633.50,     29832.20,64.35
,NIFTY MIDCAP 100,     17936.95,     17969.10,     17969.70,     17820.20,     17847.00,-89.95
,Nifty 500,      9570.15,      9587.50,      9588.50,      9540.90,      9553.00,-17.15
,Nifty 100,     11696.50,     11717.70,     11719.60,     11663.70,     11681.30,-15.2
,Nifty Midcap 50,      4962.95,      4971.65,      4971.80,      4924.75,      4934.25,-28.7
,Nifty Realty,       259.00,       261.10,       266.30,       260.85,       265.30,6.3
,Nifty Infra,      3171.95,      3181.10,      3185.95,      3151.70,      3162.50,-9.45
,Nifty Energy,     16593.90,     16607.25,     16607.25,     16353.30,     16397.40,-196.5
,Nifty FMCG,     30433.15,     30491.75,     30584.05,     30250.40,     30297.35,-135.8
,Nifty MNC,     13237.10,     13276.55,     13277.35,     13175.40,     13192.35,-44.75
,Nifty Pharma,      9244.60,      9259.30,      9300.80,      9231.65,      9264.50,19.9
,Nifty PSE,      3606.85,      3611.85,      3612.55,      3502.50,      3509.80,-97.05
,Nifty PSU Bank,      3176.30,      3177.70,      3198.05,      3144.50,      3190.05,13.75
,Nifty Serv Sector,     15938.40,     15967.60,     16014.00,     15928.85,     15974.35,35.95
,India VIX,16.4925,16.4925,16.4925,14.4850,16.0325,-0.4600
,Nifty Auto,      8567.05,      8572.90,      8573.10,      8428.65,      8445.10,-121.95
,Nifty Metal,      3027.40,      3037.65,      3038.25,      2988.00,      2996.10,-31.3
,Nifty Media,      2539.35,      2522.20,      2522.20,      2448.00,      2453.55,-85.8
,NIFTY SMLCAP 100,      6610.75,      6623.35,      6630.95,      6579.80,      6590.75,-20
,Nifty 200,      6025.35,      6036.25,      6037.00,      6006.80,      6014.95,-10.4
,Nifty Div Opps 50,      2681.30,      2688.75,      2690.80,      2660.05,      2663.30,-18
,Nifty Commodities,      3594.60,      3603.05,      3603.05,      3530.95,      3537.45,-57.15
,Nifty Consumption,      4874.40,      4881.95,      4885.20,      4834.80,      4840.95,-33.45
,Nifty Fin Service,     12314.85,     12324.70,     12384.80,     12279.20,     12351.05,36.2
,Nifty50 Div Point,       139.18,       139.18,       139.18,       139.18,       139.18,0
,Nifty100 Liq 15,      3953.20,      3960.65,      3961.30,      3919.85,      3947.35,-5.85
,Nifty CPSE,      2266.00,      2272.15,      2273.00,      2183.75,      2194.20,-71.8
,Nifty GrowSect 15,      6243.65,      6251.25,      6254.35,      6183.05,      6192.10,-51.55
,Nifty50 PR 2x Lev,      5035.10,      5052.50,      5052.50,      5009.10,      5024.30,-10.8
,Nifty50 PR 1x Inv,       394.85,       394.20,       395.90,       394.20,       395.30,.45
,Nifty50 TR 2x Lev,      6408.85,      6431.00,      6431.00,      6375.75,      6395.10,-13.75
,Nifty50 TR 1x Inv,       350.05,       349.50,       351.00,       349.50,       350.50,.45
,Nifty50 Value 20,      5536.05,      5550.60,      5552.90,      5503.30,      5512.50,-23.55
,Nifty Mid Liq 15,      4178.25,      4184.70,      4191.60,      4142.70,      4148.80,-29.45
,Nifty Pvt Bank,     17001.90,     17001.00,     17036.10,     16905.80,     16986.20,-15.7
,NIFTY100 Qualty30,      2715.55,      2721.70,      2722.55,      2702.60,      2705.50,-10.05
,Nifty GS 8 13Yr,      1838.03,      1838.40,      1840.49,      1837.89,      1839.93,1.9
,Nifty GS 10Yr,      1701.49,      1701.83,      1704.16,      1700.31,      1703.65,2.16
,Nifty GS 10Yr Cln,       905.51,       905.51,       906.76,       904.69,       906.49,.98
,Nifty GS 4 8Yr,      1973.62,      1974.02,      1975.45,      1973.51,      1975.45,1.83
,Nifty GS 11 15Yr,      1921.39,      1921.80,      1925.56,      1921.80,      1924.92,3.53
,Nifty GS 15YrPlus,      2055.27,      2055.70,      2059.27,      2055.70,      2058.89,3.62
,Nifty GS Compsite,      1878.04,      1878.42,      1881.10,      1878.32,      1880.71,2.67

,ADVANCES,691
,DECLINES,1160
,UNCHANGED,97

,Total securities that have hit their price bands today,246

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1376.55,      1375.45,-0.08,1361.42
,INFY,EQ,       722.25,       738.95,2.31,993.54
,IBULHSGFIN,EQ,       697.95,       732.60,4.96,892.95
,AXISBANK,EQ,       760.90,       755.75,-0.68,741.66
,HDFC,EQ,      1967.85,      1987.55,1,725.31
,MARUTI,EQ,      6825.20,      6673.55,-2.22,686.15
,YESBANK,EQ,       248.80,       252.15,1.35,671.62
,HDFCBANK,EQ,      2267.75,      2299.00,1.38,669.67
,TCS,EQ,      2022.80,      2015.05,-0.38,626.21
,JUBILANT,EQ,       841.65,       774.10,-8.03,610.27
,PNB,EQ,        90.50,        93.55,3.37,600.99
,SBIN,EQ,       303.05,       303.80,0.25,569.52
,IOC,EQ,       162.70,       159.00,-2.27,568.7
,ICICIBANK,EQ,       398.40,       392.90,-1.38,559.44
,KOTAKBANK,EQ,      1347.75,      1351.60,0.29,532.66
,LT,EQ,      1357.95,      1370.90,0.95,530.86
,INDIGO,EQ,      1326.35,      1423.70,7.34,527.54
,COALINDIA,EQ,       242.90,       237.00,-2.43,482.63
,ITC,EQ,       299.45,       298.90,-0.18,467.07
,TATASTEEL,EQ,       527.50,       513.60,-2.64,449.34
,ONGC,EQ,       157.00,       151.85,-3.28,437.95
,JUSTDIAL,EQ,       624.35,       608.75,-2.5,433.6
,IDEA,EQ,        32.05,        33.10,3.28,410.9
,BAJFINANCE,EQ,      2920.90,      2868.60,-1.79,406.6
,ZEEL,EQ,       465.75,       443.20,-4.84,399.22

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IBULHSGFIN,EQ,       732.60,       697.95,4.96
,HINDALCO,EQ,       207.15,       202.35,2.37
,INFY,EQ,       738.95,       722.25,2.31
,WIPRO,EQ,       261.55,       257.45,1.59
,DRREDDY,EQ,      2751.65,      2708.70,1.59

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDPETRO,EQ,       275.10,       290.75,-5.38
,ZEEL,EQ,       443.20,       465.75,-4.84
,BPCL,EQ,       389.15,       407.80,-4.57
,NTPC,EQ,       129.25,       134.90,-4.19
,ONGC,EQ,       151.85,       157.00,-3.28

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        38.55,                  1031610.85,26351
,21STCENMGM,EQ,        19.60,                    40766.80,2082
,3IINFOTECH,EQ,         3.75,                  6630077.65,1749970
,3MINDIA,EQ,     23440.15,                 23558354.95,1003
,3PLAND,EQ,        11.65,                     5883.25,505
,5PAISA,EQ,       237.85,                  1728200.05,7208
,63MOONS,EQ,        84.00,                 12845359.20,151820
,8KMILES,EQ,       105.25,                 38490110.05,364095
,A2ZINFRA,BE,        17.40,                  7270880.20,423069
,AAKASH,SM,        21.00,                    85000.00,4000
,AARON,SM,        45.95,                   542700.00,12000
,AARTIDRUGS,EQ,       657.10,                 57751780.25,87268
,AARTIIND,EQ,      1460.95,                122851251.25,84102
,AARVEEDEN,EQ,        24.40,                  3770697.00,152386
,AARVI,SM,        44.00,                    88000.00,2000
,AAVAS,EQ,      1142.85,                  7108167.05,6229
,ABAN,BE,        62.60,                 12162693.35,199237
,ABBOTINDIA,EQ,      7355.90,                  5768209.80,784
,ABFRL,EQ,       225.50,                108936678.30,481170
,ABGSHIP,BZ,         1.95,                    19746.30,10021
,ABSLNN50ET,EQ,       319.29,                    68414.18,213
,ACCELYA,EQ,       930.05,                  2724507.45,2912
,ACE,EQ,       101.00,                 14595178.75,143593
,ACEINTEG,SM,        36.00,                   108000.00,3000
,ADANIENT,EQ,       139.45,                455218805.20,3242462
,ADANIGAS,EQ,       116.65,                 23917893.50,204846
,ADANIGREEN,EQ,        36.45,                 16821440.90,458645
,ADANIPOWER,EQ,        48.60,                638344508.95,13078843
,ADANITRANS,EQ,       225.15,                 90443905.70,402293
,ADFFOODS,EQ,       252.65,                  4115152.20,16093
,ADHUNIK,BE,         2.40,                    17632.80,7347
,ADHUNIKIND,EQ,        54.95,                  1347614.60,24037
,ADLABS,EQ,        10.70,                  5256122.55,485895
,ADORWELD,EQ,       337.10,                  1909325.65,5646
,ADROITINFO,BE,        17.05,                     3911.50,230
,ADSL,EQ,        14.10,                   221911.20,15888
,ADVANIHOTR,EQ,        67.85,                   431963.25,6274
,ADVENZYMES,EQ,       178.65,                 18343835.20,102587
,AEGISCHEM,EQ,       200.05,                 42434060.70,210671
,AGARIND,EQ,       166.05,                   234082.75,1402
,AGCNET,EQ,       115.00,                   373947.50,3265
,AGLSL,EQ,        60.65,                   314330.80,5263
,AGRITECH,EQ,        50.55,                   331857.05,6465
,AGROPHOS,EQ,        74.35,                 29928933.75,403463
,AHLADA,SM,        92.00,                   185750.00,2000
,AHLEAST,EQ,       243.80,                  1017986.30,4170
,AHLUCONT,EQ,       342.75,                  3051354.55,8856
,AHLWEST,EQ,       350.00,                   668788.25,1940
,AIAENG,EQ,      1707.30,                 81706983.95,47840
,AIFL,BE,        13.30,                   671507.60,50476
,AIONJSW,EQ,        26.50,                  2030724.55,76582
,AIROLAM,SM,        34.50,                  1123800.00,33000
,AISL,SM,        65.80,                   634800.00,9600
,AJANTPHARM,EQ,      1021.05,                437549554.30,424849
,AJMERA,EQ,       186.70,                 18960308.70,101084
,AJOONI,SM,        24.75,                   389600.00,16000
,AKG,SM,        35.60,                  2154800.00,64000
,AKSHARCHEM,EQ,       328.60,                   711154.95,2176
,AKSHOPTFBR,EQ,        18.95,                 13233694.55,692789
,AKZOINDIA,EQ,      1751.15,                  4727863.50,2684
,ALANKIT,EQ,        31.95,                 22426655.35,723565
