,30-May-2019
The Nifty witnessed an intraday movement of about 109.15 points.The closing index was 0.71 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37269.06
, Traded Quantity (in Lakhs), 18872.68
, Number of Trades, 11124707
, Total Market Capitalisation (Rs. Crores), 15252801.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11861.10,     11865.30,     11968.55,     11859.40,     11945.90,84.8
,NIFTY50 EQL Wgt,     12840.95,     12850.20,     12897.10,     12844.30,     12883.45,42.5
,NIFTY100 EQL Wgt,     13448.55,     13463.75,     13491.60,     13440.15,     13474.85,26.3
,NIFTY100 LowVol30,      8890.65,      8901.35,      8942.55,      8898.10,      8924.45,33.8
,NIFTY Alpha 50,     12157.75,     12183.95,     12319.20,     12176.70,     12295.55,137.8
,NIFTY MIDCAP 150,      6400.15,      6407.55,      6443.65,      6396.80,      6438.25,38.1
,NIFTY SMLCAP 50,      3177.45,      3179.00,      3199.05,      3171.35,      3193.50,16.05
,NIFTY SMLCAP 250,      5444.30,      5445.40,      5463.00,      5437.90,      5451.50,7.2
,NIFTY MIDSML 400,      6065.25,      6070.30,      6096.45,      6062.80,      6092.00,26.75
,NIFTY200 QUALTY30,      9603.80,      9625.05,      9639.55,      9596.20,      9608.90,5.1
,Nifty IT,     15865.60,     15908.95,     16034.75,     15879.20,     15997.35,131.75
,Nifty Next 50,     27625.35,     27670.05,     27709.90,     27583.55,     27648.55,23.2
,Nifty Bank,     31295.55,     31256.85,     31619.25,     31236.10,     31537.10,241.55
,NIFTY MIDCAP 100,     17856.25,     17883.90,     18014.10,     17853.25,     17997.25,141
,Nifty 500,      9757.15,      9762.80,      9827.25,      9759.50,      9815.30,58.15
,Nifty 100,     11962.35,     11968.55,     12059.65,     11963.60,     12038.20,75.85
,Nifty Midcap 50,      4936.50,      4945.65,      4973.85,      4935.35,      4966.25,29.75
,Nifty Realty,       284.95,       287.20,       287.55,       282.85,       284.60,-.35
,Nifty Infra,      3316.25,      3322.65,      3360.40,      3318.50,      3353.70,37.45
,Nifty Energy,     16325.95,     16389.20,     16562.50,     16373.30,     16524.30,198.35
,Nifty FMCG,     30014.20,     30055.70,     30124.80,     29974.90,     30002.40,-11.8
,Nifty MNC,     13123.70,     13114.30,     13159.85,     13075.65,     13139.55,15.85
,Nifty Pharma,      8484.65,      8479.65,      8531.30,      8459.80,      8474.70,-9.95
,Nifty PSE,      3612.75,      3632.15,      3653.80,      3623.30,      3645.50,32.75
,Nifty PSU Bank,      3275.90,      3281.80,      3312.55,      3260.55,      3289.25,13.35
,Nifty Serv Sector,     16735.70,     16736.40,     16932.05,     16724.40,     16908.00,172.3
,India VIX,16.4075,16.4075,16.4075,14.8525,15.6100,-0.7975
,Nifty Auto,      8281.90,      8271.00,      8284.25,      8220.50,      8235.70,-46.2
,Nifty Metal,      2937.30,      2939.10,      2946.65,      2914.30,      2924.50,-12.8
,Nifty Media,      2225.30,      2225.35,      2237.00,      2213.20,      2226.40,1.1
,NIFTY SMLCAP 100,      6601.45,      6609.05,      6636.40,      6598.85,      6626.35,24.9
,Nifty 200,      6143.80,      6147.70,      6192.70,      6145.30,      6183.80,40
,Nifty Div Opps 50,      2684.00,      2692.50,      2703.40,      2689.25,      2698.05,14.05
,Nifty Commodities,      3675.30,      3677.45,      3699.40,      3672.30,      3691.75,16.45
,Nifty Consumption,      4801.40,      4801.80,      4815.95,      4793.80,      4804.55,3.15
,Nifty Fin Service,     13361.55,     13349.85,     13528.50,     13335.05,     13515.95,154.4
,Nifty50 Div Point,        15.64,        15.64,        15.64,        15.64,        15.64,0
,Nifty100 Liq 15,      4043.75,      4044.30,      4067.65,      4039.95,      4062.60,18.85
,Nifty CPSE,      2315.40,      2326.35,      2340.05,      2317.95,      2332.90,17.5
,Nifty GrowSect 15,      6139.55,      6143.10,      6190.05,      6137.45,      6170.75,31.2
,Nifty50 PR 2x Lev,      5243.60,      5246.45,      5337.40,      5243.80,      5317.70,74.1
,Nifty50 PR 1x Inv,       387.00,       386.95,       387.00,       383.55,       384.30,-2.7
,Nifty50 TR 2x Lev,      6696.05,      6699.70,      6815.80,      6696.30,      6790.70,94.65
,Nifty50 TR 1x Inv,       342.50,       342.45,       342.50,       339.45,       340.10,-2.4
,Nifty50 Value 20,      5483.10,      5499.65,      5541.95,      5492.40,      5526.60,43.5
,Nifty Mid Liq 15,      4205.70,      4209.70,      4227.40,      4196.45,      4218.25,12.55
,Nifty Pvt Bank,     17493.35,     17462.05,     17676.70,     17452.55,     17611.95,118.6
,NIFTY100 Qualty30,      2695.80,      2700.40,      2712.00,      2697.80,      2703.45,7.65
,Nifty GS 8 13Yr,      1900.81,      1900.81,      1900.81,      1899.16,      1899.68,-1.13
,Nifty GS 10Yr,      1754.63,      1754.63,      1754.63,      1752.47,      1753.31,-1.32
,Nifty GS 10Yr Cln,       921.28,       921.28,       921.28,       920.11,       920.57,-.71
,Nifty GS 4 8Yr,      2021.21,      2021.21,      2021.21,      2019.72,      2020.20,-1.01
,Nifty GS 11 15Yr,      2012.64,      2012.64,      2012.64,      2010.17,      2011.05,-1.59
,Nifty GS 15YrPlus,      2172.21,      2172.21,      2172.21,      2170.35,      2170.35,-1.86
,Nifty GS Compsite,      1936.85,      1936.85,      1936.85,      1935.04,      1935.41,-1.44

,ADVANCES,866
,DECLINES,932
,UNCHANGED,126

,Total securities that have hit their price bands today,257

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1313.05,      1329.75,1.27,1428.05
,INFY,EQ,       727.80,       733.55,0.79,1106.81
,TCS,EQ,      2107.55,      2146.30,1.84,1065.25
,SBIN,EQ,       348.65,       353.55,1.41,903.51
,YESBANK,EQ,       151.70,       155.00,2.18,855.19
,HDFC,EQ,      2147.45,      2184.40,1.72,817.24
,INDUSINDBK,EQ,      1608.65,      1586.90,-1.35,796.5
,ICICIBANK,EQ,       423.30,       426.20,0.69,776.41
,JUSTDIAL,EQ,       690.40,       746.95,8.19,643.26
,PCJEWELLER,EQ,        86.35,        81.00,-6.2,640.75
,MARUTI,EQ,      6891.45,      6867.70,-0.34,584.5
,HDFCBANK,EQ,      2416.90,      2439.55,0.94,569.94
,AXISBANK,EQ,       804.70,       807.55,0.35,518.68
,BHARTIARTL,EQ,       338.80,       346.70,2.33,480.83
,KOTAKBANK,EQ,      1513.90,      1535.35,1.42,449.98
,COALINDIA,EQ,       250.70,       252.95,0.9,419.64
,LT,EQ,      1552.45,      1558.60,0.4,417.03
,GAIL,EQ,       353.75,       359.25,1.55,411.91
,NTPC,EQ,       130.90,       135.10,3.21,407.88
,BAJFINANCE,EQ,      3409.25,      3481.65,2.12,406.25
,BEL,EQ,       112.20,       113.40,1.07,397.63
,SUNPHARMA,EQ,       423.80,       412.75,-2.61,377.28
,POWERGRID,EQ,       190.15,       191.20,0.55,375.05
,IBULHSGFIN,EQ,       777.80,       774.05,-0.48,373.82
,ONGC,EQ,       171.55,       169.45,-1.22,372.1

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NTPC,EQ,       135.10,       130.90,3.21
,BHARTIARTL,EQ,       346.70,       338.80,2.33
,YESBANK,EQ,       155.00,       151.70,2.18
,BPCL,EQ,       407.65,       399.15,2.13
,BAJFINANCE,EQ,      3481.65,      3409.25,2.12

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       412.75,       423.80,-2.61
,EICHERMOT,EQ,     19891.50,     20423.75,-2.61
,ZEEL,EQ,       365.25,       372.55,-1.96
,M&M,EQ,       661.70,       672.15,-1.55
,JSWSTEEL,EQ,       276.60,       280.55,-1.41

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        42.20,                  4561867.35,106230
,21STCENMGM,EQ,        19.05,                     3543.30,186
,3IINFOTECH,EQ,         3.55,                  3909005.15,1101026
,3MINDIA,EQ,     22816.35,                 41948190.75,1839
,3PLAND,BE,        10.45,                    33590.45,3251
,5PAISA,EQ,       242.85,                  3849956.90,15688
,63MOONS,EQ,       134.80,                 19167855.10,139882
,8KMILES,EQ,       101.00,                  9716267.65,95870
,A2ZINFRA,EQ,        16.80,                  3171520.90,187176
,AARON,SM,        46.50,                   277500.00,6000
,AARTIDRUGS,EQ,       575.20,                  2962483.30,5122
,AARTIIND,EQ,      1842.55,                246171410.75,134541
,AARVEEDEN,EQ,        23.95,                    60189.45,2511
,AARVI,SM,        37.00,                    74000.00,2000
,AAVAS,EQ,      1382.45,                 27517967.70,19750
,ABAN,BE,        52.55,                  1911147.00,36442
,ABBOTINDIA,EQ,      7836.80,                217952138.70,27759
,ABCAPITAL,EQ,        99.55,                114703889.50,1156858
,ABFRL,EQ,       218.05,                134800062.45,622306
,ABSLNN50ET,EQ,       274.61,                   121515.71,441
,ACCELYA,EQ,       897.10,                  2769755.15,3081
,ACCORD,SM,        28.50,                    57000.00,2000
,ACE,EQ,       105.70,                 22311658.85,209339
,ADANIENT,EQ,       158.10,               1059433609.00,6740283
,ADANIGAS,EQ,       171.15,                411788954.65,2433004
,ADANIGREEN,EQ,        44.60,                 34709973.70,775453
,ADANIPOWER,EQ,        51.55,               2290922204.45,44609030
,ADANITRANS,EQ,       233.75,                 55167450.35,236209
,ADFFOODS,EQ,       298.55,                272653838.95,926590
,ADHUNIK,BE,         2.00,                    88210.75,42586
,ADHUNIKIND,EQ,        85.65,                  1836886.55,21224
,ADLABS,EQ,         7.65,                   409040.55,53044
,ADORWELD,EQ,       367.00,                  1361971.35,3711
,ADROITINFO,BE,        15.15,                    29078.20,1968
,ADSL,EQ,        17.05,                   504151.45,29569
,ADVANIHOTR,EQ,        65.45,                   539766.85,8415
,ADVENZYMES,EQ,       213.10,                 45936540.95,215554
,AEGISCHEM,EQ,       224.75,                 20838405.95,92632
,AGARIND,EQ,       158.60,                   225746.15,1409
,AGCNET,EQ,       112.15,                  1523646.20,13207
,AGLSL,EQ,        54.30,                  1499146.55,27594
,AGRITECH,EQ,        63.30,                   728220.45,11289
,AGROPHOS,BE,        73.60,                   745342.80,10152
,AHLEAST,EQ,       213.65,                   196638.00,916
,AHLUCONT,EQ,       350.70,                  1505845.05,4272
,AHLWEST,EQ,       340.20,                  1004365.95,2963
,AIAENG,EQ,      1772.30,                 17833307.65,10072
,AIFL,BE,         6.25,                    54525.00,8724
,AIONJSW,EQ,        21.50,                   452710.50,21031
,AIRAN,EQ,        30.80,                   151459.20,4866
,AISL,SM,        58.15,                    69780.00,1200
,AJANTPHARM,EQ,      1040.00,                191071904.80,184805
,AJMERA,EQ,       185.45,                 29056630.40,155235
,AKSHARCHEM,EQ,       342.70,                  6055881.95,17789
,AKSHOPTFBR,EQ,        13.75,                  6604964.80,480629
,AKZOINDIA,EQ,      1751.45,                  2319356.10,1323
,ALANKIT,EQ,        38.80,                 29861259.75,795109
,ALBERTDAVD,EQ,       456.20,                 14015706.75,29992
,ALBK,EQ,        46.30,                203005105.90,4388509
