,31-May-2019
The Nifty witnessed an intraday movement of about 209.8 points.The closing index was 0.19 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 42197
, Traded Quantity (in Lakhs), 18901.81
, Number of Trades, 13543607
, Total Market Capitalisation (Rs. Crores), 15254361.29

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11945.90,     11999.80,     12039.25,     11829.45,     11922.80,-23.1
,NIFTY50 EQL Wgt,     12883.45,     12945.65,     12992.90,     12790.20,     12864.00,-19.45
,NIFTY100 EQL Wgt,     13474.85,     13533.30,     13594.80,     13402.25,     13493.65,18.8
,NIFTY100 LowVol30,      8924.45,      8958.20,      9007.80,      8892.75,      8929.80,5.35
,NIFTY Alpha 50,     12295.55,     12329.40,     12413.95,     12271.60,     12315.50,19.95
,NIFTY MIDCAP 150,      6438.25,      6455.85,      6482.60,      6402.60,      6442.20,3.95
,NIFTY SMLCAP 50,      3193.50,      3193.20,      3194.70,      3126.00,      3146.15,-47.35
,NIFTY SMLCAP 250,      5451.50,      5461.35,      5468.20,      5381.95,      5412.90,-38.6
,NIFTY MIDSML 400,      6092.00,      6106.75,      6122.80,      6043.80,      6080.10,-11.9
,NIFTY200 QUALTY30,      9608.90,      9663.00,      9738.75,      9627.65,      9664.55,55.65
,Nifty IT,     15997.35,     16070.60,     16197.35,     16042.60,     16160.65,163.3
,Nifty Next 50,     27648.55,     27772.00,     27964.65,     27626.65,     27839.50,190.95
,Nifty Bank,     31537.10,     31678.90,     31783.60,     30623.05,     31375.40,-161.7
,NIFTY MIDCAP 100,     17997.25,     18048.45,     18141.45,     17849.90,     17959.05,-38.2
,Nifty 500,      9815.30,      9855.55,      9889.30,      9734.20,      9805.05,-10.25
,Nifty 100,     12038.20,     12092.45,     12136.65,     11935.90,     12028.25,-9.95
,Nifty Midcap 50,      4966.25,      4979.20,      5012.30,      4917.45,      4962.80,-3.45
,Nifty Realty,       284.60,       285.20,       286.75,       279.20,       283.95,-.65
,Nifty Infra,      3353.70,      3367.90,      3375.95,      3305.60,      3338.85,-14.85
,Nifty Energy,     16524.30,     16607.80,     16701.45,     16423.15,     16560.35,36.05
,Nifty FMCG,     30002.40,     30060.95,     30316.75,     29756.40,     29850.40,-152
,Nifty MNC,     13139.55,     13173.75,     13213.50,     13061.70,     13153.95,14.4
,Nifty Pharma,      8474.70,      8503.30,      8544.25,      8403.60,      8455.10,-19.6
,Nifty PSE,      3645.50,      3671.15,      3694.50,      3621.70,      3654.65,9.15
,Nifty PSU Bank,      3289.25,      3314.55,      3331.25,      3185.60,      3247.60,-41.65
,Nifty Serv Sector,     16908.00,     16977.55,     17049.15,     16651.40,     16913.70,5.7
,India VIX,15.6100,15.6100,16.7875,14.1900,16.0675,0.4575
,Nifty Auto,      8235.70,      8270.05,      8314.40,      8151.75,      8175.50,-60.2
,Nifty Metal,      2924.50,      2953.55,      2965.65,      2875.10,      2900.40,-24.1
,Nifty Media,      2226.40,      2235.90,      2247.55,      2177.25,      2204.05,-22.35
,NIFTY SMLCAP 100,      6626.35,      6637.85,      6639.10,      6507.60,      6548.35,-78
,Nifty 200,      6183.80,      6210.55,      6234.00,      6131.80,      6177.85,-5.95
,Nifty Div Opps 50,      2698.05,      2712.30,      2728.75,      2687.25,      2701.75,3.7
,Nifty Commodities,      3691.75,      3712.35,      3722.20,      3651.65,      3685.20,-6.55
,Nifty Consumption,      4804.55,      4821.65,      4860.00,      4794.05,      4809.45,4.9
,Nifty Fin Service,     13515.95,     13567.30,     13623.60,     13200.60,     13479.80,-36.15
,Nifty50 Div Point,        15.64,        15.64,        15.64,        15.64,        15.64,0
,Nifty100 Liq 15,      4062.60,      4083.05,      4099.80,      4021.20,      4054.00,-8.6
,Nifty CPSE,      2332.90,      2350.75,      2366.90,      2319.40,      2344.00,11.1
,Nifty GrowSect 15,      6170.75,      6195.15,      6220.70,      6081.05,      6159.95,-10.8
,Nifty50 PR 2x Lev,      5317.70,      5364.80,      5399.85,      5215.55,      5296.25,-21.45
,Nifty50 PR 1x Inv,       384.30,       382.65,       388.00,       381.35,       385.10,.8
,Nifty50 TR 2x Lev,      6790.70,      6850.85,      6895.55,      6660.20,      6763.30,-27.4
,Nifty50 TR 1x Inv,       340.10,       338.65,       343.40,       337.50,       340.80,.7
,Nifty50 Value 20,      5526.60,      5557.00,      5581.50,      5514.90,      5552.45,25.85
,Nifty Mid Liq 15,      4218.25,      4223.25,      4263.50,      4185.95,      4231.90,13.65
,Nifty Pvt Bank,     17611.95,     17691.85,     17750.40,     17108.40,     17522.20,-89.75
,NIFTY100 Qualty30,      2703.45,      2718.60,      2737.50,      2703.05,      2710.95,7.5
,Nifty GS 8 13Yr,      1900.29,      1900.67,      1911.97,      1900.67,      1911.52,11.23
,Nifty GS 10Yr,      1753.36,      1753.70,      1765.67,      1753.70,      1764.83,11.47
,Nifty GS 10Yr Cln,       920.59,       920.59,       927.05,       920.59,       926.60,6.01
,Nifty GS 4 8Yr,      2020.36,      2020.77,      2029.32,      2020.77,      2029.07,8.71
,Nifty GS 11 15Yr,      2010.96,      2011.36,      2028.09,      2011.36,      2027.89,16.93
,Nifty GS 15YrPlus,      2170.16,      2170.60,      2184.52,      2170.60,      2183.56,13.4
,Nifty GS Compsite,      1935.39,      1935.78,      1946.29,      1935.78,      1945.83,10.44

,ADVANCES,641
,DECLINES,1195
,UNCHANGED,103

,Total securities that have hit their price bands today,261

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1329.75,      1330.15,0.03,1564.91
,HDFC,EQ,      2184.40,      2182.65,-0.08,1257.9
,HDFCBANK,EQ,      2439.55,      2425.35,-0.58,1204.97
,SBIN,EQ,       353.55,       352.50,-0.3,1149.02
,JUSTDIAL,EQ,       746.95,       765.60,2.5,1123.89
,ICICIBANK,EQ,       426.20,       423.70,-0.59,1045.04
,NCC,EQ,       116.85,        97.75,-16.35,994.9
,YESBANK,EQ,       155.00,       147.80,-4.65,959.07
,TCS,EQ,      2146.30,      2196.55,2.34,931.61
,AXISBANK,EQ,       807.55,       808.30,0.09,903.38
,BAJFINANCE,EQ,      3481.65,      3467.10,-0.42,759.65
,MARUTI,EQ,      6867.70,      6869.85,0.03,747.5
,ITC,EQ,       288.65,       278.55,-3.5,742.08
,IBULHSGFIN,EQ,       774.05,       786.55,1.61,688.98
,LT,EQ,      1558.60,      1557.55,-0.07,615.28
,INFY,EQ,       733.55,       737.75,0.57,611.75
,BPCL,EQ,       407.65,       409.35,0.42,572.7
,COALINDIA,EQ,       252.95,       253.50,0.22,571.42
,INDUSINDBK,EQ,      1586.90,      1605.35,1.16,501.22
,TATASTEEL,EQ,       487.95,       488.30,0.07,500.35
,SRTRANSFIN,EQ,      1127.75,      1164.30,3.24,464.37
,HINDPETRO,EQ,       317.65,       324.25,2.08,460.43
,KOTAKBANK,EQ,      1535.35,      1522.15,-0.86,419.62
,TECHM,EQ,       735.00,       760.35,3.45,415.58
,PCJEWELLER,EQ,        81.00,        77.10,-4.81,391.6

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TECHM,EQ,       760.35,       735.00,3.45
,ASIANPAINT,EQ,      1407.30,      1374.60,2.38
,TCS,EQ,      2196.55,      2146.30,2.34
,IOC,EQ,       165.55,       161.95,2.22
,ADANIPORTS,EQ,       416.40,       409.30,1.73

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       147.80,       155.00,-4.65
,ITC,EQ,       278.55,       288.65,-3.5
,GRASIM,EQ,       886.10,       911.45,-2.78
,M&M,EQ,       647.05,       661.70,-2.21
,ZEEL,EQ,       357.45,       365.25,-2.14

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        40.60,                  2421640.15,58256
,21STCENMGM,EQ,        19.05,                      762.00,40
,3IINFOTECH,EQ,         3.50,                  4634940.00,1306668
,3MINDIA,EQ,     22741.80,                 31606683.75,1391
,3PLAND,BE,        10.45,                    10450.00,1000
,5PAISA,EQ,       240.05,                  4870690.25,20356
,63MOONS,EQ,       129.10,                 26719166.95,203311
,8KMILES,EQ,        99.70,                  9595459.05,95575
,A2ZINFRA,EQ,        15.70,                  3319757.75,206688
,AARON,SM,        44.55,                   411150.00,9000
,AARTIDRUGS,EQ,       569.20,                  3020029.10,5285
,AARTIIND,EQ,      1869.15,                142853489.65,76572
,AARVEEDEN,EQ,        23.15,                   217316.75,9337
,AAVAS,EQ,      1419.70,                368973685.90,260347
,ABAN,BE,        50.40,                  3703899.95,71491
,ABBOTINDIA,EQ,      7777.55,                 22849736.30,2943
,ABCAPITAL,EQ,        99.10,                155596531.05,1565654
,ABFRL,EQ,       210.95,                132330873.55,613276
,ABSLNN50ET,EQ,       276.29,                    90394.68,327
,ACCELYA,EQ,       899.75,                  1925975.10,2144
,ACCORD,SM,        30.50,                    61000.00,2000
,ACCURACY,SM,        70.00,                  3360000.00,48000
,ACE,EQ,       106.80,                 15974780.05,150473
,ADANIENT,EQ,       154.75,               1165985282.35,7553254
,ADANIGAS,EQ,       164.85,                212688169.15,1269835
,ADANIGREEN,EQ,        43.30,                 31973685.20,733078
,ADANIPOWER,EQ,        50.35,               1382040938.70,26960956
,ADANITRANS,EQ,       235.90,                 58192973.55,245628
,ADFFOODS,EQ,       293.10,                101306673.25,340656
,ADHUNIK,BE,         1.90,                   153098.60,79640
,ADHUNIKIND,EQ,        84.85,                   713746.95,8382
,ADLABS,EQ,         7.60,                   437944.10,57690
,ADORWELD,EQ,       364.85,                  1250129.55,3410
,ADROITINFO,BE,        14.40,                     8994.80,622
,ADSL,EQ,        17.90,                  1310203.40,73196
,ADVANIHOTR,EQ,        63.80,                   141159.45,2177
,ADVENZYMES,EQ,       214.55,                 83864723.80,390209
,AEGISCHEM,EQ,       226.00,                 25579817.95,113563
,AGARIND,EQ,       159.20,                  1325484.70,8113
,AGCNET,EQ,       110.05,                   362274.70,3278
,AGLSL,EQ,        56.50,                  1095564.60,19570
,AGRITECH,EQ,        61.85,                   490047.75,7850
,AGROPHOS,BE,        76.05,                  2753807.85,37303
,AHLADA,SM,        80.50,                   397500.00,5000
,AHLEAST,EQ,       213.85,                  2898532.80,13791
,AHLUCONT,EQ,       334.00,                  3632050.20,10751
,AHLWEST,EQ,       349.65,                   260033.25,754
,AIAENG,EQ,      1788.40,                 55484545.05,31178
,AIFL,BE,         5.95,                    75428.15,12677
,AIONJSW,EQ,        20.85,                  1005674.55,48010
,AIRAN,EQ,        30.50,                    77421.90,2527
,AJANTPHARM,EQ,      1045.55,                286157311.60,274551
,AJMERA,EQ,       181.65,                 11127915.75,61466
,AKASH,SM,        55.60,                   222200.00,4000
,AKSHARCHEM,EQ,       329.30,                  2465836.50,7313
,AKSHOPTFBR,EQ,        13.40,                  5845366.80,432107
,AKZOINDIA,EQ,      1738.25,                  5937265.25,3391
,ALANKIT,EQ,        39.75,                 41565920.95,1080898
,ALBERTDAVD,EQ,       434.45,                  3835783.25,8578
,ALBK,EQ,        44.95,                273860247.70,6037251
