,04-Jun-2019
The Nifty witnessed an intraday movement of about 89.35 points.The closing index was 0.55 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31497.88
, Traded Quantity (in Lakhs), 13965.15
, Number of Trades, 11093393
, Total Market Capitalisation (Rs. Crores), 15349825.47

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12088.55,     12052.65,     12095.20,     12005.85,     12021.65,-66.9
,NIFTY50 EQL Wgt,     13057.70,     13033.55,     13074.80,     12959.85,     12975.90,-81.8
,NIFTY100 EQL Wgt,     13671.15,     13645.10,     13701.85,     13576.45,     13588.25,-82.9
,NIFTY100 LowVol30,      9076.75,      9056.30,      9075.65,      8992.60,      9000.45,-76.3
,NIFTY Alpha 50,     12504.35,     12470.50,     12513.70,     12427.60,     12437.70,-66.65
,NIFTY MIDCAP 150,      6495.05,      6487.15,      6535.70,      6480.50,      6488.80,-6.25
,NIFTY SMLCAP 50,      3160.45,      3155.45,      3187.55,      3152.65,      3163.75,3.3
,NIFTY SMLCAP 250,      5416.20,      5416.05,      5456.35,      5406.75,      5412.90,-3.3
,NIFTY MIDSML 400,      6114.70,      6109.65,      6154.25,      6104.20,      6109.50,-5.2
,NIFTY200 QUALTY30,      9856.00,      9828.50,      9830.75,      9738.45,      9750.20,-105.8
,Nifty IT,     16360.55,     16276.80,     16285.85,     16072.90,     16105.20,-255.35
,Nifty Next 50,     28143.05,     28080.50,     28218.25,     27950.70,     27970.10,-172.95
,Nifty Bank,     31653.65,     31532.90,     31752.70,     31512.95,     31589.05,-64.6
,NIFTY MIDCAP 100,     18132.35,     18101.10,     18261.85,     18085.65,     18118.75,-13.6
,Nifty 500,      9922.60,      9898.00,      9941.45,      9865.60,      9876.20,-46.4
,Nifty 100,     12190.85,     12155.80,     12200.80,     12108.15,     12122.60,-68.25
,Nifty Midcap 50,      5004.85,      4996.85,      5052.60,      4991.40,      5011.60,6.75
,Nifty Realty,       286.75,       286.45,       291.90,       284.40,       285.70,-1.05
,Nifty Infra,      3357.90,      3353.35,      3386.15,      3349.65,      3369.90,12
,Nifty Energy,     16760.15,     16740.05,     16841.85,     16622.40,     16642.05,-118.1
,Nifty FMCG,     30278.75,     30254.10,     30339.95,     30150.75,     30197.95,-80.8
,Nifty MNC,     13341.30,     13319.60,     13360.05,     13270.00,     13290.15,-51.15
,Nifty Pharma,      8536.60,      8524.80,      8602.05,      8342.85,      8432.95,-103.65
,Nifty PSE,      3693.05,      3687.80,      3719.55,      3678.55,      3685.25,-7.8
,Nifty PSU Bank,      3265.55,      3256.25,      3336.50,      3250.10,      3273.80,8.25
,Nifty Serv Sector,     17111.65,     17040.70,     17095.05,     16993.70,     17020.70,-90.95
,India VIX,15.9675,15.9675,15.9675,14.6675,15.6275,-0.3400
,Nifty Auto,      8328.20,      8320.40,      8358.00,      8283.45,      8300.20,-28
,Nifty Metal,      2951.25,      2942.10,      2973.60,      2937.85,      2956.40,5.15
,Nifty Media,      2198.00,      2195.70,      2197.90,      2162.20,      2165.95,-32.05
,NIFTY SMLCAP 100,      6566.55,      6559.80,      6623.35,      6547.20,      6556.00,-10.55
,Nifty 200,      6258.70,      6241.50,      6268.05,      6219.85,      6227.00,-31.7
,Nifty Div Opps 50,      2739.55,      2732.55,      2739.05,      2713.70,      2717.30,-22.25
,Nifty Commodities,      3729.70,      3721.50,      3743.45,      3696.10,      3700.20,-29.5
,Nifty Consumption,      4911.55,      4900.85,      4910.15,      4866.95,      4872.30,-39.25
,Nifty Fin Service,     13636.10,     13586.30,     13664.75,     13575.65,     13610.20,-25.9
,Nifty50 Div Point,        16.56,        21.25,        21.25,        21.25,        21.25,4.69
,Nifty100 Liq 15,      4107.80,      4095.05,      4118.30,      4089.60,      4105.40,-2.4
,Nifty CPSE,      2373.75,      2372.25,      2396.85,      2363.55,      2376.90,3.15
,Nifty GrowSect 15,      6273.55,      6265.70,      6284.30,      6228.25,      6241.20,-32.35
,Nifty50 PR 2x Lev,      5440.90,      5407.70,      5445.95,      5365.90,      5379.80,-61.1
,Nifty50 PR 1x Inv,       379.95,       381.15,       382.60,       379.80,       382.10,2.15
,Nifty50 TR 2x Lev,      6949.05,      6912.05,      6960.90,      6858.65,      6876.40,-72.65
,Nifty50 TR 1x Inv,       336.25,       337.15,       338.45,       335.95,       338.00,1.75
,Nifty50 Value 20,      5653.55,      5630.85,      5637.20,      5582.60,      5592.55,-61
,Nifty Mid Liq 15,      4298.30,      4298.60,      4347.95,      4290.75,      4319.95,21.65
,Nifty Pvt Bank,     17689.20,     17620.20,     17763.95,     17613.25,     17665.20,-24
,NIFTY100 Qualty30,      2764.95,      2757.85,      2762.35,      2739.30,      2743.50,-21.45
,Nifty GS 8 13Yr,      1918.60,      1918.97,      1919.31,      1915.59,      1915.69,-2.91
,Nifty GS 10Yr,      1772.79,      1773.13,      1774.49,      1769.92,      1770.51,-2.28
,Nifty GS 10Yr Cln,       930.34,       930.34,       931.07,       928.60,       928.92,-1.42
,Nifty GS 4 8Yr,      2032.86,      2033.27,      2034.28,      2029.58,      2030.40,-2.46
,Nifty GS 11 15Yr,      2034.47,      2034.88,      2034.88,      2029.84,      2030.93,-3.54
,Nifty GS 15YrPlus,      2198.61,      2199.05,      2199.05,      2196.13,      2196.13,-2.48
,Nifty GS Compsite,      1951.50,      1951.89,      1952.29,      1948.27,      1948.71,-2.79

,ADVANCES,781
,DECLINES,1060
,UNCHANGED,110

,Total securities that have hit their price bands today,254

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JUSTDIAL,EQ,       795.00,       757.15,-4.76,974.56
,RELIANCE,EQ,      1360.20,      1351.65,-0.63,958.86
,INFY,EQ,       744.65,       735.30,-1.26,864.17
,AXISBANK,EQ,       812.65,       822.80,1.25,778.7
,YESBANK,EQ,       149.45,       152.80,2.24,693.1
,DRREDDY,EQ,      2724.10,      2665.35,-2.16,655.69
,SBIN,EQ,       355.45,       352.40,-0.86,641.97
,ICICIBANK,EQ,       422.90,       419.10,-0.9,609.61
,LT,EQ,      1559.40,      1569.80,0.67,605.94
,HDFC,EQ,      2230.45,      2223.95,-0.29,540.35
,TCS,EQ,      2242.30,      2183.10,-2.64,528.7
,INDUSINDBK,EQ,      1662.65,      1638.00,-1.48,432.45
,IBULHSGFIN,EQ,       810.85,       796.45,-1.78,420.01
,MARUTI,EQ,      7022.90,      7051.80,0.41,403.9
,HDFCBANK,EQ,      2457.10,      2452.30,-0.2,395.43
,ITC,EQ,       278.55,       279.25,0.25,388.25
,BAJFINANCE,EQ,      3511.05,      3531.15,0.57,371.49
,BANKBARODA,EQ,       131.55,       132.60,0.8,369.74
,ZEEL,EQ,       359.55,       346.05,-3.75,348.12
,ADANIPORTS,EQ,       424.75,       425.55,0.19,326.31
,WIPRO,EQ,       291.30,       293.75,0.84,325.55
,TATASTEEL,EQ,       497.65,       497.65,0,309.04
,TATAMOTORS,EQ,       174.50,       173.25,-0.72,303.16
,HEROMOTOCO,EQ,      2840.25,      2752.70,-3.08,292.34
,DLF,EQ,       196.15,       195.45,-0.36,288.72

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       152.80,       149.45,2.24
,INFRATEL,EQ,       274.00,       268.75,1.95
,NTPC,EQ,       135.05,       133.10,1.47
,AXISBANK,EQ,       822.80,       812.65,1.25
,VEDL,EQ,       165.90,       164.20,1.04

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       346.05,       359.55,-3.75
,HEROMOTOCO,EQ,      2752.70,      2840.25,-3.08
,TCS,EQ,      2183.10,      2242.30,-2.64
,HCLTECH,EQ,      1085.85,      1115.20,-2.63
,ASIANPAINT,EQ,      1421.50,      1459.25,-2.59

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.90,                  1557267.55,38760
,21STCENMGM,EQ,        18.35,                     9363.65,496
,3IINFOTECH,EQ,         3.50,                  2073164.55,589641
,3MINDIA,EQ,     22575.25,                 27186675.20,1197
,3PLAND,BE,        10.00,                    11541.50,1107
,5PAISA,EQ,       227.70,                  3807645.30,16502
,63MOONS,EQ,       128.90,                 14181227.15,108145
,8KMILES,EQ,        99.75,                  5598501.65,56061
,A2ZINFRA,EQ,        16.30,                  1727191.20,107555
,AARON,SM,        47.25,                   279750.00,6000
,AARTIDRUGS,EQ,       554.10,                  6511811.65,11712
,AARTIIND,EQ,      1846.20,                 82925704.85,44831
,AARVEEDEN,EQ,        23.10,                   139315.40,6034
,AARVI,SM,        35.15,                   786800.00,22000
,AAVAS,EQ,      1397.70,                 58853709.75,41928
,ABAN,BE,        48.15,                  1990114.05,41143
,ABBOTINDIA,EQ,      7879.05,                 39963445.80,5106
,ABCAPITAL,EQ,       104.10,                412304257.45,3941155
,ABFRL,EQ,       217.85,                 94216512.40,433871
,ABMINTLTD,BE,        13.45,                     1345.00,100
,ABSLNN50ET,EQ,       278.45,                    42161.51,147
,ACCELYA,EQ,       889.85,                  6181962.60,6941
,ACCURACY,SM,        65.50,                  1359440.00,20800
,ACE,EQ,       104.95,                 12499703.25,118611
,ADANIENT,EQ,       157.60,                863740630.90,5502910
,ADANIGAS,EQ,       181.70,                435646453.40,2395791
,ADANIGREEN,EQ,        45.20,                 70697555.25,1564837
,ADANIPOWER,EQ,        50.30,                463995507.70,9212403
,ADANITRANS,EQ,       231.80,                 13539066.80,57830
,ADFFOODS,EQ,       296.20,                 36937585.75,123122
,ADHUNIK,BE,         1.80,                    79116.50,42972
,ADHUNIKIND,EQ,        82.75,                  1682302.15,20705
,ADLABS,EQ,         7.70,                   426357.45,55335
,ADORWELD,EQ,       362.20,                   681076.75,1874
,ADROITINFO,BE,        14.40,                     2925.00,215
,ADSL,EQ,        17.60,                   948292.40,52966
,ADVANIHOTR,EQ,        64.30,                   177188.00,2767
,ADVENZYMES,EQ,       222.65,                152681058.95,690210
,AEGISCHEM,EQ,       217.20,                 15420718.65,70445
,AGARIND,EQ,       148.65,                  4034840.00,26977
,AGCNET,EQ,       114.85,                   690943.60,6016
,AGLSL,EQ,        57.00,                   332548.65,5849
,AGRITECH,EQ,        59.80,                  1334877.75,22137
,AGROPHOS,BE,        78.00,                   147122.70,1913
,AHIMSA,SM,        28.50,                   171000.00,6000
,AHLEAST,EQ,       210.00,                   296818.35,1416
,AHLUCONT,EQ,       335.75,                  1104113.70,3279
,AHLWEST,EQ,       337.30,                   970844.75,2878
,AIAENG,EQ,      1804.05,                 19072993.70,10634
,AIFL,BZ,         5.45,                    62211.75,11415
,AIONJSW,EQ,        21.00,                   290041.80,13746
,AIRAN,EQ,        30.40,                    45793.75,1479
,AIROLAM,SM,        30.50,                   472200.00,15000
,AISL,SM,        58.00,                   139260.00,2400
,AJANTPHARM,EQ,      1032.65,                406173604.75,385914
,AJMERA,EQ,       180.90,                  8646221.95,47497
,AKSHARCHEM,EQ,       307.60,                  2949306.05,9544
,AKSHOPTFBR,EQ,        13.40,                 15486423.80,1151409
,AKZOINDIA,EQ,      1790.35,                 20450731.65,11418
,ALANKIT,EQ,        38.35,                 20108534.05,521337
