,25-Jun-2019
The Nifty witnessed an intraday movement of about 163.4 points.The closing index was 0.83 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29817.94
, Traded Quantity (in Lakhs), 15160.31
, Number of Trades, 10624011
, Total Market Capitalisation (Rs. Crores), 14919928.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11699.65,     11681.00,     11814.40,     11651.00,     11796.45,96.8
,NIFTY50 EQL Wgt,     12494.05,     12461.80,     12607.20,     12433.20,     12590.05,96
,NIFTY100 EQL Wgt,     13091.35,     13055.05,     13168.90,     13022.10,     13155.65,64.3
,NIFTY100 LowVol30,      8725.90,      8712.95,      8785.60,      8689.85,      8774.50,48.6
,NIFTY Alpha 50,     12232.75,     12224.85,     12313.35,     12183.10,     12307.20,74.45
,NIFTY MIDCAP 150,      6236.25,      6228.95,      6279.55,      6218.70,      6275.95,39.7
,NIFTY SMLCAP 50,      2958.90,      2955.55,      2980.30,      2941.70,      2977.65,18.75
,NIFTY SMLCAP 250,      5080.10,      5075.20,      5105.10,      5061.35,      5101.45,21.35
,NIFTY MIDSML 400,      5826.25,      5819.85,      5861.60,      5809.40,      5859.30,33.05
,NIFTY200 QUALTY30,      9527.15,      9512.10,      9577.60,      9478.10,      9567.95,40.8
,Nifty IT,     16187.40,     16158.80,     16252.95,     16050.60,     16214.45,27.05
,Nifty Next 50,     26960.25,     26886.90,     27054.10,     26811.60,     27028.45,68.2
,Nifty Bank,     30602.05,     30567.65,     30913.25,     30451.40,     30847.05,245
,NIFTY MIDCAP 100,     17353.00,     17327.70,     17485.55,     17298.40,     17473.45,120.45
,Nifty 500,      9564.10,      9548.65,      9643.75,      9525.95,      9632.85,68.75
,Nifty 100,     11782.95,     11762.40,     11888.15,     11732.65,     11871.90,88.95
,Nifty Midcap 50,      4802.95,      4795.50,      4842.70,      4788.25,      4839.15,36.2
,Nifty Realty,       271.50,       270.70,       274.85,       270.35,       274.05,2.55
,Nifty Infra,      3315.25,      3317.20,      3339.35,      3308.80,      3332.55,17.3
,Nifty Energy,     15782.10,     15766.00,     16129.15,     15751.80,     16092.85,310.75
,Nifty FMCG,     29464.20,     29424.85,     29618.60,     29285.65,     29552.60,88.4
,Nifty MNC,     12884.35,     12867.85,     12942.30,     12822.00,     12934.95,50.6
,Nifty Pharma,      7902.00,      7889.30,      7961.55,      7847.10,      7947.20,45.2
,Nifty PSE,      3580.15,      3575.75,      3635.40,      3573.20,      3628.65,48.5
,Nifty PSU Bank,      3093.35,      3088.45,      3130.05,      3078.75,      3126.55,33.2
,Nifty Serv Sector,     16692.75,     16672.80,     16833.30,     16612.25,     16803.95,111.2
,India VIX,15.2225,15.2225,15.5850,14.9275,15.0100,-0.2125
,Nifty Auto,      7832.30,      7811.65,      7890.55,      7793.90,      7878.25,45.95
,Nifty Metal,      2892.45,      2862.55,      2946.60,      2854.90,      2942.65,50.2
,Nifty Media,      2038.05,      2028.80,      2051.20,      1998.85,      2043.45,5.4
,NIFTY SMLCAP 100,      6122.45,      6118.35,      6166.95,      6097.95,      6161.35,38.9
,Nifty 200,      6042.75,      6032.40,      6095.25,      6017.75,      6087.95,45.2
,Nifty Div Opps 50,      2660.05,      2655.95,      2679.10,      2650.55,      2675.35,15.3
,Nifty Commodities,      3568.10,      3554.80,      3628.70,      3551.00,      3622.75,54.65
,Nifty Consumption,      4724.15,      4719.60,      4750.35,      4703.75,      4743.85,19.7
,Nifty Fin Service,     13308.80,     13298.15,     13441.45,     13250.05,     13419.65,110.85
,Nifty50 Div Point,        42.32,        42.32,        42.32,        42.32,        42.32,0
,Nifty100 Liq 15,      3885.55,      3872.60,      3938.45,      3863.75,      3932.80,47.25
,Nifty CPSE,      2324.25,      2322.70,      2358.50,      2320.10,      2353.05,28.8
,Nifty GrowSect 15,      5924.00,      5920.75,      5961.30,      5897.35,      5950.20,26.2
,Nifty50 PR 2x Lev,      5075.35,      5058.40,      5173.95,      5032.50,      5158.55,83.2
,Nifty50 PR 1x Inv,       393.60,       394.30,       395.30,       389.80,       390.40,-3.2
,Nifty50 TR 2x Lev,      6510.15,      6488.40,      6636.65,      6455.20,      6616.85,106.7
,Nifty50 TR 1x Inv,       347.55,       348.15,       349.05,       344.20,       344.70,-2.85
,Nifty50 Value 20,      5461.65,      5448.70,      5513.65,      5433.90,      5504.50,42.85
,Nifty Mid Liq 15,      4172.85,      4166.85,      4201.00,      4159.70,      4197.45,24.6
,Nifty Pvt Bank,     16951.90,     16929.20,     17125.55,     16862.70,     17084.30,132.4
,NIFTY100 Qualty30,      2659.80,      2656.10,      2670.90,      2646.20,      2667.90,8.1
,Nifty GS 8 13Yr,      1948.27,      1948.65,      1949.58,      1944.60,      1945.67,-2.6
,Nifty GS 10Yr,      1795.45,      1795.79,      1797.74,      1790.63,      1792.40,-3.05
,Nifty GS 10Yr Cln,       938.69,       938.69,       939.74,       935.91,       936.87,-1.82
,Nifty GS 4 8Yr,      2053.78,      2054.19,      2054.53,      2050.40,      2050.75,-3.03
,Nifty GS 11 15Yr,      2076.47,      2076.88,      2077.08,      2071.45,      2072.03,-4.44
,Nifty GS 15YrPlus,      2255.75,      2256.19,      2256.19,      2254.29,      2254.29,-1.46
,Nifty GS Compsite,      1978.01,      1978.40,      1979.07,      1973.99,      1974.90,-3.11

,ADVANCES,966
,DECLINES,830
,UNCHANGED,102

,Total securities that have hit their price bands today,291

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIGI,EQ,      1175.65,      1102.00,-6.26,2099.08
,RELIANCE,EQ,      1262.40,      1295.85,2.65,876.75
,AXISBANK,EQ,       762.85,       781.65,2.46,774.44
,IBULHSGFIN,EQ,       619.10,       621.55,0.4,746.69
,TATASTEEL,EQ,       486.25,       498.00,2.42,667.93
,YESBANK,EQ,       111.95,       110.05,-1.7,627.44
,SBIN,EQ,       353.20,       356.55,0.95,563.93
,ICICIBANK,EQ,       429.45,       433.65,0.98,556.66
,PEL,EQ,      1943.10,      1901.15,-2.16,544.11
,HDFCBANK,EQ,      2417.95,      2428.70,0.44,538.53
,ZEEL,EQ,       341.35,       343.20,0.54,538.02
,UPL,EQ,       936.55,       934.95,-0.17,477.29
,HDFC,EQ,      2148.90,      2172.80,1.11,408.23
,MARUTI,EQ,      6459.90,      6522.50,0.97,377.34
,EMAMILTD,EQ,       267.25,       290.35,8.64,374.49
,LT,EQ,      1541.00,      1535.00,-0.39,365.11
,INDUSINDBK,EQ,      1461.55,      1449.65,-0.81,355.02
,ITC,EQ,       276.25,       278.50,0.81,343.76
,TCS,EQ,      2275.50,      2267.80,-0.34,313.82
,KOTAKBANK,EQ,      1470.60,      1483.90,0.9,303.19
,BAJFINANCE,EQ,      3545.35,      3579.85,0.97,294.93
,SRTRANSFIN,EQ,      1114.20,      1118.95,0.43,274.23
,INFY,EQ,       745.50,       748.10,0.35,273.88
,NTPC,EQ,       135.60,       138.45,2.1,259.11
,BEML,EQ,       823.70,       856.35,3.96,257.78

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       267.05,       257.80,3.59
,BPCL,EQ,       393.10,       380.85,3.22
,RELIANCE,EQ,      1295.85,      1262.40,2.65
,AXISBANK,EQ,       781.65,       762.85,2.46
,TATASTEEL,EQ,       498.00,       486.25,2.42

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,YESBANK,EQ,       110.05,       111.95,-1.7
,INFRATEL,EQ,       269.80,       272.80,-1.1
,ASIANPAINT,EQ,      1363.10,      1376.15,-0.95
,INDUSINDBK,EQ,      1449.65,      1461.55,-0.81
,TECHM,EQ,       724.35,       728.25,-0.54

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        36.20,                   614916.40,16948
,21STCENMGM,EQ,        17.90,                    55592.40,3072
,3IINFOTECH,EQ,         3.30,                  4628744.40,1416936
,3MINDIA,EQ,     23183.90,                 39631884.95,1707
,5PAISA,EQ,       201.70,                   348005.15,1721
,63MOONS,EQ,       112.55,                  7500031.95,65760
,8KMILES,EQ,        84.65,                  1898868.80,22432
,A2ZINFRA,EQ,        13.00,                  3313640.80,250435
,AARON,SM,        44.30,                   132900.00,3000
,AARTIDRUGS,EQ,       529.95,                  3326584.15,6312
,AARTIIND,EQ,      1796.70,                147451467.00,81425
,AARVEEDEN,EQ,        21.35,                    23013.85,1081
,AAVAS,EQ,      1491.75,                191671922.60,127781
,ABAN,EQ,        36.20,                  2226427.75,61021
,ABBOTINDIA,EQ,      8557.75,                 22012311.20,2575
,ABCAPITAL,EQ,        92.05,                 46093982.10,500352
,ABFRL,EQ,       212.65,                160250897.90,776725
,ABMINTLTD,BE,        13.35,                     1335.00,100
,ABSLNN50ET,EQ,       267.70,                     2946.77,11
,ACCELYA,EQ,       871.60,                   879797.90,1012
,ACCORD,SM,        25.50,                    51000.00,2000
,ACE,EQ,        94.55,                  5195856.30,55130
,ADANIENT,EQ,       150.85,                729963562.80,4920288
,ADANIGAS,EQ,       162.20,                133494258.25,826013
,ADANIGREEN,EQ,        41.35,                 17382539.60,420526
,ADANIPOWER,EQ,        50.55,                736225068.95,14732369
,ADANITRANS,EQ,       222.00,                 26099547.15,117206
,ADFFOODS,EQ,       272.25,                  3398704.80,12461
,ADHUNIK,EQ,         1.35,                    57591.50,43166
,ADHUNIKIND,EQ,        78.20,                  6707486.05,85360
,ADLABS,EQ,         5.25,                   369747.55,70637
,ADORWELD,EQ,       338.10,                   428667.00,1268
,ADROITINFO,EQ,        10.25,                    15444.60,1475
,ADSL,EQ,        14.75,                   255733.60,16970
,ADVANIHOTR,EQ,        58.55,                   469139.90,8037
,ADVENZYMES,EQ,       166.95,                 12439498.80,73993
,AEGISCHEM,EQ,       202.60,                 11032034.65,54440
,AGARIND,EQ,       123.75,                  1928833.90,15453
,AGCNET,EQ,       110.00,                    30480.20,277
,AGLSL,EQ,        54.80,                  1155849.30,21107
,AGRITECH,EQ,        49.65,                   168753.85,3371
,AGROPHOS,BE,        85.65,                  4656112.20,54686
,AHLEAST,EQ,       185.05,                  2007745.55,11075
,AHLUCONT,EQ,       330.50,                 17786325.95,53897
,AHLWEST,EQ,       346.05,                   299384.75,867
,AIAENG,EQ,      1747.10,                 53723096.60,30608
,AIFL,BZ,         2.90,                     6786.00,2340
,AIONJSW,EQ,        16.90,                   147922.90,8772
,AIRAN,EQ,        27.40,                   178307.65,6533
,AISL,SM,        40.55,                   371220.00,9600
,AJANTPHARM,EQ,       974.35,                335415141.65,350276
,AJMERA,EQ,       160.70,                  8869447.95,55652
,AJOONI,SM,        15.10,                    60400.00,4000
,AKASH,SM,        58.80,                   232600.00,4000
,AKSHARCHEM,EQ,       268.15,                   627510.70,2340
,AKSHOPTFBR,EQ,        10.95,                  2884684.50,260313
,AKZOINDIA,EQ,      1749.30,                 14211775.90,8183
,ALANKIT,EQ,        29.65,                 13381904.20,447538
,ALBERTDAVD,EQ,       397.45,                   939625.20,2369
