,09-Jul-19,,,,,,
The Nifty witnessed an intraday movement of about 121.55 points.The closing index was 0.02 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),34591.7,,,,,
, Traded Quantity (in Lakhs),13314.8,,,,,
, Number of Trades,11724313,,,,,
, Total Market Capitalisation (Rs. Crores),14648561.64,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,11558.6,11531.6,11582.55,11461,11555.9,-2.7
,NIFTY50 EQL Wgt,12226.3,12204.5,12274.15,12148.9,12238.5,12.2
,NIFTY100 EQL Wgt,12911.3,12897.65,12972.9,12827.1,12953.75,42.45
,NIFTY100 LowVol30,8565.25,8556.65,8569.15,8506.75,8554.7,-10.55
,NIFTY Alpha 50,12265,12230.3,12408.45,12140.7,12393.4,128.4
,NIFTY MIDCAP 150,6130.45,6116.15,6155.7,6088.75,6148.7,18.25
,NIFTY SMLCAP 50,2917.15,2912.1,2933.3,2894.6,2926.95,9.8
,NIFTY SMLCAP 250,5009.3,4999.3,5026.15,4973.9,5014.7,5.4
,NIFTY MIDSML 400,5733.1,5720.35,5754.8,5693.85,5746.65,13.55
,NIFTY200 QUALTY30,9290.05,9267.2,9267.5,9148,9204.55,-85.5
,Nifty IT,15376,15381.35,15434,15123.6,15254.5,-121.5
,Nifty Next 50,26810.65,26806.85,26979,26607.2,26953.15,142.5
,Nifty Bank,30603.85,30533.4,30702.1,30346.7,30569.15,-34.7
,NIFTY MIDCAP 100,17056.25,17009.35,17140.9,16920.75,17118.1,61.85
,Nifty 500,9447.8,9428.05,9473.4,9375.8,9455.65,7.85
,Nifty 100,11650.35,11626.45,11679.5,11553.45,11655.85,5.5
,Nifty Midcap 50,4704.85,4686.65,4741.4,4665.35,4733.25,28.4
,Nifty Realty,272.25,271.25,280.55,269.05,279.95,7.7
,Nifty Infra,3268,3259.4,3318.8,3252.05,3314.1,46.1
,Nifty Energy,15379.95,15350,15625.45,15326.85,15587.5,207.55
,Nifty FMCG,29594.65,29539.9,29550.55,29259.4,29321.3,-273.35
,Nifty MNC,12683.6,12679.4,12686.55,12563,12628.5,-55.1
,Nifty Pharma,7801.75,7810.15,8053.45,7795.25,8012.05,210.3
,Nifty PSE,3429.55,3418.3,3457.6,3403.65,3437.9,8.35
,Nifty PSU Bank,3108.45,3091.8,3157.95,3072.4,3151.65,43.2
,Nifty Serv Sector,16597.45,16564.75,16594.85,16429.45,16560.45,-37
,India VIX,13.8525,13.8525,14.22,13.3525,13.6875,-0.165
,Nifty Auto,7593.3,7591.5,7630.7,7538.65,7593.3,0
,Nifty Metal,2791.2,2791.65,2811.55,2770.75,2788.05,-3.15
,Nifty Media,1986.3,1984.95,2001.45,1968.85,1984.35,-1.95
,NIFTY SMLCAP 100,6053.9,6044.55,6084.05,6008.3,6077.4,23.5
,Nifty 200,5970.95,5958.25,5987,5922.45,5975.8,4.85
,Nifty Div Opps 50,2577.25,2573.4,2580.8,2552.3,2568.75,-8.5
,Nifty Commodities,3462.6,3458.45,3503.55,3453.95,3494.8,32.2
,Nifty Consumption,4664.1,4646.4,4646.45,4584.9,4615.1,-49
,Nifty Fin Service,13398.45,13357.05,13419.75,13220.4,13368.8,-29.65
