,17-Sep-2019
The Nifty witnessed an intraday movement of about 203.6 points.The closing index was 1.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31566.07
, Traded Quantity (in Lakhs), 17015.01
, Number of Trades, 12671923
, Total Market Capitalisation (Rs. Crores), 13848401

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11003.50,     11000.10,     11000.10,     10796.50,     10817.60,-185.9
,NIFTY50 EQL Wgt,     11489.95,     11493.05,     11495.15,     11255.00,     11277.65,-212.3
,NIFTY100 EQL Wgt,     12299.65,     12301.25,     12319.45,     12060.20,     12078.25,-221.4
,NIFTY100 LowVol30,      8502.65,      8504.55,      8505.00,      8347.50,      8356.05,-146.6
,NIFTY Alpha 50,     12009.30,     12023.25,     12034.00,     11800.70,     11827.35,-181.95
,NIFTY MIDCAP 150,      5812.40,      5820.80,      5836.90,      5696.65,      5707.40,-105
,NIFTY SMLCAP 50,      2691.80,      2693.20,      2701.60,      2625.90,      2632.35,-59.45
,NIFTY SMLCAP 250,      4664.15,      4676.75,      4684.25,      4563.30,      4571.20,-92.95
,NIFTY MIDSML 400,      5404.05,      5414.05,      5426.65,      5294.55,      5303.20,-100.85
,NIFTY200 QUALTY30,      9349.05,      9353.45,      9354.00,      9208.75,      9218.20,-130.85
,Nifty IT,     15743.15,     15769.85,     15769.85,     15563.60,     15625.65,-117.5
,Nifty Next 50,     26431.20,     26436.60,     26476.65,     25947.40,     25987.95,-443.25
,Nifty Bank,     27855.00,     27765.10,     27851.40,     27047.95,     27131.75,-723.25
,NIFTY MIDCAP 100,     15943.40,     15961.35,     16016.40,     15599.70,     15630.15,-313.25
,Nifty 500,      9009.15,      9010.55,      9012.10,      8838.25,      8853.90,-155.25
,Nifty 100,     11139.85,     11137.15,     11137.15,     10931.55,     10951.55,-188.3
,Nifty Midcap 50,      4341.90,      4345.55,      4357.10,      4240.85,      4248.00,-93.9
,Nifty Realty,       265.55,       265.50,       266.65,       254.95,       255.65,-9.9
,Nifty Infra,      3045.55,      3050.90,      3050.90,      2984.15,      2995.00,-50.55
,Nifty Energy,     14533.45,     14521.10,     14521.10,     14313.80,     14336.15,-197.3
,Nifty FMCG,     28751.75,     28768.50,     28903.00,     28641.60,     28675.30,-76.45
,Nifty MNC,     12514.60,     12533.25,     12561.30,     12315.40,     12336.00,-178.6
,Nifty Pharma,      8070.65,      8082.05,      8106.00,      7919.20,      7933.85,-136.8
,Nifty PSE,      3139.75,      3136.50,      3139.55,      3072.85,      3080.85,-58.9
,Nifty PSU Bank,      2479.55,      2482.45,      2494.60,      2382.20,      2388.55,-91
,Nifty Serv Sector,     15790.80,     15776.55,     15776.55,     15455.60,     15505.10,-285.7
,India VIX,14.9525,14.9525,16.3075,13.2775,16.0175,1.0650
,Nifty Auto,      7300.65,      7308.65,      7324.70,      7004.35,      7020.75,-279.9
,Nifty Metal,      2440.55,      2441.35,      2468.70,      2369.70,      2375.85,-64.7
,Nifty Media,      1922.45,      1929.15,      1931.05,      1869.65,      1876.15,-46.3
,NIFTY SMLCAP 100,      5619.45,      5627.90,      5641.05,      5487.90,      5497.35,-122.1
,Nifty 200,      5695.55,      5694.95,      5695.35,      5587.35,      5597.65,-97.9
,Nifty Div Opps 50,      2510.60,      2511.70,      2511.75,      2472.75,      2475.35,-35.25
,Nifty Commodities,      3175.05,      3173.75,      3181.80,      3105.85,      3110.95,-64.1
,Nifty Consumption,      4661.00,      4670.40,      4675.30,      4590.55,      4597.65,-63.35
,Nifty Fin Service,     12397.70,     12361.35,     12376.60,     12073.45,     12111.05,-286.65
,Nifty50 Div Point,        96.23,        96.23,        96.23,        96.23,        96.23,0
,Nifty100 Liq 15,      3504.05,      3505.30,      3508.50,      3390.35,      3400.15,-103.9
,Nifty CPSE,      1947.25,      1944.45,      1948.15,      1902.25,      1906.70,-40.55
,Nifty GrowSect 15,      5715.10,      5718.85,      5730.00,      5605.95,      5619.30,-95.8
,Nifty50 PR 2x Lev,      4413.15,      4409.75,      4409.75,      4247.00,      4263.35,-149.8
,Nifty50 PR 1x Inv,       422.05,       422.25,       430.00,       422.25,       429.25,7.2
,Nifty50 TR 2x Lev,      5715.50,      5711.10,      5711.10,      5500.35,      5521.50,-194
,Nifty50 TR 1x Inv,       370.85,       371.05,       377.90,       371.05,       377.20,6.35
,Nifty50 Value 20,      5236.20,      5240.45,      5240.50,      5166.45,      5174.60,-61.6
,Nifty Mid Liq 15,      3734.60,      3732.60,      3744.45,      3633.20,      3640.20,-94.4
,Nifty Pvt Bank,     15499.60,     15443.70,     15493.40,     15060.80,     15107.25,-392.35
,NIFTY100 Qualty30,      2595.40,      2597.05,      2597.20,      2554.20,      2557.10,-38.3
,Nifty GS 8 13Yr,      1992.90,      1993.29,      1994.15,      1989.98,      1991.55,-1.35
,Nifty GS 10Yr,      1838.17,      1838.52,      1840.01,      1835.54,      1837.47,-.7
,Nifty GS 10Yr Cln,       946.77,       946.77,       947.55,       945.22,       946.22,-.55
,Nifty GS 4 8Yr,      2110.01,      2110.43,      2111.42,      2107.12,      2107.73,-2.28
,Nifty GS 11 15Yr,      2121.91,      2122.33,      2122.97,      2118.30,      2120.63,-1.28
,Nifty GS 15YrPlus,      2276.58,      2277.03,      2278.39,      2277.03,      2278.38,1.8
,Nifty GS Compsite,      2025.69,      2026.09,      2027.01,      2022.84,      2024.15,-1.54

,ADVANCES,516
,DECLINES,1328
,UNCHANGED,105

,Total securities that have hit their price bands today,331

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,      2046.75,      1996.25,-2.47,1183.07
,AXISBANK,EQ,       670.90,       640.45,-4.54,1124.02
,MARUTI,EQ,      6412.75,      6130.40,-4.4,1068.49
,YESBANK,EQ,        67.05,        65.10,-2.91,1012.33
,RELIANCE,EQ,      1210.75,      1197.45,-1.1,859.36
,ICICIBANK,EQ,       412.15,       400.65,-2.79,844.31
,IBULHSGFIN,EQ,       435.25,       429.15,-1.4,686.7
,SBIN,EQ,       284.70,       273.95,-3.78,602.65
,TATAMOTORS,EQ,       128.60,       122.00,-5.13,598.96
,TCS,EQ,      2150.00,      2122.65,-1.27,593.92
,HDFCBANK,EQ,      2244.15,      2211.35,-1.46,591.52
,BPCL,EQ,       380.00,       368.75,-2.96,568.58
,TATASTEEL,EQ,       361.10,       344.95,-4.47,470.07
,INDUSINDBK,EQ,      1375.95,      1332.60,-3.15,464.15
,BAJFINANCE,EQ,      3418.85,      3368.40,-1.48,462.9
,INFY,EQ,       827.70,       831.25,0.43,458.53
,GRAPHITE,EQ,       371.25,       340.00,-8.42,427.55
,HEG,EQ,      1403.20,      1246.00,-11.2,426.86
,TITAN,EQ,      1148.55,      1158.25,0.84,363.2
,HEROMOTOCO,EQ,      2738.65,      2568.95,-6.2,350.44
,HINDPETRO,EQ,       255.65,       245.90,-3.81,344.38
,SAIL,EQ,        33.35,        33.40,0.15,322.67
,JINDALSTEL,EQ,       107.60,       102.80,-4.46,318.04
,LT,EQ,      1343.60,      1313.70,-2.23,292.18
,BHARTIARTL,EQ,       344.00,       339.85,-1.21,281.52

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       131.90,       129.70,1.7
,TITAN,EQ,      1158.25,      1148.55,.84
,HINDUNILVR,EQ,      1831.20,      1816.30,.82
,ASIANPAINT,EQ,      1530.90,      1521.30,.63
,DRREDDY,EQ,      2738.05,      2725.30,.47

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      2568.95,      2738.65,-6.2
,TATAMOTORS,EQ,       122.00,       128.60,-5.13
,AXISBANK,EQ,       640.45,       670.90,-4.54
,TATASTEEL,EQ,       344.95,       361.10,-4.47
,MARUTI,EQ,      6130.40,      6412.75,-4.4

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.60,                  1432504.30,39544
,3IINFOTECH,EQ,         2.25,                  1205448.95,531688
,3MINDIA,EQ,     19207.10,                452364828.90,23564
,5PAISA,EQ,       137.60,                   998496.45,7182
,63MOONS,EQ,       133.70,                 81286627.80,615276
,8KMILES,EQ,        68.15,                 29723512.95,422001
,A2ZINFRA,EQ,        10.10,                  1871848.90,183244
,AARON,SM,        45.00,                   148500.00,3300
,AARTIDRUGS,EQ,       439.90,                   996468.40,2264
,AARTIIND,EQ,      1545.60,                 42125615.50,27154
,AARVEEDEN,EQ,        17.30,                   291148.15,16294
,AARVI,SM,        28.50,                    57000.00,2000
,AAVAS,EQ,      1481.65,                 85314092.60,56534
,ABAN,EQ,        32.35,                   795939.40,24604
,ABBOTINDIA,EQ,      9746.00,                 31668059.75,3220
,ABCAPITAL,EQ,        91.50,                 63411253.60,686510
,ABFRL,EQ,       184.40,                 38098704.80,202889
,ABINFRA,SM,        18.80,                   143600.00,8000
,ABSLNN50ET,EQ,       261.95,                      523.90,2
,ABSLRIF6RG,MF,         6.75,                    33750.00,5000
,ACCELYA,EQ,       850.45,                  8938291.65,10509
,ACCURACY,SM,        34.00,                    54400.00,1600
,ACE,EQ,        66.20,                 10929571.70,159689
,ACEINTEG,SM,        25.70,                    77100.00,3000
,ADANIENT,EQ,       143.75,                605060423.00,4167662
,ADANIGAS,EQ,       139.50,                 60425453.15,426875
,ADANIGREEN,EQ,        54.85,                109011465.05,1969318
,ADANIPOWER,EQ,        63.80,                630787315.90,9802730
,ADANITRANS,EQ,       222.45,                 21202930.10,92876
,ADFFOODS,EQ,       272.40,                  7540999.85,27159
,ADHUNIK,BE,         1.10,                    31199.50,29588
,ADHUNIKIND,EQ,        88.90,                  3840393.55,43102
,ADLABS,EQ,         3.40,                   302818.40,90852
,ADORWELD,EQ,       311.00,                  2704428.10,8416
,ADROITINFO,BE,         9.00,                    72825.50,8445
,ADSL,EQ,        13.50,                   287293.45,21204
,ADVANIHOTR,EQ,        54.10,                   451542.40,8400
,ADVENZYMES,EQ,       164.95,                  5941574.95,36129
,AEGISCHEM,EQ,       186.40,                 16035112.80,84771
,AFFLE,EQ,       929.75,                205325178.20,214821
,AGARIND,EQ,       125.65,                   913110.85,7316
,AGCNET,BE,       117.50,                   198154.25,1708
,AGLSL,EQ,        48.65,                   700951.35,14046
,AGRITECH,EQ,        50.35,                  4630049.25,88439
,AGROPHOS,EQ,        90.00,                  1166098.95,13082
,AHIMSA,SM,        31.55,                   567900.00,18000
,AHLEAST,EQ,       172.95,                   170744.45,994
,AHLUCONT,EQ,       321.70,                 25497753.40,79678
,AHLWEST,EQ,       339.95,                   929244.55,2839
,AIAENG,EQ,      1628.85,                 54169315.55,33225
,AIONJSW,EQ,        13.85,                   315315.40,22591
,AIRAN,EQ,        14.15,                  2048706.35,141842
,AISL,SM,        34.00,                    40800.00,1200
,AJANTPHARM,EQ,      1047.00,                114408842.90,109079
,AJMERA,EQ,       127.75,                  3237199.45,24643
,AKASH,SM,        59.20,                   238400.00,4000
,AKG,SM,        31.65,                   126600.00,4000
,AKSHARCHEM,EQ,       233.90,                   879728.60,3686
,AKSHOPTFBR,EQ,         9.00,                  2114498.25,232835
,AKZOINDIA,EQ,      1706.40,                105605727.45,61637
