,20-Nov-2019
The Nifty witnessed an intraday movement of about 72.55 points.The closing index was 0.49 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 43896.29
, Traded Quantity (in Lakhs), 37636.64
, Number of Trades, 12506776
, Total Market Capitalisation (Rs. Crores), 15223610.22

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     11940.10,     12004.75,     12038.60,     11966.05,     11999.10,59
,NIFTY50 EQL Wgt,     12268.80,     12307.65,     12365.75,     12267.50,     12343.55,74.75
,NIFTY100 EQL Wgt,     13242.30,     13295.90,     13357.70,     13275.85,     13318.75,76.45
,NIFTY100 LowVol30,      8889.55,      8915.60,      8945.80,      8880.30,      8930.80,41.25
,NIFTY Alpha 50,     12751.05,     12782.45,     12797.90,     12734.35,     12748.50,-2.55
,NIFTY MIDCAP 150,      6227.60,      6245.90,      6256.10,      6224.30,      6238.00,10.4
,NIFTY SMLCAP 50,      2735.85,      2743.35,      2755.60,      2734.10,      2747.95,12.1
,NIFTY SMLCAP 250,      4755.05,      4767.80,      4773.95,      4752.60,      4757.80,2.75
,NIFTY MIDSML 400,      5699.75,      5716.05,      5724.70,      5697.45,      5707.30,7.55
,NIFTY200 QUALTY30,      9785.70,      9808.45,      9833.60,      9771.90,      9821.85,36.15
,Nifty IT,     15304.85,     15349.05,     15349.05,     15235.00,     15318.50,13.65
,Nifty Next 50,     28071.90,     28178.70,     28349.65,     28164.65,     28245.95,174.05
,Nifty Bank,     31236.25,     31292.35,     31471.65,     31205.55,     31353.85,117.6
,NIFTY MIDCAP 100,     16967.50,     17020.45,     17061.60,     16953.65,     16994.10,26.6
,Nifty 500,      9702.15,      9748.40,      9776.70,      9725.70,      9744.90,42.75
,Nifty 100,     12054.70,     12117.35,     12156.35,     12083.80,     12116.20,61.5
,Nifty Midcap 50,      4648.50,      4664.00,      4692.60,      4654.90,      4668.90,20.4
,Nifty Realty,       278.05,       278.15,       278.95,       273.35,       273.95,-4.1
,Nifty Infra,      3298.10,      3334.50,      3347.50,      3318.25,      3325.35,27.25
,Nifty Energy,     16114.45,     16348.70,     16424.35,     16280.55,     16337.40,222.95
,Nifty FMCG,     30972.95,     31009.30,     31210.90,     30786.30,     31089.35,116.4
,Nifty MNC,     13785.05,     13816.25,     13902.45,     13766.05,     13842.55,57.5
,Nifty Pharma,      7851.45,      7866.00,      8187.10,      7843.65,      8107.60,256.15
,Nifty PSE,      3286.90,      3305.35,      3315.85,      3289.85,      3310.65,23.75
,Nifty PSU Bank,      2589.25,      2611.25,      2628.75,      2557.05,      2572.25,-17
,Nifty Serv Sector,     16874.25,     16915.10,     16953.05,     16850.15,     16893.55,19.3
,India VIX,15.4125,15.4125,15.4125,11.6075,15.1600,-0.2525
,Nifty Auto,      8063.95,      8088.05,      8132.60,      8039.80,      8083.80,19.85
,Nifty Metal,      2517.95,      2520.10,      2549.85,      2509.75,      2524.90,6.95
,Nifty Media,      1804.85,      1817.80,      1873.65,      1798.90,      1863.20,58.35
,NIFTY SMLCAP 100,      5709.55,      5726.20,      5733.45,      5703.15,      5716.10,6.55
,Nifty 200,      6152.55,      6183.15,      6202.50,      6167.65,      6181.60,29.05
,Nifty Div Opps 50,      2556.15,      2564.65,      2565.35,      2550.80,      2562.65,6.5
,Nifty Commodities,      3366.00,      3386.30,      3404.45,      3378.85,      3392.50,26.5
,Nifty Consumption,      4998.40,      5019.95,      5036.30,      4989.40,      5015.55,17.15
,Nifty Fin Service,     14008.90,     14030.85,     14058.35,     13965.35,     13982.20,-26.7
,Nifty50 Div Point,       117.35,       117.35,       117.35,       117.35,       117.35,0
,Nifty100 Liq 15,      3719.35,      3729.00,      3768.45,      3719.00,      3755.00,35.65
,Nifty CPSE,      1961.10,      1964.60,      1979.20,      1951.10,      1959.90,-1.2
,Nifty GrowSect 15,      6297.10,      6308.30,      6344.85,      6283.95,      6325.50,28.4
,Nifty50 PR 2x Lev,      5123.00,      5177.80,      5206.75,      5146.25,      5172.95,49.95
,Nifty50 PR 1x Inv,       390.05,       388.00,       389.20,       386.90,       388.20,-1.85
,Nifty50 TR 2x Lev,      6658.95,      6730.20,      6767.80,      6689.15,      6723.85,64.9
,Nifty50 TR 1x Inv,       342.15,       340.35,       341.40,       339.40,       340.55,-1.6
,Nifty50 Value 20,      5439.70,      5477.85,      5487.95,      5454.05,      5470.95,31.25
,Nifty Mid Liq 15,      3960.20,      3973.35,      4002.75,      3965.95,      3980.65,20.45
,Nifty Pvt Bank,     17167.45,     17191.60,     17356.65,     17175.55,     17296.60,129.15
,NIFTY100 Qualty30,      2695.00,      2701.65,      2713.00,      2693.10,      2711.05,16.05
,Nifty GS 8 13Yr,      2022.87,      2023.26,      2025.12,      2023.26,      2024.79,1.92
,Nifty GS 10Yr,      1864.11,      1864.44,      1866.52,      1864.44,      1865.64,1.53
,Nifty GS 10Yr Cln,       948.93,       948.93,       950.00,       948.93,       949.55,.62
,Nifty GS 4 8Yr,      2144.96,      2145.39,      2147.38,      2145.39,      2147.13,2.17
,Nifty GS 11 15Yr,      2140.00,      2140.42,      2142.35,      2140.42,      2141.80,1.8
,Nifty GS 15YrPlus,      2299.78,      2300.24,      2304.95,      2300.24,      2304.31,4.53
,Nifty GS Compsite,      2056.54,      2056.94,      2058.93,      2056.94,      2058.57,2.03

,ADVANCES,886
,DECLINES,967
,UNCHANGED,115

,Total securities that have hit their price bands today,384

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1509.75,      1547.65,2.51,3104.35
,BHARTIARTL,EQ,       439.35,       437.30,-0.47,2471.5
,YESBANK,EQ,        64.15,        65.85,2.65,1481.85
,IDEA,EQ,         6.05,         7.05,16.53,1327
,ICICIBANK,EQ,       493.50,       495.00,0.3,1119.47
,INDUSINDBK,EQ,      1392.75,      1469.30,5.5,1063.5
,SUNPHARMA,EQ,       425.90,       450.00,5.66,1033.25
,BPCL,EQ,       518.95,       544.60,4.94,1010.7
,SBIN,EQ,       330.40,       328.80,-0.48,985.26
,ZEEL,EQ,       285.85,       307.00,7.4,965.44
,MARUTI,EQ,      7045.45,      7152.75,1.52,921.58
,RBLBANK,EQ,       322.75,       344.65,6.79,733.04
,HDFCBANK,EQ,      1271.90,      1273.35,0.11,704.16
,AXISBANK,EQ,       747.80,       748.75,0.13,658.51
,TCS,EQ,      2108.80,      2108.55,-0.01,611.42
,INFRATEL,EQ,       250.55,       240.90,-3.85,588.93
,LT,EQ,      1365.75,      1380.80,1.1,540.99
,TATASTEEL,EQ,       401.75,       398.70,-0.76,492.74
,IBULHSGFIN,EQ,       212.70,       208.20,-2.12,482.03
,INFY,EQ,       712.85,       713.00,0.02,436.68
,HDFC,EQ,      2212.10,      2200.95,-0.5,391.35
,CANBK,EQ,       221.15,       222.50,0.61,366.69
,SIEMENS,EQ,      1579.00,      1543.20,-2.27,350.56
,ULTRACEMCO,EQ,      4100.15,      4114.05,0.34,344.05
,BANKBARODA,EQ,        99.00,        98.90,-0.1,341.69

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ZEEL,EQ,       307.00,       285.85,7.4
,SUNPHARMA,EQ,       450.00,       425.90,5.66
,INDUSINDBK,EQ,      1469.30,      1392.75,5.5
,BPCL,EQ,       544.60,       518.95,4.94
,DRREDDY,EQ,      2838.65,      2743.00,3.49

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INFRATEL,EQ,       240.90,       250.55,-3.85
,IOC,EQ,       130.90,       133.00,-1.58
,KOTAKBANK,EQ,      1599.45,      1623.80,-1.5
,EICHERMOT,EQ,     21489.80,     21747.35,-1.18
,HINDALCO,EQ,       190.75,       192.35,-0.83

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        34.90,                   541869.80,15616
,21STCENMGM,EQ,        14.10,                    15762.65,1111
,3IINFOTECH,EQ,         1.95,                  2950041.85,1502581
,3MINDIA,EQ,     22372.85,                 13965895.85,624
,3PLAND,EQ,         6.20,                     6268.20,1011
,5PAISA,EQ,       154.05,                  1613671.80,10551
,63MOONS,EQ,       101.90,                 13785005.50,134765
,A2ZINFRA,EQ,         8.85,                  1290259.55,144655
,AARON,SM,        49.10,                   446655.00,9900
,AARTIDRUGS,EQ,       525.25,                  4384880.80,8356
,AARTIIND,EQ,       847.75,                 79715991.70,94048
,AARVEEDEN,EQ,        12.60,                    85958.55,6814
,AAVAS,EQ,      1695.30,                 27542513.85,16187
,ABAN,BE,        28.10,                   669203.00,24069
,ABB,EQ,      1449.65,                937384740.20,637863
,ABBOTINDIA,EQ,     12578.95,                113083279.20,8890
,ABCAPITAL,EQ,        85.60,                193245289.15,2269017
,ABFRL,EQ,       216.05,                 86803852.60,400831
,ABINFRA,SM,        13.95,                    55800.00,4000
,ABSLBANETF,EQ,       315.72,                    37819.20,120
,ABSLNN50ET,EQ,       284.01,                     7384.26,26
,ABSLRIF6RG,MF,         7.13,                   156640.00,22000
,ACCELYA,EQ,       986.05,                139423149.55,135558
,ACCORD,SM,        21.00,                    42000.00,2000
,ACCURACY,SM,        29.00,                   191680.00,6400
,ACE,EQ,        79.80,                  9193900.45,114359
,ADANIENT,EQ,       205.70,                710357907.80,3488019
,ADANIGAS,EQ,       146.55,                 77554626.65,527163
,ADANIGREEN,EQ,        98.75,                224804667.45,2279188
,ADANIPOWER,EQ,        60.35,                554414246.45,9165116
,ADANITRANS,EQ,       267.10,                 66708766.85,246911
,ADFFOODS,EQ,       298.35,                  8422393.05,28173
,ADHUNIK,BZ,          .55,                    13713.00,24218
,ADHUNIKIND,EQ,       107.95,                  6457565.60,60968
,ADLABS,BE,         3.15,                   127439.55,40457
,ADORWELD,EQ,       313.75,                  1840634.20,5866
,ADROITINFO,EQ,         9.05,                    74485.25,8228
,ADSL,EQ,        16.30,                  1897816.50,114037
,ADVANIHOTR,EQ,        56.40,                   310381.05,5581
,ADVENZYMES,EQ,       178.20,                 80125770.45,454270
,AEGISCHEM,EQ,       179.35,                 26134022.65,145915
,AFFLE,EQ,      1633.75,                135779186.70,83129
,AGARIND,EQ,       106.10,                   181411.55,1704
,AGCNET,BE,       123.70,                   224945.30,1805
,AGRITECH,EQ,        43.10,                   226772.15,5238
,AGROPHOS,EQ,       126.20,                 83860590.25,666193
,AHLEAST,EQ,       173.75,                   182970.90,1044
,AHLUCONT,EQ,       274.00,                   871960.55,3172
,AHLWEST,EQ,       309.90,                  1519337.75,4801
,AIAENG,EQ,      1648.75,                 12292805.35,7453
,AIONJSW,EQ,        10.05,                   856081.35,85222
,AIRAN,EQ,        11.25,                    55230.45,4952
,AIROLAM,SM,        25.00,                    75000.00,3000
,AISL,SM,        22.55,                   106200.00,4800
,AJANTPHARM,EQ,      1004.00,                246082656.30,246468
,AJMERA,EQ,       117.70,                  6908783.50,58390
,AKASH,EQ,        64.50,                   125911.00,2001
,AKG,SM,        31.50,                   126000.00,4000
,AKSHARCHEM,EQ,       207.85,                   547999.60,2644
