,16-Dec-2019
The Nifty witnessed an intraday movement of about 88.35 points.The closing index was 0.27 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28996.56
, Traded Quantity (in Lakhs), 15234.58
, Number of Trades, 10506543
, Total Market Capitalisation (Rs. Crores), 15175142.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12086.70,     12131.35,     12134.65,     12046.30,     12053.95,-32.75
,NIFTY50 EQL Wgt,     12242.65,     12284.15,     12289.90,     12162.35,     12173.25,-69.4
,NIFTY100 EQL Wgt,     13245.80,     13272.75,     13277.95,     13155.70,     13164.15,-81.65
,NIFTY100 LowVol30,      8810.80,      8829.30,      8847.15,      8768.80,      8774.65,-36.15
,NIFTY Alpha 50,     12753.30,     12779.90,     12788.85,     12723.95,     12736.80,-16.5
,NIFTY MIDCAP 150,      6243.00,      6260.60,      6267.40,      6207.75,      6215.80,-27.2
,NIFTY SMLCAP 50,      2729.35,      2737.70,      2739.80,      2725.75,      2728.80,-.55
,NIFTY SMLCAP 250,      4707.25,      4722.65,      4725.25,      4700.00,      4704.15,-3.1
,NIFTY MIDSML 400,      5691.60,      5708.40,      5712.15,      5666.75,      5673.30,-18.3
,NIFTY200 QUALTY30,      9709.95,      9732.40,      9754.95,      9657.00,      9665.15,-44.8
,Nifty IT,     15200.55,     15263.75,     15446.25,     15223.10,     15348.70,148.15
,Nifty Next 50,     28076.70,     28095.90,     28121.60,     27896.00,     27915.25,-161.45
,Nifty Bank,     32014.25,     32159.00,     32186.95,     31897.75,     31974.20,-40.05
,NIFTY MIDCAP 100,     16932.40,     16981.75,     16996.95,     16821.25,     16842.10,-90.3
,Nifty 500,      9783.60,      9815.25,      9817.65,      9747.95,      9753.00,-30.6
,Nifty 100,     12182.70,     12222.85,     12226.00,     12137.40,     12144.85,-37.85
,Nifty Midcap 50,      4641.70,      4652.65,      4657.80,      4603.65,      4607.70,-34
,Nifty Realty,       287.65,       287.15,       289.85,       287.05,       289.35,1.7
,Nifty Infra,      3267.15,      3279.05,      3281.90,      3240.55,      3243.85,-23.3
,Nifty Energy,     16068.05,     16117.25,     16141.40,     15959.50,     15974.20,-93.85
,Nifty FMCG,     30426.25,     30459.80,     30523.35,     30008.25,     30043.10,-383.15
,Nifty MNC,     13744.25,     13755.10,     13795.30,     13625.10,     13635.60,-108.65
,Nifty Pharma,      8045.05,      8017.95,      8091.30,      7990.10,      8025.85,-19.2
,Nifty PSE,      3171.95,      3176.75,      3180.55,      3147.90,      3152.35,-19.6
,Nifty PSU Bank,      2570.70,      2583.95,      2589.50,      2546.20,      2555.25,-15.45
,Nifty Serv Sector,     17172.65,     17239.70,     17267.05,     17174.60,     17218.15,45.5
,India VIX,13.3000,13.3000,14.1100,12.5000,13.4150,0.1150
,Nifty Auto,      8069.70,      8087.75,      8109.05,      7981.95,      7990.80,-78.9
,Nifty Metal,      2626.75,      2640.55,      2642.50,      2586.65,      2591.10,-35.65
,Nifty Media,      1765.70,      1777.90,      1777.90,      1751.60,      1755.00,-10.7
,NIFTY SMLCAP 100,      5652.20,      5672.20,      5674.25,      5642.45,      5647.45,-4.75
,Nifty 200,      6209.55,      6229.80,      6231.45,      6185.30,      6188.80,-20.75
,Nifty Div Opps 50,      2515.20,      2521.95,      2524.20,      2503.60,      2506.05,-9.15
,Nifty Commodities,      3385.30,      3394.60,      3398.50,      3348.25,      3350.95,-34.35
,Nifty Consumption,      4911.75,      4920.95,      4927.30,      4856.70,      4861.15,-50.6
,Nifty Fin Service,     14410.45,     14455.10,     14466.60,     14386.25,     14417.60,7.15
,Nifty50 Div Point,       117.82,       117.82,       117.82,       117.82,       117.82,0
,Nifty100 Liq 15,      3783.20,      3798.10,      3800.15,      3751.60,      3756.95,-26.25
,Nifty CPSE,      1893.65,      1897.90,      1898.45,      1871.70,      1874.60,-19.05
,Nifty GrowSect 15,      6384.90,      6403.40,      6408.80,      6353.00,      6357.45,-27.45
,Nifty50 PR 2x Lev,      5229.35,      5265.85,      5267.35,      5192.60,      5198.95,-30.4
,Nifty50 PR 1x Inv,       386.35,       385.10,       387.80,       385.05,       387.55,1.2
,Nifty50 TR 2x Lev,      6797.65,      6845.15,      6847.05,      6749.95,      6758.15,-39.5
,Nifty50 TR 1x Inv,       338.90,       337.80,       340.15,       337.75,       339.95,1.05
,Nifty50 Value 20,      5406.20,      5426.25,      5429.75,      5397.50,      5402.75,-3.45
,Nifty Mid Liq 15,      3974.80,      3988.05,      3991.65,      3945.75,      3950.75,-24.05
,Nifty Pvt Bank,     17668.15,     17746.60,     17762.25,     17609.10,     17646.15,-22
,NIFTY100 Qualty30,      2685.40,      2692.50,      2696.60,      2670.90,      2673.20,-12.2
,Nifty GS 8 13Yr,      1990.06,      1990.44,      1992.13,      1989.91,      1990.63,.57
,Nifty GS 10Yr,      1832.19,      1832.52,      1835.86,      1831.59,      1833.26,1.07
,Nifty GS 10Yr Cln,       928.13,       928.13,       929.84,       927.66,       928.51,.38
,Nifty GS 4 8Yr,      2122.14,      2122.56,      2123.98,      2121.81,      2122.21,.07
,Nifty GS 11 15Yr,      2105.16,      2105.58,      2107.72,      2104.61,      2106.36,1.2
,Nifty GS 15YrPlus,      2271.92,      2272.38,      2276.29,      2272.38,      2276.14,4.22
,Nifty GS Compsite,      2026.47,      2026.86,      2028.76,      2026.32,      2027.07,.6

,ADVANCES,831
,DECLINES,1035
,UNCHANGED,109

,Total securities that have hit their price bands today,348

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,IBULHSGFIN,EQ,       309.05,       309.75,0.23,1499.66
,TCS,EQ,      2071.25,      2126.75,2.68,1179.92
,SBIN,EQ,       332.55,       331.85,-0.21,1167.57
,RELIANCE,EQ,      1582.90,      1566.60,-1.03,856.66
,HDFC,EQ,      2354.50,      2375.25,0.88,832.44
,YESBANK,EQ,        46.65,        46.80,0.32,804.35
,HDFCBANK,EQ,      1263.85,      1257.35,-0.51,711.47
,ICICIBANK,EQ,       537.05,       539.25,0.41,704.89
,KOTAKBANK,EQ,      1692.75,      1703.95,0.66,627.28
,AXISBANK,EQ,       752.00,       747.25,-0.63,545.7
,MARUTI,EQ,      7214.95,      7140.05,-1.04,522.85
,LT,EQ,      1305.30,      1303.00,-0.18,519.71
,JINDALSTEL,EQ,       138.85,       136.75,-1.51,492.93
,TATAMOTORS,EQ,       176.70,       174.95,-0.99,460.25
,TECHM,EQ,       761.85,       773.30,1.5,451.32
,INDUSINDBK,EQ,      1485.40,      1493.40,0.54,435.19
,UJJIVANSFB,EQ,        52.00,        58.45,12.4,424.62
,TATASTEEL,EQ,       428.40,       421.00,-1.73,405.9
,INFY,EQ,       711.30,       714.00,0.38,402.07
,RBLBANK,EQ,       345.40,       336.25,-2.65,362.38
,SUNPHARMA,EQ,       439.25,       435.15,-0.93,359.03
,BAJFINANCE,EQ,      4071.95,      4039.45,-0.8,334.71
,HINDUNILVR,EQ,      2006.20,      1974.75,-1.57,333.29
,AUROPHARMA,EQ,       449.35,       455.00,1.26,321.69
,BHARTIARTL,EQ,       427.80,       421.85,-1.39,295.95

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      2126.75,      2071.25,2.68
,HCLTECH,EQ,       552.20,       543.15,1.67
,TECHM,EQ,       773.30,       761.85,1.5
,GAIL,EQ,       121.20,       119.80,1.17
,HDFC,EQ,      2375.25,      2354.50,.88

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GRASIM,EQ,       763.10,       782.30,-2.45
,ADANIPORTS,EQ,       368.35,       376.95,-2.28
,ITC,EQ,       236.90,       241.60,-1.95
,COALINDIA,EQ,       192.60,       196.25,-1.86
,JSWSTEEL,EQ,       253.10,       257.60,-1.75

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.00,                   296506.70,9268
,21STCENMGM,EQ,        13.45,                      729.75,55
,3IINFOTECH,EQ,         2.10,                  4634905.55,2217696
,3MINDIA,EQ,     20765.90,                 13381644.25,643
,3PLAND,EQ,         5.70,                     2220.25,387
,5PAISA,EQ,       181.15,                   913872.40,5003
,63MOONS,EQ,       102.15,                 11707860.00,113495
,8KMILES,BZ,        36.65,                  2384670.35,62344
,A2ZINFRA,EQ,         8.05,                   330199.10,41152
,AAKASH,SM,        70.35,                   281300.00,4000
,AARON,SM,        49.95,                   164835.00,3300
,AARTIDRUGS,EQ,       497.10,                  2749581.40,5487
,AARTIIND,EQ,       772.70,                134806247.95,172453
,AARVEEDEN,EQ,        11.60,                    16830.50,1466
,AAVAS,EQ,      1907.15,                 97582903.15,51001
,ABAN,EQ,        26.30,                   634277.10,24117
,ABB,EQ,      1480.40,                186867289.55,124749
,ABBOTINDIA,EQ,     13300.90,                227804039.95,17104
,ABCAPITAL,EQ,       100.00,                167526406.30,1654015
,ABFRL,EQ,       229.85,                216466335.95,941023
,ABINFRA,SM,        12.25,                    98000.00,8000
,ABSLBANETF,EQ,       318.32,                      639.18,2
,ABSLNN50ET,EQ,       284.00,                     2840.00,10
,ACCELYA,EQ,       949.25,                  9196242.10,9658
,ACCURACY,SM,        23.05,                   190000.00,8000
,ACE,EQ,        72.60,                  8149067.15,111651
,ADANIENT,EQ,       210.50,                461186998.70,2184582
,ADANIGAS,EQ,       151.60,                 95532482.40,627133
,ADANIGREEN,EQ,       134.40,                291614915.05,2156419
,ADANIPOWER,EQ,        61.00,                282416905.95,4605621
,ADANITRANS,EQ,       332.25,                 79506939.80,238781
,ADFFOODS,EQ,       303.20,                  3390569.20,11177
,ADHUNIKIND,EQ,        41.60,                   256713.60,6171
,ADLABS,BE,         3.35,                    91959.00,27560
,ADORWELD,EQ,       289.40,                   387554.85,1337
,ADSL,BE,        23.00,                   942568.65,40945
,ADVANIHOTR,EQ,        53.80,                   334934.90,6232
,ADVENZYMES,EQ,       161.80,                 63670092.10,396275
,AEGISCHEM,EQ,       182.95,                 31081802.75,169022
,AFFLE,EQ,      1443.45,                 92183915.25,63296
,AGARIND,EQ,        76.50,                  1085805.45,13600
,AGCNET,EQ,       129.95,                   472637.45,3635
,AGRITECH,EQ,        46.70,                  5078618.85,107310
,AGROPHOS,EQ,       146.45,                196294951.95,1344346
,AHLEAST,EQ,       176.95,                  1094988.00,6408
,AHLUCONT,EQ,       277.80,                   616211.95,2219
,AHLWEST,EQ,       330.70,                  9145165.70,27765
,AIAENG,EQ,      1645.50,                 55023083.10,33436
,AIFL,BZ,         1.55,                    49999.25,34285
,AIONJSW,EQ,         9.55,                   539511.20,55991
,AIRAN,EQ,        14.05,                   593654.00,42370
,AIROLAM,SM,        27.10,                    81300.00,3000
,AISL,SM,        23.75,                    57060.00,2400
,AJANTPHARM,EQ,       976.95,                 18351208.00,18741
,AJMERA,EQ,       113.60,                  1617777.00,14127
,AKASH,EQ,        62.00,                     4340.00,70
,AKG,SM,        31.75,                   127000.00,4000
,AKSHARCHEM,EQ,       184.70,                   207630.55,1127
,AKSHOPTFBR,EQ,         6.70,                   850484.05,126721
,AKZOINDIA,EQ,      1933.40,                 14611858.55,7522
