,17-Dec-2019
The Nifty witnessed an intraday movement of about 112.4 points.The closing index was 0.92 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36198.08
, Traded Quantity (in Lakhs), 18283.74
, Number of Trades, 11933482
, Total Market Capitalisation (Rs. Crores), 15285665.79

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     12053.95,     12082.45,     12182.75,     12070.35,     12165.00,111.05
,NIFTY50 EQL Wgt,     12173.25,     12209.45,     12301.90,     12192.30,     12284.95,111.7
,NIFTY100 EQL Wgt,     13164.15,     13198.65,     13274.40,     13173.05,     13259.15,95
,NIFTY100 LowVol30,      8774.65,      8807.15,      8852.95,      8792.30,      8842.25,67.6
,NIFTY Alpha 50,     12736.80,     12766.15,     12814.75,     12744.50,     12806.60,69.8
,NIFTY MIDCAP 150,      6215.80,      6230.45,      6250.30,      6216.00,      6247.15,31.35
,NIFTY SMLCAP 50,      2728.80,      2739.45,      2760.55,      2734.80,      2755.15,26.35
,NIFTY SMLCAP 250,      4704.15,      4719.70,      4738.80,      4713.90,      4736.85,32.7
,NIFTY MIDSML 400,      5673.30,      5688.35,      5707.85,      5677.15,      5705.25,31.95
,NIFTY200 QUALTY30,      9665.15,      9697.95,      9740.65,      9687.05,      9723.75,58.6
,Nifty IT,     15348.70,     15417.55,     15670.35,     15387.20,     15637.15,288.45
,Nifty Next 50,     27915.25,     27977.40,     28066.30,     27921.00,     28031.75,116.5
,Nifty Bank,     31974.20,     32082.40,     32213.35,     31987.35,     32140.25,166.05
,NIFTY MIDCAP 100,     16842.10,     16887.15,     16956.00,     16840.85,     16938.95,96.85
,Nifty 500,      9753.00,      9776.45,      9842.90,      9766.55,      9831.35,78.35
,Nifty 100,     12144.85,     12173.40,     12266.15,     12160.90,     12248.95,104.1
,Nifty Midcap 50,      4607.70,      4619.00,      4645.60,      4599.80,      4641.90,34.2
,Nifty Realty,       289.35,       289.45,       290.65,       287.65,       288.60,-.75
,Nifty Infra,      3243.85,      3248.60,      3273.50,      3239.15,      3268.55,24.7
,Nifty Energy,     15974.20,     15964.85,     16019.05,     15907.20,     15975.55,1.35
,Nifty FMCG,     30043.10,     30115.65,     30334.80,     30084.35,     30182.05,138.95
,Nifty MNC,     13635.60,     13690.05,     13740.95,     13668.00,     13712.35,76.75
,Nifty Pharma,      8025.85,      8037.35,      8068.20,      7973.70,      7999.60,-26.25
,Nifty PSE,      3152.35,      3152.65,      3170.05,      3134.25,      3164.85,12.5
,Nifty PSU Bank,      2555.25,      2565.55,      2596.10,      2558.95,      2567.40,12.15
,Nifty Serv Sector,     17218.15,     17259.40,     17442.60,     17221.50,     17419.75,201.6
,India VIX,13.4150,13.4150,13.4250,11.9550,12.5175,-0.8975
,Nifty Auto,      7990.80,      8028.10,      8068.10,      8013.85,      8039.90,49.1
,Nifty Metal,      2591.10,      2603.90,      2677.25,      2600.95,      2665.75,74.65
,Nifty Media,      1755.00,      1756.90,      1785.80,      1755.25,      1772.10,17.1
,NIFTY SMLCAP 100,      5647.45,      5666.85,      5694.05,      5658.35,      5690.00,42.55
,Nifty 200,      6188.80,      6203.55,      6248.20,      6197.20,      6240.00,51.2
,Nifty Div Opps 50,      2506.05,      2511.75,      2530.10,      2507.60,      2526.45,20.4
,Nifty Commodities,      3350.95,      3357.00,      3395.90,      3346.25,      3390.60,39.65
,Nifty Consumption,      4861.15,      4878.10,      4900.10,      4869.85,      4893.95,32.8
,Nifty Fin Service,     14417.60,     14441.00,     14572.20,     14410.45,     14554.50,136.9
,Nifty50 Div Point,       117.82,       117.82,       117.82,       117.82,       117.82,0
,Nifty100 Liq 15,      3756.95,      3770.55,      3792.95,      3765.65,      3787.95,31
,Nifty CPSE,      1874.60,      1873.00,      1884.15,      1861.70,      1880.45,5.85
,Nifty GrowSect 15,      6357.45,      6375.55,      6428.40,      6371.55,      6422.80,65.35
,Nifty50 PR 2x Lev,      5198.95,      5222.80,      5309.25,      5212.75,      5294.00,95.05
,Nifty50 PR 1x Inv,       387.55,       386.70,       387.05,       383.45,       384.05,-3.5
,Nifty50 TR 2x Lev,      6758.15,      6789.20,      6901.60,      6776.15,      6881.75,123.6
,Nifty50 TR 1x Inv,       339.95,       339.20,       339.50,       336.35,       336.85,-3.1
,Nifty50 Value 20,      5402.75,      5414.95,      5458.20,      5409.95,      5446.30,43.55
,Nifty Mid Liq 15,      3950.75,      3962.60,      3982.15,      3943.55,      3976.20,25.45
,Nifty Pvt Bank,     17646.15,     17708.65,     17763.25,     17653.25,     17732.05,85.9
,NIFTY100 Qualty30,      2673.20,      2683.15,      2694.85,      2679.00,      2691.25,18.05
,Nifty GS 8 13Yr,      1989.01,      1989.39,      1994.10,      1989.21,      1993.36,4.35
,Nifty GS 10Yr,      1830.85,      1831.19,      1837.30,      1830.30,      1836.52,5.67
,Nifty GS 10Yr Cln,       927.28,       927.28,       930.41,       926.82,       930.01,2.73
,Nifty GS 4 8Yr,      2121.52,      2121.94,      2125.94,      2121.94,      2125.80,4.28
,Nifty GS 11 15Yr,      2104.64,      2105.06,      2111.61,      2105.06,      2111.56,6.92
,Nifty GS 15YrPlus,      2276.14,      2276.60,      2276.60,      2276.60,      2276.60,.46
,Nifty GS Compsite,      2025.72,      2026.11,      2031.23,      2025.98,      2030.60,4.88

,ADVANCES,1073
,DECLINES,755
,UNCHANGED,133

,Total securities that have hit their price bands today,319

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,      2375.25,      2430.10,2.31,1754.67
,RELIANCE,EQ,      1566.60,      1562.70,-0.25,1453.88
,TATASTEEL,EQ,       421.00,       439.40,4.37,1341.63
,TCS,EQ,      2126.75,      2164.95,1.8,1305.68
,BHARTIARTL,EQ,       421.85,       439.95,4.29,984.94
,IBULHSGFIN,EQ,       309.75,       305.05,-1.52,893.25
,SBIN,EQ,       331.85,       332.90,0.32,892.38
,HDFCBANK,EQ,      1257.35,      1271.10,1.09,787.86
,INFY,EQ,       714.00,       729.70,2.2,764.69
,AXISBANK,EQ,       747.25,       745.65,-0.21,733.89
,TATAMOTORS,EQ,       174.95,       180.20,3,683.44
,MARUTI,EQ,      7140.05,      7195.15,0.77,677.79
,NIITTECH,EQ,      1473.40,      1604.95,8.93,664.75
,JINDALSTEL,EQ,       136.75,       145.60,6.47,660.3
,ICICIBANK,EQ,       539.25,       541.15,0.35,622.71
,YESBANK,EQ,        46.80,        47.60,1.71,622.23
,BAJFINANCE,EQ,      4039.45,      4135.75,2.38,565.12
,LT,EQ,      1303.00,      1317.95,1.15,489.39
,KOTAKBANK,EQ,      1703.95,      1713.30,0.55,453.57
,ZEEL,EQ,       278.25,       279.75,0.54,435.04
,HINDUNILVR,EQ,      1974.75,      1961.35,-0.68,430.89
,INDUSINDBK,EQ,      1493.40,      1492.75,-0.04,428.07
,VEDL,EQ,       147.15,       152.35,3.53,392.65
,ITC,EQ,       236.90,       241.05,1.75,382.57
,RBLBANK,EQ,       336.25,       340.65,1.31,358.29

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       439.40,       421.00,4.37
,BHARTIARTL,EQ,       439.95,       421.85,4.29
,VEDL,EQ,       152.35,       147.15,3.53
,HINDALCO,EQ,       213.70,       206.65,3.41
,TATAMOTORS,EQ,       180.20,       174.95,3

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       429.05,       435.15,-1.4
,GAIL,EQ,       119.80,       121.20,-1.16
,TITAN,EQ,      1157.35,      1165.65,-0.71
,HINDUNILVR,EQ,      1961.35,      1974.75,-0.68
,BAJAJ-AUTO,EQ,      3199.10,      3220.40,-0.66

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.90,                   484008.25,15159
,21STCENMGM,EQ,        13.55,                     3917.65,289
,3IINFOTECH,EQ,         2.05,                  2011199.80,972645
,3MINDIA,EQ,     20967.30,                 23422978.40,1121
,3PLAND,EQ,         5.75,                     5755.75,1001
,5PAISA,EQ,       180.65,                   508741.05,2804
,63MOONS,EQ,       102.10,                 10873210.75,106184
,772GS2049,GS,        95.50,                    19100.00,200
,A2ZINFRA,EQ,         8.05,                   702673.05,87058
,AAKASH,SM,        73.20,                  2247200.00,32000
,AARON,SM,        48.95,                   161535.00,3300
,AARTIDRUGS,EQ,       495.20,                  1475742.75,2968
,AARTIIND,EQ,       768.70,                 64929166.60,84265
,AARVEEDEN,EQ,        11.45,                    35524.60,3119
,AAVAS,EQ,      1898.45,                 25665179.20,13476
,ABAN,EQ,        26.65,                  2657214.30,98554
,ABB,EQ,      1474.40,                 65752495.55,44311
,ABBOTINDIA,EQ,     13381.80,                135884897.85,10167
,ABCAPITAL,EQ,        98.90,                104102382.15,1044597
,ABFRL,EQ,       234.00,                329564452.25,1400801
,ABSLBANETF,EQ,       319.52,                      319.52,1
,ABSLRIF6RG,MF,         6.71,                    33550.00,5000
,ACCELYA,EQ,       985.95,                  7142102.65,7372
,ACCURACY,SM,        24.20,                   271040.00,11200
,ACE,EQ,        73.00,                  3346511.80,45839
,ADANIENT,EQ,       211.20,                415859379.70,1968218
,ADANIGAS,EQ,       150.65,                 85061593.55,562415
,ADANIGREEN,EQ,       135.55,                129920703.70,957067
,ADANIPOWER,EQ,        61.85,                263337631.75,4262313
,ADANITRANS,EQ,       334.05,                 76963438.35,230362
,ADFFOODS,EQ,       303.45,                  3009604.70,9954
,ADHUNIKIND,EQ,        39.55,                   782773.60,19792
,ADLABS,BE,         3.50,                   179748.50,51915
,ADORWELD,EQ,       289.90,                   335173.95,1158
,ADROITINFO,BE,         7.45,                     3770.15,499
,ADSL,BE,        23.35,                  2904471.10,126029
,ADVANIHOTR,EQ,        54.40,                    62369.85,1147
,ADVENZYMES,EQ,       165.75,                 27854833.90,169113
,AEGISCHEM,EQ,       184.05,                 18362691.85,99675
,AFFLE,EQ,      1461.65,                 93221543.25,63681
,AGARIND,EQ,        79.80,                  1117225.60,13895
,AGCNET,EQ,       130.10,                   106922.60,828
,AGRITECH,EQ,        45.80,                  1142833.00,24549
,AGROPHOS,EQ,       147.10,                264620497.60,1799249
,AHLADA,SM,        44.40,                   175500.00,4000
,AHLEAST,EQ,       170.85,                   376112.40,2197
,AHLUCONT,EQ,       286.00,                   567128.85,2001
,AHLWEST,EQ,       329.65,                  2470729.30,7371
,AIAENG,EQ,      1634.00,                 15073625.85,9196
,AIONJSW,EQ,         9.50,                   122863.40,13116
,AIRAN,EQ,        14.20,                   448278.85,31410
,AJANTPHARM,EQ,       977.30,                 35987826.35,36833
,AJMERA,EQ,       116.75,                  4216406.40,36265
,AKASH,EQ,        65.15,                   234062.80,3602
,AKSHARCHEM,EQ,       185.80,                   194938.60,1046
,AKSHOPTFBR,EQ,         6.65,                  1066658.05,162212
,AKZOINDIA,EQ,      1962.50,                 66976578.25,34338
,ALANKIT,EQ,        11.60,                   192637.85,16640
