,28-Mar-2025
The Nifty witnessed an intraday movement of about 199 points.The closing index was 0.31 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 104168.33
, Traded Quantity (in Lakhs), 43922.65
, Number of Trades, 37302312
, Total Market Capitalisation (Rs. Crores), 41086929.01

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23591.95,     23600.40,     23649.20,     23450.20,     23519.35,-72.6
,NIFTY50 EQL Wgt,     29379.50,     29385.55,     29490.30,     29116.70,     29215.85,-163.65
,NIFTY100 EQL Wgt,     30479.75,     30492.55,     30637.20,     30204.10,     30282.00,-197.75
,NIFTY100 LowVol30,     18869.05,     18863.15,     18936.55,     18742.95,     18798.85,-70.2
,NIFTY Alpha 50,     46312.55,     46647.35,     46806.25,     45826.65,     46004.55,-308
,NIFTY MIDCAP 150,     19175.40,     19260.15,     19389.60,     19039.35,     19120.35,-55.05
,NIFTY SMLCAP 50,      7735.90,      7772.35,      7856.35,      7697.70,      7724.65,-11.25
,NIFTY SMLCAP 250,     15111.65,     15174.50,     15305.90,     15063.00,     15104.05,-7.6
,NIFTY MIDSML 400,     17714.10,     17790.80,     17922.20,     17612.70,     17677.95,-36.15
,NIFTY200 QUALTY30,     19265.90,     19285.45,     19436.70,     19125.10,     19187.10,-78.8
,Nifty FinSrv25 50,     26762.75,     26779.90,     26916.65,     26687.80,     26766.75,4
,NIFTY AlphaLowVol,     25204.50,     25231.10,     25270.55,     25032.55,     25142.60,-61.9
,Nifty200Momentm30,     28317.35,     28414.90,     28492.45,     28027.90,     28166.90,-150.45
,Nifty100ESGSecLdr,      3928.50,      3929.35,      3937.75,      3898.70,      3912.15,-16.35
,NIFTY100 ESG,      4609.70,      4606.80,      4621.05,      4568.15,      4581.50,-28.2
,NIFTY M150 QLTY50,     21964.60,     22050.65,     22234.60,     21893.05,     22004.05,39.45
,NIFTY INDIA MFG,     13180.45,     13210.05,     13238.95,     13037.90,     13097.55,-82.9
,Nifty200 Alpha 30,     22396.05,     22525.45,     22622.60,     22237.60,     22367.15,-28.9
,NiftyM150Momntm50,     55516.35,     55901.55,     56238.95,     55251.65,     55578.00,61.65
,Nifty IT,     37548.30,     37376.60,     37540.80,     36767.25,     36886.15,-662.15
,Nifty Next 50,     63442.55,     63471.80,     63916.90,     62917.75,     63043.20,-399.35
,Nifty Bank,     51575.85,     51608.40,     51839.10,     51335.35,     51564.85,-11
,NIFTY MIDCAP 100,     51839.40,     52083.15,     52473.20,     51447.40,     51672.25,-167.15
,Nifty 500,     21407.95,     21439.20,     21514.10,     21277.90,     21339.55,-68.4
,Nifty 100,     24145.05,     24154.15,     24220.75,     23992.80,     24057.35,-87.7
,Nifty Midcap 50,     14591.70,     14669.80,     14770.75,     14490.45,     14561.60,-30.1
,Nifty Realty,       863.55,       866.30,       868.75,       848.55,       851.30,-12.25
,Nifty Infra,      8481.90,      8505.95,      8539.75,      8399.30,      8457.80,-24.1
,Nifty Energy,     33682.95,     33771.45,     34075.00,     33481.45,     33571.60,-111.35
,Nifty FMCG,     53276.60,     53198.80,     54150.90,     53198.80,     53589.80,313.2
,Nifty MNC,     26295.70,     26338.50,     26535.00,     26141.15,     26241.50,-54.2
,Nifty Pharma,     21275.15,     21277.30,     21313.35,     20999.95,     21137.45,-137.7
,Nifty PSE,      9360.35,      9393.60,      9485.35,      9327.40,      9342.70,-17.65
,Nifty PSU Bank,      6296.15,      6293.50,      6371.65,      6242.10,      6263.40,-32.75
,Nifty Serv Sector,     31259.20,     31247.85,     31312.10,     31038.70,     31163.35,-95.85
,India VIX,13.3000,13.3000,13.6100,12.5725,12.7175,-0.5825
,Nifty Auto,     21516.75,     21570.20,     21577.20,     21200.75,     21295.50,-221.25
,Nifty Metal,      9159.80,      9172.90,      9235.20,      9045.10,      9092.50,-67.3
,Nifty Media,      1509.90,      1513.55,      1525.35,      1469.65,      1475.25,-34.65
,NIFTY SMLCAP 100,     16119.85,     16197.60,     16350.85,     16046.10,     16095.70,-24.15
,Nifty 200,     13029.20,     13043.20,     13085.15,     12945.35,     12982.75,-46.45
,Nifty Div Opps 50,      5888.85,      5889.35,      5915.80,      5833.25,      5844.60,-44.25
,Nifty Commodities,      8514.90,      8532.95,      8584.30,      8443.45,      8468.70,-46.2
,Nifty Consumption,     10771.65,     10773.85,     10842.55,     10664.75,     10720.40,-51.25
,Nifty Fin Service,     25011.15,     25034.05,     25199.05,     24937.35,     25074.90,63.75
,Nifty50 Div Point,       289.38,          .00,          .00,          .00,          .00,0
,Nifty100 Liq 15,      6535.75,      6542.75,      6577.45,      6462.90,      6512.00,-23.75
,Nifty CPSE,      6150.15,      6171.40,      6230.40,      6122.95,      6139.80,-10.35
,Nifty GrowSect 15,     10812.70,     10767.20,     10790.60,     10656.50,     10690.90,-121.8
,Nifty50 PR 2x Lev,     12619.35,     12626.25,     12678.40,     12467.05,     12539.50,-79.85
,Nifty50 PR 1x Inv,       214.60,       214.60,       215.95,       214.15,       215.30,.7
,Nifty50 TR 2x Lev,     18511.15,     18521.25,     18597.75,     18287.75,     18394.05,-117.1
,Nifty50 TR 1x Inv,       177.35,       177.30,       178.45,       176.95,       177.90,.55
,Nifty50 Value 20,     12605.95,     12585.85,     12616.50,     12477.80,     12505.80,-100.15
,Nifty Mid Liq 15,     12989.70,     13135.50,     13255.55,     12971.45,     13058.05,68.35
,Nifty Pvt Bank,     25695.70,     25717.20,     25855.55,     25621.55,     25733.35,37.65
,NIFTY100 Qualty30,      5254.30,      5245.85,      5283.75,      5213.65,      5229.80,-24.5
,Nifty GS 8 13Yr,      2841.97,      2842.49,      2845.66,      2840.44,      2844.99,3.02
,Nifty GS 10Yr,      2513.05,      2513.50,      2516.13,      2509.76,      2515.53,2.48
,Nifty GS 10Yr Cln,       900.22,       900.22,       901.19,       898.84,       900.97,.75
,Nifty GS 4 8Yr,      3063.67,      3064.25,      3068.15,      3064.22,      3067.26,3.59
,Nifty GS 11 15Yr,      3154.27,      3154.86,      3160.81,      3154.16,      3160.44,6.17
,Nifty GS 15YrPlus,      3466.85,      3467.51,      3481.97,      3466.94,      3481.30,14.45
,Nifty GS Compsite,      2941.05,      2941.60,      2946.99,      2940.35,      2946.43,5.38
,NIFTY HEALTHCARE,     13745.45,     13747.40,     13793.05,     13594.25,     13681.30,-64.15
,NIFTY CONSR DURBL,     35826.80,     35959.55,     36203.15,     35478.00,     35652.20,-174.6
,NIFTY OIL AND GAS,     10552.85,     10582.05,     10727.60,     10530.25,     10549.70,-3.15
,NIFTY500 MULTICAP,     14720.15,     14754.45,     14820.80,     14636.75,     14681.00,-39.15
,NIFTY LARGEMID250,     14869.45,     14905.10,     14964.90,     14770.60,     14821.10,-48.35
,NIFTY MID SELECT,     11515.80,     11618.95,     11701.05,     11470.15,     11546.00,30.2
,NIFTY TOTAL MKT,     12026.15,     12044.60,     12084.55,     11951.30,     11984.90,-41.25
,NIFTY MICROCAP250,     20886.75,     20959.80,     21144.05,     20649.10,     20685.60,-201.15
,NIFTY IND DIGITAL,      8383.10,      8378.45,      8410.35,      8221.90,      8261.90,-121.2
,Nifty Tata 25 Cap,     15012.45,     15034.55,     15119.00,     14875.00,     14928.20,-84.25
,Nifty MidSml Hlth,     40790.05,     40868.80,     41127.75,     40510.65,     40868.35,78.3
,Nifty Multi Mfg,     13903.20,     13938.80,     13979.95,     13778.15,     13844.65,-58.55
,Nifty Multi Infra,     12973.45,     13012.75,     13072.95,     12854.15,     12924.50,-48.95
,BHARATBOND-APR25,      1311.61,      1311.78,      1311.88,      1311.78,      1311.88,.27
,BHARATBOND-APR30,      1481.17,      1481.46,      1482.94,      1481.45,      1482.94,1.77
,BHARATBOND-APR31,      1351.04,      1351.29,      1353.68,      1351.29,      1353.68,2.64
,BHARATBOND-APR32,      1233.16,      1233.40,      1234.44,      1233.40,      1234.44,1.28
,BHARATBOND-APR33,      1200.03,      1200.27,      1201.28,      1200.26,      1201.28,1.25
,Nifty Ind Defence,      6370.60,      6421.95,      6507.70,      6377.70,      6393.90,23.3
,Nifty Ind Tourism,      8595.80,      8630.65,      8666.60,      8512.15,      8546.60,-49.2
,Nifty Capital Mkt,      3310.00,      3373.65,      3476.65,      3373.65,      3415.75,105.75
,Nifty500Momentm50,     47760.15,     47987.80,     48295.50,     47484.85,     47724.30,-35.85
,NiftyMS400 MQ 100,     43996.00,     44297.60,     44735.60,     43950.15,     44180.65,184.65
,NiftySml250MQ 100,     42347.75,     42497.25,     42819.20,     42040.65,     42183.85,-163.9
,Nifty Top 10 EW,      9337.45,      9347.25,      9373.75,      9290.45,      9338.70,1.25
,Nifty AQL 30,     20869.50,     20900.40,     21001.40,     20710.30,     20801.45,-68.05
,Nifty AQLV 30,     19154.40,     19170.20,     19273.30,     19022.70,     19091.20,-63.2
,Nifty EV,      2688.80,      2694.05,      2701.75,      2657.00,      2665.65,-23.15
,Nifty HighBeta 50,      3339.30,      3351.55,      3382.20,      3302.80,      3310.60,-28.7
,Nifty New Consump,     10578.20,     10602.25,     10629.00,     10432.20,     10470.25,-107.95
,Nifty Corp MAATR,     33724.40,     33757.70,     33780.45,     33301.50,     33407.85,-316.55
,Nifty Low Vol 50,     23628.40,     23574.20,     23708.80,     23483.95,     23559.75,-68.65
,Nifty Mobility,     18460.40,     18493.15,     18563.20,     18226.85,     18309.45,-150.95
,Nifty Qlty LV 30,     16257.75,     16242.75,     16345.55,     16152.05,     16205.05,-52.7
,Nifty Sml250 Q50,     24279.50,     24399.10,     24589.90,     24066.70,     24133.35,-146.15
,Nifty Top 15 EW,      9768.95,      9775.25,      9786.75,      9704.25,      9741.90,-27.05
,Nifty100 Alpha 30,     16795.00,     16813.30,     16816.05,     16585.60,     16668.15,-126.85
,Nifty100 Enh ESG,      4644.20,      4641.35,      4655.90,      4602.45,      4615.95,-28.25
,Nifty200 Value 30,     12482.35,     12494.85,     12578.75,     12363.35,     12398.70,-83.65
,Nifty500 EW,     12733.20,     12771.85,     12865.95,     12645.30,     12677.10,-56.1
,Nifty Multi MQ 50,     38464.15,     38552.40,     38760.15,     38080.45,     38217.30,-246.85
,Nifty500 Value 50,     13376.35,     13387.35,     13481.60,     13263.35,     13302.85,-73.5
,Nifty Top 20 EW,      8735.90,      8740.35,      8757.25,      8678.90,      8708.95,-26.95
,Nifty CoreHousing,     15044.90,     15087.50,     15176.35,     14922.80,     14971.40,-73.5
,Nifty FinSerExBnk,     26428.90,     26548.65,     26737.15,     26380.50,     26459.60,30.7
,Nifty Housing,     10937.35,     10963.95,     11003.30,     10865.00,     10899.00,-38.35
,Nifty IPO,      1835.60,      1837.30,      1843.60,      1814.20,      1818.00,-17.6
,Nifty MS Fin Serv,     14873.75,     14993.45,     15205.70,     14892.45,     14961.35,87.6
,Nifty MS Ind Cons,     18456.50,     18498.85,     18573.40,     18281.05,     18359.35,-97.15
,Nifty MS IT Telcm,      9269.40,      9307.40,      9376.95,      9112.20,      9146.75,-122.65
,Nifty NonCyc Cons,     14959.65,     14956.25,     15140.90,     14874.30,     14951.20,-8.45
,Nifty Rural,     13951.55,     13968.90,     14024.60,     13832.65,     13900.85,-50.7
,Nifty Shariah 25,      7907.60,      7887.15,      7965.10,      7855.35,      7879.35,-28.25
,Nifty Trans Logis,     20422.30,     20447.40,     20477.60,     20121.55,     20212.40,-209.9
,Nifty50 Shariah,      4665.90,      4662.15,      4690.90,      4631.45,      4644.45,-21.45
,Nifty500 LMS Eql,     16084.80,     16132.80,     16222.40,     15996.60,     16047.25,-37.55
,Nifty500 Shariah,      6719.90,      6723.80,      6767.85,      6676.20,      6697.70,-22.2
,Nifty500 Qlty50,     17509.70,     17561.25,     17660.55,     17345.20,     17428.50,-81.2
,Nifty500 LowVol50,     20146.45,     20108.35,     20207.15,     19979.35,     20057.90,-88.55
,Nifty500 MQVLv50,     28671.85,     28700.70,     28871.50,     28467.05,     28559.20,-112.65

,ADVANCES,1086
,DECLINES,1811
,UNCHANGED,55

,Total securities that have hit their price bands today,285

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BSE,EQ,      4684.35,      5479.80,16.98,10043.58
,HDFCBANK,EQ,      1825.35,      1828.20,0.16,2621.1
,RELIANCE,EQ,      1278.20,      1275.10,-0.24,2319.48
,M&M,EQ,      2733.00,      2665.80,-2.46,1615.58
,ZOMATO,EQ,       206.28,       201.70,-2.22,1529.98
,CDSL,EQ,      1187.70,      1220.05,2.72,1439.31
,HAL,EQ,      4160.95,      4177.45,0.4,1393.67
,ASTERDM,EQ,       453.35,       483.50,6.65,1285.87
,ICICIBANK,EQ,      1336.65,      1348.35,0.88,1112.59
,TATAMOTORS,EQ,       668.55,       674.45,0.88,1082.07
,INFY,EQ,      1603.55,      1570.65,-2.05,1071.82
,CGCL,EQ,       164.90,       170.21,3.22,1054.28
,BAJFINANCE,EQ,      9003.85,      8945.60,-0.65,873.14
,TRENT,EQ,      5422.30,      5325.15,-1.79,829.56
,ONGC,EQ,       242.17,       246.38,1.74,826.33
,MAZDOCK,EQ,      2695.35,      2643.80,-1.91,814.96
,KOTAKBANK,EQ,      2128.65,      2171.20,2,795.79
,BEML,EQ,      3140.40,      3219.55,2.52,750.3
,TCS,EQ,      3651.20,      3606.15,-1.23,741.51
,BHARTIARTL,EQ,      1724.70,      1733.40,0.5,715.39
,JIOFIN,EQ,       225.78,       227.51,0.77,695.51
,BEL,EQ,       300.65,       301.32,0.22,631.82
,MARUTI,EQ,     11721.95,     11522.15,-1.7,625.85
,NHPC,EQ,        81.28,        82.20,1.13,611.72
,SBIN,EQ,       772.30,       771.50,-0.1,589.89

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATACONSUM,EQ,      1001.90,       973.55,2.91
,KOTAKBANK,EQ,      2171.20,      2128.65,2
,BRITANNIA,EQ,      4936.90,      4841.20,1.98
