,04-Apr-2025
The Nifty witnessed an intraday movement of about 357.25 points.The closing index was 1.49 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 103513.15
, Traded Quantity (in Lakhs), 37733.3
, Number of Trades, 39174451
, Total Market Capitalisation (Rs. Crores), 40110381.47

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     23250.10,     23190.40,     23214.70,     22857.45,     22904.45,-345.65
,NIFTY50 EQL Wgt,     29185.55,     29067.75,     29090.05,     28474.50,     28550.75,-634.8
,NIFTY100 EQL Wgt,     30301.30,     30227.50,     30270.90,     29465.35,     29573.75,-727.55
,NIFTY100 LowVol30,     18641.10,     18572.85,     18596.45,     18308.30,     18378.55,-262.55
,NIFTY Alpha 50,     46382.85,     46209.90,     46286.35,     44390.55,     44696.00,-1686.85
,NIFTY MIDCAP 150,     19238.40,     19198.15,     19211.75,     18567.10,     18675.30,-563.1
,NIFTY SMLCAP 50,      7804.30,      7790.70,      7804.85,      7471.35,      7522.50,-281.8
,NIFTY SMLCAP 250,     15285.45,     15263.35,     15281.55,     14671.50,     14780.50,-504.95
,NIFTY MIDSML 400,     17823.20,     17790.00,     17796.50,     17168.75,     17277.95,-545.25
,NIFTY200 QUALTY30,     18936.00,     18846.00,     18873.65,     18496.10,     18579.25,-356.75
,Nifty FinSrv25 50,     26458.30,     26482.30,     26561.45,     26291.25,     26364.90,-93.4
,NIFTY AlphaLowVol,     25114.40,     25042.45,     25092.85,     24515.55,     24608.80,-505.6
,Nifty200Momentm30,     27804.60,     27720.35,     27727.80,     26839.25,     26935.10,-869.5
,Nifty100ESGSecLdr,      3872.85,      3867.25,      3871.95,      3799.70,      3809.05,-63.8
,NIFTY100 ESG,      4540.60,      4531.45,      4534.95,      4443.15,      4456.10,-84.5
,NIFTY M150 QLTY50,     21907.65,     21806.75,     21851.85,     21143.05,     21252.85,-654.8
,NIFTY INDIA MFG,     13066.15,     13027.50,     13028.90,     12526.35,     12573.20,-492.95
,Nifty200 Alpha 30,     22384.90,     22362.30,     22376.85,     21733.65,     21827.10,-557.8
,NiftyM150Momntm50,     55473.25,     55345.05,     55406.10,     53321.70,     53636.95,-1836.3
,Nifty IT,     34757.25,     34224.60,     34361.65,     33418.65,     33511.40,-1245.85
,Nifty Next 50,     63104.30,     63090.05,     63330.95,     61162.00,     61468.70,-1635.6
,Nifty Bank,     51597.35,     51711.60,     51893.60,     51360.40,     51502.70,-94.65
,NIFTY MIDCAP 100,     52162.15,     52044.20,     52059.90,     50349.80,     50645.95,-1516.2
,Nifty 500,     21243.40,     21199.20,     21212.10,     20736.80,     20805.35,-438.05
,Nifty 100,     23833.30,     23781.75,     23801.45,     23375.25,     23433.25,-400.05
,Nifty Midcap 50,     14659.90,     14634.10,     14637.85,     14169.70,     14238.75,-421.15
,Nifty Realty,       853.80,       851.30,       853.25,       814.55,       823.05,-30.75
,Nifty Infra,      8455.15,      8448.40,      8451.00,      8207.05,      8231.65,-223.5
