,29-Apr-2025
The Nifty witnessed an intraday movement of about 166.9 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 102696.54
, Traded Quantity (in Lakhs), 31128.3
, Number of Trades, 32358973
, Total Market Capitalisation (Rs. Crores), 42367215.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24328.50,     24370.70,     24457.65,     24290.75,     24335.95,7.45
,NIFTY50 EQL Wgt,     30314.80,     30400.30,     30472.70,     30201.50,     30271.90,-42.9
,NIFTY100 EQL Wgt,     31293.10,     31415.20,     31517.50,     31200.10,     31234.65,-58.45
,NIFTY100 LowVol30,     19467.65,     19505.00,     19546.10,     19409.10,     19441.20,-26.45
,NIFTY Alpha 50,     47852.45,     48095.95,     48453.50,     47914.80,     48219.85,367.4
,NIFTY MIDCAP 150,     19966.70,     20032.70,     20163.00,     19962.90,     20009.05,42.35
,NIFTY SMLCAP 50,      8070.20,      8119.45,      8184.60,      8066.80,      8091.20,21
,NIFTY SMLCAP 250,     15607.15,     15679.50,     15795.65,     15617.30,     15639.70,32.55
,NIFTY MIDSML 400,     18392.50,     18461.85,     18586.50,     18395.00,     18431.30,38.8
,NIFTY200 QUALTY30,     19821.70,     19856.15,     19960.75,     19808.85,     19885.90,64.2
,Nifty FinSrv25 50,     27996.50,     28037.95,     28175.70,     27848.60,     27904.25,-92.25
,NIFTY AlphaLowVol,     26261.75,     26299.30,     26324.65,     26124.20,     26212.95,-48.8
,Nifty200Momentm30,     29141.90,     29268.10,     29416.10,     29185.95,     29367.70,225.8
,Nifty100ESGSecLdr,      4056.25,      4065.30,      4078.95,      4048.45,      4057.10,.85
,NIFTY100 ESG,      4734.55,      4748.80,      4762.90,      4718.50,      4727.35,-7.2
,NIFTY M150 QLTY50,     22837.20,     22889.05,     23023.30,     22863.55,     22969.20,132
,NIFTY INDIA MFG,     13517.40,     13563.75,     13625.75,     13509.45,     13541.40,24
,Nifty200 Alpha 30,     23363.30,     23457.10,     23593.70,     23335.45,     23415.30,52
,NiftyM150Momntm50,     57967.30,     58192.35,     58582.95,     58015.25,     58113.35,146.05
,Nifty IT,     35482.95,     35565.75,     36157.20,     35416.90,     35920.40,437.45
,Nifty Next 50,     65043.45,     65349.60,     65587.30,     64822.45,     64892.35,-151.1
,Nifty Bank,     55432.80,     55524.35,     55957.75,     55262.40,     55391.25,-41.55
,NIFTY MIDCAP 100,     54440.25,     54613.70,     55022.60,     54461.00,     54587.95,147.7
,Nifty 500,     22101.85,     22160.75,     22255.90,     22084.55,     22112.40,10.55
,Nifty 100,     24874.00,     24929.80,     25016.50,     24834.35,     24870.40,-3.6
,Nifty Midcap 50,     15404.95,     15444.90,     15559.30,     15409.70,     15442.30,37.35
,Nifty Realty,       871.50,       871.30,       880.35,       865.90,       869.25,-2.25
,Nifty Infra,      8759.85,      8789.60,      8843.20,      8756.25,      8763.85,4
,Nifty Energy,     34538.85,     34656.90,     34889.55,     34352.25,     34438.75,-100.1
,Nifty FMCG,     56620.30,     56693.80,     56744.50,     56246.30,     56474.50,-145.8
,Nifty MNC,     26922.70,     26972.45,     27075.15,     26845.55,     26910.00,-12.7
,Nifty Pharma,     21908.10,     21948.10,     21980.85,     21567.20,     21676.65,-231.45
,Nifty PSE,      9650.20,      9687.85,      9751.05,      9611.15,      9634.50,-15.7
,Nifty PSU Bank,      6695.00,      6745.70,      6845.40,      6670.90,      6691.40,-3.6
,Nifty Serv Sector,     32208.35,     32256.55,     32380.50,     32107.90,     32195.30,-13.05
,India VIX,16.9400,16.9400,17.5850,16.0650,17.3700,0.4300
,Nifty Auto,     22352.95,     22442.65,     22584.10,     22216.55,     22299.05,-53.9
,Nifty Metal,      8689.90,      8711.30,      8762.40,      8596.05,      8607.15,-82.75
,Nifty Media,      1559.95,      1568.35,      1578.40,      1544.55,      1547.65,-12.3
,NIFTY SMLCAP 100,     16676.90,     16772.10,     16900.20,     16695.10,     16738.70,61.8
,Nifty 200,     13464.60,     13496.90,     13551.45,     13451.05,     13469.00,4.4
,Nifty Div Opps 50,      5920.50,      5936.55,      5957.90,      5902.55,      5910.30,-10.2
,Nifty Commodities,      8617.35,      8649.50,      8669.60,      8550.60,      8558.20,-59.15
,Nifty Consumption,     11323.80,     11352.95,     11380.90,     11281.10,     11309.00,-14.8
,Nifty Fin Service,     26291.65,     26313.50,     26447.20,     26133.85,     26193.85,-97.8
,Nifty50 Div Point,         4.22,         4.22,         4.22,         4.22,         4.22,0
,Nifty100 Liq 15,      6760.60,      6775.15,      6821.30,      6754.30,      6773.30,12.7
,Nifty CPSE,      6308.35,      6330.05,      6359.55,      6266.55,      6283.00,-25.35
,Nifty GrowSect 15,     11146.95,     11175.85,     11188.00,     11082.65,     11128.95,-18
,Nifty50 PR 2x Lev,     13303.60,     13347.60,     13441.85,     13260.50,     13309.60,6
,Nifty50 PR 1x Inv,       208.45,       208.10,       208.80,       207.40,       208.40,-.05
,Nifty50 TR 2x Lev,     19521.55,     19586.10,     19724.40,     19458.25,     19530.35,8.8
,Nifty50 TR 1x Inv,       172.25,       172.00,       172.55,       171.35,       172.20,-.05
,Nifty50 Value 20,     12673.25,     12696.95,     12728.75,     12613.25,     12652.00,-21.25
,Nifty Mid Liq 15,     14030.35,     14086.60,     14227.05,     14028.20,     14055.80,25.45
,Nifty Pvt Bank,     27578.20,     27613.50,     27819.35,     27459.95,     27513.90,-64.3
,NIFTY100 Qualty30,      5369.80,      5381.95,      5402.40,      5356.60,      5387.40,17.6
,Nifty GS 8 13Yr,      2898.03,      2898.56,      2912.22,      2898.54,      2909.44,11.41
,Nifty GS 10Yr,      2561.45,      2561.92,      2574.71,      2561.90,      2571.60,10.15
,Nifty GS 10Yr Cln,       912.65,       912.65,       917.22,       912.64,       916.11,3.46
,Nifty GS 4 8Yr,      3120.36,      3120.93,      3129.54,      3120.88,      3128.94,8.58
,Nifty GS 11 15Yr,      3232.70,      3233.30,      3248.35,      3233.28,      3247.37,14.67
,Nifty GS 15YrPlus,      3546.30,      3546.97,      3567.20,      3546.96,      3567.20,20.9
,Nifty GS Compsite,      3003.58,      3004.14,      3017.47,      3004.12,      3016.47,12.89
,NIFTY HEALTHCARE,     14116.25,     14149.50,     14171.95,     13933.85,     13992.20,-124.05
,NIFTY CONSR DURBL,     37196.60,     37349.05,     37566.85,     37293.35,     37426.40,229.8
,NIFTY OIL AND GAS,     11132.10,     11160.40,     11259.40,     11153.60,     11184.50,52.4
,NIFTY500 MULTICAP,     15214.90,     15262.20,     15340.25,     15208.95,     15229.85,14.95
,NIFTY LARGEMID250,     15400.70,     15443.50,     15519.75,     15391.15,     15416.05,15.35
,NIFTY MID SELECT,     12200.40,     12243.50,     12327.40,     12182.50,     12195.00,-5.4
,NIFTY TOTAL MKT,     12413.45,     12446.60,     12502.20,     12403.75,     12418.55,5.1
,NIFTY MICROCAP250,     21442.90,     21504.60,     21716.00,     21391.60,     21416.45,-26.45
,NIFTY IND DIGITAL,      8360.00,      8378.00,      8451.20,      8353.50,      8413.85,53.85
,Nifty Tata 25 Cap,     14905.95,     14950.30,     15060.65,     14899.95,     14991.80,85.85
,Nifty MidSml Hlth,     41105.25,     41234.10,     41355.45,     40699.40,     40839.35,-265.9
,Nifty Multi Mfg,     14271.55,     14318.45,     14384.60,     14256.90,     14295.60,24.05
,Nifty Multi Infra,     13426.75,     13473.85,     13561.15,     13421.15,     13440.80,14.05
,BHARATBOND-APR30,      1506.95,      1507.25,      1507.72,      1507.23,      1507.72,.77
,BHARATBOND-APR31,      1377.75,      1378.01,      1378.25,      1378.00,      1378.25,.5
,BHARATBOND-APR32,      1258.98,      1259.22,      1259.22,      1259.07,      1259.07,.09
,BHARATBOND-APR33,      1227.87,      1228.11,      1228.11,      1228.09,      1228.09,.22
,Nifty Ind Defence,      6912.90,      6962.80,      7293.35,      6954.20,      7260.60,347.7
,Nifty Ind Tourism,      9065.35,      9108.80,      9173.25,      9033.15,      9045.10,-20.25
,Nifty Capital Mkt,      3804.45,      3818.90,      3883.00,      3816.10,      3820.85,16.4
,Nifty500Momentm50,     49860.35,     50107.95,     50386.65,     49905.25,     50185.00,324.65
,NiftyMS400 MQ 100,     46307.75,     46468.30,     46802.70,     46389.30,     46493.20,185.45
,NiftySml250MQ 100,     42839.20,     43060.00,     43335.00,     42851.80,     42933.00,93.8
,Nifty Top 10 EW,      9564.75,      9572.85,      9625.05,      9564.60,      9578.25,13.5
,Nifty AQL 30,     21613.15,     21656.00,     21703.10,     21546.00,     21632.45,19.3
,Nifty AQLV 30,     19760.30,     19800.05,     19858.35,     19715.35,     19766.30,6
,Nifty EV,      2725.80,      2737.25,      2756.25,      2726.65,      2739.40,13.6
,Nifty HighBeta 50,      3483.90,      3500.90,      3531.40,      3473.45,      3476.85,-7.05
,Nifty New Consump,     10937.70,     10971.60,     11034.25,     10896.50,     10933.50,-4.2
,Nifty Corp MAATR,     34637.35,     34779.75,     34902.85,     34594.90,     34659.40,22.05
,Nifty Low Vol 50,     24601.40,     24639.95,     24681.20,     24511.20,     24563.55,-37.85
,Nifty Mobility,     19278.35,     19361.10,     19471.80,     19241.85,     19322.65,44.3
,Nifty Qlty LV 30,     16891.00,     16909.30,     16938.95,     16834.45,     16849.55,-41.45
,Nifty Sml250 Q50,     24721.95,     24800.25,     24967.55,     24683.90,     24761.10,39.15
,Nifty Top 15 EW,     10047.65,     10063.70,     10104.25,     10038.30,     10048.60,.95
,Nifty100 Alpha 30,     17093.30,     17157.85,     17213.45,     17048.50,     17122.70,29.4
,Nifty100 Enh ESG,      4769.55,      4783.95,      4798.25,      4753.65,      4762.55,-7
,Nifty200 Value 30,     12669.40,     12716.65,     12799.95,     12579.40,     12594.45,-74.95
,Nifty500 EW,     13128.95,     13179.70,     13269.15,     13127.70,     13146.50,17.55
,Nifty Multi MQ 50,     39405.65,     39566.25,     39915.90,     39550.00,     39860.05,454.4
