,02-May-2025
The Nifty witnessed an intraday movement of about 350.65 points.The closing index was 0.05 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 100895.16
, Traded Quantity (in Lakhs), 29739.97
, Number of Trades, 35535581
, Total Market Capitalisation (Rs. Crores), 42069142.5

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24334.20,     24311.90,     24589.15,     24238.50,     24346.70,12.5
,NIFTY50 EQL Wgt,     30209.55,     30144.35,     30528.50,     29974.15,     30128.15,-81.4
,NIFTY100 EQL Wgt,     31123.15,     31075.75,     31413.95,     30899.15,     31038.75,-84.4
,NIFTY100 LowVol30,     19474.85,     19426.80,     19595.45,     19287.10,     19383.45,-91.4
,NIFTY Alpha 50,     47670.80,     47648.65,     47995.55,     47148.90,     47218.55,-452.25
,NIFTY MIDCAP 150,     19873.15,     19836.95,     20024.65,     19690.10,     19738.10,-135.05
,NIFTY SMLCAP 50,      7943.40,      7956.90,      8029.85,      7903.40,      7934.25,-9.15
,NIFTY SMLCAP 250,     15359.45,     15365.65,     15495.05,     15221.20,     15354.35,-5.1
,NIFTY MIDSML 400,     18234.60,     18215.40,     18371.20,     18106.00,     18151.50,-83.1
,NIFTY200 QUALTY30,     19791.95,     19744.40,     19919.40,     19612.30,     19659.70,-132.25
,Nifty FinSrv25 50,     27822.00,     27823.40,     28089.45,     27722.30,     27821.35,-.65
,NIFTY AlphaLowVol,     26230.00,     26176.35,     26407.20,     26001.00,     26137.50,-92.5
,Nifty200Momentm30,     29270.60,     29180.70,     29613.75,     29062.05,     29190.80,-79.8
,Nifty100ESGSecLdr,      4055.95,      4052.60,      4101.60,      4041.90,      4058.50,2.55
,NIFTY100 ESG,      4716.05,      4710.70,      4766.45,      4691.00,      4712.95,-3.1
,NIFTY M150 QLTY50,     22892.50,     22883.95,     23061.05,     22767.55,     22793.30,-99.2
,NIFTY INDIA MFG,     13505.35,     13489.90,     13654.95,     13403.60,     13458.65,-46.7
,Nifty200 Alpha 30,     23278.50,     23173.05,     23477.50,     23038.55,     23129.95,-148.55
,NiftyM150Momntm50,     57721.15,     57599.85,     58297.70,     57095.90,     57190.35,-530.8
,Nifty IT,     35794.95,     35868.50,     36300.60,     35637.40,     35891.85,96.9
,Nifty Next 50,     64508.85,     64471.65,     65123.45,     64156.05,     64429.75,-79.1
,Nifty Bank,     55087.15,     55100.95,     55691.95,     54994.40,     55115.35,28.2
,NIFTY MIDCAP 100,     54124.90,     54004.95,     54593.35,     53563.90,     53705.10,-419.8
,Nifty 500,     22030.05,     22009.95,     22238.90,     21920.85,     22006.00,-24.05
,Nifty 100,     24843.80,     24822.45,     25098.40,     24740.30,     24849.20,5.4
,Nifty Midcap 50,     15314.10,     15269.85,     15441.00,     15133.70,     15176.35,-137.75
,Nifty Realty,       885.85,       879.25,       895.05,       873.35,       881.55,-4.3
,Nifty Infra,      8785.85,      8776.35,      8892.75,      8745.05,      8794.50,8.65
,Nifty Energy,     34241.60,     34206.05,     34600.65,     33990.60,     34138.75,-102.85
,Nifty FMCG,     56445.35,     56242.15,     56588.30,     55875.80,     56252.25,-193.1
,Nifty MNC,     27015.70,     26968.55,     27107.95,     26816.45,     26904.90,-110.8
,Nifty Pharma,     21772.45,     21729.90,     21863.00,     21495.05,     21627.45,-145
,Nifty PSE,      9559.00,      9541.60,      9691.70,      9499.40,      9529.05,-29.95
,Nifty PSU Bank,      6542.25,      6546.05,      6624.75,      6512.45,      6554.45,12.2
,Nifty Serv Sector,     32175.60,     32138.15,     32520.15,     32073.85,     32205.95,30.35
,India VIX,18.2225,18.2225,18.8625,17.3500,18.2575,0.0350
,Nifty Auto,     22308.40,     22323.25,     22687.95,     22198.35,     22286.50,-21.9
,Nifty Metal,      8581.80,      8590.15,      8714.55,      8458.60,      8518.40,-63.4
,Nifty Media,      1513.90,      1518.50,      1528.50,      1499.75,      1521.35,7.45
,NIFTY SMLCAP 100,     16448.85,     16476.65,     16620.20,     16351.00,     16441.80,-7.05
,Nifty 200,     13438.15,     13423.60,     13572.20,     13368.50,     13423.50,-14.65
,Nifty Div Opps 50,      5880.15,      5877.20,      5942.55,      5842.90,      5878.20,-1.95
,Nifty Commodities,      8515.50,      8511.60,      8621.55,      8440.10,      8486.70,-28.8
,Nifty Consumption,     11316.55,     11260.15,     11437.70,     11228.60,     11281.80,-34.75
,Nifty Fin Service,     26113.55,     26121.65,     26354.85,     26067.55,     26151.75,38.2
,Nifty50 Div Point,         4.22,         4.22,         4.22,         4.22,         4.22,0
,Nifty100 Liq 15,      6742.85,      6717.60,      6829.60,      6715.25,      6772.55,29.7
,Nifty CPSE,      6260.05,      6225.60,      6307.80,      6172.90,      6195.90,-64.15
,Nifty GrowSect 15,     11159.60,     11162.20,     11279.50,     11087.00,     11132.70,-26.9
,Nifty50 PR 2x Lev,     13305.55,     13276.75,     13579.40,     13197.35,     13314.80,9.25
,Nifty50 PR 1x Inv,       208.45,       208.75,       209.35,       206.35,       208.45,0
,Nifty50 TR 2x Lev,     19524.40,     19482.15,     19926.25,     19365.65,     19538.00,13.6
,Nifty50 TR 1x Inv,       172.25,       172.45,       173.00,       170.50,       172.25,0
,Nifty50 Value 20,     12615.05,     12599.55,     12776.00,     12575.65,     12644.05,29
,Nifty Mid Liq 15,     13914.75,     13866.60,     14090.40,     13787.85,     13830.95,-83.8
,Nifty Pvt Bank,     27450.30,     27437.25,     27774.90,     27343.10,     27396.40,-53.9
,NIFTY100 Qualty30,      5384.30,      5372.85,      5416.15,      5334.75,      5353.55,-30.75
,Nifty GS 8 13Yr,      2907.07,      2907.61,      2910.38,      2906.23,      2908.74,1.67
,Nifty GS 10Yr,      2569.41,      2569.88,      2572.14,      2567.67,      2570.65,1.24
,Nifty GS 10Yr Cln,       914.99,       914.99,       915.80,       914.20,       915.27,.28
,Nifty GS 4 8Yr,      3129.61,      3130.19,      3130.78,      3129.57,      3130.36,.75
,Nifty GS 11 15Yr,      3243.82,      3244.42,      3246.99,      3244.24,      3246.71,2.89
,Nifty GS 15YrPlus,      3560.83,      3561.50,      3563.73,      3559.34,      3563.23,2.4
,Nifty GS Compsite,      3013.63,      3014.18,      3016.66,      3013.28,      3015.59,1.96
,NIFTY HEALTHCARE,     14053.60,     14009.85,     14160.80,     13885.65,     13968.25,-85.35
,NIFTY CONSR DURBL,     37097.95,     36958.60,     37104.70,     36479.95,     36583.30,-514.65
,NIFTY OIL AND GAS,     11179.55,     11196.40,     11358.55,     11176.25,     11261.05,81.5
,NIFTY500 MULTICAP,     15127.35,     15115.40,     15260.95,     15049.60,     15101.80,-25.55
,NIFTY LARGEMID250,     15355.15,     15334.50,     15492.10,     15252.25,     15304.40,-50.75
,NIFTY MID SELECT,     12075.30,     12036.00,     12221.00,     11940.85,     11977.00,-98.3
,NIFTY TOTAL MKT,     12364.25,     12353.25,     12479.35,     12303.95,     12350.80,-13.45
,NIFTY MICROCAP250,     20950.55,     20945.60,     21110.70,     20709.35,     20932.35,-18.2
,NIFTY IND DIGITAL,      8418.05,      8381.60,      8529.30,      8354.85,      8391.30,-26.75
,Nifty Tata 25 Cap,     14780.95,     14769.15,     14957.10,     14701.00,     14772.05,-8.9
,Nifty MidSml Hlth,     40811.60,     40762.70,     41018.95,     40362.45,     40472.80,-338.8
,Nifty Multi Mfg,     14238.40,     14230.25,     14407.30,     14152.65,     14219.85,-18.55
,Nifty Multi Infra,     13410.70,     13381.60,     13541.90,     13317.55,     13375.00,-35.7
,BHARATBOND-APR30,      1509.12,      1509.42,      1509.42,      1509.10,      1509.10,-.02
,BHARATBOND-APR31,      1379.64,      1379.90,      1379.90,      1379.29,      1379.29,-.35
,BHARATBOND-APR32,      1260.00,      1260.24,      1260.24,      1260.23,      1260.23,.23
,BHARATBOND-APR33,      1227.83,      1228.07,      1228.07,      1228.05,      1228.05,.22
,Nifty Ind Defence,      7128.80,      7120.80,      7192.55,      7025.30,      7038.45,-90.35
,Nifty Ind Tourism,      8956.15,      8941.40,      9075.40,      8938.25,      8980.85,24.7
,Nifty Capital Mkt,      3734.65,      3733.20,      3777.15,      3707.05,      3713.25,-21.4
,Nifty500Momentm50,     49767.60,     49675.50,     50416.55,     49565.45,     49682.70,-84.9
,NiftyMS400 MQ 100,     45939.60,     45895.15,     46328.90,     45544.65,     45610.30,-329.3
,NiftySml250MQ 100,     42236.75,     42298.90,     42589.20,     41874.45,     42169.80,-66.95
,Nifty Top 10 EW,      9611.30,      9605.50,      9714.95,      9577.85,      9617.40,6.1
,Nifty AQL 30,     21608.25,     21551.80,     21701.35,     21376.75,     21452.35,-155.9
,Nifty AQLV 30,     19722.50,     19688.80,     19842.95,     19531.30,     19595.70,-126.8
,Nifty EV,      2722.90,      2718.40,      2755.40,      2707.20,      2716.95,-5.95
,Nifty HighBeta 50,      3432.60,      3434.05,      3485.05,      3418.70,      3429.15,-3.45
,Nifty New Consump,     10917.45,     10862.75,     11035.60,     10825.45,     10864.70,-52.75
,Nifty Corp MAATR,     34494.20,     34637.15,     35073.90,     34425.60,     34582.80,88.6
,Nifty Low Vol 50,     24615.70,     24557.65,     24752.25,     24352.35,     24451.00,-164.7
,Nifty Mobility,     19311.95,     19262.00,     19677.20,     19244.85,     19414.60,102.65
,Nifty Qlty LV 30,     16871.85,     16826.40,     16940.10,     16689.30,     16754.95,-116.9
,Nifty Sml250 Q50,     24389.55,     24373.60,     24614.70,     24147.10,     24321.60,-67.95
,Nifty Top 15 EW,     10051.70,     10047.60,     10171.40,     10030.75,     10084.40,32.7
,Nifty100 Alpha 30,     17070.10,     16992.85,     17252.45,     16952.65,     17063.20,-6.9
,Nifty100 Enh ESG,      4750.90,      4745.65,      4801.85,      4725.90,      4747.95,-2.95
,Nifty200 Value 30,     12489.20,     12488.80,     12680.90,     12423.90,     12494.20,5
,Nifty500 EW,     12992.10,     12984.80,     13092.55,     12913.95,     12963.40,-28.7
,Nifty Multi MQ 50,     39327.35,     39345.05,     39687.50,     39087.95,     39162.20,-165.15
,Nifty500 Value 50,     13437.85,     13437.20,     13652.05,     13390.75,     13469.35,31.5
,Nifty Top 20 EW,      8977.55,      8970.00,      9074.55,      8951.70,      8997.50,19.95
,Nifty CoreHousing,     15430.35,     15396.20,     15519.30,     15239.50,     15317.65,-112.7
,Nifty FinSerExBnk,     27234.80,     27203.90,     27500.50,     27034.10,     27244.85,10.05
,Nifty Housing,     11040.80,     11019.60,     11134.70,     10932.05,     10969.50,-71.3
,Nifty IPO,      1836.80,      1835.20,      1852.10,      1824.95,      1835.70,-1.1
,Nifty MS Fin Serv,     16167.35,     16168.40,     16332.70,     16052.90,     16094.25,-73.1
,Nifty MS Ind Cons,     19029.50,     18954.50,     19062.40,     18725.30,     18775.75,-253.75
,Nifty MS IT Telcm,      9344.75,      9309.35,      9449.10,      9243.65,      9266.50,-78.25
,Nifty NonCyc Cons,     15782.05,     15677.30,     15879.75,     15631.45,     15704.25,-77.8
,Nifty Rural,     14429.65,     14403.85,     14552.10,     14309.90,     14391.35,-38.3
,Nifty Shariah 25,      8078.05,      8060.20,      8141.40,      8002.70,      8042.20,-35.85
,Nifty Trans Logis,     21319.25,     21241.35,     21723.40,     21241.35,     21406.75,87.5
,Nifty50 Shariah,      4720.95,      4713.45,      4755.35,      4672.70,      4698.95,-22
,Nifty500 LMS Eql,     16522.95,     16510.30,     16661.20,     16432.65,     16484.55,-38.4
,Nifty500 Shariah,      6812.75,      6804.90,      6863.70,      6758.60,      6787.00,-25.75
,Nifty500 Qlty50,     17847.60,     17831.35,     18005.40,     17729.20,     17758.40,-89.2
,Nifty500 LowVol50,     20844.30,     20804.20,     20981.40,     20664.95,     20786.15,-58.15
,Nifty500 MQVLv50,     29608.50,     29603.50,     29893.00,     29483.20,     29610.00,1.5

,ADVANCES,1163
,DECLINES,1677
,UNCHANGED,75

,Total securities that have hit their price bands today,152

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SONATSOFTW,EQ,       421.55,       420.65,-0.21,2531.32
,RELIANCE,EQ,      1405.00,      1422.40,1.24,2489.41
,ETERNAL,EQ,       232.52,       234.29,0.76,2456.25
,MAZDOCK,EQ,      3057.60,      2996.60,-2,2416.06
,HDFCBANK,EQ,      1925.00,      1925.00,0,2202.08
,BAJFINANCE,EQ,      8634.50,      8862.50,2.64,1924.62
,BSE,EQ,      6359.00,      6306.50,-0.83,1638.16
,ICICIBANK,EQ,      1427.00,      1432.40,0.38,1546.18
,ADANIPORTS,EQ,      1216.50,      1267.10,4.16,1531.2
,RAILTEL,EQ,       296.05,       316.00,6.74,1425.76
,SBIN,EQ,       788.65,       800.00,1.44,1368.57
,INFY,EQ,      1500.10,      1506.80,0.45,1318.21
,NEWGEN,EQ,       986.55,      1005.75,1.95,1057.2
,BHARTIARTL,EQ,      1864.50,      1851.90,-0.68,1025.52
,M&M,EQ,      2928.80,      2926.20,-0.09,999.51
,MARUTI,EQ,     12257.00,     12406.00,1.22,984.44
,HAL,EQ,      4487.90,      4492.40,0.1,912.36
,TATAMOTORS,EQ,       644.25,       652.00,1.2,857.77
,FORCEMOT,EQ,      8914.00,     10062.50,12.88,795.77
,AXISBANK,EQ,      1185.00,      1182.20,-0.24,783.88
,INDUSINDBK,EQ,       838.40,       853.00,1.74,774.54
,JSWSTEEL,EQ,      1029.80,       973.20,-5.5,773.15
,PNBHOUSING,EQ,      1010.20,      1052.00,4.14,766.59
,INDUSTOWER,EQ,       408.20,       379.30,-7.08,759.5
,TIMKEN,EQ,      2452.50,      2728.40,11.25,755.78

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ADANIPORTS,EQ,      1267.10,      1216.50,4.16
,BAJFINANCE,EQ,      8862.50,      8634.50,2.64
,INDUSINDBK,EQ,       853.00,       838.40,1.74
,SBIN,EQ,       800.00,       788.65,1.44
,RELIANCE,EQ,      1422.40,      1405.00,1.24

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JSWSTEEL,EQ,       973.20,      1029.80,-5.5
,BAJAJ-AUTO,EQ,      7836.50,      8030.00,-2.41
,EICHERMOT,EQ,      5437.50,      5567.00,-2.33
,HEROMOTOCO,EQ,      3740.50,      3827.40,-2.27
,HDFCLIFE,EQ,       727.75,       743.70,-2.14

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,1003ISFL28,N4,       990.00,                   113750.00,115
,1015ECL29,NR,       990.00,                   566562.35,572
,1015SCL29T,N1,       975.00,                    38025.00,39
,1018GS2026,GS,       106.90,                   354907.50,3321
,1025SCL34B,N1,       980.00,                    58800.00,60
,1025SCL35A,N1,       885.00,                    12390.00,14
,1025UCL26A,N1,       995.05,                      995.05,1
,1040NFL26,NA,       998.00,                    16966.10,17
,1050IIFL29,ND,      1045.00,                    52250.00,50
,1050UCL25,N7,      1000.00,                   569474.00,570
,1060ECL29,NS,      1003.02,                    64214.00,64
,1065NFL27,NC,       998.66,                  1222021.00,1223
,1075UCL25,N9,      1008.60,                    32258.36,32
,10CAGL27,N5,      1015.20,                    25380.00,25
,10IFSL26,N7,       980.20,                     9802.00,10
,10IIFL28,N4,      1024.00,                  3478186.50,3435
,10IIFL28A,NE,       970.00,                   218572.00,225
,10NFL25,N9,       997.05,                    11983.85,12
,12VCCL29B,N0,     97999.86,                    97999.86,1
,182D070825,TB,        98.31,                    98180.00,1000
,182D190625,TB,        98.85,                    49436.00,500
,182D240725,TB,        98.35,                    98356.00,1000
,20MICRONS,EQ,       208.52,                 12670080.27,60379
,21STCENMGM,EQ,        72.10,                    84476.93,1164
,360ONE,EQ,       946.85,                471779221.75,493439
,364D050226,TB,        95.22,                   238050.00,2500
,364D080525,TB,        99.87,                   129831.00,1300
,364D110925,TB,        97.96,                    29388.00,300
,364D120625,TB,        99.18,                     9918.00,100
,364D161025,TB,        96.73,                   241848.00,2500
,364D181225,TB,        95.58,                   191198.00,2000
,364D190625,TB,        99.38,                    19842.00,200
,364D290126,TB,        95.27,                     9527.00,100
,364D301025,TB,        96.71,                     9671.00,100
,364D310725,TB,        98.23,                     9823.00,100
,3IINFOLTD,EQ,        23.28,                 13886848.07,582786
,3MINDIA,EQ,     29755.00,                 85816945.00,2860
,3PLAND,EQ,        44.32,                   868634.82,19952
,515GS2025,GS,       101.20,                    50600.00,500
,563GS2026,GS,        99.70,                    10211.78,103
,574GS2026,GS,       101.11,                     4044.40,40
,577GS2030,GS,        96.90,                    96870.00,1000
,5PAISA,EQ,       364.70,                 10826033.75,29366
,63MOONS,EQ,       649.75,                109987498.95,166402
,654GS2032,GS,       102.83,                  5588183.90,54429
,664GS2035,GS,       103.55,                      207.10,2
,675GS2029,GS,       105.00,                      105.00,1
,676GS2061,GS,       101.70,                    25425.00,250
,695GS2061,GS,       106.00,                      317.90,3
,699GS2051,GS,       103.80,                    51900.95,500
,702GS2027,GS,       102.00,                   483144.00,4722
,702GS2031,GS,       105.06,                   399228.00,3800
,704GS2029,GS,       105.20,                    73640.00,700
,706GS2028,GS,       103.15,                   793530.00,7700
,709GS2054,GS,       105.35,                   634420.50,6000
,709GS2074,GS,       106.90,                  5327479.18,50200
,710GS2029,GS,       103.78,                  3370665.73,32503
,717GS2030,GS,       104.25,                    83504.25,801
,718GS2033,GS,       107.20,                 34668920.00,326900
,718GS2037,GS,       108.50,                  9244776.57,85210
,71GS2034,GS,       105.60,                    32041.80,303
,723GJ27,SG,       105.00,                   210000.00,2000
,725GR2028,GS,       100.00,                      100.00,1
,725GS2063,GS,       109.00,                  3274577.95,29995
,726GS2029,GS,       107.05,                     2141.00,20
,726GS2033,GS,       106.11,                      106.11,1
,727GS2026,GS,       104.50,                      104.50,1
,729IRFC26,NN,      1050.00,                     5250.00,5
,732GS2030,GS,       106.75,                    64050.00,600
,732IRFC25,NI,      1046.15,                   109845.75,105
,733GS2026,GS,       101.56,                   800227.00,7900
,734GS2064,GS,       108.10,                 11029089.30,102184
,735NHAI31,N9,      1124.00,                  1115700.00,1000
,736NTPC25D,NB,      1040.00,                    53540.00,51
,737GS2028,GS,       104.23,                   246910.91,2369
,738GS2027,GS,       106.00,                 37820133.11,355915
,738REC27TF,N2,      1065.01,                  1065010.00,1000
,739NHAI26,N8,      1017.00,                   253193.00,249
,73GS2053,GS,       109.77,                     3924.81,36
,741GS2036,GS,       110.21,                  1542260.79,13973
,743REC35,NH,      1157.56,                    49775.08,43
,746GS2073,GS,       113.60,                    24325.80,214
,74GS2062,GS,       109.10,                   274885.26,2542
,751HUDCO28,N5,      1062.09,                   356871.88,336
,753IRFC30,NJ,      1125.55,                   113676.55,101
