,09-May-2025
The Nifty witnessed an intraday movement of about 228.5 points.The closing index was 1.1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 94550.76
, Traded Quantity (in Lakhs), 38760.13
, Number of Trades, 35231406
, Total Market Capitalisation (Rs. Crores), 41423496.14

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24273.80,     23935.75,     24164.25,     23935.75,     24008.00,-265.8
,NIFTY50 EQL Wgt,     29964.80,     29473.35,     29853.50,     29473.35,     29757.65,-207.15
,NIFTY100 EQL Wgt,     30574.40,     29999.85,     30464.55,     29997.70,     30411.90,-162.5
,NIFTY100 LowVol30,     19269.25,     19042.00,     19235.20,     19037.95,     19151.95,-117.3
,NIFTY Alpha 50,     46688.45,     45623.65,     46647.10,     45597.65,     46487.30,-201.15
,NIFTY MIDCAP 150,     19591.80,     19165.40,     19632.95,     19165.10,     19596.25,4.45
,NIFTY SMLCAP 50,      7799.10,      7603.00,      7758.95,      7601.30,      7736.55,-62.55
,NIFTY SMLCAP 250,     15180.45,     14787.20,     15116.60,     14783.70,     15080.45,-100
,NIFTY MIDSML 400,     17992.20,     17574.75,     17987.90,     17574.05,     17953.75,-38.45
,NIFTY200 QUALTY30,     19604.95,     19303.30,     19607.80,     19300.70,     19585.40,-19.55
,Nifty FinSrv25 50,     27598.75,     27146.10,     27408.25,     27045.55,     27113.60,-485.15
,NIFTY AlphaLowVol,     25854.00,     25517.40,     25762.15,     25517.40,     25718.35,-135.65
,Nifty200Momentm30,     29072.25,     28501.85,     28981.20,     28501.85,     28878.00,-194.25
,Nifty100ESGSecLdr,      4039.90,      3977.10,      4020.90,      3977.10,      3995.05,-44.85
,NIFTY100 ESG,      4680.05,      4599.10,      4658.80,      4599.10,      4643.60,-36.45
,NIFTY M150 QLTY50,     22778.55,     22280.75,     22833.45,     22277.90,     22797.60,19.05
,NIFTY INDIA MFG,     13359.75,     13118.75,     13384.45,     13116.40,     13366.80,7.05
,Nifty200 Alpha 30,     23057.60,     22533.60,     23041.15,     22533.60,     22982.25,-75.35
,NiftyM150Momntm50,     56843.00,     55595.25,     56809.35,     55583.50,     56668.10,-174.9
,Nifty IT,     36002.45,     35490.90,     35929.30,     35488.40,     35880.10,-122.35
,Nifty Next 50,     62760.25,     61416.45,     62669.20,     61401.70,     62527.00,-233.25
,Nifty Bank,     54365.65,     53595.95,     54054.80,     53483.05,     53595.25,-770.4
,NIFTY MIDCAP 100,     53229.30,     52097.30,     53336.95,     52093.90,     53223.35,-5.95
,Nifty 500,     21843.05,     21463.75,     21716.05,     21463.75,     21675.55,-167.5
,Nifty 100,     24678.00,     24303.55,     24559.20,     24303.55,     24437.55,-240.45
,Nifty Midcap 50,     15098.85,     14785.05,     15128.30,     14783.90,     15097.55,-1.3
