,12-Jun-2025
The Nifty witnessed an intraday movement of about 370.3 points.The closing index was 1.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 117580.76
, Traded Quantity (in Lakhs), 57080.44
, Number of Trades, 36875664
, Total Market Capitalisation (Rs. Crores), 44750079.39

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25141.40,     25164.45,     25196.20,     24825.90,     24888.20,-253.2
,NIFTY50 EQL Wgt,     31550.95,     31602.60,     31632.70,     31130.20,     31190.85,-360.1
,NIFTY100 EQL Wgt,     32942.25,     32998.70,     32999.35,     32409.15,     32466.25,-476
,NIFTY100 LowVol30,     19936.05,     19970.85,     20005.30,     19725.20,     19774.20,-161.85
,NIFTY Alpha 50,     53143.25,     53066.70,     53080.15,     51921.80,     52008.70,-1134.55
,NIFTY MIDCAP 150,     21846.05,     21868.60,     21870.00,     21476.75,     21509.65,-336.4
,NIFTY SMLCAP 50,      9076.20,      9072.55,      9088.30,      8883.35,      8901.40,-174.8
,NIFTY SMLCAP 250,     17528.95,     17557.10,     17606.00,     17237.95,     17276.90,-252.05
,NIFTY MIDSML 400,     20309.85,     20334.95,     20354.30,     19975.95,     20004.50,-305.35
,NIFTY200 QUALTY30,     20996.05,     21032.70,     21035.25,     20665.30,     20692.85,-303.2
,Nifty FinSrv25 50,     28952.80,     28965.30,     29056.35,     28598.50,     28644.80,-308
,NIFTY AlphaLowVol,     26929.15,     26977.95,     27008.45,     26684.90,     26728.60,-200.55
,Nifty200Momentm30,     31605.80,     31616.50,     31620.60,     31073.05,     31133.95,-471.85
,Nifty100ESGSecLdr,      4202.05,      4207.70,      4213.30,      4148.55,      4158.00,-44.05
,NIFTY100 ESG,      4959.60,      4967.60,      4969.35,      4891.55,      4899.90,-59.7
,NIFTY M150 QLTY50,     24997.80,     25048.95,     25065.20,     24636.25,     24669.15,-328.65
,NIFTY INDIA MFG,     14440.25,     14456.20,     14471.80,     14220.65,     14246.20,-194.05
,Nifty200 Alpha 30,     25436.55,     25380.30,     25382.15,     24895.65,     24953.65,-482.9
,NiftyM150Momntm50,     63546.55,     63563.80,     63574.05,     62322.90,     62431.75,-1114.8
,Nifty IT,     38784.30,     38732.95,     38891.05,     38227.25,     38460.30,-324
,Nifty Next 50,     68771.85,     68884.80,     68887.30,     67389.90,     67536.50,-1235.35
,Nifty Bank,     56459.75,     56480.90,     56611.05,     55968.50,     56082.55,-377.2
,NIFTY MIDCAP 100,     59388.15,     59444.00,     59447.75,     58344.95,     58440.85,-947.3
,Nifty 500,     23337.85,     23363.50,     23370.30,     23009.65,     23046.45,-291.4
,Nifty 100,     25807.10,     25834.00,     25852.55,     25459.50,     25511.55,-295.55
,Nifty Midcap 50,     16683.30,     16685.90,     16689.20,     16404.15,     16438.05,-245.25
,Nifty Realty,      1027.25,      1027.65,      1028.30,      1004.00,      1006.45,-20.8
,Nifty Infra,      9163.20,      9182.90,      9192.15,      9009.85,      9035.85,-127.35
,Nifty Energy,     36624.70,     36753.15,     36771.35,     35851.95,     35918.35,-706.35
,Nifty FMCG,     55820.60,     56019.40,     56020.25,     55005.15,     55104.10,-716.5
,Nifty MNC,     28668.60,     28742.45,     28749.95,     28231.95,     28286.80,-381.8
,Nifty Pharma,     22057.15,     22124.80,     22354.75,     21968.75,     22036.15,-21
,Nifty PSE,     10132.15,     10143.10,     10157.60,      9900.05,      9919.35,-212.8
,Nifty PSU Bank,      7107.75,      7125.85,      7127.95,      7001.60,      7017.50,-90.25
