,16-Jun-2025
The Nifty witnessed an intraday movement of about 263.5 points.The closing index was 0.92 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 91120.68
, Traded Quantity (in Lakhs), 42680.7
, Number of Trades, 31582137
, Total Market Capitalisation (Rs. Crores), 44823585.12

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     24718.60,     24732.35,     24967.10,     24703.60,     24946.50,227.9
,NIFTY50 EQL Wgt,     31022.20,     31021.60,     31347.35,     30938.05,     31320.85,298.65
,NIFTY100 EQL Wgt,     32253.70,     32251.05,     32549.15,     32054.95,     32520.40,266.7
,NIFTY100 LowVol30,     19675.75,     19660.85,     19875.05,     19630.85,     19857.15,181.4
,NIFTY Alpha 50,     51868.70,     51955.90,     52227.50,     51169.80,     52189.65,320.95
,NIFTY MIDCAP 150,     21433.05,     21431.10,     21607.25,     21194.90,     21594.45,161.4
,NIFTY SMLCAP 50,      8842.35,      8848.05,      8944.25,      8710.70,      8937.85,95.5
,NIFTY SMLCAP 250,     17210.40,     17218.35,     17319.55,     16931.30,     17296.30,85.9
,NIFTY MIDSML 400,     19931.15,     19933.30,     20074.85,     19673.70,     20063.30,132.15
,NIFTY200 QUALTY30,     20606.30,     20557.60,     20809.70,     20512.95,     20801.40,195.1
,Nifty FinSrv25 50,     28424.65,     28432.25,     28691.25,     28333.35,     28663.25,238.6
,NIFTY AlphaLowVol,     26612.30,     26581.35,     26842.50,     26519.50,     26823.45,211.15
,Nifty200Momentm30,     31023.75,     31039.10,     31406.60,     30901.70,     31385.45,361.7
,Nifty100ESGSecLdr,      4129.95,      4130.55,      4167.90,      4122.30,      4164.65,34.7
,NIFTY100 ESG,      4868.50,      4870.25,      4910.45,      4845.65,      4906.00,37.5
,NIFTY M150 QLTY50,     24556.95,     24511.10,     24744.55,     24306.35,     24732.55,175.6
,NIFTY INDIA MFG,     14198.40,     14188.25,     14297.85,     14079.90,     14285.40,87
,Nifty200 Alpha 30,     24841.95,     24906.55,     25114.80,     24708.75,     25099.80,257.85
,NiftyM150Momntm50,     62226.80,     62294.25,     62825.40,     61605.30,     62779.80,553
,Nifty IT,     38469.25,     38440.85,     39258.40,     38369.05,     39073.05,603.8
,Nifty Next 50,     66979.05,     66988.90,     67521.50,     66361.10,     67472.15,493.1
,Nifty Bank,     55527.35,     55554.10,     55999.85,     55381.45,     55944.90,417.55
,NIFTY MIDCAP 100,     58227.45,     58222.95,     58806.05,     57597.15,     58768.50,541.05
,Nifty 500,     22906.20,     22914.85,     23106.70,     22789.40,     23095.05,188.85
,Nifty 100,     25331.35,     25343.65,     25575.35,     25280.55,     25556.75,225.4
,Nifty Midcap 50,     16391.90,     16385.25,     16558.65,     16238.10,     16545.70,153.8
,Nifty Realty,      1007.05,      1007.00,      1021.85,       996.45,      1020.30,13.25
,Nifty Infra,      8971.95,      8976.60,      9077.50,      8966.75,      9068.90,96.95
,Nifty Energy,     35740.55,     35796.75,     36029.20,     35429.65,     36010.45,269.9
,Nifty FMCG,     54527.15,     54534.70,     54908.55,     54414.45,     54873.30,346.15
,Nifty MNC,     28184.30,     28211.25,     28352.40,     28047.05,     28341.75,157.45
,Nifty Pharma,     21985.15,     21899.35,     22058.60,     21840.35,     22039.45,54.3
,Nifty PSE,      9886.55,      9908.70,      9991.75,      9820.55,      9986.30,99.75
,Nifty PSU Bank,      6934.85,      6924.90,      6968.75,      6846.65,      6952.90,18.05
,Nifty Serv Sector,     32646.80,     32698.25,     33003.80,     32652.90,     32977.95,331.15
,India VIX,15.0800,15.0800,15.4725,14.5525,14.8375,-0.2425
,Nifty Auto,     23327.40,     23302.70,     23425.25,     23074.25,     23368.25,40.85
,Nifty Metal,      9258.80,      9272.50,      9381.65,      9167.10,      9358.25,99.45
,Nifty Media,      1726.10,      1736.45,      1746.95,      1707.00,      1735.95,9.85
,NIFTY SMLCAP 100,     18374.80,     18391.50,     18564.90,     18085.45,     18549.20,174.4
,Nifty 200,     13825.40,     13830.75,     13957.70,     13777.05,     13949.35,123.95
,Nifty Div Opps 50,      6032.55,      6031.30,      6092.30,      6011.70,      6088.60,56.05
,Nifty Commodities,      8637.55,      8648.80,      8740.60,      8597.05,      8731.00,93.45
,Nifty Consumption,     11373.85,     11376.40,     11490.70,     11350.90,     11484.55,110.7
,Nifty Fin Service,     26335.60,     26385.60,     26576.90,     26306.85,     26554.75,219.15
,Nifty50 Div Point,        77.70,        77.70,        77.70,        77.70,        77.70,0
,Nifty100 Liq 15,      6881.80,      6897.95,      6940.20,      6859.35,      6931.15,49.35
,Nifty CPSE,      6529.50,      6560.30,      6621.35,      6515.75,      6617.10,87.6
,Nifty GrowSect 15,     11319.10,     11294.05,     11427.75,     11276.80,     11418.20,99.1
,Nifty50 PR 2x Lev,     13597.85,     13607.15,     13864.55,     13576.60,     13842.75,244.9
,Nifty50 PR 1x Inv,       206.05,       206.00,       206.25,       204.05,       204.20,-1.85
,Nifty50 TR 2x Lev,     20072.35,     20086.05,     20466.00,     20040.95,     20433.85,361.5
,Nifty50 TR 1x Inv,       169.75,       169.70,       169.90,       168.10,       168.25,-1.5
,Nifty50 Value 20,     12806.10,     12809.75,     12922.80,     12777.65,     12909.75,103.65
,Nifty Mid Liq 15,     15305.65,     15268.35,     15451.10,     15151.95,     15429.95,124.3
,Nifty Pvt Bank,     27527.90,     27546.35,     27797.30,     27448.35,     27765.60,237.7
,NIFTY100 Qualty30,      5581.90,      5580.75,      5634.60,      5565.45,      5630.05,48.15
,Nifty GS 8 13Yr,      2926.86,      2927.40,      2932.77,      2927.15,      2932.50,5.64
,Nifty GS 10Yr,      2591.46,      2591.91,      2596.48,      2591.91,      2596.23,4.77
,Nifty GS 10Yr Cln,       915.70,       915.70,       917.32,       915.70,       917.23,1.53
,Nifty GS 4 8Yr,      3155.56,      3156.14,      3157.61,      3155.60,      3157.45,1.89
,Nifty GS 11 15Yr,      3211.21,      3211.81,      3222.48,      3211.80,      3222.48,11.27
,Nifty GS 15YrPlus,      3473.28,      3473.95,      3482.04,      3473.70,      3481.62,8.34
,Nifty GS Compsite,      3012.54,      3013.10,      3018.83,      3012.95,      3018.70,6.16
,NIFTY HEALTHCARE,     14328.65,     14300.30,     14409.95,     14230.70,     14396.10,67.45
,NIFTY CONSR DURBL,     36726.65,     36665.10,     37050.35,     36432.60,     36972.10,245.45
,NIFTY OIL AND GAS,     11443.60,     11456.10,     11581.95,     11405.00,     11570.95,127.35
,NIFTY500 MULTICAP,     16026.45,     16031.80,     16155.55,     15898.10,     16147.05,120.6
,NIFTY LARGEMID250,     16110.25,     16113.25,     16250.75,     16003.00,     16242.20,131.95
,NIFTY MID SELECT,     12991.60,     12977.60,     13122.55,     12869.75,     13107.50,115.9
,NIFTY TOTAL MKT,     12898.95,     12903.75,     13009.25,     12826.60,     13002.70,103.75
,NIFTY MICROCAP250,     23832.85,     23840.90,     23987.75,     23392.60,     23907.70,74.85
,NIFTY IND DIGITAL,      8987.75,      8985.65,      9112.90,      8935.65,      9098.40,110.65
,Nifty Tata 25 Cap,     15258.85,     15242.35,     15370.45,     15112.70,     15344.35,85.5
,Nifty MidSml Hlth,     42708.25,     42838.05,     43013.40,     42286.55,     42974.25,266
,Nifty Multi Mfg,     14851.95,     14842.60,     14946.20,     14724.70,     14938.40,86.45
,Nifty Multi Infra,     13972.15,     13982.45,     14116.60,     13894.25,     14107.65,135.5
,BHARATBOND-APR30,      1526.29,      1526.59,      1526.59,      1525.46,      1525.46,-.83
,BHARATBOND-APR31,      1394.38,      1394.64,      1394.64,      1393.60,      1393.60,-.78
