,10-Jul-2025
The Nifty witnessed an intraday movement of about 183.6 points.The closing index was 0.47 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 86650.23
, Traded Quantity (in Lakhs), 40396.74
, Number of Trades, 29276609
, Total Market Capitalisation (Rs. Crores), 45805409.76

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25476.10,     25511.65,     25524.05,     25340.45,     25355.25,-120.85
,NIFTY50 EQL Wgt,     31898.40,     31924.75,     31952.15,     31741.85,     31761.00,-137.4
,NIFTY100 EQL Wgt,     33139.45,     33180.80,     33201.15,     33003.00,     33045.30,-94.15
,NIFTY100 LowVol30,     20329.20,     20336.00,     20347.15,     20215.30,     20229.10,-100.1
,NIFTY Alpha 50,     53062.90,     53130.75,     53205.20,     52614.30,     52798.45,-264.45
,NIFTY MIDCAP 150,     21878.65,     21908.80,     21924.85,     21751.05,     21818.35,-60.3
,NIFTY SMLCAP 50,      9192.50,      9218.70,      9230.90,      9128.40,      9156.50,-36
,NIFTY SMLCAP 250,     17782.45,     17833.70,     17859.60,     17705.90,     17770.65,-11.8
,NIFTY MIDSML 400,     20433.65,     20472.80,     20492.70,     20325.90,     20392.60,-41.05
,NIFTY200 QUALTY30,     21111.45,     21148.90,     21159.10,     20962.45,     20991.60,-119.85
,Nifty FinSrv25 50,     29148.60,     29234.40,     29265.90,     29065.15,     29089.55,-59.05
,NIFTY AlphaLowVol,     27147.65,     27153.45,     27175.10,     26967.45,     26980.60,-167.05
,Nifty200Momentm30,     31476.10,     31521.10,     31546.10,     31223.65,     31249.10,-227
,Nifty100ESGSecLdr,      4266.80,      4273.00,      4275.50,      4243.75,      4247.75,-19.05
,NIFTY100 ESG,      5000.30,      5008.10,      5010.35,      4974.50,      4978.25,-22.05
,NIFTY M150 QLTY50,     25060.45,     25100.10,     25129.90,     24865.50,     24944.35,-116.1
,NIFTY INDIA MFG,     14532.05,     14542.85,     14559.25,     14456.30,     14494.25,-37.8
,Nifty200 Alpha 30,     25502.45,     25525.25,     25546.15,     25312.35,     25397.05,-105.4
,NiftyM150Momntm50,     62912.35,     62955.90,     63043.00,     62476.45,     62645.15,-267.2
,Nifty IT,     38680.85,     38713.80,     38715.20,     38197.35,     38376.65,-304.2
,Nifty Next 50,     68678.15,     68821.90,     68840.05,     68354.35,     68523.45,-154.7
,Nifty Bank,     57213.55,     57339.75,     57363.70,     56886.60,     56956.00,-257.55
,NIFTY MIDCAP 100,     59339.60,     59425.70,     59493.45,     58963.05,     59159.95,-179.65
,Nifty 500,     23557.45,     23595.85,     23605.50,     23444.95,     23471.40,-86.05
,Nifty 100,     26084.00,     26123.50,     26136.90,     25958.05,     25971.35,-112.65
,Nifty Midcap 50,     16753.15,     16776.05,     16791.05,     16622.90,     16675.65,-77.5
,Nifty Realty,       967.75,       969.85,       977.85,       966.50,       974.70,6.95
,Nifty Infra,      9419.70,      9435.35,      9443.50,      9350.30,      9360.25,-59.45
,Nifty Energy,     36517.50,     36591.55,     36630.15,     36335.90,     36447.65,-69.85
,Nifty FMCG,     55946.20,     56026.60,     56074.85,     55576.70,     55628.20,-318
,Nifty MNC,     29026.70,     29070.70,     29091.40,     28889.05,     28958.30,-68.4
,Nifty Pharma,     22208.50,     22175.95,     22198.75,     21973.75,     22076.80,-131.7
,Nifty PSE,     10125.65,     10162.65,     10179.90,     10082.35,     10107.50,-18.15
,Nifty PSU Bank,      7092.35,      7100.10,      7113.35,      7015.50,      7035.60,-56.75
,Nifty Serv Sector,     33638.60,     33709.20,     33714.05,     33423.70,     33440.55,-198.05
,India VIX,11.9400,11.9400,12.1875,11.6125,11.6725,-0.2675
,Nifty Auto,     23944.40,     23966.30,     24002.30,     23807.25,     23916.85,-27.55
,Nifty Metal,      9384.50,      9403.70,      9463.20,      9366.40,      9423.55,39.05
,Nifty Media,      1734.70,      1740.30,      1743.15,      1723.05,      1732.10,-2.6
,NIFTY SMLCAP 100,     19007.40,     19066.95,     19091.55,     18902.55,     18956.25,-51.15
,Nifty 200,     14211.15,     14232.50,     14238.85,     14141.30,     14152.90,-58.25
,Nifty Div Opps 50,      6128.75,      6140.40,      6143.15,      6092.70,      6104.95,-23.8
,Nifty Commodities,      8988.35,      8998.75,      9018.45,      8960.65,      8976.35,-12
,Nifty Consumption,     11805.05,     11821.00,     11831.50,     11713.65,     11726.45,-78.6
,Nifty Fin Service,     27058.45,     27130.10,     27147.55,     26951.05,     26984.35,-74.1
,Nifty50 Div Point,       131.28,       132.36,       132.36,       132.36,       132.36,1.08
,Nifty100 Liq 15,      7163.55,      7178.15,      7184.80,      7120.85,      7130.35,-33.2
,Nifty CPSE,      6646.45,      6655.40,      6670.95,      6586.75,      6603.50,-42.95
,Nifty GrowSect 15,     11673.10,     11666.55,     11676.75,     11562.90,     11587.20,-85.9
,Nifty50 PR 2x Lev,     14381.80,     14419.85,     14431.35,     14229.85,     14243.25,-138.55
,Nifty50 PR 1x Inv,       200.55,       200.30,       201.65,       200.25,       201.55,1
,Nifty50 TR 2x Lev,     21318.55,     21376.75,     21393.80,     21095.05,     21114.95,-203.6
,Nifty50 TR 1x Inv,       164.90,       164.65,       165.75,       164.60,       165.70,.8
,Nifty50 Value 20,     12925.00,     12942.50,     12943.70,     12847.55,     12869.10,-55.9
,Nifty Mid Liq 15,     15542.25,     15583.90,     15602.10,     15374.35,     15422.85,-119.4
,Nifty Pvt Bank,     28236.00,     28302.30,     28327.65,     28052.25,     28099.80,-136.2
,NIFTY100 Qualty30,      5710.55,      5715.40,      5718.35,      5673.65,      5678.05,-32.5
,Nifty GS 8 13Yr,      2936.41,      2936.94,      2938.17,      2935.71,      2936.10,-.31
,Nifty GS 10Yr,      2600.64,      2601.09,      2602.38,      2599.68,      2600.39,-.25
,Nifty GS 10Yr Cln,       915.11,       915.11,       915.56,       914.60,       914.86,-.25
,Nifty GS 4 8Yr,      3171.76,      3172.34,      3172.83,      3171.85,      3172.12,.36
,Nifty GS 11 15Yr,      3228.14,      3228.74,      3229.37,      3227.46,      3227.46,-.68
,Nifty GS 15YrPlus,      3483.06,      3483.73,      3484.01,      3478.65,      3478.65,-4.41
,Nifty GS Compsite,      3023.76,      3024.32,      3024.98,      3022.63,      3022.63,-1.13
,NIFTY HEALTHCARE,     14534.90,     14506.75,     14518.80,     14384.15,     14453.00,-81.9
,NIFTY CONSR DURBL,     38430.75,     38444.60,     38548.05,     38369.55,     38474.45,43.7
,NIFTY OIL AND GAS,     11913.55,     11949.25,     11963.10,     11864.65,     11909.70,-3.85
,NIFTY500 MULTICAP,     16477.65,     16507.75,     16513.25,     16399.20,     16428.05,-49.6
,NIFTY LARGEMID250,     16513.15,     16537.05,     16544.05,     16427.95,     16454.70,-58.45
,NIFTY MID SELECT,     13291.85,     13308.55,     13321.60,     13171.25,     13211.05,-80.8
,NIFTY TOTAL MKT,     13260.45,     13282.60,     13288.00,     13199.25,     13215.75,-44.7
,NIFTY MICROCAP250,     24262.40,     24326.55,     24430.95,     24235.35,     24351.70,89.3
,NIFTY IND DIGITAL,      9181.75,      9178.20,      9197.50,      9096.55,      9126.05,-55.7
,Nifty Tata 25 Cap,     15236.35,     15246.80,     15270.90,     15184.80,     15243.55,7.2
,Nifty MidSml Hlth,     43872.30,     43905.70,     43964.40,     43582.40,     43746.05,-126.25
,Nifty Multi Mfg,     15349.70,     15373.75,     15387.20,     15279.65,     15318.35,-31.35
,Nifty Multi Infra,     14528.90,     14558.60,     14568.55,     14449.05,     14477.50,-51.4
,BHARATBOND-APR30,      1532.97,      1533.27,      1533.27,      1533.19,      1533.19,.22
,BHARATBOND-APR31,      1398.03,      1398.29,      1398.29,      1398.23,      1398.23,.2
,BHARATBOND-APR32,      1274.13,      1274.38,      1274.38,      1274.22,      1274.22,.09
,BHARATBOND-APR33,      1238.05,      1238.29,      1238.29,      1238.28,      1238.28,.23
,Nifty Ind Defence,      8860.25,      8866.45,      8878.65,      8649.40,      8680.75,-179.5
,Nifty Ind Tourism,      9345.00,      9378.75,      9384.55,      9314.00,      9354.95,9.95
,Nifty Capital Mkt,      4581.05,      4594.05,      4625.50,      4563.40,      4569.70,-11.35
,Nifty500Momentm50,     54172.90,     54257.75,     54308.95,     53759.75,     53795.65,-377.25
,NiftyMS400 MQ 100,     50726.85,     50843.65,     50878.95,     50240.15,     50374.50,-352.35
,NiftySml250MQ 100,     48240.75,     48404.65,     48450.35,     47885.50,     48045.25,-195.5
,Nifty Top 10 EW,      9929.20,      9947.05,      9949.95,      9855.30,      9861.55,-67.65
,Nifty AQL 30,     22681.70,     22700.80,     22715.60,     22560.70,     22575.20,-106.5
,Nifty AQLV 30,     20823.35,     20844.10,     20853.75,     20701.35,     20718.55,-104.8
,Nifty EV,      2935.60,      2939.35,      2942.60,      2924.00,      2935.90,.3
,Nifty HighBeta 50,      3828.90,      3840.45,      3852.60,      3814.25,      3829.15,.25
,Nifty New Consump,     11699.65,     11715.45,     11726.70,     11671.55,     11698.15,-1.5
,Nifty Corp MAATR,     37183.55,     37209.25,     37282.45,     37028.25,     37126.65,-56.9
,Nifty Low Vol 50,     25482.50,     25490.05,     25510.60,     25298.35,     25313.35,-169.15
,Nifty Mobility,     21058.80,     21110.65,     21122.45,     20977.20,     21028.55,-30.25
,Nifty Qlty LV 30,     17344.25,     17357.90,     17368.55,     17254.75,     17262.20,-82.05
,Nifty Sml250 Q50,     28262.90,     28348.80,     28409.70,     28080.30,     28181.80,-81.1
,Nifty Top 15 EW,     10444.95,     10460.30,     10466.20,     10397.15,     10402.50,-42.45
,Nifty100 Alpha 30,     18473.35,     18496.00,     18505.20,     18303.90,     18322.05,-151.3
,Nifty100 Enh ESG,      5038.25,      5045.90,      5048.25,      5011.85,      5015.65,-22.6
,Nifty200 Value 30,     13197.80,     13242.75,     13281.30,     13172.00,     13199.65,1.85
,Nifty500 EW,     14634.20,     14666.90,     14686.80,     14579.75,     14625.45,-8.75
,Nifty Multi MQ 50,     43504.75,     43595.15,     43632.50,     43125.55,     43202.05,-302.7
,Nifty500 Value 50,     14250.60,     14284.80,     14312.55,     14218.05,     14252.75,2.15
,Nifty Top 20 EW,      9287.70,      9297.30,      9304.20,      9241.00,      9245.45,-42.25
,Nifty CoreHousing,     16476.00,     16492.45,     16511.85,     16411.25,     16440.50,-35.5
,Nifty FinSerExBnk,     30335.50,     30415.10,     30557.15,     30249.40,     30301.45,-34.05
,Nifty Housing,     11601.60,     11617.00,     11631.30,     11576.15,     11585.25,-16.35
,Nifty IPO,      2068.55,      2073.95,      2083.50,      2072.95,      2082.00,13.45
,Nifty MS Fin Serv,     18735.35,     18764.45,     18839.75,     18602.70,     18656.85,-78.5
,Nifty MS Ind Cons,     19837.60,     19851.90,     19882.10,     19794.95,     19866.55,28.95
,Nifty MS IT Telcm,     10338.35,     10353.15,     10360.85,     10213.05,     10262.05,-76.3
,Nifty NonCyc Cons,     16210.55,     16241.35,     16244.10,     16079.25,     16097.40,-113.15
,Nifty Rural,     15174.45,     15194.15,     15203.30,     15069.60,     15081.85,-92.6
,Nifty Shariah 25,      8367.55,      8369.90,      8374.65,      8309.30,      8318.05,-49.5
,Nifty Trans Logis,     23338.40,     23377.20,     23397.85,     23243.00,     23296.05,-42.35
,Nifty50 Shariah,      4797.95,      4794.75,      4798.60,      4766.50,      4771.25,-26.7
,Nifty500 LMS Eql,     18216.10,     18251.20,     18257.25,     18128.00,     18169.15,-46.95
,Nifty500 Shariah,      7220.50,      7227.75,      7231.75,      7184.75,      7197.55,-22.95
,Nifty500 Qlty50,     20048.20,     20100.55,     20116.10,     19932.10,     19983.50,-64.7
,Nifty500 LowVol50,     22047.75,     22048.20,     22063.25,     21913.60,     21928.30,-119.45
,Nifty500 MQVLv50,     31834.90,     31895.90,     31923.55,     31678.50,     31724.65,-110.25

,ADVANCES,1325
,DECLINES,1571
,UNCHANGED,75

,Total securities that have hit their price bands today,153

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFCBANK,EQ,      2011.20,      2006.20,-0.25,1710.31
,RELIANCE,EQ,      1519.00,      1517.20,-0.12,1523.35
,KOTAKBANK,EQ,      2229.30,      2203.80,-1.14,1263.92
,BSE,EQ,      2523.80,      2466.30,-2.28,1261.8
,CRIZAC,EQ,       307.63,       338.39,10,1191.15
,BHARTIARTL,EQ,      2019.70,      1964.50,-2.73,1128.5
,PFC,EQ,       417.75,       429.45,2.8,1121.01
,ICICIBANK,EQ,      1431.90,      1424.10,-0.54,1112.07
,TCS,EQ,      3383.80,      3382.00,-0.05,1025.54
,SBIN,EQ,       810.95,       808.00,-0.36,987.08
,ADANIPOWER,EQ,       602.15,       605.80,0.61,915.01
,INFY,EQ,      1633.70,      1615.80,-1.1,862.17
,JPPOWER,EQ,        22.37,        23.03,2.95,792.86
,QPOWER,EQ,       715.75,       808.45,12.95,791.13
,WAAREEENER,EQ,      3119.50,      3170.60,1.64,785.49
,BEL,EQ,       417.65,       413.50,-0.99,742.59
,MAMATA,EQ,       412.95,       483.75,17.14,729.17
,BDL,EQ,      1985.20,      1892.80,-4.65,663.47
,HAL,EQ,      5007.40,      4915.60,-1.83,658.65
,GLENMARK,EQ,      1818.80,      1904.00,4.68,642.35
,PAYTM,EQ,       907.70,       940.55,3.62,608.03
,SAMBHV,EQ,       120.78,       126.93,5.09,597.49
,VEDL,EQ,       440.75,       439.20,-0.35,581.44
,RECLTD,EQ,       391.55,       397.55,1.53,562.41
,MCX,EQ,      8442.00,      8331.50,-1.31,547.96

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,     12650.00,     12470.00,1.44
,INDUSINDBK,EQ,       852.85,       840.75,1.44
,TATASTEEL,EQ,       160.66,       159.00,1.04
,BAJFINANCE,EQ,       947.65,       940.60,.75
,BAJAJFINSV,EQ,      2039.40,      2026.40,.64

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,      1964.50,      2019.70,-2.73
,HDFCLIFE,EQ,       771.25,       786.30,-1.91
,ASIANPAINT,EQ,      2451.20,      2498.90,-1.91
,APOLLOHOSP,EQ,      7359.00,      7469.00,-1.47
,SHRIRAMFIN,EQ,       671.75,       681.05,-1.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,0MOFSL27,N3,      1100.00,                   107300.00,98
,1003ISFL28,N4,      1000.00,                   105926.00,106
,1003SFIL28,NX,       581.01,                    23240.40,40
,1015ECL29,NR,       994.82,                  1176243.63,1182
,1015UCL27,NF,       990.00,                      990.00,1
,1018GS2026,GS,       108.20,                   399688.73,3694
,1025SCL34B,N1,       955.90,                   328768.75,341
,1039UCL26,NE,      1003.25,                    10032.50,10
,1050ISFL28,N5,      1068.00,                    59808.00,56
,1050NFL26,N7,      1010.00,                     1010.00,1
,1050UCL25,N7,      1000.00,                    29640.00,30
,1075SCL34T,N1,      1000.00,                   100000.00,100
,10CAGL27,N5,      1028.99,                    82319.20,80
,10IIFL28,N4,      1065.00,                  1543763.00,1450
,10IIFL28A,NE,       996.89,                   513756.00,515
,10ISFL26,N3,      1035.00,                    20700.00,20
,10NFL25,N9,       985.03,                    49289.49,50
,10NIDO26,N6,       990.00,                   212866.90,215
,1102NFL26,N8,      1005.00,                     6030.00,6
,12VCCL29B,N0,     97600.00,                   489201.00,5
,182D101025,TB,        98.25,                     9825.00,100
,182D170725,TB,        99.60,                    19919.00,200
,20MICRONS,EQ,       227.61,                 57266399.63,251129
,21STCENMGM,EQ,        61.55,                   667229.55,10746
,360ONE,EQ,      1194.40,                878104904.50,735700
,364D110626,TB,        94.70,                   662900.00,7000
,364D150825,TB,        99.40,                     9940.00,100
,3IINFOLTD,EQ,        24.05,                 11148171.48,461459
,3MINDIA,EQ,     29740.00,                119304410.00,4017
,3PLAND,EQ,        49.88,                   263509.43,5262
,563GS2026,GS,       101.99,                      305.97,3
,585GS2030,GS,        96.75,                    98394.75,1017
,591GS2028,GS,       100.30,                   119051.15,1200
,5PAISA,EQ,       409.65,                 14794885.10,36153
,610GS2031,GS,        97.35,                   185168.00,1902
,613GS2028,GS,        99.74,                      299.22,3
,619GS2034,GS,        98.75,                    14713.75,149
,63MOONS,EQ,      1100.50,                686655450.60,618404
,664GS2027,GS,       101.30,                    20260.00,200
,667GS2050,GS,        98.50,                   295700.00,3000
,668GS2040,GS,       100.05,                    20010.00,200
,675GS2029,GS,       107.50,                      214.90,2
,676GS2061,GS,        98.39,                  1162351.00,11838
,68GS2060,GS,        98.98,                    49490.00,500
,690GS2065,GS,        99.49,                   572072.50,5750
,692GS2039,GS,       103.30,                   255717.00,2482
,699GS2026,GS,       102.10,                    76789.30,752
,699GS2051,GS,       101.25,                  2776557.45,27553
,702GS2031,GS,       104.01,                  8965246.96,86196
,704GS2029,GS,       104.00,                     2080.00,20
,706GS2028,GS,       104.30,                   208600.00,2000
,709GS2054,GS,       104.29,                 11613256.50,111211
,709GS2074,GS,       100.61,                  2687884.82,26690
,710GS2029,GS,       104.90,                   209800.00,2000
,717GS2030,GS,       106.00,                    15900.00,150
,718GS2037,GS,       108.00,                     8964.00,83
,71GS2034,GS,       106.00,                     2120.00,20
,723GS2039,GS,       106.75,                    10675.00,100
,725GS2063,GS,       101.78,                 53256585.29,523079
,726GS2029,GS,       106.25,                      106.25,1
,727GS2026,GS,       102.01,                      102.01,1
,732GS2030,GS,       105.30,                    10530.00,100
,732IRFC25,NI,      1060.04,                     8480.32,8
,734GS2064,GS,       104.61,                   627958.01,6000
,734IRFC28,N4,      1091.30,                     5456.50,5
,736GS2052,GS,       105.04,                   120901.04,1151
,736NTPC25D,NB,      1052.00,                    16832.00,16
,737GS2028,GS,       104.80,                    10480.00,100
,738GS2027,GS,       103.49,                  2175597.41,21021
,739NHAI26,N8,      1027.95,                   323549.95,315
,73GS2053,GS,       104.30,                   709135.70,6799
,741GS2036,GS,       107.75,                  1154275.00,10700
,743REC35,NH,      1200.00,                   360000.00,300
,744AP33,SG,       100.75,                    10075.00,100
,746GS2073,GS,       107.22,                    85783.96,800
,74CG30,SG,        98.85,                    29655.00,300
,74GS2035,GS,       108.30,                   216600.00,2000
,74GS2062,GS,       105.99,                    29361.99,277
,751HUDCO28,N5,      1070.02,                    14971.08,14
,753IRFC30,NJ,      1140.00,                    17100.00,15
,754GS2036,GS,       108.86,                 42816379.68,393187
,75GS2034,GS,       109.00,                    11009.00,101
,761MH29,SG,       100.80,                    10080.00,100
,762NTPC35F,ND,      1216.00,                    12160.00,10
,764HUDCO31,N8,      1131.00,                    62155.00,55
,764NABAR31,N2,      1116.12,                    12280.74,11
,765RJ33,SG,       101.00,                    59600.00,600
,769HUDCO31,N9,      1134.30,                   486095.50,429
,769NHAI31,NE,      1162.00,                     1162.00,1
,76IGT26,ND,       991.00,                   152723.00,153
,76NHAI31,NA,      1118.16,                   777123.09,695
,772GS2049,GS,       110.25,                      330.75,3
,772GS2055,GS,       108.00,                    48725.00,450
,773KA34,SG,       100.80,                    10080.00,100
,774IREDA31,N7,      1128.00,                    67680.00,60
,774TS35,SG,       100.85,                    10085.00,100
,78ABCL33,N1,      1031.42,                    17420.00,17
,795GS2032,GS,       112.00,                    11200.00,100
,797IGT31,NL,      1012.00,                    60720.00,60
,79IGT28,NF,       997.45,                   249362.50,250
,79NHIT35,N1,       312.40,                    23407.50,75
,79NHIT40,N2,       313.00,                   186248.80,595
,79NHIT47,N3,       421.00,                   946508.60,2252
,805ABCL28,N5,      1072.50,                   107250.00,100
,810IRFC27,N2,      1097.00,                    54850.00,50
,812REC27,NI,      1045.00,                   313500.00,300
,813GS2045,GS,       115.49,                      577.45,5
