,15-Jul-2025
The Nifty witnessed an intraday movement of about 156.75 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 96302.03
, Traded Quantity (in Lakhs), 42032.85
, Number of Trades, 32388020
, Total Market Capitalisation (Rs. Crores), 45808064.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     25082.30,     25089.50,     25245.20,     25088.45,     25195.80,113.5
,NIFTY50 EQL Wgt,     31483.70,     31535.15,     31691.00,     31463.30,     31655.40,171.7
,NIFTY100 EQL Wgt,     32857.05,     32918.10,     33075.20,     32862.60,     33045.55,188.5
,NIFTY100 LowVol30,     20091.65,     20118.50,     20242.30,     20079.10,     20227.80,136.15
,NIFTY Alpha 50,     52619.95,     52748.75,     53120.20,     52744.50,     53078.65,458.7
,NIFTY MIDCAP 150,     21773.90,     21822.55,     21989.65,     21807.15,     21974.90,201
,NIFTY SMLCAP 50,      9164.20,      9189.20,      9257.80,      9179.25,      9251.05,86.85
,NIFTY SMLCAP 250,     17808.65,     17848.30,     17983.65,     17847.45,     17952.15,143.5
,NIFTY MIDSML 400,     20381.55,     20427.05,     20573.10,     20425.60,     20561.15,179.6
,NIFTY200 QUALTY30,     20790.55,     20805.30,     20993.00,     20803.55,     20973.80,183.25
,Nifty FinSrv25 50,     28896.80,     28918.75,     29077.85,     28910.65,     29036.10,139.3
,NIFTY AlphaLowVol,     26781.75,     26806.25,     26924.85,     26771.30,     26901.20,119.45
,Nifty200Momentm30,     30980.50,     31026.35,     31174.50,     31008.70,     31148.30,167.8
,Nifty100ESGSecLdr,      4196.45,      4196.45,      4223.40,      4195.40,      4218.35,21.9
,NIFTY100 ESG,      4933.90,      4934.95,      4965.00,      4933.20,      4958.85,24.95
,NIFTY M150 QLTY50,     24814.25,     24878.45,     25112.30,     24874.90,     25094.80,280.55
,NIFTY INDIA MFG,     14380.70,     14419.90,     14537.20,     14395.40,     14524.75,144.05
,Nifty200 Alpha 30,     25296.95,     25335.50,     25485.55,     25305.90,     25463.80,166.85
,NiftyM150Momntm50,     62144.40,     62244.80,     62745.85,     62236.20,     62681.60,537.2
,Nifty IT,     37273.70,     37077.00,     37664.90,     37048.95,     37424.60,150.9
,Nifty Next 50,     68285.65,     68440.85,     68778.80,     68336.40,     68727.55,441.9
,Nifty Bank,     56765.35,     56709.20,     57134.95,     56707.80,     57006.65,241.3
,NIFTY MIDCAP 100,     59052.55,     59172.15,     59653.30,     59098.00,     59612.65,560.1
,Nifty 500,     23309.05,     23334.55,     23469.45,     23332.80,     23449.15,140.1
,Nifty 100,     25724.15,     25740.30,     25891.20,     25733.45,     25849.15,125
,Nifty Midcap 50,     16620.30,     16652.90,     16800.00,     16616.95,     16783.80,163.5
,Nifty Realty,       976.25,       979.70,       990.75,       975.50,       983.95,7.7
,Nifty Infra,      9251.30,      9274.70,      9311.55,      9253.80,      9287.60,36.3
,Nifty Energy,     36201.05,     36237.95,     36431.60,     36180.50,     36308.50,107.45
,Nifty FMCG,     56025.60,     56170.60,     56465.80,     56033.35,     56429.05,403.45
,Nifty MNC,     29059.95,     29120.05,     29215.25,     29048.60,     29190.05,130.1
,Nifty Pharma,     22410.35,     22513.50,     22688.65,     22373.85,     22665.70,255.35
,Nifty PSE,     10044.55,     10064.20,     10117.85,     10039.45,     10069.75,25.2
,Nifty PSU Bank,      7076.70,      7089.95,      7177.70,      7089.10,      7138.35,61.65
,Nifty Serv Sector,     33066.75,     33023.70,     33276.60,     33020.75,     33200.00,133.25
,India VIX,11.9800,11.9800,12.0250,11.4050,11.4800,-0.5000
,Nifty Auto,     23552.00,     23588.85,     23951.85,     23576.05,     23905.25,353.25
,Nifty Metal,      9407.95,      9430.90,      9444.30,      9344.35,      9411.95,4
,Nifty Media,      1727.50,      1733.65,      1751.70,      1730.15,      1735.85,8.35
,NIFTY SMLCAP 100,     18954.95,     19003.60,     19156.45,     19002.30,     19135.25,180.3
,Nifty 200,     14036.80,     14049.00,     14130.55,     14043.30,     14116.20,79.4
,Nifty Div Opps 50,      6060.50,      6059.50,      6105.30,      6056.55,      6096.50,36
,Nifty Commodities,      8937.25,      8959.15,      8984.50,      8924.25,      8958.15,20.9
,Nifty Consumption,     11665.60,     11690.50,     11760.70,     11675.00,     11750.00,84.4
,Nifty Fin Service,     26802.25,     26782.65,     26967.15,     26780.70,     26928.95,126.7
,Nifty50 Div Point,       133.28,       133.28,       133.28,       133.28,       133.28,0
,Nifty100 Liq 15,      7056.90,      7070.00,      7106.10,      7065.10,      7082.10,25.2
,Nifty CPSE,      6586.95,      6595.90,      6615.65,      6575.50,      6595.35,8.4
,Nifty GrowSect 15,     11506.10,     11520.80,     11647.90,     11515.00,     11635.50,129.4
,Nifty50 PR 2x Lev,     13929.00,     13934.95,     14106.20,     13934.65,     14053.05,124.05
,Nifty50 PR 1x Inv,       203.85,       203.80,       203.80,       202.55,       202.95,-.9
,Nifty50 TR 2x Lev,     20650.60,     20659.45,     20913.35,     20659.00,     20834.50,183.9
,Nifty50 TR 1x Inv,       167.55,       167.55,       167.55,       166.50,       166.85,-.7
,Nifty50 Value 20,     12709.15,     12699.15,     12797.10,     12694.05,     12784.60,75.45
,Nifty Mid Liq 15,     15367.40,     15410.55,     15578.30,     15354.10,     15561.50,194.1
,Nifty Pvt Bank,     28060.70,     28055.50,     28213.60,     28037.70,     28098.50,37.8
,NIFTY100 Qualty30,      5610.80,      5611.45,      5649.50,      5606.80,      5644.30,33.5
,Nifty GS 8 13Yr,      2940.35,      2940.88,      2941.31,      2938.45,      2938.59,-1.76
,Nifty GS 10Yr,      2603.24,      2603.69,      2604.44,      2600.33,      2602.84,-.4
,Nifty GS 10Yr Cln,       915.23,       915.23,       915.50,       914.03,       914.92,-.31
,Nifty GS 4 8Yr,      3172.39,      3172.97,      3173.54,      3172.19,      3172.19,-.2
,Nifty GS 11 15Yr,      3236.59,      3237.19,      3237.33,      3235.65,      3237.33,.74
,Nifty GS 15YrPlus,      3510.03,      3510.70,      3512.27,      3507.27,      3507.27,-2.76
,Nifty GS Compsite,      3030.59,      3031.15,      3031.65,      3029.30,      3029.37,-1.22
,NIFTY HEALTHCARE,     14607.70,     14674.70,     14798.30,     14598.00,     14787.65,179.95
,NIFTY CONSR DURBL,     38435.70,     38534.70,     38805.25,     38517.45,     38773.30,337.6
,NIFTY OIL AND GAS,     11755.55,     11781.05,     11855.60,     11775.55,     11811.70,56.15
,NIFTY500 MULTICAP,     16350.60,     16374.10,     16472.15,     16373.05,     16461.25,110.65
,NIFTY LARGEMID250,     16359.75,     16383.20,     16489.40,     16377.20,     16475.15,115.4
